,HLR1 raw counts,HLR2 raw counts,HLR3 raw counts,HLR4 raw counts,HLR5 raw counts,HLR6 raw counts,HLR11 raw counts (GSM2991338),HLR12 raw counts(GSM2991339),HLR15 raw counts,HLR16 raw counts
PA0293,9,3,6,5,0,0,60,85,130,104
PA0786,0,0,0,0,4,7,8,12,17,13
PA3462,3,2,1,3,1,2,3,19,22,11
PA4302,6,6,4,6,1,2,45,60,85,85
PA1472,1,1,1,1,1,1,5,0,5,6
PA0127,11,3,8,4,0,0,19,18,35,27
PA0489,2,1,1,1,8,4,12,18,25,26
PA1052,0,0,0,0,2,4,2,3,4,7
PA1533,109,61,68,84,1,1,23,26,40,41
PA2043,1,1,0,1,0,0,2,1,1,3
PA0433,2,1,2,0,0,0,20,30,48,35
PA2739,105,56,67,77,0,0,16,19,36,23
PA4859,1,0,0,0,0,0,42,66,88,87
PA0219,2,3,2,3,0,0,35,50,92,47
PA2066,0,0,0,0,2,4,2,6,11,5
PA1748,38,24,27,28,1,0,52,94,128,108
PA4098,0,0,0,0,0,0,909,1456,1762,1890
PA3932,1,2,1,2,1,2,24,20,43,30
PA1109,0,1,0,0,7,2,1,10,10,11
PA3195,112,53,80,66,1,2,2,3,5,6
PA1962,0,0,0,0,2,11,58,59,117,62
PA3963,2,2,1,2,15,13,2,1,0,4
PA4924,6,3,5,2,1,2,2,1,0,4
PA0451,2,2,3,1,6,5,44,70,110,75
PA5224,115,51,72,76,0,0,42,74,108,71
PA0694,1,1,0,2,5,2,179,239,361,305
PA5407,3,1,2,1,2,8,11,3,11,9
PA2350,0,0,0,0,0,0,13,11,18,18
PA1409,1,1,2,0,2,1,3,0,2,2
PA1634,0,1,0,0,1,8,18,24,38,32
PA4805,2,2,3,0,7,2,6,12,21,11
PA4229,0,0,0,0,1,2,55,88,139,82
PA0134,16,15,10,17,0,1,2,3,6,5
PA5284,7,2,4,4,1,2,28,81,72,109
PA2341,0,1,0,0,1,2,12,24,34,21
PA2006,2,4,3,2,0,0,10,18,32,16
PA0698,0,0,0,0,1,1,5,9,15,6
PA3418,8,4,4,7,0,1,128,173,248,232
PA1193,5,1,3,2,3,3,85,179,194,233
PA2099,1,2,0,2,19,22,16,24,35,26
PA0052,3,0,1,2,5,1,3,9,13,5
PA3403,2,0,1,1,1,1,2,3,7,4
PA3897,1,1,1,0,0,2,2,3,7,4
PA3558,1,0,0,0,6,6,79,132,200,127
PA1161,0,0,0,0,3,2,3,16,15,19
PA3783,5,1,3,3,4,1,80,121,194,129
PA0802,0,1,0,0,0,0,65,94,121,134
PA2166,1,3,2,2,0,0,20,17,28,28
PA3536,1,1,2,0,0,0,8,12,21,14
PA1116,7,6,4,7,7,10,11,14,29,14
PA2319,1,0,0,0,2,0,26,38,50,48
PA1284,3,6,5,3,0,3,14,10,17,24
PA1298,1,0,0,0,0,0,5,5,14,5
PA3278,30,17,18,23,1,6,9,9,15,12
PA0025,9,13,11,9,0,0,13,14,27,19
PA4534,19,7,12,11,0,0,27,47,69,45
PA1162,3,4,3,3,1,6,209,263,399,330
PA2596,0,0,0,0,5,2,31,52,79,49
PA1704,0,0,0,0,8,12,48,60,91,75
PA4219,0,0,0,0,9,6,1,4,6,5
PA4884,2,0,1,1,1,0,1,4,6,5
PA3468,12,13,6,17,22,25,9,3,9,13
PA5123,5,1,3,3,2,0,60,66,96,106
PA0088,19,10,7,18,3,4,62,108,136,137
PA0236,0,0,0,0,0,0,9,8,17,13
PA2914,1,0,0,0,3,6,12,24,28,27
PA1627,1,0,0,0,2,1,2,0,2,4
PA0646,73,41,46,55,2,1,10,15,24,14
PA4438,14,9,7,13,0,0,2,3,9,2
PA5095,4,1,2,2,0,0,8,9,15,15
PA3506,2,2,3,1,2,12,32,81,62,125
PA4156,2,1,0,2,3,10,492,705,1051,806
PA1233,1,1,0,1,11,9,15,27,39,31
PA3419,3,1,1,2,2,4,229,338,491,388
PA3603,3,2,3,2,0,0,44,48,93,56
PA4423,49,18,26,34,0,0,5,16,23,9
PA1743,0,0,0,0,0,0,37,56,90,61
PA2570,4,4,1,6,12,7,6,9,19,8
PA0718,2,1,1,2,0,0,7,14,23,9
PA2176,1,0,0,0,1,1,92,116,174,158
PA3928,1,1,0,1,0,0,36,49,82,49
PA5026,6,6,4,6,0,0,22,24,30,40
PA5401,10,2,7,3,30,28,9,8,19,11
PA1352,0,0,0,0,4,4,10,17,24,22
PA5391,3,1,1,2,7,4,2,0,3,3
PA1165,1,1,1,1,0,0,7,13,23,12
PA0065,9,3,6,5,0,0,5,9,9,12
PA1760,52,21,26,38,0,0,23,13,31,29
PA4536,5,5,4,4,4,3,8,9,17,13
PA2415,1,1,2,0,8,10,1,4,8,3
PA4797,2,1,2,1,2,4,1,4,8,3
PA4154,3,5,3,4,0,0,2,3,10,1
PA1633,6,7,7,5,14,28,5,15,19,16
PA4471,2,3,2,2,0,2,277,407,709,386
PA4758,135,79,92,98,0,0,33,39,63,54
PA3442,0,0,0,0,0,3,3,4,5,9
PA0235,2,0,1,1,0,2,11,16,18,23
PA0320,1,4,4,1,0,0,6,15,18,14
PA1511,12,6,10,6,0,5,2,0,4,2
PA3895,20,10,16,11,2,3,2,0,4,2
PA0333,9,2,4,5,2,2,16,20,32,23
PA2821,11,5,5,10,4,8,12,15,19,22
PA1212,0,0,0,0,0,0,123,161,259,181
PA2267,1,1,1,0,1,1,7,15,19,19
PA4319,20,7,12,12,3,6,14,27,35,28
PA4714,45,34,34,36,2,0,3,7,9,6
PA0268,3,1,3,0,4,3,102,135,213,154
PA5166,14,7,7,11,13,13,105,134,215,166
PA2883,57,35,44,38,4,4,43,70,77,97
PA1973,1,0,0,0,0,0,27,36,63,40
PA1189,2,2,1,3,7,13,5,11,7,17
PA1711,0,0,0,0,2,0,7,7,9,16
PA4894,1,0,0,0,5,5,84,93,151,122
PA1259,0,0,0,0,2,1,16,38,47,42
PA2695,2,2,3,1,7,2,14,13,22,19
PA4892,0,0,0,0,3,0,3,4,7,7
PA2932,1,0,0,0,0,2,3,7,8,7
PA5238,14,6,13,4,0,0,3,7,8,7
PA2435,2,0,1,1,0,1,38,56,76,69
PA2493,1,0,0,0,0,0,1,1,3,3
PA2275,1,0,0,0,1,7,1,1,3,3
PA4629,10,1,6,3,0,0,1,1,3,3
PA5137,18,26,15,24,0,0,1,1,3,3
PA5335,8,1,6,1,6,5,203,443,479,557
PA0877,4,6,7,2,1,0,16,30,39,37
PA1924,0,0,0,0,0,2,7,19,26,14
PA2325,0,0,0,0,3,3,4,1,1,6
PA3399,0,1,0,0,1,2,31,53,75,55
PA2503,1,2,1,2,2,4,8,19,27,19
PA2003,7,4,2,7,0,0,270,463,615,526
PA0532,5,0,3,1,6,4,4,3,11,3
PA4042,4,0,1,2,0,2,1,1,4,2
PA5251,16,8,11,10,0,0,1,1,4,2
PA1364,0,1,0,0,0,0,1,1,4,2
PA3421,1,0,0,0,7,2,42,53,98,49
PA4486,8,4,6,5,4,11,5,5,11,4
PA5180,7,1,1,5,0,0,8,13,17,15
PA1452,42,12,19,29,0,0,117,272,266,334
PA2230,3,2,3,2,0,0,5,14,14,15
PA2498,0,0,0,0,0,2,19,32,51,33
PA2756,48,15,25,30,0,2,6,8,10,15
PA1262,0,0,0,0,1,3,72,128,176,135
PA4630,24,6,14,12,1,1,90,104,170,130
PA1937,2,0,1,1,3,6,0,2,2,4
PA3312,0,1,0,0,5,5,2,5,7,7
PA0074,47,29,27,41,0,0,29,27,52,34
PA2463,3,2,1,3,7,10,8,13,16,16
PA4955,11,5,7,7,1,1,26,58,57,80
PA1241,1,2,2,1,2,0,5,5,10,5
PA0750,31,23,19,29,9,4,23,31,41,42
PA4205,2,1,1,1,0,0,317,350,507,544
PA2514,0,0,0,0,0,0,23,47,58,56
PA3818,8,5,10,2,0,0,3,4,10,4
PA2427,0,0,0,0,2,4,14,20,22,30
PA1160,0,0,0,0,0,0,25,36,49,45
PA2280,6,2,4,3,18,32,1,1,5,1
PA1138,4,0,3,1,0,0,13,13,26,18
PA1568,0,0,0,0,0,0,46,46,90,52
PA4428,33,19,23,24,11,15,27,19,37,33
PA5135,2,1,0,2,1,1,2,5,8,6
PA2370,1,0,0,0,0,2,42,61,96,70
PA3991,0,0,0,0,4,2,59,74,121,92
PA4854,56,26,28,45,0,0,3,5,8,4
PA0194,3,2,2,2,6,1,0,2,3,3
PA2841,1,1,1,1,2,10,16,25,30,33
PA4360,16,8,10,12,2,4,13,31,34,34
PA2167,1,1,0,1,0,2,18,20,40,23
PA3893,1,1,1,0,5,3,21,24,44,30
PA2203,2,0,1,1,10,11,46,47,98,52
PA4875,3,1,2,1,3,1,5,5,7,8
PA1570,7,5,4,6,8,4,22,25,41,36
PA2446,8,4,4,6,0,0,45,70,109,76
PA2171,2,2,1,3,1,2,0,2,4,2
PA3849,31,20,23,23,1,3,3,12,19,8
PA1893,2,2,2,1,2,1,4,13,19,11
PA1499,0,0,0,0,2,0,2,5,10,4
PA2068,1,1,0,1,1,1,3,9,15,7
PA3464,1,2,2,0,1,1,61,111,127,140
PA1953,0,0,0,0,6,4,6,4,8,7
PA2721,0,0,0,0,3,5,18,30,49,30
PA2429,0,0,0,0,23,21,25,52,54,71
PA1419,1,1,0,2,0,0,18,28,38,33
PA0667,143,67,85,102,28,27,50,67,90,91
PA2201,2,0,1,1,1,3,2,4,7,2
PA2438,0,0,0,0,0,0,36,77,97,85
PA5071,6,0,3,3,6,9,8,3,10,10
PA2329,0,0,0,0,18,23,6,8,16,9
PA5121,13,5,7,9,1,2,28,24,48,32
PA1864,1,0,0,0,0,0,0,2,5,1
PA1952,0,0,0,0,4,6,6,3,13,4
PA0784,13,13,13,11,0,0,16,14,27,23
PA2244,1,1,0,1,1,5,3,5,4,8
PA3964,0,1,0,0,3,5,5,4,12,5
PA2420,0,0,0,0,1,1,3,1,5,4
PA3658,56,32,38,40,0,0,5,10,14,9
PA0208,9,3,6,4,15,29,8,16,21,16
PA2517,0,0,0,0,0,0,17,10,30,11
PA2568,12,9,9,9,0,0,114,168,226,221
PA1632,1,0,0,0,2,3,206,340,465,400
PA4851,13,8,6,12,1,1,3,6,8,9
PA0669,17,5,12,8,18,17,10,21,31,21
PA2784,0,1,0,0,2,7,13,15,23,20
PA0923,7,7,7,6,2,5,2,4,5,4
PA1255,0,0,0,0,4,8,7,9,14,14
PA4124,4,3,5,2,1,2,3,1,6,3
PA1413,0,0,0,0,1,4,2,7,5,12
PA5012,24,10,20,11,1,1,23,20,55,11
PA2608,1,2,1,2,8,5,0,4,4,2
PA0612,2,0,1,1,0,0,0,4,4,2
PA1954,4,0,1,2,0,0,26,19,48,21
PA1381,2,2,2,2,4,2,446,622,956,730
PA0241,2,1,1,1,1,1,9,12,24,12
PA0204,6,0,2,3,1,1,18,26,35,33
PA1436,5,1,1,4,0,0,5,3,6,6
PA0728,8,5,4,7,11,11,5,11,11,17
PA3530,6,9,3,10,3,11,6,9,14,9
PA1304,9,10,4,12,0,0,3,3,6,3
PA5149,7,2,3,5,0,2,3,3,6,3
PA1521,3,3,2,4,0,2,29,60,86,53
PA2791,8,1,6,1,1,4,2,7,8,9
PA3061,0,0,0,0,1,1,454,435,732,643
PA2108,2,1,2,0,5,6,7,9,17,11
PA0242,2,4,3,3,0,0,5,3,5,7
PA1113,7,3,3,5,0,0,12,13,20,22
PA0253,4,2,1,4,0,0,1,3,5,1
PA1356,0,1,0,0,0,0,1,3,5,1
PA0830,15,18,11,19,1,1,3,3,5,4
PA1626,0,0,0,0,0,0,3,3,5,4
PA3206,2,2,2,1,25,32,12,12,28,9
PA3699,10,9,11,5,1,1,16,12,25,18
