,A1,A2,A3,B1,B2,B3
PA0344,73.59439163,71.93804125,50.83601091,26.70915702,43.87055347,29.20569077
PA2048,86.86728045,92.06246505,95.39158224,3268.049717,4048.616211,2537.013912
PA3541,3.033460587,3.399229479,1.514152099,1.861547307,3.192721307,2.544435181
PA5087,12.23844444,14.0218216,12.40560478,11.65071849,21.3793765,18.45812246
PA4156,2.160522289,1.412269801,0.647054926,11.49070208,19.06621783,21.29362751
sRNA00037,0,0,0,0,0,0
PA0594,176.7289915,173.4021093,153.3790406,266.5338384,203.9312984,231.832876
PA2848,2.408924584,3.711658659,2.204427321,11.4430408,7.866229645,11.42189469
PA0291,195.135084,207.4377946,219.8115295,298.7157528,195.143303,260.9149937
PA5355,322.4265258,381.3935475,254.5319962,13.10529304,8.509830252,9.866047415
PA2215,4.178746727,3.576995306,3.824006577,4.178983751,3.101250092,1.874249129
PA1444,298.9302616,319.4845428,356.7265679,117.2892623,108.4887944,116.2508953
PA4855,48.57064219,47.28288679,39.74121067,122.6240174,111.1084149,113.9892168
PA2653,21.61855396,16.17902492,18.31370389,133.4249292,98.74043505,90.94772696
PA2036,8.62967236,14.50533269,4.307501661,21.77154466,11.87743139,8.444892627
PA1636,40.67439252,38.77366018,39.75930991,11.32476296,12.76062905,15.51861356
PA3773,0,0.726519254,0.776689419,0,0,0.815735372
PA1126,52.93079188,47.9317371,46.65288024,97.68374518,120.9487536,115.1324465
PA1713,79.26138953,82.9247514,85.96476433,69.35764968,51.85201229,65.08145362
PA1384,10.0965774,4.978161515,11.5308506,5.755375551,6.474088949,4.968423726
PA1679,277.211629,217.3382348,292.8836053,83.48323694,71.0711098,84.3700454
PA3191,18.43115293,52.65578576,18.65857049,87.04893685,102.5898765,92.11499516
PA0960,56.55237237,56.0872864,72.80908522,10.23851019,8.683500257,7.496996516
PA4908,12.28990463,11.27156077,8.675945468,3.292125463,5.472559648,2.024912242
PA5567,41.31094352,50.1218623,52.268132,53.66236701,42.12259335,45.80401819
PA3765,37.10155641,33.7961854,30.74893493,69.30683821,56.73220168,59.74529531
PA2009,237.3875566,266.1879297,211.1770098,9.694663229,11.23039294,12.60465003
PA1577,31.13288497,27.05965572,23.66858807,32.33213744,15.99592153,34.98598374
PA3840,31.18973571,25.79682312,17.34760016,26.43176221,25.6124607,31.45624057
PA3049,57470.83344,52814.86973,53172.64987,1665.560461,1813.261617,3609.96221
PA3736,58.68177205,53.50856059,50.3116194,237.7217309,170.755543,205.8140975
PA0342,176.6847704,167.7327339,162.3456739,284.3601321,266.993057,261.8007764
PA4639,358.6757607,344.1069485,419.1111208,767.8882643,874.5525259,770.5841419
PA1784,225.9405127,143.8445492,285.5873601,8.384986794,6.812056236,5.428859546
PA5211,219.6747783,325.0091099,192.588114,35.93649272,28.98333861,30.58377387
PA3593,3.791825734,3.408081639,1.821714244,1.955271043,3.165859469,3.644373306
sRNA00088,0,0,0,0,0,0
PA3759,2.001550241,2.055985572,1.318777635,3.602994788,3.208566077,6.463686146
PA2220,34.68223668,31.05810648,41.50355021,74.37093721,60.98249692,72.82098896
PA1021,6.986513557,3.312241323,7.672101384,3.224727619,2.871708746,4.958643365
PA1576,380.2322137,407.5546763,351.6709937,171.8227489,195.1834521,196.8415556
sRNA00093,386.0202919,406.8626923,364.923067,7.552999321,14.94700864,7.74279968
PA1899,8.374584443,10.32281345,15.63385265,0,1.491644216,0
PA0317,155.0000506,150.7722753,147.9668506,261.5774216,237.1249167,235.4218132
PA3849,59.08456815,76.5968165,59.06549143,116.4439517,113.5853675,109.0309463
PA5516,49.12316798,48.0332297,39.93903616,118.6816925,104.3221899,113.6741825
PA2478,23.21525959,19.31577465,22.68910569,337.2788136,275.5977582,339.1498424
PA1457,417.8217101,412.6574113,417.2151115,202.823719,169.179678,183.5766447
PA3080,138.3705587,272.0080146,91.33315817,66.29854959,64.10605928,60.79531601
PA3393,8.909464661,10.13231864,11.88027032,5.727837869,11.33510523,2.691229518
PA0134,57.94772631,56.14865105,89.21901034,28.90082745,31.65582369,30.31608219
PA4308,96.68011207,112.5695537,97.1189952,85.69859636,92.46093232,104.3244022
PA4746,749.903645,541.034917,544.4155781,1039.982434,912.9402184,830.2140193
PA3996,320.0393403,338.1481977,349.159781,319.6412937,264.6349652,306.8740098
PA3340,90.73733498,93.41037816,110.3956546,43.0227295,34.17459545,38.72533486
