,DM1_S20_R1_001 trimmed (GE) - Total counts,DM2_S21_R1_001 trimmed (GE) - Total counts,DM4_S22_R1_001 trimmed (GE) - Total counts,DM5_S23_R1_001 trimmed (GE) - Total counts,DM6_S24_R1_001 trimmed (GE) - Total counts,DM8_S25_R1_001 trimmed (GE) - Total counts
PA14_36350,55,57,66,102,98,87
PA14_36360,27,36,23,42,48,38
PA14_36370,47,37,43,60,68,51
PA14_36375,55,48,47,50,52,42
PA14_36390,29,29,28,41,34,20
PA14_36400,13,11,16,20,19,23
PA14_36410,34,28,40,74,65,62
PA14_36420,266,253,276,419,438,357
PA14_36450,52,66,50,49,73,28
PA14_36460,31,23,37,51,48,40
PA14_36470,179,171,230,559,560,421
PA14_36480,46,42,46,81,98,60
PA14_36490,40,34,32,64,38,26
PA14_36500,199,201,211,214,208,158
PA14_36520,319,252,305,279,239,214
PA14_36530,174,177,160,148,143,112
PA14_36540,15,14,12,13,18,16
PA14_36550,46,55,39,55,63,62
PA14_36560,79,91,90,74,156,105
glgA,386,364,365,413,405,324
PA14_36580,236,226,222,249,259,182
PA14_36590,210,200,170,176,180,120
PA14_36605,293,251,251,234,259,122
PA14_36620,34,39,45,21,20,11
PA14_36630,496,474,466,396,286,192
PA14_36650,96,98,101,86,74,44
PA14_36660,132,143,140,129,169,96
PA14_36670,48,51,39,58,50,41
PA14_36680,38,19,22,30,25,9
PA14_36690,66,63,47,62,43,33
PA14_36700,77,73,67,82,72,46
glgB,257,291,284,258,268,143
PA14_36730,415,457,397,405,441,361
PA14_36740,280,243,245,292,334,235
PA14_36760,57,42,53,68,60,48
PA14_36770,4,3,3,4,4,5
PA14_36780,17,18,23,17,15,11
PA14_36790,7,9,6,1,4,5
katE,327,409,453,306,274,235
PA14_36820,304,219,252,328,259,213
PA14_36830,47,44,40,48,36,34
glgP,369,370,343,460,452,350
PA14_36850,15,17,8,15,17,4
PA14_36860,7,15,13,19,16,11
PA14_36870,91,103,82,203,227,152
PA14_36880,5,7,10,25,32,14
PA14_36890,3,2,5,3,15,8
PA14_36900,1,4,2,5,3,1
ligD,173,162,180,172,298,207
PA14_36920,47,47,66,43,118,73
PA14_36930,4,7,6,9,10,6
PA14_36940,9,8,7,17,23,8
PA14_36960,19,27,19,40,24,20
PA14_36980,64,68,48,56,63,60
PA14_36990,7,11,13,13,23,2
cupA5,2,11,10,5,7,3
cupA4,24,31,28,15,11,12
cupA3,56,79,78,54,74,44
cupA2,22,30,20,10,13,5
cupA1,101,184,195,91,80,78
PA14_37070,126,137,170,190,201,136
PA14_37080,19,55,48,43,37,49
PA14_37090,26,37,47,51,65,57
PA14_37100,18,17,21,28,35,15
PA14_37120,70,90,82,84,112,68
PA14_37130,62,67,67,101,102,85
PA14_37140,34,46,35,37,52,41
PA14_37150,79,122,112,73,66,67
PA14_37170,102,162,196,123,115,80
ada,47,52,57,69,81,69
PA14_37200,113,115,101,186,196,203
PA14_37210,44,48,39,71,111,114
PA14_37220,80,76,86,79,95,94
PA14_37250,38,31,32,109,154,136
PA14_37260,21,15,9,46,44,65
PA14_37270,11,19,8,16,32,21
PA14_37290,17,19,11,25,24,37
PA14_37310,42,43,22,34,45,46
PA14_37320,18,21,18,24,29,30
PA14_37340,53,64,55,46,58,58
PA14_37350,9,8,7,17,8,13
PA14_37360,15,17,18,49,29,36
PA14_37370,5,12,3,12,11,4
PA14_37380,35,43,35,80,65,68
PA14_37400,31,23,19,37,40,23
PA14_37410,29,31,54,49,45,41
PA14_37420,24,14,25,29,26,25
PA14_37430,12,8,12,9,19,14
PA14_37440,13,14,6,9,11,10
PA14_37460,9,12,4,10,2,2
PA14_37470,16,5,10,12,6,7
PA14_37490,132,148,141,130,138,120
PA14_37510,18,14,12,15,22,21
PA14_37520,7,7,5,6,10,10
PA14_37530,6,11,3,14,12,9
PA14_37550,5,3,4,9,7,11
PA14_37560,17,18,12,26,11,16
PA14_37570,52,69,93,120,76,72
PA14_37580,99,75,98,106,82,76
kynB,115,110,146,131,106,113
PA14_37610,131,101,149,143,130,119
PA14_37630,77,84,90,102,107,78
PA14_37640,51,38,53,49,57,47
PA14_37650,40,32,40,59,41,53
PA14_37660,35,57,57,83,87,55
PA14_37670,15,8,28,55,66,65
PA14_37680,76,92,115,301,282,211
PA14_37690,318,354,346,1146,1306,864
fusA2,1243,1195,1377,2048,2184,1849
PA14_37730,121,174,190,201,239,178
PA14_37745,1605,1767,2100,1240,1560,1636
PA14_37760,407,454,448,312,493,394
PA14_37770,326,379,392,348,603,436
PA14_37780,349,454,483,490,759,534
pcoA,129,131,138,281,349,281
pcoB,72,63,78,142,154,166
PA14_37820,88,93,116,139,143,154
PA14_37830,81,88,183,113,121,96
PA14_37840,25,26,19,23,22,27
PA14_37850,5,2,2,7,4,10
PA14_37870,5,6,3,5,8,7
PA14_37880,14,17,11,22,18,25
PA14_37900,54,59,58,66,83,69
PA14_37910,62,84,80,76,82,63
PA14_37915,21,15,21,28,21,15
cynR,21,27,24,31,27,28
cynT,11,11,20,9,15,13
cynS,13,21,17,11,14,9
PA14_37980,10,8,11,14,11,4
PA14_37990,1,0,3,11,9,6
PA14_38000,36,79,56,79,87,68
PA14_38010,210,248,224,259,282,226
PA14_38020,31,39,41,36,34,35
PA14_38040,95,108,102,187,158,127
PA14_38050,9,6,6,10,6,7
PA14_38060,48,34,28,34,34,30
PA14_38080,343,381,411,542,466,441
PA14_38090,117,105,113,130,137,97
PA14_38110,923,1000,1173,1159,1087,1144
PA14_38130,101,117,116,179,148,118
PA14_38140,538,726,771,547,403,372
PA14_38160,35,30,45,60,34,52
PA14_38170,30,20,21,26,38,42
PA14_38180,97,102,102,208,83,167
PA14_38190,5,2,4,10,5,14
PA14_38200,272,330,315,303,465,358
PA14_38210,16,25,24,30,66,44
PA14_38220,46,152,73,120,264,177
PA14_38250,136,133,162,128,166,111
PA14_38260,25,34,42,30,39,27
PA14_38270,71,82,92,97,150,121
PA14_38290,19,44,31,44,50,46
PA14_38300,78,82,91,115,99,108
PA14_38310,30,32,62,40,54,70
PA14_38320,131,169,124,253,242,204
gor,1314,1512,1682,1764,1987,1521
PA14_38340,148,157,153,328,281,215
galU,1203,1373,1314,1338,1283,1230
PA14_38360,39,58,42,70,60,63
PA14_38370,21,21,9,20,11,13
PA14_38380,129,143,174,126,166,175
PA14_38395,20,25,17,32,41,44
amrB,107,138,128,162,180,171
PA14_38420,85,96,108,117,105,99
gnyR,127,122,147,113,116,108
gnyD,653,628,782,715,793,629
gnyB,316,317,344,626,783,683
gnyH,100,111,114,263,371,314
gnyA,557,643,644,1091,1564,1280
gnyL,382,422,476,676,803,582
PA14_38500,193,144,147,213,226,195
hmgA,596,506,459,416,697,468
fahA,611,407,338,438,776,569
maiA,291,220,204,282,497,389
PA14_38560,98,95,95,175,222,183
PA14_38570,243,231,227,378,458,349
PA14_38580,140,72,91,241,231,179
bdhA,166,113,150,232,259,223
PA14_38610,1032,543,665,1516,1276,1153
atoB,3587,2176,2437,4360,4902,4217
PA14_38640,2237,1474,1655,3585,3463,3128
PA14_38660,2639,1869,1973,4048,4081,3660
PA14_38680,147,165,171,136,133,121
PA14_38690,312,330,305,463,522,341
ppiC1,62,64,63,96,96,85
PA14_38710,76,111,99,129,148,122
PA14_38720,98,89,107,140,177,132
PA14_38730,77,69,82,163,169,135
PA14_38740,105,89,99,153,122,108
PA14_38750,167,180,210,254,231,198
PA14_38770,52,50,62,98,117,69
pqqE,115,131,129,290,250,231
pqqD,42,34,47,72,57,77
pqqC,98,119,138,303,265,240
pqqB,141,142,134,238,230,229
pqqA,0,0,0,0,0,0
PA14_38840,48,47,61,62,59,53
exaB,9,8,10,7,12,7
exaA,45,33,45,56,45,49
PA14_38880,4,4,5,4,5,1
PA14_38900,4,5,4,12,4,11
PA14_38910,10,2,5,11,8,7
PA14_38920,4,7,0,10,3,1
PA14_38930,47,40,65,78,52,64
PA14_38950,10,15,15,18,19,13
PA14_38970,26,12,20,27,28,23
PA14_38990,17,16,9,10,15,10
PA14_39000,13,18,19,21,23,16
pqqF,81,62,76,62,72,55
PA14_39020,20,26,38,24,33,28
braZ,95,117,113,125,138,120
PA14_39060,44,48,53,39,55,39
PA14_39070,99,120,114,88,105,105
PA14_39080,10,10,7,11,8,15
PA14_39090,74,71,76,84,63,85
PA14_39100,38,52,37,42,44,37
PA14_39110,37,37,49,47,36,48
PA14_39130,1151,1272,1367,1689,1509,1328
PA14_39140,162,209,196,193,202,177
PA14_39150,86,119,106,132,111,68
PA14_39160,63,99,81,144,111,86
PA14_39180,28,35,32,48,39,32
bacA,159,190,217,319,183,247
PA14_39200,55,68,47,62,75,76
PA14_39210,18,12,25,16,23,37
PA14_39220,4,7,2,10,16,5
PA14_39230,5,5,3,3,6,5
PA14_39240,51,51,48,77,37,42
PA14_39250,18,22,32,31,29,29
PA14_39260,5,6,2,16,11,9
PA14_39270,358,401,478,884,927,801
rbsK,230,235,270,371,452,364
rbsR,243,232,266,403,498,473
rbsC,108,112,130,279,292,215
rbsA,195,195,222,423,427,252
rbsB,1208,948,1399,2032,1780,1531
PA14_39360,186,154,211,266,293,176
PA14_39390,496,500,578,925,955,869
PA14_39410,180,195,211,286,248,236
PA14_39420,13,29,24,37,15,30
PA14_39440,230,239,289,297,216,247
PA14_39460,132,166,166,230,190,199
PA14_39470,1103,954,1313,1456,1172,1302
PA14_39480,1069,1039,1342,1837,1202,1442
PA14_39500,9,19,15,27,21,20
PA14_39520,149,153,163,209,211,134
PA14_39530,67,72,72,77,104,79
PA14_39540,56,67,51,89,99,86
PA14_39560,571,567,665,1165,1227,970
PA14_39570,116,98,93,27,54,45
rimJ,553,534,489,111,137,113
metE,14797,15557,15985,1741,2538,2096
PA14_39610,331,376,416,362,366,351
PA14_39620,17,19,17,34,47,38
PA14_39630,4,14,17,20,25,17
cobN_2,19,34,34,49,55,68
PA14_39650,14,13,15,35,42,31
PA14_39660,13,21,18,20,25,22
PA14_39670,0,2,0,0,2,0
PA14_39690,50,68,63,99,77,76
PA14_39700,4,3,6,1,5,4
PA14_39710,18,28,15,20,24,7
PA14_39720,19,16,24,40,23,14
PA14_39730,9,13,9,13,7,13
PA14_39750,31,37,38,45,43,25
PA14_39770,171,205,191,289,323,232
PA14_39780,53,57,71,76,66,76
PA14_39790,28,23,32,33,23,27
PA14_39800,16,23,15,12,7,8
PA14_39810,9,18,14,8,6,7
PA14_39820,32,27,35,64,52,50
PA14_39830,6,9,12,29,31,22
PA14_39850,47,63,56,88,60,40
PA14_39860,1130,1344,1516,975,910,781
PA14_39870,1238,1589,1730,827,881,782
phzG2,2812,3415,4080,1482,1633,1551
phzF2,3544,3897,4349,3747,4397,3984
phzE2,6,15,16,22,12,14
phzD2,0,8,27,7,0,12
phzC2,5024,6463,7416,1909,2358,2093
phzB2,5356,7140,9208,2296,2454,2612
phzA2,1578,1860,2705,1218,1208,1306
qscR,194,169,224,231,227,247
PA14_39990,164,89,123,71,67,76
PA14_40010,137,74,84,73,63,60
PA14_40020,203,148,161,148,176,150
PA14_40030,260,165,183,162,181,181
PA14_40040,256,198,198,186,205,162
PA14_40050,100,60,67,72,61,65
PA14_40060,14,8,14,20,18,11
PA14_40070,117,160,124,146,141,104
PA14_40080,137,201,164,155,162,145
PA14_40100,130,136,138,316,246,257
PA14_40110,66,76,80,124,143,120
polB,182,202,209,279,278,214
PA14_40130,22,18,27,43,22,39
PA14_40150,41,38,38,60,74,54
PA14_40160,15,27,17,55,60,48
PA14_40170,36,38,39,60,86,60
PA14_40180,117,127,124,207,186,175
PA14_40200,783,721,840,1227,1181,1032
PA14_40210,80,94,95,135,119,112
PA14_40220,323,296,330,432,350,271
PA14_40230,814,774,838,1153,1004,813
PA14_40240,923,949,989,1163,1335,1009
PA14_40250,1019,1112,1121,1362,1743,1448
PA14_40260,4262,5068,5385,4812,6669,5786
PA14_40270,36,36,50,94,163,127
PA14_40280,384,445,459,540,832,700
lasA,1682,2451,2406,2607,4760,4322
PA14_40300,218,249,255,280,242,257
PA14_40310,604,710,810,541,544,545
xqhA,24,18,21,46,41,26
PA14_40330,4,4,5,4,2,4
PA14_40340,6,11,6,17,17,14
PA14_40350,95,99,99,131,150,89
PA14_40370,194,219,201,199,251,172
PA14_40380,13,11,7,11,7,12
modA,24,28,33,51,62,48
modB,62,107,100,190,177,123
modC,193,192,214,396,455,306
PA14_40430,305,345,319,746,820,604
PA14_40440,72,104,88,161,146,124
str,72,62,60,91,109,102
PA14_40470,221,205,219,379,322,339
PA14_40490,167,248,279,231,197,174
ccoN-2,74,77,90,124,97,101
PA14_40520,5,8,7,9,6,6
PA14_40540,56,54,58,85,53,58
PA14_40550,86,87,120,110,104,99
PA14_40560,626,774,867,552,550,529
PA14_40570,244,296,279,337,274,250
PA14_40600,100,454,108,102,110,77
PA14_40610,6,22,2,7,5,11
PA14_40620,52,134,77,69,61,66
PA14_40630,1724,2325,2173,1069,932,886
cti,425,485,475,552,473,506
PA14_40650,49,73,92,79,78,62
PA14_40660,37,55,53,60,55,35
metH,4128,4168,4691,3249,2756,2891
PA14_40690,390,359,431,377,414,368
PA14_40700,347,332,425,468,489,435
PA14_40710,235,237,307,398,326,345
PA14_40730,205,210,251,457,528,388
PA14_40740,232,262,256,439,388,317
PA14_40750,97,86,89,113,129,98
cysI,664,688,1267,1128,1066,1127
PA14_40780,176,181,311,260,221,204
PA14_40790,57,100,81,123,123,93
PA14_40800,54,92,64,84,84,70
PA14_40820,366,444,448,438,492,393
PA14_40830,508,644,716,587,603,568
PA14_40840,508,463,526,504,399,493
PA14_40850,840,967,967,1365,1317,1178
PA14_40860,3800,3690,4779,5470,5177,5631
PA14_40880,2009,1945,2497,1365,1210,1154
PA14_40890,1493,1404,1617,1525,1362,862
PA14_40900,63,50,53,118,135,71
PA14_40910,69,78,73,108,127,99
PA14_40930,38,47,44,62,62,55
PA14_40940,78,99,90,169,162,128
nudC,222,230,249,295,321,264
PA14_40960,805,868,896,1048,953,881
PA14_40980,458,446,456,562,407,459
nhaB,193,187,244,344,271,242
PA14_41010,321,360,377,388,425,309
PA14_41020,1047,1172,1400,732,742,713
PA14_41030,130,164,138,188,164,154
dnaQ,361,375,399,555,516,552
rnhA,264,330,298,421,366,400
PA14_41070,323,385,391,267,309,283
PA14_41080,106,115,133,144,133,115
mltD,1506,1708,1551,1563,1316,1746
PA14_41110,210,222,258,326,256,279
PA14_41130,383,432,464,489,430,371
PA14_41140,152,128,164,191,144,162
PA14_41150,111,79,102,141,102,106
PA14_41160,170,214,173,236,181,152
fabI,123,101,126,142,122,100
ppiD,3052,2896,3553,3729,3109,3329
PA14_41200,2,4,0,0,3,3
hupB,4056,4018,5061,4102,3839,3957
lon,9935,10409,12049,14627,13737,11921
clpX,13493,14336,17335,17737,16317,15538
clpP,3168,3771,4051,3636,3212,3433
tig,6448,6967,8454,7773,7174,8699
PA14_41260,129,164,169,208,177,178
PA14_41270,143,150,143,196,167,148
PA14_41280,185,201,172,242,191,198
PA14_41290,15,9,13,13,9,6
PA14_41300,29,40,43,70,44,65
PA14_41320,1,2,0,1,0,0
PA14_41330,1,1,0,0,0,0
PA14_41340,0,2,0,0,0,0
folD,199,237,241,245,242,247
cysS,1173,1142,1385,1396,1392,1428
glnS,1094,1077,1269,1272,1174,1217
ppiB,376,351,479,315,244,375
PA14_41400,151,165,155,113,158,121
PA14_41420,232,267,321,401,307,386
PA14_41430,70,71,57,84,76,89
PA14_41440,753,1007,1074,967,822,807
PA14_41450,136,119,134,178,183,170
acnB,5246,5095,6563,4353,3874,4799
nasS,85,67,91,74,73,63
nasT,40,38,56,54,46,41
PA14_41500,98,129,120,175,139,113
nasA,14,18,16,25,19,20
PA14_41520,41,43,42,47,48,32
nirB,50,53,53,73,69,60
nirD,1,3,3,10,1,3
PA14_41560,68,73,68,111,76,70
cobA,343,392,457,373,365,331
oprF,65247,72892,85463,67294,73057,70113
sigX,2681,2692,3143,3483,3107,3024
PA14_41590,1386,1570,1514,1896,1853,1371
PA14_41610,209,246,246,286,278,226
PA14_41630,412,361,433,521,521,578
PA14_41640,741,852,908,840,949,806
PA14_41650,153,165,209,235,205,225
ppsA,4520,4776,5418,5363,5549,5752
PA14_41680,827,932,1015,1057,910,946
PA14_41690,369,402,498,595,444,516
PA14_41710,1280,1418,1624,1764,1322,1446
PA14_41730,841,980,1105,1209,948,978
PA14_41740,56,63,46,93,83,69
PA14_41750,64,74,79,162,120,115
PA14_41760,96,99,108,306,178,193
PA14_41780,143,126,180,363,290,272
PA14_41790,240,223,248,435,398,372
PA14_41800,667,636,687,1227,1125,880
PA14_41810,1677,1588,1770,2502,2086,1720
pabB,227,243,233,377,380,308
thrH,184,188,297,378,272,340
cysH,181,197,241,355,285,250
PA14_41860,119,120,135,193,192,182
cysB,1149,1395,1457,2125,2084,1777
PA14_41880,444,522,526,791,968,609
panE,412,485,454,510,564,499
PA14_41910,72,82,97,67,81,83
aroF-1,1596,1575,2037,1711,1582,1713
PA14_41930,360,400,445,367,329,332
PA14_41950,453,550,588,614,561,680
PA14_41960,29,38,42,43,27,41
PA14_41970,711,1075,1187,370,316,370
PA14_41980,153,198,194,345,408,277
PA14_41990,10,14,14,41,31,29
PA14_42000,16,13,14,29,23,18
PA14_42010,489,591,656,380,323,300
PA14_42020,99,125,124,106,112,110
PA14_42030,139,141,157,181,176,179
PA14_42050,106,144,86,44,24,26
PA14_42060,207,188,223,352,231,214
PA14_42080,3393,3158,3444,4334,4172,3823
PA14_42090,1415,1409,1520,2205,1901,1987
PA14_42100,66,94,85,379,382,274
PA14_42120,183,166,208,340,338,246
PA14_42130,239,239,217,458,445,390
PA14_42140,99,133,94,209,191,142
PA14_42150,181,157,134,343,328,219
PA14_42160,390,441,411,881,898,534
PA14_42180,263,336,284,449,540,306
PA14_42200,1524,1694,1941,2686,2713,2079
PA14_42220,253,305,296,423,323,269
bglX,213,227,269,316,266,254
pscL,25,22,17,51,30,35
pscK,8,11,13,12,10,8
pscJ,74,71,86,125,67,71
pscI,20,24,38,31,18,34
pscH,21,22,24,17,21,18
pscG,32,28,33,38,19,38
pscF,27,36,34,38,38,39
pscE,6,17,9,12,8,7
pscD,64,64,57,90,90,78
pscC,126,164,123,190,216,197
pscB,16,25,19,27,34,36
PA14_42380,180,226,239,262,286,302
exsA,207,276,331,429,313,493
exsB,76,105,94,123,84,100
PA14_42410,89,131,138,86,122,102
exsC,265,377,350,276,319,319
popD,619,942,990,616,642,877
popB,975,1415,1588,1017,1082,1388
pcrH,90,132,147,120,114,123
pcrV,152,202,196,204,173,194
pcrG,13,16,23,29,24,17
pcrR,9,27,27,34,42,27
pcrD,95,126,109,165,137,156
PA14_42510,8,10,5,5,8,7
PA14_42520,8,6,11,2,3,5
PA14_42530,5,7,11,11,10,7
PA14_42540,9,10,11,15,14,15
popN,23,20,26,25,35,38
pscN,26,24,33,31,25,30
pscO,1,6,7,10,8,6
pscP,8,7,13,9,11,10
pscQ,16,10,15,18,12,10
pscR,5,21,15,25,14,19
PA14_42630,6,2,6,10,6,5
pscT,7,15,23,26,25,20
pscU,30,48,49,66,63,53
PA14_42670,374,367,415,587,505,550
PA14_42680,134,121,170,232,202,232
speE,89,116,128,170,153,153
alkA,274,320,289,428,458,361
PA14_42710,74,83,70,83,98,84
masA,201,255,269,323,310,261
PA14_42730,302,383,384,383,382,365
PA14_42740,189,185,193,286,295,282
PA14_42750,63,49,53,73,80,88
aroC,699,747,752,720,770,637
PA14_42770,29,30,30,37,25,29
PA14_42780,864,927,964,1091,1104,982
PA14_42790,334,383,399,604,577,511
PA14_42820,169,174,218,213,216,176
PA14_42830,8,15,16,28,20,23
PA14_42840,55,69,85,101,83,86
folE,435,508,534,584,574,603
PA14_42860,180,256,302,251,200,205
PA14_42870,137,159,170,176,158,137
stk1,119,147,155,176,155,108
stp1,80,117,123,97,115,71
PA14_42900,665,812,964,831,747,645
PA14_42910,216,284,366,337,284,279
PA14_42920,358,423,521,454,443,377
PA14_42940,127,121,160,148,164,123
PA14_42950,185,200,271,221,221,164
PA14_42960,15,14,8,19,11,7
PA14_42970,208,223,229,321,252,217
PA14_42980,712,788,910,991,846,728
PA14_42990,263,303,375,428,339,318
PA14_43000,552,599,753,777,740,656
PA14_43020,207,320,425,265,275,238
PA14_43030,2645,3786,4668,2766,2718,2870
PA14_43040,1009,1538,1821,1021,936,1014
PA14_43050,1961,2898,3283,1454,1285,1196
hcpD,249,356,362,230,220,188
PA14_43080,94,131,118,156,129,135
PA14_43090,79,91,108,121,111,112
PA14_43100,826,788,1006,1610,1219,1165
PA14_43110,246,276,333,426,333,294
PA14_43130,193,206,209,186,166,127
PA14_43140,31,28,27,29,29,21
PA14_43150,31,32,23,31,38,32
PA14_43160,162,180,184,358,365,340
PA14_43170,281,323,271,361,402,362
PA14_43180,232,237,260,176,164,144
PA14_43190,848,851,1122,802,1040,615
PA14_43200,119,118,114,206,226,136
PA14_43220,124,112,113,121,126,106
PA14_43230,38,47,45,34,60,45
PA14_43240,98,122,116,170,133,133
PA14_43250,131,140,153,189,193,208
PA14_43270,395,356,364,507,532,484
selD,253,274,284,352,330,340
PA14_43290,14,22,22,29,32,40
PA14_43300,226,210,237,292,257,242
PA14_43310,136,185,203,202,212,190
PA14_43320,22,36,39,84,75,65
kdpE,58,40,63,91,86,71
kdpD,125,118,117,225,268,188
kdpC,6,4,5,26,30,22
kdpB,38,42,41,208,239,160
kdpA,23,22,13,83,110,66
kdbF,1,0,0,0,1,0
PA14_43420,111,124,143,178,154,137
PA14_43430,85,89,97,80,62,59
PA14_43440,26,19,33,20,23,22
PA14_43460,35,43,36,50,60,35
PA14_43480,21,19,22,31,27,21
PA14_43490,66,61,72,112,107,101
PA14_43510,181,250,221,246,268,211
PA14_43520,461,626,498,402,483,346
PA14_43530,1172,1593,1423,1114,1042,969
PA14_43540,173,159,143,230,250,163
PA14_43550,241,236,230,319,329,261
PA14_43570,11,8,1,18,19,6
PA14_43580,67,92,86,104,100,69
PA14_43600,162,149,178,244,226,180
PA14_43610,1040,1010,1238,2104,1790,1568
PA14_43620,73,77,71,75,88,69
PA14_43630,78,87,85,63,89,73
gpsA,286,300,300,283,291,226
PA14_43650,211,182,210,295,264,239
PA14_43660,41,37,37,44,41,38
PA14_43670,433,443,447,635,535,453
fabA,1375,1699,1699,1547,1305,1347
fabB,2519,3329,3176,3177,3000,2597
PA14_43710,863,885,979,1121,1088,1089
PA14_43720,87,68,95,146,110,114
PA14_43730,47,48,49,74,64,66
PA14_43740,88,86,114,148,127,128
PA14_43760,55,69,61,79,76,56
PA14_43770,32,31,39,47,55,39
PA14_43780,36,45,33,58,43,55
PA14_43790,108,139,180,209,182,153
PA14_43810,28,46,29,67,44,43
PA14_43820,69,61,84,68,77,68
panB_1,66,63,60,76,98,77
PA14_43840,132,122,125,157,204,189
htpG,1456,1478,1305,2490,1888,2462
PA14_43870,58,77,63,72,62,58
PA14_43880,46,55,76,59,62,69
PA14_43890,68,72,75,91,73,90
PA14_43900,1152,1285,1109,911,761,809
PA14_43910,161,203,168,226,175,165
braB,1682,1859,2060,2596,2504,2194
sucD,4155,4174,4997,5062,3875,4660
sucC,5488,5611,6518,6875,5373,6144
lpdG,6395,6327,7203,7666,8022,7364
sucB,4788,4338,5231,6412,6066,5704
sucA,9536,9130,10424,12154,12313,11738
sdhB,1615,1945,2180,2030,1830,1881
sdhA,3113,3275,3722,3819,2911,3322
sdhD,708,762,862,878,689,765
sdhC,2007,2018,2310,2564,2022,2314
gltA,2551,2766,3432,3307,2477,3569
PA14_44080,1679,1773,2064,1939,1889,1853
PA14_44090,17,20,16,37,21,33
PA14_44100,118,131,134,233,166,195
PA14_44110,152,164,189,310,224,265
PA14_44120,496,530,551,688,689,628
PA14_44130,151,146,149,294,263,215
PA14_44140,161,164,204,253,248,234
PA14_44150,222,254,277,297,300,274
PA14_44160,677,780,850,764,647,620
PA14_44170,120,140,155,153,108,139
PA14_44180,280,339,281,263,276,213
PA14_44190,36,20,22,44,37,38
PA14_44200,11,20,20,23,14,16
PA14_44210,103,115,118,151,173,112
PA14_44230,6,11,6,7,5,7
PA14_44240,36,44,30,53,39,25
PA14_44260,82,92,105,130,108,115
PA14_44270,81,88,83,76,83,68
PA14_44280,200,262,206,271,297,250
acnA,3806,4438,4479,3645,4034,3270
aer,1184,1230,1359,944,793,736
PA14_44311,1472,1611,1832,972,833,798
PA14_44320,63,53,63,53,57,46
PA14_44340,880,1589,1574,863,881,842
PA14_44350,600,1079,1172,626,631,702
PA14_44360,1703,3107,3322,1752,1981,2052
PA14_44370,1631,1696,2007,2676,2130,2391
PA14_44380,1037,999,1326,1657,1513,1556
PA14_44390,298,259,381,443,363,435
PA14_44400,1833,1625,2353,2761,2555,2591
PA14_44420,901,1358,1260,748,672,703
PA14_44430,348,444,439,280,251,233
PA14_44440,320,374,388,300,310,267
PA14_44450,74,119,101,91,90,100
PA14_44460,59,84,78,71,79,62
hemN,558,765,801,756,691,655
PA14_44480,425,416,466,534,301,466
anr,1573,2161,2132,1357,1226,1249
apt,254,293,261,253,240,245
PA14_44510,102,124,148,256,126,131
PA14_44520,140,198,170,174,114,90
PA14_44530,82,112,119,118,78,69
PA14_44540,264,402,362,389,288,236
PA14_44560,195,225,325,215,156,126
PA14_44570,108,132,170,137,75,80
PA14_44580,95,76,105,153,123,116
PA14_44590,206,181,245,370,262,307
recR,119,134,125,147,125,129
PA14_44620,289,278,350,326,203,303
dnaX,704,813,794,856,667,715
PA14_44640,309,376,417,680,606,490
PA14_44650,179,197,223,314,287,260
ligA,900,887,939,1315,1346,1104
zipA,1222,1198,1353,1135,906,981
PA14_44680,1401,1456,1450,2300,2065,1828
PA14_44690,377,398,433,548,536,461
alkB2,66,79,97,100,91,106
xdhA,82,97,85,108,124,72
xdhB,246,265,260,445,456,343
PA14_44760,109,117,125,187,197,159
PA14_44770,195,198,216,355,403,340
PA14_44780,424,482,502,521,562,524
PA14_44800,43,35,54,102,102,96
PA14_44820,108,110,105,204,233,192
PA14_44830,90,132,130,198,158,192
PA14_44840,50,58,65,130,96,97
alc,118,140,169,264,300,227
PA14_44860,72,77,87,169,143,144
PA14_44880,159,193,199,385,346,329
hcpA,141,65,180,3,128,120
PA14_44900,260,278,356,329,320,253
PA14_44910,378,407,481,640,399,498
PA14_44920,435,461,524,637,537,564
PA14_44930,38,22,42,53,25,35
PA14_44950,207,243,322,683,622,610
PA14_44960,13,23,17,39,37,34
moaA2,704,729,665,775,781,592
PA14_44980,179,186,216,299,286,303
PA14_44990,8,11,22,19,28,30
gcl,120,100,139,170,145,130
PA14_45010,79,85,94,119,100,74
PA14_45020,26,36,41,79,71,52
PA14_45030,15,8,11,42,36,22
pykF,27,32,18,39,31,30
PA14_45060,4,5,2,9,8,2
PA14_45070,78,99,73,81,91,67
PA14_45090,35,31,47,40,43,40
PA14_45100,287,259,256,315,217,235
cysP,1101,1250,1575,1271,1172,1158
PA14_45120,67,66,100,80,70,86
PA14_45130,173,151,192,241,229,209
PA14_45150,45,41,49,59,51,65
PA14_45170,34,36,34,48,38,42
PA14_45180,27,35,48,39,60,26
PA14_45190,43,55,35,86,93,66
PA14_45210,22,26,19,38,53,29
PA14_45240,10,11,20,21,29,23
PA14_45250,101,108,133,135,139,104
PA14_45260,209,214,220,165,161,159
cycH,881,816,1038,632,749,660
ccmH,335,388,425,235,232,235
ccmG,408,447,556,303,283,308
ccmF,1002,1159,1201,643,647,669
ccmE,466,538,546,351,367,408
PA14_45340,59,59,67,32,47,42
ccmC,404,546,508,315,343,362
ccmB,48,72,55,86,85,64
ccmA,119,125,90,159,152,146
PA14_45400,1097,1166,1198,1475,1751,1301
PA14_45410,119,142,153,215,226,221
