,DM1_S20_R1_001 trimmed (GE) - Total counts,DM2_S21_R1_001 trimmed (GE) - Total counts,DM4_S22_R1_001 trimmed (GE) - Total counts,DM5_S23_R1_001 trimmed (GE) - Total counts,DM6_S24_R1_001 trimmed (GE) - Total counts,DM8_S25_R1_001 trimmed (GE) - Total counts
PA14_61340,69,79,82,76,61,47
PA14_61350,23,23,18,29,27,26
PA14_61360,303,313,317,464,414,386
PA14_61370,112,127,125,83,96,131
PA14_61380,822,742,908,852,602,664
PA14_61390,244,305,272,313,294,266
mqoB,1118,1151,1254,1590,1449,1550
PA14_61410,98,123,121,199,243,176
PA14_61430,65,56,79,66,51,58
PA14_61440,115,105,133,181,134,149
PA14_61450,54,69,74,90,129,105
PA14_61460,117,120,201,206,229,246
upp,295,314,345,430,457,407
uraA,426,424,520,667,684,550
PA14_61500,169,216,238,334,235,271
PA14_61510,55,80,94,121,106,100
PA14_61520,25,35,49,56,49,41
PA14_61530,66,75,70,103,86,78
PA14_61540,64,75,74,119,124,66
PA14_61550,71,97,96,134,109,58
PA14_61560,191,224,239,196,149,91
hemH,447,490,422,736,812,606
PA14_61590,342,361,334,553,713,434
PA14_61600,412,535,491,576,723,527
PA14_61610,240,196,238,429,747,485
PA14_61620,103,76,74,209,324,175
phr,271,238,259,566,653,474
pagL,318,370,339,371,263,283
murI,123,145,118,210,187,153
moeB,119,155,160,196,241,157
PA14_61680,202,239,182,197,222,195
prfA,267,331,319,396,339,299
hemA,234,234,238,315,274,263
PA14_61720,813,924,927,966,873,824
lolB,151,142,141,187,181,110
ipk,311,344,372,527,479,483
PA14_61760,0,0,0,0,0,0
prs,2969,3375,3755,6484,5754,5898
PA14_61780,3968,3920,5220,6086,5381,6102
pth,348,395,475,603,529,641
PA14_61820,1318,1416,1827,2207,1994,2394
PA14_61830,0,0,0,0,1,0
PA14_61840,127,124,170,231,167,197
PA14_61850,325,354,379,683,542,570
PA14_61860,190,179,194,273,247,282
PA14_61870,54,60,46,93,87,80
rimI,67,72,89,153,121,148
PA14_61890,101,109,126,157,226,190
PA14_61910,12,15,15,28,38,12
PA14_61920,62,53,88,84,97,61
PA14_61940,97,83,109,108,90,105
PA14_61950,225,281,312,95,85,75
PA14_61960,102,105,106,122,108,135
PA14_61980,74,66,104,110,74,120
PA14_61990,445,458,614,484,404,505
hitA,219,238,268,298,341,318
hitB,85,75,87,146,129,105
PA14_62020,399,531,513,754,636,583
PA14_62030,90,109,101,177,164,138
PA14_62040,129,161,176,278,248,234
PA14_62050,7,11,8,1,4,0
PA14_62060,20618,14559,45983,7683,5340,5396
PA14_62070,0,0,1,0,0,0
PA14_62080,0,0,0,0,0,0
PA14_62090,7932,11473,17285,3882,2320,1397
PA14_62100,45,39,51,93,60,67
PA14_62110,161,181,165,301,234,207
pssA,779,871,967,887,818,819
ilvC,1988,2064,2497,2066,1796,1944
ilvH,400,449,495,502,355,443
ilvI,2447,2692,3013,3448,2878,2828
PA14_62170,151,162,144,214,128,164
PA14_62180,84,137,92,135,118,96
PA14_62190,244,299,300,317,330,252
mrcB,364,413,386,571,507,398
PA14_62230,390,376,419,397,419,435
PA14_62240,83,118,106,149,212,136
PA14_62250,151,176,174,339,311,281
PA14_62260,170,222,180,554,574,364
PA14_62270,106,121,109,133,214,177
hmuV,19,31,23,32,59,39
PA14_62290,33,63,38,48,75,58
PA14_62300,90,143,89,87,126,111
PA14_62330,91,221,90,65,98,81
PA14_62350,161,200,165,214,220,210
PA14_62360,39,28,24,37,32,30
PA14_62370,120,119,114,192,207,191
PA14_62380,81,92,84,115,135,98
PA14_62390,1631,2234,1914,1203,1820,1715
PA14_62400,1340,1747,1559,1503,1570,1475
PA14_62410,230,242,262,298,281,223
PA14_62420,561,629,654,902,1010,717
PA14_62430,156,168,180,256,316,228
PA14_62440,330,338,390,525,424,515
trmA,427,350,551,644,580,658
PA14_62470,139,118,146,152,165,135
PA14_62480,376,450,419,550,643,480
dksA,619,660,779,996,717,1000
PA14_62510,96,78,90,167,159,128
PA14_62520,17,16,18,23,20,27
cbrA,449,435,450,612,564,541
cbrB,1382,1423,1591,1138,1193,1052
pcnB,1411,1356,1454,2155,1812,1728
folK,144,172,176,262,230,170
panB_2,474,470,530,706,626,661
panC,215,229,287,381,295,351
panD,131,89,107,167,143,138
pgi,1024,1155,1237,1041,1013,1031
acsB,572,613,674,746,804,664
PA14_62640,200,196,194,234,233,190
PA14_62650,2033,2119,2179,4658,4350,3300
PA14_62660,254,245,271,641,538,466
PA14_62670,152,153,171,240,294,262
PA14_62680,3944,4503,5364,3549,5340,4410
PA14_62690,4110,4828,5525,3104,4591,3905
pnp,14008,13824,17216,17581,11269,13645
rpsO,2670,2451,3230,3161,2249,2556
truB,2682,2539,3042,3191,2412,2222
rbfA,1232,1170,1410,1639,976,1297
infB,32818,35039,44530,39617,31972,36862
nusA,12782,13555,17029,18906,14148,17227
PA14_62780,1807,1854,2075,2896,2105,2457
PA14_62790,0,3,1,3,1,2
PA14_62800,16,17,21,31,54,44
secG,969,908,1060,1525,1043,1291
tpiA,1260,1183,1316,1888,1030,1336
glmM,1635,2064,1771,2824,2131,2236
folP,632,823,715,1128,905,807
ftsH,8992,10564,10520,10272,10197,9091
rrmJ,559,603,641,944,811,692
PA14_62880,564,584,633,748,736,634
PA14_62890,628,610,692,740,745,583
greA,1489,1713,1972,1654,1470,1374
carB,7239,8219,9596,7532,6977,7005
PA14_62920,419,531,514,490,445,414
carA,2271,2533,2588,2495,2287,2440
dapB,267,328,391,480,425,417
dnaJ,558,634,641,1013,774,878
dnaK,7380,8144,8033,11634,9527,11004
grpE,456,532,429,697,624,688
recN,624,762,809,776,648,690
fur,1420,1536,1632,1715,1698,1469
omlA,531,571,653,595,442,567
PA14_63040,47,43,33,89,76,52
PA14_63050,264,286,322,399,406,346
smpB,188,183,172,245,238,229
PA14_63070,157,155,148,198,200,173
lldP,99,90,97,145,99,119
lldD,61,65,66,91,69,77
PA14_63100,146,166,151,152,193,156
PA14_63110,2381,2659,3095,1453,1187,1337
PA14_63120,2338,2521,2771,1275,1088,1109
PA14_63130,1192,1144,1300,772,568,594
pmrA,626,619,724,551,413,398
pmrB,365,313,401,359,258,195
PA14_63170,213,201,260,278,211,225
PA14_63190,41,42,55,57,73,53
PA14_63200,214,198,220,389,382,350
PA14_63210,514,592,580,695,782,536
PA14_63220,454,488,535,309,301,238
PA14_63230,51,50,51,39,49,28
PA14_63240,113,115,129,243,245,269
PA14_63250,441,420,449,703,815,657
fabG_4,394,418,365,517,472,445
PA14_63280,389,378,382,460,430,400
phaJ3,78,83,83,113,124,83
PA14_63300,51,68,60,77,79,63
PA14_63310,91,69,68,84,96,76
PA14_63320,63,59,51,56,65,51
PA14_63330,53,65,61,56,70,60
PA14_63340,286,295,346,325,348,328
PA14_63350,175,155,173,232,215,198
PA14_63360,41,41,53,64,60,63
PA14_63370,65,79,72,95,92,88
PA14_63380,93,110,121,164,120,136
PA14_63390,56,57,68,73,70,86
PA14_63410,61,81,83,120,94,92
PA14_63420,2,3,3,13,8,7
PA14_63430,47,45,34,38,41,35
PA14_63440,6,9,9,19,11,14
PA14_63450,93,111,100,177,129,141
PA14_63460,2,4,2,1,2,1
PA14_63470,133,156,145,119,129,104
PA14_63480,29,43,38,60,60,41
PA14_63500,24,41,48,64,63,53
PA14_63520,76,73,86,116,99,93
selB,299,270,264,239,230,221
selA,310,355,355,336,317,271
fdhE,178,186,193,178,184,178
fdnI,199,230,240,288,248,183
fdnH,820,815,809,1291,977,792
fdnG,2975,3026,3287,4260,3464,2620
lipC,19,20,20,27,16,26
fadH2,117,112,95,205,196,126
PA14_63650,24,38,26,59,42,34
PA14_63660,100,105,131,194,152,139
PA14_63680,6,8,15,23,24,24
PA14_63700,13,15,15,24,25,28
PA14_63710,5,6,3,4,7,9
PA14_63720,2,4,6,7,5,7
PA14_63730,34,34,32,38,52,44
PA14_63740,7,3,5,3,3,7
PA14_63750,55,49,62,61,61,41
PA14_63770,6,3,1,6,1,4
PA14_63780,24,35,49,16,12,16
mgtA,745,605,1003,673,475,838
PA14_63820,80,114,135,108,85,117
PA14_63830,65,74,84,135,120,118
PA14_63840,28,25,25,46,53,46
lpd3,175,165,176,246,300,257
PA14_63860,4,1,6,2,5,2
PA14_63880,34,48,25,32,30,30
PA14_63890,32,27,36,25,42,34
PA14_63900,80,123,127,112,118,111
PA14_63910,47,41,39,101,107,91
PA14_63920,28,32,36,57,69,55
PA14_63940,9,24,14,24,35,42
PA14_63960,38,40,46,83,107,81
PA14_63970,55,44,52,104,84,110
speA,696,653,810,1487,1645,1896
PA14_64000,31,30,32,68,68,94
PA14_64010,182,205,176,181,243,195
PA14_64030,901,1099,1072,1019,1118,942
PA14_64050,351,323,323,362,236,199
PA14_64060,44,54,52,62,49,46
dipZ,87,108,83,117,106,100
aroQ1,283,303,366,406,317,380
accB,953,1163,1107,1093,891,965
accC,3268,3911,3434,3141,3279,3216
PA14_64120,37,56,54,79,65,75
prmA,342,358,388,379,377,415
PA14_64170,465,476,510,595,510,510
PA14_64180,1288,1392,1598,2129,1934,2233
fis,376,353,481,691,474,717
purH,1019,966,1290,1442,1427,1638
purD,577,558,803,727,755,851
retS,492,550,604,930,801,682
PA14_64240,24,20,15,40,32,26
PA14_64260,0,1,0,0,0,0
PA14_64270,59,59,63,94,92,69
PA14_64280,10,9,6,12,13,13
PA14_64290,14,12,12,28,18,12
PA14_64300,8,12,19,15,19,9
PA14_64310,12,16,16,10,13,7
PA14_64320,49,63,66,50,60,49
ureD,28,25,20,21,19,24
ureA,15,15,17,13,10,13
PA14_64360,28,29,31,37,38,25
ureB,25,36,27,27,23,37
ureC,318,341,380,368,430,349
PA14_64400,117,120,132,201,237,179
PA14_64410,59,56,82,72,96,63
PA14_64420,20,27,20,35,31,22
PA14_64430,224,244,201,197,228,176
PA14_64440,363,355,388,415,452,378
PA14_64450,226,273,291,431,526,392
PA14_64460,555,633,707,705,836,740
PA14_64470,42,32,37,53,79,50
osmE,535,554,596,561,633,483
PA14_64490,129,129,126,153,147,125
PA14_64500,147,202,174,194,204,170
PA14_64510,482,579,493,692,823,602
PA14_64520,261,327,258,229,169,160
PA14_64530,173,267,263,70,33,35
PA14_64540,39,37,28,61,61,53
PA14_64550,8,5,5,28,24,21
PA14_64560,38,21,21,89,94,50
irlR,7,11,13,13,8,18
PA14_64580,33,35,34,39,53,33
PA14_64590,44,50,55,56,53,48
PA14_64610,21,24,31,28,27,24
PA14_64620,27,27,34,18,17,14
PA14_64640,70,87,78,73,60,75
ureE,8,5,4,6,1,4
ureF,4,0,3,3,9,5
ureG,12,19,15,31,22,21
ureJ,10,17,15,12,19,19
PA14_64690,7,15,6,18,20,16
PA14_64700,15,51,12,9,15,20
PA14_64710,109,104,115,185,165,175
PA14_64720,43,38,32,80,65,51
PA14_64740,159,170,161,294,334,238
PA14_64750,54,47,45,103,95,84
mdlC,30,43,27,50,43,33
PA14_64780,49,58,69,73,75,65
PA14_64790,17,19,8,14,23,18
vanA,13,12,18,30,21,21
vanB,31,35,23,60,77,38
PA14_64820,167,166,174,233,252,196
PA14_64840,91,107,103,112,88,97
PA14_64850,27,15,17,44,39,25
PA14_64860,48,44,58,124,101,92
PA14_64870,55,60,61,176,140,113
