,Rev_MHH8607,Rev_MHH9536,Rev_MHH9604
"PA14_20800,",82,74,52
"PA14_20810,recQ",532,423,199
"PA14_20820,",106,119,71
"PA14_20840,",94,108,57
"PA14_20850,slyA",183,155,130
"PA14_20860,",30,69,92
"PA14_20870,",142,162,64
"PA14_20880,",13,12,9
"PA14_20890,rfaD",112,174,151
"PA14_20900,",2,6,9
"PA14_20920,",8,9,8
"PA14_20940,",2,2,5
"PA14_20950,fabH2",3,5,9
"PA14_20960,",5,1,9
"PA14_20970,cyp23",4,5,11
"PA14_20980,",3,3,5
"PA14_21000,",1,5,5
"PA14_21010,",2,2,5
"PA14_21020,",12,20,33
"PA14_21030,",124,104,164
"PA14_21040,",7,9,5
"PA14_21050,",23,15,23
"PA14_21060,",8,10,15
"PA14_21070,",88,77,47
"PA14_21080,toxR",27,30,30
"PA14_21090,",6,4,6
"PA14_21110,plcN",13,21,14
"PA14_21120,",4,9,3
"PA14_21130,",36,45,72
"PA14_21140,",38,31,19
"PA14_21150,",48,37,17
"PA14_21160,",71,61,30
"PA14_21175,",449,337,272
"PA14_21180,",72,63,41
"PA14_21190,",24,46,92
"PA14_21210,",124,137,69
"PA14_21220,",604,523,652
"PA14_21230,hepA",666,473,213
"PA14_21240,",12,17,23
"PA14_21250,alkB",141,387,308
"PA14_21260,",282,248,405
"PA14_21280,",51,34,38
"PA14_21290,",8,12,18
"PA14_21300,",36,11,11
"PA14_21310,phaJ1",153,108,121
"PA14_21320,",249,209,207
"PA14_21340,fadD2",283,586,584
"PA14_21370,fadD1",1341,1447,1109
"PA14_21380,",1,1,1
"PA14_21400,hrpA",302,330,182
"PA14_21410,phoA",8,3,13
"PA14_21440,",199,269,248
"PA14_21450,",38,25,78
"PA14_21460,",5,4,23
"PA14_21470,",10,13,50
"PA14_21480,",34,41,153
"PA14_21490,",225,238,428
"PA14_21510,",4,6,5
"PA14_21520,",39,44,20
"PA14_21530,",5,0,4
"PA14_21540,fabH-2",562,697,519
"PA14_21550,",234,241,156
"PA14_21560,",20,11,21
"PA14_21570,",31,50,36
"PA14_21580,",88,161,54
"PA14_21590,",22,26,13
"PA14_21600,",21,29,11
"PA14_21610,oprO",21,25,26
"PA14_21620,oprP",0,2,2
"PA14_21630,",49,93,34
"PA14_21640,",36,25,34
"PA14_21650,",32,19,17
"PA14_21660,",17,11,4
"PA14_21670,",0,2,0
"PA14_21680,",6,4,1
"PA14_21690,lhr1",123,101,104
"PA14_21700,",170,740,516
"PA14_21710,",134,136,77
"PA14_21720,",64,74,42
"PA14_21730,fecA",439,120,53
"PA14_21750,",403,291,615
"PA14_21760,capB",101,145,89
"PA14_21770,sugE",19,20,14
"PA14_21780,",105,89,61
"PA14_21790,rdgC",383,231,104
"PA14_21800,",570,348,236
"PA14_21810,",261,115,86
"PA14_21820,",1589,1226,726
"PA14_21830,",37,8,17
"PA14_21840,",44,44,62
"PA14_21850,",98,82,52
"PA14_21860,",38,24,19
"PA14_21870,",16,13,7
"PA14_21880,tsp",2464,2080,2123
"PA14_21890,qor",160,144,130
"PA14_21900,",117,130,74
"PA14_21910,",46,64,66
"PA14_21920,",23,21,31
"PA14_21930,",22,16,15
"PA14_21940,",14,18,27
"PA14_21960,",66,48,132
"PA14_21970,",5,10,5
"PA14_21980,",24,20,23
"PA14_21990,",267,234,161
"PA14_22000,rluA",57,47,27
"PA14_22010,minE",853,929,571
"PA14_22020,minD",3502,2911,1920
"PA14_22040,minC",371,274,167
"PA14_22050,htrB",82,83,53
"PA14_22060,",159,115,114
"PA14_22075,",14,12,15
"PA14_22080,",0,0,1
"PA14_22090,",0,0,0
"PA14_22100,",0,0,0
"PA14_22110,",0,0,0
"PA14_22120,",0,0,0
"PA14_22130,",0,0,0
"PA14_22140,",0,0,0
"PA14_22160,",0,0,0
"PA14_22180,",0,0,0
"PA14_22190,",0,0,0
"PA14_22210,",0,0,0
"PA14_22220,",0,0,0
"PA14_22230,",0,0,0
"PA14_22240,",0,1,0
"PA14_22250,",0,0,0
"PA14_22260,",0,0,0
"PA14_22270,",0,0,0
"PA14_22280,",9,7,18
"PA14_22290,vacJ",182,182,178
"PA14_22310,",330,289,360
"PA14_22320,",2,0,3
"PA14_22330,",31,32,53
"PA14_22340,yjcH",63,1845,3505
"PA14_22350,actP",182,3947,7768
"PA14_22370,",29,418,547
"PA14_22380,",28,147,142
"PA14_22400,",3,25,29
"PA14_22410,",107,93,58
"PA14_22420,",89,164,112
"PA14_22440,bapA",278,245,190
"PA14_22450,ppiA",338,353,255
"PA14_22460,",298,320,241
"PA14_22470,",147,143,143
"PA14_22480,",39,38,23
"PA14_22490,acpD",33,70,59
"PA14_22500,",0,0,0
"PA14_22510,",0,0,0
"PA14_22520,",0,0,0
"PA14_22530,",0,0,0
"PA14_22540,wrbA",0,0,1
"PA14_22550,",0,0,0
"PA14_22560,",111,172,102
"PA14_22570,csaA",150,114,89
"PA14_22580,",39,64,32
"PA14_22590,",2,5,2
"PA14_22600,grtA",1,1,5
"PA14_22620,cyaB",254,265,181
"PA14_22630,",22,7,9
"PA14_22640,",73,52,44
"PA14_22650,",92,74,84
"PA14_22660,",300,246,244
"PA14_22670,yrbF",157,169,136
"PA14_22680,yrbE",428,463,372
"PA14_22690,trkH",183,146,75
"PA14_22700,ykgJ",18,7,2
"PA14_22710,ydjA",32,37,26
"PA14_22720,",13,3,6
"PA14_22730,",44,39,36
"PA14_22740,",279,527,840
"PA14_22760,cpxR",184,250,227
"PA14_22770,",204,295,190
"PA14_22780,yciI",138,228,150
"PA14_22800,yciB",721,941,687
"PA14_22820,yciV",120,87,94
"PA14_22830,yciO",192,141,145
"PA14_22840,ypuG",137,94,82
"PA14_22860,",173,122,83
"PA14_22870,",78,73,38
"PA14_22880,",12,9,6
"PA14_22890,gapA",477,886,39
"PA14_22910,edd",875,1352,129
"PA14_22930,glk",238,362,54
"PA14_22940,gltR",141,242,65
"PA14_22960,",135,279,63
"PA14_22980,gltB",4741,8933,881
"PA14_22990,gltF",1035,2701,169
"PA14_23000,gltG",1778,3780,217
"PA14_23010,gltK",2140,3142,228
"PA14_23030,oprB",1953,3022,396
"PA14_23050,",288,307,116
"PA14_23060,hexR",144,103,49
"PA14_23070,zwf",913,1806,98
"PA14_23080,pgl",228,334,26
"PA14_23090,edaA",302,383,37
"PA14_23100,mutT",44,26,24
"PA14_23110,yciL",129,57,63
"PA14_23120,",24,31,23
"PA14_23130,",260,132,105
"PA14_23160,gltS",22,20,34
"PA14_23170,hutG",7,13,10
"PA14_23190,",17,13,19
"PA14_23200,yciK",183,132,80
"PA14_23210,",275,144,89
"PA14_23220,ubiG",424,202,170
"PA14_23240,",174,135,87
"PA14_23250,mtnA",248,131,66
"PA14_23260,gyrA",3808,4095,1547
"PA14_23270,serC",1229,1182,691
"PA14_23280,pheA",1243,1395,878
"PA14_23290,hisC2",394,345,172
"PA14_23310,",894,649,453
"PA14_23320,cmk",167,109,81
"PA14_23330,rpsA",27311,23818,9894
"PA14_23340,ihfB",268,391,258
"PA14_23350,orfA",0,0,0
"PA14_23360,wzz",0,0,1
"PA14_23370,orfK",0,0,0
"PA14_23380,orfH",0,1,1
"PA14_23390,orfE",1,0,0
"PA14_23400,",1,0,0
"PA14_23410,orfJ",0,0,0
"PA14_23420,",0,5,1
"PA14_23430,",0,0,1
"PA14_23440,orfL",0,1,2
"PA14_23450,orfM",1,2,4
"PA14_23460,orfN",59,116,71
"PA14_23470,wbpM",1605,1509,1161
"PA14_23480,",15,13,7
"PA14_23490,",39,21,30
"PA14_23500,tyrB",1314,1273,715
"PA14_23510,uvrB",632,588,492
"PA14_23520,",34,39,13
"PA14_23530,mdr",12,12,5
"PA14_23540,act",96,124,71
"PA14_23560,gltx",1202,1122,490
"PA14_23570,",270,125,75
"PA14_23580,",15,18,12
"PA14_23590,",16,7,10
"PA14_23610,",19,19,14
"PA14_23620,kdgA",202,155,86
"PA14_23630,",95,86,46
"PA14_23640,",49,32,11
"PA14_23650,ygfF",50,90,92
"PA14_23670,",85,109,138
"PA14_23680,ibpA",204,215,273
"PA14_23690,",22,30,27
"PA14_23700,",90,78,91
"PA14_23720,",98,94,157
"PA14_23730,",21,18,8
"PA14_23750,leuC",241,256,241
"PA14_23760,leuD",131,189,164
"PA14_23770,yafE",72,62,30
"PA14_23790,leuB",275,276,176
"PA14_23800,asd",740,634,340
"PA14_23810,",123,83,48
"PA14_23830,fimV",1469,1846,1220
"PA14_23840,truA",70,81,57
"PA14_23850,trpF",99,80,60
"PA14_23860,accD",1716,1636,918
"PA14_23880,folC",1055,1077,630
"PA14_23890,",490,502,418
"PA14_23900,cvpA",132,144,78
"PA14_23920,purF",916,1019,559
"PA14_23930,metZ",376,329,168
"PA14_23950,",122,102,57
"PA14_23970,xcpQ",291,506,389
"PA14_23980,xcpP",134,172,149
"PA14_23990,xcpR",150,150,100
"PA14_24010,xcpS",223,277,222
"PA14_24020,xcpT",146,185,115
"PA14_24040,xcpU",51,74,36
"PA14_24050,xcpV",39,33,21
"PA14_24060,xcpW",51,40,21
"PA14_24070,xcpX",74,84,36
"PA14_24080,xcpY",61,68,60
"PA14_24100,xcpZ",7,8,5
"PA14_24110,",429,320,181
"PA14_24120,",3303,1208,572
"PA14_24130,",121,35,35
"PA14_24140,",89,82,85
"PA14_24150,",103,110,66
"PA14_24170,fadH1",142,162,164
"PA14_24180,",107,62,59
"PA14_24190,",12,11,8
"PA14_24210,",16,15,18
"PA14_24220,ppnK",317,355,227
"PA14_24230,",179,144,131
"PA14_24240,",86,108,65
"PA14_24245,",162,160,131
"PA14_24260,",354,322,228
"PA14_24270,pepN",1274,1149,906
"PA14_24290,gbt",272,663,464
"PA14_24300,",50,141,94
"PA14_24310,",58,305,626
"PA14_24330,",182,1686,2997
"PA14_24340,",89,81,51
"PA14_24350,",57,44,29
"PA14_24360,",0,0,0
"PA14_24370,",81,64,45
"PA14_24380,",81,92,62
"PA14_24390,",140,97,69
"PA14_24400,",53,80,32
"PA14_24410,",10,18,17
"PA14_24420,",69,72,51
"PA14_24430,moxR",198,203,148
"PA14_24440,",70,4,19
"PA14_24445,gdhB",8250,16819,12062
"PA14_24480,pelA",40,32,98
"PA14_24490,pelB",29,22,94
"PA14_24500,pelC",5,0,4
"PA14_24510,pelD",29,16,77
"PA14_24530,pelE",6,5,28
"PA14_24550,pelF",27,18,106
"PA14_24560,pelG",44,53,149
"PA14_24570,",12,15,8
"PA14_24580,",81,118,98
"PA14_24590,",163,186,158
"PA14_24600,",172,178,265
"PA14_24610,",125,78,85
"PA14_24620,",135,125,109
"PA14_24630,",12,14,8
"PA14_24640,pyrD",207,130,101
"PA14_24650,rmf",2519,1026,1644
"PA14_24665,",70,58,31
"PA14_24675,",87,88,73
"PA14_24690,dacB",150,188,109
"PA14_24700,",355,280,214
"PA14_24710,",14,27,13
"PA14_24720,",13,35,19
"PA14_24730,",269,252,241
"PA14_24740,",46,22,20
"PA14_24760,yqjE",167,72,75
"PA14_24770,",178,92,85
"PA14_24780,",11,15,10
"PA14_24790,opdQ",610,3736,5725
"PA14_24810,",14,23,21
"PA14_24820,",10,23,23
"PA14_24830,",17,18,19
"PA14_24840,",87,64,54
"PA14_24850,",65,68,40
"PA14_24860,snr1",12,12,15
"PA14_24870,",9,5,6
"PA14_24880,",883,377,631
"PA14_24890,mobA",60,62,31
"PA14_24900,moaB2",208,236,171
"PA14_24910,moeA2",346,307,195
"PA14_24920,",91,86,47
"PA14_24940,",72,82,49
"PA14_24950,glpD2",46,42,36
"PA14_24960,",48,75,54
"PA14_24970,yegS",42,20,29
"PA14_24980,",117,108,98
"PA14_24990,",74,50,165
"PA14_25000,slt",366,427,393
"PA14_25020,uup",349,277,118
"PA14_25030,",64,50,36
"PA14_25040,",120,119,126
"PA14_25050,",5,7,0
"PA14_25060,",84,118,128
"PA14_25080,fadB",2506,3475,2596
"PA14_25090,fadA",878,1057,842
"PA14_25100,",58,43,36
"PA14_25110,topA",2784,2666,1985
"PA14_25130,",304,175,173
"PA14_25140,",112,87,64
"PA14_25150,",101,113,84
"PA14_25160,lexA",203,240,122
"PA14_25180,psrA",194,207,114
"PA14_25195,nagZ",363,321,216
"PA14_25210,",208,149,113
"PA14_25220,",177,177,123
"PA14_25230,mfd",1188,1168,661
"PA14_25250,gapA",3340,2431,1762
"PA14_25270,aroP1",170,159,102
"PA14_25280,nqrA",574,987,526
"PA14_25305,nqrB",492,882,494
"PA14_25320,nqrC",338,614,330
"PA14_25330,nqrD",394,733,449
"PA14_25340,nqrE",329,460,314
"PA14_25350,nqrF",710,940,741
"PA14_25360,apbE",325,405,286
"PA14_25370,",107,113,90
"PA14_25390,sth",1976,2310,1667
"PA14_25400,ugpQ",167,179,148
"PA14_25410,",59,43,31
"PA14_25420,",135,152,138
"PA14_25430,lolC",274,192,96
"PA14_25440,lolD",124,89,46
"PA14_25450,lolE",246,165,82
"PA14_25470,",29,130,84
"PA14_25480,",31,23,20
"PA14_25490,",330,309,154
"PA14_25500,exbD",146,125,54
"PA14_25510,lpxK",452,477,293
"PA14_25520,",207,188,130
"PA14_25530,kdsB",263,222,117
"PA14_25540,ptpA",179,189,86
"PA14_25550,murB",190,145,75
"PA14_25560,rne",3896,3768,2103
"PA14_25580,rluC",390,430,215
"PA14_25590,",411,487,286
"PA14_25600,sppA",522,432,247
"PA14_25610,maf-1",18,16,14
"PA14_25620,",4252,4910,1796
"PA14_25630,rpmF",1219,1211,441
"PA14_25640,plsX",285,271,113
"PA14_25650,fabD",1248,830,469
"PA14_25660,fabG",2971,2746,1639
"PA14_25670,acpP",15568,14953,11273
"PA14_25690,fabF1",1255,1189,647
"PA14_25710,pabC",184,153,114
"PA14_25730,",113,115,68
"PA14_25740,tmk",95,79,59
"PA14_25760,holB",328,260,142
"PA14_25770,pilZ",876,514,280
"PA14_25780,ycfH",194,181,103
"PA14_25790,",99,93,70
"PA14_25800,",569,504,250
"PA14_25810,",122,119,61
"PA14_25820,",77,98,48
"PA14_25830,",43,44,27
"PA14_25840,",1898,1646,1578
"PA14_25860,etfB",5629,4844,4276
"PA14_25880,etfA",6870,5734,5771
"PA14_25900,",2702,2017,1125
"PA14_25910,",68,47,46
"PA14_25920,cobM",93,89,55
"PA14_25930,",36,38,37
"PA14_25940,",330,254,225
"PA14_25960,cobW",354,251,159
"PA14_25970,cobN",390,347,190
"PA14_25980,aroF",53,56,29
"PA14_25990,",68,65,37
"PA14_26000,",26,10,7
"PA14_26010,phaA",22,11,12
"PA14_26020,",103,67,138
"PA14_26050,",4,25,45
"PA14_26060,",25,9,21
"PA14_26070,",11,12,1
"PA14_26080,",3,6,2
"PA14_26090,cif",6,11,8
"PA14_26110,",1,3,2
"PA14_26130,morB",2,3,3
"PA14_26140,cifR",5,8,8
"PA14_26150,",6,13,11
"PA14_26160,",8,6,7
"PA14_26165,",79,18,22
"PA14_26190,",37,28,46
"PA14_26200,",10,6,0
"PA14_26210,hisP",2,4,7
"PA14_26220,hisM",5,8,9
"PA14_26230,hisQ",0,7,5
"PA14_26240,hisJ",1,4,2
"PA14_26260,",1,5,5
"PA14_26270,",18,45,17
"PA14_26280,",41,49,36
"PA14_26300,",1,0,1
"PA14_26310,",21,16,5
"PA14_26330,",11,19,21
"PA14_26340,",1,0,2
"PA14_26350,",45,165,151
"PA14_26360,btuC",8,8,6
"PA14_26390,",8,11,7
"PA14_26400,",5,4,8
"PA14_26420,",49,80,42
"PA14_26450,yebN",2,0,5
"PA14_26460,cobK",7,7,4
"PA14_26470,cbiD",38,52,21
"PA14_26480,cobL",52,30,24
"PA14_26485,",76,60,53
"PA14_26500,cobH",32,30,12
"PA14_26510,cobI",87,63,46
"PA14_26530,cobJ",72,55,35
"PA14_26540,",143,147,86
"PA14_26550,",232,237,146
"PA14_26560,",241,227,166
"PA14_26570,",31,35,28
"PA14_26580,",7,4,5
"PA14_26590,",382,543,536
"PA14_26600,",80,24,48
"PA14_26610,",10,17,18
"PA14_26620,",71,123,83
"PA14_26640,",35,54,41
"PA14_26650,",16,14,19
"PA14_26670,",27,37,46
"PA14_26690,",10,21,17
"PA14_26700,",43,110,91
"PA14_26720,mccB",30,49,44
"PA14_26730,",33,26,26
"PA14_26750,",29,67,59
"PA14_26760,",104,88,111
"PA14_26770,",117,78,57
"PA14_26780,",86,30,25
"PA14_26810,",2,6,9
"PA14_26830,",0,9,3
"PA14_26850,",10,8,3
"PA14_26860,hpkR",18,17,13
"PA14_26870,",1,5,5
"PA14_26880,",54,57,21
"PA14_26890,pyrF",46,47,21
"PA14_26910,moxR",64,180,98
"PA14_26920,",22,76,33
"PA14_26930,",46,197,93
"PA14_26940,",28,45,36
"PA14_26960,",74,77,69
"PA14_26970,",22,35,31
"PA14_26980,",37,60,80
"PA14_26990,",23,62,42
"PA14_27000,",113,527,414
"PA14_27020,mttC",28,21,9
"PA14_27050,",190,135,76
"PA14_27070,",51,33,42
"PA14_27090,lipH",16,66,26
"PA14_27100,lipA",73,238,134
"PA14_27110,ligT",3,15,8
"PA14_27120,",156,120,116
"PA14_27130,greB",66,104,83
"PA14_27140,",141,381,312
"PA14_27150,",62,171,154
"PA14_27160,tesA",120,141,115
"PA14_27170,",29,53,37
"PA14_27180,erfK",391,340,290
"PA14_27190,",246,185,123
"PA14_27200,",62,69,78
"PA14_27210,efp",3620,3011,1568
"PA14_27220,ohr",3,2,1
"PA14_27230,",117,105,132
"PA14_27250,",14,22,2
"PA14_27270,",19,17,15
"PA14_27280,",20,16,19
"PA14_27290,",0,8,18
"PA14_27310,",59,63,42
"PA14_27330,dhs",150,175,124
"PA14_27350,",49,38,30
"PA14_27360,",20,35,27
"PA14_27370,deaD",55,25,15
"PA14_27390,",12,10,10
"PA14_27400,",1,7,5
"PA14_27410,trpC",6,4,1
"PA14_27420,trpB",4,4,4
"PA14_27430,",10,9,3
"PA14_27440,trpR",42,40,30
"PA14_27450,",18,7,3
"PA14_27460,tpm",182,113,82
"PA14_27470,",103,58,43
"PA14_27480,htpX",161,4483,3709
"PA14_27490,",27,34,22
"PA14_27500,yfbQ",484,379,234
"PA14_27510,msrB",71,96,82
"PA14_27520,gpo",71,55,69
"PA14_27530,",29,26,36
"PA14_27550,",329,399,369
"PA14_27560,",374,475,278
"PA14_27570,",155,177,95
"PA14_27580,",97,71,81
"PA14_27590,",198,458,348
"PA14_27600,",46,38,19
"PA14_27610,",283,313,387
"PA14_27620,",11,9,16
"PA14_27630,rebB1",0,0,0
"PA14_27640,rebB2",0,0,0
"PA14_27650,",0,0,0
"PA14_27660,",0,0,0
"PA14_27675,",0,0,0
"PA14_27680,",0,0,0
"PA14_27690,fecI",0,0,0
"PA14_27700,",0,0,0
"PA14_27710,",87,42,39
"PA14_27720,",18,13,12
"PA14_27730,fadE",435,114,349
"PA14_27740,",17,20,32
"PA14_27755,yliJ",134,137,173
"PA14_27770,yadG",571,420,431
"PA14_27780,yadH",316,290,304
"PA14_27800,",125,119,98
"PA14_27810,copR",46,56,25
"PA14_27830,",0,5,2
"PA14_27840,",3,0,4
"PA14_27850,queF",54,69,31
"PA14_27870,",266,337,247
"PA14_27880,",3,6,0
"PA14_27890,",0,0,0
"PA14_27900,",91,90,65
"PA14_27910,",35,16,15
"PA14_27920,vacJ",798,1003,665
"PA14_27930,",48,26,45
"PA14_27940,",1531,1509,762
"PA14_27950,",796,945,497
"PA14_27960,tal",766,616,604
"PA14_27980,yjbN",111,104,42
"PA14_27990,",0,0,0
"PA14_28000,",98,57,144
"PA14_28010,",27,10,112
"PA14_28020,",2,1,13
"PA14_28030,",35,27,41
"PA14_28040,",16,35,55
"PA14_28050,",26,65,54
"PA14_28060,cpg2",20,10,21
"PA14_28070,",6,6,6
"PA14_28080,",6,0,2
"PA14_28090,",7,11,6
"PA14_28100,",3,6,6
"PA14_28110,",8,2,7
"PA14_28120,",305,31,249
"PA14_28130,",136,52,182
"PA14_28140,",136,21,55
"PA14_28150,",70,12,17
"PA14_28170,yfdC",64,25,24
"PA14_28180,ordL",260,661,1143
"PA14_28190,",10,5,11
"PA14_28200,",82,48,202
"PA14_28210,",29,22,125
"PA14_28220,",20,8,28
"PA14_28230,",5,3,4
"PA14_28240,",0,1,2
"PA14_28250,",19,21,15
"PA14_28260,",89,66,51
"PA14_28280,",148,104,45
"PA14_28290,",35,37,26
"PA14_28300,",1,2,3
"PA14_28310,",5,9,1
"PA14_28320,",18,22,30
"PA14_28330,",4,5,8
"PA14_28340,",144,164,83
"PA14_28350,",73,27,23
"PA14_28360,",2,4,6
"PA14_28370,",0,1,0
"PA14_28380,",3,6,2
"PA14_28390,",37,13,10
"PA14_28400,oprQ",3010,6795,7379
"PA14_28410,",10,6,7
"PA14_28420,",33,57,33
"PA14_28430,",12,7,5
"PA14_28440,",173,161,103
"PA14_28450,eco",488,251,406
"PA14_28460,",95,59,86
"PA14_28470,",8,10,9
"PA14_28490,",83,50,47
"PA14_28500,",39,82,70
"PA14_28510,",19,17,11
"PA14_28520,",59,4,5
"PA14_28530,",39,22,17
"PA14_28540,",3,1,1
"PA14_28560,",42,16,25
"PA14_28570,endA",57,13,15
"PA14_28580,",5,5,7
"PA14_28590,mapB",43,48,22
"PA14_28600,",33,23,38
"PA14_28610,",13,24,26
"PA14_28620,",15,8,9
"PA14_28630,",50,35,33
"PA14_28650,thrS",2987,3932,2006
"PA14_28660,infC",18536,26824,12424
"PA14_28670,rpmI",3421,3880,1997
"PA14_28680,rplT",4972,8685,3599
"PA14_28690,pheS",904,1067,648
"PA14_28710,pheT",3935,4831,4092
"PA14_28720,ihfA",1513,1859,1645
"PA14_28730,",771,1008,920
"PA14_28740,",170,105,111
"PA14_28750,",3,4,4
"PA14_28760,",35,41,21
"PA14_28770,",0,1,0
"PA14_28780,",8,11,9
"PA14_28790,",0,0,0
"PA14_28800,",2,0,1
"PA14_28810,",0,1,1
"PA14_28820,",0,0,0
"PA14_28830,",0,0,0
"PA14_28840,",1,4,4
"PA14_28850,",60,90,49
"PA14_28870,",3,4,0
"PA14_28880,",31,28,108
"PA14_28895,",198,183,481
"PA14_28910,",21,12,48
"PA14_28920,",165,122,337
"PA14_28930,",3,5,6
"PA14_28940,",31,12,15
"PA14_28950,",49,76,42
"PA14_28960,",14,9,18
"PA14_28970,",0,0,0
"PA14_28980,",0,1,1
"PA14_28990,",62,56,79
"PA14_29000,",29,23,23
"PA14_29010,",79,51,52
"PA14_29020,cpo",42,21,27
"PA14_29030,",11,9,10
"PA14_29040,",4,2,2
"PA14_29050,",13,18,6
"PA14_29060,",16,32,24
"PA14_29070,",42,52,23
"PA14_29090,potF4",64,72,81
"PA14_29100,",89,106,96
"PA14_29110,cysK",517,434,407
"PA14_29120,",33,22,15
"PA14_29130,",1069,1207,1278
"PA14_29150,",90,105,80
"PA14_29160,",327,278,282
"PA14_29180,",36,64,57
"PA14_29190,",12,1,11
"PA14_29200,",23,5,26
"PA14_29210,tetV",9,2,18
"PA14_29220,opdB",13,17,15
"PA14_29230,",36,15,29
"PA14_29240,",33,20,24
"PA14_29250,",9,29,29
"PA14_29260,",51,13,19
"PA14_29270,yaiW",94,51,35
"PA14_29280,trxA",7,9,13
"PA14_29290,",13,9,4
"PA14_29300,",48,68,47
"PA14_29320,",34,34,43
"PA14_29330,",0,0,0
"PA14_29340,",1,1,1
"PA14_29350,pfeA",27,11,16
"PA14_29360,pfeS",58,26,20
"PA14_29390,",383,543,2311
"PA14_29400,rhs",288,316,1850
"PA14_29410,",80,52,325
"PA14_29420,ysgA",33,52,25
"PA14_29440,",14,24,11
"PA14_29460,qor",20,18,13
"PA14_29470,",103,150,146
"PA14_29480,wzm",15,15,10
"PA14_29490,hplR",21,28,17
"PA14_29500,hplS",7,13,8
"PA14_29510,hplT",18,13,6
"PA14_29520,hplU",4,8,3
"PA14_29530,hplV",6,9,8
"PA14_29540,hplW",7,6,6
"PA14_29550,",10,11,12
"PA14_29560,",29,21,19
"PA14_29570,",13,12,7
"PA14_29575,",119,468,502
"PA14_29590,",5669,5425,5442
"PA14_29600,ptpS",98,69,43
"PA14_29620,norR",62,44,50
"PA14_29640,fhp",776,339,723
"PA14_29650,",452,160,473
"PA14_29660,",540,137,573
"PA14_29680,",74,55,34
"PA14_29690,",79,65,47
"PA14_29710,",168,120,115
"PA14_29720,",145,128,67
"PA14_29730,",96,92,51
"PA14_29740,",115,109,59
"PA14_29750,",4,2,2
"PA14_29760,",111,323,207
"PA14_29770,",34,25,22
"PA14_29800,",38,138,102
"PA14_29820,",187,142,114
"PA14_29830,",4,6,6
"PA14_29850,nuoN",1027,747,732
"PA14_29860,nuoM",1931,1489,1318
"PA14_29880,nuoL",2133,1671,1504
"PA14_29890,nuoK",453,318,360
"PA14_29900,nuoJ",365,298,253
"PA14_29920,nuoI",713,514,533
"PA14_29930,nuoH",1721,1001,1032
"PA14_29940,nuoG",3228,2347,2019
"PA14_29970,nuoF",1035,968,715
"PA14_29980,nuoE",657,496,369
"PA14_29990,nuoD",2822,2431,1712
"PA14_30010,nuoB",1342,1204,909
"PA14_30020,nuoA",1598,1464,761
"PA14_30030,",1,0,2
"PA14_30040,",19,17,16
"PA14_30050,aceA",1991,3034,3586
"PA14_30070,",87,134,135
"PA14_30080,",61,108,90
"PA14_30090,",95,151,149
"PA14_30100,",401,333,368
"PA14_30110,purB",674,320,148
"PA14_30130,",57,64,33
"PA14_30140,",158,146,83
"PA14_30150,mnmA",367,315,156
"PA14_30160,mutT",18,40,13
"PA14_30180,idh",2208,7128,3291
"PA14_30190,icd",8983,11146,9483
"PA14_30200,cspD",225,60,194
"PA14_30210,clpS",1091,1079,1086
"PA14_30230,clpA",1921,1840,1889
"PA14_30240,infA",287,239,127
"PA14_30260,ate1",177,163,183
"PA14_30270,aat",99,118,96
"PA14_30280,trxB1",705,639,478
"PA14_30290,ftsK",1379,1261,825
"PA14_30310,lolA",582,596,489
"PA14_30320,ycaJ",429,439,310
"PA14_30330,serS",747,878,563
"PA14_30340,cysG",222,284,224
"PA14_30350,yqjG",37,38,29
"PA14_30360,",202,231,209
"PA14_30370,",49,58,64
"PA14_30380,",52,60,49
"PA14_30390,",43,51,38
"PA14_30400,dsrE",31,30,21
"PA14_30410,yccA",1302,9964,12349
"PA14_30420,",38,50,30
"PA14_30430,",29,20,14
"PA14_30440,",16,23,25
"PA14_30450,",42,33,47
"PA14_30460,",6,4,4
"PA14_30470,",19,9,8
"PA14_30490,",12,10,11
"PA14_30500,",13,7,5
"PA14_30520,",7,3,4
"PA14_30540,",4,1,2
"PA14_30550,ssuA",5,12,17
"PA14_30560,",3,0,1
"PA14_30570,potF",75,95,123
"PA14_30580,",17,28,21
"PA14_30590,",6,7,2
"PA14_30600,",5,3,7
"PA14_30620,",15,22,15
"PA14_30630,pqsH",14,20,11
"PA14_30650,gacA",831,227,731
"PA14_30660,uvrC",380,38,275
"PA14_30670,pgsA",230,239,117
"PA14_30680,",13,25,17
"PA14_30690,",0,0,0
"PA14_30700,",438,524,394
"PA14_30710,",701,776,533
"PA14_30720,",492,404,365
"PA14_30730,",392,211,626
"PA14_30740,mdaB",10,9,3
"PA14_30750,",138,112,128
"PA14_30760,",17,23,30
"PA14_30770,",42,41,46
"PA14_30790,",25,24,24
"PA14_30800,",564,553,525
"PA14_30810,alkB1",75,43,21
"PA14_30820,",85,69,129
"PA14_30830,",112,88,115
"PA14_30840,",88,42,106
"PA14_30850,trbI",0,0,0
"PA14_30860,trbG",0,0,0
"PA14_30870,trbF",0,0,0
"PA14_30880,trbL",0,0,0
"PA14_30890,",0,0,0
"PA14_30900,trbJ",1,0,0
"PA14_30910,trbE",0,0,0
"PA14_30930,trbC",0,0,0
"PA14_30940,trbB",0,0,0
"PA14_30950,",0,0,0
