,Z2_1A-Expression,C1_1A-Expression,C3_1A-Expression,C5_1A-Expression
PA3070,709,463,414,485
PA3071,274,219,135,108
PA3072,64,43,31,20
PA3073,182,75,60,70
PA3074,388,215,145,149
PA3075,320,160,138,128
PA3076,318,215,187,204
PA3077,105,62,86,77
PA3078,197,123,126,92
PA3079,922,249,163,232
PA3080,534,119,115,110
PA3081,598,88,86,121
PA3082,814,237,227,230
PA3083,3651,2088,2264,2309
PA3084,602,333,405,576
PA3085,148,111,137,149
PA3086,350,164,110,127
PA3087,518,271,150,169
PA3088,463,268,182,236
PA3089,311,196,145,85
PA3090,142,57,58,44
PA3091,810,274,227,177
PA3092,304,157,92,189
PA3093,480,242,271,397
PA3094,411,243,147,192
PA3095,226,89,68,86
PA3096,801,324,167,282
PA3097,607,265,115,205
PA3098,719,286,134,207
PA3099,293,105,38,100
PA3100,571,192,75,170
PA3101,896,371,166,351
PA3102,1073,323,138,265
PA3103,2006,916,436,621
PA2162,226,360,320,195
PA3105,1897,1380,855,777
PA3106,670,415,246,277
PA3107,1247,791,522,641
PA3108,2184,1742,1342,1537
PA3109,363,236,232,169
PA3110,650,356,274,394
PA3111,1659,915,484,701
PA3112,1231,862,732,1054
PA3113,973,671,382,502
PA3114,426,197,109,99
PA3115,11354,5814,4174,4364
PA3116,329,244,177,190
PA3117,1541,909,676,1337
PA3118,1229,890,680,958
PA3119,350,154,66,178
PA3120,944,501,265,572
PA3121,2195,1442,1032,1729
PA3122,419,134,102,118
PA3123,368,94,93,61
PA3124,257,98,60,99
PA3125,129,85,82,59
PA2161,14,27,657,316
PA3127,202,107,118,99
PA3128,205,95,118,104
PA3129,408,153,111,123
PA3130,196,116,82,159
PA3131,318,223,129,213
PA3132,187,78,90,114
PA3133,65,14,31,54
PA3134,2059,1006,681,1169
PA3135,269,165,82,81
PA3136,96,56,45,49
PA3137,309,179,152,134
PA3138,2599,1387,1129,1465
PA3139,1730,955,1153,1293
PA3140,35,27,39,57
PA3141,4671,3430,2859,3044
PA2160,248,603,314,223
PA2159,85,165,199,151
PA2158,146,174,7,11
PA2157,57,87,1616,1073
PA2156,49,45,1085,735
PA3147,2131,1413,1054,745
PA3148,2495,1158,652,763
PA3149,2440,1337,785,682
PA3150,2539,1140,641,676
PA2155,51,67,1193,1043
PA2154,53,66,568,449
PA3153,719,432,295,225
PA3154,1153,616,399,264
PA3155,3535,2039,1422,1131
PA3156,1670,776,640,523
PA3157,1874,1382,1075,516
PA3158,4518,2774,2039,2194
PA3159,12360,7986,6339,7431
PA2153,237,259,2817,1955
PA2152,353,491,209,362
PA3162,35404,19825,23810,23027
PA3163,1139,428,228,287
PA3165,1117,647,379,421
PA2151,243,298,2260,1641
PA2150,37,68,1607,1554
PA3168,9209,4959,5633,8043
PA3169,869,472,296,418
PA3170,1107,678,792,1206
PA3171,477,301,288,421
PA3172,332,219,201,234
PA3173,502,316,289,287
PA3174,82,34,45,30
PA3175,89,41,43,35
PA2149,7,6,57,71
PA3177,621,495,527,581
PA3178,183,101,86,120
PA3179,1319,637,851,885
PA3180,308,164,147,137
PA2148,30,38,711,1490
PA2146,103,83,828,1697
PA2145,28,26,3429,5205
PA3184,669,514,299,357
PA3185,1158,663,511,876
PA3186,3162,522,210,1135
PA3187,2141,827,327,1891
PA3188,779,341,164,551
PA3189,1067,358,147,764
PA3190,5188,3674,2114,4403
PA3191,1253,626,147,348
PA3192,1462,764,194,516
PA3193,2493,1613,513,1015
PA2144,365,574,4765,6711
PA3195,10444,6594,2363,4835
PA3196,558,276,142,233
PA3197,634,365,283,269
PA3198,542,378,256,203
PA3199,512,338,322,279
PA3200,566,306,467,530
PA2143,34,87,747,745
PA3202,604,317,233,276
PA3203,175,79,91,124
PA3204,428,245,308,316
PA2142,51,77,152345,33446
PA2141,22,20,11377,3519
PA3207,241,154,1584,650
PA3208,408,188,1069,525
PA3209,12,9,112,37
PA3210,277,219,250,116
PA3211,796,608,507,446
PA3212,508,272,156,130
PA3213,593,319,220,199
PA3214,587,219,120,191
PA3215,492,254,185,217
PA2140,11,10,30,21
PA2138,163,177,144,126
PA2137,15,34,15,9
PA3219,40,18,24,10
PA2135,51,43,237,211
PA2134,81,157,104,90
PA3222,923,89,42,49
PA3223,6096,49,42,84
PA3224,403,126,144,141
PA3225,906,444,312,378
PA3226,637,269,199,220
PA3227,862,309,155,246
PA3228,1481,474,294,393
PA3229,43,33,28,15
PA3230,471,226,207,127
PA2133,17,22,58,22
PA2132,15,16,61,195
PA2130,120,116,357,868
PA2119,1765,1586,1273,2935
PA2108,100,90,372,440
PA3236,512,241,229,693
PA2107,15,13,28,10
PA3238,616,480,511,657
PA2104,156,127,366,471
PA3240,14885,130,240,504
PA3241,688,193,136,192
PA3242,404,228,273,299
PA2101,64,106,1004,942
PA3244,3440,1662,1356,2523
PA3245,924,363,265,579
PA3246,265,161,116,129
PA2095,38,55,1052,1084
PA3248,238,155,111,199
PA3249,215,90,84,56
PA3250,1147,391,262,230
PA3251,296,82,66,69
PA3252,257,95,75,69
PA3253,406,125,75,49
PA3254,670,212,143,164
PA3255,690,289,178,308
PA3256,1036,517,336,551
PA2094,37,48,7213,7485
PA3258,242,164,217,202
PA3259,368,155,202,201
PA3260,253,191,203,211
PA3261,742,453,538,419
PA3262,3439,2185,2294,3413
PA3263,888,409,275,682
PA3264,366,174,133,177
PA2091,21,21,32,40
PA2088,38,32,3046,2215
PA3267,886,470,452,617
PA2086,19,20,199,349
PA3269,198,151,156,165
PA2083,80,265,498,468
PA2080,103,110,674,742
PA3272,1656,1186,1085,816
PA3273,53,30,82,45
PA2079,53,55,545,326
PA2077,51,42,130,52
PA2073,55,57,84,38
PA3277,190,89,102,195
PA2070,90,112,47,21
PA3279,61,35,30,21
PA2069,63,51,286,149
PA2068,69,58,584,338
PA2067,53,63,1157,605
PA2066,70,87,3994,1890
PA3284,2720,2173,3356,2060
PA2065,52,26571,178,224
PA3286,793,515,488,646
PA3287,129,73,91,155
PA3288,296,150,192,247
PA3289,214,107,130,120
PA3290,1608,799,1517,1698
PA3291,102,38,43,29
PA3292,187,75,87,59
PA3293,336,78,42,81
PA3294,593,204,176,198
PA3295,387,298,211,275
PA2064,41,12690,49,42
PA3297,1527,1062,648,1106
PA3298,40,21,22,7
PA3299,1890,1004,649,1047
PA3300,988,381,212,356
PA3301,682,322,189,312
PA3302,709,272,224,343
PA2063,130,2330,98,142
PA3304,142,107,77,118
PA3305,501,335,565,284
PA2062,112,387,234,207
PA2061,26,39,283,164
PA3308,1828,1127,700,879
PA3309,4009,2133,7302,1037
PA3310,465,341,696,231
PA3311,828,368,549,194
PA3312,223,120,107,94
PA3313,587,258,378,303
PA3314,365,157,119,139
PA3315,305,152,93,52
PA3316,324,125,99,88
PA3317,198,74,72,127
PA3318,53,13,36,18
PA2060,21,20,105,60
PA3320,39,17,18,24
PA3321,136,56,45,75
PA3322,255,114,73,80
PA3323,86,51,63,34
PA3324,220,144,168,153
PA3325,674,224,145,120
PA3326,6766,1992,1492,1572
PA3327,19258,722,366,585
PA3328,3983,72,54,79
PA3329,4695,100,49,124
PA3330,3451,81,36,60
PA3331,6322,134,79,145
PA3332,2194,37,11,34
PA3333,4327,90,40,87
PA3334,627,22,6,12
PA3335,1493,46,36,63
PA3336,1809,342,227,136
PA3337,1485,769,623,87
PA2059,17,21,81,91
PA3339,633,370,280,409
PA3340,1832,792,478,730
PA3341,852,530,202,296
PA3342,345,219,195,180
PA2058,30,25,261,195
PA3344,2426,1317,1207,1482
PA3345,145,73,60,63
PA3346,1271,740,746,394
PA3347,527,388,404,182
PA3348,3211,2203,1882,1513
PA3349,6949,3927,3397,3237
PA3350,1084,575,556,496
PA3351,2431,1931,1848,1239
PA3352,1725,1319,1005,757
PA2053,11,25,1698,1251
PA3354,589,380,368,349
PA2051,19,22,482,503
PA3356,720,366,270,394
PA3357,606,318,193,254
PA3358,122,72,60,47
PA2049,269,303,72,92
PA3360,69,50,60,49
PA2048,23,23,58,63
PA3362,98,41,38,44
PA3363,88,30,35,55
PA3364,136,94,77,82
PA3365,130,52,43,57
PA2047,122,101,477,398
PA2039,77,77,26,27
PA2038,36,35,31,20
PA2031,33,29,682,143
PA3370,28,22,116,25
PA2030,49,62,132,26
PA3372,381,187,553,131
PA3373,270,173,168,163
PA3374,172,111,97,92
PA3375,35,16,39,27
PA2027,29,102,38,46
PA2024,120,122,54,33
PA3378,81,64,41,56
PA3379,34,24,23,24
PA3380,20,14,11,7
PA3381,31,18,34,21
PA2023,1703,1784,18,20
PA2022,77,76,43,36
PA3384,55,31,27,15
PA2021,33,34,10168,9388
PA2016,50,82,283,330
PA3387,133,106,184,183
PA3388,266,117,148,180
PA2006,34,65,38,54
PA2005,215,216,65,80
PA3391,9305,6112,4908,3086
PA3392,24158,9920,7302,7496
PA3393,6615,3667,2560,2079
PA3394,2623,1223,671,530
PA3395,1558,777,391,342
PA3396,1020,512,372,368
PA1996,39,58,3090,5472
PA3398,286,140,117,164
PA3399,175,83,44,62
PA3400,184,130,87,78
PA3401,186,110,50,74
PA3402,274,153,107,80
PA1995,71,64,32,21
PA1994,105,100,311,226
PA1990,162,161,60,36
PA1989,141,167,68,31
PA1988,34,36,49,63
PA3408,142,99,150,105
PA1987,103,133,109,32
PA1986,121,172,270,45
PA1981,10,10,339,32
PA1980,13,11,5078,279
PA3413,1453,1109,1933,2565
PA3414,1312,588,1096,1307
PA3415,364,181,432,208
PA3416,316,179,397,173
PA3417,395,218,428,154
PA3418,1240,826,1328,495
PA1979,7,17,165,126
PA3420,127,92,89,118
PA3421,116,67,65,62
PA1978,46,122,87,44
PA1976,43,50,64,42
PA3424,111,65,84,82
PA3425,78,22,42,21
PA3426,415,283,201,174
PA3427,388,80,138,247
PA1975,21,19,17,5
PA3429,272,128,108,85
PA1974,16,15,520,448
PA3431,34,14,19,43
PA1972,28,45,13,10
PA3433,157,79,89,59
PA3435,336,202,221,277
PA3436,44,19,12,37
PA3437,402,258,204,202
PA3438,446,271,149,188
PA3439,387,135,102,206
PA1971,66,125,481,488
PA1970,21,22,129,109
PA1969,127,105,137,141
PA1968,43,43,171,183
PA1965,29,48,235,837
PA1959,210,257,288,2408
PA1957,70,66,263,2281
PA1953,29,47,30,33
PA1945,126,133,40,97
PA1944,716,590,44,276
PA1937,14,13,1788,4846
PA3451,104,56,108,30
PA3452,874,434,570,677
PA3453,231,131,85,146
PA3454,308,122,84,166
PA3455,1315,753,658,674
PA3456,580,242,175,187
PA3457,293,127,142,113
PA3458,770,569,405,152
PA1935,37,74,6056,3521
PA1933,1408,1168,3774,2830
PA1932,127,144,2166,1390
PA3462,317,232,253,172
PA3463,33,9,26,18
PA1930,305,382,88,87
PA1929,34,40,1387,757
PA1928,412,381,780,1126
PA3467,99,66,46,75
PA3468,734,502,283,535
PA3469,351,211,184,360
PA3470,226,163,135,148
PA3471,5893,2154,964,2478
PA1927,9590,9617,656,850
PA1925,16,20,182,334
PA3474,141,91,64,92
PA3475,652,156,110,137
PA1923,73,65,1975,858
PA3477,2603,1216,1247,690
PA1910,36,79,426,248
PA3479,230,166,437,221
PA1907,42,45,564,693
PA3481,1383,679,496,991
PA3482,4350,2481,1374,2350
PA3483,570,198,110,216
PA3484,205,84,61,83
PA3485,54,9,12,20
PA3486,886,388,292,267
PA3487,2594,694,512,541
PA3488,368,177,133,122
PA1898,47,43,122,123
PA3490,153,55,62,56
PA3491,593,352,340,227
PA3492,176,89,75,73
PA3493,125,57,49,28
PA3494,118,59,43,40
PA1893,147,192,78,58
PA1892,65,64,86,30
PA3497,105,65,44,33
PA3498,429,153,97,136
PA3499,200,52,44,66
PA3500,612,94,49,154
PA3501,75,7,10,21
PA3502,108,22,18,19
PA3503,227,41,25,63
PA3504,660,149,90,219
PA3505,345,74,27,84
PA3506,746,167,75,292
PA3507,333,69,38,96
PA3508,533,139,56,175
PA3509,551,67,39,165
PA3510,443,83,41,191
PA3511,271,68,22,98
PA3512,359,123,60,122
PA3513,443,131,85,175
PA3514,550,217,116,157
PA1891,14,37,897,6579
PA1890,211,191,1335,14152
PA1889,213,221,1159,13127
PA1883,8,10,1187,11699
PA1882,5,12,2024,12635
PA1881,123,123,201,375
PA1875,58,48,1298,8497
PA1873,32,38,4112,33645
PA1870,44,44,2455,14937
PA1868,58,53,1592,1454
PA1858,106,103,3807,6695
PA1857,197,160,1148,767
PA3527,1310,933,694,922
PA1856,1234,2132,541,502
PA3529,7236,1813,5243,5949
PA1855,108,111,212,118
PA1854,407,418,4675,4957
PA3532,967,506,563,546
PA1853,214,242,10506,9979
PA3534,395,179,170,263
PA3535,3519,944,460,1176
PA3536,329,186,146,149
PA3537,1441,1003,787,1456
PA3538,2076,1144,611,748
PA3539,348,268,223,318
PA3540,797,292,239,423
PA3541,199,99,113,136
PA3542,201,89,45,70
PA1852,390,448,76,65
PA3544,193,127,96,110
PA1851,171,192,197,241
PA1849,2,10,62,42
PA3547,66,42,30,35
PA1847,1268,1365,120,104
PA3549,80,49,35,47
PA3550,146,49,35,47
PA3551,439,203,280,203
PA1846,616,668,1758,3510
PA1845,16,15,978,1814
PA1844,11,18,2596,4999
PA1843,2612,8827,537,1114
PA1842,216,200,689,1458
PA1840,211,331,144,293
PA1838,922,1396,132,280
PA1837,162,159,2073,3559
PA1812,2175,3068,256,433
PA3561,275,100,143,102
PA3562,758,341,649,320
PA3563,622,370,204,199
PA3564,234,127,69,74
PA3565,144,99,71,97
PA3566,107,60,89,78
PA3567,719,343,479,424
PA3568,1257,581,419,530
PA3569,829,431,278,778
PA3570,1835,1477,1393,2346
PA1811,297,269,251,260
PA3572,408,197,702,181
PA1802,10169,10644,3602,2346
PA1797,199,332,6577,12984
PA1794,1744,1623,5032,1783
PA1793,745,1270,785,340
PA1790,139,121,6,4
PA3578,398,142,156,125
PA3579,2194,871,818,1112
PA3580,721,422,484,915
PA3581,6286,1784,1371,1868
PA3582,52810,9036,4591,10719
PA3583,3945,1105,562,618
PA1789,1516,1688,18040,19483
PA3585,80,51,36,41
PA3586,142,84,98,71
PA3587,2146,742,346,595
PA3588,389,172,121,175
PA1783,30,26,49,43
PA3590,147,110,94,88
PA3591,48,33,16,17
PA3592,92,48,47,37
PA3593,131,92,70,30
PA1782,64,54,50,42
PA3595,115,60,53,34
PA3596,107,56,61,55
PA1781,75,108,126,77
PA1780,4,6,302,153
PA3599,224,137,122,129
PA3600,10,4,27,13
PA3601,47,24,85,25
PA3602,867,592,358,782
PA3603,117,86,48,42
PA3604,505,300,210,242
PA3605,339,205,180,196
PA3606,248,121,154,185
PA3607,165,96,74,53
PA3608,81,54,54,56
PA3609,84,48,40,41
PA1778,115,106,86,45
PA1769,1049,1283,1483,864
PA3612,226,110,79,62
PA3613,5416,2528,2139,723
PA3614,2263,1636,1262,1255
PA3615,1903,1019,981,1167
PA3616,2610,1242,1035,1166
PA3617,33685,14301,20431,36714
PA3618,884,370,210,377
PA3619,661,273,196,259
PA3620,3759,1988,1469,2191
PA1764,71,69,417,567
PA3622,10569,5959,4666,4373
PA1758,295,262,24745,20888
PA3624,1979,928,429,674
PA3625,2006,1053,522,570
PA3626,1936,795,462,591
PA3627,1156,511,453,567
PA3628,1189,299,349,387
PA3629,2343,851,818,920
PA3630,166,82,75,67
PA3631,594,391,335,261
PA1757,171,161,86,74
PA3633,371,137,82,109
PA3634,329,158,78,136
PA3635,8599,3639,2326,3957
PA3636,4064,1870,1074,1338
PA3637,10716,5455,4291,7517
PA3638,389,162,166,278
PA1756,352,1256,1703,2036
PA3640,6750,3881,2622,4185
PA3641,564,380,383,336
PA3642,180,114,56,90
PA3643,671,249,148,193
PA3644,2202,886,383,523
PA3645,1378,707,401,377
PA3646,3321,1528,747,978
PA3647,1633,843,600,1175
PA3648,8236,6348,4388,3650
PA3649,2818,1496,1657,1766
PA3650,1787,806,389,490
PA3651,1223,651,372,446
PA3652,1792,668,414,581
PA3653,2488,1152,1098,1440
PA3654,1638,649,547,620
PA3655,7005,4263,4786,5985
PA3656,9835,5315,5864,8639
PA1754,1259,1510,2771,2899
PA3658,1541,897,620,554
PA3659,558,318,169,215
PA1753,424,492,250,436
PA1750,1737,2177,17,18
PA1745,157,169,706,576
PA1742,310,257,206,289
PA1739,38,34,580,973
PA3665,430,232,450,504
PA3666,1518,853,1025,1500
PA3667,909,645,417,335
PA3668,186,84,99,55
PA3669,179,105,96,84
PA3670,275,163,95,96
PA1725,13,15,57,42
PA1724,12,15,76,53
PA3673,1160,828,516,619
PA3674,481,122,140,167
PA3675,363,232,221,263
PA3676,485,323,182,296
PA3677,139,74,48,68
PA3678,279,154,105,161
PA3679,408,183,112,202
PA3680,401,217,134,201
PA3681,302,189,142,168
PA3682,265,116,125,116
PA3683,329,208,135,100
PA3684,212,119,151,142
PA3685,888,453,338,539
PA3686,2092,1408,1072,1936
PA3687,2349,1116,924,1324
PA3688,277,164,200,95
PA3689,395,253,302,368
PA1723,56,49,516,5068
PA1722,11,29,7834,4932
PA1719,7,14,15958,9352
PA3693,526,160,174,126
PA3694,329,124,68,79
PA3695,702,270,199,238
PA3696,507,173,113,209
PA3697,1278,670,446,341
PA3698,404,199,170,139
PA3699,344,181,164,164
PA3700,2246,1175,1272,1335
PA3702,596,338,281,312
PA3703,901,503,333,302
PA3704,1705,697,333,404
PA3705,471,324,210,112
PA3706,1090,437,291,213
PA3707,489,243,117,109
PA3708,1521,979,753,945
PA1712,41,46,171,248
PA1706,47,41,378,472
PA1705,1,10,470,228
PA1700,12,12,1130,480
PA3713,326,164,213,227
PA1697,27,30,37,37
PA3715,196,59,47,80
PA3716,1358,532,338,552
PA3717,58,39,25,32
PA1694,41,34,68,89
PA1693,78,341,9,8
PA3720,118,80,64,187
PA3721,388,236,193,209
PA3722,491,205,126,128
PA3723,2209,1106,1449,981
PA3724,2297,349,233,273
PA3725,1755,730,313,540
PA3726,494,195,82,135
PA3727,194,29,22,39
PA3728,3329,445,285,766
PA3729,2658,401,318,1254
PA3730,371,67,55,171
PA3731,1297,315,282,961
PA3732,830,228,162,575
PA3733,1193,582,584,656
PA1691,21,25,110,104
PA3735,2229,1106,518,1140
PA3736,2105,1093,514,1102
PA3737,3411,2183,1452,2401
PA3738,352,181,110,118
PA3739,816,434,355,479
PA1690,21,18,870,948
PA1677,421,380,111,120
PA3742,3093,2396,2404,2886
PA3743,5348,3411,2754,4416
PA3744,5646,3097,2103,3985
PA3745,1736,884,658,994
PA3746,4050,2179,1677,3509
PA3747,699,549,374,306
PA3748,488,283,204,177
PA3749,617,364,201,214
PA3750,438,187,101,128
PA3751,957,374,284,506
PA3752,146,53,42,60
PA3753,604,338,295,460
PA3754,726,485,366,352
PA3755,271,208,181,120
PA1673,995,1321,2011,1773
PA3757,93,71,68,46
PA3758,257,167,75,69
PA3759,244,61,50,82
PA3760,805,279,209,248
PA3761,360,215,313,278
PA1672,110,92,290,231
PA3763,7695,4079,3602,6079
PA3764,877,624,501,601
PA3765,163,58,32,94
PA1655,270,222,221,224
PA1653,49,61,148,135
PA1652,71,58,886,932
PA3769,1842,925,1443,1362
PA3770,2571,1879,5185,6064
PA3771,178,137,107,102
PA1651,73,99,80,59
PA1650,96,104,24,16
PA3774,42,18,26,29
PA1625,169,155,123,90
PA3776,84,46,55,55
PA3777,996,559,312,338
PA3778,311,167,88,122
PA3779,141,74,78,76
PA3780,44,21,27,31
PA1623,553,621,84,62
PA3782,339,121,129,207
PA3783,1078,109,216,420
PA3784,3889,196,591,1099
PA3785,5512,313,934,1642
PA3786,458,175,224,137
PA3787,816,580,638,466
PA3788,709,113,283,224
PA3789,4731,168,472,549
PA3790,40809,509,802,2199
PA3791,1130,156,100,154
PA1622,121,113,9090,10229
PA3793,243,120,109,139
PA1614,614,524,126,97
PA1608,447,434,14744,6752
PA3796,1151,448,643,596
PA3797,1046,438,364,388
PA3798,1009,425,228,372
PA3799,2512,1194,789,1040
PA3800,4267,1915,873,1855
PA3801,2010,1112,698,1010
PA3802,2526,1466,871,1032
PA3803,2714,1540,999,860
PA3804,2428,1506,1097,1047
PA3805,1636,1042,814,717
PA3806,4375,2601,2421,3099
PA3807,3067,2009,2485,4078
PA3808,371,199,151,107
PA3809,538,331,215,201
PA3810,3160,1891,1540,1430
PA3811,1734,1017,1384,1516
PA3812,1560,918,1324,1605
PA3813,1919,1186,1617,2631
PA3814,7394,5341,10815,18109
PA1607,173,174,4766,8691
PA3816,1344,878,783,1094
PA3817,910,644,614,702
PA1605,177,217,2184,1765
PA3819,6137,3579,12189,12795
PA3820,1891,866,440,904
PA3821,3836,1710,1035,1904
PA3822,729,409,487,658
PA3823,684,387,256,390
PA1604,159,168,318,308
PA3825,337,193,203,140
PA3826,205,143,129,168
PA3827,1257,647,556,735
PA1599,57,54,1693,1887
PA3829,179,114,156,121
PA3830,261,177,206,235
PA3831,4328,2252,2531,4607
PA3832,524,267,169,155
PA1597,529,431,372,236
PA1596,1414,1522,4902,6015
PA1593,74,95,125,95
PA3836,3323,1352,720,1460
PA3837,843,207,125,157
PA3838,725,206,82,144
PA1591,100,141,557,236
PA1580,4251,3978,215,162
PA3841,449,233,264,214
PA1574,121,102,50,23
PA3843,86,53,53,30
PA3844,304,170,161,110
PA3845,319,178,175,166
PA3846,678,398,247,246
PA3847,205,145,91,87
PA3848,1264,534,430,369
PA3849,1192,944,928,917
PA3850,903,312,354,722
PA3851,727,495,274,369
PA3852,1219,719,693,841
PA3853,389,155,93,151
PA3854,176,72,41,50
PA3855,586,252,136,160
PA3856,729,291,265,206
PA3857,1583,862,623,495
PA3858,2073,716,427,409
PA3859,1278,485,301,342
PA3860,1325,369,240,391
PA3861,2721,1876,1029,1605
PA3862,181,86,81,100
PA3863,123,80,81,82
PA3864,222,90,100,96
PA3865,376,175,117,171
PA3865.1,1799,839,539,799
PA3866,22549,8952,5789,10771
PA1571,97,654,87,79
PA1570,144,171,182,112
PA1568,12,12,84,82
PA3870,4742,3358,1375,663
PA3871,7357,5182,2723,1234
PA3872,6764,4315,2841,1062
PA3873,8271,5163,3093,1065
PA3874,24868,14960,8863,3323
PA3875,47748,26465,15602,5121
PA3876,10451,5930,2880,605
PA3877,5021,4037,2038,464
PA3878,1668,1101,975,578
PA1567,112,118,587,356
PA3880,1713,1334,1596,672
PA3881,817,445,680,497
PA3882,1251,381,567,333
PA3883,968,278,319,250
PA3884,137,51,42,25
PA3885,70,54,37,21
PA3886,417,310,256,281
PA3887,1186,473,395,983
PA1566,70,68,1029,962
PA1561,1641,1673,1209,1134
PA1560,394,1373,552,396
PA1559,823,3311,1489,1493
PA3892,125,95,82,62
PA1555.1,86,140,112,112
PA1548,100,91,77,98
PA3895,837,435,288,553
PA3896,911,602,324,674
PA1547,191,169,481,554
PA1546,8972,7583,1089,1288
PA1545,543,469,87,83
PA3900,139,81,110,116
PA1543,296,242,861,660
PA3902,637,459,598,591
PA3903,1973,1260,1056,1627
PA3904,838,370,214,80
PA3905,560,84,51,59
PA3906,459,65,38,48
PA3907,1079,132,93,114
PA3908,974,155,78,131
PA3909,283,175,230,182
PA3910,845,306,291,205
PA3911,7999,2381,1232,847
PA3912,14075,4136,2277,1589
PA3913,12201,3644,2089,1185
PA3914,7529,3365,1816,403
PA3915,2659,1664,900,219
PA3916,974,420,336,181
PA3917,400,172,180,126
PA3918,1467,764,750,460
PA3919,5703,3078,3115,4001
PA1542,94,91,56205,168127
PA3921,4148,2139,4255,9868
PA3922,9678,2242,878,4439
PA3923,12723,3647,1833,2995
PA3924,3664,1677,968,2042
PA3925,2251,462,267,777
PA1541,46,53,72,97
PA3927,74,54,43,35
PA3928,66,41,57,44
PA3929,595,443,689,729
PA1531,143,130,1263,1265
PA1528,1204,1287,337,1397
PA1523,430,383,183,551
PA3933,566,253,171,384
PA3934,1089,416,375,286
PA1520,569,549,112,144
PA1519,74,72,92,449
PA1518,98,79,127,949
PA1517,201,202,232,2182
PA1516,113,99,136,560
PA1514,93,92,1025,1195
PA1507,169,194,165,236
PA3942,480,386,339,586
PA3943,778,530,478,462
PA3944,392,302,299,247
PA1505,559,462,799,469
PA1504,295,356,211,174
PA1499,68,73,125,141
PA3948,546,307,232,197
PA3949,776,386,236,329
PA3950,916,571,402,557
PA1498,70,70,251,252
PA1497,21,37,706,656
PA3953,78,56,40,31
PA1496,105,108,72,42
PA1493,918,1221,180,124
PA3956,190,102,122,53
PA3957,512,306,349,140
PA3958,700,500,419,243
PA3959,147,92,212,74
PA3960,95,43,190,65
PA3961,1383,797,5829,1506
PA1485,56,61,3541,1380
PA3963,300,212,12334,4070
PA3964,258,185,18236,6832
PA1475,228,192,1079,1119
PA3966,297,209,600,595
PA1474,1376,1305,346,273
PA3968,244,113,90,80
PA1473,114,100,418,355
PA1471,484,398,864,1112
PA3971,158,52,66,33
PA3972,2276,858,1237,694
PA3973,598,277,341,311
PA3974,1215,803,573,630
PA3975,1227,643,643,940
PA3976,767,513,507,483
PA3977,2531,1233,1076,1559
PA3978,889,596,353,706
PA3979,225,181,156,171
PA1469,164,170,1860,1753
PA3981,3326,2023,1100,724
PA3982,1196,681,282,244
PA3983,1952,1210,494,346
PA3984,824,438,458,524
PA3985,446,235,210,379
PA3986,1210,736,626,250
PA3987,12300,8943,6298,10513
PA3988,1423,852,529,1031
PA3989,939,602,336,458
PA1468,34,36,37,16
PA1454,2172,1805,75,30
PA3992,2481,1377,855,745
PA3994,81,62,40,61
PA3995,564,255,148,144
PA3996,3797,1914,1296,2132
PA3997,2135,1149,584,680
PA3998,816,451,236,276
PA1452,1307,1210,3086,4367
PA4000,2483,1434,1095,1775
PA4001,1883,1358,830,927
PA1451,176,346,543,556
PA4003,1194,935,532,509
PA1447,82,80,212,268
PA4005,859,423,457,512
PA4006,1135,660,534,506
PA4007,2157,1440,1699,2623
PA1441,1100,1027,185,154
PA1439,145,128,96,78
PA1438,197,779,474,490
PA1437,106,492,392,586
PA4012,524,413,291,378
PA4013,328,264,222,343
PA1436,230,1974,123,216
PA4015,626,193,190,278
PA4016,1275,809,502,547
PA4017,809,558,724,421
PA4018,268,135,130,110
PA4019,699,379,313,385
PA4020,2121,936,919,1286
PA4021,2625,1166,769,1116
PA4022,4371,701,459,731
PA4023,365,108,77,78
PA4024,783,320,326,204
PA4025,462,223,197,160
PA1435,61,1054,321,288
PA1434,65,63,211,135
PA4028,21,6,11,2
PA1429,832,1395,448,463
PA1421,87,76,224,218
PA1418,88,100,1403,2020
PA1416,306,286,408,475
PA1415,434,427,57,52
PA4034,98,35,40,74
PA4035,354,207,158,208
PA4036,405,287,277,295
PA1408,564,510,54,38
PA1403,64,53,57,54
PA1400,143,126,118,127
PA1395,25,39,346,213
PA4041,414,222,262,114
PA1393,45,76,329,317
PA4043,731,481,330,336
PA4044,3441,2024,1289,2064
PA4045,662,368,263,335
PA4046,557,303,225,323
PA4047,1741,806,974,1344
PA4048,283,109,133,96
PA4049,381,244,248,138
PA4050,304,142,110,124
PA4051,883,447,343,382
PA4052,1264,699,765,1062
PA4053,1185,814,959,1532
PA4054,477,278,245,432
PA4055,254,153,147,262
PA4056,1731,941,442,559
PA4057,659,424,278,292
PA4058,163,131,147,125
PA4059,138,45,51,49
PA4060,88,18,52,33
PA4061,1190,844,775,640
PA4062,244,73,85,96
PA1392,84,113,226,42
PA4064,117,82,93,50
PA4065,293,160,225,127
PA4066,230,164,159,107
PA4067,16906,9137,7415,2530
PA4068,1142,610,230,398
PA4069,1231,688,276,442
PA4070,112,84,66,111
PA1391,75,70,37,37
PA1386,109,279,126,68
PA1385,70,61,97,86
PA1384,65,74,127,141
PA4075,448,231,153,214
PA4076,110,74,45,36
PA4077,38,30,9,14
PA4078,361,201,250,223
PA4079,932,523,416,762
PA4080,210,129,194,149
