Gene,PA14_control1,PA14_control2,PA14_control3,PA14_FBI1,PA14_FBI2,PA14_FBI3
CIA_RS14305,1991,1569,1834,4898,4628,5281
CIA_RS14310,296,260,357,1078,718,1244
CIA_RS14315,616,521,424,1324,902,1285
CIA_RS14320,95,126,51,98,49,54
CIA_RS14325,1251,958,548,2292,1820,2322
CIA_RS07570,535,624,773,2194,1312,1712
CIA_RS14330,1446,1306,850,3126,2945,3246
CIA_RS14335,272,186,122,326,250,307
CIA_RS14340,288,329,159,284,207,249
CIA_RS14345,3988,3085,2957,6977,4331,6413
CIA_RS14350,765,444,370,371,325,366
CIA_RS14355,182,208,113,152,77,99
CIA_RS14360,43,52,27,92,49,52
CIA_RS14365,248,199,168,410,199,294
CIA_RS14370,189,170,78,133,70,108
CIA_RS14375,365,266,305,804,364,591
CIA_RS07575,1222,1274,858,2467,1606,2104
CIA_RS14380,757,403,313,380,136,293
CIA_RS14385,840,736,625,1682,1258,1930
CIA_RS14390,177,104,57,151,126,130
CIA_RS14395,201,128,114,244,131,168
CIA_RS14400,125,117,80,137,83,109
CIA_RS14405,59,69,44,165,57,81
CIA_RS14410,211,205,117,487,140,293
CIA_RS14415,2140,1104,1805,8420,3146,6992
CIA_RS14420,22031,14122,29228,98705,66588,101761
