X,PA2504_p1_htseq,PA2504_p2_htseq,PA2504_p3_htseq,PAO1161_p1_htseq,PAO1161_p2_htseq,PAO1161_p3_htseq
PA1807,1750,1616,1634,1359,1388,1766
PA1808,1037,896,884,810,784,974
PA1809,1318,1168,1224,1129,935,1270
PA1810,3796,3691,3506,3240,3180,3824
PA1811,3245,2753,2840,2542,2537,2966
PA1813,1900,1753,1710,1837,1744,1871
PA1814,2232,2434,2598,1996,2357,2480
PA1817,1343,1597,1828,1190,1451,1767
PA1819,1489,1238,1371,1018,1223,1437
PA1821,3472,3940,3586,3877,3923,3324
PA1823,974,1001,1028,761,1031,1010
PA1824,79,57,76,64,57,77
PA1825,599,738,830,466,682,842
PA1826,712,548,653,535,594,655
PA1827,291,322,328,235,289,388
PA1828,3551,3048,2997,3305,2881,3450
PA1829,1757,1491,1311,1654,1302,1674
PA1830,5985,5729,5572,5789,5796,5962
PA1831,1192,1012,1071,1169,1185,1134
PA1832,3016,3611,3508,3070,3540,3411
PA1833,8794,8792,9330,6788,8410,9545
PA1833a,516,417,370,293,375,448
PA1835,1472,1100,1197,1034,937,1254
PA1836,775,714,706,636,620,747
PA1837,300,246,319,781,685,894
PA1837a,1810,1585,1935,1327,1684,2216
PA1839,531,556,512,367,558,652
PA1840,802,799,776,911,776,882
PA1841,524,446,497,476,498,521
PA1842,278,252,231,276,298,302
PA1844,26,36,40,20,44,24
PA1845,25,39,21,25,51,17
PA1847,9312,10043,10561,7328,8365,9967
PA1848,149,115,139,124,143,124
PA1849,19,13,17,11,7,21
PA1850,556,495,538,442,463,516
PA1851,870,771,908,576,756,961
PA1852,24075,27212,28506,16778,19724,30027
PA1853,927,961,967,724,922,1007
PA1854,48,38,55,40,41,33
PA1855,57,49,51,35,51,43
PA1856,393,345,388,340,344,373
PA1857,389,386,426,391,361,399
PA1859,806,721,712,655,590,720
PA1860,1956,1778,1914,1494,1761,1985
PA1864,1321,942,1140,728,977,1343
PA1865,5786,5020,5503,3886,4520,6100
PA1866,791,812,834,713,717,775
PA1866a,311,358,340,223,362,340
PA1869,543,545,602,480,613,614
PA1870,50,46,74,61,66,62
PA1872,1980,1958,2112,1675,1686,2117
PA1873,252,210,211,191,197,289
PA1874,4627,3507,3831,3820,3704,4016
PA1875,362,334,401,303,334,366
PA1876,568,531,618,487,626,639
PA1877,318,367,402,279,368,404
PA1878,216,182,193,222,197,210
PA1879,95,80,80,64,85,115
PA1880,1665,1536,1680,1447,1567,1631
