,X3225B2.raw,X3225B3.raw,X3225B4.raw,WTB3.raw,WTB4.raw,WTB6.raw,X3225P4.raw,X3225P5.raw,X3225P6.raw,WTP4.raw,WTP5.raw,WTP6.raw
PA14_53480,720,612,431,681,386,469,42,49,106,85,60,108
PA14_53660,242,293,224,335,231,406,75,102,149,96,72,108
PA14_53720,77,42,46,58,30,43,26,24,29,40,33,36
PA14_55260,10,11,10,6,6,6,812,926,1089,1211,894,1182
PA14_56030,3046,2612,1718,3517,2062,3702,583,739,1409,1085,897,1317
PA14_56430,79,58,45,57,38,51,34,27,57,29,30,32
PA14_58510,20,15,15,30,11,60,148,196,226,237,187,259
PA14_60230,1084,1159,821,1449,978,1437,4413,5372,6644,6201,4982,8018
PA14_60590,351,363,280,363,259,220,1458,2094,3275,2612,2125,3374
PA14_62770,2338,2467,2051,2843,2076,3806,2111,2846,3411,3689,2206,3888
PA14_63280,1863,1529,1212,1709,1100,1235,24,17,47,21,16,28
PA14_65970,109,73,56,84,52,59,50,49,56,48,30,45
PA14_66875,1349,1392,850,1589,960,1966,69,84,155,102,82,75
PA14_68860,484,428,299,602,327,607,36,54,81,92,53,74
PA14_69420,1171,836,698,927,683,752,349,489,646,502,355,467
PA14_69560,39,35,23,49,34,55,148,180,404,214,179,175
PA14_71000,146,144,103,140,88,102,7,7,16,10,14,27
PA14_71990,1874,2269,1680,1841,1606,1003,470,565,987,766,680,910
PA14_72420,695,574,464,608,397,505,59,95,154,104,60,97
EBG00001225098,0,3,0,5,2,4,67,77,93,74,56,67
PA14_01470,237,217,180,234,156,155,117,182,263,188,143,160
PA14_01770,102,114,69,125,78,172,28,41,60,31,29,41
PA14_04180,185,168,80,243,107,555,423,422,748,555,391,482
PA14_05740,23,7,11,6,6,13,93,124,147,111,93,108
PA14_06670,11,9,4,13,10,19,36,46,80,77,52,79
PA14_06930,178,165,104,183,105,62,4,3,3,0,2,1
PA14_07330,531,586,324,697,340,785,1,9,9,2,2,4
