,0-1F_mapped_reads(6898436),0-2F_mapped_reads(6572494),0-3F_mapped_reads(6559324),6-1F_mapped_reads(6710899),6-2F_mapped_reads(6573316),6-3F_mapped_reads(6413258)
PA2893,620,568,475,1590,1952,1940
PA5403,41,43,53,43,35,30
PA5188,266,245,214,368,341,345
PA4448,1592,1510,1522,1888,1809,1565
PA3749,265,214,210,184,205,211
PA0583,325,291,394,326,298,238
PA2223,452,395,389,398,357,350
PA4717,1803,1860,1525,1449,1401,1602
PA1768,383,300,267,295,291,240
PA1789,5287,4420,2936,3507,3677,3835
PA4172,45,46,37,43,53,61
PA2494,3953,4002,2989,5280,7493,7329
PA0531,395,351,363,234,121,130
PA2376,127,111,94,95,103,124
PA3365,3810,4045,4950,2598,2510,3290
PA2645,590,579,404,650,658,691
PA5465,353,414,321,369,400,427
PA3100,602,597,474,524,480,557
PA0181,304,261,249,274,253,273
PA0847,834,851,712,647,721,714
PA5324,504,385,341,378,388,359
PA2070,678,774,543,502,577,638
PA4460,1884,1588,1754,1793,1626,1509
PA3458,2020,2223,1946,1689,1409,1552
PA3836,512,563,511,726,1063,843
PA4174,293,267,266,266,261,279
PA2211,64,51,53,56,65,47
PA1808,135,146,139,149,154,133
PA4072,293,290,242,237,289,318
PA2533,559,625,620,596,669,638
PA3293,82,80,65,48,81,61
PA4054,727,722,729,1034,1013,934
PA0145,395,351,353,401,277,333
PA2529,366,354,287,478,452,417
PA5301,2613,2582,2663,3780,3703,3403
PA3512,51,34,44,57,55,59
PA4856,1426,1244,1394,1223,1190,1201
PA2786,44,18,45,30,34,33
PA2663,69,61,43,73,61,67
PA2275,141,130,93,109,114,151
PA3563,632,581,565,653,558,583
PA4491,1357,1258,1116,1168,1159,1316
PA0394,742,697,485,666,613,592
PA2906,431,339,444,505,319,407
PA5305,1291,1279,1138,1291,1183,1332
PA4632,737,616,698,861,754,668
PA2065,168,217,165,147,197,202
PA4332,556,618,519,524,648,695
PA2884,716,803,835,650,684,571
PA1147,317,243,250,346,300,307
PA2625,106,111,105,147,105,131
PA0781,139,114,110,139,103,137
PA1900,813,879,434,197,401,359
PA2672,48,34,35,35,26,23
PA3179,1673,1572,1767,1579,1437,1555
PA2617,298,220,199,302,249,266
PA3406,40,58,42,31,33,66
PA0502,306,332,288,290,265,287
PA1028,219,229,216,209,188,187
PA4101,187,206,204,168,235,256
PA4865,189,214,148,285,333,335
PA1186,96,97,104,96,97,123
PA0437,359,291,317,358,296,317
PA0773,1080,1184,1318,1172,1222,1146
PA3404,140,98,112,104,98,103
PA2721,92,101,75,81,111,91
PA0695,13,12,10,2,8,12
PA0056,65,55,80,49,50,74
PA1482,873,858,729,754,860,820
PA4050,401,328,436,482,523,422
PA1421,89,88,74,84,190,203
PA5266,242,196,208,235,171,196
PA2428,88,111,67,75,99,86
PA4369,1239,1129,758,959,753,819
PA2825,203,116,114,176,145,124
PA0818,72,62,67,62,60,80
PA3977,752,735,722,1085,1032,968
PA2822,333,264,263,373,414,380
PA2292,21,33,20,14,12,20
PA2339,80,49,50,62,54,81
PA2470,83,53,57,68,66,78
PA0028,815,945,549,515,552,609
PA5046,2594,2393,2550,2315,2341,1801
PA2200,370,433,393,377,330,434
PA2307,58,24,41,67,53,56
PA1909,34,47,36,33,32,26
PA1766,899,774,740,934,904,856
PA5317,429,431,407,438,514,459
PA3287,149,127,129,162,183,177
PA1794,1331,1294,1240,1731,2086,1725
PA2020,1118,956,1146,1168,994,1152
PA4972,2282,2137,1423,1514,1392,1140
PA0366,468,346,299,2853,2948,3224
PA3303a,41,35,38,37,40,21
PA4755,2166,1641,2209,2452,1946,1697
PA3017,1303,1080,700,958,1133,1115
PA3208,1453,1447,1476,1656,1727,2006
PA2120,51,55,42,32,64,54
PA4552,502,470,462,572,574,517
PA0039,4416,4604,4387,4562,4875,4726
PA3265,186,152,170,180,179,139
PA3583,149,144,149,152,217,175
PA3750,727,866,713,737,706,852
PA5277,1931,1948,2210,2765,2387,2360
PA4600,144,125,144,152,174,124
PA4704,454,344,453,360,359,336
PA0103a,318,384,215,188,267,213
PA5382,146,105,127,120,93,104
PA2858,977,1016,902,1094,997,1084
PA4416,4256,4521,4633,3659,4569,4529
PA4947,3434,3106,3356,3700,3670,3491
PA0103,205,257,178,185,279,232
PA3421,141,142,129,120,177,125
PA4145,250,256,170,257,196,260
PA0974,3331,3249,3068,3825,3223,3359
PA3611,376,353,389,379,355,362
PA0205,96,79,82,94,65,88
PA3171,3400,3249,2478,3596,3851,3529
PA0460,3088,2870,2636,3150,2636,2674
PA4700,2445,2454,3399,3093,2329,2117
PA3129,648,592,704,559,440,518
PA1719,27,31,29,67,30,25
PA0728,140,136,133,194,143,103
PA4261,1119,989,1122,1194,1168,1050
PA2746,906,899,460,550,981,952
PA2659,328,200,225,273,341,278
PA0875,436,477,377,385,471,473
PA4872,473,559,505,667,593,696
PA0604,252,244,208,279,488,411
PA4358,760,1029,643,722,1307,1203
PA5141,965,975,1030,1067,1013,1047
PA0206,184,152,143,162,149,129
PA1457,2372,2338,2340,2483,2466,2256
PA2407,50,56,48,50,84,79
PA5435,5481,3404,8518,4417,1983,1889
PA1580,2362,2327,2393,4144,3869,3521
PA5339,2210,2269,2271,2606,2720,2194
PA2582,3575,4275,4857,4400,3881,4093
PA1818,1103,1045,936,842,1148,1177
PA4180,746,770,583,870,960,1053
PA1209,175,147,155,173,184,211
PA2938,570,441,473,347,301,391
PA4002,830,794,773,981,983,933
PA0381,603,566,691,627,692,530
PA0790,75,82,88,75,91,95
PA1124,750,810,721,979,1346,1205
PA3398,521,488,422,504,539,571
PA3163,845,968,817,785,747,852
PA5270,587,514,531,529,486,443
PA3896,251,270,314,292,385,333
PA4375,610,545,542,601,715,603
PA5151,143,148,181,168,117,172
PA3342,509,546,511,411,478,543
PA4784,54,42,37,21,46,38
PA3539,162,127,132,171,187,129
PA1182,439,393,448,375,404,490
PA0032,163,167,132,163,169,190
PA2566,2433,2221,1416,1306,1712,1756
PA2060,14,16,10,15,18,17
PA0408,11547,9807,9353,14310,13172,11388
PA1576,1948,2174,2188,2236,2196,2298
PA4343,83,73,60,80,55,91
PA3872,36,41,54,38,36,39
PA1802,21902,20585,18601,16709,18986,18017
PA5235,595,611,558,427,463,495
PA2767,97,107,85,88,107,105
PA5328,27,14,13,20,10,14
PA4966,991,1029,815,936,1096,1151
PA1941,268,243,280,289,262,288
PA0335,238,220,228,244,261,222
PA3914,208,175,180,152,131,161
PA3273,162,129,98,125,99,130
PA5245,3202,3368,3241,3283,3579,3537
PA2910,50,71,58,58,69,73
PA0683,91,54,75,63,65,59
PA2881,128,87,143,147,127,141
PA1992,545,560,529,577,733,827
PA5150,422,429,420,397,425,393
PA4017,799,929,690,487,663,605
PA0893,1009,905,1025,854,927,880
PA2837,67,67,77,79,60,59
PA3897,110,133,92,142,179,164
PA0988,475,558,600,536,608,563
PA5313,466,631,603,1404,1494,1359
PA1743,88,91,53,87,99,112
PA0267,405,485,459,409,419,399
PA3337,7533,7627,5314,6448,4953,5695
PA3305,1259,1131,1213,895,859,922
PA2129,129,177,110,160,125,129
PA1694,232,144,165,231,162,150
PA4804,564,546,527,560,564,527
PA4108,4114,3458,2274,4137,2960,3415
PA4075,501,481,605,748,724,878
PA2183,110,85,64,46,47,61
PA3161,1530,1375,1391,2119,2351,2164
PA2009,1735,1580,1217,1554,1786,1718
PA5281,290,242,255,339,383,333
PA0271,96,87,68,55,62,54
PA1644,268,202,254,323,293,328
PA4007,1979,1988,2392,2286,2208,2116
PA2604,5395,4817,4165,4237,4113,3887
PA2043,415,500,555,518,418,434
PA2638,1791,1802,1977,2489,2250,2047
PA5514,247,192,297,239,227,216
PA2579,1092,1033,1255,1140,1007,864
PA1715,371,294,394,578,290,302
PA2412,21,25,18,30,40,35
PA4609,1025,954,908,853,1045,933
PA2860,971,871,975,915,871,820
PA2696,314,262,258,197,239,255
PA3802,3524,3229,3730,3810,3516,3481
PA3815,1030,877,1029,1004,809,740
PA3577,11,8,12,7,13,6
PA2752,76,104,93,90,96,112
PA3056,390,357,443,458,358,392
PA5341,110,132,129,135,118,136
PA1553,1084,1019,990,1362,1313,1382
PA5004,2940,2944,2885,2824,2841,2926
PA0305,552,402,460,460,500,442
PA3957,1645,1700,1365,871,897,994
PA4320,505,483,492,612,718,667
PA3635,5188,4768,6335,6451,6580,5553
PA2598,55,64,38,55,54,72
PA0876,1225,996,998,1202,1057,1252
PA2134,187,168,118,156,168,191
PA3604,620,543,499,492,404,385
PA3694,379,360,396,398,439,315
PA1263,244,184,212,364,359,367
PA2051,41,21,33,36,38,30
PA1860,1380,1169,1284,822,864,932
PA3049,21438,23248,17991,24717,37865,34313
PA2999,1962,1873,2162,2242,1960,1790
PA2514,84,131,123,146,192,165
PA0631,94,72,79,74,73,99
PA2450,653,577,599,602,460,432
PA2780,45,48,43,46,67,46
PA2419,80,76,45,65,94,86
PA1017,260,331,271,264,274,345
PA0779,2323,1899,1153,1872,1845,2064
PA2081,424,518,412,412,453,420
PA2127,3893,3642,4108,2463,1562,1649
PA3359,125,88,84,94,97,90
PA5198,1028,990,1075,913,1018,1013
PA1680,295,304,252,280,183,206
PA1216,84,65,55,47,75,46
PA1968,242,209,223,232,140,220
PA1773,642,532,741,590,605,581
PA1862,232,161,208,277,185,223
PA4117,4326,4226,3549,2655,2699,2818
PA3020,1580,1433,1226,1209,1283,1175
PA4467,76,85,72,85,90,86
PA0045,110,73,100,111,71,56
PA4205,203,210,116,77,92,99
PA2252,306,231,215,353,250,253
PA3542,55,56,57,75,68,55
PA5225,1852,1891,1861,1585,1293,1288
PA1601,163,150,152,198,180,161
PA0139,5444,4117,3300,4538,4804,4252
PA2432,118,130,99,127,86,101
PA4562,440,503,518,509,470,368
PA0952,2569,1744,1654,1920,1214,958
PA1884,192,199,173,161,137,188
PA1415,3456,2856,1829,1432,1363,1504
PA2526,624,640,624,628,650,625
PA3743,4282,3829,5447,4396,4057,3493
PA4010,963,664,744,661,606,568
PA4794,131,135,74,143,128,150
PA1763,143,154,160,162,231,197
PA1624,686,748,700,906,829,969
PA3360,98,141,139,134,151,136
PA3463,91,95,84,82,77,52
PA3798,451,448,531,503,519,529
PA1527,4210,4316,5314,5182,4509,4285
PA2845,44,15,19,63,40,50
PA2155,119,124,90,115,131,126
PA5415,157,184,175,157,198,146
PA0292,836,763,729,928,994,892
PA0563,137,128,132,148,143,133
PA0430,694,598,695,929,1052,837
PA4431,3129,2740,3290,3651,2777,2281
PA2626,1514,1407,1673,1613,1242,1139
PA4707,368,300,336,428,344,378
PA0854,1431,1373,1085,1454,1326,1459
PA1598,327,339,257,350,375,378
PA0356,475,436,548,452,365,329
PA2336,41,41,34,52,49,57
PA4988,976,1027,1052,1283,1057,1109
PA5040,6838,6475,7611,7541,6085,5331
PA3866,1351,1288,1377,1493,1417,1207
PA5475,21046,20033,14618,15964,15890,16105
PA0611,787,707,678,918,908,813
PA1564,288,267,306,264,254,216
PA1273,345,311,389,346,286,331
PA2032,746,609,693,1026,1002,850
PA1214,109,81,103,46,52,80
PA3593,129,157,105,174,150,134
PA3946,257,279,266,307,298,325
PA3150,5463,5627,6897,4813,5156,4896
PA4520,1825,1750,1776,1840,2472,2393
PA4951,659,621,516,588,662,570
PA3118,587,643,632,677,683,647
PA2994,1623,1565,1454,1524,1552,1556
PA1520,1128,1011,1102,1076,987,854
PA4327,169,137,121,124,145,150
PA4193,31,32,38,61,50,73
PA5127,287,329,431,367,290,285
PA5445,2380,2600,2888,6189,4587,5124
PA4745,6329,5831,8024,6246,5742,4803
PA4302,175,152,143,149,158,186
PA2904,128,159,160,191,164,168
PA2234,664,638,557,473,478,510
PA0081,1024,940,843,914,990,840
PA0489,136,121,104,153,100,95
PA4390,1138,1099,1199,1141,952,900
PA4958,2054,1862,1657,1407,1317,1308
PA1314,74,92,84,93,110,110
PA0622,1201,1231,1323,1130,1458,1638
PA5069,225,202,231,267,232,263
PA5321,348,299,244,358,252,292
PA0515,140,127,124,130,73,105
PA3241,614,707,662,937,791,915
PA4542,15304,13698,9693,6907,7235,7755
PA1176,2330,2132,1311,876,934,1327
PA0426,3612,3318,3184,3521,4157,4029
PA4892,236,237,296,167,153,145
PA1658,452,467,476,510,322,298
PA4265,6956,5655,5390,9354,10361,8450
PA0124,267,157,274,227,199,202
PA2925,48,54,24,53,43,69
PA5159,337,304,287,296,321,417
PA3349,14024,12999,12634,9061,9315,9597
PA4643,201,227,232,288,258,253
PA3627,1117,1122,1265,1371,1087,1091
PA5360,376,374,306,416,336,347
PA2194,796,674,602,548,626,614
PA3451,639,613,437,232,363,297
PA3501,1,-,4,1,1,4
PA4277,7455,6017,7595,9346,8223,6462
PA3784,3744,3435,3402,3753,4125,4605
PA0017,701,693,724,651,523,561
PA1600,156,192,109,161,159,176
PA1964,2746,2649,3381,2520,1507,1461
PA2161,25,21,11,5,24,26
PA5161,3206,3494,2770,2936,3806,3256
PA1438,491,467,480,477,546,544
PA2933,50,52,42,50,38,79
PA1343,239,188,157,129,153,153
PA5131,1170,1192,1126,1407,1519,1466
PA3026,334,283,260,349,366,422
PA1253,122,123,106,99,112,144
PA4411,4446,4601,5172,4032,4981,4921
PA3035,61,54,55,63,67,98
PA4443,608,602,579,576,434,458
PA5357,1051,984,1233,731,703,664
PA0243,199,200,229,205,170,215
PA0770,1366,1501,1335,795,581,642
PA0198,140,122,107,93,78,117
PA3377,64,44,65,45,45,76
PA3381,8,2,8,22,4,18
PA4116,823,740,575,535,569,484
PA3135,292,371,329,343,334,296
PA4175,1328,1261,766,830,748,1021
PA0293,68,67,79,69,57,68
PA2917,3329,2311,3390,3870,2675,3026
PA5097,639,719,673,697,726,792
PA3789,5671,5634,5499,5253,4766,4824
PA1844,22,26,20,31,21,32
PA2029,105,122,147,149,139,141
PA2396,148,176,113,157,173,159
PA2552,1397,1669,1834,1406,1698,1837
PA1619,331,349,357,537,376,460
PA0797,374,638,585,574,558,572
PA4768,1294,1191,1194,1006,889,798
PA0312,1152,1214,1127,1144,1167,1291
PA3295,790,1000,879,944,962,860
PA0569,80,66,52,63,49,57
PA2968,1208,1312,1452,1175,987,1021
PA1038,160,153,124,193,176,154
PA1639,152,234,225,238,251,197
PA0076,59,56,79,61,34,54
PA0989,79,75,53,84,103,91
PA0670,217,180,179,211,309,308
PA5558,3809,3016,3659,4510,4074,3623
PA4574,318,281,315,236,185,177
PA0551,769,830,859,761,773,730
PA1938,148,122,132,123,128,98
PA5535,295,242,220,269,255,291
PA4850,294,310,312,278,364,320
PA3666,611,638,637,900,956,871
PA4388,367,373,287,373,337,365
PA0038,2223,2269,2228,1722,1927,1903
PA1686,1008,979,897,771,784,876
PA1175,296,249,270,106,122,138
PA0524,130,122,85,111,135,145
PA4150,279,309,273,217,266,277
PA2108,495,281,436,456,279,307
PA2098,101,94,98,87,89,100
PA1465,1624,1443,1418,1335,1028,1286
PA2097,79,91,60,62,87,102
PA0720,43,37,32,42,36,59
PA5453,1043,1067,968,1203,1571,1538
PA5474,7022,7040,6206,5045,4057,4289
PA4189,73,88,35,82,83,77
PA1518,101,124,153,119,114,84
PA5132,158,175,136,145,114,119
PA0482,4200,4105,4389,7520,6360,6619
PA1315,333,281,428,346,333,293
PA5422,930,903,896,889,918,873
PA0289,388,331,255,387,372,431
PA5383,42,56,38,50,40,43
PA2364,568,512,334,320,279,286
PA3493,416,407,437,466,409,404
PA5568,2376,2764,3095,2888,2451,2155
PA5407,450,457,512,370,318,351
PA1923,238,221,178,202,206,251
PA5025,358,331,221,343,342,421
PA1672,222,218,171,240,175,232
PA2119,2251,1908,1427,1960,1712,1642
PA3733,867,862,897,995,873,905
PA3249,329,377,375,267,329,343
PA0136,144,169,143,190,93,173
PA4471,28,15,30,17,28,26
PA4068,904,734,782,807,600,604
PA4771,1959,1975,1831,212,171,140
PA4792,1250,1026,1188,751,700,715
PA5228,1009,864,943,971,693,830
PA3905,209,172,140,174,226,227
PA5015,3209,2965,3018,3743,3847,3834
PA1819,1375,1548,1364,1074,1163,1302
PA1097,5173,4901,5778,5273,5585,5514
PA1456,2003,1719,2057,1650,1352,1504
PA0447,2028,2953,2494,9413,8852,9167
PA2871,743,788,761,1043,1204,1044
PA5059,646,661,528,500,659,677
PA5036,5093,5113,6215,6632,5781,5305
PA2777,783,725,801,743,711,826
PA4813,89,109,87,96,137,129
PA3060,92,74,104,90,154,108
PA4305,757,704,764,417,445,527
PA0677,30,52,37,50,47,43
PA1879,118,141,119,160,133,153
PA4507,1378,1317,1370,1445,1411,1607
PA1243,1156,1257,1267,1373,1186,1296
PA0244,111,129,99,108,117,120
PA3437,434,396,455,487,447,367
PA1244,2719,2230,1833,2439,2786,2743
PA3673,1056,926,974,1240,1114,1018
PA1269,503,495,553,493,432,460
PA4969,1581,1571,1581,1627,1384,1176
PA4753,2760,2711,2988,2744,1827,1791
PA5489,4590,4456,3947,4142,3705,3741
PA4025,278,274,368,255,248,328
PA0806,287,244,258,195,168,152
PA3765,219,221,217,337,212,293
PA2954,232,253,253,315,285,299
PA3476,2812,3247,2902,3097,3651,3126
PA2113,3110,934,2989,3593,1165,1129
PA2646,239,245,210,313,347,316
PA3934,1288,1114,1007,1047,1255,1461
PA0159,791,688,686,645,625,622
PA4927,582,598,561,568,613,715
PA1031,937,977,1026,1115,1164,1173
PA2939,1457,1426,1043,913,1474,1689
PA0709,62,48,54,46,72,56
PA2538,56,58,67,32,33,42
PA5282,116,103,90,94,125,135
PA0959,2492,2452,2254,1774,2022,2035
PA1604,1941,1417,845,1526,1374,1326
PA4504,99,89,72,82,115,115
PA3508,47,44,52,60,53,64
PA0684,53,26,35,24,34,39
PA3885,226,174,223,214,173,197
PA0908,77,83,83,71,80,69
PA4682,400,377,206,302,446,401
PA2464,242,359,335,367,351,307
PA1383,1579,1382,1136,1553,1695,1497
PA0405,399,400,375,529,478,451
PA0784,964,954,886,712,911,942
PA4061,932,812,652,838,832,946
PA0732,637,628,405,533,648,663
PA1110,675,613,784,692,647,673
PA5045,5389,4856,5785,5494,5739,4801
PA0141,1976,1894,1668,2398,1680,1518
PA0739,109,71,104,146,134,118
PA3578,477,419,517,413,358,328
PA4139,382,422,349,455,322,231
PA1892,78,58,61,64,77,60
PA0261,125,117,108,111,124,121
PA0743,1607,1534,1104,1051,1291,1536
PA2082,217,224,172,208,241,215
PA0178,3994,3930,3899,1377,1714,1962
PA3068,6179,5907,4642,2684,4032,4111
PA3769,1783,1674,1718,1883,2169,2071
PA5072,755,612,651,761,534,511
PA3217,562,576,618,709,571,553
PA1191,1326,1201,831,1052,897,955
PA5050,665,661,684,741,695,712
PA0163,292,316,338,306,293,333
PA3488,229,213,255,203,233,206
PA1073,371,395,347,378,398,547
PA2479,277,283,217,308,265,311
PA5124,1643,1153,1771,1178,650,540
PA0741,155,178,176,227,184,219
PA3142,1333,1207,1203,1180,1149,1056
PA3702,1482,1430,1340,1340,1430,1391
PA4200,127,138,134,131,163,137
PA4121,15,21,5,27,21,12
PA4422,638,613,589,853,655,649
PA0963,3230,2800,3076,3753,4272,3468
PA2458,534,571,645,460,462,398
PA3777,795,752,837,1047,883,953
PA1895,238,236,166,291,301,330
PA1334,165,159,140,145,187,159
PA0574,349,374,387,453,422,390
PA2360,303,217,253,227,252,304
PA3074,985,1036,1072,1080,781,1094
PA2569,690,577,615,598,512,428
PA2353,253,241,276,311,345,348
PA1165,400,403,514,462,414,436
PA4482,115,100,90,119,90,83
PA1999,2168,3651,2744,3348,4656,4315
PA4064,64,85,108,84,87,102
PA0118,76,80,39,51,88,68
PA0833,3052,2752,2837,3505,2507,2523
PA4778,859,849,652,715,710,698
PA0559,571,522,558,581,656,701
PA1329,9,5,11,10,4,10
PA3096,1739,1746,1722,1524,1208,1453
PA0467,274,281,247,251,276,262
PA2205,55,45,46,57,66,38
PA3181,539,549,538,571,570,634
PA5561,1726,1400,1792,1278,1043,835
PA0864,109,133,140,141,162,195
PA3597,134,126,120,109,132,134
PA1082,1473,1295,1684,1870,1722,1509
PA3122,305,327,319,305,256,294
PA3590,164,180,155,167,178,171
PA3286,2524,2083,2600,1803,1710,1694
PA3410,23,33,25,22,17,16
PA2170,14,14,15,18,26,21
PA2383,263,257,272,320,240,306
PA2075,113,99,116,127,91,145
PA2517,5,1,8,12,9,9
PA2946,518,600,469,718,682,799
PA5547,353,368,356,382,343,370
PA2315,97,119,90,72,62,70
PA1632,4,-,6,3,2,3
PA3805,1545,1313,1527,2218,1749,1738
PA2482,889,874,1173,1037,749,846
PA0003,1666,1660,1654,1758,1478,1409
PA2502,566,518,564,503,415,462
PA2971,5035,4313,5877,4160,2839,2739
PA5521,1363,1454,1441,1603,1840,1813
PA2198,52,67,46,61,49,54
PA4499,344,336,346,339,396,349
PA0884,207,184,161,194,220,270
PA1822,3470,3297,3160,4695,4454,4309
PA3197,538,542,554,523,595,546
PA0355,1786,2051,1756,1964,2195,2437
PA4846,688,579,783,693,613,543
PA4245,508,605,725,747,855,718
PA0601,605,613,566,556,713,585
PA5366,174,200,161,182,163,182
PA0490,600,620,617,628,623,601
PA1955,36,46,42,33,46,32
PA1357,425,427,369,369,508,555
PA4731,178,177,208,203,259,185
PA1977,126,103,113,133,132,191
PA0973,5725,5265,5587,6481,5680,5199
PA0328,826,686,775,807,595,625
PA0953,188,155,239,187,291,190
PA3865a,184,190,231,177,148,139
PA1532,2121,2143,2491,3128,2728,2629
PA5460,368,233,143,132,142,202
PA4597,305,239,275,339,296,311
PA4038,39,32,26,25,24,54
PA4236,6651,6359,4989,7995,8532,8000
PA3094,601,483,499,758,661,656
PA0091,137,98,131,149,136,132
PA0595,11556,11485,11192,13512,14257,12157
PA0969,1168,1119,1062,1156,1151,1105
PA2126,580,678,682,554,357,380
PA3960,58,72,47,79,77,112
PA2312a,368,354,353,326,482,345
PA0729,254,196,214,215,224,184
PA1397,302,338,326,405,319,300
PA4637a,6325,6252,6336,2219,4981,4848
PA2343,68,67,57,58,54,100
PA0230,564,584,528,555,559,602
PA2008,1022,1189,1022,1222,1703,1668
PA0597,944,817,899,915,874,848
PA2347,115,77,69,89,91,82
PA2763a,31,36,29,36,30,36
PA4590,120,143,87,116,127,142
PA4417,3581,3790,4204,3388,4047,4073
PA1067,73,69,96,90,88,72
PA2222,509,419,382,438,382,321
PA3469,231,221,235,263,272,266
PA3107,2844,2360,2583,3305,2968,3253
PA4225,615,557,510,810,557,697
PA0894,294,287,272,278,282,252
PA1258,30,31,19,16,24,21
PA0221,56,59,35,53,49,50
PA1434,260,234,214,234,268,239
PA1062,213,228,231,223,190,229
PA0590,461,433,353,461,515,451
PA5388,123,101,77,80,83,71
PA4078,766,712,529,451,624,604
PA3445,49,71,61,35,59,47
PA0752,116,125,173,118,126,132
PA2493,3296,3309,2260,4250,5452,5253
PA1474,4519,3935,4285,2798,2803,2987
PA1428a,229,206,228,200,206,242
PA2889,227,239,170,3494,4700,4304
PA3223,106,81,131,124,147,148
PA1751,216,194,211,282,305,304
PA4252,2020,1861,1579,1815,2161,1931
PA1676,412,370,469,496,284,332
PA0883,34,25,36,29,35,29
PA1350,327,300,269,222,263,263
PA0509,674,582,650,699,399,446
PA3051,366,395,253,392,431,423
PA1839,603,496,526,419,345,357
PA4012,942,864,862,845,1059,964
PA2459,44,23,103,31,16,32
PA3541,167,180,210,205,240,275
PA4090,80,78,107,103,119,122
PA2301,412,470,380,316,394,472
PA5504,450,418,524,499,389,359
PA1495,133,149,140,154,143,202
PA4933,3238,3475,4243,3591,3094,3264
PA2267,411,368,363,472,426,444
PA3186,126,135,151,267,281,270
PA1306,586,561,504,619,559,617
PA0924,296,354,366,388,342,317
PA1202,579,441,371,446,571,495
PA2807,55,42,48,84,33,62
PA3622,4057,4118,2768,3529,5709,5031
PA5103,1386,1228,1107,508,532,586
PA3969,573,585,597,602,556,574
PA4333,1826,1646,1927,3007,2245,2415
PA1731,279,323,296,208,181,256
PA4629,41,39,33,57,45,43
PA5529,1047,1100,966,1148,1075,992
PA2358,-,8,6,9,2,10
PA0933,1231,1300,1324,1570,1515,1655
PA3210,356,399,430,432,363,370
PA4461,1893,1784,1866,2268,2010,1948
PA3527,281,277,360,326,349,324
PA1185,103,57,78,86,107,101
PA3324,408,428,358,419,375,344
PA1446,488,454,517,511,472,449
PA4048,1361,1165,960,861,676,724
PA2443,2342,2820,2542,1835,2469,2368
PA0657,1509,1297,1043,1395,1368,1374
PA2541,462,417,443,496,376,413
PA1408,983,943,854,695,709,807
PA1539,747,616,641,644,438,552
PA3650,2919,2530,3120,3358,2835,2842
PA1911,40,55,52,47,72,81
PA0376,24527,25197,27126,25256,22618,21984
PA0044,606,528,611,768,717,683
PA4130,11909,12185,8676,8954,11876,12744
PA1589,6509,4838,4864,9325,7299,7292
PA5421,469,411,363,364,460,604
PA2546,85,68,59,74,57,68
PA0211,432,711,496,740,1154,1435
PA4654,51,62,35,44,68,73
PA2597,149,148,87,142,166,183
PA3117,940,996,1101,1350,1251,1165
PA1612,141,131,127,126,151,125
PA5177,383,429,438,452,537,433
PA2182,56,56,35,34,67,38
PA3820,1647,1714,1690,1972,2104,2030
PA0541,1338,1413,1490,1015,1540,1293
PA5267,8,10,6,14,20,8
PA2697,22,19,37,17,25,22
PA4519,937,697,745,739,822,809
PA2853,193547,198338,208065,177007,197823,169239
PA5373,802,651,1150,788,361,340
PA0414,2567,2524,2261,2503,1745,1977
PA3072,308,335,372,368,274,319
PA1006,162,163,138,159,151,103
PA5028,2857,2816,2693,2452,2531,2149
PA3239,380,354,330,375,399,340
PA3825,926,939,816,641,793,779
PA2706,319,320,226,331,393,418
PA3000,1168,1096,1261,1321,1189,1149
PA2394,112,68,75,83,97,89
PA3193,619,646,605,892,904,939
PA1322,123,129,112,137,158,144
PA4834,66,67,82,53,85,83
PA0237,82,60,36,48,62,35
PA4517,428,420,556,516,484,528
PA1134,33,31,28,25,25,19
PA0911,74,66,88,77,65,74
PA0455,580,613,661,734,696,638
PA4368,1208,1129,1078,1018,882,822
PA1348,1134,1070,822,758,963,952
PA5551,700,603,394,709,746,757
PA1183,2242,2316,3010,2380,3041,3462
PA4410,1512,1486,1607,1457,1912,1887
PA3779,107,69,92,91,100,95
PA3917,176,170,152,186,185,154
PA3571,210,229,138,166,154,157
PA4791,678,585,566,686,652,787
PA4442,743,716,846,966,911,931
PA3895,284,236,226,311,260,283
PA1027,224,244,222,173,228,240
PA1543,1115,991,1245,1148,798,716
PA4705,249,234,349,350,340,364
PA0603,286,260,272,386,460,436
PA4415,1753,1792,2045,1512,1981,1665
PA4640,3138,2777,3047,5946,3947,3767
PA5461,1068,955,668,833,954,904
PA4301,174,145,117,129,184,187
PA5432,20,57,48,70,49,52
PA0207,398,485,363,455,403,474
PA4401,336,356,317,532,475,507
PA5204,1281,1394,1501,2557,1846,2177
PA4359,11,11,7,4,16,7
PA0257,431,404,301,375,446,440
PA3610,130,140,144,152,96,100
PA2859,777,766,701,745,614,631
PA0791,508,496,433,498,603,602
PA2911,253,231,233,230,310,250
PA2196,394,279,380,218,254,235
PA5499,2776,2390,2227,1981,1948,2002
PA3947,317,273,253,252,306,257
PA0874,66,76,65,123,68,101
PA1080,1960,1857,1813,2179,2067,2065
PA3162,24528,24293,27211,27340,26895,22915
PA2691,315,292,325,300,260,288
PA4746,2647,2313,2695,2169,1650,1283
PA2897,1726,1951,1776,2151,2243,2355
PA4739,7634,10884,7878,8109,13341,14072
PA3619,196,226,179,187,184,209
PA3751,1081,1029,970,921,982,1040
PA0357,1018,1160,1453,1415,1106,1020
PA1781,161,124,128,193,188,174
PA1262,65,43,57,62,47,55
PA1076,1926,1472,1428,1552,1536,1260
PA0575,1189,1087,973,805,980,886
PA3364,1937,2297,2850,2089,1970,2449
