,0-1F_mapped_reads(6898436),0-2F_mapped_reads(6572494),0-3F_mapped_reads(6559324),6-1F_mapped_reads(6710899),6-2F_mapped_reads(6573316),6-3F_mapped_reads(6413258)
PA0169,170,186,151,124,198,182
PA5160,239,187,173,217,228,199
PA0109,363,404,233,205,308,318
PA1587,11450,9619,9055,14110,11467,11696
PA0948,187,155,234,235,162,194
PA5265,1701,1461,1177,1537,1556,1440
PA3696,590,536,578,634,672,620
PA1402,141,127,89,116,144,155
PA1678,1381,1299,1621,1225,1205,1117
PA3098,572,594,547,531,515,445
PA2243,142,140,144,155,117,147
PA1546,8386,6586,5201,8540,6930,6633
PA3979,585,533,674,532,374,363
PA1224,81,87,83,108,118,130
PA5386,43,29,29,38,20,19
PA0440,123,114,133,132,133,152
PA4828,249,201,164,186,145,191
PA1918,80,87,84,73,76,97
PA1628,154,160,114,143,171,148
PA5006,1853,1692,1666,1827,1808,1814
PA4258,1945,1815,1852,1809,2206,2017
PA3464,191,213,217,226,199,276
PA2862,106,100,123,239,325,273
PA4599,139,90,145,201,143,176
PA3199,289,266,363,261,291,203
PA0513,37,59,40,62,26,57
PA4014,195,206,197,248,196,216
PA2349,37,21,18,26,28,20
PA1771,140,122,180,136,120,93
PA1112b,3443,3391,3470,3598,3148,3018
PA3758,56,33,40,53,58,28
PA3403,121,135,151,117,137,131
PA4161,184,214,234,185,220,233
PA3990,20,21,17,17,8,4
PA2488,248,198,197,195,197,184
PA2257,78,45,48,67,69,54
PA0641,1535,1552,1543,1170,1426,1531
PA1753,1854,1726,1133,1231,1610,1627
PA0428,2825,2847,2967,3479,3051,2920
PA0098,66,59,53,63,54,68
PA1198,10830,9552,13210,12997,9785,8846
PA1218,144,127,110,109,149,124
PA2524,351,242,317,344,339,321
PA1045,965,897,1012,1143,985,934
PA3354,996,837,826,872,856,969
PA1530,513,567,661,471,469,444
PA5368,469,438,383,454,418,293
PA1341,453,338,309,340,411,362
PA0881,52,40,48,49,32,55
PA2864,1122,1132,813,801,801,815
PA0599,927,813,741,905,902,865
PA5031,125,145,115,143,132,186
PA2265,427,318,359,297,332,333
PA4335,103,78,108,105,171,171
PA5563,734,718,764,817,743,687
PA2748,256,235,244,235,279,306
PA0927,878,766,705,738,646,656
PA1448,244,247,245,276,256,242
PA1409,118,109,113,116,77,89
PA1066,353,339,310,335,374,357
PA2214,22,35,33,41,50,53
PA2559,496,495,506,486,417,483
PA1297,214,156,180,209,150,159
PA0568,290,256,210,251,235,250
PA2317,274,281,242,268,330,300
PA3741,136,106,144,125,127,93
PA1609,2653,2361,2427,2245,2111,2162
PA4140,109,141,104,122,102,91
PA2675,34,24,25,29,39,28
PA2345,825,832,674,699,765,853
PA3139,2510,2255,2380,2345,2257,1974
PA2385,97,104,88,82,75,108
PA3685,1361,1411,1624,1326,922,1027
PA2741,12395,11632,11407,10886,10355,10036
PA4076,126,113,115,109,118,106
PA4637,585,564,712,715,487,535
PA2832,427,521,462,524,686,716
PA5181,332,312,321,330,408,402
PA3785,2767,2549,1889,2944,3407,3111
PA1395,47,39,72,41,44,76
PA3620,1648,1588,1566,1701,1629,1493
