,Pa_coculture_WT_Ca_1,Pa_coculture_WT_Ca_2,Pa_coculture_WT_Ca_3,Pa_coculture_WT_Ca_4,Pa_coculture_WT_Ca_5,Pa_coculture_adh1mut_Ca_1,Pa_coculture_adh1mut_Ca_2,Pa_coculture_adh1mut_Ca_3,Pa_coculture_adh1mut_Ca_4,Pa_coculture_adh1mut_Ca_5,Pa_monoculture_1,Pa_monoculture_2,Pa_monoculture_3
PA14_05300,1,10,0,2,4,15,16,16,12,9,11,15,6
gshB,33,41,41,60,69,47,55,55,36,48,44,50,56
pilG,58,63,67,82,73,110,155,123,134,104,190,259,264
pilH,31,34,40,36,30,54,80,63,56,53,76,64,81
pilI,6,11,13,9,7,24,32,21,19,20,15,12,15
pilJ,42,29,45,41,38,71,43,49,52,80,87,51,63
pilK,7,8,11,13,5,13,26,9,14,11,12,8,19
chpA,73,79,91,76,94,84,126,115,116,128,125,78,108
PA14_05400,3,6,8,7,8,8,9,8,5,7,11,14,13
PA14_05410,8,1,5,4,6,4,10,6,7,9,6,7,2
PA14_05420,3,3,1,0,4,5,4,2,2,3,2,7,10
PA14_05430,1,2,1,2,1,1,3,5,3,4,3,1,7
PA14_05440,7,14,6,10,8,6,11,14,11,9,8,3,4
PA14_05450,3,4,5,6,6,6,8,7,6,3,4,6,8
bioA,21,23,29,43,34,23,21,10,14,22,13,15,21
PA14_05480,30,31,44,38,42,36,52,45,57,50,32,29,45
PA14_05500,7,6,13,8,10,14,15,16,17,12,8,10,8
PA14_05510,103,74,119,113,124,198,179,215,230,218,243,192,169
mexR,21,33,43,46,51,48,48,51,45,39,78,65,66
mexA,75,123,165,157,180,103,101,87,121,125,80,55,61
mexB,204,307,414,327,349,319,352,223,357,332,202,83,124
oprM,88,113,158,118,149,106,139,92,108,128,43,35,38
PA14_05560,119,112,133,103,127,212,221,190,170,180,65,28,40
PA14_05580,88,89,100,103,98,99,154,135,124,139,105,87,88
metF,29,28,38,18,31,38,23,23,26,30,13,8,10
PA14_05600,16,16,27,14,21,13,33,19,14,17,7,4,4
sahH,117,184,250,245,269,142,137,100,121,128,66,32,40
PA14_05630,0,0,3,1,1,0,2,3,2,3,1,0,2
PA14_05640,6,3,7,6,6,4,8,5,5,6,8,3,3
PA14_05650,1,1,1,1,1,1,2,1,2,2,1,0,1
PA14_05660,37,16,27,30,25,50,51,66,55,42,82,68,88
codA,15,11,14,14,8,28,32,19,21,26,25,10,22
codB,2,3,3,9,12,7,9,7,8,8,5,6,4
PA14_05740,5,5,14,11,19,2,4,3,1,2,2,1,1
PA14_05750,3,6,11,11,10,2,1,1,1,2,3,1,0
dhT,45,46,67,62,71,14,11,9,14,11,16,7,8
PA14_05775,0,0,0,0,1,0,0,0,0,0,0,0,0
PA14_05790,12,16,12,11,16,4,1,4,4,5,5,2,6
amaB,19,26,52,42,42,13,3,11,18,17,7,13,11
PA14_05820,46,52,60,49,56,23,43,34,50,52,15,13,16
gcdH,97,99,153,163,154,82,151,120,132,161,127,68,76
PA14_05850,3,2,1,4,4,1,5,3,9,3,7,7,7
PA14_05860,34,38,46,39,31,25,37,21,32,30,39,38,39
PA14_05870,6,8,9,6,4,5,13,1,11,8,5,4,4
PA14_05880,13,18,15,28,8,14,19,18,10,16,33,26,29
PA14_05890,4,2,6,2,5,1,4,6,1,0,15,13,17
PA14_05910,6,6,5,2,3,5,20,10,3,9,16,9,16
PA14_05920,16,10,12,14,10,27,22,18,16,24,22,18,32
dbpA,15,16,18,14,19,32,44,38,30,41,26,15,19
PA14_05960,1233,775,847,765,679,2251,1465,2001,1370,1212,1497,1177,1486
PA14_05970,13,7,12,11,9,21,48,31,25,30,17,14,12
PA14_05990,19,11,18,5,8,15,29,20,16,24,15,4,14
PA14_06000,76,151,243,207,206,79,83,75,82,84,55,49,49
PA14_06010,75,51,46,54,57,66,61,59,57,56,89,46,40
PA14_06030,23,16,28,15,29,34,45,32,30,23,29,23,35
PA14_06040,75,49,63,47,42,99,123,109,114,92,173,117,122
creB,18,6,10,14,11,14,20,23,17,16,23,18,15
creC,10,7,6,6,8,15,13,22,12,9,19,14,15
creD,5,4,1,8,8,3,5,10,6,9,6,6,6
PA14_06090,1,0,0,0,1,0,1,1,0,0,0,1,2
PA14_06120,7,2,11,4,1,5,6,7,6,6,6,3,4
PA14_06130,17,21,30,31,26,17,37,6,26,26,17,12,20
PA14_06150,16,11,13,11,15,18,21,14,17,13,16,6,14
PA14_06160,15,15,13,11,17,28,33,27,26,33,27,25,20
PA14_06170,1,4,1,1,3,7,13,8,16,5,5,3,8
PA14_06180,1,2,1,0,2,10,14,4,13,10,20,10,7
PA14_06190,8,7,18,7,18,4,14,10,12,11,4,5,3
PA14_06200,0,1,0,1,0,0,0,0,1,0,0,2,0
PA14_06210,1,5,2,1,1,2,0,0,2,0,2,0,0
PA14_06230,12,16,18,20,27,15,25,20,10,15,18,22,15
PA14_06240,3,3,5,10,3,6,9,5,4,5,6,3,3
PA14_06250,3,1,4,3,3,5,2,0,3,6,3,5,2
PA14_06260,4,3,3,6,2,5,6,13,7,6,5,2,6
PA14_06270,8,8,7,6,8,5,5,8,6,5,5,6,11
PA14_06280,10,4,6,8,16,9,3,6,12,7,7,5,5
glcB,152,216,319,247,273,99,148,125,139,136,38,21,34
PA14_06300,12,24,26,30,29,15,25,20,12,16,22,15,25
PA14_06310,34,47,65,59,70,34,40,37,36,55,66,45,35
PA14_06320,16,16,12,26,15,19,17,13,18,21,20,10,19
PA14_06330,9,10,9,10,5,6,11,9,4,5,11,7,9
PA14_06340,17,10,11,11,10,8,15,16,17,16,7,15,13
PA14_06350,3,0,5,5,3,3,2,1,6,11,5,5,3
PA14_06360,3,1,2,3,0,5,6,4,5,5,4,1,5
PA14_06390,8,11,9,5,7,11,18,20,14,9,28,27,26
PA14_06400,2,1,2,6,2,7,7,5,2,2,7,2,3
PA14_06420,25,30,27,16,18,17,21,15,8,9,11,5,7
PA14_06430,9,20,27,13,9,6,9,2,5,3,1,3,4
PA14_06450,39,74,67,40,33,35,30,13,12,19,7,2,4
PA14_06460,44,65,77,31,22,32,29,11,19,24,4,4,8
PA14_06480,47,58,70,28,30,26,29,13,19,29,4,2,5
bioB,80,120,120,130,120,121,81,76,107,102,45,32,31
bioF,18,21,20,15,11,13,12,14,9,13,3,7,3
PA14_06530,8,17,18,15,11,10,10,7,6,13,7,4,6
PA14_06540,6,3,4,8,8,3,4,2,4,6,1,2,4
bioD,5,2,6,5,7,3,2,8,4,5,0,1,3
PA14_06580,28,31,34,37,31,24,15,33,32,21,30,51,66
PA14_06600,191,396,603,584,526,367,497,320,500,551,262,174,223
PA14_06620,14,24,20,26,20,8,14,14,10,5,8,8,7
PA14_06640,25,37,59,50,40,41,69,31,42,71,9,4,17
nirN,3,6,10,4,6,18,23,39,17,25,50,37,41
nirE,2,6,6,3,2,7,17,14,4,19,25,21,26
nirJ,11,7,12,8,10,8,24,16,23,20,47,41,47
nirH,2,7,5,4,2,11,12,12,5,8,15,8,15
nirG,3,3,7,1,5,5,8,9,4,5,13,13,11
nirL,4,10,5,3,8,5,17,11,6,9,23,14,16
PA14_06710,6,8,10,5,5,2,10,9,18,9,23,27,22
nirF,24,11,19,10,12,16,26,20,28,26,62,56,49
nirC,9,8,10,6,1,6,8,10,13,17,15,6,4
nirM,15,22,35,20,17,11,20,26,25,34,108,55,58
nirS,237,221,286,245,196,235,287,237,274,363,876,718,755
nirQ,26,25,31,27,21,37,56,61,45,60,113,108,118
PA14_06790,6,3,4,3,3,6,7,5,9,4,3,5,10
PA14_06800,0,0,0,0,1,1,3,2,0,1,2,1,4
norC,75,66,83,86,54,133,174,186,159,234,363,332,404
norB,125,75,105,93,74,145,272,198,188,306,385,228,260
PA14_06840,52,62,69,59,56,66,137,112,95,128,155,109,133
PA14_06860,6,17,18,20,10,20,18,14,22,17,24,33,42
dnr,22,44,45,33,31,51,65,71,69,68,68,45,50
PA14_06875,106,171,164,321,265,268,284,521,637,271,195,546,972
PA14_06880,7,9,16,16,9,36,35,42,33,26,23,23,35
PA14_06890,6,2,5,5,6,2,14,6,7,6,5,7,8
PA14_06900,1,1,0,1,1,0,2,1,2,1,2,0,1
PA14_06920,0,2,5,2,2,3,6,5,4,3,1,2,6
PA14_06930,5,2,12,4,4,17,7,5,6,3,4,3,7
PA14_06940,7,4,8,6,10,19,10,7,3,3,3,7,1
PA14_06950,8,6,15,10,8,10,11,11,18,9,11,9,6
PA14_06960,26,17,18,19,19,14,11,9,14,7,7,12,9
PA14_06970,5,5,6,6,6,7,6,7,5,6,8,8,6
PA14_06980,29,27,23,27,40,68,61,54,72,70,40,18,17
PA14_06990,42,38,63,50,50,51,82,62,79,80,93,69,51
dsbB,4,8,8,7,9,8,6,9,6,7,4,6,3
PA14_07010,1,0,2,1,3,1,7,1,1,2,0,4,4
PA14_07020,9,8,7,8,12,7,12,16,14,15,11,6,10
PA14_07030,5,18,20,15,21,21,21,16,18,17,8,8,12
PA14_07040,7,17,16,18,17,12,21,14,16,15,10,9,3
PA14_07050,14,9,25,16,18,15,11,13,15,5,11,10,11
PA14_07060,5,6,15,15,18,15,8,22,16,12,14,15,15
PA14_07070,6,4,13,10,11,8,12,9,6,20,19,12,16
metK,281,348,414,277,257,168,165,135,144,197,87,33,50
PA14_07110,162,187,204,135,109,100,159,105,93,132,67,33,55
tktA,77,103,146,139,166,100,124,99,123,144,52,30,32
PA14_07140,12,18,20,15,10,13,16,23,18,19,6,7,5
PA14_07150,4,2,8,5,9,9,15,6,7,9,4,1,1
epd,19,12,9,9,15,14,20,10,17,17,16,5,8
pgk,37,38,39,36,48,63,76,44,56,74,22,11,15
PA14_07200,17,25,21,29,19,24,20,21,22,18,30,30,27
PA14_07210,30,28,25,29,31,29,33,20,29,27,17,24,14
fda,149,150,188,218,180,163,184,155,178,176,178,96,83
PA14_07240,2,6,8,7,11,14,8,8,6,10,8,4,3
PA14_07250,5,6,11,8,10,4,8,9,8,9,11,6,7
PA14_07260,7,8,13,4,4,4,7,7,9,10,5,1,2
PA14_07280,9,4,11,12,17,15,10,13,8,20,13,8,10
PA14_07290,7,2,4,5,3,7,14,8,4,7,8,4,6
PA14_07300,5,4,7,14,9,15,21,18,15,17,30,16,25
PA14_07310,2,7,5,7,6,4,6,4,8,7,10,2,1
PA14_07330,15,23,31,46,46,66,63,91,67,66,105,53,108
PA14_07340,2,4,1,0,3,1,2,5,7,3,1,0,1
PA14_07355,4,10,13,17,28,9,9,15,11,14,21,19,24
PA14_07360,4,5,11,8,7,10,7,4,14,7,7,7,4
PA14_07370,44,24,24,26,14,17,17,23,23,12,22,28,24
PA14_07380,26,22,7,14,12,19,22,18,21,16,31,19,12
PA14_07400,3,2,5,2,2,1,2,2,1,2,4,2,1
PA14_07410,0,0,2,0,0,1,1,1,2,3,2,1,2
PA14_07420,7,5,8,2,4,3,2,4,9,3,5,4,4
PA14_07430,62,87,176,187,240,41,51,50,68,65,181,168,165
PA14_07440,1,1,1,2,1,0,0,1,1,1,4,6,4
PA14_07450,5,9,13,9,4,13,15,20,20,19,30,25,19
PA14_07460,3,3,2,6,7,9,11,4,7,5,7,5,4
PA14_07470,0,0,0,0,0,0,1,0,2,0,0,0,0
PA14_07480,85,97,126,128,109,268,222,161,188,223,138,56,58
PA14_07500,55,41,49,39,41,70,61,67,60,78,92,75,89
rpoD,494,464,505,461,471,925,1044,887,879,1029,862,490,487
dnaG,27,26,31,31,31,57,77,63,64,71,45,33,39
PA14_07550,25,22,19,23,28,67,71,50,50,63,30,18,14
rpsU,131,89,108,136,128,268,247,241,302,296,150,175,204
gcp,21,16,22,27,21,31,43,49,46,48,21,16,24
PA14_07580,13,18,20,25,24,20,32,18,16,25,18,19,11
folB,4,3,9,7,8,7,9,7,9,7,11,3,5
PA14_07600,8,7,5,7,8,12,15,14,9,13,3,9,9
cca,8,15,15,18,15,11,11,13,16,16,18,22,18
PA14_07630,5,1,4,1,1,4,4,3,4,4,4,6,9
PA14_07650,183,228,305,225,243,131,202,177,200,193,486,429,440
PA14_07660,180,258,290,258,270,153,153,136,178,178,351,303,290
PA14_07680,877,1339,1754,1958,1919,1063,955,907,1016,1091,2133,1480,1434
glpE,3,4,6,6,1,8,9,8,4,5,6,6,3
apaH,26,11,9,17,10,25,21,27,17,12,23,13,9
apaG,14,20,15,11,11,16,20,14,9,18,19,18,16
ksgA,18,13,23,12,13,34,34,19,33,20,30,20,20
pdxA_1,20,18,11,13,13,24,29,37,24,25,19,9,12
surA,79,62,72,56,44,154,185,171,138,174,113,63,98
ostA,334,350,358,363,353,668,694,732,676,720,732,600,655
PA14_07780,15,17,20,19,20,30,37,28,35,22,38,30,28
PA14_07790,8,4,10,4,6,9,19,6,12,12,8,4,5
PA14_07800,9,12,16,14,10,15,17,14,10,12,16,9,10
PA14_07810,13,9,17,10,12,16,18,14,22,15,11,13,13
PA14_07820,16,16,21,20,18,13,17,21,15,18,19,10,11
PA14_07840,8,6,3,7,10,12,8,12,17,10,12,8,10
PA14_07850,8,7,13,13,13,10,17,8,10,7,8,6,10
PA14_07860,66,121,189,191,140,175,163,85,145,111,35,23,33
PA14_07870,165,366,508,350,315,340,288,173,269,221,43,15,30
PA14_07890,53,96,165,89,75,99,100,54,77,65,17,5,8
PA14_07900,41,50,89,42,34,57,48,34,43,40,8,1,3
rpe,8,16,10,11,9,16,24,14,11,22,12,10,6
PA14_07930,6,9,6,5,4,6,18,17,13,17,6,6,10
trpE,51,50,58,65,60,70,83,57,56,59,60,42,51
prtN,8,9,6,16,8,4,5,12,9,6,15,20,13
prtR,11,9,4,5,9,16,21,12,16,18,23,18,20
PA14_07970,3,1,0,0,0,1,0,1,0,0,0,0,0
PA14_07980,7,3,8,5,1,4,4,1,1,2,6,4,5
PA14_07990,3,4,8,1,2,2,3,0,2,1,1,2,2
PA14_08000,22,14,14,7,8,10,7,3,7,6,7,2,12
PA14_08010,7,13,11,10,2,4,3,5,3,2,5,4,4
PA14_08020,6,9,1,4,2,1,2,2,2,2,3,4,3
PA14_08030,15,11,11,17,7,6,5,3,6,4,8,5,7
PA14_08040,10,10,7,5,6,4,2,2,2,2,7,3,7
PA14_08050,68,69,56,49,32,38,35,43,32,36,81,70,71
PA14_08060,18,11,15,26,15,8,15,8,5,13,21,33,28
PA14_08070,50,25,34,26,22,8,23,16,15,11,19,13,14
PA14_08090,23,17,8,15,11,10,5,5,7,9,11,9,9
PA14_08100,15,7,11,7,6,8,3,3,1,3,1,2,3
PA14_08110,2,3,0,1,0,1,0,0,0,0,1,0,0
PA14_08120,51,45,41,35,41,19,17,15,10,17,18,15,31
PA14_08130,19,5,14,14,8,12,8,5,7,12,7,11,7
PA14_08140,2,2,0,2,0,0,0,1,0,0,2,0,0
PA14_08150,11,12,14,7,9,5,5,6,8,2,4,7,0
PA14_08160,10,7,5,5,4,1,1,1,2,0,1,0,4
PA14_08180,4,1,2,2,4,1,2,0,1,0,0,2,1
PA14_08190,1,0,2,1,1,0,2,1,0,0,0,2,0
PA14_08200,3,3,2,1,1,2,1,1,0,0,0,0,0
PA14_08210,18,12,15,10,7,8,10,4,7,6,9,17,9
PA14_08220,11,6,8,11,6,3,7,4,4,2,5,5,2
PA14_08230,5,2,8,4,4,0,2,4,3,2,0,3,2
PA14_08240,35,33,32,23,23,10,10,9,13,7,11,16,24
PA14_08250,3,6,6,3,3,1,1,1,0,0,2,1,1
PA14_08260,9,9,7,3,3,2,1,0,2,1,1,4,1
PA14_08270,11,6,6,6,4,0,6,3,5,1,6,1,3
PA14_08280,15,8,10,4,2,3,2,2,8,3,9,2,8
PA14_08300,45,49,70,45,38,22,26,23,28,24,33,30,36
PA14_08310,36,21,31,38,28,39,30,36,24,36,85,59,72
PA14_08320,13,7,14,13,10,12,13,14,14,13,19,20,12
PA14_08330,9,7,13,7,6,13,15,17,12,16,18,19,13
trpG,35,27,27,31,38,21,33,31,34,21,45,21,29
trpD,47,41,56,54,53,45,31,36,42,30,40,28,37
trpC,27,32,44,40,38,52,33,33,40,31,29,16,33
vfr,80,71,77,86,77,109,98,102,88,110,139,74,76
PA14_08380,7,10,16,18,17,10,19,37,16,16,16,14,22
speD,19,22,47,45,57,41,30,53,52,49,26,24,36
PA14_08400,24,29,38,43,41,28,33,27,33,25,37,20,28
PA14_08420,12,13,18,27,20,17,19,16,19,13,34,41,55
PA14_08430,14,13,22,31,19,10,19,22,18,16,15,11,13
PA14_08440,19,20,15,27,17,21,29,17,25,23,30,26,31
PA14_08450,21,29,46,46,46,42,52,36,33,44,25,21,27
PA14_08460,19,19,39,33,26,16,25,15,24,23,19,4,13
PA14_08470,5,5,5,5,7,4,4,4,5,5,3,5,5
argC,18,22,44,25,35,19,26,26,34,21,14,16,10
PA14_08490,13,12,17,17,16,18,14,20,18,19,11,11,10
PA14_08500,15,12,14,12,12,20,17,10,20,23,24,23,21
PA14_08510,25,25,33,27,23,35,35,29,47,43,78,111,102
anmK,27,24,30,24,23,51,67,61,52,76,41,30,34
PA14_08540,91,100,119,87,91,180,198,218,197,213,149,99,99
tyrZ,149,150,137,211,199,188,140,142,200,157,295,257,259
PA14_08570,639,2111,1050,398,132,450,849,200,574,464,1442,4628,216
PA14_08580,0,0,0,0,0,0,0,0,0,0,0,0,0
PA14_08590,0,0,0,1,0,0,1,1,2,0,0,0,0
PA14_08600,4878,4412,3402,1335,1717,1426,2455,881,2427,2454,6597,13440,1157
PA14_08610,11,19,1,2,1,0,1,3,2,0,1,7,2
birA,21,19,17,20,27,37,38,40,33,48,27,19,28
PA14_08630,13,8,14,12,13,18,20,22,23,19,21,15,12
PA14_08640,15,8,15,18,8,24,37,31,31,17,34,33,42
PA14_08650,10,19,10,26,17,28,17,19,22,30,11,17,25
PA14_08660,2,0,0,2,0,2,0,0,1,0,0,2,2
PA14_08670,0,1,1,0,2,0,1,0,0,0,0,3,1
tufB,624,765,1356,1602,2031,1271,1536,1383,1940,2242,1902,1180,1453
PA14_08690,0,1,1,0,1,0,0,0,1,1,0,0,0
secE,167,182,212,233,242,298,326,298,337,364,198,180,191
nusG,211,192,227,237,271,498,540,520,577,528,349,310,354
rplK,242,219,296,273,361,663,784,641,708,848,324,199,206
rplA,384,327,503,376,446,938,1169,845,959,1262,360,131,145
rplJ,214,192,287,234,303,723,642,554,605,788,298,151,185
rplL,179,135,231,209,246,552,506,494,553,571,282,212,322
rpoB,1034,1107,1605,1158,1464,2246,2459,1831,1913,2594,705,323,416
rpoC,1321,1334,1823,1271,1516,2166,2303,1533,1499,1902,643,248,346
rpsL,224,198,260,255,272,326,395,387,369,455,219,164,200
rpsG,275,233,418,275,342,549,598,460,559,571,290,120,147
fusA1,872,826,1202,773,984,2018,2432,1570,2031,2527,818,212,231
tufA,1069,906,1341,916,1017,2376,2540,1781,2100,2633,1525,437,435
rpsJ,180,178,269,261,387,537,419,413,491,613,185,161,192
rplC,262,248,425,352,452,728,840,633,782,970,299,142,198
rplD,168,138,323,218,271,555,721,450,508,785,162,65,58
rplW,64,50,99,89,119,271,254,167,223,349,61,14,27
rplB,179,183,316,247,336,660,846,488,615,849,217,65,100
rpsS,52,59,104,69,105,240,253,182,225,288,85,32,30
rplV,86,96,145,111,137,297,334,225,264,380,86,32,40
rpsC,188,170,269,210,239,654,682,413,531,734,204,82,83
rplP,117,97,168,98,144,334,334,245,245,369,117,30,45
rpmC,34,19,56,27,28,94,101,72,87,113,24,9,13
rpsQ,54,35,63,45,40,118,124,89,103,153,55,26,30
rplN,89,67,97,68,96,219,204,179,195,270,113,40,40
rplX,107,58,107,69,92,233,197,160,180,237,98,47,46
rplE,253,183,242,197,222,643,592,459,428,571,284,125,145
rpsN,124,89,152,118,125,234,270,211,184,272,135,62,90
rpsH,258,284,356,397,493,667,602,582,685,647,256,201,253
rplF,235,241,351,294,365,568,641,450,617,688,260,116,144
rplR,143,135,239,207,226,399,385,289,325,457,139,46,62
rpsE,217,234,355,268,315,684,752,464,647,723,219,88,100
rpmD,74,74,84,66,70,198,157,134,158,205,50,25,23
rplO,191,164,294,208,237,481,591,375,440,512,130,46,65
secY,542,471,693,470,540,1271,1576,1053,1223,1522,318,167,222
rpmJ_1,24,10,29,14,25,59,60,49,30,52,18,15,11
rpsM,147,105,123,102,139,242,254,219,245,311,100,52,86
rpsK,136,110,145,107,104,271,314,215,267,314,100,43,41
rpsD,201,158,233,177,198,421,449,322,430,548,179,62,86
rpoA,375,298,460,325,348,932,1046,698,763,982,371,129,193
rplQ,205,155,221,156,171,470,382,388,366,443,232,148,191
katA,637,1488,1852,1408,1165,445,712,123,479,301,215,148,139
bfrA,35,55,61,67,42,38,65,74,66,49,78,54,47
uvrA,42,40,49,35,65,65,86,74,88,95,49,31,22
PA14_09195,14,16,28,18,16,21,34,23,25,24,16,13,28
ssb,55,70,50,82,86,65,74,59,85,67,59,29,37
pchA,1,10,19,13,18,42,72,63,54,54,31,17,26
pchB,0,3,6,3,6,11,20,20,10,8,10,8,7
pchC,0,2,1,1,1,7,20,16,15,16,5,5,1
pchD,3,1,7,4,10,44,78,59,46,54,36,18,28
pchR,4,1,3,2,9,13,21,34,19,26,22,17,16
pchE,3,6,9,17,11,43,76,60,46,52,68,54,66
pchF,7,5,8,17,23,44,73,77,75,84,61,36,39
pchG,0,0,0,5,7,12,36,61,34,38,11,8,16
PA14_09300,2,2,5,5,9,16,33,51,33,31,10,13,5
PA14_09320,1,2,4,1,9,19,39,58,32,35,6,3,16
fptA,6,10,10,17,28,116,184,145,146,149,119,104,146
PA14_09350,1,0,0,0,0,4,14,11,5,7,3,5,2
PA14_09370,0,0,0,0,1,2,15,12,6,10,2,3,7
PA14_09380,6,5,3,6,7,19,20,29,19,10,6,4,5
phzS,58,132,139,89,78,17,18,15,12,10,10,2,7
phzG1,25,50,43,16,12,3,0,4,0,0,5,0,0
phzF1,33,66,87,69,75,14,13,14,23,13,5,2,3
phzE1,152,357,551,462,539,76,110,82,120,82,17,7,24
phzD1,41,81,126,96,109,21,4,9,27,13,0,0,2
phzC1,49,61,104,69,50,0,4,18,9,4,6,0,0
phzB1,59,86,90,72,71,14,13,12,5,9,10,7,11
phzA1,27,36,53,46,25,3,8,1,4,2,4,3,10
phzM,94,153,176,128,169,32,42,30,27,29,22,21,26
opmD,40,60,86,59,52,25,22,17,24,21,25,14,14
mexI,35,32,43,57,50,35,30,31,39,29,42,37,55
mexH,14,15,30,27,39,15,20,9,19,19,21,19,19
mexG,16,7,27,26,31,17,19,13,13,24,20,21,11
PA14_09550,20,21,21,23,22,19,28,18,17,18,31,24,29
PA14_09570,1,2,0,3,2,2,3,2,2,3,3,3,2
PA14_09580,2,2,3,3,1,3,4,2,3,2,5,4,2
ddlA,20,26,37,39,30,24,21,34,28,26,16,11,12
PA14_09610,27,4,9,3,9,8,3,9,0,9,3,1,4
PA14_09630,83,49,42,21,24,23,23,12,19,7,9,12,14
PA14_09660,102,47,39,16,26,13,14,25,16,14,38,18,25
PA14_09680,10,5,3,2,6,8,5,6,4,5,10,2,7
PA14_09690,2,0,4,3,6,4,6,3,4,5,6,3,1
PA14_09700,10,19,29,28,28,31,26,23,19,18,9,12,11
PA14_09710,3,3,0,2,3,1,1,2,2,2,2,3,2
PA14_09730,0,1,0,0,3,0,0,0,0,1,0,1,0
PA14_09740,2,0,0,4,5,2,3,0,4,2,1,1,2
PA14_09750,8,6,10,14,9,8,9,14,13,10,8,5,9
PA14_09760,5,8,5,3,2,6,7,4,6,6,5,9,7
PA14_09770,7,5,8,12,11,11,8,16,9,8,8,5,3
PA14_09780,7,11,10,6,8,7,8,4,4,5,6,6,5
PA14_09790,6,9,13,6,12,8,12,10,12,7,7,7,6
PA14_09810,1,3,5,1,2,3,3,3,1,3,1,1,1
PA14_09820,41,53,78,76,82,45,32,30,37,46,29,30,29
PA14_09850,6,8,19,5,9,7,9,8,13,7,4,4,2
PA14_09870,4,5,3,1,3,4,4,6,5,9,1,3,4
PA14_09880,0,2,1,2,3,0,1,0,2,2,1,0,1
ppiC2,19,18,21,31,43,32,36,42,47,39,30,23,13
prpL,87,201,367,396,568,67,114,153,164,201,123,70,89
PA14_09910,15,15,23,31,18,13,13,26,10,14,21,23,23
PA14_09920,2,1,0,0,2,5,4,1,6,2,1,2,1
PA14_09930,14,19,15,18,12,29,28,12,12,14,6,4,2
PA14_09940,25,43,61,60,47,42,50,38,43,54,17,23,26
PA14_09950,10,1,8,4,6,6,6,4,5,3,3,3,4
PA14_09960,4,4,3,0,3,6,7,6,2,4,2,1,2
fpvB,17,18,20,22,30,16,38,25,28,23,27,17,30
dkgB,0,1,2,1,0,2,4,0,1,3,1,1,4
PA14_09990,0,1,2,0,1,2,0,1,0,1,1,6,5
PA14_10010,3,3,6,3,4,7,6,6,4,6,3,3,4
PA14_10020,4,1,4,3,2,2,3,2,3,3,3,3,3
PA14_10040,17,9,16,13,13,18,13,17,11,9,8,2,5
PA14_10050,0,0,2,1,0,1,1,0,0,0,0,1,1
PA14_10070,0,1,0,0,1,0,0,0,1,0,1,1,1
PA14_10080,3,2,2,4,5,0,0,2,2,0,0,0,4
PA14_10090,2,7,6,5,6,4,9,7,2,6,4,0,4
PA14_10110,1,2,2,1,2,2,1,2,4,5,3,2,2
PA14_10120,8,8,2,5,6,8,9,5,6,4,4,10,2
PA14_10130,4,1,7,4,1,4,5,3,3,2,2,3,2
fepG,4,4,3,7,1,5,3,3,3,0,1,2,2
fepD,0,0,0,0,0,0,2,1,1,1,0,4,3
fepB,0,1,1,0,1,2,3,0,9,2,4,9,15
fepC,0,2,2,2,0,0,6,3,5,1,8,9,5
PA14_10190,5,5,8,10,4,7,12,4,9,9,8,2,9
PA14_10200,6,9,7,10,7,23,24,13,39,17,62,64,56
PA14_10210,1,0,2,0,4,3,25,5,14,9,16,10,12
PA14_10220,16,16,14,8,7,22,17,6,21,14,3,2,2
adh,81,76,69,31,1,75,61,24,86,49,0,2,3
PA14_10240,57,81,80,37,2,49,75,6,50,23,0,3,0
acoB,57,80,83,44,3,34,52,13,58,35,2,3,0
PA14_10260,76,108,88,37,11,53,70,26,85,58,7,11,13
PA14_10270,38,28,21,20,2,21,30,5,25,15,0,0,0
PA14_10280,79,81,65,23,3,69,58,28,67,46,0,1,0
acoR,304,416,456,280,61,416,466,220,425,340,17,11,17
PA14_10300,3,3,2,2,2,3,6,7,3,5,2,1,3
PA14_10320,7,8,3,3,3,5,12,8,7,7,10,9,9
PA14_10330,2,5,0,0,5,4,7,4,5,5,6,5,5
PA14_10340,8,7,4,4,3,16,15,15,7,5,15,13,14
PA14_10350,13,13,4,9,12,16,23,18,12,17,16,27,21
PA14_10360,656,483,594,670,547,2199,1642,2157,1539,1179,6781,8135,8712
PA14_10370,38,38,18,12,24,13,11,13,8,11,9,5,10
PA14_10380,106,80,67,97,101,35,26,28,19,19,23,40,33
PA14_10400,1,0,0,0,0,1,2,0,1,0,0,0,0
PA14_10410,0,1,0,0,0,0,1,0,0,1,1,0,0
tyrS,2,1,3,4,3,2,4,3,3,3,1,2,2
PA14_10440,0,2,2,4,6,0,3,2,5,4,2,1,5
PA14_10470,3,2,1,6,5,3,6,2,3,6,1,2,1
PA14_10480,8,7,5,5,9,13,15,18,26,18,10,16,8
PA14_10490,6,3,2,5,7,17,24,17,14,18,16,5,8
PA14_10500,20,20,31,20,33,118,144,101,115,115,98,56,50
PA14_10530,11,16,29,15,23,22,32,24,39,30,47,29,38
PA14_10540,12,16,23,24,32,39,50,51,55,75,74,48,62
PA14_10550,44,53,69,79,78,101,107,108,101,97,88,72,89
PA14_10560,6,9,11,14,20,11,11,13,11,11,11,3,2
PA14_10570,8,5,18,10,11,1,5,5,7,6,8,1,9
hpcG,4,5,7,6,8,3,6,3,3,4,5,5,2
