,Pa_coculture_WT_Ca_1,Pa_coculture_WT_Ca_2,Pa_coculture_WT_Ca_3,Pa_coculture_WT_Ca_4,Pa_coculture_WT_Ca_5,Pa_coculture_adh1mut_Ca_1,Pa_coculture_adh1mut_Ca_2,Pa_coculture_adh1mut_Ca_3,Pa_coculture_adh1mut_Ca_4,Pa_coculture_adh1mut_Ca_5,Pa_monoculture_1,Pa_monoculture_2,Pa_monoculture_3
PA14_19230,2,7,9,4,10,5,8,6,13,7,4,5,4
PA14_19270,0,1,1,2,1,2,3,2,3,3,0,5,5
PA14_19290,21,28,28,22,36,25,17,27,28,39,17,18,29
PA14_19310,57,42,46,35,26,29,65,59,51,52,59,48,59
PA14_19320,3,5,6,3,7,7,7,4,4,7,3,5,5
PA14_19330,3,6,2,5,3,3,4,6,8,3,4,6,2
PA14_19340,18,20,42,23,29,23,23,28,25,42,28,28,35
PA14_19350,22,27,12,18,14,26,24,22,27,19,21,22,19
PA14_19360,33,28,8,21,17,23,20,22,20,18,24,9,17
PA14_19370,66,91,61,66,45,96,71,67,81,52,62,59,57
PA14_19380,15,16,22,27,23,24,31,28,32,19,18,13,24
PA14_19390,3,6,3,5,7,5,8,4,5,8,4,8,6
mnmC,9,4,5,7,2,2,8,4,5,3,1,7,4
PA14_19410,43,42,67,48,70,35,50,55,50,42,29,29,41
PA14_19430,20,8,19,13,12,5,4,7,6,7,8,4,3
PA14_19450,6,11,13,11,11,10,10,12,16,8,2,5,4
mqoA,60,59,48,58,58,108,87,70,95,72,51,47,33
PA14_19480,7,18,13,10,17,12,11,21,17,10,10,15,15
PA14_19490,138,50,162,73,48,440,333,288,239,336,415,293,217
PA14_19500,12,4,10,6,0,6,8,3,5,8,5,3,2
PA14_19510,0,1,1,1,1,0,1,0,1,1,2,1,0
PA14_19520,0,0,0,1,0,3,2,2,3,0,1,2,0
PA14_19530,17,3,16,6,4,43,27,27,16,32,10,8,4
PA14_19540,3,3,5,4,1,6,7,5,2,6,6,8,3
ssuD,1,0,0,1,1,1,1,0,3,2,2,1,0
PA14_19570,0,0,0,0,1,1,0,0,1,2,1,0,1
ssuB,2,1,1,1,0,4,2,1,4,2,2,1,0
PA14_19590,4,7,0,8,1,4,7,11,9,5,7,1,5
PA14_19600,9,11,6,21,15,11,11,6,10,7,7,8,4
PA14_19610,5,8,8,16,14,10,23,11,10,13,10,11,7
folX,16,17,18,18,22,13,19,15,17,17,26,11,18
folE1,15,10,7,13,19,8,17,11,8,20,21,8,13
PA14_19640,12,8,10,11,10,7,11,14,8,12,7,11,10
PA14_19650,8,7,5,9,13,0,1,0,1,0,4,0,3
PA14_19660,6,9,13,8,7,9,12,9,16,13,9,9,4
PA14_19670,4,3,6,1,3,5,5,9,5,6,3,3,6
PA14_19680,2,1,0,0,0,1,0,2,2,1,12,2,4
PA14_19690,0,1,4,0,1,1,3,2,4,2,12,1,4
PA14_19700,21,37,44,58,38,62,67,22,42,50,17,7,14
PA14_19710,16,12,15,17,7,21,35,9,26,23,8,7,5
PA14_19720,2,9,3,2,1,7,2,6,12,7,3,2,2
PA14_19730,14,20,24,12,30,10,8,5,9,4,8,2,4
PA14_19740,12,13,23,32,22,13,22,21,23,16,15,13,10
PA14_19750,1,3,5,4,5,1,0,3,3,1,4,0,1
PA14_19770,3,1,2,2,4,5,3,4,8,5,1,1,4
PA14_19800,3,4,1,4,2,6,5,8,6,3,9,13,11
PA14_19810,4,5,3,13,10,7,8,6,5,8,11,6,5
PA14_19830,2,5,8,7,2,6,2,8,2,3,4,2,4
PA14_19850,11,6,7,6,9,2,3,2,0,1,3,1,2
PA14_19860,12,15,21,22,27,13,8,13,6,13,11,4,3
ldh,50,59,80,77,85,47,41,56,81,76,133,121,167
PA14_19900,5,14,10,19,13,2,12,10,20,9,34,38,51
PA14_19910,6,7,19,20,18,10,22,14,16,13,58,46,61
PA14_19920,2,7,11,11,10,7,12,14,19,14,34,33,56
PA14_19930,1,1,5,3,2,2,12,8,8,2,14,8,14
PA14_19940,10,6,12,6,5,21,13,15,14,7,29,25,14
PA14_19950,9,6,12,13,18,11,16,15,15,16,15,29,26
PA14_19960,0,1,2,1,1,0,3,3,3,3,0,7,3
PA14_19970,1,0,0,0,0,1,4,5,1,1,4,2,2
PA14_19990,1,1,0,0,6,5,2,4,4,4,3,2,3
PA14_20000,3,2,1,0,5,4,3,5,5,5,2,0,3
hasR,6,11,8,8,5,9,13,15,5,7,13,6,12
hasAp,6,10,11,14,14,34,62,91,85,76,6,4,5
hasD,0,0,0,0,0,2,4,1,0,1,1,0,0
hasE,1,2,1,0,0,1,0,3,5,3,1,0,0
PA14_20050,4,8,4,6,9,7,10,4,10,6,8,6,4
PA14_20060,6,5,12,7,4,7,10,13,12,9,3,7,6
PA14_20070,5,3,4,7,6,4,5,2,6,6,4,8,9
PA14_20080,6,7,4,8,8,9,10,13,5,10,5,2,4
PA14_20100,4,2,3,3,4,5,6,2,1,5,6,2,5
PA14_20110,5,4,3,3,3,6,8,12,9,8,4,4,5
PA14_20120,2,10,20,15,16,9,9,31,11,17,13,9,9
PA14_20130,8,11,16,5,16,9,15,5,5,11,11,4,8
fpr,18,29,41,35,35,53,87,137,91,130,147,69,56
nosL,4,7,4,0,3,5,10,8,12,18,9,8,11
nosY,3,1,4,1,5,2,8,10,8,9,4,2,5
nosF,5,4,5,5,1,5,13,14,10,13,10,7,6
nosD,12,12,11,8,10,18,30,19,23,28,34,21,25
nosZ,58,46,50,33,42,85,113,93,119,125,128,72,70
nosR,118,71,73,53,34,137,171,121,117,168,225,235,246
PA14_20240,0,0,2,0,2,4,0,3,3,2,4,4,3
PA14_20250,1,0,0,0,1,0,0,0,2,2,5,2,1
PA14_20260,4,1,3,2,2,4,7,7,2,5,4,1,3
rhlG,5,1,3,4,6,5,2,2,4,2,2,2,5
PA14_20280,10,3,5,5,3,9,11,10,4,6,8,1,6
PA14_20290,180,168,128,103,112,200,231,228,196,210,240,263,267
phnC,9,7,32,19,16,7,8,16,11,12,7,5,3
phnD,20,28,78,143,153,15,24,21,37,28,4,1,2
phnE,15,14,16,25,29,3,9,12,9,13,1,3,3
phnF,3,3,1,3,4,0,3,7,1,4,0,1,1
phnG,1,1,2,4,3,1,1,6,0,2,2,1,0
phnH,5,3,6,4,4,3,4,2,8,4,0,1,1
phnI,8,7,7,8,8,2,9,8,7,4,1,0,0
