,Neg1,Neg2,Neg3,Neg4,5min1,5min2,5min3,15min1,15min2,15min3,25min1,25min2,25min3
PA4388,112,73,120,121,77,90,143,14,24,31,10,6,3
speA_1,736,480,778,688,645,601,557,199,121,152,61,33,32
PA4390,515,461,988,779,407,451,546,71,134,208,23,41,31
PA4391,75,49,79,76,100,220,281,36,53,73,42,23,14
PA4392,61,21,54,51,59,40,52,16,8,19,8,1,6
ampG,380,363,528,572,389,468,693,103,107,157,51,30,40
PA4394,812,756,1067,1864,993,741,1874,143,171,440,52,52,65
PA4395,633,644,1333,986,597,636,828,89,202,338,25,75,98
PA4396,54,43,64,66,30,43,88,3,12,23,8,2,5
panE,17,16,40,48,22,22,36,5,4,11,2,8,4
PA4398,105,107,172,155,91,163,270,25,43,75,29,14,16
PA4399,91,63,66,110,74,74,105,33,10,26,12,6,7
PA4400,554,356,521,499,422,428,691,127,111,161,30,19,20
PA4401,325,224,327,319,337,307,452,143,46,87,25,22,17
argJ,638,431,706,843,598,478,829,138,124,243,57,34,34
secA,4293,3227,5321,5493,3481,3549,5617,693,1143,2293,141,318,439
PA4404,605,512,682,844,903,666,935,332,128,276,84,42,50
PA4405,125,109,127,169,153,331,523,45,67,143,25,14,24
lpxC,5707,4047,6147,8109,3651,4231,8046,611,1760,3434,171,554,804
PA4406.1,97,42,99,113,62,69,142,13,28,26,4,10,10
ftsZ,2124,1116,1775,1860,2487,1741,2705,670,826,1158,265,290,350
ftsA,2295,1318,1992,2720,4319,2418,4479,2096,888,1306,423,264,334
ftsQ,909,592,798,1007,1607,1043,1831,841,287,521,101,67,118
ddlB,787,462,684,868,1398,1046,1668,626,348,493,116,105,119
murC,2289,1411,2195,2791,4040,2322,4314,1594,738,1148,422,259,298
murG,1585,1204,1505,2262,3248,2179,4238,1366,409,647,292,99,151
ftsW,1064,814,1316,1370,1763,1849,2718,540,466,610,116,139,152
murD,1226,1006,1482,1814,1757,1488,2781,593,386,645,141,120,147
mraY,989,923,1685,1742,1082,1431,2348,294,364,692,100,114,136
murF,2041,1504,2086,2979,2810,2195,3664,1078,465,792,228,84,127
murE,1731,1218,1764,2446,2338,1878,3023,857,479,707,213,133,149
ftsI,2889,2248,3403,3667,3461,3357,4937,1241,728,1307,262,197,189
ftsL,196,157,259,247,261,254,255,68,55,91,17,11,15
PA4420,1827,1129,1891,1711,1608,1645,2114,407,415,616,89,101,107
PA4421,3724,2214,3096,3356,3902,2769,2895,960,631,935,187,160,159
rnpB,492,955,3437,3720,14747,838115,989309,6655,272571,422121,1542,104825,116731
PA4422,199,123,205,273,223,221,401,104,83,118,36,27,26
PA4423,347,380,604,895,582,698,970,169,309,679,57,63,91
PA4424,258,193,272,354,394,286,464,110,72,134,18,19,17
PA4425,186,201,344,358,192,289,424,44,98,146,10,22,25
PA4426,216,251,387,524,217,389,456,35,101,217,17,29,39
sspB,372,344,479,567,588,403,694,124,107,280,37,28,38
sspA,157,154,211,287,180,165,378,24,60,128,16,19,13
PA4429,1670,1920,3040,4509,2117,2572,4081,324,953,1835,83,260,331
PA4430,1620,1983,2649,4695,1584,2233,3116,204,1045,2235,55,276,344
PA4431,1283,1082,1495,2267,1778,1839,2296,404,632,1245,82,148,197
rpsI,21785,15216,24623,27118,35460,27200,30817,13264,6821,12845,2025,1077,1827
rplM,9627,6894,11229,11045,5231,6068,8601,682,2170,3774,117,419,656
PA4434,124,83,156,152,107,206,221,25,39,84,17,9,13
PA4435,73,51,76,53,90,253,199,25,50,65,26,21,25
PA4436,63,65,103,107,39,77,117,13,27,53,15,10,8
PA4437,28,14,27,22,25,114,204,24,29,49,9,11,8
PA4438,1715,1335,2258,2326,1111,1298,2437,232,312,684,63,58,82
trpS,633,477,695,1007,375,463,707,83,109,193,29,38,33
PA4440,154,116,220,197,107,133,228,27,30,59,23,11,9
PA4441,427,575,1056,1291,367,459,1020,56,145,451,21,42,39
cysN,2321,400,457,689,647,587,708,328,581,456,102,95,170
cysD,1235,189,339,289,224,241,306,50,282,268,17,43,99
mltB1,92,73,108,118,152,218,299,45,53,92,27,21,19
PA4445,335,269,377,496,261,302,451,54,64,114,33,23,21
algW,662,585,907,1218,1088,1125,1470,626,239,535,147,71,85
hisC1,367,290,451,565,379,540,721,98,160,269,25,46,50
hisD,388,356,546,771,363,513,998,77,198,344,28,50,66
hisG,839,673,942,1280,1083,935,1321,261,300,737,52,75,92
murA,2510,1822,2863,3291,2364,2143,3417,602,779,1584,122,201,263
PA4451,1259,821,1434,1253,2701,1502,2550,1683,585,1102,508,168,238
PA4451.1,16,16,9,13,5,2,1,0,0,0,0,0,0
PA4452,1105,653,814,1408,2186,888,1055,1048,149,249,332,32,59
PA4453,1323,1033,1019,1538,697,687,1155,191,200,297,51,65,62
PA4454,872,662,977,1466,621,499,819,145,126,243,39,31,31
PA4455,1290,945,1273,1950,1081,614,1263,265,135,334,102,36,52
PA4456,3150,1899,2757,3971,1972,1008,2429,708,337,714,188,74,109
PA4457,766,646,1062,1235,846,1019,2024,202,466,802,54,115,183
PA4458,449,351,601,716,627,611,1010,243,248,450,58,54,64
PA4459,182,198,371,467,212,409,644,31,172,334,24,59,74
PA4460,454,449,844,939,488,586,994,69,254,543,20,75,92
PA4461,654,643,1092,1377,820,794,1433,185,266,702,53,59,100
rpoN,462,437,814,709,577,624,974,102,221,420,33,60,60
PA4463,1205,880,1566,1614,778,1064,2597,164,295,613,42,156,211
ptsN,267,272,402,484,210,384,548,41,113,217,11,52,60
PA4465,259,294,563,585,236,456,894,47,110,225,26,53,51
PA4466,130,150,249,249,220,221,578,53,44,106,16,10,20
PA4467,4,12,5,12,10,22,51,7,9,5,9,3,5
sodM,4,10,10,16,9,21,42,10,7,7,8,5,2
PA4469,1,0,6,6,1,7,7,2,1,1,2,0,2
fumC1,22,11,24,22,26,71,100,13,18,33,18,7,13
PA4471,1,1,5,3,6,10,12,0,1,1,7,2,1
pmbA,242,164,306,358,685,395,710,420,208,194,140,124,58
PA4473,160,149,219,288,197,219,387,27,98,103,30,35,31
PA4474,365,230,404,403,1096,511,724,581,359,248,331,243,73
PA4475,215,155,340,338,1137,338,426,703,419,146,292,168,78
PA4476,1142,717,907,1633,1954,1387,3135,653,296,890,177,101,94
cafA,499,287,449,502,507,445,935,102,133,322,55,46,64
PA4478,123,91,110,216,218,155,369,84,37,79,25,13,10
mreD,193,173,259,330,285,329,606,65,117,192,18,41,38
mreC,680,568,789,1162,757,665,1292,173,193,473,50,55,65
mreB,1191,1234,1725,2294,1523,1376,2471,336,461,1014,90,115,153
gatC,55,66,113,131,59,67,90,11,20,56,5,14,3
gatA,394,327,453,671,571,507,768,164,172,275,34,48,45
gatB,508,381,526,717,490,735,826,110,252,382,51,87,78
PA4485,16,17,15,35,18,39,67,1,13,22,5,4,3
PA4486,39,22,44,54,26,60,108,9,19,40,10,9,8
PA4487,267,204,237,389,934,430,587,361,87,199,77,18,18
PA4488,531,544,614,1221,1618,977,1623,540,213,404,143,49,65
PA4489,1232,1362,1498,2760,2337,1440,2778,494,256,643,162,91,93
PA4490,191,162,175,328,222,142,303,52,34,48,22,10,13
PA4491,786,623,804,1240,1276,834,1624,353,145,216,100,51,37
PA4492,622,503,680,789,552,551,891,125,89,180,27,21,23
roxR,444,285,403,785,526,304,1325,108,68,189,30,21,29
roxS,183,132,223,399,308,232,987,80,46,162,28,20,34
PA4495,411,184,311,508,327,247,575,66,74,215,27,24,48
PA4496,47,39,71,48,37,141,211,10,50,90,28,25,30
PA4497,19,12,25,9,16,165,311,1,33,102,45,20,23
PA4498,672,360,517,791,776,688,1439,232,142,294,107,50,56
PA4499,48,44,74,80,29,68,165,8,28,48,16,9,9
PA4500,2021,1728,2340,2659,1298,1612,3383,322,774,1760,76,149,334
opdP,610,345,487,450,463,265,1037,227,102,347,65,24,40
PA4502,241,190,218,230,137,213,459,64,134,322,56,37,44
PA4503,183,140,231,217,111,190,334,16,99,256,21,27,37
PA4504,54,53,63,113,39,59,157,24,60,173,10,8,21
PA4505,152,101,117,189,103,125,292,59,76,220,47,16,38
PA4506,203,94,161,210,143,200,379,85,102,261,37,22,54
PA4507,65,57,71,119,260,108,205,123,33,50,70,16,9
PA4508,28,11,22,21,23,26,46,3,13,10,4,3,1
PA4509,42,30,36,49,98,107,165,40,23,36,19,6,5
PA4510,29,27,39,51,57,53,88,26,13,20,18,4,6
PA4511,94,74,83,106,108,109,166,27,29,45,15,6,9
lpxO1,143,167,378,305,168,312,664,24,68,169,16,26,17
PA4513,125,113,160,276,257,254,395,176,81,224,91,26,20
PA4514,32,37,55,89,20,169,243,10,40,87,42,13,23
PA4515,33,37,52,72,21,38,61,2,9,10,16,4,2
PA4516,72,71,101,167,50,101,151,11,10,19,8,5,4
PA4517,24,33,26,71,15,133,881,1,31,73,38,20,8
PA4518,34,25,17,30,19,42,45,5,7,11,8,4,5
speC,792,553,1022,1023,424,454,491,76,136,270,37,38,48
PA4520,377,207,380,471,226,262,547,87,45,113,47,20,14
PA4521,103,79,137,145,173,159,195,54,27,59,27,10,16
ampD,65,46,96,75,54,73,129,12,17,54,11,10,8
PA4523,790,547,940,845,523,838,1469,170,197,350,73,119,121
nadC,270,229,356,437,280,370,897,70,106,190,28,24,29
PA4524.1,2753,1846,3116,5209,924,115,1405,167,9,51,79,6,3
pilA,26271,18116,41345,46548,18375,11642,122435,1677,1136,10649,265,234,713
pilB,405,307,499,534,143,264,872,21,63,118,31,43,41
pilC,401,412,759,607,91,361,793,15,102,181,12,66,70
pilD,232,226,390,394,153,219,938,32,37,92,30,24,19
coaE,287,208,273,363,199,288,688,56,53,112,8,14,11
PA4530,31,25,34,48,32,25,95,4,13,20,1,11,3
PA4531,44,29,35,46,71,42,107,11,9,16,6,4,3
PA4532,48,39,51,57,31,68,113,6,21,32,19,11,12
PA4533,54,33,62,65,35,33,77,10,18,26,11,5,11
PA4534,138,102,196,193,133,138,299,29,37,74,21,22,11
PA4535,60,68,107,80,56,126,178,9,23,36,14,13,14
PA4536,42,32,46,58,83,54,61,22,9,22,18,4,9
PA4537,36,41,95,77,33,83,78,6,14,31,2,4,2
ndh,258,196,374,381,249,339,489,48,93,148,31,35,24
PA4539,216,177,388,329,193,298,412,39,61,112,36,21,18
PA4540,3,1,13,4,1,27,31,5,7,15,27,11,6
PA4541,81,64,138,119,130,295,355,61,98,151,70,36,33
PA4541.1,4031,975,1584,2377,6373,3580,6926,4595,727,1241,1816,258,573
PA4541.2,10423,2447,2265,5124,5293,105,270,2453,19,54,129,2,7
PA4541.3,1742,973,1951,1668,10259,1041,1480,6188,169,352,1154,56,106
clpB,1390,1062,2850,1201,7173,1953,1470,5636,5473,1138,3627,2818,1271
PA4543,294,238,321,690,872,372,632,398,74,180,101,18,38
rluD,517,402,688,751,617,631,1185,194,274,508,56,45,102
comL,2292,1876,2485,3041,1891,1751,2452,403,285,734,72,44,99
pilS,268,260,419,492,249,308,544,64,50,107,35,17,23
pilR,148,153,243,280,183,219,353,37,48,91,27,9,16
PA4548,259,161,215,218,244,268,437,77,77,156,33,21,17
fimT,7,0,10,9,9,15,34,1,3,8,18,3,6
fimU,99,69,130,116,138,129,287,36,26,113,12,14,11
pilV,40,33,41,75,35,49,116,5,37,73,11,12,4
pilW,33,45,66,92,55,82,170,5,29,81,10,13,17
pilX,27,21,52,46,28,118,166,8,32,71,19,14,13
pilY1,382,278,538,636,311,637,1124,77,160,558,67,59,65
pilY2,24,27,47,64,20,83,156,2,19,56,6,11,6
pilE,61,53,98,106,49,110,221,5,22,101,19,12,9
lytB,875,553,791,989,1050,928,1405,392,232,453,71,59,73
PA4558,673,475,756,935,554,557,879,164,191,395,49,44,64
lspA,622,422,743,791,785,694,995,255,303,486,50,94,110
ileS,2886,1794,2741,3329,2835,2308,3410,1035,1164,1895,263,331,405
ribF,613,443,701,812,787,826,1363,228,241,503,72,55,99
PA4562,257,244,424,438,262,370,577,73,117,253,44,34,30
rpsT,6621,6498,13349,12806,3351,6029,11545,433,1087,2935,103,238,416
PA4564,153,107,183,130,360,347,315,179,116,241,57,18,39
proB,1324,832,1007,1524,2395,1882,2566,1302,545,829,453,159,162
obg,888,603,922,1023,1296,1286,1677,470,452,672,180,160,146
rpmA,6818,5572,10574,11324,5382,6853,10832,1318,1972,3845,244,352,599
rplU,4663,4145,6972,6109,2832,3303,5827,501,1067,1807,115,224,333
ispB,678,600,994,1160,657,682,1121,167,151,355,34,27,44
PA4570,24,17,35,27,11,25,44,5,8,19,3,2,2
PA4571,85,99,71,470,217,241,756,49,53,130,47,39,35
fklB,746,549,697,1005,600,488,942,140,161,409,36,66,58
PA4573,43,35,53,67,67,76,90,15,26,27,8,11,8
PA4574,208,332,774,601,261,456,519,41,163,277,21,40,49
PA4575,39,33,41,59,77,90,130,21,33,51,10,15,14
PA4576,837,562,866,1028,802,956,1251,195,265,538,107,121,96
PA4577,36,24,32,198,108,49,260,38,14,20,18,6,8
PA4578,611,526,1078,1295,1075,926,1381,78,245,677,27,101,75
PA4579,210,164,241,290,242,386,611,61,82,153,27,25,27
PA4580,81,78,115,119,108,156,241,21,24,49,8,11,5
rtcR,143,114,174,158,141,118,227,36,32,45,33,20,20
PA4581.1,29,20,22,34,26,4,7,15,1,5,3,2,8
PA4582,54,17,47,38,81,101,173,26,93,142,26,40,40
PA4583,84,46,68,70,112,99,161,38,94,131,44,39,34
PA4584,64,38,60,48,65,101,136,14,37,61,28,15,19
rtcA,38,36,33,58,93,87,100,31,45,104,17,18,18
PA4586,2,2,7,8,13,22,37,1,14,34,3,4,7
ccpR,26,31,30,120,202,269,870,37,95,277,22,66,92
gdhA,208,151,280,319,154,181,266,53,93,124,54,45,61
PA4589,44,41,55,39,50,65,87,16,23,32,27,9,11
pra,19,4,11,10,6,19,29,2,6,12,11,5,4
PA4591,45,39,46,55,76,50,106,18,19,23,17,13,3
PA4592,69,26,73,96,61,59,94,17,14,32,25,7,7
PA4593,45,24,54,71,77,76,123,31,9,29,27,5,4
PA4594,56,38,63,63,48,70,110,16,15,22,17,2,3
PA4595,1653,1187,1846,2362,1350,1711,2164,306,415,628,106,162,134
PA4596,8,8,16,16,14,56,63,4,28,33,12,18,34
oprJ,17,15,27,28,26,142,208,9,46,71,48,46,44
mexD,56,37,90,76,76,379,342,20,99,192,165,144,166
mexC,19,12,27,30,116,302,269,100,189,145,279,138,100
nfxB,69,73,105,96,61,105,163,18,33,51,12,18,18
morA,520,455,660,930,510,654,1499,159,126,218,105,52,40
glyA3,1806,1644,3031,3145,1763,1701,2066,581,555,1011,132,153,132
PA4603,90,52,89,96,90,63,180,53,28,79,21,8,3
PA4604,218,125,177,158,99,108,302,41,47,80,25,9,11
PA4605,311,234,288,264,138,133,220,30,33,76,10,18,10
PA4606,1550,1292,1813,1820,1307,1430,2601,631,514,1001,231,221,196
PA4607,91,79,81,86,97,425,350,32,135,216,10,74,81
PA4608,51,40,66,75,53,152,177,14,34,70,7,23,16
radA,311,226,291,321,477,329,467,184,87,151,83,36,27
PA4610,3,2,7,33,16,10,70,5,10,12,5,6,6
PA4611,422,281,521,577,922,596,2155,442,100,301,67,41,59
PA4612,27,17,43,35,37,42,57,11,8,15,8,3,4
katB,27,22,42,41,36,79,111,5,29,35,41,11,12
mscL,1598,1325,1885,2466,980,1021,2089,194,279,524,57,99,111
PA4615,96,74,122,105,57,136,141,10,39,50,20,15,12
PA4616,86,92,102,228,61,58,163,14,9,9,13,5,2
PA4617,91,80,109,139,151,157,182,42,35,61,39,16,17
PA4618,372,213,331,418,438,421,561,189,112,160,58,27,23
PA4619,199,160,312,281,301,371,600,97,138,173,52,47,36
PA4620,63,45,89,73,80,105,138,23,51,48,21,25,12
PA4621,413,301,477,526,743,947,955,350,300,333,147,125,59
PA4622,32,27,46,65,22,36,67,8,6,10,21,2,1
PA4623,5,3,7,2,9,9,23,1,0,4,13,2,1
PA4624,43,26,70,62,62,151,107,28,71,72,53,32,21
PA4625,229,156,266,297,453,554,541,157,376,377,211,143,212
hprA,41,34,61,68,44,61,83,21,16,34,18,11,8
PA4627,128,117,153,254,265,198,318,61,52,135,24,16,19
lysP,214,211,293,418,244,364,553,46,145,289,38,35,37
PA4629,44,66,73,96,35,38,46,3,8,17,17,4,1
PA4630,23,17,32,27,23,109,121,3,27,29,10,6,3
PA4631,375,320,446,538,378,332,482,87,68,146,33,20,20
PA4632,558,488,728,967,573,510,575,147,114,219,56,43,44
PA4633,238,176,293,461,187,366,856,46,75,204,33,57,57
PA4634,34,26,51,41,41,111,196,8,19,50,7,10,12
PA4635,23,24,30,47,33,72,81,11,13,17,14,11,7
PA4636,224,208,377,352,285,330,388,90,129,220,43,41,50
PA4637,813,572,899,1139,1450,328,361,1548,86,91,668,38,24
PA4638,36,39,41,64,37,135,157,6,53,66,2,35,36
PA4639,634,599,986,1229,557,601,842,85,164,338,16,38,54
mqoB,864,574,939,1090,1005,886,1316,193,302,498,62,86,84
PA4641,25,21,50,31,40,65,105,15,8,26,13,4,3
PA4642,138,90,160,196,187,164,170,28,23,59,10,5,16
PA4643,88,97,126,166,71,72,115,11,11,31,9,6,3
PA4644,444,334,455,650,388,381,492,110,76,132,27,13,16
PA4645,480,461,807,813,338,443,601,82,81,190,31,27,37
upp,174,148,241,299,114,172,223,22,54,117,17,20,12
uraA,847,710,987,1410,865,1121,1538,388,221,429,125,58,82
PA4648,4,8,14,18,3,16,14,0,2,6,16,6,1
PA4649,0,1,4,5,5,65,75,1,14,29,13,5,5
PA4650,1,1,4,1,1,14,17,0,0,6,17,4,4
PA4651,15,13,18,23,19,32,52,7,7,13,9,0,4
PA4652,16,10,26,22,14,68,91,4,21,24,47,12,13
PA4653,2,0,6,4,2,62,57,2,9,17,36,7,5
PA4654,8,10,8,14,20,19,32,0,7,18,14,2,3
hemH,142,104,161,189,118,133,207,24,40,77,21,26,19
PA4656,130,80,153,133,150,168,237,63,39,59,95,24,35
PA4657,87,72,112,111,83,148,184,41,39,66,21,30,14
PA4658,18,18,23,36,20,29,35,4,6,11,13,8,2
PA4659,19,26,40,45,19,60,84,3,11,19,14,9,8
phr,24,33,60,68,33,281,350,10,68,83,22,30,20
pagL,1978,1252,1718,1686,1264,1772,2731,257,482,834,40,136,132
murI,357,292,472,536,519,446,950,189,134,224,51,36,36
moeB,413,292,358,559,704,529,865,255,131,202,54,33,41
hemK,434,316,441,671,509,453,846,175,118,248,54,35,36
prfA,606,444,711,846,841,805,1191,386,223,359,98,58,77
hemA,674,460,805,954,843,647,1226,175,181,353,68,55,58
PA4667,613,533,939,1064,545,713,1207,148,142,345,39,54,64
PA4668,119,112,180,209,115,146,265,22,25,61,9,9,10
ipk,27399,19987,41514,32449,22140,13427,11631,7573,4146,7799,987,581,1013
PA4669.1,5852,2585,4544,3746,3846,522,523,1529,136,130,170,44,49
prs,3324,2928,4322,6312,2488,2536,4097,336,768,1824,64,184,231
PA4671,9513,7967,10807,11269,5765,6628,8302,1193,1677,2850,207,430,443
PA4672,420,447,612,847,649,589,817,167,136,317,17,26,39
PA4673,786,771,1240,1672,1498,1437,2566,454,386,774,87,89,87
PA4673.1,371,254,510,349,269,95,85,206,11,13,112,3,5
PA4674,183,105,298,167,135,157,128,52,37,51,20,20,15
PA4675,255,147,259,300,189,366,228,55,99,166,62,39,33
PA4676,207,127,288,272,119,322,279,29,72,154,21,25,23
PA4677,121,95,147,178,161,155,225,50,32,72,28,13,18
rimI,62,41,106,95,61,63,104,7,16,50,4,8,8
PA4679,76,90,107,196,223,138,212,62,35,60,24,13,10
PA4680,6,4,6,7,9,30,76,7,3,9,10,4,5
PA4681,15,14,20,28,10,32,105,3,7,12,20,3,2
PA4682,4,5,13,18,3,33,79,1,6,9,26,3,3
PA4683,54,41,65,76,7,18,167,7,4,8,14,2,3
PA4684,176,136,242,249,230,243,387,53,69,116,33,16,29
PA4685,4,4,5,8,0,1,1,0,0,0,0,0,0
PA4686,625,494,753,893,840,971,1301,216,280,523,93,86,89
hitA,333,284,541,770,180,360,414,34,68,93,28,37,24
hitB,102,116,117,304,107,185,215,9,29,49,32,19,15
PA4689,476,450,537,788,509,628,930,90,175,343,38,60,44
PA4691,19,21,44,36,12,42,63,5,12,19,8,8,10
PA4692,64,62,112,102,56,61,114,11,21,41,17,13,14
pssA,1030,1018,1789,1927,729,982,1393,94,181,352,19,39,45
ilvC,1356,1022,1705,2145,637,979,1500,92,263,393,47,104,96
ilvH,189,174,261,263,130,210,371,32,54,63,25,18,37
ilvI,1170,747,1242,1263,1112,1292,1725,333,312,410,106,125,124
PA4697,43,47,67,59,30,65,92,0,14,36,6,6,13
PA4698,680,432,671,848,878,632,1233,377,192,317,101,47,74
PA4699,555,453,567,1023,758,409,1030,227,106,233,102,28,64
mrcB,1677,1294,1860,2572,1956,1783,3889,620,658,1284,204,185,252
PA4701,377,261,392,564,234,350,424,50,116,199,31,35,23
PA4702,26,20,39,53,28,66,99,10,18,34,12,16,5
PA4703,6,8,19,19,2,13,19,0,1,8,7,3,4
cbpA,24,30,35,36,17,49,82,6,13,22,6,6,5
prrF1,76,87,177,109,95,740,783,29,42,154,13,12,26
prrF2,49,35,91,88,102,818,504,132,96,557,59,41,138
PA4705,86,79,112,104,125,105,143,48,29,23,22,5,3
PA4706,48,53,67,67,88,81,128,30,18,26,15,7,5
PA4707,79,49,90,115,101,108,161,41,14,26,30,5,8
phuT,34,19,46,45,54,42,77,13,19,19,20,8,8
PA4709,13,6,20,17,12,15,30,4,8,8,22,3,3
phuR,13,8,21,16,12,57,75,3,28,39,56,18,18
PA4711,25,22,26,45,30,20,72,6,10,25,15,4,3
PA4712,15,18,30,37,31,72,114,6,36,44,4,14,14
PA4713,59,24,42,47,122,83,204,43,50,107,23,23,33
PA4714,328,203,257,310,406,212,477,168,55,93,53,13,13
PA4715,297,228,414,448,458,395,451,122,118,184,49,45,36
PA4716,114,59,94,138,229,122,178,49,38,59,29,12,7
PA4717,163,110,175,284,243,330,548,69,109,181,37,40,49
PA4718,49,49,98,136,110,113,217,20,31,38,5,8,11
PA4719,273,312,486,789,344,451,645,76,148,386,51,33,53
trmA,363,353,516,759,468,480,695,157,164,370,45,46,62
PA4721,205,133,188,241,236,177,235,80,52,80,31,12,7
PA4722,229,172,251,297,213,266,390,80,49,103,25,31,24
dksA,5610,3304,6023,5055,3698,2393,3494,1037,555,980,226,116,182
PA4724,295,269,283,547,371,241,605,101,46,83,36,16,18
PA4724.1,18,28,102,39,24,40,51,4,3,11,3,1,3
cbrA,426,339,581,642,395,566,855,97,94,215,60,39,44
cbrB,717,598,756,1019,615,673,944,129,147,256,67,57,60
PA4726.1,2,1,2,4,1,0,1,0,0,1,0,0,0
crcZ,333816,187658,328352,254882,191315,219312,537746,61489,18354,81126,7550,3960,5466
PA4726.2,389,837,2465,2106,2679,80558,196585,667,5632,24049,161,1385,1730
pcnB,369,317,483,650,427,507,803,78,170,339,46,49,53
folK,80,92,119,226,174,103,211,45,33,54,17,9,12
panB,340,330,549,530,267,345,390,75,119,156,21,38,28
panC,226,195,252,402,225,236,274,57,57,90,27,23,25
panD,136,114,270,242,165,189,164,15,34,73,11,10,13
pgi,601,445,717,874,515,530,818,130,186,361,61,58,67
acsB,76,66,86,97,76,109,147,31,53,69,44,28,15
PA4734,224,164,264,221,187,246,307,60,43,78,29,12,26
PA4735,710,591,1029,1270,897,1022,2390,200,470,1036,115,170,182
PA4736,83,48,78,121,121,90,193,32,25,104,12,22,20
PA4737,257,155,252,310,610,313,551,245,85,167,67,28,34
PA4738,206,116,182,223,193,303,381,83,87,152,30,32,42
PA4739,148,83,90,176,84,89,114,5,37,70,9,11,18
pnp,3521,2526,2967,6101,3531,3279,4868,1003,1632,3424,175,457,552
rpsO,34952,23314,48510,44758,22328,17756,22791,4237,4991,9776,812,1352,1533
truB,908,820,1094,1866,1684,1215,1954,666,420,867,120,104,129
rbfA,260,163,256,399,303,226,414,145,142,232,43,33,41
infB,6936,4821,6836,9397,9129,5853,10263,4422,3021,5302,965,799,1023
nusA,3324,2130,2750,4056,3437,2304,3376,1308,1397,2540,228,366,572
PA4746,1222,934,1403,1706,1059,687,1066,339,330,553,49,113,237
PA4746.1,2690,1248,2045,2500,2144,341,489,868,36,42,338,5,15
PA4746.2,5131,2225,3834,3604,4227,1960,2813,2516,264,460,680,72,130
secG,18831,12734,21248,21998,18788,17823,25674,6937,2973,7854,1339,513,1177
tpiA,7877,6120,9519,10284,14733,14703,23091,5087,4122,8857,749,681,1596
glmM,731,519,948,919,961,775,1384,358,730,530,117,203,168
folP,453,327,554,455,882,509,900,384,364,307,74,127,81
ftsH,2488,2319,4668,3679,5004,3182,3892,2479,2760,1929,910,1281,645
ftsJ,323,319,812,440,1018,421,391,360,657,265,104,244,144
PA4753,957,710,1226,1514,634,805,1594,113,193,456,26,47,81
PA4754,417,238,352,424,664,498,464,214,104,143,36,36,32
greA,1112,750,1128,1287,769,803,1019,170,274,372,55,82,93
carB,1961,1439,2088,2944,2440,2944,3061,552,967,1301,169,369,320
PA4757,179,152,245,365,240,285,401,61,94,148,25,22,30
carA,887,597,873,1363,724,802,921,159,342,507,64,117,165
PA4758.1,38,31,85,56,99,11,16,86,10,2,36,3,3
dapB,348,320,560,541,1438,481,257,1092,744,254,462,295,178
dnaJ,496,359,719,539,2077,853,583,2045,1702,393,1062,896,450
dnaK,2291,1973,4287,2606,9635,3934,1907,6392,12539,2833,2087,4020,2487
grpE,273,264,765,315,1494,614,252,904,1755,437,352,576,336
recN,266,200,288,361,343,543,635,126,155,212,89,61,68
fur,2696,2144,3799,4158,1121,1414,3339,180,322,603,49,64,89
omlA,1559,1531,2829,2810,994,1397,2650,139,367,816,29,80,142
PA4766,274,154,262,308,404,366,461,164,60,113,41,12,16
PA4767,358,215,385,385,372,324,367,101,111,152,37,34,41
smpB,792,472,899,1011,1274,1217,1442,306,291,485,58,71,73
PA4769,245,122,213,155,342,376,624,124,114,179,64,37,54
lldP,344,988,829,547,103,297,600,26,92,123,28,30,24
lldD,195,293,295,251,123,123,388,51,47,75,26,13,11
PA4772,303,465,414,283,162,187,527,58,81,124,52,30,13
PA4773,260,165,249,373,122,57,103,15,12,23,15,7,9
PA4774,176,120,161,314,82,85,120,16,19,29,25,14,6
PA4775,71,50,82,160,61,70,108,11,14,32,16,11,4
pmrA,45,23,34,58,28,35,42,3,5,14,14,4,3
pmrB,62,39,65,73,48,60,83,8,16,21,26,5,10
cueR,98,91,166,178,190,125,259,35,68,173,10,21,25
PA4779,36,32,54,82,64,88,126,27,26,38,27,10,7
PA4780,267,134,236,271,236,271,428,120,66,116,37,20,25
PA4781,158,108,161,204,100,102,106,34,33,32,23,18,12
PA4782,353,227,364,332,123,79,155,44,17,31,6,4,6
PA4783,77,60,73,124,184,183,246,123,63,99,69,21,24
PA4784,14,15,14,23,4,36,82,3,18,21,11,6,5
PA4785,31,20,32,38,41,69,87,8,37,50,16,9,15
PA4786,22,18,26,36,57,119,136,20,44,60,16,22,19
PA4787,205,159,214,244,232,197,376,70,54,99,46,29,28
PA4788,1,3,9,2,1,33,16,2,5,11,11,3,1
PA4789,23,21,29,30,25,26,34,2,12,20,5,5,2
PA4790,60,32,55,65,69,72,82,17,16,31,8,2,3
PA4791,27,23,43,61,50,46,78,13,14,22,8,6,2
PA4792,71,51,50,91,75,71,135,26,19,42,33,6,7
PA4793,52,55,71,82,68,109,186,22,35,58,13,9,11
PA4794,37,41,60,60,30,41,65,6,4,15,5,6,3
PA4795,3,3,4,14,5,8,16,0,5,0,3,0,0
PA4796,21,6,21,39,34,38,84,17,13,26,9,4,4
PA4797,86,49,79,79,113,149,224,34,20,54,22,5,11
PA4798,22,12,12,26,21,97,147,9,24,43,11,13,11
PA4799,16,7,15,15,29,19,58,13,6,12,2,3,1
