,WT_count,ClpV3-KO_count
PA0928,170.5,122.5
PA0929,14,8.5
PA0930,8,11.5
PA0931,8,4
PA0932,39,23
PA0933,21,32.5
PA0934,335.5,415
PA0935,45,42
PA0936,46.5,121
PA0937,29,12
PA0938,159,97
PA0939,2,0
PA0940,8.5,7
PA0941,2,15.5
PA0942,18.5,6
PA0943,83.5,96.5
PA0944,39,45.5
PA0945,38.5,36.5
PA0946,22,20.5
PA0947,15.5,7
PA0948,3,7.5
PA0949,19,20
PA0950,6.5,9
PA0951,55,63.5
PA0952,24,17.5
PA0953,28,31
PA0954,15.5,11.5
PA0955,23.5,20.5
PA0956,117.5,179.5
PA0957,2.5,0
PA0958,4980.5,6508
PA0959,908,757.5
PA0960,29,27
PA0961,0,0
PA0962,4912,8799.5
PA0963,226,335.5
PA0964,89.5,161.5
PA0965,71.5,105
PA0966,37.5,39
PA0967,29,37.5
PA0968,37.5,55.5
PA0969,103,136.5
PA0970,124.5,206
PA0971,305,217.5
PA0972,213.5,184
PA0973,1309.5,2254
PA0974,107,186.5
PA0975,5,4.5
PA0976,6,1.5
PA0977,0,0
PA0978,14.24,13.895
PA0979,0,6
PA0980,11.5,8.5
PA0981,1715,1201.5
PA0982,31.5,26.5
PA0983,110.5,83
PA0984,9,10.5
PA0985,1138,585
PA0986,0,0.5
PA0987,2,0
PA0988,16.5,2
PA0989,7,5
PA0990,30,24.5
PA0991,26,15.5
PA0992,6.5,10.5
PA0993,4,0.5
PA0994,27.5,19
PA0995,18.5,27.5
PA0996,132,252
PA0997,690,919
PA0998,78,131
PA0999,144.5,181.5
PA1000,352.5,572.5
PA1001,229.5,485.5
PA1002,43,60
PA1003,203,198.5
PA1004,101,140
PA1005,51,77.5
PA1006,1.5,4.5
PA1007,2.5,4.5
PA1008,8,34.5
PA1009,56,54.5
PA1010,216,197.5
PA1011,57.5,98.5
PA1012,14,31
PA1013,107.5,182.5
PA1014,157.5,241.5
PA1015,1.5,13
PA1016,3.5,5.5
PA1017,10.5,7
PA1018,3,0.5
PA1019,0,1.5
PA1020,3,8.5
PA1021,6.5,8
PA1022,41.5,35
PA1023,26.5,35
PA1024,8.5,14
PA1025,4.5,6
PA1026,2,3
PA1027,42,22.5
PA1028,25.5,15.5
PA1029,0,5
PA1030,117,127.5
PA1031,213,139
PA1032,83,88
PA1033,62.5,25
PA1034,26,26.5
PA1035,83.5,57
PA1036,148.5,89
PA1037,0,0
PA1038,2.5,1
PA1039,5,8.5
PA1040,61.5,38
PA1041,10864,6278.5
PA1042,14,9
PA1043,71.5,71
PA1044,4,1
PA1045,10,38.5
PA1046,145,144.5
PA1047,21,32
PA1048,429.5,246
PA1049,79,121
PA1050,54,120
PA1051,3,14
PA1052,5,6.5
PA1053,244,244.5
PA1054,56.5,79
PA1055,2.5,2
PA1056,23,20.5
PA1057,14.5,19.5
PA1058,0,0
PA1059,12,27
PA1060,24,14
PA1061,89.5,122.5
PA1062,12,27.5
PA1063,3,5
PA1064,10.5,9
PA1065,37,37
PA1066,26,16.5
PA1067,4,4.5
PA1068,19,17
PA1069,140,200.5
PA1070,103.5,133
