,WT_count,ClpV3-KO_count
PA2552,486.5,439
PA2553,412,466.5
PA2554,100.5,203.5
PA2555,113.5,301.5
PA2556,33,49
PA2557,15.5,25
PA2558,2,0.5
PA2559,489.5,583
PA2559.1,1,0.5
PA2560,2,5
PA2561,27.5,37.5
PA2562,249,244.5
PA2563,0,0
,,
PA2565,38.5,20
PA2566,2173,666.5
PA2566.1,0,0
PA2567,376,621.5
PA2568,12,10.5
PA2569,7.5,5
PA2570,699.5,160
PA2571,432.5,194
PA2572,461,405.5
PA2573,1879.5,1291
PA2574,62,22
PA2575,422.5,450.5
PA2576,0,2.5
PA2577,22,21
PA2578,16.5,18.5
PA2579,35.5,49.5
PA2580,39.5,11
PA2581,67.5,81.5
PA2582,313.5,349.5
PA2583,74,65
PA2584,9.5,18
PA2585,63.5,122
PA2586,576.5,675
PA2587,173.5,145
PA2588,106,60
PA2589,4.5,2
PA2590,9.5,10.5
PA2591,553,345
PA2592,139,132.5
PA2593,2.5,4.5
PA2594,3,0.5
PA2595,0,0
PA2596,0,1
PA2597,0,0
PA2598,1,9
PA2599,1,4.5
PA2600,9,5.5
PA2601,35,35
PA2602,1.5,1
PA2603,2.5,1
PA2604,605.5,661.5
PA2605,24,21.5
PA2606,14,4.5
PA2607,6.5,3
PA2608,20.5,20
PA2609,115,97
PA2610,36,22
PA2611,51,79
PA2612,88.5,121
PA2613,20.5,54.5
PA2614,49,38
PA2615,139.5,200
PA2616,333.5,348.5
PA2617,10,15.5
PA2618,160,219
PA2619,19,28
PA2620,10093.5,7740.5
PA2621,555.5,327
PA2622,3784.5,1621.5
PA2623,6578,8644
PA2624,378,513
PA2625,4,9.5
PA2626,76,101
PA2627,1.5,6.5
PA2628,7,4
PA2629,67,103.5
PA2630,61.5,133.5
PA2631,235.5,304
PA2632,90.5,70
PA2633,207.5,216
PA2634,1286,1775
PA2635,9.5,5
PA2636,0,0
PA2637,31,19
PA2638,329.5,267
PA2639,1405.5,1440
PA2640,62.5,118
PA2641,222.5,259.5
PA2642,1392.5,1336.5
PA2643,255,279
PA2644,173,190.5
PA2645,154.5,189.5
PA2646,107,159
PA2647,454.5,731
PA2648,289,371.5
PA2649,172.5,292.5
PA2650,4,10
PA2651,14,12.5
PA2652,162,202
PA2653,0,8.5
PA2654,348,495.5
PA2655,4.5,0.5
PA2656,50.5,30.5
PA2657,82,47.5
PA2658,68,43.5
PA2659,239.5,190
PA2660,5,9
PA2661,0.5,6
PA2662,6,17
PA2663,5.5,10
PA2664,4.5,7.5
PA2665,56.5,72.5
PA2666,9.5,14.5
PA2667,65,87
PA2668,0,2
PA2669,3,1.5
PA2670,13.5,8.5
PA2671,6.5,13
PA2672,0,2.5
PA2673,6,1
PA2674,0.5,0
PA2675,0,3.5
PA2676,13,6
PA2677,10,10
PA2678,3.5,0.5
PA2679,32,43.5
PA2680,2,2.5
PA2681,6,2
PA2682,14,89
PA2683,9,2.5
PA2683.1,11,45
PA2684,41.5,120
PA2685,34,81
PA2686,0,1
PA2687,1.5,5
PA2688,1,1
PA2689,0,0.5
PA2690,16.08,16.5
PA2691,5.5,8
PA2692,4,13
PA2693,2,4.5
PA2694,6,4
PA2695,13,12
PA2696,11,12
PA2697,0,0
PA2698,11,26
PA2699,203.5,100.5
PA2700,16.5,8.5
PA2701,7,11
PA2702,14.5,21
PA2703,2.5,3
PA2704,0.5,5
PA2705,47.5,77.5
PA2706,16.5,2.5
PA2707,268.5,229.5
PA2708,37.5,17.5
PA2709,154,322.5
PA2710,4,13.5
PA2711,14.5,5.5
PA2712,3.5,2.5
PA2713,43,32
PA2714,5,0
PA2715,0.5,2
PA2716,15,8
PA2717,95.5,53.5
PA2718,22.5,25
PA2719,6,1.5
PA2720,20.5,19
PA2721,180.5,160
PA2722,21,8
PA2723,5.5,5.5
PA2724,1,0.5
PA2725,44.5,52.5
PA2726,5,8.5
PA2727,36.5,66.5
PA2728,34.5,41
PA2729,68,73
PA2730,420,531
PA2731,153,202
PA2732,1465,1656.5
PA2733,97.5,120
PA2734,225,325
PA2735,438.5,561
PA2736,55,47
PA2737,43.5,44.5
PA2738,3649.5,4327
PA2739,124.5,211
PA2740,73.5,107
PA2741,2570,2929.5
PA2742,38.5,48
PA2743,2604,2734
PA2744,328,497
PA2745,223,143.5
PA2746,253.5,96.5
PA2747,669,254.5
PA2748,7.5,6
PA2749,1.5,1
PA2750,0,0
PA2751,51,12
PA2752,0,0
PA2753,35.5,75.5
PA2754,107,123.5
PA2755,54.5,72
PA2756,177,184.5
PA2757,2,0
PA2758,3.5,3.5
PA2759,5,2.5
PA2760,420.5,619
PA2761,2,3.5
PA2762,15,2.5
PA2763,0,0
PA2764,7,6.5
PA2765,34.5,52
PA2766,1,0.5
PA2767,0,0.5
PA2768,4,0
PA2769,3,3.5
PA2770,44,41
PA2771,198,100.5
PA2772,3,1
PA2773,2.5,0
PA2774,0,2.5
PA2775,1.5,2
PA2776,28.5,29.5
PA2777,58,30.5
PA2778,107,88.5
PA2779,145.5,119
PA2780,16.5,21.5
PA2781,68,45.5
PA2782,4,1
PA2783,2.5,0
PA2784,0,0.5
PA2785,0,0
PA2786,0,0
PA2787,27.5,10
PA2788,1159.5,1674.5
PA2789,6,4
PA2790,24,36.5
PA2791,0.5,0
PA2792,0.5,8
PA2793,9.5,17
PA2794,464,429
PA2795,15.5,15.5
PA2796,293.5,191
PA2797,123,146.5
PA2798,362,314.5
PA2799,6,16.5
PA2800,218.5,140.5
PA2801,9,5
PA2802,20,25.5
PA2803,0,0
PA2804,0,0.5
PA2805,40,42
PA2806,9.5,6
PA2807,4.5,1.5
PA2808,0,0
PA2809,13.5,16
PA2810,11.5,13
PA2811,10.5,16.5
PA2812,22,18
PA2813,46,80.5
PA2814,76.5,53
PA2815,1903.5,1074.5
PA2816,7,5.5
PA2817,49.5,33.5
PA2818,14.5,12.5
PA2819,0,0
PA2820,118,97.5
PA2821,35.5,47
PA2822,2.5,1.5
PA2823,25.5,29.5
PA2824,110,93.5
PA2825,32,45
PA2826,30,42
PA2827,142.5,171
PA2828,26,24.5
PA2829,0,0
PA2830,164,210.5
PA2831,18,27.5
PA2832,7,5
PA2833,2,9.5
PA2834,13.5,7.5
PA2835,1.5,0.5
PA2836,0,0
PA2837,0,0.5
PA2838,2,2.5
PA2839,4.5,5
PA2840,11.5,20.5
PA2841,31.5,17.5
PA2842,35.5,39
PA2843,19.5,26.5
PA2844,6,19
PA2845,2,7.5
PA2846,9,9.5
PA2847,4.5,13
PA2848,0,2.5
PA2849,59,60
PA2850,4,4
PA2851,137,215
PA2852,13,20
PA2853,13744,11886
PA2854,144,152.5
PA2855,0,0
PA2856,6,10.5
PA2857,3,6.5
PA2858,6.5,21.5
PA2859,5.5,17
PA2860,6.5,6.5
PA2861,0,0.5
PA2862,5.5,3
PA2863,3.5,3.5
PA2864,50,70
PA2865,7,16.5
PA2866,3.5,4.5
PA2867,458.5,504.5
PA2868,17,1
PA2869,20.5,15.5
PA2871,10.5,27
PA2872,39.5,45
PA2873,30.5,29.5
PA2874,24.5,23
PA2875,66,52
PA2876,9,9
PA2877,3.5,8.5
PA2878,8,3.5
PA2879,4.5,5.5
PA2880,2,1.5
PA2881,4,2
PA2882,0,2
PA2883,102,94.5
PA2884,12,15.5
PA2885,31.5,15.5
PA2886,8,12
PA2887,4,3
PA2888,10,9
PA2889,45,33.5
PA2890,2,5.5
PA2891,25,18
PA2892,13,19
PA2893,13.5,9.5
PA2894,6,0.5
PA2895,13,5
PA2896,41,8.5
PA2897,325.5,287.5
PA2898,0,0
PA2899,34,31
PA2900,31.5,37.5
PA2901,58,43
PA2902,14.5,21
PA2903,0.5,2
PA2904,11.5,11.5
PA2905,0,5
PA2906,4.5,4.5
PA2907,8,5.5
PA2908,6,7
PA2909,5,1
PA2910,0,0.5
PA2911,2.5,5.5
PA2912,1.5,1.5
PA2913,8,7.5
PA2914,0.5,0
PA2915,55,38.5
PA2916,0,1.5
PA2917,55,18.5
PA2918,10.5,4
PA2919,0,0
PA2920,574,400.5
PA2921,3,1
PA2922,0,1.5
PA2923,0,0
PA2924,0,0
PA2925,0,3.5
PA2926,1,0
PA2927,70,23.5
PA2928,0.5,4.5
PA2929,4,4
PA2930,23,28.5
PA2931,7.5,7
PA2932,1,0
PA2933,0,0.5
PA2934,0,0
PA2935,0,0
PA2936,0,0
PA2937,127.5,56.5
PA2938,2.5,8.5
PA2939,6050,1390
PA2940,8,17
PA2941,0,4.5
PA2942,12.5,7
PA2943,25.5,2401
PA2944,11,23.5
PA2945,17,4.5
PA2946,72,71.5
PA2947,0,0
PA2948,0.5,5
PA2949,30,16.5
PA2950,142.5,88.5
PA2951,690,424.5
PA2952,824.5,585
PA2953,1140,313
PA2954,37.5,33.5
PA2955,70,71
PA2956,10,9.5
PA2957,50,42
PA2958,137,146.5
PA2959,57.5,20.5
PA2960,60,35
PA2961,69,58
PA2962,5.5,2
PA2963,45,42.5
PA2964,15.5,13.5
PA2965,172,153.5
PA2966,7246.5,5781.5
PA2967,242,244.5
PA2968,75.5,33
PA2969,59,89
PA2970,36.5,75
PA2971,205.5,210
PA2972,6.5,8.5
PA2973,286.5,443.5
PA2974,45,97
PA2975,172.5,266
PA2976,1003.5,997
PA2977,20.5,34.5
PA2978,7,3.5
PA2979,16.5,14.5
PA2980,3.5,2.5
PA2981,1.5,2
PA2982,6.5,4.5
PA2983,16,13
PA2984,30.5,17
PA2985,7,8.5
PA2986,11.5,17.5
PA2987,28,13
PA2988,21.5,34
PA2989,31,20.5
PA2990,84,52
PA2991,176.5,259.5
PA2992,3.5,4
PA2993,94.5,106
PA2994,203.5,348.5
PA2995,33,34.5
PA2996,8,35
PA2997,8,25
PA2998,20.5,67.5
PA2999,42,72
PA3000,7.5,31.5
PA3001,445.5,854.5
PA3002,146,237.5
PA3003,24,31.5
PA3004,25,26
PA3005,19.5,25
PA3006,1074,774.5
PA3007,39,34
PA3008,9.5,9
PA3009,54.5,61.5
PA3010,28,46
PA3011,664.5,711.5
PA3012,33,23.5
PA3013,428.5,358.5
PA3014,1148,945
PA3015,2,4.5
PA3016,0,0
PA3017,66.5,71.5
PA3018,4.5,12
PA3019,57.5,37
PA3020,104.5,124.5
PA3021,103,75.5
PA3022,104,82.5
PA3023,70,28.5
PA3024,48,36
PA3025,12.5,14.5
PA3026,28.5,23.5
PA3027,5.5,5.5
PA3028,10.5,19
PA3029,11,19.5
PA3030,1,3
PA3031,131.5,120.5
PA3032,90,21
PA3033,1.5,0
PA3034,13,20.5
PA3035,14,8.5
PA3036,0.5,0
PA3037,0,4.5
PA3038,46.5,77.5
PA3039,1.5,3.5
PA3040,1187.5,1047.5
PA3041,309,268.5
PA3042,94,84
PA3043,120,83.5
PA3044,12,9.5
PA3045,5,1.5
PA3046,51.5,103
PA3047,21.5,30.5
PA3048,53,55
PA3049,6938.5,6024
PA3050,14.5,20.5
PA3051,0,0.5
PA3052,49,70
PA3053,12,13
PA3054,99,206
PA3055,34.5,44.5
PA3056,15,10.5
PA3057,1,1.5
PA3058,0,0.5
PA3059,1,3.5
PA3060,0.5,2
PA3061,0.5,0
PA3062,2.5,0
PA3063,4.5,6
PA3064,7.5,3
PA3065,0,0
PA3066,19,19.5
PA3067,6,3
PA3068,2274.5,3362.5
PA3069,30,33
PA3070,118,106
PA3071,33,21.5
PA3072,5.5,3
PA3073,8,8.5
PA3074,19,19
PA3075,9.5,20
PA3076,60.5,64
PA3077,4.5,7.5
PA3078,20.5,37
PA3079,26.5,40
PA3080,3,3
PA3081,8,49
PA3082,31,70
PA3083,290,338.5
PA3084,16.5,27.5
PA3085,29.5,31.5
PA3086,10.5,15.5
PA3087,15.5,20.5
PA3088,64.5,90.5
PA3089,76.5,80
PA3090,0,2
PA3091,199,125.5
PA3092,62,60
PA3093,10.5,16
PA3094,2.5,9.5
PA3095,96.5,57
PA3096,207.5,212
PA3097,20.5,24.5
PA3098,19.5,22
PA3099,2.5,8.5
PA3100,25,45.5
PA3101,88,75
PA3102,104.5,101
PA3103,203,134
PA3104,212.5,116.5
PA3105,207,156.5
PA3106,12,15.5
PA3107,92,96.5
PA3108,105,143.5
PA3109,9,8
PA3110,35,35.5
PA3111,40.5,47.5
PA3112,99,104
PA3113,85,78
PA3114,12,31
PA3115,1582,1949
PA3116,14,10.5
PA3117,217,297
PA3118,84.5,87.5
PA3119,4.5,3
PA3120,25.5,49
PA3121,194.5,289.5
PA3122,3,1.5
PA3123,341.5,273
PA3124,16.5,9.5
PA3125,1.5,3
PA3126,325,156
PA3127,14,19
PA3128,17.5,21.5
PA3129,8,26.5
PA3130,1,1
PA3131,3.5,8.5
PA3132,6.5,5.5
PA3133,10,10
PA3134,99,132.5
PA3135,9,16
PA3136,0.5,0
PA3137,18,5.5
PA3138,119.5,144.5
PA3139,179.5,176.5
PA3140,40,30.5
PA3141,474.5,527.5
PA3142,79,71
PA3143,38,20.5
PA3144,0,0
PA3145,314,334.5
PA3146,253.5,153.5
PA3147,215,231.5
PA3148,1339.5,901.5
PA3149,1571,1135
PA3150,12046,8558
PA3151,1002.5,999
PA3152,205,233
PA3153,102,115.5
PA3154,209,263.5
PA3155,1509.5,1919
PA3156,627.5,687
PA3157,450,375.5
PA3158,596,835
PA3159,7139,8938
PA3160,1916.5,2467
PA3161,38,51
PA3162,2486.5,3548
PA3163,27.5,40.5
PA3165,22.5,37
PA3166,97.5,179.5
PA3167,130.5,192
PA3168,708,877.5
PA3169,42,35
PA3170,52.5,57
PA3171,55,93
PA3172,36.5,50
PA3173,15.5,44
PA3174,1.5,3
PA3175,2.5,1
PA3176,0,1
PA3177,19,11.5
PA3178,7.5,3
PA3179,219.5,264.5
PA3180,26,15
PA3181,8.5,13.5
PA3182,14,8.5
PA3183,68.5,73
PA3184,2.5,5.5
PA3185,85.5,75
PA3186,29.295,70.765
PA3187,38,15.5
PA3188,2,2
PA3189,2.5,4.5
PA3190,348,123.5
PA3191,6,6
PA3192,6.5,4.5
PA3193,8.5,15.5
PA3194,93.5,38.5
PA3195,10.5,18
PA3196,7.5,3.5
PA3197,8.5,12.5
PA3198,110,72
PA3199,166.5,118
PA3200,39,36
PA3201,35.5,41
PA3202,31.5,58.5
PA3203,0,6.5
PA3204,14,18.5
PA3205,45.5,77.5
PA3206,4,5
PA3207,0,1.5
PA3208,4.5,3.5
PA3209,0,3
PA3210,3.5,3
PA3211,21.5,35.5
PA3212,20,16.5
PA3213,28.5,43
PA3214,23,30
PA3215,6,8
PA3216,27.5,22.5
PA3217,17,19.5
PA3218,0,4
PA3219,2,1
PA3220,6.5,1
PA3221,14.5,8
PA3222,3,11.5
PA3223,1.5,1
PA3224,0.5,3
PA3225,294,327
PA3226,125,107.5
PA3227,385.5,476
PA3228,299,504.5
PA3229,0,2
PA3230,16.5,16
PA3231,0,0.5
PA3232,16.5,11
PA3233,17,56
PA3234,68.5,120.5
PA3235,30.5,41
PA3236,67.5,56
PA3237,0,0
PA3238,14,21
PA3239,13,10
PA3240,49.5,67.5
PA3241,156,140.5
PA3242,19,33.5
PA3243,10,13
PA3244,52.5,88
PA3245,17,25
PA3246,0.5,0
PA3247,130,141.5
PA3248,11,19.5
PA3249,14.5,2.5
PA3250,496,216.5
PA3251,34,11
PA3252,14,17.5
PA3253,3.5,2.5
PA3254,12.5,28.5
PA3255,57.5,65.5
PA3256,103,82
PA3257,540,675.5
PA3258,0,2
PA3259,26,37.5
PA3259.1,58,76
PA3260,52.5,56
PA3261,95.5,24
PA3262,53.5,53
PA3263,11,35
PA3264,0,2
PA3265,6,0.5
PA3266,6,13
PA3267,187.5,177
PA3268,7,10.5
PA3269,3.5,9
PA3270,17.5,18.5
PA3271,37,64
PA3272,157,89.5
PA3273,29,12
PA3274,35,9
PA3275,1,0.5
PA3276,3,6
PA3277,45,50.5
PA3278,113,237
PA3279,0,1
PA3280,0.5,1
PA3281,3.5,5.5
PA3282,0,0
PA3283,9.5,0.5
PA3284,0,2
PA3285,37,27.5
PA3286,302,104.5
PA3287,14,3.5
PA3288,10.5,4.5
PA3289,37,27.5
PA3290,735,599
PA3291,360,192
PA3292,8,20
PA3293,2,7
PA3294,36.465,20.545
PA3295,12.5,12
PA3296,2,2
PA3297,112,176.5
PA3298,0,2
PA3299,103,208.5
PA3300,146,147.5
PA3301,37,16
PA3302,76,104.5
PA3303,3,0.5
PA3304,31.5,25.5
PA3305,61,40.5
PA3306,14.5,29.5
PA3307,223.5,372
PA3308,60,95.5
PA3309,9988.5,13112.5
PA3310,15,21
PA3311,341.5,249.5
PA3312,0.5,0
PA3313,43.5,38
PA3314,1,2.5
PA3315,52,37
PA3316,39.5,10
PA3317,7.5,23
PA3318,4,2.5
PA3319,6.5,4
PA3320,4,1.5
PA3321,0,2.5
PA3322,1,5
PA3323,6.5,8
PA3324,23.5,28.5
PA3325,3,5.5
PA3326,2794.5,1747.5
PA3327,258.5,455
PA3328,107,122
PA3329,348.5,358.5
PA3330,172.5,243
PA3331,592,736.5
PA3332,157,268
PA3333,121,115.5
PA3334,40,36.5
PA3335,108.5,99
PA3336,139,165.5
PA3337,413.5,1168.5
PA3338,9,1
PA3339,9.5,9
PA3340,197.5,105
PA3341,31,20
PA3342,36.5,30
PA3343,76.5,72.5
PA3344,78.5,115
PA3345,8.5,15.5
PA3346,278,106.5
PA3347,106,45
PA3348,439.5,503.5
PA3349,5650,5099.5
PA3350,36.5,33.5
PA3351,820.5,1159
PA3352,79,82.5
PA3353,453,372.5
PA3354,39.5,29.5
PA3355,30.5,23
PA3356,60,49
PA3357,20.5,31.5
PA3358,0,0
PA3359,0.5,2
PA3360,2,4
PA3361,367,167.5
PA3362,50,58.5
PA3363,121.5,165.5
PA3364,205.5,425.5
PA3365,213.5,364
PA3366,736,1261.5
PA3367,3,6.5
PA3368,5,6.5
PA3369,22,17.5
PA3370,15.5,11.5
PA3371,9,3.5
PA3372,14.5,9
PA3373,21.5,21.5
PA3374,5,7
PA3375,0,3.5
PA3376,0,2
PA3377,4.5,6
PA3378,0,1
PA3379,0,1
PA3380,2,0
PA3381,0,0
PA3382,0,0
PA3383,1,3.5
PA3384,0,0.5
PA3385,1398.5,847.5
PA3386,3,1
PA3387,0,7.5
PA3388,0.5,0
PA3389,1.5,2
PA3390,0,0
PA3391,27.5,78.5
PA3392,206,524.5
PA3393,20,41
PA3394,2.5,2
PA3395,7,2
PA3396,0.5,8
PA3397,28,57.5
PA3398,6.5,11
PA3399,438.5,529.5
PA3400,0.5,1.5
PA3401,3.5,0
PA3402,3,3
PA3403,11.5,5
PA3404,0,0.5
PA3405,1,0
PA3406,2,0
PA3407,2,8.5
PA3408,5.5,6.5
PA3409,3.5,0.5
PA3410,2.5,0
PA3411,0,0
PA3412,1,0
PA3413,176,142
PA3414,8.5,9.5
PA3415,504.5,233
PA3416,753.5,445.5
PA3417,611.5,349.5
PA3418,1110.5,981
PA3419,25,20
PA3420,23.5,20.5
PA3421,22,7
PA3422,3,2
PA3423,7,9
PA3424,3,1
PA3425,5.5,4
PA3426,35.5,14.5
PA3427,25.5,48.5
PA3428,0,0
PA3429,5,8.5
PA3430,181.5,218
PA3431,9,23
PA3432,1.5,1.5
PA3433,14,4
PA3434,16.08,16.5
PA3435,8.5,21.5
PA3436,0,2.5
PA3437,2,4
PA3438,18,36.5
PA3439,13.5,34.5
PA3440,19.5,15.5
PA3440.1,3,9.5
PA3441,0.5,0
PA3442,0,0
PA3443,0,0
PA3444,1,0
PA3445,1,2.5
PA3446,0,1.5
PA3447,3,0
PA3448,1,1
PA3449,0,0
PA3450,1,4.5
PA3451,14,17
PA3452,50,47.5
PA3453,14.5,5
PA3454,16,21.5
PA3455,267.5,302.5
PA3456,24,24.5
PA3457,3.5,8.5
PA3458,280,672.5
PA3459,234.5,94.5
PA3460,161.5,50.5
PA3461,100.5,41
PA3462,76,43
PA3463,0,0.5
PA3464,19,14
PA3465,269.5,348
PA3466,19,20.5
PA3467,2,0
PA3468,5.5,18
PA3469,0,8
PA3470,0,1
PA3471,58.5,123.5
PA3472,15.5,14.5
PA3473,3.5,0.5
PA3474,6.5,5
PA3475,6.5,17.5
PA3476,186.5,212.5
PA3477,1797,2090
PA3478,169,49
PA3479,750.5,157
PA3480,45,31.5
PA3481,98.5,125
PA3482,114.5,129
PA3483,7.5,12.5
PA3484,30.5,22
PA3485,1.5,0.5
PA3486,22.535,27.455
PA3487,316.5,247
PA3488,237,196.5
PA3489,19.5,2
PA3490,0.5,1
PA3491,43,31
PA3492,9,5.5
PA3493,6.5,11
PA3494,1,1
PA3495,35,27
PA3496,11.5,20
PA3497,0,1
PA3498,16,5.5
PA3499,5,5
PA3500,36,41
PA3501,0,0.5
PA3502,8.5,2.5
PA3503,6,3
PA3504,4.5,13.5
PA3505,2,3.5
PA3506,10,5.5
PA3507,3.5,2
PA3508,7,7.5
PA3509,0,2.5
PA3510,21.5,9
PA3511,0,0
PA3512,4,1.5
PA3513,1,0.5
PA3514,2,3
PA3515,6.5,11
PA3516,5.5,6
PA3517,5,3.5
PA3518,6.5,3
PA3519,3,2
PA3520,139.5,19
PA3521,0.5,0
PA3522,9.5,6.5
PA3523,0.5,0
PA3524,139,192
PA3525,494,619.5
PA3526,270,389.5
PA3527,29,61.5
PA3528,35.5,49.5
PA3529,2649,3352
PA3530,0.5,0.5
PA3531,5459,5394
PA3532,5,0
PA3533,269.5,238
PA3534,9,16
PA3535,35.5,44.5
PA3536,11,9
PA3537,50.5,40
PA3538,44,45
PA3539,5.5,12.5
PA3540,2.5,1
PA3541,0,2.5
PA3542,1,1.5
PA3543,5,0
PA3544,2.5,2
PA3545,1,5
PA3546,4.5,6.5
PA3547,1,1.5
PA3548,0.5,4.5
PA3549,1,2.5
PA3550,7,7.5
PA3551,43.5,40.5
PA3552,0,0.5
PA3553,2,4.5
PA3554,3.5,7
PA3555,0.5,1
PA3556,3,0.5
PA3557,0,0
PA3558,0,0
PA3559,4.5,11.5
PA3560,9.5,7
PA3561,15,7
PA3562,39,42.5
PA3563,52.5,69
PA3564,2,1
PA3565,3,3.5
PA3566,44,68.5
PA3567,14.5,27
PA3568,62.5,50
PA3569,77.5,57
PA3570,405.5,240
PA3571,33.5,30
PA3572,15,32.5
PA3573,2,0.5
PA3574,104.5,90.5
PA3574.1,8.5,14
PA3575,12.5,19
PA3576,71,54.5
PA3577,0,1
PA3578,13,20.5
PA3579,17.5,48
PA3580,10,27.5
PA3581,54.5,196
PA3582,217.5,1072.5
PA3583,20,69.5
PA3584,191,1381
PA3585,0,5.5
PA3586,0,0
PA3587,7,23.5
PA3588,2,1
PA3589,0.5,1
PA3590,5.5,2
PA3591,0,0
PA3592,0,0
PA3593,1.5,1
PA3594,0.5,6.5
PA3595,5,2.5
PA3596,5,3
PA3597,0,0
PA3598,30,7.5
PA3599,23.5,21.5
PA3600,0,0
PA3601,2,1.5
PA3602,86,70
PA3603,0,6.5
PA3604,8,18
PA3605,0,0
PA3606,6,2.5
PA3607,0,0.5
PA3608,0,0
PA3609,0,0
PA3610,2,2
PA3611,68,54.5
PA3612,0,0
PA3613,631.5,865.5
PA3614,379,397
PA3615,302.5,349.5
PA3616,14.5,3
PA3617,302.5,275.5
PA3618,11,4
PA3619,2,14.5
PA3620,53.5,94.5
PA3621,41,73
PA3622,2989.5,1918
PA3623,666,420
PA3624,20.5,38.5
PA3625,15.5,29
PA3626,9.5,38
PA3627,26.5,14
PA3628,87,99.5
PA3629,444.5,413
PA3630,1.5,3.5
PA3631,44,50
PA3632,7.5,16.5
PA3633,1.5,3
PA3634,8.5,12
PA3635,237,349.5
PA3636,224.5,156
PA3637,363,294
PA3638,23.5,26.5
PA3639,177.5,129
PA3640,128,202.5
PA3641,8.5,28
PA3642,29,25.5
PA3643,46,27
PA3644,155,100.5
PA3645,105,83
PA3646,114,130.5
PA3647,46,107.5
PA3648,465,433.5
PA3649,93.5,114.5
PA3650,64.5,56.5
PA3651,16,18
PA3652,68.5,68
PA3653,320,337.5
PA3654,77.5,57
PA3655,347.5,408
PA3656,404.5,533.5
PA3657,158,134
PA3658,51,66.5
PA3659,28.5,37
PA3660,16.5,41.5
PA3661,0.5,0
PA3662,27.5,54
PA3663,3,7
PA3664,12.5,12.5
PA3665,5,4
PA3666,28.5,47.5
PA3667,151,127
PA3668,16.5,7
PA3669,33,22.5
PA3670,4,9
PA3671,3,0
PA3672,7.5,10.5
PA3673,48.5,40
PA3674,72.5,110
PA3675,8.5,12.5
PA3676,178,61
PA3677,62,20
PA3678,89.5,44.5
PA3679,18,14.5
PA3680,13.5,15.5
PA3681,12.5,9
PA3682,4,10
PA3683,18,15
PA3684,23,13.5
PA3685,0,1.5
PA3686,86.5,98.5
PA3687,100.5,84
PA3688,200.5,223
PA3689,28.5,63.5
PA3690,88,74.5
PA3691,950.5,440.5
PA3692,2017,731.5
PA3693,5.5,16.5
PA3694,2,18
PA3695,4.5,14
PA3696,20,39.5
PA3697,133.5,108.5
PA3698,107.5,125
PA3699,6.5,9.5
PA3700,118,206
PA3702,90.5,108.5
PA3703,144.5,122
PA3704,252,241.5
PA3705,71.5,72
PA3706,65,83.5
PA3707,65.5,114
PA3708,1564.5,1522.5
PA3709,15,7
PA3710,19.5,17
PA3711,4.5,3.5
PA3712,413.5,346.5
PA3713,10,7
PA3714,0,1.5
PA3715,44.5,27.5
PA3716,46,56
PA3717,26,28
PA3718,0,0
PA3719,0,0
PA3720,32.5,11.5
PA3721,10.5,3
PA3722,85,80
PA3723,4511.5,3649
PA3724,675,237
PA3725,25,33
PA3726,5,3
PA3727,8.5,9.5
PA3728,99,215
PA3729,93.5,134.5
PA3730,0,0.5
PA3731,14.5,34
PA3732,35,53.5
PA3733,48.5,52.5
PA3734,13,3
PA3735,10,41.5
PA3736,47,67
PA3737,84,70
PA3738,9.5,7.5
PA3739,69.5,52
PA3740,266,126
PA3741,3.5,0
PA3742,309.5,335
PA3743,199.5,222.5
PA3744,379,452
PA3745,29.5,26.5
PA3746,68.5,101.5
PA3747,10,21.5
PA3748,7,6.5
PA3749,5.5,1
PA3750,21,38
PA3751,34.5,33.5
PA3752,0,0
PA3753,80.5,160
PA3754,32.5,65
PA3755,2.5,2.5
PA3756,69,81.5
PA3757,2,6
PA3758,2.5,4.5
PA3759,10,2.5
PA3760,20,14.5
PA3761,10.5,8
PA3762,72,121
PA3763,88.5,176
PA3764,13.5,12
PA3765,2,0.5
PA3766,6.5,10
PA3767,127,94.5
PA3768,19.5,27
PA3769,101.5,110.5
PA3770,126,185.5
PA3771,37.5,30
PA3772,3.5,10.5
PA3773,0,0
PA3774,0.5,0
PA3775,0,0
PA3776,0,0
PA3777,22,16.5
PA3778,11.5,8.5
PA3779,10,7
PA3780,0,0
PA3781,0,1.5
PA3782,7,1.5
PA3783,0,3
PA3784,102.5,52.5
PA3785,118.5,128.5
PA3786,111.5,59
PA3787,107,82.5
PA3788,29.5,28
PA3789,80.5,188
PA3790,332,1127.5
PA3791,47.5,73
PA3792,260.5,186
PA3793,10.5,9.5
PA3794,11.5,8.5
PA3795,186,175.5
PA3796,136.5,56
PA3797,30,30
PA3798,19,10
PA3799,394.5,391
PA3800,222.5,266
PA3801,71,88.5
PA3802,172.5,359
PA3803,138.5,181.5
PA3804,109.5,141
PA3805,30.5,40.5
PA3806,118.5,145
PA3807,262,260.5
PA3808,50,36
PA3809,9.5,5.5
PA3810,51,45
PA3811,36.5,54.5
PA3812,22,38.5
PA3813,43.5,51
PA3814,144,289
PA3815,6,12
PA3816,22.5,27.5
PA3817,35.5,47
PA3818,27,31.5
PA3819,5715,3556.5
PA3820,11.5,30
PA3821,70.5,67.5
PA3822,34.5,73
PA3823,15.5,33.5
PA3824,4.5,16
PA3825,34.5,41.5
PA3826,2.5,6
