,PA14,PJ01,PJ01dT
PA14_07480,174.838,239.648,172.862
PA14_07500,14.6064,14.6212,14.203
PA14_07520,1904.88,1772.45,1822.67
PA14_07530,202.96,216.884,199.205
PA14_07550,1369.94,1498.89,1335.27
PA14_07560,43837.4,47097.8,42429.4
PA14_07570,360.954,354.984,352.269
PA14_07580,205.686,209.263,220.377
PA14_07590,212.828,188.12,189.838
PA14_07600,132.556,127.736,130.526
PA14_07620,54.7232,57.4901,54.5256
PA14_07630,9.93577,7.91859,8.07855
PA14_07650,23.153,20.04,21.3434
PA14_07660,29.8827,26.1618,28.1663
PA14_07680,56.1111,46.8526,49.2916
PA14_07690,170.074,187.142,155.479
PA14_07700,125.985,136.603,119.474
PA14_07710,311.58,317.856,300.758
PA14_07730,164.103,169.045,156.687
PA14_07740,185.648,196.599,180.128
PA14_07760,492.671,507.262,467.458
PA14_07770,807.074,825.206,771.325
PA14_07780,112.256,105.117,110.487
PA14_07790,88.9463,84.2535,88.1121
PA14_07800,73.9942,76.9869,70.1315
PA14_07810,44.2199,45.0413,46.2167
PA14_07820,34.8809,32.3444,32.7523
PA14_07840,55.7296,46.9442,51.3363
PA14_07850,82.6505,68.2864,75.4343
PA14_07860,60.8734,48.7472,58.5006
PA14_07870,96.4722,67.9437,80.7856
PA14_07890,24.6229,21.1785,22.9672
PA14_07900,23.9121,20.5664,22.4672
PA14_07910,291.832,295.523,262.937
PA14_07930,152.39,158.974,143.961
PA14_07940,167.285,166.612,160.831
PA14_07950,280.198,252.792,289.478
PA14_07960,150.337,141.443,141.908
PA14_07970,124.915,159.158,147.774
PA14_07980,145.971,152.931,152.018
PA14_07990,43.89,51.0436,50.7837
PA14_08000,135.406,131.11,134.698
PA14_08010,86.3974,96.4638,88.4729
PA14_08020,134.655,160.343,138.714
PA14_08030,61.2806,68.3447,60.8869
PA14_08040,96.7494,115.798,106.485
PA14_08050,92.8402,99.5643,94.0391
PA14_08060,124.351,138.746,114
PA14_08070,149.386,186.006,167.379
PA14_08090,232.046,270.821,236.806
PA14_08100,238.582,271.503,250.322
PA14_08110,904.832,833.074,961.58
PA14_08120,88.8016,99.3698,93.5802
PA14_08130,62.0096,71.5137,73.8435
PA14_08140,148.282,180.594,172.486
PA14_08150,53.8564,60.2552,57.5716
PA14_08160,46.1116,52.7034,53.8763
PA14_08180,40.9254,61.897,64.1001
PA14_08190,65.2234,77.9968,75.3575
PA14_08200,75.8063,83.7611,89.4406
PA14_08210,284.691,316.772,286.431
PA14_08220,277.207,304.889,287.032
PA14_08230,295.072,338.014,324.234
PA14_08240,63.401,77.2771,70.4312
PA14_08250,83.7381,102.579,93.7169
PA14_08260,50.8839,66.1019,59.1526
PA14_08270,42.6283,54.3716,51.4352
PA14_08280,63.1218,73.6884,69.7616
PA14_08300,38.9241,46.571,42.2298
PA14_08310,149.84,147.954,136.638
PA14_08320,310.671,301.569,264.385
PA14_08330,582.827,584.906,502.365
PA14_08340,204.033,225.739,202.438
PA14_08350,184.734,179.96,178.047
PA14_08360,238.076,244.582,244.886
PA14_08370,1242.43,1137.78,1213.46
