,PAO1-1,PAO1-2,DKT-2-1,DKT-2-2,DKT-1-1,DKT-1-2
rplR,2628,2416,4318,6821,3101,2955
rplF,4959,4514,7388,11022,5634,5047
rpsH,993,1335,1985,5010,1555,1622
rpsN,5736,7002,6800,8179,7653,6771
rplE,12031,13407,14201,17653,15130,13716
rplX,2984,3028,4626,6672,4474,4223
rplN,6177,8077,8674,13321,8861,8464
rpsQ,1152,1265,2155,4291,1919,1996
rpmC,3627,4090,4639,7298,4460,4367
rplP,5790,6998,9302,13435,8058,7929
rpsC,4950,4863,7944,14875,6673,6763
rplV,2256,2464,4310,6391,3181,3179
rpsS,2701,2272,4779,7866,3527,3533
rplB,6217,6385,10043,16162,7887,7727
rplW,2104,1865,3791,4596,2660,2413
rplD,10129,9360,14739,17113,11032,9949
rplC,4559,4646,7997,13024,6364,5935
rpsJ,683,671,1576,3684,1242,1347
tufA,33276,36500,38967,56530,54294,47664
fusA1,20287,17831,30723,45408,26501,24530
rpsG,5831,4993,9088,11814,6545,6220
rpsL,1808,1448,3390,6350,2436,2672
rpoC,40693,54165,51424,68858,68822,63900
rpoB,24526,26563,35489,52465,35515,33775
PA4270.1,299,332,508,727,493,426
rplL,3066,2783,5212,6382,4068,3769
rplJ,3182,3311,5219,7605,4809,4347
PA4272.1,295,309,634,1643,620,663
rplA,4186,4215,8343,11149,6207,5842
rplK,3725,3856,7187,10622,5163,5105
nusG,1182,1325,1804,2459,1619,1477
secE,786,877,1024,1589,1056,955
PA4276.1,143,146,186,426,270,235
tufB,21235,21036,26952,40322,32049,28133
PA4277.1,98,108,117,281,159,147
PA4277.2,232,290,322,574,370,395
PA4277.3,236,359,287,672,385,420
PA4278,507,502,613,769,661,603
PA4279,442,524,517,651,637,576
birA,403,422,452,654,598,566
PA4280.3,40,50,87,99,67,54
PA4280.4,114,102,200,240,141,114
sbcD,1168,1024,834,1065,1660,1411
PA4282,3146,2817,2777,3839,4722,4279
recD,5283,5921,4428,4477,6179,5103
recB,5888,5985,5254,5918,7238,5987
recC,3769,3436,3511,3990,5032,4075
PA4286,589,735,643,663,877,789
PA4287,76,75,72,81,115,113
PA4288,485,469,421,503,1111,855
PA4289,2461,4047,893,899,9315,6712
PA4290,4271,9554,1206,1263,16183,12669
PA4291,272,342,307,492,365,382
PA4292,810,962,923,1373,938,910
pprA,3911,3131,1653,1578,1638,1271
PA4294,2124,1873,930,945,827,670
fppA,48,48,33,60,52,54
pprB,9421,8144,5185,7251,6409,5655
tadG,3555,2721,1880,2557,2144,1870
PA4298,1076,680,487,455,309,222
tadD,2398,1386,1054,1272,623,539
tadC,1645,1020,663,669,476,334
tadB,1605,1001,709,634,509,344
PA3937,776,247,361,394,604,487
tadZ,2826,1647,1355,1282,987,739
rcpA,2270,1228,1064,1143,724,539
rcpC,1953,1160,996,890,611,466
flp,6058,2924,2544,2622,807,549
pctC,1162,1089,1664,2199,1291,1148
PA4308,1485,1313,1477,1720,1883,1579
pctA,5414,6524,4839,8015,6321,5448
pctB,6496,6335,5690,8492,6108,5747
PA4311,12775,7845,6466,7688,9393,7957
PA4312,4663,3288,2553,3092,3797,3430
PA4313,2308,1682,1496,1692,1995,1836
PA4313a,958,769,724,877,965,887
purU1,1046,1125,1202,2030,1626,1492
mvaT,4186,3122,4051,6339,4589,4246
sbcB,1677,1410,1497,1939,1963,1701
PA4317,695,679,600,1071,999,818
PA4318,431,545,373,581,655,596
PA4319,414,437,385,501,601,472
PA4320,932,1022,811,915,1207,984
PA4321,463,493,471,606,612,516
PA4322,1968,2072,2090,2439,2280,2007
PA4323,2480,2938,2013,2601,2670,2369
PA4324,3835,3824,2644,3669,3974,3450
PA4325,748,868,607,700,905,793
PA4326,1079,1089,779,1056,1181,967
PA4327,270,228,250,392,418,330
PA4328,2742,1102,3350,4605,3388,3225
pykA,7642,4724,8790,12189,10299,9510
PA4330,1580,1423,1496,2032,2027,1683
PA4331,1292,1393,1046,1181,1561,1328
PA4332,1136,1240,989,1325,1474,1250
PA4333,1356,1291,2433,3456,2284,2181
PA4334,846,902,609,611,1123,874
PA4335,1484,1264,1049,1212,1519,1344
PA4336,2670,2822,2017,2824,2967,2549
PA4337,295,287,282,340,426,354
PA4338,2515,2032,1779,1931,2506,2141
PA4339,1232,1203,960,1069,1487,1262
PA4340,838,741,686,818,977,864
PA4341,336,357,269,238,470,387
PA4342,569,486,430,448,711,587
PA4343,239,185,157,177,283,252
PA4344,1683,1108,1120,1196,2190,1598
PA4345,6095,3931,3230,3280,7159,5382
PA4346,504,410,398,498,777,657
PA4347,1011,450,1129,1333,1317,1252
PA4348,3915,782,4911,6420,5404,4857
PA4349,1495,1296,1332,1376,1984,1602
PA4350,893,1141,1180,1445,1382,1354
PA4351,9985,6283,9824,10868,9717,9101
PA4352,39002,15568,38588,37334,33928,31073
PA4353,470,275,430,562,752,627
PA4354,85,99,97,116,875,848
PA4355,152,228,146,189,2359,2154
xenB,2008,2601,1588,1872,25801,24341
PA4357,160,354,258,253,416,471
PA4358,2747,5897,2106,2692,3308,4234
PA4359,395,1022,298,610,535,831
PA4360a,295,323,217,184,385,337
PA4361,923,886,696,823,1262,1114
PA4362,2443,1812,1792,2193,2195,1924
iciA,794,767,634,730,896,738
PA4364,23,28,29,43,19,16
PA4365,57,89,73,83,98,62
sodB,17907,16078,20289,35168,30933,29006
bifA,2354,2152,2128,2967,3048,2651
PA4368,2001,2219,1618,1816,1989,1570
PA4369,2363,2744,1869,2321,2441,1901
icmP,3609,4374,4174,6247,4254,3866
PA4371,277,595,332,425,302,328
PA4372,742,911,1024,1358,1012,854
PA4373,782,874,817,1021,1064,871
PA4374,429,465,388,476,534,482
PA4375,620,607,731,985,743,634
pncB2,994,912,864,1200,1453,1358
PA4377,245,268,187,396,262,288
inaA,825,762,744,906,907,883
PA4379,695,577,552,628,992,825
PA4380,490,478,419,560,567,569
PA4381,549,423,522,650,638,612
PA4382,499,433,424,605,571,482
PA4383,305,300,278,416,388,372
PA4384,394,480,168,199,266,268
groEL,131053,158619,150046,198291,247796,191844
groES,14488,19116,16219,20371,28406,23135
PA4387,1705,2086,2169,2948,2337,1955
PA4388,820,701,744,1053,1155,1042
speA,1527,1697,1877,2437,2606,2128
PA4390,305,236,220,458,303,337
PA4391,193,203,205,260,310,262
PA4392,298,410,284,308,460,377
ampG,811,868,720,973,1085,1014
PA4394,2987,1622,1667,2168,2829,2298
PA4395,1502,1544,1456,2530,2237,1952
PA4396,332,376,331,446,402,384
panE,959,926,703,844,1027,840
PA4398,667,621,691,881,919,841
PA4399,917,941,1003,1102,1415,1135
PA4400,1519,1894,1332,1561,3336,2978
PA4401,774,850,741,864,1170,1099
argJ,1670,1684,2317,3192,1966,2037
secA,8701,7904,9425,14268,11461,10924
PA4404,636,673,691,825,815,689
PA4405,349,395,325,454,526,434
lpxC,20186,23116,16270,21363,21333,18734
PA4406.1,1918,2090,1715,3902,2357,2184
ftsZ,71286,70386,50218,68818,70612,58883
ftsA,13055,13991,10554,12477,13012,11112
ftsQ,5148,5581,3907,4981,5127,4494
ddlB,10842,11721,7778,8329,10182,8592
murC,22210,22880,15127,16643,19585,16293
murG,7361,7430,5276,6480,6872,5975
ftsW,5802,5851,4387,5174,5191,4284
murD,12865,12324,8609,9294,10519,8648
mraY,7488,6345,5360,6336,6173,5180
murF,14694,13887,9209,9764,12264,10334
murE,14975,14238,10060,10065,13434,11289
ftsI,8468,8679,5779,7210,8322,6968
ftsL,1419,1532,970,1309,1324,1258
PA4420,6958,6683,4429,5427,6388,5543
PA4421,5732,5186,3366,3309,5094,3983
rnpB,590673,795567,452899,715012,794823,688439
PA4422,387,392,399,416,541,447
PA4423,2068,2059,2327,3863,2876,2575
PA4424,367,413,421,700,684,624
PA4425,1910,1789,1847,2622,2848,2512
PA4426,1353,1293,1589,2441,1980,1745
sspB,409,400,490,787,486,505
sspA,717,717,749,1191,819,813
PA4429,5881,5266,8254,12570,6864,6846
PA4430,10933,9173,12494,17362,10427,10188
PA4431,4265,3662,4749,7300,4263,4418
rpsI,1214,1072,2186,3246,1510,1390
rplM,1380,1330,2462,4117,1788,1701
PA4434,2515,2071,2672,3612,2752,2447
PA4435,1664,1534,1907,2698,2304,1866
PA4436,347,420,275,411,470,471
PA4437,147,141,123,158,218,176
PA4438,156,198,220,400,276,274
trpS,2557,2265,2715,3374,3488,3195
PA4440,1149,1168,919,1117,1810,1606
PA4441,2790,3076,2512,3933,3518,3243
cysN,3763,3800,4714,6088,6797,6084
cysD,675,673,656,1048,875,759
mltB1,1516,1435,1269,2041,2209,2062
PA4445,1356,1254,1170,1417,1897,1633
algW,1015,1074,903,1150,1270,1214
hisC1,1364,1376,1913,2590,1895,1789
hisD,1383,1328,1774,2701,1808,1838
PA3950,1455,1452,1481,1713,2193,1828
murA,5126,4623,5722,7379,6602,5661
PA4451,274,395,383,925,584,572
PA4451.1,28,33,34,56,25,34
PA4452,864,838,1057,1020,867,892
PA4453,2028,1699,2797,4843,2293,2557
PA4454,978,1021,1271,1882,1238,1298
PA4455,1217,1559,1569,2262,1664,1774
PA3961,2058,2406,1903,2003,3029,2640
PA4457,2127,2160,2039,2705,2697,2444
PA4458,1337,1242,1182,1553,1475,1388
PA4459,1577,1529,1522,2256,1947,1868
PA4460,2348,2375,2375,3882,3243,3113
PA4037,134,163,104,134,162,110
rpoN,2395,2393,2153,4045,3849,3488
PA4463,14254,11469,13541,32366,19636,18086
ptsN,11644,10606,10259,14856,15098,13225
PA4465,4926,4112,4806,8137,7144,6751
PA4466,375,336,463,757,628,642
PA4467,245,1015,221,273,257,221
sodM,325,1413,250,272,332,290
PA4469,89,643,67,100,97,98
fumC1,649,3199,381,492,718,570
PA4471,58,707,47,57,56,46
pmbA,3756,3683,3278,4168,4027,3448
PA4473,1492,1719,1249,1567,1957,1687
PA4474,5497,5607,4795,6375,6312,5414
PA4475,7126,7831,5724,5653,7550,5993
PA4476,4011,3820,3300,3733,4841,3976
cafA,2376,2174,2247,3014,3246,2798
PA4478,976,1044,853,865,1042,747
mreD,258,334,305,329,309,257
mreC,573,629,670,1060,750,752
mreB,1189,1479,2025,2813,1629,1551
gatC,205,197,328,620,329,364
gatA,1876,1560,2577,3617,2679,2463
gatB,2470,2304,3532,4782,3834,3541
PA4485,252,254,281,309,263,317
PA4486,707,681,675,1070,1014,970
PA4487,1685,2066,1454,2043,1894,1694
PA4488,1985,2469,1510,1478,1914,1611
PA4489,9487,10119,7929,9446,7780,6713
PA4490,853,800,709,986,802,739
PA4491,4572,4126,3777,4144,3915,3636
PA4492,1269,1189,963,1236,1308,1353
roxR,7748,6527,6306,6797,6728,6263
roxS,3294,3004,2693,3544,3309,3171
PA4495,11478,9490,8499,13424,9157,7808
PA4496,7803,3378,7586,17827,8824,6451
PA4497,2444,1707,2362,3667,2331,1885
PA4498,3210,1706,2777,3587,1828,1283
PA4499,853,659,599,888,738,571
PA4500,5250,3261,4065,7335,4995,3416
opdP,4951,1783,4837,8163,3276,1989
PA4502,13302,4678,14756,23677,9112,6133
PA4503,5433,2083,5312,8701,3743,2737
PA4504,8935,3143,8240,11029,5188,3369
PA4064,183,232,144,174,219,214
PA4192,110,121,95,91,151,113
PA4507,1292,1222,1085,1305,1488,1208
PA4508,253,175,219,299,285,231
PA4509,843,894,671,695,1006,862
PA4510,873,962,696,669,1149,981
PA4511,1086,1142,848,969,1457,1211
lpxO1,317,387,347,472,577,554
PA4513,359,701,272,393,380,315
PA4514,813,1353,573,715,935,789
PA4515,520,1326,401,563,542,601
PA4516,557,1283,427,475,666,689
PA4517,345,415,314,384,509,400
PA4518,411,378,296,305,431,393
speC,2017,1549,1640,2054,1620,1315
PA4520,2384,2079,1554,2075,3224,2414
PA4521,1365,1375,955,1069,1529,1335
ampD,461,436,344,429,643,570
PA4523,18284,19208,13687,16679,14467,12407
nadC,1217,1133,985,1209,1308,1175
PA4524.1,639,767,649,793,919,891
pilA,18805,23700,16288,24158,27709,27921
pilB,2757,3255,2804,4295,4942,5075
pilD,1891,2159,1476,1813,2122,1956
coaE,1626,1910,1332,1676,1878,1763
PA4530,606,487,580,786,736,649
PA4531,412,313,381,525,597,476
PA4532,738,700,568,705,748,651
PA4533,811,764,660,876,876,793
PA4534,637,616,551,559,708,640
PA4535,3926,2943,2623,2887,4841,3639
PA4536,1424,1097,1085,1142,1774,1365
PA4537,777,692,577,631,1007,840
ndh,2989,2292,2987,4208,4180,3649
PA4539,728,882,769,1046,1161,1101
PA4540,87,132,72,114,144,125
PA4541,1089,1104,1008,1240,1500,1209
PA4541.1,9,5,3,17,13,8
PA4541.2,87,72,95,106,85,65
PA4541.3,194,139,188,206,161,142
clpB,27567,28898,32114,41946,38749,33040
PA4543,481,609,504,542,653,620
rluD,730,825,734,1091,1071,1014
comL,512,611,761,1136,804,857
pilS,616,537,570,817,710,703
pilR,1841,1681,1748,2371,1996,1887
PA4548,975,1194,1002,1238,1331,1393
fimT,59,65,46,74,92,74
fimU,1481,1429,1033,1676,968,932
pilV,1216,890,850,1489,718,652
pilW,1846,1440,1476,2777,1287,1251
pilX,2006,1831,1649,2736,1822,1442
pilY1,8356,7069,8481,15972,6984,6485
pilY2,2152,2250,1982,2886,1705,1427
pilE,1760,1913,1913,3210,1478,1340
lytB,1788,1691,1838,2014,1831,1651
PA4558,1280,1168,1448,2086,1698,1509
lspA,811,776,1144,1861,1282,1165
ileS,8685,7745,10855,16440,11455,10738
ribF,497,595,605,1005,930,842
PA4562,329,327,398,446,442,376
rpsT,237,254,441,1140,392,424
PA4564,731,804,814,1010,1009,906
proB,6069,5634,4940,4991,7304,5962
obg,3164,2655,2731,3218,4432,3849
rpmA,156,177,418,995,412,402
rplU,791,803,1153,2751,1397,1446
ispB,996,878,1217,1824,1228,1334
PA4570,123,626,53,64,78,68
PA4571,2679,1736,3688,4586,3134,3117
fklB,2097,2187,1592,1917,1639,1348
PA4573,2799,2900,1338,1218,1536,1235
PA4574,164,133,147,251,209,192
PA4575,2991,2792,1953,2233,3592,2725
PA4222,5567,4218,4472,4141,2181,1498
PA4577,10198,7697,6512,6623,7744,6679
PA4578,20155,20097,22450,40258,34595,30470
PA4579,2451,2204,2631,3400,4021,3719
PA4580,471,532,511,642,782,666
rtcR,646,523,501,554,848,675
PA4581.1,218,157,160,283,515,422
PA4582,436,319,276,367,721,590
PA4583,469,365,362,485,859,779
PA4584,394,387,303,348,637,555
rtcA,582,569,462,563,869,680
PA4586,154,193,205,213,225,165
ccpR,12102,13612,10503,17111,17475,21722
gdhA,1099,682,1526,1931,1002,1057
PA4589,487,451,347,478,660,537
pra,1072,1077,845,1620,960,732
PA4591,428,333,351,394,473,374
PA4592,346,344,368,415,509,390
PA4593,264,264,226,279,376,314
PA4223,6077,4686,4693,4767,2386,1470
PA4456,2248,2913,2547,3517,2757,3150
PA4596,2012,1010,1821,2692,1860,1619
oprJ,914,587,1257,1515,745,654
mexD,533,478,1568,2183,501,444
mexC,369,312,917,980,213,159
nfxB,700,402,820,1116,632,549
morA,3660,4320,2775,3609,3885,3970
glyA3,1748,1479,2670,4040,2047,1941
PA4603,429,329,316,351,423,381
PA4604,2262,1560,1527,1718,2400,2044
PA4605,621,516,624,934,934,896
PA4606,12955,11140,8222,12764,14999,13005
PA4607,230719,185263,124706,133016,133552,95376
PA4608,3256,3027,2157,2780,3386,2871
radA,2904,2872,2328,2747,2976,2586
PA4610,2783,4337,2441,3207,2600,2273
PA4611,5698,2514,6713,11650,7310,6666
PA4612,218,228,222,214,587,445
katB,608,437,658,946,3601,2596
mscL,6563,4663,3900,6254,5233,4399
PA4615,939,2014,916,1155,3213,2543
PA4616,105,104,162,225,105,92
PA4617,1232,1377,1008,1273,1794,1534
PA4618,3120,3563,2052,2178,4830,3854
PA4619,1898,1848,1390,1751,3293,2706
PA4620,907,1015,693,1006,1654,1320
PA4621,2668,2973,2146,2902,3525,2944
PA4622,64,71,79,99,138,146
PA4623,28,60,46,39,964,838
PA4624,1459,1139,893,1464,1165,899
PA4625,3663,2103,2025,2959,2902,2123
hprA,334,321,338,485,496,433
PA4627,443,445,361,503,520,465
lysP,341,357,450,705,521,450
PA4629,74,70,94,93,100,94
PA4630,466,452,522,636,592,486
PA4631,1338,1150,1480,1664,1413,1281
PA4632,633,559,909,1631,738,728
PA4633,9442,10145,7717,11233,10975,9092
PA4634,1430,1803,1095,1466,1688,1434
PA4635,617,506,463,539,607,499
PA4635a,748,642,547,525,751,564
PA4636a,583,561,381,359,582,442
PA4636,470,542,640,874,758,725
PA4637,206,314,201,398,360,324
PA4637a,1321,851,1257,2724,783,879
PA4639,1476,1536,1714,2756,2033,1904
mqoB,4599,4744,4972,7057,10145,8147
PA4642,266,195,242,297,342,328
PA4643,691,723,636,727,1018,953
PA4644,200,210,203,275,270,203
PA4645,320,249,343,488,344,296
upp,1487,1071,1234,1528,1339,1155
uraA,1655,1302,1398,1711,1534,1374
PA4648,622,366,326,529,217,163
PA4649,262,284,137,189,163,124
PA4650,225,172,109,140,121,96
PA4651,1621,818,562,608,375,298
PA4652,949,637,446,517,549,418
PA4653,570,502,376,469,626,429
PA4654,323,375,162,201,519,317
hemH,3633,2965,2632,3071,3575,2897
PA4656,3790,3485,2285,2465,3013,2492
PA4657,5110,5540,3582,4259,4588,3806
PA4658,983,901,842,1235,1167,1013
PA4659,890,779,724,830,995,762
phr,1511,1300,1211,1628,1820,1426
pagL,29434,24485,15588,20101,31475,23722
murI,598,635,612,614,706,651
moeB,1603,1832,1492,1512,1756,1568
hemK,841,1042,1037,1204,1239,1084
prfA,575,725,865,1046,983,913
hemA,495,766,608,922,902,841
PA4667,4290,3996,3319,4479,6188,5545
PA4668,959,1002,927,1249,1520,1471
ipk,839,788,974,1706,1274,1282
PA4669.1,99,95,157,383,147,149
prs,1415,1309,2251,3361,1522,1474
PA4671,1386,1299,2551,3581,1888,1717
PA4672,89,119,164,320,166,128
PA4673,325,333,585,946,503,472
PA4673.1,5,6,6,18,8,10
PA4674,462,418,441,712,569,479
PA4675,878,1135,1065,1508,886,752
PA4676,1142,1097,1232,1921,1259,1167
PA4677,2395,2271,2139,2599,2442,2147
rimI,122,116,143,203,181,127
PA4679,820,1073,670,736,937,855
PA4680,464,424,256,403,446,308
PA4681,731,556,432,673,712,616
PA4682,1030,807,642,1100,1034,945
PA4683,589,1233,592,1127,840,1110
PA4684,423,457,580,733,651,629
PA4685,51,42,44,55,56,43
PA4686,1709,1774,2500,3484,2634,2381
hitA,2160,3439,2051,2899,2482,2152
hitB,793,1465,684,829,880,787
PA4689,3794,2903,3211,4135,4051,3719
PA4690,651,621,496,680,864,763
PA4690a,650,675,511,680,799,664
PA4690.3,51,42,86,83,62,59
PA4690.4,125,99,161,175,129,130
PA4691,669,986,396,495,790,663
PA4692,1240,1891,712,940,1470,1214
pssA,1589,1722,1652,2815,2098,2152
ilvC,7988,9156,8588,11072,11822,10474
ilvH,702,664,1132,1826,1162,1213
ilvI,1959,1936,2761,4624,3183,3016
PA4697,609,571,752,1045,956,844
PA4698,841,979,765,740,1061,858
PA4699,2039,2464,2115,2735,3227,2703
mrcB,1433,1528,1512,2047,1994,1937
PA4701,3522,2790,3499,5173,3667,3395
PA4702,4728,4219,2887,3596,3692,2970
PA4703,588,544,386,494,350,383
cbpA,957,910,776,918,715,605
prrF1,45,56,42,93,57,59
prrF2,27,23,35,25,40,37
PA4705,530,515,514,632,634,546
PA4461,1665,1557,1696,2866,2271,2186
PA4707,574,926,465,453,759,612
phuT,895,1445,687,860,1094,864
PA4709,257,1155,177,208,275,249
phuR,388,653,299,410,455,433
PA4711,370,414,321,418,608,508
PA4712,403,384,302,369,351,309
PA4713,720,850,456,479,625,498
PA4714,2515,2836,1885,2551,2592,2656
PA4715,1737,1534,2314,3353,2203,2014
PA4716,875,925,634,735,1140,950
PA4717,2544,2568,1822,2507,2535,2138
PA4718,630,685,560,899,778,718
PA4719,773,611,698,895,806,661
trmA,622,597,696,841,741,657
PA4721,705,725,725,760,939,798
PA4722,2004,1933,1607,1883,2232,1959
dksA,831,752,1132,1846,1097,1111
PA4724,555,585,456,532,650,559
PA4724.1,51,47,63,109,102,86
cbrA,1479,1354,1427,1978,1975,1864
cbrB,6205,5823,5292,6914,8293,7723
PA4726.1,17,4,22,30,21,20
crcZ,48334,74090,46207,143227,107739,123171
PA4726.2,46672,73595,44334,140265,104771,120319
pcnB,2065,1914,2120,3107,2656,2643
folK,311,317,408,458,452,422
panB,479,549,820,1488,837,823
panC,995,973,1455,1841,1641,1496
panD,119,132,170,351,215,203
pgi,4598,3528,3727,5337,6153,5293
acsB,5004,2970,3312,4888,4985,3710
PA4734,786,804,663,853,1241,1099
PA4735,8139,6737,7174,10275,7985,7045
PA4736,1598,1499,1299,1929,1847,1658
PA4737,1299,1301,956,1119,1235,1090
PA4738,46993,34078,38358,48478,43001,34294
PA4739,91890,46773,64678,102296,77381,63564
pnp,8288,10126,11840,19229,11327,10655
rpsO,910,1050,1204,1867,1585,1358
truB,1092,1335,1164,1510,1449,1438
rbfA,164,176,248,468,275,261
infB,8975,9762,13834,17348,12736,11981
nusA,3007,2807,4414,5936,4058,3496
PA4746,111,134,136,327,179,194
PA4746.1,36,52,52,135,48,61
PA4746.2,86,88,126,236,148,147
secG,837,855,1038,1363,1055,1025
tpiA,2996,3589,3254,3903,4122,3654
glmM,6669,5790,6461,8555,9186,8125
folP,2285,2737,2163,2390,3482,3079
ftsH,20990,18752,17070,21932,25796,22328
ftsJ,1035,1288,1303,1646,1420,1245
PA4753,446,546,428,670,493,513
PA4754,932,1152,921,1156,1158,1113
greA,2465,2840,2738,3843,3597,3295
carB,10054,10110,11455,15910,12813,11770
PA4757,2028,2438,1635,2032,1921,1758
carA,3415,3576,3395,5436,3290,3438
PA4758.1,48,56,73,101,68,39
dapB,4440,6126,5264,6303,5855,4826
dnaJ,9611,11938,10883,12478,11965,9681
dnaK,65419,68504,68765,90429,77641,65637
grpE,10479,9902,12125,13571,10715,8755
recN,2049,1545,1291,1963,2618,2260
fur,2369,2976,1923,2681,3497,3124
omlA,727,721,841,1323,1079,983
PA4766,267,332,282,335,432,301
PA4767,1206,1093,1016,1191,1354,1006
smpB,881,982,939,1218,1348,1186
PA4769,1120,1330,934,1154,1601,1397
lldP,644,598,561,626,835,690
lldD,607,528,552,646,818,635
PA4772,1012,985,1028,1227,1411,1144
PA4773,726,1778,808,1305,2234,3154
PA4774,859,2263,973,1496,2475,3907
PA4775,907,2233,913,1058,1764,2911
pmrA,624,758,610,753,761,1011
pmrB,606,713,564,643,674,791
cueR,1825,1524,1613,2236,1595,1364
PA4779,508,438,394,489,579,494
PA4780,1765,1543,1156,1291,1129,912
PA4781,7970,7361,4202,4760,5350,4478
PA4782,1113,2421,1067,896,2429,2623
PA4783,562,714,774,752,1133,945
PA4784,271,251,309,410,338,332
PA4785,3472,2146,2624,3055,3794,2980
PA4786,4768,3209,3141,3889,5418,4113
PA4787,5085,4256,3903,4462,7202,5516
PA4788,806,582,530,762,892,756
PA4789,133,140,146,165,186,157
PA4790,263,292,201,299,356,327
PA4791,837,836,622,753,1050,866
PA4792,1031,1131,738,898,1106,916
PA4793,1978,1532,1562,2159,2513,2333
PA4794,504,551,446,552,739,665
PA4795,494,524,342,502,669,688
PA4796,671,679,493,648,858,769
PA4797,429,477,341,415,759,569
PA4798,885,910,938,1111,1148,1033
PA4799,351,440,324,383,476,393
PA4800,197,175,141,190,225,194
PA4801,163,204,147,162,214,192
PA4802,133,159,125,184,219,197
PA4802.1,18,30,47,80,47,52
PA4803,745,734,566,723,1092,887
PA4804,463,463,366,403,604,485
PA4805,225,188,209,261,297,268
PA4806,459,436,361,431,698,544
selB,2991,2947,2210,2613,4273,3679
selA,2962,2933,2028,2466,4021,3494
fdhE,1175,1205,869,1098,1766,1705
fdnI,2005,2142,1363,1643,3066,2407
fdnH,3138,3209,2303,3012,5186,4304
fdnG,12276,12206,8969,13247,19147,16043
lipC,267,209,126,184,273,220
fadH2,133,115,114,201,197,137
PA4815,121,117,111,143,143,138
PA4816,377,297,359,331,455,371
PA4817,65,71,84,80,88,66
PA4818,142,179,143,119,185,127
PA4819,37,23,40,50,49,26
PA4820,42,46,30,29,57,36
PA4821,317,388,370,441,583,422
PA4822,231,226,238,238,267,257
PA4823,7,3,6,7,13,3
PA4824,62,57,49,52,88,49
PA4505,13260,4579,12473,15639,7729,4824
PA4826,213,127,164,207,196,228
PA4827,666,797,506,620,794,719
PA4828,333,275,314,445,372,330
lpd3,1623,1450,1444,1562,1784,1439
PA4830,241,236,222,282,396,325
PA4831,394,301,361,468,685,545
PA4832,251,247,255,258,478,355
PA4833,1447,1340,971,1177,1693,1410
PA4834,213,233,162,258,326,278
PA4835,210,215,115,185,318,229
PA4836,195,227,130,105,220,230
PA4837,319,444,187,262,332,365
PA4838,154,167,178,205,237,210
speA,2573,2093,2471,3218,2358,2049
PA4840,181,151,175,224,215,180
PA4841,2493,2674,1737,1936,2717,2410
PA4842,12590,11556,8581,9859,12057,10180
PA4843,13668,13970,8533,11720,14153,12022
PA4844,668,782,485,730,703,688
dipZ,794,875,837,944,916,889
aroQ1,696,872,670,1324,961,1251
accB,8700,9076,7395,9101,7986,8580
accC,10889,11943,10812,14483,10581,11815
PA4849,93,116,89,124,123,94
prmA,1410,1324,1232,1374,1692,1514
PA4851,755,870,834,1110,1205,1092
PA4852,544,672,747,940,932,821
fis,68,60,164,345,115,135
purH,800,685,1295,1723,943,913
purD,679,727,1040,1367,853,786
retS,2395,2376,1955,2378,2582,2064
PA4857,173,150,116,195,222,168
PA4858,115,174,127,143,215,170
PA4859,71,66,68,75,124,78
PA4860,57,85,63,81,91,81
PA4506,7280,2512,7944,12257,4942,3220
PA4576,6566,5487,6286,8214,10254,8885
PA4863,227,231,239,282,318,250
ureD,212,253,209,253,248,250
ureA,143,162,204,263,179,205
PA4866,274,373,375,451,326,390
ureB,164,271,221,334,204,268
ureC,1249,1577,1412,2138,1369,1380
PA4869,920,912,765,1081,975,854
PA4870,545,510,520,720,616,538
PA4871,480,617,521,586,985,836
PA4872,1789,1922,1586,1893,3240,2719
PA4873,2305,2247,1650,1800,2208,1685
PA4874,5923,4617,4384,5252,5106,4175
osmE,13629,9747,11560,23516,17181,14237
PA4877,8984,5527,4900,5435,9082,6552
PA4878,851,993,684,903,1258,1057
PA4879,3396,2283,2070,2443,3960,3076
PA4880,12935,9383,9978,16612,26035,20969
PA4881,54,51,55,59,718,623
PA4882,56,39,25,52,70,70
PA4883,14,8,20,14,27,15
PA4884,52,38,38,55,54,41
irlR,295,255,217,265,345,307
PA4886,415,502,438,449,661,570
PA4887,440,590,472,520,604,587
desB,1635,1847,1379,1887,2387,2173
PA4889,4610,5686,2982,3094,6474,5459
desT,585,643,480,634,825,711
ureE,132,186,110,133,167,151
ureF,131,164,103,130,146,142
ureG,181,268,174,257,226,205
PA4894,212,374,260,260,267,315
PA4895,138,462,148,131,149,145
PA4896,59,246,25,47,57,55
PA4897,508,573,419,477,605,504
opdK,90,63,81,109,144,101
PA4899,1518,1559,1225,1359,2125,1630
PA4900,129,112,104,131,193,150
mdlC,140,124,146,138,227,194
PA4902,316,281,268,271,518,452
PA4903,109,135,107,110,166,147
vanA,242,176,156,202,236,192
vanB,303,275,286,287,327,288
PA4906,691,672,670,732,993,897
PA4907,2350,1820,2365,3442,3087,2783
PA4908,2324,843,1381,1420,939,541
PA4594,254,262,172,250,320,305
PA4595,12515,8019,13828,18826,13712,11646
PA4911,1609,421,761,1024,708,419
PA4912,1007,302,497,898,510,355
PA4913,7096,3406,4058,5979,5274,3634
PA4914,1179,732,815,1139,1127,778
PA4915,4420,3573,3077,3939,3744,3040
PA4916,4562,4502,4067,4438,3605,2910
