,PAO1-1,PAO1-2,DKT-2-1,DKT-2-2,DKT-1-1,DKT-1-2
PA2127,2340,799,2147,3234,2423,2209
cupA1,278,226,294,519,160,161
cupA2,37,21,18,34,12,10
cupA3,183,195,138,157,198,141
cupA4,66,75,47,49,58,47
cupA5,16,25,32,16,12,11
PA2133,26,27,18,25,16,27
PA2134,2308,1196,776,1095,1065,836
PA2135,650,431,209,234,336,253
PA2136,278,104,246,224,243,188
PA2137,82,41,39,44,125,116
PA2138,500,364,212,227,666,589
PA2140,591,335,112,162,281,259
PA2141,900,445,178,237,390,383
PA2142,2282,1408,870,1072,1422,1199
PA2142a,761,607,391,601,561,486
PA2143,1316,736,431,655,831,680
glgP,5860,3247,2079,2808,4062,3492
PA2145,644,395,291,327,528,396
PA2146,979,314,587,596,418,361
katE,6328,2777,2750,3894,2982,2398
PA2148,1134,753,412,426,781,561
PA2149,303,97,126,170,225,156
PA2150,1255,511,461,638,843,617
PA2151,4048,1950,1383,1482,2610,2053
PA2152,8795,4174,4208,5255,7410,5410
glgB,8095,4625,4169,4871,5918,4321
PA2154,1518,1068,819,905,1010,713
PA2155,785,575,387,438,593,435
PA2156,562,403,264,249,401,322
PA2157,1300,933,640,762,970,815
PA2158,3057,1807,1491,1825,1984,1492
PA2159,2315,1822,1397,2398,1762,1544
PA2160,11943,7346,6685,9127,7720,5915
PA2161,1403,754,861,1029,1052,819
PA2162,7351,4024,2837,3060,4857,3513
PA2163,7158,3651,2394,2416,4568,3638
PA2164,5610,2746,1707,2008,3570,2935
PA2165,5375,2442,1630,1991,3090,2556
PA2166,6819,3582,3692,4912,4674,4281
PA2167,4368,2130,1666,1757,3936,3015
PA2168,1686,765,623,694,1565,1161
PA2169,3531,2056,1255,1595,1864,1568
PA2170,2167,1430,693,778,1080,911
PA2171,3778,1917,1837,2963,2212,1944
PA2172,9430,6248,3656,4603,5353,4391
PA2173,4046,2348,1704,1866,2224,1755
PA2173a,367,292,202,322,264,212
PA2174,942,578,548,726,576,480
PA2175,1441,1046,660,671,1434,1115
PA2176,2656,1893,1168,1353,2771,2162
PA2177,2347,1620,1464,1855,2515,1939
PA2178,691,401,376,400,671,542
PA2179,1440,633,409,498,912,763
PA2180,2527,995,697,859,1505,1273
PA2181,1458,1105,540,629,798,704
PA2182,604,479,317,507,430,367
PA2183,348,213,144,198,231,217
PA2184,607,412,244,414,521,463
katN,347,218,183,285,270,281
PA2187,231,166,86,116,143,141
PA2188,597,339,215,296,365,306
PA2189,162,82,59,106,99,100
PA2190,3770,2493,2296,3198,2923,2259
exoY,730,604,486,667,595,597
PA2192,492,229,134,126,290,240
hcnA,1149,799,698,878,584,507
hcnB,5230,3815,3607,4122,2531,2187
hcnC,9570,7773,5604,6191,4115,3686
PA2196,376,335,283,366,1941,1622
PA2197,2276,2255,1989,2903,33741,28458
PA2198,344,372,311,373,5351,4121
PA2199,1621,1600,1239,1504,19010,15634
PA2200,534,576,450,531,5466,4479
PA2201,245,243,229,294,326,261
PA2202,210,206,135,186,216,173
PA2203,117,129,69,67,92,106
PA2204,1863,1318,1071,1468,1714,1312
PA2205,93,107,73,87,121,112
PA2206,544,411,319,385,524,449
PA2207,134,105,79,91,142,89
PA2208,16,22,17,21,25,15
PA2209,48,29,19,44,61,52
PA2210,119,154,72,103,205,166
PA2211,186,179,109,126,235,192
PA2212,305,236,201,256,454,315
PA2213,66,37,35,47,59,39
PA2214,33,33,29,34,40,29
PA2215,151,142,157,255,194,190
PA2216,190,107,141,228,181,152
PA2217,224,167,188,231,231,188
PA2218,237,217,223,367,592,487
opdE,60,61,81,101,291,275
PA2220,352,378,396,702,844,834
PA2221,136,133,105,171,173,128
PA2222,418,314,409,734,456,360
PA2223,663,439,652,1347,621,605
PA2224,63,49,54,144,61,54
PA2225,51,37,27,72,42,36
PA2226,125,75,98,230,99,73
vqsM,72,75,101,303,90,84
PA2228,60,51,50,84,62,63
PA2229,1108,944,717,831,1069,866
PA2230,253,252,250,292,296,265
pslA,2506,1889,1792,2832,2148,1822
pslB,13783,10460,7850,9548,8530,7014
pslC,2840,2496,1819,2465,2163,1944
pslD,2905,2148,2195,3298,1964,1894
pslE,13168,9250,8262,10413,7627,6007
pslF,4515,3499,2819,3132,3045,2413
pslG,2138,1906,1369,1750,1650,1320
pslH,3488,3444,1978,2120,2539,2165
pslI,1960,1890,1126,1375,1510,1354
pslJ,2528,2387,1516,1727,1795,1544
pslK,1201,1135,639,683,834,713
pslL,1800,1427,1208,1724,1416,1270
pslM,314,301,222,222,313,238
pslN,1585,1140,814,901,1877,1511
bkdR,546,424,351,432,631,482
bkdA1,70697,42296,41982,71263,77971,64097
bkdA2,107468,71539,59479,78541,102723,77346
bkdB,126949,85762,69257,84294,116661,83352
lpdV,141141,102691,82571,89867,118880,84509
PA2251,303,222,285,398,355,311
PA2252,210,185,250,269,242,184
ansA,477,394,306,393,501,426
pvcA,27,26,49,44,71,54
pvcB,55,49,40,52,85,73
pvcC,42,53,43,40,75,53
pvcD,47,35,25,19,35,25
ptxR,150,105,107,147,141,110
ptxS,895,987,717,1006,1635,1174
PA2260,283,334,259,296,477,275
PA2261,250,269,236,299,364,253
PA2262,247,193,158,257,348,245
PA2263,394,297,294,313,572,353
PA2264,1771,1221,1337,1697,1847,1482
PA2265,2666,1820,2171,3350,2942,2360
PA2266,3040,2381,2455,2948,3416,2459
PA2267,592,594,609,637,1095,834
PA2268,354,333,245,263,550,485
PA2269,373,367,347,317,730,593
PA2270,286,205,226,298,528,444
PA2271,340,305,339,345,545,470
pbpC,927,889,844,939,1377,1180
soxR,620,664,456,472,814,702
PA2274,133,140,92,123,99,80
PA2275,205,241,161,184,256,216
PA2276,131,117,126,134,203,209
arsR,105,103,94,125,233,181
arsB,135,206,175,224,314,280
arsC,116,113,169,243,277,249
PA2280,348,280,445,546,582,522
PA2281,388,354,438,456,552,471
PA2282,62,47,69,77,107,87
PA2283,189,231,170,156,287,212
PA2284,212,144,139,132,259,237
PA2285,183,194,154,154,287,221
PA2286,647,639,443,425,821,670
PA2287,1264,1245,774,789,1485,1075
PA2288,2091,1767,1087,1019,2139,1551
PA2289,733,632,593,792,599,505
gcd,4807,4059,4288,5796,3725,3038
PA2291,12664,4684,7985,11538,6859,3460
PA2292,94,88,95,105,115,95
PA2293,387,166,241,221,260,210
PA0779,16983,17388,19679,26227,21251,18500
PA2295,79,36,47,52,41,31
PA2296,209,109,125,192,167,129
PA2297,72,49,38,73,62,61
PA2298,636,536,384,620,718,587
PA2299,289,297,188,234,319,308
chiC,1964,2497,498,561,587,531
PA2301,1571,1704,1084,1060,1117,910
ambE,39826,44638,30340,29274,25166,20772
ambD,2973,3004,2614,3259,1986,1655
ambC,4964,4764,4063,4929,3097,2809
ambB,7514,7713,7164,7785,6840,5544
ambA,565,589,793,1054,820,808
PA2307,84,69,72,95,90,75
PA0860,1538,1219,953,1122,1559,1296
PA2309,162,122,98,111,110,86
PA2310,124,94,91,117,120,102
PA2311,131,154,89,93,166,147
PA2312,275,223,125,132,229,205
PA2312a,59,53,123,131,100,98
PA2314,74,82,80,70,392,348
PA2315,94,98,59,67,803,770
PA2316,431,289,330,374,539,446
PA2317,2640,1398,1385,2099,1135,909
PA2318,3482,2283,2114,2675,1593,1186
PA2319,441,466,319,449,780,602
gntR,479,551,394,463,1511,1200
PA2321,91,85,115,136,206,166
PA2322,226,158,249,283,686,450
PA2323,3591,2187,3538,4662,5372,4389
PA2324,77,61,81,81,112,101
PA2325,139,110,108,123,145,115
PA2326,140,104,101,113,144,150
PA2327,1435,814,684,680,1079,983
PA2328,1882,1058,959,980,1545,1381
PA1045,750,791,860,1113,1073,998
PA2330,2704,2263,1312,1463,2299,2103
PA2331,2773,1769,1308,1536,1920,1703
PA2332,509,564,476,556,653,519
PA2333,190,259,167,261,259,251
PA2334,88,94,60,79,122,111
PA2335,83,113,74,61,96,86
PA2336,71,88,61,99,70,85
mtlR,285,210,195,248,332,264
PA2338,323,229,210,261,411,331
PA2339,182,159,136,154,208,167
PA2340,122,66,96,89,136,95
PA1113,963,954,752,897,1059,984
mtlD,305,196,174,190,245,176
mtlY,124,116,100,119,136,111
mtlZ,1111,1211,956,903,987,835
PA2345,2579,2218,2157,2265,2248,1907
PA2346,58,47,66,56,66,74
PA2347,78,73,81,79,71,86
PA2348,77,38,75,72,62,60
PA2349,40,49,42,49,53,37
PA1256,520,218,364,545,328,200
PA2351,34,36,44,60,41,43
PA2352,172,155,210,262,151,155
PA2353,210,242,208,282,348,331
PA2354,63,54,45,71,80,54
PA2355,133,149,70,98,117,101
msuD,57,80,52,64,81,85
msuE,31,25,24,37,44,49
PA2358,130,154,97,146,207,217
PA2359,252,245,165,251,328,270
PA2360,1698,1784,982,1030,844,689
PA2361,1869,1902,1209,1295,1050,911
PA2362,604,620,440,440,353,286
PA2363,2822,2882,1740,1719,1585,1342
PA2364,809,811,537,640,727,583
PA2365,492,551,331,466,277,254
PA2366,1302,1073,969,1441,662,585
PA2367,405,336,329,692,224,206
PA2368,646,550,438,437,279,259
PA2369,1358,1174,843,892,620,495
PA2370,677,688,424,379,324,284
PA2371,2005,2022,1176,1266,1101,842
PA2373,1589,1284,1001,1367,1149,997
PA2374,873,696,535,577,669,434
