,Emp_20_2.EDGE-pro.rpkm_0,Emp20_Dihydroxy_2.EDGE-pro.rpkm_0,Emp20_Dihydroxy.EDGE-pro.rpkm_0,Emp20_monohydroxy_2.EDGE-pro.rpkm_0,Emp20_monohydroxy.EDGE-pro.rpkm_0,Emp20_Oleic_acid_2.EDGE-pro.rpkm_0,Emp20_Oleic_acid.EDGE-pro.rpkm_0,Emp_20.EDGE-pro.rpkm_0
PA4463,19282,17613,34530,50307,22363,12060,28406,21424
PA4464,31186,30742,59176,87179,37169,20810,44352,33706
PA4465,5753,7039,8101,6337,7775,3703,6617,8180
PA4466,1223,1194,2531,2489,1578,1112,2156,1471
PA4467,171,242,440,123,140,136,238,307
PA4468,541,1668,1588,277,549,1330,1686,1682
PA4469,642,2103,1677,275,481,1303,1811,1433
PA4470,1232,4878,7695,920,1321,3403,3800,2641
PA4471,147,1599,1903,180,322,673,1399,1748
PA4472,1255,857,1815,1179,1235,1023,854,891
PA4473,1024,2227,3182,1286,1851,732,1360,2022
PA4474,376,253,444,339,410,152,418,609
PA4475,62,144,207,50,178,34,127,36
PA4476,919,947,1216,796,1485,618,694,967
PA4477,2012,1603,2951,3393,3301,1707,2149,2788
PA4478,78,80,31,57,77,42,39,74
PA4479,76,252,88,116,220,55,148,106
PA4480,329,765,323,180,330,94,414,573
PA4481,2268,2420,3795,2158,2271,1520,3032,3387
PA4482,1092,612,967,816,862,568,967,1297
PA4483,3852,2914,4232,4022,3862,2358,3856,4595
PA4484,1855,2362,3188,1846,2574,853,1385,3301
PA4485,16,17,8,20,18,3,13,57
PA4486,82,176,111,146,113,69,228,249
PA4487,449,1136,759,268,725,171,367,694
PA4488,120,199,264,69,185,50,123,135
PA4489,920,1332,2076,1074,2202,456,1141,1768
PA4490,1449,1515,2437,1286,1667,1229,1657,1752
PA4491,1013,1272,1448,766,1892,732,1226,1176
PA4492,663,487,728,629,604,513,668,911
PA4493,924,1352,1315,1026,1522,560,915,1069
PA4494,2028,2117,2207,2776,2734,1515,2295,2408
PA4495,1291,2327,1790,902,1948,350,856,1567
PA4496,7060,3968,5357,4594,5997,3458,4705,4580
PA4497,1612,960,1028,849,1467,478,1121,1225
PA4498,123,112,154,148,284,20,40,148
PA4499,357,448,220,344,540,243,637,402
PA4500,3770,2754,4487,3257,4821,2470,3254,3725
PA4501,286,141,248,825,1536,400,461,284
PA4502,948,660,682,579,1069,408,697,1108
PA4503,641,829,783,1605,967,545,883,1004
PA4504,275,96,151,203,404,125,261,208
PA4505,121,120,53,137,329,72,108,291
PA4506,201,142,257,160,545,88,268,304
PA4507,25,140,78,12,55,79,196,287
PA4508,13,17,0,2,11,18,17,22
PA4509,16,10,0,1,0,3,19,15
PA4510,22,140,32,6,16,3,16,72
PA4511,114,170,82,52,128,32,137,217
PA4512,1101,1263,1539,1262,1394,680,1441,1301
PA4513,59,58,483,147,139,94,119,217
PA4514,1922,2176,3806,3619,2837,2528,3446,3655
PA4515,600,554,553,491,691,264,481,1176
PA4516,420,184,298,278,517,156,235,723
PA4517,358,385,440,602,679,617,889,746
PA4518,29,20,6,16,35,15,31,84
PA4519,2100,1204,2145,2782,1855,1143,2944,2076
PA4520,621,583,1126,950,986,492,721,443
PA4521,230,284,253,145,252,131,297,220
PA4522,227,157,34,220,114,58,157,202
PA4523,3270,3309,4792,4272,3760,1588,2347,3850
PA4524,292,419,510,295,512,216,425,361
PA4524.1,353,279,495,759,601,167,633,425
PA4525,77311,55459,121286,165627,130486,50003,106497,94097
PA4526,5851,4600,5717,8413,6870,3727,5146,6545
PA4528,756,447,1019,855,937,338,764,750
PA4529,375,494,340,285,494,72,324,371
PA4530,367,668,188,154,352,66,177,365
PA4531,161,173,57,62,111,41,67,135
PA4532,59,208,127,133,222,73,135,146
PA4533,61,32,46,57,85,41,25,8
PA4534,504,514,623,216,558,141,355,481
PA4535,535,848,759,409,674,462,458,573
PA4536,92,268,231,97,212,62,167,229
PA4537,142,366,513,152,271,92,330,245
PA4538,1060,1211,1195,801,1327,366,1076,1654
PA4539,302,459,510,309,313,209,437,300
PA4540,15,2,96,15,31,58,30,11
PA4541,225,307,128,168,395,116,207,241
PA4541.1,6,2,10,12,24,2,32,1
PA4541.2,10,6,42,19,24,2,36,4
PA4541.3,10,7,43,20,24,2,34,4
PA4542,1477,1928,2714,1783,2398,1048,1861,2158
PA4543,61,142,158,30,79,44,83,150
PA4544,342,463,575,208,591,271,420,337
PA4545,3881,3855,4050,2716,3780,2091,3440,4345
PA4546,1170,1716,1643,823,1566,422,879,1114
PA4547,1474,1548,1858,1116,1638,1089,790,1475
PA4548,49,124,26,18,127,36,17,147
PA4549,44,6,27,38,40,6,5,13
PA4550,429,460,417,529,576,124,508,697
PA4551,957,645,1038,1074,1060,355,835,1019
PA4552,1102,989,1370,1139,1380,479,851,571
PA4553,1417,1273,1575,1596,1730,508,1029,884
PA4554,11379,7355,10489,12921,10775,6234,7531,7046
PA4555,371,229,357,649,520,111,469,266
PA4556,3878,3232,3433,2998,5134,2153,3323,2644
PA4557,2234,1899,2153,1540,2687,1046,2197,1754
PA4558,302,302,700,333,716,211,383,499
PA4559,611,420,1072,583,991,366,471,713
PA4560,6012,5102,8248,6651,9050,3663,5463,7647
PA4561,263,165,217,252,188,88,211,431
PA4562,199,209,110,100,130,67,242,226
PA4563,7094,5661,14637,11517,10217,7189,12295,7488
PA4564,2181,1694,4880,3399,3081,2187,2947,2669
PA4565,800,425,749,442,1089,285,322,687
PA4566,577,625,1166,482,1238,238,629,874
PA4567,439,640,954,1077,981,724,1128,1093
PA4568,4903,6155,11493,10500,8598,7942,8639,9468
PA4569,1795,1730,2179,1587,1609,755,1668,2425
PA4570,225,251,537,138,277,326,461,401
PA4571,930,1260,1186,1028,1610,736,1369,2733
PA4572,402,484,575,220,575,90,186,706
PA4573,48,47,63,18,51,20,57,59
PA4574,126,146,202,297,63,54,180,149
PA4575,86,77,45,60,126,53,49,190
PA4576,2203,2961,4659,2716,4074,1351,2965,3298
PA4577,147,222,171,84,204,64,212,212
PA4578,14143,16457,15480,13053,20749,4790,9826,16013
PA4579,3554,4501,3961,2497,4886,973,1941,4202
PA4580,76,76,255,247,175,125,112,111
PA4581,83,143,30,61,128,45,137,202
PA4581.1,68,40,83,23,32,26,71,134
PA4582,103,124,108,56,82,95,19,157
PA4583,85,47,192,129,109,19,1,161
PA4584,84,30,0,41,20,27,0,26
PA4585,28,77,18,24,43,9,70,142
PA4586,14,14,20,0,16,4,17,14
PA4587,5952,3878,3993,4671,7894,1366,2918,5522
PA4588,1098,1138,1512,549,1099,252,650,1564
PA4589,99,305,112,86,163,67,167,74
PA4590,787,784,777,338,623,438,665,1081
PA4591,38,47,31,52,36,9,51,68
PA4592,144,183,250,109,177,33,149,116
PA4593,28,32,43,5,18,16,4,48
PA4594,30,179,6,27,53,22,81,95
PA4595,2624,2727,2610,1846,2997,958,1770,2957
PA4596,115,1620,1673,373,901,260,444,593
PA4597,9,59,55,7,32,9,43,26
PA4598,103,66,81,107,132,98,43,57
PA4599,4,13,0,0,0,0,6,23
PA4600,425,201,723,309,425,150,407,766
PA4601,2939,3411,4641,3020,4273,2066,3386,3342
PA4602,7326,6570,7726,6485,7923,4197,7615,9784
PA4603,86,123,154,46,104,14,87,134
PA4604,223,522,326,436,416,78,415,223
PA4605,435,405,810,285,798,215,256,428
PA4606,5713,6254,9387,6413,9031,3740,5970,6291
PA4607,3458,1903,1182,1463,2347,567,1465,2613
PA4608,606,520,1005,532,784,157,246,598
PA4609,417,575,766,253,693,145,232,529
PA4610,37,108,26,15,44,18,41,42
PA4611,2293,1958,4411,2688,2919,1132,2771,2862
PA4612,340,358,563,244,445,279,428,393
PA4613,141,106,53,119,89,154,40,113
PA4614,597,553,709,467,775,828,797,682
PA4615,262,388,243,139,325,151,270,300
PA4616,376,119,336,273,153,80,204,314
PA4617,76,101,66,134,109,54,46,158
PA4618,241,130,106,302,167,139,129,214
PA4619,853,466,709,941,912,689,660,888
PA4620,83,19,123,63,121,44,63,223
PA4621,334,310,483,293,652,198,473,256
PA4622,72,58,17,38,4,26,36,78
PA4623,60,208,87,23,118,15,81,109
PA4624,301,334,263,167,245,157,250,390
PA4625,499,460,1019,702,759,490,572,732
PA4626,205,165,286,166,198,80,219,242
PA4627,38,32,58,15,17,7,31,64
PA4628,341,263,394,265,393,192,180,276
PA4629,422,189,422,153,358,181,251,312
PA4630,345,264,806,513,814,193,309,329
PA4631,344,321,414,208,468,169,450,536
PA4632,388,419,539,327,343,161,258,449
PA4633,2322,2366,3506,1213,2735,1052,1492,2916
PA4634,86,129,113,17,139,18,69,213
PA4635,117,145,95,41,56,36,87,75
PA4635a,4,44,21,3,5,0,4,7
PA4636a,0,6,24,1,0,0,10,4
PA4636,2016,2425,2956,2118,2663,1439,2925,3517
PA4637,68,88,99,66,80,26,86,101
PA4637a,35408,7836,15118,16779,14515,14805,13451,18839
PA4639,24408,6100,11279,10576,10500,9318,8390,13714
PA4640,4884,4112,6193,5205,4879,1747,2908,5201
PA4642,490,1017,1288,794,1005,597,836,928
PA4643,960,1423,2136,1192,1842,989,1243,1771
PA4644,99,110,79,25,77,21,70,104
PA4645,522,469,1131,607,510,463,714,267
PA4646,455,414,337,371,475,280,393,758
PA4647,306,440,624,325,826,200,467,703
PA4648,1175,477,612,276,319,212,304,620
PA4649,404,166,178,75,192,72,87,403
PA4650,180,142,243,49,80,30,115,129
PA4651,220,165,259,19,152,18,154,110
PA4652,565,439,428,223,251,143,133,288
PA4653,585,542,307,216,181,119,177,349
PA4654,96,263,404,33,87,35,67,72
PA4655,511,536,826,430,680,316,424,513
PA4656,89,93,128,98,96,42,185,88
PA4657,1098,2271,2326,1066,1589,620,1234,1271
PA4658,143,293,95,83,318,153,116,246
PA4659,182,116,77,121,299,91,112,242
PA4660,259,240,121,123,177,48,106,116
PA4661,4250,4304,7904,4451,6318,2907,5143,5360
PA4662,446,797,934,210,768,507,592,687
PA4663,33,48,10,2,41,2,29,22
PA4664,62,146,94,52,104,57,35,161
PA4665,354,240,429,328,608,305,384,457
PA4666,137,359,392,147,227,83,183,323
PA4667,5240,4976,7627,3722,6148,2328,4247,6586
PA4668,551,706,742,275,809,192,510,821
PA4669,630,1211,1241,784,961,413,779,1140
PA4669.1,83,75,292,185,108,47,101,76
PA4670,5275,5872,6657,8366,3644,3393,6807,7857
PA4671,21901,30007,47918,26247,36856,15874,41883,54938
PA4672,901,780,939,1139,915,1101,1099,1837
PA4673,1524,1588,1765,2147,1512,1134,2512,2863
PA4673.1,18,7,2,37,23,15,38,49
PA4674,33,13,75,80,41,59,114,17
PA4675,482,688,572,505,690,412,790,1217
PA4676,722,773,1111,493,708,214,487,983
PA4677,152,290,164,57,223,62,173,305
PA4678,273,291,375,204,300,187,227,338
PA4679,122,183,108,123,110,136,102,66
PA4680,56,8,6,8,38,5,10,25
PA4681,367,273,150,116,227,125,284,233
PA4682,457,381,453,447,708,343,356,365
PA4683,928,765,760,1468,1306,505,917,859
PA4684,369,546,626,389,449,177,302,658
PA4685,4,7,14,7,2,1,9,7
PA4686,2322,1533,2378,3180,2632,1667,2542,2599
PA4687,2190,2623,4520,2367,3961,2295,2764,3252
PA4688,913,1157,983,772,1161,554,983,1369
PA4689,1091,1170,1315,877,1426,420,942,1632
PA4690,220,205,351,148,363,140,205,220
PA4690a,351,405,248,345,660,201,255,334
PA4690.1,9,23,3,18,15,4,14,16
PA4690.2,7162,66580,42283,33119,42212,109421,51338,14025
PA4690.3,60,58,152,139,82,62,126,67
PA4690.4,193,78,277,353,158,166,266,170
PA4690.5,2309,26814,11876,15755,18682,62643,22548,3215
PA4691,315,163,410,215,252,206,257,417
PA4692,110,59,302,263,258,65,249,153
PA4693,5543,4714,6665,6405,5789,3884,5299,6735
PA4694,55379,66264,96080,60215,67679,50787,96298,101716
PA4695,3229,3763,5924,4041,5072,5034,6130,9617
PA4696,15827,19935,24102,27505,26527,26450,38578,58113
PA4697,1768,1224,1594,1794,1530,739,1618,1433
PA4698,175,70,236,103,205,135,322,109
PA4699,203,288,563,152,455,166,328,347
PA4700,687,623,1168,342,975,325,299,771
PA4701,3106,1817,2728,2620,2655,1599,1873,4211
PA4702,71,139,67,41,63,27,23,142
PA4703,308,499,558,338,412,99,227,347
PA4704,274,198,242,109,173,62,152,459
PA4704.1,115,66,61,61,107,36,126,141
PA4704.2,54,164,95,17,83,58,78,149
PA4705,41,198,194,19,73,67,163,164
PA4706,85,218,224,53,165,76,254,264
PA4707,20,26,43,21,26,52,70,24
PA4708,17,56,95,20,32,35,61,100
PA4709,18,438,673,97,343,411,931,744
PA4710,880,4292,5232,1356,1403,5144,6916,6013
PA4711,30,245,250,35,65,125,169,457
PA4712,65,52,56,28,37,45,95,77
PA4713,37,65,115,99,123,68,50,133
PA4714,512,504,534,366,609,147,286,701
PA4715,693,836,1421,536,1088,487,1192,940
PA4716,50,229,146,43,180,40,78,160
PA4717,290,197,176,50,252,85,147,282
PA4718,103,50,73,68,171,52,141,142
PA4719,342,230,353,308,376,204,363,386
PA4720,268,263,296,130,387,79,219,343
PA4721,294,226,107,125,206,39,102,200
PA4722,199,252,287,174,338,49,119,142
PA4723,4398,4705,5600,7979,7121,2644,6033,6735
PA4724,390,429,514,408,579,115,333,644
PA4724.1,209,151,107,125,183,116,228,124
PA4725,1946,2200,2136,1846,2149,1208,2089,2469
PA4726,1989,3548,3304,1472,3233,1132,2208,3079
PA4726.1,148,163,185,145,184,74,121,115
PA4726.11,3050,2225,4167,4605,5927,2370,3721,2968
PA4726.2,29656,24277,54516,67120,65488,28496,43986,33906
PA4727,1835,2478,3462,2157,2281,1206,2134,2756
PA4728,52,180,80,20,132,11,19,107
PA4729,1663,1174,1877,1279,1608,904,1147,1748
PA4730,1094,1056,1257,696,1085,366,758,1510
PA4731,3917,3007,5696,4527,3573,2366,3950,4548
PA4732,3905,2955,5960,4484,5180,1835,3570,4500
PA4733,1191,1067,1208,1032,1932,376,1282,1528
PA4734,306,994,662,172,565,150,358,991
PA4735,5368,5092,7316,4690,6215,3063,4372,5307
PA4736,541,409,1084,879,714,427,436,499
PA4737,173,28,375,177,135,74,108,296
PA4738,102,419,1024,685,603,233,466,631
PA4739,1977,3582,8026,5627,4645,1667,3684,6172
PA4740,9672,9373,10255,10817,9958,6742,8886,15380
PA4741,8103,5811,12977,12695,5208,5043,12918,11227
PA4742,1063,768,1306,952,760,685,1274,1768
PA4743,305,326,354,132,289,164,491,384
PA4744,2990,2921,3703,3251,4107,1546,3006,5332
PA4745,3256,3009,5354,4359,3796,2409,3710,4337
PA4746,839,613,1026,977,673,725,967,847
PA4746.1,7,13,35,15,8,8,1,14
PA4746.2,6,9,24,27,20,9,16,29
PA4747,151,117,214,281,291,161,321,383
PA4748,1638,1045,2183,1359,1175,1321,1343,1973
PA4749,1293,729,1869,1190,1398,805,972,1465
PA4750,55,111,35,17,135,41,113,61
PA4751,7768,6708,11571,8305,9542,4876,8401,9260
PA4752,581,566,446,696,474,283,418,547
PA4753,253,315,267,193,271,295,353,341
PA4754,162,427,253,184,264,29,365,259
PA4755,2913,2507,6219,3016,3947,1582,3518,3901
PA4756,5394,6215,9110,7023,7239,4003,7081,7589
PA4757,404,612,483,295,546,281,456,840
PA4758,2723,2997,4338,2060,2880,1615,2713,4349
PA4758.1,191,65,405,174,127,179,145,214
PA4759,123,316,380,88,257,181,156,381
PA4760,102,281,475,158,313,162,285,412
PA4761,3566,5304,7118,6218,6611,4746,5971,9913
PA4762,437,909,844,596,881,598,714,863
PA4763,427,500,362,304,386,256,462,575
PA4764,1993,2637,5463,2042,2927,2016,2451,3847
PA4765,2096,2845,5468,3185,3077,2066,3027,2719
PA4766,386,610,890,488,743,443,758,459
PA4767,1188,994,1159,1073,1205,585,928,1275
PA4768,185,366,238,83,260,53,99,296
PA4769,302,349,441,120,335,113,201,401
PA4770,702,780,825,686,888,112,605,457
PA4771,201,265,174,123,323,103,247,337
PA4772,429,457,874,506,947,189,306,582
PA4773,2243,1980,3353,2014,2035,2061,4489,2716
PA4774,1561,2124,2339,674,1821,1027,2425,2656
PA4775,535,698,775,254,586,285,953,757
PA4776,180,342,245,107,202,47,235,249
PA4777,1099,1024,1456,310,1185,401,969,1366
PA4778,5545,3479,7086,4180,3572,2727,5116,6677
PA4779,10,31,59,11,39,15,12,130
PA4780,257,423,63,168,233,54,219,428
PA4781,611,552,509,384,652,207,481,837
PA4782,465,671,611,181,588,150,585,673
PA4783,90,83,107,20,77,86,72,108
PA4784,243,120,105,115,242,60,95,126
PA4785,162,133,118,48,45,52,138,114
PA4786,144,97,172,52,29,37,82,105
PA4787,210,291,299,216,416,127,242,467
PA4788,45,77,15,5,17,0,4,67
PA4789,51,19,124,2,16,12,17,32
PA4790,29,59,46,28,51,11,27,107
PA4791,12,96,44,11,65,27,27,60
PA4792,57,92,96,23,55,7,19,57
PA4793,538,1559,594,296,827,272,627,994
PA4794,220,395,439,46,283,37,155,327
PA4795,43,160,38,22,49,8,37,75
PA4796,84,118,113,84,86,29,80,144
PA4797,59,53,160,91,75,41,82,98
PA4798,185,225,71,81,235,53,100,199
PA4799,147,12,27,78,67,19,60,65
PA4800,43,52,89,27,102,29,44,109
PA4801,33,24,15,9,32,4,16,25
PA4802,12,18,0,3,7,6,40,20
PA4802.1,4,0,6,2,5,8,29,22
PA4803,77,298,206,68,156,100,92,243
PA4804,73,146,182,48,133,37,77,225
PA4805,9,5,39,18,20,11,20,25
PA4806,55,75,54,16,94,54,146,68
PA4807,7,79,82,19,97,5,67,55
PA4808,102,184,60,48,158,32,50,137
PA4809,62,29,79,36,72,6,13,126
PA4810,74,9,46,39,140,30,4,65
PA4811,748,463,1057,834,1305,230,595,879
PA4812,3515,2647,3610,3670,4622,868,2593,3899
PA4813,38,3,55,9,6,16,35,29
PA4814,7,28,2,3,10,0,1,6
PA4815,4,25,16,3,14,3,21,17
PA4816,110,81,117,85,175,94,87,102
PA4817,41,17,22,34,19,14,0,12
PA4818,20,12,24,14,17,12,0,10
PA4819,6,0,0,1,11,0,0,0
PA4820,0,1,0,0,7,0,0,0
PA4821,20,25,35,18,7,13,49,33
PA4822,16,25,18,0,15,25,7,8
PA4823,5,0,2,0,1,0,0,4
PA4824,3,0,1,0,0,0,14,6
PA4825,192,362,509,230,141,62,275,239
PA4826,91,157,102,67,139,34,81,178
PA4827,260,669,305,221,433,70,187,522
PA4828,53,47,30,20,52,13,51,89
PA4829,32,65,14,61,44,31,90,84
PA4830,6,3,9,29,37,24,39,88
PA4831,5,31,47,16,74,12,146,79
PA4832,10,20,20,2,24,2,9,5
PA4833,128,163,242,141,111,326,345,656
PA4834,133,288,137,142,182,160,198,201
PA4835,100,15,44,0,25,423,582,293
PA4836,75,0,2,15,5,405,329,222
PA4837,1089,50,8,77,47,5350,4429,4632
PA4838,81,101,22,56,80,132,206,229
PA4839,729,519,837,779,1026,514,845,1050
PA4840,6,27,6,43,25,22,10,34
PA4841,102,158,109,80,199,52,52,150
PA4842,1472,2358,1219,928,1758,514,962,2083
PA4843,5989,11310,14071,7551,13958,3585,8501,8014
PA4844,494,1112,1360,1554,1508,863,990,434
PA4845,474,307,461,112,259,148,279,469
PA4846,1161,907,1764,1162,1990,720,1190,1519
PA4847,3831,1485,1982,3767,3759,2399,3396,3544
PA4848,4552,4229,4494,3899,5884,1385,3663,6628
PA4849,214,214,47,71,95,8,77,237
PA4850,317,455,325,170,345,110,139,645
PA4851,884,908,1260,621,1512,467,784,1306
PA4852,182,625,252,146,287,102,334,576
PA4853,1139,1291,2110,1805,1588,1017,1966,1624
PA4854,1760,1965,2964,2263,2548,1320,2237,4118
PA4855,255,372,308,238,255,110,279,748
PA4856,1606,2380,2476,1235,2419,1029,1522,2646
PA4857,110,181,69,66,128,32,57,154
PA4858,34,60,223,41,68,73,4,20
PA4859,5,7,1,10,3,0,7,4
PA4860,0,3,0,5,16,0,21,9
PA4861,4,2,0,26,14,0,10,5
PA4862,9,2,0,0,1,0,15,8
PA4863,215,749,247,95,231,79,128,332
PA4864,125,99,159,30,121,37,73,37
PA4865,75,103,90,83,72,26,61,59
PA4866,102,64,90,50,115,14,80,112
PA4867,57,193,417,67,246,35,122,163
PA4868,746,1157,1027,511,1295,330,452,816
PA4869,450,544,585,522,317,393,502,809
PA4870,273,360,292,186,265,92,259,323
PA4871,3,38,15,1,3,0,6,19
PA4872,188,346,344,84,212,41,116,181
PA4873,114,32,112,35,74,100,61,143
PA4874,708,1224,898,416,1146,145,604,885
PA4876,2998,2257,5895,3543,2694,1696,2315,3124
PA4877,669,446,1309,528,569,355,464,748
PA4878,207,293,270,128,342,148,292,195
PA4879,397,301,688,197,353,115,94,322
PA4880,398,407,540,505,612,249,791,533
PA4881,23,99,62,47,40,18,14,62
PA4882,4,40,23,4,12,1,7,5
PA4883,0,14,0,0,7,0,0,0
PA4884,9,2,4,1,8,8,3,1
PA4885,73,28,111,8,36,39,87,57
PA4886,6,26,51,1,36,0,16,120
PA4887,57,17,17,31,42,8,68,118
PA4888,84,127,302,129,345,6,223,293
PA4889,1,7,51,1,12,1,0,31
PA4890,76,158,123,41,120,14,86,194
PA4891,104,63,90,181,146,116,134,206
PA4892,12,17,9,11,14,10,14,18
PA4893,168,253,165,209,265,57,104,181
PA4894,35,17,20,12,20,10,9,26
PA4895,1,8,0,1,12,1,1,9
PA4896,10,184,149,54,142,63,91,103
PA4897,97,221,531,139,145,149,494,269
PA4898,0,60,5,7,7,14,3,22
PA4899,46,8,52,33,70,19,34,73
PA4900,5,0,5,7,34,1,2,0
PA4901,28,37,23,12,39,3,9,19
PA4902,99,231,60,36,158,49,96,151
PA4903,12,0,13,2,2,0,14,7
PA4904,49,27,55,25,34,30,1,32
PA4905,6,1,5,1,0,8,0,27
PA4906,41,104,70,51,77,35,34,104
PA4907,166,471,266,143,420,80,276,521
PA4908,6,14,0,6,6,0,1,0
PA4909,8,19,13,8,8,6,61,15
PA4910,69,14,0,152,68,232,114,10
PA4911,31,15,22,32,5,6,42,24
PA4912,21,31,141,17,42,15,8,133
PA4913,85,72,49,34,171,66,95,168
PA4914,117,199,175,85,213,61,146,196
PA4915,1111,726,1371,672,868,399,802,1292
PA4916,239,530,335,62,378,52,314,552
PA4917,20,62,38,11,69,11,25,30
PA4918,1227,1408,1739,2492,2725,1207,1996,2011
PA4919,4683,4326,6850,8220,9732,4710,7060,7466
PA4920,2844,2450,2546,3062,4935,1920,2358,3572
PA4921,338,442,334,203,670,91,247,592
PA4922,208356,124392,214552,262157,179488,121991,194720,219622
PA4923,532,311,288,135,265,200,178,353
PA4924,20,45,43,105,62,20,87,145
PA4925,335,149,301,141,337,115,168,217
PA4926,121,136,154,45,76,26,68,103
PA4927,248,298,507,92,249,110,143,331
PA4928,1206,982,1934,871,1504,787,1325,1574
PA4929,688,435,498,196,568,135,485,298
PA4930,433,367,609,334,585,119,320,438
PA4931,1599,1451,1971,1660,1845,654,1697,2548
PA4932,1143,1991,1658,815,1640,615,1796,4649
PA4933,239,249,216,233,294,130,307,595
PA4934,2400,2609,4045,6400,3537,2942,4796,5183
PA4935,15260,18027,30047,39307,24167,17271,30832,35917
PA4936,52,159,107,34,98,13,55,120
PA4937,5079,7110,9806,6235,9906,3461,5992,8489
PA4937.1,138,143,145,81,134,74,118,103
PA4937.2,27,17,24,85,30,16,102,46
PA4938,6002,5740,8829,6908,10337,4219,8076,9719
PA4939,101,252,244,65,185,85,243,209
PA4940,47,82,20,32,50,28,60,148
PA4941,4608,3613,8024,6633,6180,2457,4396,5503
PA4942,2772,2832,3017,2591,3031,915,2519,3868
PA4943,3066,3281,4508,1844,3218,1376,2743,4085
PA4944,2667,2804,4980,3561,2973,2236,3553,2890
PA4945,4592,2841,5579,5255,4778,3392,4868,4126
PA4946,630,772,1425,692,1364,398,1002,1228
PA4947,2780,3951,3726,2255,3422,1451,2783,3195
PA4948,174,115,355,160,262,173,129,140
PA4949,26,28,18,18,53,12,7,85
PA4950,114,247,71,115,256,54,70,269
PA4951,1756,1552,2476,1482,1740,859,1332,2041
PA4952,639,537,844,592,964,398,757,1099
PA4953,1255,1432,2320,807,1377,432,1218,1848
PA4954,953,624,861,674,757,318,784,1190
PA4955,163,316,181,83,266,90,222,264
PA4956,336,628,456,190,533,151,368,569
PA4957,999,1036,1560,818,1653,441,1312,1713
PA4958,1062,991,597,386,1106,427,757,1154
PA4959,2001,2354,3505,2036,3158,1199,1773,2411
PA4960,423,378,367,271,314,249,152,495
PA4961,2110,2267,2909,2260,2511,1157,1538,2680
PA4962,79,99,99,25,45,11,103,113
PA4963,318,125,551,236,450,113,388,384
PA4964,1489,1676,1917,1884,2420,759,1656,2531
PA4965,173,120,78,147,188,126,329,205
PA4966,26,61,56,23,46,12,24,74
PA4967,1360,1410,2351,1232,2209,682,1431,2076
PA4968,499,622,829,432,556,275,440,588
PA4969,256,248,269,123,305,80,116,206
PA4970,282,186,524,191,341,103,314,456
PA4971,1586,2197,3804,1389,2900,802,2046,3002
PA4972,689,696,961,620,1097,551,755,785
PA4973,4627,3975,5187,6059,7765,3607,5649,6098
PA4974,1728,2116,2124,907,1751,721,1920,2722
PA4975,91,128,156,26,80,56,66,85
PA4976,103,140,281,46,319,31,109,39
PA4977,45,2,34,12,40,9,51,41
PA4978,13,0,3,10,16,6,21,7
PA4979,12,9,0,1,35,5,47,65
PA4980,0,2,0,3,2,2,12,8
PA4981,135,52,164,45,75,143,161,98
PA4982,15,28,5,4,8,17,3,5
PA4983,12,233,82,19,96,6,31,99
PA4984,35,19,11,22,25,7,42,43
PA4985,7,0,2,0,10,0,7,4
PA4986,39,45,18,10,75,7,22,57
PA4987,116,56,24,28,82,105,96,102
PA4988,54,52,45,20,83,39,11,115
PA4989,8,2,0,13,52,2,15,19
PA4990,0,11,0,0,14,2,1,12
PA4991,109,251,144,35,174,44,90,126
PA4992,118,199,357,44,156,65,103,218
PA4993,114,193,54,41,102,25,84,149
PA4994,23,148,166,37,5,21,38,4
PA4995,25,58,16,22,40,27,4,0
PA4996,513,548,325,228,598,191,319,429
PA4997,1278,867,1599,1012,983,762,1402,1321
PA4998,545,556,640,532,756,251,682,630
PA4999,923,527,556,844,827,499,1286,1007
PA5000,1969,1342,2357,1941,1717,1439,2061,2095
PA5001,598,1017,1832,973,1143,544,710,897
PA5002,179,324,321,205,383,184,260,273
PA5003,117,147,170,86,206,51,82,266
PA5004,295,386,703,408,484,192,393,431
PA5005,6132,6246,11101,8531,8254,3573,8362,8327
PA5006,141,420,290,84,214,119,104,180
PA5007,195,347,287,126,570,68,80,498
PA5008,582,644,1491,646,913,328,722,778
PA5009,404,458,344,267,526,239,489,423
PA5010,452,568,724,332,851,272,635,603
PA5011,432,153,472,313,328,162,269,271
PA5012,96,94,101,14,90,18,25,99
PA5013,13123,10703,16313,11906,11987,8587,13572,16742
PA5014,500,418,811,438,487,253,562,420
PA5015,55066,26096,42555,42865,44679,30383,45012,62965
PA5016,5277,2317,2922,3309,5462,1584,4260,9469
PA5017,3057,4177,4503,3135,4303,2084,3453,4512
PA5018,1027,1156,1173,696,1306,564,942,1228
PA5019,555,642,776,306,743,209,582,530
PA5020,336,7556,10510,276,383,131,164,80
PA5021,178,199,148,94,177,95,168,220
PA5022,3113,2480,4010,2954,3341,1953,3293,2591
PA5023,30,72,33,69,97,55,66,99
PA5024,440,352,375,233,381,255,153,361
PA5025,1372,1462,815,586,1368,594,1024,2187
PA5026,88,234,251,120,271,34,139,327
PA5027,605,1741,1029,421,1019,280,960,2026
PA5028,4451,2661,6226,5373,3532,2936,2955,3044
PA5029,22,50,39,14,21,8,17,16
PA5030,1391,775,927,651,467,669,774,1752
PA5031,2,18,31,2,22,1,18,7
