,Emp_20_2.EDGE-pro.rpkm_0,Emp20_Dihydroxy_2.EDGE-pro.rpkm_0,Emp20_Dihydroxy.EDGE-pro.rpkm_0,Emp20_monohydroxy_2.EDGE-pro.rpkm_0,Emp20_monohydroxy.EDGE-pro.rpkm_0,Emp20_Oleic_acid_2.EDGE-pro.rpkm_0,Emp20_Oleic_acid.EDGE-pro.rpkm_0,Emp_20.EDGE-pro.rpkm_0
PA2317,188,46,282,112,108,43,73,112
PA2318,199,252,118,91,248,61,146,136
PA2319,46,50,54,22,31,7,29,61
PA2320,376,441,445,227,417,160,404,310
PA2321,1832,3085,2502,1275,2923,702,1954,3382
PA2322,3906,3083,3433,5171,6051,5440,6522,5023
PA2323,2263,3442,3069,2762,5870,1528,2424,4250
PA2324,15,29,11,6,12,13,12,13
PA2325,2,12,5,8,18,2,22,45
PA2326,15,15,66,26,63,5,15,13
PA2327,56,100,62,22,14,7,35,144
PA2328,51,75,14,22,15,4,31,59
PA2329,59,106,53,24,23,8,46,34
PA2330,6,25,6,1,2,0,1,18
PA2331,578,954,755,197,335,217,371,809
PA2332,171,124,182,107,144,92,63,134
PA2333,32,18,17,3,13,5,17,8
PA2334,27,8,14,4,13,1,3,20
PA2335,17,7,0,3,0,7,31,0
PA2336,15,16,40,6,5,0,1,68
PA2337,450,301,79,275,395,274,414,458
PA2338,136,64,85,121,67,56,63,41
PA2339,44,6,53,29,28,0,25,0
PA2340,29,40,4,1,16,15,77,8
PA2341,12,36,10,0,13,25,8,5
PA2342,2,0,0,22,2,3,1,0
PA2343,0,3,0,0,9,0,1,0
PA2344,0,17,19,0,4,2,5,13
PA2345,49,74,93,28,73,29,52,58
PA2346,8,0,0,1,10,0,1,0
PA2347,0,12,0,0,1,0,0,0
PA2348,7,18,0,0,30,1,36,99
PA2349,25,38,1,23,39,9,29,4
PA2350,9,2,0,0,4,4,11,20
PA2351,14,17,1,0,2,21,13,0
PA2352,9,48,115,87,55,81,63,101
PA2353,31,9,137,9,28,18,37,74
PA2354,0,6,10,0,12,0,8,42
PA2355,9,14,17,2,23,12,0,9
PA2356,0,0,50,0,0,4,11,29
PA2357,0,0,10,0,0,0,2,9
PA2358,5,0,7,2,2,9,12,15
PA2359,42,48,144,26,74,37,97,45
PA2360,51,89,41,11,53,29,16,78
PA2361,461,378,618,191,317,260,135,444
PA2362,8,3,0,0,5,6,6,5
PA2363,103,54,43,44,46,20,117,82
PA2364,208,21,84,134,86,57,226,198
PA2365,1683,955,715,275,383,252,256,972
PA2366,5043,2388,3589,1857,2033,1007,1602,2676
PA2367,2417,1025,2119,823,683,479,523,811
PA2368,65,49,26,15,58,18,32,59
PA2369,384,357,677,42,151,29,154,190
PA2370,120,51,20,24,87,22,98,49
PA2371,440,361,341,85,283,69,226,442
PA2373,2361,1969,3109,2202,1199,1562,1603,1237
PA2374,30,5,30,5,6,2,0,5
PA2375,45,13,40,11,44,9,66,25
PA2376,48,37,21,53,64,14,49,18
PA2377,8,52,131,14,60,9,47,73
PA2378,222,303,284,78,281,109,214,448
PA2379,113,93,205,128,103,14,164,174
PA2380,212,173,237,148,223,136,116,249
PA2381,1890,1907,995,645,2011,457,910,1197
PA2382,1163,1412,766,358,1271,225,478,799
PA2383,29,48,27,20,41,23,110,89
PA2384,94,343,275,78,89,69,315,388
PA2385,265,1023,721,232,462,294,797,1032
PA2386,6668,17643,26486,7361,8784,12851,19973,18632
PA2387,115,188,507,346,270,238,315,117
PA2388,1172,1590,2255,1201,1323,731,1438,1526
PA2389,468,2288,2126,350,875,605,1345,1721
PA2390,404,2008,2030,391,730,606,1479,1579
PA2391,153,884,218,55,199,121,394,389
PA2392,659,1442,2512,509,638,867,1839,1560
PA2393,907,3036,2912,739,1029,1543,2226,2870
PA2394,434,2122,2305,338,891,982,1764,1866
PA2395,427,1388,783,230,346,444,738,1206
PA2396,983,4460,4658,1478,1615,1410,2861,3146
PA2397,2498,5960,9083,3115,1599,5686,7472,7385
PA2398,9570,15728,29024,19944,16117,21676,26044,20265
PA2399,1433,1872,3223,1453,1514,1481,2344,1817
PA2400,809,780,971,937,1106,546,1336,1179
PA2402,1399,3958,4664,1389,2635,1538,2956,3765
PA2403,1675,1899,3679,964,1322,1825,1993,2072
PA2404,426,557,505,193,430,298,193,674
PA2405,268,456,227,133,200,170,219,444
PA2406,57,111,118,33,74,29,98,124
PA2407,303,721,1146,250,505,339,634,822
PA2408,69,105,203,97,156,85,82,131
PA2409,61,225,291,37,117,42,82,186
PA2410,695,1092,1974,972,1225,571,1122,1247
PA2411,185,502,819,96,280,335,417,496
PA2412,55,149,318,45,158,93,191,313
PA2413,98,565,632,137,249,126,500,473
PA2414,83,26,58,27,43,20,36,61
PA2415,26,25,32,4,6,2,44,18
PA2416,45,131,41,56,79,9,127,146
PA2417,14,22,2,2,57,21,13,141
PA2418,8,55,0,1,65,46,10,3
PA2419,144,61,58,128,80,155,107,107
PA2420,8,12,10,21,33,1,17,120
PA2421,2,2,22,1,2,0,0,38
PA2422,7,8,2,29,16,9,22,1
PA2423,500,773,1005,311,449,413,598,677
PA2424,1918,6563,6349,1995,3516,1402,3805,5183
PA2425,43,275,117,35,58,112,145,138
PA2426,1059,3156,4531,1646,1746,5453,5594,5898
PA2427,438,1209,1616,356,669,1171,1693,2163
PA2428,48,176,332,51,111,93,121,161
PA2429,2,0,74,2,6,4,1,21
PA2430,74,108,38,37,91,6,29,99
PA2431,100,35,27,4,29,3,34,23
PA2432,373,262,180,303,305,153,425,571
PA2433,151,72,139,26,28,20,30,136
PA2434,72,125,20,47,98,23,55,51
PA2435,32,25,25,9,46,54,92,118
PA2436,105,95,151,80,93,69,131,111
PA2437,8,0,7,1,25,2,37,27
PA2438,43,18,7,7,11,51,75,164
PA2439,148,15,122,35,53,197,174,157
PA2440,22,8,0,14,30,3,9,57
PA2441,9,21,9,8,19,6,54,25
PA2442,21,22,9,31,44,8,57,63
PA2443,99,113,73,156,202,25,94,36
PA2444,88,90,30,35,66,30,44,89
PA2445,365,327,344,344,502,63,180,304
PA2446,32,38,126,38,161,35,84,59
PA2447,6,28,10,10,32,2,0,20
PA2448,75,117,59,142,75,68,78,90
PA2449,117,155,92,74,65,76,104,125
PA2450,33,84,89,9,58,28,18,102
PA2453,247,341,669,451,353,238,442,370
PA2454,687,940,752,985,852,464,1214,923
PA2455,67,114,117,94,50,50,103,42
PA2457,286,275,140,239,213,145,315,350
PA2458,53,73,59,12,20,7,26,40
PA2459,0,76,0,38,36,0,72,5
PA2460,32,7,133,0,55,7,79,75
PA2461,16,15,0,51,6,46,39,20
PA2462,1459,1509,2818,1734,1711,1380,1843,2028
PA2463,115,147,151,100,264,94,145,199
PA2464,50,612,409,124,234,51,216,383
PA2465,32,27,40,0,26,7,0,26
PA2466,94,144,173,116,282,199,317,367
PA2467,5,21,19,18,53,28,28,112
PA2468,29,44,161,41,86,14,67,65
PA2469,14,40,17,7,45,2,15,57
PA2470,55,44,5,7,51,42,21,23
PA2471,7,8,2,22,73,24,4,20
PA2472,0,6,0,4,16,0,0,6
PA2473,0,5,0,0,22,0,0,0
PA2474,63,7,19,11,29,3,26,12
PA2475,114,238,84,53,119,13,65,153
PA2476,145,213,159,21,126,10,43,209
PA2477,33,34,13,4,12,6,6,22
PA2478,5,19,0,28,38,0,4,110
PA2479,47,116,60,62,117,28,103,43
PA2480,15,64,63,32,71,14,54,99
PA2481,55,2,117,24,79,99,16,92
PA2482,67,20,53,89,125,29,54,35
PA2483,90,139,524,223,325,40,257,258
PA2484,11,97,45,11,35,4,20,37
PA2485,42,66,67,69,63,58,56,101
PA2486,263,360,357,316,358,141,262,557
PA2487,208,467,353,202,319,34,142,633
