,PAO1161 EV_1,PAO1161 EV_2,PAO1161 EV_3,PAO1161_PA3027_1,PAO1161_PA3027_2,PAO1161_PA3027_3
D3C65_00800,5.94790065531067,5.41398087927057,5.35417002898109,15.2644604879911,11.353055677332,11.0023952049364
D3C65_00805,19.4217164255042,14.5140763997466,11.4384541528232,26.9624582451431,25.2645464368797,28.7606471146582
D3C65_00810,6.79760074892649,6.22031845703427,8.51799777337902,13.5525583771883,11.9926644478859,13.1256644550118
D3C65_00815,13.1096585872154,10.8279617585411,9.12642618576323,13.2672413587212,12.6322732184399,13.511713409571
D3C65_00820,1.82078591489102,2.18863056821576,2.19034228458318,1.71190211080273,3.03814166013111,1.73722029551627
D3C65_00830,3.39880037446324,4.83802546658221,4.50237025164319,2.5678531662041,4.31735920123894,3.28141611375295
D3C65_00835,26.5834743574089,30.9864012026337,25.0672505902297,41.3709676777328,32.7799494908882,36.8676751604008
D3C65_00840,82.1781376254148,73.9526749891852,74.7150090407816,75.0383758568532,72.1158888799542,68.5236894342528
D3C65_00845,63.1205783828888,60.8208915798906,53.6633859722878,63.6256951181683,55.3261586529138,56.5561718429185
D3C65_00850,146.391187557238,148.711687556134,142.128877132953,190.163792808337,181.968695222589,180.091837301853
D3C65_00855,51.103391344608,52.1815603895652,46.9706734360614,52.2130143794834,50.369190681121,53.8538291610043
D3C65_00860,8.2542294808393,8.86971335540072,9.85654028062429,7.70355949861231,10.3936425215012,8.68610147758134
D3C65_00865,47.3404337871666,45.8460508499933,43.8068456916635,30.9568965036828,58.6841046983219,27.9885492055399
D3C65_00870,120.778799021105,131.778598423096,100.147316678442,103.998053231266,102.817109866542,115.235612935912
D3C65_00875,24.0343740765615,22.807834342459,24.3371364953686,22.112068931202,19.9877740798099,16.9861540006035
D3C65_00880,103.54202569347,110.007483823476,77.7571511027027,23.2533370050705,27.34327494118,27.4094757737011
D3C65_00885,218.737081242242,233.607515386398,191.289892853597,144.370411344364,132.558917697299,152.682361528152
D3C65_00890,2.79187173616624,2.64939489836645,2.43371364953686,0.855951055401367,1.11931534846935,1.73722029551627
D3C65_00895,65.7910643913956,70.2665603479797,64.1283546652963,93.4413235479826,93.0630761155949,78.9470112073504
D3C65_00900,25.8551599914525,24.0749362503734,22.6335369406928,38.6604560022951,43.1735920123894,37.0606996376804
D3C65_00905,30.5892033701692,31.216783367709,30.4214206192108,69.1893769782772,58.6841046983219,70.8399831616078
D3C65_00910,25.0054598978367,23.6141719202227,24.2154508128918,57.7766962395923,63.3212682848378,58.6794410929939
D3C65_00915,33.7452322893136,38.934585897733,35.8972763306687,97.4357618065223,77.072856851747,80.2981825483075
D3C65_00920,69.3112504935183,63.7006686433324,56.0970996218247,171.04755257104,169.016617618873,160.017291664776
