,WT1_S1,WT-plus-HOCl1_S2,WT-plus-OSCN1_S3,mutant1_S4,mutant-plus-HOCl1_S5,mutant-plus-OSCN1_S6,WT2_S7,WT-plus-HOCl2_S8,WT-plus-OSCN2_S9,mutant2_S10,mutant-plus-HOCl2_S11,mutant-plus-OSCN2_S12
PA14_RS01185,18,20,12,23,20,20,13,12,7,17,16,12
PA14_RS01190,47,58,34,65,49,35,47,46,40,38,23,26
PA14_RS01195,97,83,75,109,78,133,130,97,117,152,112,139
PA14_RS01200,371,444,381,464,411,345,300,302,323,328,253,266
PA14_RS01205,13,27,10,26,29,20,17,16,17,13,12,20
PA14_RS01210,24,47,32,58,55,41,23,37,25,29,25,38
PA14_RS01215,223,266,185,281,250,259,176,134,143,146,131,136
PA14_RS01220,78,78,70,95,107,58,115,72,99,89,62,69
PA14_RS01225,576,647,523,659,512,492,593,485,686,743,486,514
PA14_RS01230,381,359,299,373,408,328,342,385,401,379,318,361
PA14_RS01235,"1,063","1,126","1,046","1,090",935,"1,323","1,110","1,176","1,025","1,214","1,025","1,075"
PA14_RS01240,44,46,39,62,57,68,44,34,31,55,36,36
PA14_RS01245,35,44,26,51,41,50,12,27,17,13,18,16
PA14_RS01250,185,237,207,277,192,243,151,173,144,199,122,142
PA14_RS01255,358,415,272,408,378,461,312,301,251,289,188,295
PA14_RS01260,315,389,225,392,324,417,160,165,174,198,148,155
PA14_RS01265,666,825,799,954,800,620,599,628,652,672,531,519
PA14_RS01270,"7,351","8,432","7,874","9,398","7,995","11,241","7,603","7,915","8,052","9,029","8,276","8,477"
PA14_RS01275,"2,200","2,588","2,311","3,299","2,912","2,377","2,180","2,030","1,751","2,106","2,036","1,801"
PA14_RS01280,899,"1,020","1,041","1,254","1,033",655,595,536,664,685,645,595
PA14_RS29980,"1,050","1,173","1,035","1,283","1,215",889,975,853,"1,016","1,249",984,"1,002"
PA14_RS01295,634,780,662,931,676,404,496,405,408,474,470,393
PA14_RS01300,169,208,176,214,160,112,122,92,156,114,84,95
PA14_RS01305,862,990,916,"1,209",921,532,680,496,614,590,484,485
PA14_RS01310,73,98,72,103,94,39,70,57,40,64,47,49
PA14_RS01315,896,906,915,"1,093",952,640,869,622,"1,002","1,183",675,753
PA14_RS01320,"1,282","1,351","1,301","1,536","1,257",948,"1,700","1,468","1,980","2,318","1,566","1,616"
PA14_RS01325,592,592,536,706,570,353,561,451,555,645,476,480
PA14_RS01330,"3,613","4,117","3,546","5,072","3,984","2,032","4,130","3,301","3,369","4,200","3,211","3,150"
PA14_RS01335,983,"1,106",918,"1,399","1,073",537,892,726,769,896,694,665
PA14_RS01345,"1,707","1,886","1,509","2,155","1,466","1,459",834,680,"1,053","1,130",699,803
PA14_RS01350,119,128,109,209,169,112,96,85,63,89,72,70
PA14_RS01355,330,350,314,473,379,336,260,242,177,250,166,187
PA14_RS29985,678,817,616,"1,086",858,458,546,557,461,583,519,467
PA14_RS01360,980,"1,070",945,"1,557","1,163",736,929,713,762,943,775,765
PA14_RS01365,594,653,438,864,697,358,521,412,411,526,427,399
PA14_RS01370,864,889,631,"1,331",941,622,665,647,533,700,596,677
PA14_RS01375,"3,414","3,770","2,956","4,395","3,550","2,253","3,284","2,706","2,973","3,629","2,771","2,952"
PA14_RS01380,"1,835","1,924","1,539","2,116","1,868","1,396","1,921","1,570","1,883","2,149","1,586","1,684"
PA14_RS01385,"1,294","1,187","1,065","1,481","1,191",919,"1,383","1,129","1,446","1,606","1,160","1,303"
PA14_RS01390,"1,017",965,702,"1,131",880,729,"1,123",920,970,"1,222",940,"1,020"
PA14_RS01395,"1,666","1,952","1,616","2,272","2,072","1,271","1,360","1,117","1,073","1,277","1,049","1,048"
PA14_RS01400,138,155,129,175,166,143,165,147,92,148,107,115
PA14_RS01405,30,38,32,34,33,39,42,43,24,43,18,25
PA14_RS01410,"1,215","1,174","1,035","1,524","1,138","1,408","1,464","1,115","1,205","1,866","1,217","1,353"
PA14_RS01415,5,1,7,7,10,14,6,13,4,16,11,12
PA14_RS01420,23,23,32,29,29,22,26,32,19,28,31,39
PA14_RS01425,"5,022","5,145","4,135","5,904","4,756","8,198","5,391","5,200","5,248","5,425","4,028","5,292"
PA14_RS29990,33,27,21,29,25,21,26,29,21,35,23,34
PA14_RS01430,"6,587","7,330","5,261","9,076","7,993","9,209","6,368","6,695","5,111","6,093","5,381","6,203"
PA14_RS29995,9,6,3,2,5,4,5,6,2,4,1,5
PA14_RS01435,644,625,497,741,558,400,466,292,507,460,273,313
PA14_RS01440,164,166,120,169,152,235,202,170,193,214,142,185
PA14_RS01445,335,346,277,348,363,238,408,383,409,397,439,310
PA14_RS01450,337,348,310,388,367,227,426,421,412,465,432,348
PA14_RS01455,162,135,150,225,182,96,162,150,170,175,173,125
PA14_RS01460,105,140,90,167,125,125,76,55,66,65,57,69
PA14_RS01465,22,22,10,17,21,25,15,15,17,18,12,19
PA14_RS01470,50,77,72,64,92,66,38,52,44,32,34,44
PA14_RS01475,412,439,360,532,408,474,364,305,324,343,297,297
PA14_RS01480,317,424,343,381,646,102,904,888,569,988,"1,165",851
PA14_RS01485,78,137,83,111,158,124,71,152,52,54,94,51
PA14_RS01490,64,64,54,67,54,58,52,88,57,53,42,47
PA14_RS01495,63,69,58,67,43,97,42,49,70,78,54,58
PA14_RS01500,536,"2,502","2,424",915,"2,599","1,936","1,201","1,797","1,830","1,305",978,697
PA14_RS01505,221,"1,335","1,402",432,"1,284",733,559,"1,057",774,796,457,316
PA14_RS01510,166,"1,098","1,173",265,"1,155",572,429,968,358,609,275,169
PA14_RS01515,444,"4,184","3,614",702,"4,363","4,616","1,283","3,734","1,280","2,577","1,127",790
PA14_RS01520,281,"1,774","1,311",265,"1,534","1,542",797,"1,305",460,"1,636",462,286
PA14_RS01525,586,786,574,924,780,805,515,545,498,499,422,510
PA14_RS01530,"4,024","4,971","4,709","4,967","4,514","3,823","3,132","3,362","4,135","3,283","3,082","3,262"
PA14_RS01535,69,88,80,64,81,49,55,71,64,80,69,61
PA14_RS01540,114,107,95,117,102,50,83,88,100,83,59,59
PA14_RS01545,717,771,628,835,749,587,868,801,759,835,780,749
PA14_RS30000,43,42,58,63,48,35,51,41,38,44,41,46
PA14_RS01550,163,177,197,178,157,125,128,180,159,166,135,131
PA14_RS01555,"4,165","5,834","3,544","5,476","5,386","6,924","4,056","4,782","2,790","3,850","2,767","2,059"
PA14_RS01560,"2,273","2,466","1,670","3,227","2,248","2,063","1,451","1,355","1,074","1,176",919,"1,046"
