,WT1_S1,WT-plus-HOCl1_S2,WT-plus-OSCN1_S3,mutant1_S4,mutant-plus-HOCl1_S5,mutant-plus-OSCN1_S6,WT2_S7,WT-plus-HOCl2_S8,WT-plus-OSCN2_S9,mutant2_S10,mutant-plus-HOCl2_S11,mutant-plus-OSCN2_S12
PA14_RS24315,15,16,16,33,23,16,18,7,10,9,16,14
PA14_RS24320,21,16,18,24,26,20,17,19,18,20,20,18
PA14_RS24325,10,11,14,14,15,8,14,14,8,17,10,15
PA14_RS24330,11,15,14,17,15,14,14,17,12,11,11,9
PA14_RS24335,22,20,11,15,11,19,9,18,19,26,19,14
PA14_RS24340,113,134,112,149,136,79,111,117,85,98,105,97
PA14_RS24345,44,49,60,83,64,63,49,52,49,46,52,41
PA14_RS24350,21,25,19,38,19,26,27,26,13,17,12,14
PA14_RS24355,347,348,275,469,377,276,355,296,293,301,302,302
PA14_RS24360,31,21,21,30,28,20,9,21,12,20,20,15
PA14_RS24365,122,147,109,148,151,107,135,120,80,107,93,99
PA14_RS24370,49,67,67,86,49,51,66,47,66,73,54,66
PA14_RS24375,73,72,63,97,82,52,74,68,53,84,47,59
PA14_RS24380,"2,538","2,285","2,102","3,128","2,213",496,"2,294","1,327","2,298","2,857","1,814","1,206"
PA14_RS24385,"6,003","6,087","7,701","8,643","7,139","3,258","7,265","4,801","10,419","10,090","8,231","8,397"
PA14_RS24390,"3,743","3,922","4,835","5,249","4,997","2,974","5,056","2,474","4,427","5,973","4,135","4,720"
PA14_RS24395,917,"1,009",989,"1,206","1,053",792,857,849,914,"1,061",889,926
PA14_RS24400,114,148,120,146,150,96,103,79,113,114,105,79
PA14_RS24405,304,295,268,358,321,178,266,192,180,261,192,192
PA14_RS24410,352,550,416,413,500,471,302,324,382,326,355,383
PA14_RS30955,"4,458","5,312","3,521","3,879","3,498","2,978","3,336","2,328","4,612","4,531","3,042","4,024"
PA14_RS24415,119,96,76,179,105,30,50,47,61,77,51,66
PA14_RS24420,5,17,9,14,18,8,7,9,7,9,7,0
PA14_RS24425,4,5,2,2,2,2,1,6,1,8,3,0
PA14_RS24430,61,68,38,80,60,34,68,58,51,46,48,23
PA14_RS24435,67,55,62,112,68,34,66,32,77,75,37,39
PA14_RS24440,66,53,50,92,60,29,44,46,39,69,44,41
PA14_RS24445,79,94,86,133,112,70,97,68,80,104,78,64
PA14_RS24450,75,123,91,135,138,52,56,72,69,88,62,77
PA14_RS24455,36,30,26,50,28,15,32,25,27,46,44,25
PA14_RS24460,222,246,216,310,259,148,187,184,179,228,202,173
PA14_RS24465,47,39,37,48,34,24,31,30,26,25,18,30
PA14_RS24470,116,131,115,161,126,117,108,129,108,143,119,113
PA14_RS24475,"2,978","3,788","3,370","3,971","3,545","3,184","3,559","2,840","3,930","4,860","3,281","3,645"
PA14_RS24480,17,17,31,22,22,25,27,17,23,27,17,22
PA14_RS24485,22,28,16,29,27,19,24,22,23,24,23,20
PA14_RS24490,333,325,355,474,400,309,386,261,316,421,307,304
PA14_RS24495,21,29,13,32,21,18,22,11,13,29,14,9
PA14_RS24500,227,222,194,274,240,215,230,199,157,243,197,195
PA14_RS30960,"3,266","3,464","2,936","4,448","4,433","4,262","4,740","4,084","2,929","5,188","4,478","5,089"
PA14_RS24505,553,601,505,733,668,477,627,524,434,572,527,551
PA14_RS24510,360,430,331,496,441,314,377,319,341,367,304,302
PA14_RS30965,177,189,171,275,244,198,147,193,133,212,175,172
PA14_RS24515,"5,185","5,646","4,636","6,395","5,461","4,517","5,749","4,876","5,101","5,509","4,554","5,150"
PA14_RS24520,"4,424","4,982","4,038","5,621","4,859","3,115","4,503","4,059","4,062","5,184","4,201","4,077"
PA14_RS30970,912,"1,010",778,"1,246","1,001",727,739,691,527,768,643,656
PA14_RS30975,"1,977","2,194","1,492","2,842","2,333","1,553","1,399","1,627",874,"1,339","1,156","1,276"
PA14_RS24525,"3,814","4,062","2,970","5,033","3,896","3,097","3,042","3,299","2,376","3,079","2,746","2,885"
PA14_RS24530,"3,305","3,500","3,210","4,634","3,790","3,332","3,149","3,180","2,777","3,484","2,756","3,012"
PA14_RS24535,"1,752","1,728","1,393","2,735","2,260","1,304","2,095","1,515","1,167","1,952","1,621","1,678"
PA14_RS24540,837,922,689,"1,217","1,066",631,902,692,674,865,776,902
PA14_RS30980,167,136,161,220,218,132,146,126,158,151,138,190
PA14_RS24545,9,51,14,21,66,110,18,110,18,25,58,20
PA14_RS24550,57,127,39,75,163,329,48,218,60,61,151,54
PA14_RS24555,24,46,32,29,68,120,24,99,29,48,67,39
PA14_RS24560,"7,195","7,096","7,611","9,958","8,285","59,162","9,299","7,464","16,579","18,265","11,303","45,715"
PA14_RS24565,226,317,230,325,300,342,154,180,164,173,175,149
PA14_RS24570,686,932,668,"1,120",818,"1,309",460,656,523,587,474,565
PA14_RS24575,"1,258","1,619","1,198","1,784","1,330","2,076",579,775,604,566,572,569
PA14_RS24580,113,120,111,108,112,120,117,90,71,117,91,94
PA14_RS24585,301,417,320,411,385,324,273,301,209,255,247,274
PA14_RS24590,427,570,494,563,603,401,422,473,459,422,498,490
PA14_RS24595,"1,301","1,473","1,509","1,653","1,357","2,149","1,017","1,100","1,693","1,473","1,168","1,495"
PA14_RS24600,98,116,110,136,126,112,110,122,134,139,118,131
PA14_RS24605,332,408,529,489,417,476,355,268,418,374,213,452
PA14_RS24610,406,554,746,694,576,674,518,403,638,521,282,686
PA14_RS24615,948,967,"1,477","1,418","1,139","1,219",977,780,"1,204",931,617,"1,550"
PA14_RS24620,587,692,"1,165",862,761,838,564,488,764,554,450,"1,140"
PA14_RS24625,"7,332","8,097","10,928","11,576","10,003","6,323","7,946","6,439","9,042","7,757","6,590","9,888"
PA14_RS24630,"1,164","1,169","1,430","1,769","1,419","1,053","1,281",967,"1,152","1,200","1,080","1,296"
PA14_RS24635,"1,841","1,945","2,082","2,816","2,210","1,356","1,651","1,543","1,540","1,680","1,461","1,733"
PA14_RS24640,"1,370","1,779","1,448","2,061","2,007","1,200","1,051","1,418","1,266","1,184","1,605","1,294"
PA14_RS24645,872,"1,135","1,064","1,308","1,360",953,892,"1,056","1,208","1,105","1,376","1,211"
PA14_RS24650,944,"1,264","1,092","1,384","1,537","1,017","1,273","1,298","1,174","1,288","1,656","1,367"
PA14_RS24655,"3,753","5,140","3,869","5,414","5,352","6,429","3,766","4,595","3,757","3,793","4,707","4,724"
PA14_RS24660,750,"1,121",821,"1,183","1,122","1,550",648,919,702,773,698,670
PA14_RS24665,302,430,326,481,448,510,248,421,220,234,264,205
PA14_RS24670,934,"1,984",778,"1,414","2,065","6,744",718,"3,138",316,486,"1,089",421
PA14_RS24675,831,906,"1,025","1,024",925,"1,235",754,"1,110","1,149","1,106",978,"1,113"
PA14_RS24680,"1,196","1,422","1,522","1,382","1,498","2,773","1,363","2,197","1,814","1,644","1,671","1,972"
PA14_RS24685,"1,820","2,207","1,714","2,179","2,034","5,718","1,946","3,178","2,654","2,527","2,133","2,498"
PA14_RS24690,"7,765","8,716","5,627","10,031","8,808","19,692","8,459","9,485","7,966","8,845","8,328","10,713"
PA14_RS24695,"2,137","2,891","1,617","3,048","2,790","8,513","2,479","4,192","1,563","2,318","2,333","2,900"
PA14_RS24700,807,"1,066",803,"1,185","1,052","1,500",540,716,418,559,492,454
PA14_RS24705,332,296,216,354,246,339,233,122,154,195,70,235
PA14_RS24710,"7,371","2,012","2,957","11,099","2,437",831,"9,213",969,"3,152","10,171","1,878","1,798"
PA14_RS24715,815,"1,107",686,973,954,"2,205",696,925,887,692,723,896
PA14_RS24720,61,96,67,62,70,121,39,74,45,51,65,64
PA14_RS24725,133,219,184,194,207,361,112,263,100,128,149,106
PA14_RS24730,325,381,383,407,351,320,285,245,335,355,299,318
PA14_RS24735,"6,420","7,061","7,296","8,025","7,575","7,688","6,541","7,117","8,278","7,097","6,985","8,353"
PA14_RS24740,"1,328","1,241","1,618","1,531","1,409",822,"1,699","1,139","2,116","2,114","1,913","1,933"
PA14_RS24745,"14,869","14,378","16,054","18,475","16,008","13,211","12,720","12,051","13,463","12,564","11,565","11,443"
PA14_RS24750,"2,261","2,552","2,187","3,519","2,681","1,990","1,707","1,618","1,789","1,707","1,698","1,739"
PA14_RS24755,219,290,193,259,248,371,216,220,195,288,226,201
PA14_RS24760,614,687,565,699,622,"1,624",846,615,897,"1,102",634,835
PA14_RS24765,67,80,40,76,65,50,89,77,71,119,72,58
PA14_RS24770,384,325,264,533,304,304,359,370,247,460,207,208
PA14_RS24775,555,439,343,749,389,386,457,446,403,491,262,271
PA14_RS24780,368,297,295,439,311,305,341,343,323,403,280,291
PA14_RS24785,257,250,188,357,226,191,194,238,157,215,183,169
PA14_RS24790,9,19,13,23,16,8,12,13,8,9,8,9
PA14_RS24795,"3,611","3,618","4,996","5,589","4,432","1,252","4,369","2,453","5,249","4,604","4,235","4,140"
PA14_RS24800,299,471,347,416,429,483,296,460,353,313,334,383
PA14_RS24805,603,732,408,830,565,199,394,406,257,330,207,189
PA14_RS24810,"1,958","2,348","1,463","2,207","1,828",636,"1,877","1,984","1,184","1,513",924,856
PA14_RS24815,298,386,326,386,368,170,216,253,324,295,227,159
PA14_RS24820,384,445,373,463,433,226,259,260,254,286,221,139
PA14_RS24825,256,312,224,289,220,130,186,165,174,187,144,111
PA14_RS24830,382,403,326,485,399,211,308,233,360,381,269,280
PA14_RS24835,"6,348","7,101","5,540","7,488","6,813","10,168","6,431","6,600","6,338","6,375","5,882","6,851"
PA14_RS24840,35,31,23,42,38,34,30,32,21,30,31,32
PA14_RS24845,169,86,102,160,173,71,935,205,175,408,165,124
PA14_RS24850,296,188,163,260,233,170,863,278,202,544,178,155
PA14_RS24855,253,189,183,253,250,179,"1,139",391,319,683,322,209
PA14_RS24860,82,64,63,61,89,85,249,129,63,115,74,43
PA14_RS24865,284,335,254,345,308,317,275,269,206,216,227,298
PA14_RS24870,"1,556","1,945","1,883","2,383","2,130","1,403","1,442","1,312","1,633","1,617","1,750","1,591"
PA14_RS24875,871,"1,314",898,"1,292","1,328","3,695",953,"1,556",786,706,"1,013","1,025"
PA14_RS24880,370,430,384,462,429,258,250,272,348,319,267,230
PA14_RS24885,"1,022","1,172","1,117","1,338","1,090",658,794,843,916,901,735,698
PA14_RS24890,"1,343","1,461","1,264","1,517","1,533","1,012","1,193","1,304","1,483","1,365","1,222",993
PA14_RS24895,"5,958","6,917","5,217","7,880","6,895","4,705","6,443","5,472","5,047","5,534","4,693","4,346"
PA14_RS24900,"6,326","8,470","6,517","4,997","6,373","4,600","3,922","5,354","5,409","4,663","3,865","3,964"
PA14_RS24905,823,935,955,937,931,730,975,920,"1,030","1,077",979,929
PA14_RS24910,381,448,392,523,447,710,306,369,370,332,304,307
PA14_RS24915,738,634,787,"1,055",945,378,818,375,797,903,660,630
PA14_RS24920,"17,656","16,570","19,872","21,046","17,234","7,893","26,839","16,844","24,681","31,631","23,176","22,265"
PA14_RS24925,69,77,87,76,72,121,69,73,70,92,74,101
PA14_RS24930,154,299,189,253,353,"4,914",153,486,170,150,426,"1,139"
PA14_RS24935,37,51,23,51,50,480,36,40,43,37,36,68
PA14_RS24940,"2,670","3,378","2,673","2,856","2,909","3,413","2,843","3,323","2,858","3,207","3,226","3,250"
PA14_RS24945,"1,673","1,873","1,706","2,092","2,125","3,384","1,491","1,719","1,649","1,620","1,961","2,829"
PA14_RS24950,157,175,140,220,155,172,98,127,128,131,121,153
PA14_RS24955,309,411,317,374,366,422,314,315,366,327,306,352
PA14_RS24960,229,228,194,300,276,195,193,154,193,213,164,185
PA14_RS24965,"1,453","1,479","1,281","1,651","1,544","1,514","1,231","1,172","1,725","1,724","1,421","1,471"
PA14_RS24970,"1,452","1,609","1,150","2,008","1,812","1,127","1,615","1,210","1,477","1,881","1,484","1,425"
PA14_RS24975,443,526,385,689,679,420,539,489,455,560,507,520
PA14_RS24980,"2,375","2,812","2,168","3,433","3,143","3,302","2,188","2,250","2,469","2,429","2,489","2,895"
PA14_RS30985,12,25,10,24,21,54,13,69,9,15,12,27
PA14_RS24985,58,68,44,112,77,74,35,62,31,45,30,38
PA14_RS24990,31,70,49,71,74,"1,379",57,191,27,44,106,506
PA14_RS24995,818,"1,321","1,529","1,244","1,266","1,386",709,721,635,620,515,708
PA14_RS25000,"3,456","5,616","5,773","5,228","5,041","6,473","3,413","3,420","2,679","2,815","2,031","3,415"
PA14_RS25005,257,279,165,337,250,331,171,155,141,177,117,168
PA14_RS25010,148,189,111,181,174,315,117,133,112,139,104,120
PA14_RS25015,332,448,249,528,442,498,249,290,219,279,268,312
PA14_RS25020,21,53,28,36,66,123,30,83,24,24,31,29
PA14_RS25025,66,50,48,85,71,79,51,83,36,58,61,55
PA14_RS25030,358,457,343,477,463,704,235,317,185,218,227,196
PA14_RS25035,490,742,557,709,701,"1,253",325,530,235,231,345,234
PA14_RS25040,"3,588","3,418","2,479","3,940","3,351","2,128","4,245","3,504","2,699","3,851","2,810","2,594"
PA14_RS25045,122,146,111,173,137,248,100,140,135,148,111,104
PA14_RS25050,16,22,12,20,25,505,16,53,18,14,21,29
PA14_RS25055,125,96,95,104,115,112,142,135,156,154,120,138
PA14_RS25060,157,117,166,146,150,152,150,162,203,201,171,161
PA14_RS25065,330,539,375,521,519,748,273,387,215,189,230,197
PA14_RS25070,62,74,48,78,57,104,38,43,49,49,37,44
PA14_RS30990,142,222,152,227,195,211,75,114,89,81,78,74
PA14_RS25080,"1,152","1,377","1,237","1,325","1,255","1,756",841,989,946,793,805,864
PA14_RS25085,"2,285","3,386","2,635","3,202","3,220","3,511","2,031","2,779","1,904","1,624","1,859","1,994"
PA14_RS25090,210,273,219,216,245,222,194,327,245,230,275,229
PA14_RS25095,419,402,294,401,354,487,216,282,206,251,174,223
PA14_RS25100,512,592,411,654,610,685,336,350,341,358,308,329
PA14_RS25105,88,132,87,100,132,199,71,165,89,84,88,72
PA14_RS25110,206,303,190,245,294,673,208,356,153,178,199,201
PA14_RS25115,258,290,269,313,309,605,258,278,195,206,220,217
PA14_RS25120,317,442,343,472,444,485,271,413,286,263,234,248
PA14_RS25125,93,98,90,104,94,41,117,123,77,81,75,60
PA14_RS25130,21,20,17,31,21,7,13,22,12,19,9,11
PA14_RS25135,5,14,6,6,9,5,6,11,4,11,3,2
PA14_RS25140,22,33,19,20,22,19,15,24,26,25,19,14
PA14_RS25145,22,42,29,30,50,17,24,37,15,25,20,21
PA14_RS25150,46,62,50,98,53,49,66,59,40,73,35,24
PA14_RS25155,381,327,248,514,362,196,623,503,588,588,300,258
PA14_RS25160,"1,234","1,200",993,"1,475","1,202","1,875","1,130",886,998,"1,146",736,"1,072"
PA14_RS25165,973,918,711,897,695,"1,732",699,736,"1,085",956,705,945
PA14_RS25170,"1,566","1,455","1,202","1,559","1,367","1,789","1,419","1,332","1,465","1,540","1,357","1,536"
PA14_RS25175,"1,210","1,008",857,"1,227",924,"1,090","1,363",881,"1,370","1,578",821,"1,184"
PA14_RS25180,667,573,407,739,518,518,666,412,553,707,316,504
PA14_RS25185,964,796,634,"1,149",802,643,829,507,580,770,400,575
PA14_RS25190,"7,875","9,691","9,334","8,937","10,036","14,890","10,695","9,737","10,679","10,170","11,463","17,318"
PA14_RS25195,546,720,573,769,764,588,413,589,473,495,569,486
PA14_RS25200,458,591,544,621,605,520,415,448,662,608,666,605
PA14_RS25205,531,738,524,773,726,593,455,510,443,521,584,650
PA14_RS25210,695,868,586,970,855,"1,013",494,658,437,455,596,626
PA14_RS25215,922,"1,141",756,"1,371","1,169","1,777",663,856,613,680,666,673
PA14_RS25220,"3,273","3,736","3,244","4,619","3,829","3,273","3,104","2,602","3,058","3,111","2,821","3,158"
PA14_RS25225,788,919,932,"1,246","1,067",847,718,636,618,710,635,708
PA14_RS25230,"1,342","2,043","1,578","2,252","2,350","2,012","1,073","1,889","1,062","1,404","1,555","1,110"
PA14_RS25235,230,390,215,385,534,607,219,544,161,279,338,132
PA14_RS25240,"1,899","3,264","1,900","3,253","3,691","5,054","1,426","4,680","1,431","1,252","2,172","1,260"
PA14_RS25245,"11,354","13,844","9,095","13,530","14,613","28,398","12,466","19,022","12,759","14,494","14,992","18,116"
PA14_RS25250,"3,209","3,090","3,271","3,019","3,560","6,266","2,804","4,377","9,922","4,360","4,011","4,765"
PA14_RS25255,"1,958","2,616","1,863","2,753","3,127","2,203","2,058","3,545","2,107","1,903","2,464","2,204"
PA14_RS25260,7,40,7,38,55,22,11,179,6,15,40,14
PA14_RS25265,"2,110","2,235","2,113","2,512","2,047","2,320","3,230","3,172","4,931","4,971","4,656","5,414"
PA14_RS30995,927,984,959,"1,260","1,299","1,188","1,254",961,"1,184","1,524","1,163","1,660"
PA14_RS31000,92,56,48,143,66,91,115,27,55,107,46,73
PA14_RS25270,"1,443","1,380","1,303","2,415","1,394","1,773","1,074","1,425",636,850,657,674
PA14_RS25275,724,722,699,899,824,"1,179",713,779,755,823,679,736
PA14_RS25280,"1,029",990,990,"1,090",956,423,"1,058",864,"1,120","1,252",798,971
PA14_RS25285,167,168,183,205,218,165,140,122,147,133,108,111
PA14_RS25290,246,310,279,354,284,254,197,213,256,238,154,179
PA14_RS25295,69,74,54,77,81,31,89,97,66,89,65,60
PA14_RS25300,160,199,134,199,187,68,249,282,197,232,169,135
PA14_RS25305,168,249,118,207,217,82,252,286,169,249,161,135
PA14_RS25310,429,459,326,776,475,105,180,162,186,221,121,81
PA14_RS25315,176,255,132,272,255,356,174,227,157,156,128,142
PA14_RS25320,108,182,106,189,169,207,126,158,138,107,120,169
PA14_RS25325,"1,273","1,540","1,246","1,747","1,716","1,498","1,582","1,441","1,490","1,531","1,637","1,686"
PA14_RS25330,"2,518","1,944","1,486","3,076","2,058","1,206","3,265","1,837","2,031","3,428","1,556","2,223"
PA14_RS25335,813,670,453,"1,194",693,323,635,411,471,661,374,397
PA14_RS25340,"1,246","1,604","1,439","1,691","1,526","1,340","1,287","1,651","1,550","1,436","1,383","1,441"
PA14_RS25345,303,369,355,379,361,324,282,508,338,334,336,329
PA14_RS25350,509,592,607,639,656,522,521,691,586,637,547,583
PA14_RS25355,2,2,3,2,3,5,1,3,24,2,1,12
PA14_RS25360,"22,382","23,803","30,153","22,207","21,210","26,934","58,714","39,083","108,148","36,417","36,701","79,784"
PA14_RS25365,51,92,54,72,90,226,29,116,55,60,129,52
PA14_RS25370,204,634,251,483,626,986,167,657,185,270,634,216
PA14_RS25375,980,"1,378","1,651","1,322","1,519","6,174","3,499","3,852","22,165","2,948","3,829","19,012"
PA14_RS25380,267,"8,988","2,767",330,"9,656","4,126",274,"9,580","2,711",271,"9,164","3,873"
PA14_RS25385,439,"15,008","4,690",464,"15,649","7,708",457,"17,490","4,750",477,"15,872","5,938"
PA14_RS25390,"2,596","3,715","2,568","3,293","3,119","3,144","1,627","2,244","1,919","1,719","1,872","1,922"
PA14_RS25395,"8,006","8,470","8,220","11,809","9,621","6,640","8,629","7,755","7,784","8,145","8,547","7,946"
PA14_RS25400,935,"1,065",848,"1,579","1,209",856,707,725,745,784,809,723
PA14_RS25405,"3,565","3,788","2,988","5,415","4,034","3,575","2,516","2,485","2,445","2,621","2,292","2,495"
PA14_RS25410,"1,499","1,527","1,399","1,739","1,450","1,302","1,420","1,256","1,702","1,519","1,447","1,725"
PA14_RS25415,802,856,890,"1,010",893,989,620,684,843,688,660,820
PA14_RS25420,877,966,905,987,900,"1,172",835,820,893,799,821,972
PA14_RS25425,"1,312","1,620","1,408","1,672","1,576","2,416","1,128","1,357","1,230","1,221","1,253","1,373"
PA14_RS25430,"1,155","1,420",928,"1,398","1,166","1,511",781,724,855,851,655,710
PA14_RS25435,178,210,186,177,209,83,175,251,236,202,248,172
PA14_RS25440,71,76,65,64,106,44,66,87,63,66,72,47
PA14_RS25445,231,269,222,293,242,140,161,196,194,167,115,124
PA14_RS25450,678,949,879,"1,083",827,"1,030",486,405,498,501,387,479
PA14_RS25455,405,577,495,682,520,572,313,203,288,268,190,265
PA14_RS25460,412,577,465,642,467,652,263,208,228,224,161,233
PA14_RS25465,"1,145","1,453","1,121","1,621","1,272","2,283",999,675,945,851,462,"1,081"
PA14_RS25470,877,"1,084","1,010","1,332",924,"2,160",672,472,685,544,281,844
PA14_RS25475,"1,071","1,407","1,439","1,988","1,224","3,000",871,465,478,535,308,570
PA14_RS25480,437,461,414,580,529,487,491,407,367,534,444,397
PA14_RS25485,211,215,248,304,241,302,191,188,176,187,167,171
PA14_RS25490,173,192,199,225,178,259,184,185,175,232,183,196
PA14_RS25495,"5,872","7,182","7,285","6,201","6,427","10,821","4,633","5,405","7,409","5,392","6,102","7,783"
PA14_RS25500,657,750,804,911,810,894,525,657,599,461,445,511
PA14_RS25505,354,363,338,401,333,490,259,273,308,287,210,264
PA14_RS25510,"1,109","1,298","1,222","1,271","1,277","1,506",944,"1,036","1,002",945,972,"1,038"
PA14_RS25515,234,237,246,347,308,423,170,200,202,216,245,201
PA14_RS25520,213,409,192,350,390,661,247,375,191,213,236,194
PA14_RS25525,306,451,349,461,540,635,460,466,381,347,406,460
PA14_RS25530,471,491,390,557,510,484,437,399,392,527,423,457
PA14_RS25535,585,658,512,740,589,650,569,448,676,637,482,476
PA14_RS25540,"2,875","3,553","2,741","3,185","2,588","3,845","1,514","1,896","1,710","1,637","1,419","1,436"
PA14_RS25545,212,312,190,303,252,285,124,205,146,112,118,107
PA14_RS25550,235,269,190,347,277,436,168,168,104,191,133,147
PA14_RS25555,"1,005","1,343","1,251","1,568","1,450","1,306",887,770,738,878,816,810
PA14_RS25560,"4,298","4,854","3,631","5,240","4,698","4,450","4,090","3,546","4,468","4,638","3,995","4,425"
PA14_RS25565,"1,653","2,140","1,659","2,458","2,088","2,589","1,001","1,388","1,182","1,029","1,271","1,229"
PA14_RS25570,282,357,234,399,407,381,215,250,242,234,299,290
PA14_RS25575,366,491,352,455,447,"1,853",285,456,309,276,360,363
PA14_RS25580,331,515,265,510,549,847,296,406,222,233,303,325
PA14_RS25585,327,406,291,466,453,"1,289",283,354,239,261,373,541
PA14_RS25590,"2,600","2,990","2,440","3,463","2,967","3,205","3,049","2,686","3,152","3,064","2,743","3,147"
PA14_RS25595,"2,327","2,258","2,185","2,721","2,276","1,486","3,270","2,383","2,738","2,990","1,811","2,151"
PA14_RS25600,886,"1,027",781,"1,164",946,795,772,648,722,762,548,602
PA14_RS25605,"3,694","4,554","4,290","4,902","4,551","2,840","4,218","3,981","4,176","4,099","3,845","3,768"
PA14_RS25610,689,848,841,915,874,481,623,575,584,711,607,568
PA14_RS25615,471,577,627,711,537,392,366,407,437,492,403,387
PA14_RS25620,"16,877","1,235","10,341","12,530",999,"3,579","36,995","3,367","36,185","45,856","1,887","23,940"
PA14_RS25625,"12,879","1,125","8,119","9,564",856,"2,885","39,391","3,031","41,620","52,684","1,846","24,873"
PA14_RS25630,"26,919","26,442","19,520","35,481","27,826","14,102","27,481","21,294","24,770","23,887","20,186","18,299"
PA14_RS31005,16,21,14,22,22,27,30,32,25,41,33,20
PA14_RS25635,"17,697","18,657","11,556","23,056","16,390","27,607","18,702","21,237","17,231","26,827","19,694","22,114"
PA14_RS25640,"2,611","3,540","2,216","4,040","3,628","3,359","2,230","3,773","2,036","2,703","2,484","2,206"
PA14_RS25645,901,"1,161",747,"1,286","1,169","1,310",831,"1,328",732,756,910,829
PA14_RS25650,"26,011","29,362","25,133","34,380","32,294","35,205","30,283","34,079","30,893","29,712","30,560","35,463"
PA14_RS25655,"6,334","8,185","6,343","9,075","8,593","19,254","5,776","10,466","6,110","5,818","6,810","8,328"
PA14_RS25660,962,"1,368","1,101","1,526","1,548","3,430",735,"2,076",809,976,"1,137","1,122"
PA14_RS25665,613,882,"1,065","1,668","1,474","2,995",908,"1,555",636,"1,451","1,091",843
PA14_RS25670,"1,655","2,267","2,254","3,013","2,506","4,074","1,736","2,376","2,237","3,496","3,140","2,638"
PA14_RS25675,"3,048","4,230","3,762","4,893","4,249","6,958","2,954","4,110","4,361","6,116","5,631","5,372"
PA14_RS25680,"4,243","6,463","5,287","7,104","6,650","8,939","3,440","5,592","4,846","4,431","4,583","5,225"
PA14_RS25685,"8,136","9,535","8,264","11,679","10,173","7,744","6,597","6,723","8,081","7,975","8,279","10,236"
PA14_RS25690,"3,420","4,252","4,487","5,312","4,974","4,470","2,647","3,007","3,828","3,551","3,396","4,205"
PA14_RS25695,"21,462","24,723","23,034","27,397","26,391","43,000","22,594","23,239","27,653","26,339","25,247","33,792"
PA14_RS25700,"1,498","1,761","1,284","2,233","1,828","6,031","1,291","1,338","1,264","1,829","1,606","2,943"
PA14_RS25705,491,562,504,721,697,"1,142",455,535,391,491,421,394
PA14_RS25710,"2,088","2,464","2,307","2,821","2,502","2,045","1,599","1,698","3,128","2,417","2,261","2,495"
PA14_RS25715,"2,438","2,852","2,277","3,309","3,025","2,825","2,161","2,494","2,851","2,794","2,931","3,417"
PA14_RS25720,"5,898","8,029","6,290","9,003","9,222","8,284","6,415","6,758","6,771","6,769","7,215","9,458"
PA14_RS25725,684,924,603,975,970,"1,215",493,698,572,534,538,792
PA14_RS25730,"1,365","2,134","1,505","2,249","2,261","3,719",960,"1,649","1,034","1,010","1,064","1,601"
PA14_RS25735,"1,486","1,915","1,525","2,897","2,677","8,861","2,056","2,633","3,880","4,322","3,434","9,316"
PA14_RS25740,"2,221","2,826","1,980","4,213","3,587","17,118","2,869","4,134","4,407","5,573","4,558","13,856"
PA14_RS25745,"10,920","12,822","9,179","22,058","16,723","132,247","13,809","16,803","25,649","32,079","21,282","88,307"
PA14_RS25750,974,"1,247",743,"1,500","1,332","12,024",673,"1,562","1,368","1,577","1,212","4,704"
PA14_RS31010,4,3,7,12,10,29,4,19,4,8,12,10
PA14_RS25755,"1,460","1,956","1,513","1,851","2,121","5,138","2,015","2,415","1,754","1,985","2,182","1,743"
PA14_RS25760,"4,236","5,059","5,311","5,028","4,431","9,736","2,676","3,878","4,451","3,592","3,754","4,583"
PA14_RS25765,"1,497","1,838","1,629","2,271","1,980","2,387","1,169","1,266",943,"1,110","1,079","1,037"
PA14_RS25770,383,467,468,551,445,731,310,438,529,499,368,418
PA14_RS25775,730,800,739,890,797,984,666,720,845,876,736,705
PA14_RS25780,796,984,764,"1,135",904,"1,886",672,762,676,656,638,602
PA14_RS25785,488,568,490,556,477,682,368,379,412,452,395,373
PA14_RS25790,427,467,381,747,595,697,430,592,450,431,514,250
PA14_RS25795,343,479,484,618,553,495,299,579,522,463,663,325
PA14_RS25800,968,"1,250","1,396","1,776","1,837",775,879,"1,718","1,301","1,200","2,202",791
PA14_RS25805,"1,438","2,576","2,183","1,883","2,209","1,680","1,363","1,742","1,196","1,213",879,977
PA14_RS25810,"2,911","5,897","4,330","4,130","4,965","3,117","2,528","2,845","1,915","1,815","1,471","1,797"
PA14_RS25815,791,"1,730","1,365","1,359","1,521",920,589,692,530,526,416,446
PA14_RS25820,539,"1,014",789,802,838,524,342,461,330,309,251,281
PA14_RS25825,452,882,772,649,816,479,355,430,264,255,264,234
PA14_RS25830,"1,845","1,970","1,860","2,263","1,775","1,105","1,541","1,155","1,414","1,614",952,"1,100"
PA14_RS25835,97,121,82,111,107,76,87,90,84,105,107,90
PA14_RS25840,155,175,110,158,179,150,132,134,108,122,116,93
PA14_RS25845,247,305,298,305,301,377,248,291,253,261,224,204
PA14_RS25850,753,"1,127","1,031",827,"1,006",625,699,"1,048",900,780,708,678
PA14_RS25855,785,"1,225","1,099",829,"1,001",819,752,"1,113",794,782,714,809
PA14_RS25860,309,393,335,407,441,521,232,297,262,351,376,358
PA14_RS25865,78,109,94,98,101,184,49,67,62,55,52,54
PA14_RS25870,293,308,300,321,260,327,328,320,348,316,208,329
