Gene,D39_CEP_RR07_A,D39_CEP_RR07_B,D39_CEP_RR07_C,D39_CEP_RR07_D,D39_A,D39_B,D39_C,D39_D
SPD_RS00665,60,410,2360,4300,20,390,1990,1350
SPD_RS04180,840,1780,8010,10000,190,2080,8240,4250
SPD_RS05415,110,400,1820,1360,40,260,1360,750
SPD_RS02680,140,790,2580,3300,20,710,2780,1160
aguB,950,4700,17810,22670,430,3050,20740,6300
SPD_RS06280,50,220,970,2140,10,330,1270,350
SPD_RS08760,1090,6640,14160,17320,640,4040,7800,8870
SPD_RS03285,6330,7660,25460,30380,2970,14110,9800,4530
SPD_RS06525,680,3670,6610,9880,250,3140,7720,3260
SPD_RS04975,160,750,990,1280,40,780,960,560
SPD_RS03370,20,220,1180,1610,20,230,660,520
SPD_RS00365,40,150,1010,1500,30,60,950,450
SPD_RS00430,170,490,1520,2060,50,490,1810,640
SPD_RS01960,10,10,20,50,0,20,10,20
SPD_RS05185,270,1290,7940,10490,90,820,7530,3880
SPD_RS05355,1900,10200,83970,92480,1030,8770,65440,30750
SPD_RS06305,3010,8620,10330,23380,1160,9890,13950,5560
nanB,60,20,20,80,20,80,70,10
SPD_RS06650,10900,25920,58230,45740,4800,27230,46580,15180
SPD_RS07560,50,430,7060,6400,70,360,5120,1840
SPD_RS08555,220,550,28940,33980,130,1220,21540,10740
SPD_RS07470,740,4410,16880,26570,280,3240,15050,10310
sufD,6510,29160,109100,74500,3160,22910,56860,45320
SPD_RS00025,390,2380,13490,11820,160,2490,9590,4390
SPD_RS05055,170,550,770,370,90,450,590,210
SPD_RS06655,31020,82610,152550,102990,15750,88730,77990,25130
SPD_RS04695,390,2320,3490,1590,230,1790,2530,730
SPD_RS05170,2250,10760,24890,36960,970,7150,28080,14380
SPD_RS06060,1780,6350,19780,14570,590,6130,17900,7310
SPD_RS01595,100,160,350,450,50,300,210,10
SPD_RS04465,10,30,100,70,0,30,80,30
gatA,2130,14590,29250,10100,1240,13570,15730,4520
SPD_RS06895,340,1760,14670,17210,220,1510,7770,7390
SPD_RS02345,100,390,2210,820,30,700,1050,320
SPD_RS02030,750,2820,19250,12270,370,2440,15770,4410
SPD_RS08070,190,390,1210,850,50,610,870,450
SPD_RS07580,680,6250,53340,33950,350,5360,38730,14470
SPD_RS05110,80,280,1220,1290,30,180,1310,480
SPD_RS08140,490,2510,7250,8500,430,3440,2050,670
SPD_RS08765,730,5930,19220,24340,610,3200,10190,11290
SPD_RS09345,200,750,4370,4540,70,1310,2770,1320
SPD_RS03035,10950,15490,30830,52060,2730,48460,16410,6160
SPD_RS09530,160,1710,6880,4090,170,1430,3580,1580
SPD_RS06335,0,20,110,210,0,0,100,90
SPD_RS05820,2380,12160,26660,28930,1020,9050,29910,11620
SPD_RS07675,50,570,3780,2090,30,520,2670,840
SPD_RS09340,120,480,1930,2480,60,660,1200,730
SPD_RS01585,0,10,50,70,0,10,60,10
SPD_RS06690,140,570,990,1740,40,720,1210,410
SPD_RS04985,220,630,2950,3730,60,560,3710,1240
pflB,85900,207720,392270,242660,45950,152480,282790,118830
SPD_RS06900,430,1890,18000,21330,250,1910,10590,8790
SPD_RS08690,430,1030,5650,5700,220,1970,3150,1180
psaA,11500,93860,29600,42740,5110,94930,23620,12430
SPD_RS03115,2130,8610,33290,49520,790,6320,24940,24860
SPD_RS03690,600,5700,6190,2190,400,5090,3190,770
SPD_RS10070,2410,4440,19560,20410,480,10650,17990,5950
SPD_RS06090,3920,18530,114140,53330,2760,36790,28840,9850
SPD_RS03760,760,2940,6430,10170,270,2480,7890,4140
SPD_RS06885,1140,5370,35200,46450,520,5200,31980,15310
SPD_RS08795,1850,3590,340,660,600,5810,460,810
SPD_RS08405,80,500,690,490,40,560,340,170
SPD_RS01820,0,120,1610,1600,10,200,970,480
gatB,2470,15300,35700,15480,1410,15240,20030,6700
SPD_RS07770,9350,79630,27280,33810,3720,86820,18530,9590
SPD_RS02800,80,730,890,1400,40,650,890,470
SPD_RS07310,1370,3350,11750,3500,700,4580,4750,1490
nrdF,2470,16130,15400,4850,1710,13050,5980,2060
SPD_RS00390,0,40,50,140,0,30,70,40
aguA,920,4930,19030,26770,480,3210,24070,7510
SPD_RS06330,20,40,160,230,0,10,190,130
SPD_RS07710,690,3140,9050,26320,280,3910,11000,7000
SPD_RS00650,250,670,1520,4690,110,740,1840,1440
nspC,720,3890,18030,28130,320,2850,22860,7980
SPD_RS07195,150,660,2860,3960,70,520,3020,1310
SPD_RS01045,180,1450,5340,8100,50,1930,3970,2710
SPD_RS09995,180,1120,27210,30170,50,790,26610,9900
SPD_RS05780,520,2770,14400,16980,300,2420,13770,5060
SPD_RS01230,30,90,270,300,10,140,230,60
SPD_RS03225,180,330,470,770,60,520,470,310
SPD_RS05505,1860,6850,30520,12120,1240,6210,10550,8400
SPD_RS02835,180,500,280,310,30,790,440,240
SPD_RS07960,10,20,40,80,0,50,10,20
SPD_RS03575,60,230,1370,2450,30,170,1380,830
SPD_RS06495,40,400,3110,1460,60,530,1390,510
SPD_RS04625,530,4270,7410,11930,270,1910,9960,5780
SPD_RS08420,40,240,370,270,20,220,330,110
SPD_RS01050,220,1450,4950,11820,80,1820,3600,4180
thiD,2200,6610,25010,20360,1810,5420,10520,4670
SPD_RS04340,620,2590,19040,22190,160,1950,22350,7790
SPD_RS05855,410,1970,3930,3940,120,1160,5140,2750
SPD_RS04095,4860,26390,88760,59890,2470,20540,46170,44030
SPD_RS00655,230,630,1500,3270,90,950,1290,990
SPD_RS04915,210,430,1820,1480,40,570,2450,570
SPD_RS05050,20,20,200,160,20,10,170,50
SPD_RS00625,20,30,360,460,0,70,380,120
SPD_RS04455,40,120,280,190,20,110,290,70
dnaK,4920,7100,54980,352620,880,11350,273840,31610
SPD_RS06890,1210,5360,38000,49170,650,5950,30390,17320
SPD_RS06865,2090,11480,13940,4520,1360,8880,9630,2460
SPD_RS03120,28410,98810,371080,466670,11620,91330,299440,229010
SPD_RS04525,40,550,1950,3440,20,320,1950,1390
SPD_RS08710,160,440,430,1130,70,600,590,230
SPD_RS00580,130,760,250,530,30,770,690,320
SPD_RS04980,220,690,2340,2700,60,810,2530,1100
SPD_RS00535,850,2880,3080,2510,300,3760,2880,1240
SPD_RS08860,2570,7190,20990,21950,750,8770,24580,10060
SPD_RS03320,40,210,260,470,30,240,220,80
SPD_RS00720,810,3760,19990,13360,340,4480,14910,5900
SPD_RS05785,30,470,3170,3200,30,390,2820,1030
SPD_RS07145,130,660,1590,4110,50,440,2110,1620
SPD_RS04270,1800,10390,5530,2130,1160,8520,3670,910
SPD_RS09535,2560,14410,40730,30060,1120,12090,41170,14420
SPD_RS10315,60,220,2490,2680,10,300,2240,1000
SPD_RS08235,850,3330,32650,24310,330,4370,26010,9960
rpoD,1630,9600,49370,61670,1110,6710,44420,22660
SPD_RS10170,260,1830,12950,23380,220,1960,11020,7290
SPD_RS04690,460,2760,3510,1200,320,1950,3090,670
spxB,41200,176970,642420,225160,21200,167270,449170,158280
SPD_RS00435,970,4000,11550,11940,490,4490,8290,4800
SPD_RS10020,30,220,39990,50460,10,360,38820,16690
SPD_RS02975,3830,26990,41340,60420,1920,22290,44790,26260
SPD_RS07530,1340,8140,11710,5550,690,8590,7120,3110
SPD_RS03550,3690,18030,48590,54120,2170,16680,39860,20390
rpsG,7120,51510,263100,142580,4490,42060,208330,69400
SPD_RS03265,280,870,3030,4190,80,700,3990,1930
argH,560,1720,750,1930,180,1740,2760,1170
rpsJ,3020,35940,158690,131350,2150,23720,136590,62180
SPD_RS00465,560,2780,11490,7690,190,3850,6870,4170
SPD_RS10015,70,460,57910,75100,10,480,57710,25170
SPD_RS09350,150,880,4390,5090,90,1120,3160,1730
SPD_RS08755,2890,22260,34130,28980,2460,13730,15510,18440
SPD_RS06365,600,3510,4510,5300,330,2550,4610,3050
SPD_RS03240,1850,8380,21880,33630,750,6520,26680,14930
SPD_RS00440,1460,7000,12510,14770,750,5630,12810,7170
SPD_RS04055,40,290,6670,6760,20,320,5810,2490
SPD_RS07050,20,0,30,20,0,40,10,0
ilvN,100,930,8870,15680,30,930,10390,4870
SPD_RS01370,4530,49730,176810,90560,4160,36950,131330,43130
SPD_RS06530,800,5060,13780,16480,340,4510,15200,6750
pcrA,720,5400,22150,20100,360,4350,21360,8710
SPD_RS05525,1540,6160,17980,23490,1070,3650,16350,9310
SPD_RS00915,0,10,50,80,0,30,10,30
SPD_RS04185,580,1190,4530,6610,200,1400,5510,2870
SPD_RS02990,2330,10810,31830,33970,830,10090,35420,16300
SPD_RS03235,1260,6910,17090,27980,590,4460,20540,12960
recU,3600,14790,11780,4730,1640,17910,7290,2850
SPD_RS09990,320,2070,32070,39810,220,2050,33270,12250
SPD_RS06535,540,2550,12300,12910,150,2640,12550,5830
SPD_RS10000,140,1100,35260,37900,140,1190,33570,12430
SPD_RS07515,1220,21560,76920,46840,1550,17470,45740,23940
SPD_RS09500,130,690,1260,2280,110,580,1170,670
SPD_RS00640,60,70,830,1400,20,190,890,390
hrcA,2980,7040,31480,121870,970,13670,87840,15460
SPD_RS08400,2600,12760,13790,10760,1550,11570,10750,5220
SPD_RS03640,1270,7480,89360,77830,550,8040,88300,27350
SPD_RS02365,440,2480,5430,8880,140,2310,5730,4510
SPD_RS05005,60,360,1880,1680,20,470,1670,580
SPD_RS04100,1640,9480,30050,19160,990,6730,15720,16240
SPD_RS10310,30,300,1840,2100,0,260,1820,920
SPD_RS09985,800,4330,41500,49480,520,3990,44270,15160
SPD_RS06520,720,4250,6050,8930,390,3560,7860,3530
SPD_RS09585,60,860,4100,8820,0,830,4400,3470
SPD_RS04500,480,2340,14550,20180,190,1830,15630,8340
SPD_RS08915,10,20,140,470,0,30,230,140
phoH,1750,8860,43890,64470,1040,7510,44020,23970
SPD_RS00715,6970,37410,103040,54810,3550,44110,78730,23440
SPD_RS03755,430,1950,5230,7880,190,1590,6080,3560
SPD_RS10010,1440,6790,72010,91960,850,6810,74040,30610
SPD_RS01060,410,2390,5470,12940,220,3180,4120,4320
SPD_RS05290,1020,5150,12430,12950,550,3920,12980,6490
SPD_RS02980,3590,25570,53610,64590,2040,20590,57550,28650
SPD_RS01645,2450,13750,27840,23190,1650,12080,22720,9400
SPD_RS07210,90,300,390,4010,50,270,1530,1010
SPD_RS05175,1700,11660,27020,51070,950,6940,36280,21560
SPD_RS06745,730,2430,8260,5120,160,4050,9000,2020
SPD_RS09075,530,3980,11270,10280,420,3020,7930,5220
nrdG,260,2050,5360,14770,140,2950,3850,4920
sufB,5860,37960,83160,40920,3460,29920,44210,43210
SPD_RS06475,2250,7220,30050,49630,870,6990,33660,21980
SPD_RS02185,360,2480,21220,41890,230,2490,25310,13010
rrf,0,0,25800,28690,0,0,25260,10450
