,covR_Ctrl1,covR_Ctrl2,covR_Ctrl3,covR_Ctrl4
CHF17_RS09985,1534,1238,1105,1706
CHF17_RS09990,41,45,30,45
CHF17_RS09995,3285,1952,1775,3030
CHF17_RS10000,262,226,239,286
CHF17_RS10005,100,100,104,146
CHF17_RS10010,327,311,293,409
CHF17_RS10015,7985,5535,6103,7978
CHF17_RS10020,5033,5145,3820,7552
CHF17_RS10025,1303,1357,1442,1961
CHF17_RS10030,139,135,137,210
CHF17_RS10035,140,97,114,143
CHF17_RS10040,355,375,336,532
CHF17_RS10045,2004,1013,1347,1801
CHF17_RS10050,3017,1580,1810,2618
CHF17_RS10055,84,103,72,126
CHF17_RS10060,313,294,282,328
CHF17_RS10065,203,167,159,232
CHF17_RS10070,6726,4023,3543,4904
CHF17_RS10075,10227,7222,5879,9405
CHF17_RS10080,40,31,28,47
CHF17_RS10085,68,42,55,84
CHF17_RS10090,311,158,222,286
CHF17_RS10095,472,233,413,648
CHF17_RS10100,137,73,158,160
CHF17_RS10105,78,37,75,104
CHF17_RS10110,1333,945,1402,2012
CHF17_RS10115,839,851,858,1032
CHF17_RS10120,59,37,45,69
CHF17_RS10125,125,89,94,108
CHF17_RS10130,80,58,47,67
CHF17_RS10135,134,84,74,113
CHF17_RS10140,1575,1259,918,2637
CHF17_RS10145,1690,1477,914,2120
CHF17_RS10150,4532,4587,2751,5438
CHF17_RS10155,2012,1885,1274,1656
CHF17_RS10160,1633,1656,1047,1646
CHF17_RS10165,937,855,559,985
CHF17_RS10170,28346,26470,17170,25816
CHF17_RS10175,1206,1322,1096,1276
CHF17_RS10180,1473,2034,1639,1766
CHF17_RS10185,227,440,279,324
CHF17_RS10190,4769,26052,3104,4245
CHF17_RS10195,1270,1297,785,1713
CHF17_RS10200,2100,1490,1369,2340
CHF17_RS10205,287,183,152,261
CHF17_RS10210,180,178,101,217
CHF17_RS10215,481,392,263,319
CHF17_RS10220,503,620,507,526
CHF17_RS10225,1198,1521,1237,1305
CHF17_RS10230,3764,5224,4556,4256
CHF17_RS10235,470,654,607,556
CHF17_RS10240,820,1080,1041,997
CHF17_RS10245,380,570,438,555
CHF17_RS10250,491,774,518,765
CHF17_RS10255,1177,1369,999,1635
CHF17_RS10260,396,623,341,465
CHF17_RS10265,608,760,482,619
CHF17_RS10270,523,538,329,389
CHF17_RS10275,1034,1407,756,1261
CHF17_RS10280,1165,1879,1141,1475
CHF17_RS10285,1698,3207,1837,2208
CHF17_RS10290,136,294,123,208
CHF17_RS10295,1650,2864,1642,2072
CHF17_RS10300,975,933,891,1015
CHF17_RS10305,742,646,423,800
CHF17_RS10310,450,346,292,240
CHF17_RS10315,2935,2117,1946,1815
CHF17_RS10320,8273,3157,5529,7978
CHF17_RS10325,870,748,606,832
CHF17_RS10330,1728,1313,1057,1450
CHF17_RS10335,11,9,11,17
CHF17_RS10340,2816,2056,2082,2160
CHF17_RS10345,9813,12721,7927,7486
CHF17_RS10350,2452,1434,1575,2425
CHF17_RS10355,462,555,521,494
CHF17_RS10360,378,446,467,441
CHF17_RS10365,308,244,243,318
CHF17_RS10370,1667,1075,1168,1146
CHF17_RS10375,439,891,604,849
CHF17_RS10380,1283,1125,897,1055
CHF17_RS10385,2604,2853,2047,2246
CHF17_RS10390,1488,1546,913,1215
CHF17_RS10395,39380,40738,44413,45458
CHF17_RS10400,584,741,882,1028
CHF17_RS10405,1686,1340,1279,1494
CHF17_RS10410,2323,1806,1922,2232
CHF17_RS10415,9617,7422,7294,9396
CHF17_RS10420,14235,11365,10422,13129
CHF17_RS10425,15623,9672,10900,14161
CHF17_RS10430,282094,167597,199894,167086
CHF17_RS10435,3037,1354,1891,1549
CHF17_RS10440,9047,4637,6593,4980
CHF17_RS10445,28645,24128,25561,23184
CHF17_RS10450,5628,3287,3959,4300
CHF17_RS10455,15461,13699,9568,9801
CHF17_RS10460,3196,4077,4112,4194
CHF17_RS10465,5784,6053,4551,4241
CHF17_RS10470,10174,12251,8325,8745
CHF17_RS10475,4066,6109,3734,3364
CHF17_RS10480,1424,1528,1004,964
CHF17_RS10485,566,558,438,441
CHF17_RS10490,91480,38997,83028,58836
CHF17_RS10495,12698,5853,11556,7563
CHF17_RS10500,14626,14014,13268,9512
CHF17_RS10505,22605,22110,20761,16124
CHF17_RS10510,1093,754,676,836
CHF17_RS10515,244,192,158,179
CHF17_RS10520,3361,2002,2284,2786
CHF17_RS10525,586,752,636,719
CHF17_RS10530,1915,2723,2223,2846
CHF17_RS10535,3189,4273,3937,4736
CHF17_RS10540,1009,1022,932,1106
CHF17_RS10545,8709,10552,9209,11967
CHF17_RS10550,21961,19260,15152,23097
CHF17_RS10555,151,153,103,190
CHF17_RS10560,29104,20283,18641,21493
CHF17_RS10565,38883,30583,27558,31474
CHF17_RS10570,21855,15657,14097,15721
CHF17_RS10575,50450,33686,31852,44719
CHF17_RS10580,6619,7189,8529,10367
CHF17_RS10585,1650,1512,1958,2464
CHF17_RS10590,2925,2679,2748,3339
CHF17_RS10595,3910,3572,3628,4077
CHF17_RS10600,5803,6419,7259,7453
CHF17_RS10605,9236,8173,9444,9455
CHF17_RS10610,133,110,131,264
CHF17_RS10615,10957,9977,8395,25633
CHF17_RS10620,13404,15695,12859,14919
CHF17_RS10625,3944,2415,2806,3140
CHF17_RS10630,35909,27543,27185,24711
CHF17_RS10635,4246,3076,3270,3140
CHF17_RS10640,5032,4989,4133,4778
CHF17_RS10645,14521,13214,11956,15536
CHF17_RS10650,47789,39005,40903,39556
CHF17_RS10655,18059,10412,12343,14168
CHF17_RS10660,25312,10715,14908,12323
CHF17_RS10665,67937,32540,41935,43210
CHF17_RS10670,24899,16270,17355,28388
CHF17_RS10675,1885,1817,1631,2902
CHF17_RS10680,1628,1229,1495,1421
CHF17_RS10685,5462,4442,4864,5483
CHF17_RS10690,28,35,19,29
CHF17_RS10695,253,328,237,207
CHF17_RS10700,938,1140,716,704
CHF17_RS10705,455,558,351,357
CHF17_RS10710,104,138,129,122
CHF17_RS10715,51,67,59,46
CHF17_RS10720,29799,19074,22343,20319
CHF17_RS10725,178,389,131,151
CHF17_RS10730,2185,2043,1569,1523
CHF17_RS10735,4103,4491,2935,3386
CHF17_RS10740,150,173,127,150
CHF17_RS10745,44,28,43,49
CHF17_RS10750,25,42,34,44
CHF17_RS10755,123,119,71,103
CHF17_RS10760,149,138,103,128
CHF17_RS10765,4929,3259,4067,3899
CHF17_RS10770,11587,10514,10711,11460
CHF17_RS10775,44019,44402,33612,41891
CHF17_RS10780,15901,15875,11649,16359
CHF17_RS10785,142,157,122,187
CHF17_RS10790,1171,1189,1041,987
CHF17_RS10795,610,2630,367,495
CHF17_RS10800,183,981,113,151
CHF17_RS10805,633,582,414,633
CHF17_RS10810,27,34,31,32
CHF17_RS10815,33,38,23,27
CHF17_RS10820,11,13,9,14
CHF17_RS10825,82,86,60,95
CHF17_RS10830,133,107,101,122
CHF17_RS10835,24,26,29,29
CHF17_RS10840,459,311,397,511
CHF17_RS10845,414,505,540,584
CHF17_RS10850,83,140,134,167
CHF17_RS10855,114,167,168,206
CHF17_RS10860,81,102,80,101
CHF17_RS10865,99,139,148,161
CHF17_RS10870,102,49,78,108
CHF17_RS10875,80,40,73,86
CHF17_RS10880,24,22,25,38
CHF17_RS10885,15,19,20,35
CHF17_RS10890,15,15,16,22
CHF17_RS10895,6,10,8,5
CHF17_RS10900,2251,2494,1833,1823
CHF17_RS10905,3492,3723,3012,2899
CHF17_RS10910,2552,3350,2696,2847
CHF17_RS10915,104059,62088,71161,94803
CHF17_RS10920,2347,2040,2419,2639
CHF17_RS10925,8702,11030,13167,16284
CHF17_RS10930,3756,3974,5118,4793
CHF17_RS10935,20183,20597,16753,21493
CHF17_RS10940,7000,8084,8271,8429
CHF17_RS10945,8232,16358,7669,9123
CHF17_RS10950,13510,24019,12912,12888
CHF17_RS10955,4098,2718,3509,3170
CHF17_RS10960,7583,4857,6005,5906
CHF17_RS10965,27984,12047,19441,21689
CHF17_RS10970,13836,3744,8121,7887
CHF17_RS10975,4720,4334,3764,4886
CHF17_RS10980,4812,4554,4772,4642
CHF17_RS10985,17260,11617,12030,11742
CHF17_RS10990,8998,7030,7252,8523
CHF17_RS10995,7972,7819,5671,7627
CHF17_RS11000,5459,5043,3496,5493
CHF17_RS11005,1563,1058,1064,1449
CHF17_RS11010,11629,8660,7843,10023
CHF17_RS11015,5678,4331,3871,5170
CHF17_RS11020,1347,990,880,1349
CHF17_RS11025,76784,67220,61036,59312
CHF17_RS11030,4040,2820,2649,3506
CHF17_RS11035,3365,2734,2387,3762
CHF17_RS11040,972,789,676,1057
CHF17_RS11045,1921,29696,1944,1841
CHF17_RS11050,363,6427,398,420
CHF17_RS11055,1811,27537,1855,1805
CHF17_RS11060,991,15958,1091,1260
CHF17_RS11065,1380,18594,1299,1142
CHF17_RS11070,16567,13687,10549,12766
CHF17_RS11075,1447,961,903,1187
CHF17_RS11080,7363,5257,5372,7009
CHF17_RS11085,57691,39345,38794,43724
CHF17_RS11090,11771,9979,8120,13895
CHF17_RS11095,104,104,67,138
CHF17_RS11100,91,106,61,72
CHF17_RS11105,278,416,143,290
CHF17_RS11110,4207,5919,2529,3375
CHF17_RS11115,25889,27032,17986,20391
CHF17_RS11120,5813,4908,4095,4416
