Id,WT.1,WT.2,WT.3,X13.1,X13.2,X13.3,X14.1,X14.2,X14.3,X15.1,X15.2,X15.3
GALLO_RS05380,5780,6656,16084,10060,6805,10438,11368,6421,13481,10513,13822,12238
GALLO_RS05385,1994,2259,3354,3690,2255,2684,3215,1939,2714,3039,3187,2625
GALLO_RS05390,478,659,341,431,661,586,282,507,219,239,461,347
GALLO_RS05395,180,208,859,653,253,709,584,179,954,562,458,707
GALLO_RS05400,562,604,1684,1091,645,1231,1201,555,1961,1155,1082,1420
GALLO_RS05405,10,10,17,10,8,17,12,9,9,14,19,19
GALLO_RS05410,16,20,34,24,19,41,16,22,28,22,24,33
GALLO_RS05415,9475,15632,9227,7965,11792,7361,7397,11455,7104,6905,14398,6321
GALLO_RS05420,468,411,2172,1385,534,1552,1779,451,2408,1706,1247,1958
GALLO_RS05425,1295,1422,2034,2936,1977,2321,1933,1278,1467,1625,2062,1873
GALLO_RS05430,1468,2356,1698,1840,2637,2174,1219,1882,1062,1309,2547,1790
GALLO_RS05435,227,276,411,344,337,372,318,214,418,278,385,455
GALLO_RS05440,584,715,1002,759,803,940,727,654,891,784,1002,1197
GALLO_RS05445,494,620,2475,1154,718,1451,1477,632,2222,1436,1833,1876
GALLO_RS05450,1191,1220,855,1157,1016,929,1052,884,939,966,1035,680
GALLO_RS05455,16,25,26,20,17,19,25,19,21,24,24,19
GALLO_RS05460,2036,2134,2611,2248,2048,2309,2237,1758,2287,1988,2591,1968
GALLO_RS05465,4341,4910,5629,5569,4779,5465,5300,4386,5559,5047,6459,4886
GALLO_RS05470,2992,3248,3898,3671,3004,3396,3784,2741,3764,3483,4312,3477
GALLO_RS05475,3207,4527,4429,3751,3960,4058,3608,3870,4152,3464,5377,3783
GALLO_RS05480,9165,14172,12901,10318,12518,11958,9545,12175,11436,9527,16185,10730
GALLO_RS05485,4589,6868,6274,4939,6034,5588,4944,5860,5302,4790,8194,5193
GALLO_RS05490,3619,5235,4276,4031,4539,4229,3828,4410,3883,3724,5894,4168
GALLO_RS05495,4370,5323,5474,5437,4920,4856,5202,4728,5118,4948,6644,4837
GALLO_RS05500,4438,5734,5943,5450,5357,5310,5205,4915,5650,5203,7142,5281
GALLO_RS05505,94,128,431,192,167,274,252,132,412,203,348,369
GALLO_RS05510,190,250,154,139,182,116,168,177,141,146,248,145
GALLO_RS05515,378,646,455,317,546,417,298,489,259,259,653,372
GALLO_RS05520,292,343,665,559,416,461,567,320,563,454,657,493
GALLO_RS05525,161,165,272,292,178,221,292,156,246,204,317,214
GALLO_RS05530,725,934,974,1157,1018,861,978,788,828,878,1186,835
GALLO_RS05535,736,1058,852,1090,966,742,1045,838,695,843,1263,651
GALLO_RS05540,26600,30292,27920,30474,24529,24239,33242,24035,30581,31319,36271,22876
GALLO_RS05545,890,1193,865,865,896,785,941,999,698,757,1253,630
GALLO_RS05550,138,153,117,115,125,85,109,107,96,86,118,75
GALLO_RS05555,1099,1526,1185,1141,1317,869,1226,1261,1003,1049,1699,1027
GALLO_RS05560,1662,2598,2135,1595,2270,2178,1423,1797,1503,1161,2103,1277
GALLO_RS05565,1033,765,1688,1954,974,1783,3029,569,2091,1606,867,1523
GALLO_RS05570,34,33,39,12,41,40,15,44,34,24,49,51
GALLO_RS05575,599,519,320,524,354,384,374,607,523,563,884,363
GALLO_RS05580,19,31,26,25,25,22,16,34,30,18,39,26
GALLO_RS05585,21,14,38,20,21,37,31,16,36,38,34,29
GALLO_RS05590,93,99,49,79,77,70,58,88,36,63,112,42
GALLO_RS05595,2396,2870,2705,2192,2357,2015,2669,2486,2421,2372,3765,2083
GALLO_RS05600,3565,4369,3644,3290,3695,2494,3648,3733,3197,3140,5273,2745
GALLO_RS05605,3800,4879,4326,3686,4134,3028,4135,4124,3829,3500,6344,3208
GALLO_RS05610,4209,5326,4863,4585,4677,4132,3972,4221,4164,3886,5895,3827
GALLO_RS05615,351,403,399,500,391,395,363,360,333,421,473,315
GALLO_RS05620,471,506,462,608,484,506,503,476,444,479,608,412
GALLO_RS05625,3605,4392,4051,4482,4092,3857,4062,3889,3733,3764,5474,3304
