,GAS-WT-no-manganese-OD1-0-rep-1,GAS-WT-no-manganese-OD1-0-rep-2,GAS-WT-no-manganese-OD1-0-rep-3,GAS-WT-100um-manganese-OD1-0-rep-1,GAS-WT-100um-manganese-OD1-0-rep-2,GAS-WT-100um-manganese-OD1-0-rep-3,GAS-delmtsR-100um-manganese-OD1-0-rep-1,GAS-delmtsR-100um-manganese-OD1-0-rep-2,GAS-delmtsR-100um-manganese-OD1-0-rep-3
SpyM3_0585,1450.773368,1484.840849,1500.111245,1438.597845,1309.163276,1255.734757,868.5326313,892.7321366,693.3748325
SpyM3_0586,841.4509042,867.4878945,834.41936,808.3435882,745.4129789,685.9609103,563.8219728,572.0368362,483.4737949
SpyM3_0588,274.9650851,266.6107368,257.7035898,237.309086,251.9901462,212.6212744,737.6037194,802.8894774,637.7308311
SpyM3_0589,179.7075467,166.3156007,174.3631691,175.6073878,143.6191164,157.7431395,351.3385607,353.8602646,297.7509046
SpyM3_0591,52.05499301,51.9996737,47.49440977,48.09232203,43.51032264,45.16729953,785.390439,769.7989837,652.8923059
SpyM3_0592,207.5599322,224.2010372,216.1607724,197.0563833,186.2147928,178.3499372,502.030108,506.6424333,409.8521966
SpyM3_0593,301.5654658,296.2135817,299.1802288,255.6300583,260.9197601,255.1139291,2.823926503,3.635168657,4.332276759
SpyM3_0594,240.7444753,248.8754022,244.8527469,211.7502408,214.4569221,215.7641801,8.818631351,8.765893115,8.383726092
SpyM3_0598,299.2066868,277.0246722,282.9438698,258.0389654,277.7577573,259.0603734,12.00168764,15.44946679,12.31941973
SpyM3_0603,159.5759178,209.4344601,182.9636119,304.7675752,221.9896306,241.1268129,3.857685312,4.138250034,4.842163228
SpyM3_0605,853.7149594,870.0954645,858.2912884,919.1959661,889.4420629,881.7498581,10.38607584,14.03821742,10.62240936
SpyM3_0606,1422.978794,1406.743512,1421.03838,1369.972709,1324.462024,1331.438034,0.685810722,5.628020046,0.860829018
SpyM3_0613,75.08198161,80.41130418,75.17574357,70.81833977,78.71218811,80.50751777,8.641215099,9.640467279,7.327376604
SpyM3_0615,586.432334,660.0110556,624.2373831,659.0112204,550.6879435,551.62205,7.233893918,6.920514577,6.108348377
SpyM3_0619,633.3380181,601.5423104,635.6419978,944.3658937,946.5052795,1110.417399,5.705299048,4.267625731,3.698922691
SpyM3_0620,665.0215973,684.5707952,681.6305448,1032.056603,1065.994356,1240.010887,116.9129916,117.3693329,149.1732585
SpyM3_0623,385.5625348,391.1470975,400.8599067,404.7679159,364.5383814,371.377949,53.8943709,42.8504079,54.19433002
SpyM3_0627,878.7616142,1057.508027,981.0373517,1215.915545,985.7127146,955.8111973,316.6133284,328.7972531,321.7907863
SpyM3_0628,2800.969021,2733.119704,2608.67916,2319.585963,2512.614996,2104.248441,12.00168764,11.58710009,14.16321248
SpyM3_0629,188.1154415,212.5448729,241.3164206,311.340887,267.2667236,295.1827067,11.42168043,14.21465811,12.69376124
SpyM3_0630,290.9940588,316.1250848,328.9464586,452.054948,407.990906,407.1261418,43.79997344,49.05603889,43.55420131
SpyM3_0631,39.90810787,43.18571038,44.21177396,52.89613455,40.51132378,47.84928399,94.47552739,97.41648912,85.30809006
SpyM3_0632,112.8387885,111.4910179,112.9370068,114.4773605,119.4416074,115.1667519,34.24871838,47.76146137,30.37396699
SpyM3_0633,2059.336623,1757.82957,2144.021763,1899.139332,2161.035558,2170.508402,263.309753,294.4762004,242.6552371
SpyM3_0636,331.2602562,349.2220832,329.0883051,339.8389512,334.9203426,312.8011518,125.1287063,128.7455566,114.7506337
SpyM3_0637,485.9200361,475.6189029,468.5807711,494.3442381,495.4508144,485.7072771,91.38990012,100.0099705,94.00911438
SpyM3_0638,195.279183,185.2878988,191.6169067,198.687216,210.1034713,201.3141346,20.2651447,22.79429527,14.15899096
SpyM3_0641,760.7194607,762.4149206,762.6887172,734.4848682,760.0888856,699.1053215,75.90256506,73.84996964,85.0817739
SpyM3_0643,88.21014894,87.43202789,86.20291199,67.91320855,75.82970959,70.9799204,262.873328,267.2757755,227.3979847
SpyM3_0644,422.6555028,403.101611,409.725505,347.9906966,373.0817476,341.954999,211.0147468,198.1912942,224.8434003
SpyM3_0645,246.3116953,254.6700332,243.9548029,261.278593,250.7988342,249.0211598,168.4736902,179.1655352,177.3845796
SpyM3_0650,116.659745,126.0327677,123.3070177,107.376468,116.7115224,110.2391638,119.0801593,117.9058088,130.9999802
SpyM3_0651,221.7019116,213.6634252,218.2952001,199.8418506,217.0724353,199.6683908,428.9363486,433.893806,395.9517056
SpyM3_0652,149.4505423,138.3939872,144.5739255,135.9663458,144.9560548,137.5289157,97.33075949,104.9904313,100.6750035
SpyM3_0653,288.9544994,295.8497599,293.0478958,350.1450095,295.5211552,360.7764167,141.2913296,157.6490834,142.652617
SpyM3_0654,93.2921583,89.22481793,103.3198381,117.2319639,93.85421937,102.0304047,386.7376116,405.764412,348.4486157
SpyM3_0655,498.813705,531.9635287,518.7973212,644.5165994,533.9476071,627.1176659,874.9104834,924.5456173,763.8282851
SpyM3_0656,694.6743978,673.9153912,689.1644449,899.6994806,749.3075614,943.3684922,309.2958286,318.1579447,299.2721694
SpyM3_0657,812.0887439,848.7766242,837.7445497,1077.529588,959.0608805,1108.869153,339.8930985,345.180352,340.5743978
SpyM3_0659,305.4110507,332.7894357,328.6803107,316.661011,325.7967306,339.3962883,831.462372,806.3217169,710.9230358
SpyM3_0660,128.3152538,124.3434782,123.0924224,124.947365,119.6952833,120.4425161,582.3633715,578.3250403,618.1035752
SpyM3_0666,336.2839708,330.652587,335.6387266,302.2372924,307.2480871,288.8008784,316.7964265,336.4034273,282.0096
SpyM3_0669,150.5457941,150.2913485,155.4109302,157.6756475,149.9631084,145.7650934,16.64799042,16.77426344,19.09817385
SpyM3_0670,305.3990998,311.262939,306.2008299,366.6705327,347.7696105,379.7058181,99.606363,101.3317734,82.77483278
SpyM3_0671,585.4619633,603.5088724,603.2565079,587.683383,565.2068479,562.4231356,595.789041,581.5504553,530.0592436
