geneID,NSC2,NSC3,SC2,Nmts1,mts1,mts3
SSUSC84_RS07775,4331,4256,4238,5057,3959,5153
SSUSC84_RS01230,617,1049,808,647,788,1069
SSUSC84_RS04845,784,961,770,791,654,767
SSUSC84_RS05155,15852,17678,20803,15163,14956,16349
SSUSC84_RS05000,48,72,71,61,111,151
SSUSC84_RS02310,3550,3670,3593,3161,3570,3647
SSUSC84_RS08540,122,201,137,295,195,144
Novel00003,1388,1854,6015,1496,5552,6252
SSUSC84_RS00070,1019,1052,793,650,823,707
SSUSC84_RS10470,166,251,326,248,225,317
SSUSC84_RS01605,755,891,960,968,813,983
SSUSC84_RS00185,286,455,335,303,281,265
SSUSC84_RS01730,758,974,1486,1290,847,1647
SSUSC84_RS08240,685,878,926,1147,1196,1461
SSUSC84_RS04895,20,16,16,25,17,16
SSUSC84_RS07285,5534,6417,5252,5359,6339,5505
SSUSC84_RS02250,216,306,235,277,257,357
SSUSC84_RS09270,71,110,348,64,87,208
SSUSC84_RS02535,1957,2059,1709,1537,1856,1974
SSUSC84_RS06815,26,18,21,26,25,20
SSUSC84_RS08560,1314,1404,1603,1332,1376,1659
SSUSC84_RS05490,42,30,62,58,74,83
SSUSC84_RS07070,275,374,876,358,374,741
SSUSC84_RS05110,419,415,438,482,387,541
SSUSC84_RS05390,104,160,225,95,199,226
SSUSC84_RS00125,0,0,0,0,0,0
SSUSC84_RS06320,5,10,8,10,10,9
SSUSC84_RS07870,276,476,261,460,422,571
SSUSC84_RS01410,571,547,839,1168,977,1387
SSUSC84_RS05600,489,472,521,767,423,687
SSUSC84_RS09845,465,458,684,589,474,786
SSUSC84_RS02695,1846,2317,2574,2641,2041,2846
SSUSC84_RS04305,2563,2416,3347,2382,1959,2356
SSUSC84_RS01010,289,278,323,269,367,449
SSUSC84_RS03300,307,209,331,352,215,334
SSUSC84_RS00970,13,7,23,30,14,20
SSUSC84_RS01630,57,55,62,65,69,79
SSUSC84_RS00195,7502,9147,8137,8227,7230,8494
SSUSC84_RS04835,107,142,172,175,125,152
SSUSC84_RS08620,511,626,471,512,510,683
SSUSC84_RS04170,528,657,555,346,414,443
SSUSC84_RS04265,65,72,65,83,60,71
SSUSC84_RS05005,3,0,9,3,4,3
SSUSC84_RS04075,443,617,461,414,456,423
SSUSC84_RS08345,152,125,171,126,121,144
SSUSC84_RS09940,161,224,294,227,310,430
SSUSC84_RS08600,4114,4362,1544,3539,2522,2841
SSUSC84_RS09345,2523,2551,3150,3402,2299,3309
SSUSC84_RS10305,2,0,2,1,6,5
SSUSC84_RS10570,2,0,0,0,0,0
SSUSC84_RS04615,4,8,6,10,15,16
SSUSC84_RS07995,18,26,15,16,17,28
SSUSC84_RS01225,340,410,428,382,391,420
SSUSC84_RS04225,572,569,753,787,697,975
SSUSC84_RS04585,56,53,91,78,75,92
SSUSC84_RS10620,100,102,40,46,83,49
SSUSC84_RS00360,2223,2623,3120,2362,2265,2939
SSUSC84_RS05950,531,499,990,393,548,617
SSUSC84_RS02335,9,4,8,5,11,3
SSUSC84_RS03665,4454,3947,4649,5087,3657,4574
SSUSC84_RS10665,4,4,16,135,193,213
SSUSC84_RS01245,1159,1366,1423,1410,1560,1950
SSUSC84_RS02780,12015,10130,10089,14468,8958,10109
SSUSC84_RS02030,4532,4446,5001,5161,4487,5088
SSUSC84_RS00645,0,0,0,0,0,0
SSUSC84_RS03235,1414,1345,1406,1391,1667,1729
SSUSC84_RS08005,1224,1145,1264,1395,960,1404
SSUSC84_RS03710,52,72,78,56,79,124
SSUSC84_RS10235,4251,5426,5959,3345,5179,5335
SSUSC84_RS00960,47,35,66,63,59,64
SSUSC84_RS01015,93,169,158,87,153,158
SSUSC84_RS09165,7578,7159,9275,9006,6642,10279
SSUSC84_RS03365,1579,1227,1823,2040,1148,1731
