,sczA_Zn1,sczA_Zn2,sczA_Zn3,sczA_Zn4
CHF17_RS09935,285,512,581,798
CHF17_RS09940,2934,3591,4232,4624
CHF17_RS09945,1379,1948,2049,2245
CHF17_RS09950,835,1103,1341,1440
CHF17_RS09955,117,220,226,248
CHF17_RS09960,1170,1640,1803,1877
CHF17_RS09965,1649,1940,2080,1991
CHF17_RS09970,7937,9171,9153,8454
CHF17_RS09975,5940,2174,2927,3961
CHF17_RS09980,1693,411,746,1047
CHF17_RS09985,2113,1789,1962,1940
CHF17_RS09990,95,134,79,87
CHF17_RS09995,1733,1493,1532,1698
CHF17_RS10000,239,281,245,229
CHF17_RS10005,196,244,221,198
CHF17_RS10010,473,503,582,482
CHF17_RS10015,3536,2390,2811,4456
CHF17_RS10020,4918,5517,4982,5863
CHF17_RS10025,2510,2746,2966,2565
CHF17_RS10030,366,386,414,370
CHF17_RS10035,218,205,260,203
CHF17_RS10040,1053,987,1050,974
CHF17_RS10045,2181,2307,2103,2177
CHF17_RS10050,2438,3065,2638,2802
CHF17_RS10055,466,457,459,420
CHF17_RS10060,595,652,669,606
CHF17_RS10065,346,334,342,326
CHF17_RS10070,5366,5483,4766,5040
CHF17_RS10075,9944,9967,8963,9271
CHF17_RS10080,141,145,134,113
CHF17_RS10085,57,70,78,46
CHF17_RS10090,99,105,95,93
CHF17_RS10095,98,105,113,74
CHF17_RS10100,23,37,35,26
CHF17_RS10105,14,17,21,11
CHF17_RS10110,763,699,855,770
CHF17_RS10115,1052,995,1229,964
CHF17_RS10120,138,122,155,126
CHF17_RS10125,294,292,308,261
CHF17_RS10130,249,188,253,196
CHF17_RS10135,258,249,270,233
CHF17_RS10140,4501,4043,3780,4435
CHF17_RS10145,4063,4268,3982,4187
CHF17_RS10150,11129,12996,11144,11729
CHF17_RS10155,3691,5807,3522,3477
CHF17_RS10160,4372,6508,4414,4191
CHF17_RS10165,2419,3836,2328,2254
CHF17_RS10170,40294,36950,38103,42404
CHF17_RS10175,2417,2663,2662,2726
CHF17_RS10180,6718,6393,8351,6680
CHF17_RS10185,2144,2126,2592,2057
CHF17_RS10190,51918,38337,47530,51862
CHF17_RS10195,4354,4544,3924,4305
CHF17_RS10200,3600,4051,3386,3599
CHF17_RS10205,218,241,212,196
CHF17_RS10210,486,507,428,405
CHF17_RS10215,476,541,486,451
CHF17_RS10220,800,906,852,824
CHF17_RS10225,3393,3693,3550,3002
CHF17_RS10230,9681,10645,12216,9277
CHF17_RS10235,850,1232,1039,772
CHF17_RS10240,2153,2207,2699,1869
CHF17_RS10245,1060,1196,1236,908
CHF17_RS10250,2341,2235,2369,2079
CHF17_RS10255,3978,3874,4002,3699
CHF17_RS10260,1133,1270,1136,1112
CHF17_RS10265,1332,1340,1299,1242
CHF17_RS10270,629,781,588,644
CHF17_RS10275,3646,3194,3435,3255
CHF17_RS10280,3968,3526,3806,3402
CHF17_RS10285,5341,5042,5290,4496
CHF17_RS10290,535,532,618,492
CHF17_RS10295,4377,4341,4464,3805
CHF17_RS10300,2520,2173,3187,3052
CHF17_RS10305,1933,1598,1997,2012
CHF17_RS10310,361,286,455,427
CHF17_RS10315,2527,2068,2558,2337
CHF17_RS10320,3490,3023,3504,3520
CHF17_RS10325,9811,7418,10020,9181
CHF17_RS10330,18953,14753,18720,16876
CHF17_RS10335,18,17,10,17
CHF17_RS10340,1095,1082,1126,1019
CHF17_RS10345,10137,10248,10324,10924
CHF17_RS10350,1346,1429,1439,1287
CHF17_RS10355,1367,1338,1679,1635
CHF17_RS10360,1011,992,1370,1305
CHF17_RS10365,1246,1025,1174,1219
CHF17_RS10370,2810,2934,3161,3123
CHF17_RS10375,2050,2387,3036,3387
CHF17_RS10380,2391,2160,2526,2368
CHF17_RS10385,7245,7351,7708,6432
CHF17_RS10390,5008,4844,5320,4379
CHF17_RS10395,44679,55916,64674,59263
CHF17_RS10400,935,1146,1602,1531
CHF17_RS10405,1298,1469,1517,1651
CHF17_RS10410,3361,3361,3542,3554
CHF17_RS10415,10649,11798,10512,10957
CHF17_RS10420,18269,19619,18455,18095
CHF17_RS10425,7341,7084,6890,7642
CHF17_RS10430,12267,14730,10519,14278
CHF17_RS10435,1761,2521,1429,1741
CHF17_RS10440,3253,4732,3513,4088
CHF17_RS10445,24824,24563,26194,23224
CHF17_RS10450,3059,3388,3361,3399
CHF17_RS10455,20266,21076,19650,18914
CHF17_RS10460,4432,5910,6669,6285
CHF17_RS10465,8762,8450,9295,7598
CHF17_RS10470,16785,15453,16447,15018
CHF17_RS10475,5617,5182,5184,5244
CHF17_RS10480,1185,1221,1177,1379
CHF17_RS10485,508,582,518,607
CHF17_RS10490,23139,25026,28160,22858
CHF17_RS10495,2396,2393,2790,2830
CHF17_RS10500,10153,7486,8908,12780
CHF17_RS10505,20538,14005,17573,22587
CHF17_RS10510,915,804,788,889
CHF17_RS10515,334,319,332,289
CHF17_RS10520,3106,2471,2996,3158
CHF17_RS10525,799,954,1074,974
CHF17_RS10530,3984,4949,5204,4018
CHF17_RS10535,5591,6759,7934,6297
CHF17_RS10540,602,793,883,859
CHF17_RS10545,4800,5510,6086,8128
CHF17_RS10550,58389,57917,58816,62172
CHF17_RS10555,85,247,153,162
CHF17_RS10560,23056,28939,22999,22225
CHF17_RS10565,43336,54901,45335,40642
CHF17_RS10570,19166,23804,20805,18636
CHF17_RS10575,74736,93603,82944,77509
CHF17_RS10580,5731,8585,9583,9052
CHF17_RS10585,2210,3013,4445,4597
CHF17_RS10590,3501,4113,4442,4279
CHF17_RS10595,5045,5463,5956,5443
CHF17_RS10600,8955,9991,11875,9772
CHF17_RS10605,11677,13928,14598,12151
CHF17_RS10610,82,77,73,96
CHF17_RS10615,9464,8878,8013,10978
CHF17_RS10620,18501,22291,22079,18599
CHF17_RS10625,3647,3496,3611,4016
CHF17_RS10630,28782,34174,29772,27103
CHF17_RS10635,3250,4105,3146,3409
CHF17_RS10640,8318,8635,8701,8401
CHF17_RS10645,22779,22738,23017,22915
CHF17_RS10650,41061,40003,42814,39741
CHF17_RS10655,15882,13714,16192,15617
CHF17_RS10660,4329,5036,4766,5489
CHF17_RS10665,20121,21322,20120,21558
CHF17_RS10670,17501,18493,16690,16708
CHF17_RS10675,2750,4046,3191,2859
CHF17_RS10680,2267,2684,2460,2016
CHF17_RS10685,9825,12207,10450,9135
CHF17_RS10690,50,49,69,64
CHF17_RS10695,402,433,425,400
CHF17_RS10700,1891,1793,1937,1695
CHF17_RS10705,1122,1034,1160,1001
CHF17_RS10710,259,277,287,259
CHF17_RS10715,149,172,169,135
CHF17_RS10720,28770,27754,30434,27345
CHF17_RS10725,982,2881,1168,899
CHF17_RS10730,2761,4448,2969,2435
CHF17_RS10735,8880,11642,9400,7919
CHF17_RS10740,282,418,341,272
CHF17_RS10745,73,88,100,95
CHF17_RS10750,77,108,97,86
CHF17_RS10755,260,295,309,302
CHF17_RS10760,329,299,363,345
CHF17_RS10765,4869,4421,6203,5000
CHF17_RS10770,21588,23080,26622,22070
CHF17_RS10775,67896,74971,70866,65046
CHF17_RS10780,14406,18907,14358,14729
CHF17_RS10785,896,573,770,754
CHF17_RS10790,3442,2811,3867,3299
CHF17_RS10795,909,1364,982,940
CHF17_RS10800,274,592,323,304
CHF17_RS10805,852,927,921,977
CHF17_RS10810,41,49,52,52
CHF17_RS10815,52,51,50,33
CHF17_RS10820,26,22,28,21
CHF17_RS10825,100,98,113,107
CHF17_RS10830,213,168,222,185
CHF17_RS10835,44,34,46,38
CHF17_RS10840,687,632,893,851
CHF17_RS10845,646,849,1243,1179
CHF17_RS10850,230,256,409,402
CHF17_RS10855,315,366,516,518
CHF17_RS10860,175,197,269,251
CHF17_RS10865,355,386,498,472
CHF17_RS10870,67,81,68,88
CHF17_RS10875,30,44,25,42
CHF17_RS10880,14,25,24,38
CHF17_RS10885,22,29,24,28
CHF17_RS10890,15,16,19,22
CHF17_RS10895,4,3,10,8
CHF17_RS10900,1597,1850,1613,1552
CHF17_RS10905,5352,5363,5768,4949
CHF17_RS10910,6848,6090,7289,6262
CHF17_RS10915,70897,58300,67691,74947
CHF17_RS10920,2197,3316,3087,2813
CHF17_RS10925,15176,23340,27267,22223
CHF17_RS10930,3094,5506,5050,4374
CHF17_RS10935,27768,42015,33612,29713
CHF17_RS10940,9828,14480,14137,12368
CHF17_RS10945,43382,60266,42786,52399
CHF17_RS10950,33605,55764,33050,42753
CHF17_RS10955,1650,2472,1898,1693
CHF17_RS10960,3336,4812,3830,3580
CHF17_RS10965,8792,8675,9922,10158
CHF17_RS10970,2630,3167,2934,2857
CHF17_RS10975,6590,6791,6999,6872
CHF17_RS10980,5720,6720,6263,5840
CHF17_RS10985,14865,16586,14828,14238
CHF17_RS10990,11673,13047,12250,11569
CHF17_RS10995,13809,13891,13615,13093
CHF17_RS11000,9820,8936,8717,8854
CHF17_RS11005,870,963,968,1028
CHF17_RS11010,13553,15356,14302,13889
CHF17_RS11015,19166,15702,18622,19836
CHF17_RS11020,4045,3619,3709,3933
CHF17_RS11025,89889,101685,100496,88581
CHF17_RS11030,4298,4328,4160,4521
CHF17_RS11035,4893,5344,5054,5188
CHF17_RS11040,462,501,452,532
CHF17_RS11045,59710,52568,73295,63338
CHF17_RS11050,11076,10633,14128,12680
CHF17_RS11055,58174,52991,75151,63359
CHF17_RS11060,42688,39984,59667,56258
CHF17_RS11065,38374,35915,49432,43219
CHF17_RS11070,17818,19279,17718,18457
CHF17_RS11075,2038,1726,2103,1847
CHF17_RS11080,8128,9015,8523,7912
CHF17_RS11085,54370,54248,55649,49948
CHF17_RS11090,21938,24163,21488,20521
CHF17_RS11095,179,230,161,167
CHF17_RS11100,78,81,45,48
CHF17_RS11105,144,185,131,106
CHF17_RS11110,1571,3035,1788,1887
CHF17_RS11115,25037,28313,26683,25498
CHF17_RS11120,5302,6892,5740,5323
