,sczA_Zn1,sczA_Zn2,sczA_Zn3,sczA_Zn4
CHF17_RS02345,92516,94462,116378,113331
CHF17_RS02350,41234,49709,51359,51378
CHF17_RS02355,176100,227181,219174,212766
CHF17_RS02360,34733,42658,41241,41447
CHF17_RS02365,23674,41652,44035,58444
CHF17_RS02370,26399,43447,50895,71737
CHF17_RS02375,19083,28528,34875,54584
CHF17_RS02380,34058,57402,63368,94119
CHF17_RS02385,16485,26992,33585,49269
CHF17_RS02390,6764,11642,13671,19881
CHF17_RS02395,37644,58306,69116,91120
CHF17_RS02400,48945,69092,75735,94602
CHF17_RS02405,31915,44935,46100,56116
CHF17_RS02410,4806,5984,5274,5393
CHF17_RS02415,17568,18548,18321,17597
CHF17_RS02420,11588,11754,12397,9925
CHF17_RS02425,6323,7400,6645,7226
CHF17_RS02430,28030,30230,37186,42223
CHF17_RS02435,18494,21878,27822,29954
CHF17_RS02440,20141,21329,26979,31333
CHF17_RS02445,349,438,600,756
CHF17_RS02450,8764,7547,8708,9291
CHF17_RS02455,4122,3799,4191,4429
CHF17_RS02460,6530,8071,6139,6960
CHF17_RS02465,3783,5237,3811,4147
CHF17_RS02470,2339,1944,2660,2547
CHF17_RS02475,9170,9313,9985,8515
CHF17_RS02480,34657,36323,37446,33149
CHF17_RS02485,5192,6377,5663,4857
CHF17_RS02490,3784,5068,4153,3306
CHF17_RS02495,5903,5282,4946,7022
CHF17_RS02500,918,1123,824,1080
CHF17_RS02505,2131,2324,2047,2048
CHF17_RS02510,4247,4916,4339,3733
CHF17_RS02515,20011,18079,20511,17246
CHF17_RS02520,15653,17603,15630,14859
CHF17_RS02525,881,1417,780,804
CHF17_RS02530,2731,3023,3575,4599
CHF17_RS02535,10571,12707,15939,19856
CHF17_RS02540,1985,3054,3673,4624
CHF17_RS02545,1910,3005,3867,5107
CHF17_RS02550,18031,28711,35694,46371
CHF17_RS02555,5220,7143,7014,8611
CHF17_RS02560,4104,3750,4233,5884
CHF17_RS02565,141,154,134,141
CHF17_RS02570,3727,4053,4935,3672
CHF17_RS02575,213,269,264,191
CHF17_RS02580,1556,2211,1454,1370
CHF17_RS02585,7532,9066,7768,7038
CHF17_RS02590,27730,34771,32093,26316
CHF17_RS02595,6392,7943,7429,5895
CHF17_RS02600,16390,16294,16540,16731
