gene_name,A909_CDM.1,A909_CDM.2,A909_CDM.3,A909.1,A909.2,A909.3,dsaeR_CDM.1,dsaeR_CDM.2,dsaeR_CDM.3,dsaeR_THY.1,dsaeR_THY.2,dsaeR.1,dsaeR.2,dsaeR.3
SAK_RS08700,713,851,609,19,22,0,2808,441,414,582,638,40,41,9
SAK_RS08705,729,815,690,8,12,0,1583,290,260,377,364,31,67,14
SAK_RS08710,1293,1194,1079,18,11,0,3286,490,502,668,758,30,57,20
SAK_RS00875,152,116,75,31,15,0,383,91,98,174,202,90,95,26
SAK_RS08715,2209,4197,3787,26,107,5,4727,1564,1680,1227,1312,56,267,50
SAK_RS08720,499,633,456,8,5,1,725,227,217,213,185,10,21,9
SAK_RS08725,3623,2953,6053,2210,2481,433,3736,1171,1090,8923,10305,3465,7955,3732
SAK_RS08730,100,90,272,34,17,2,108,37,37,225,330,31,73,19
SAK_RS08735,2869,2186,1681,23,24,2,2652,796,775,765,850,20,68,10
SAK_RS08740,1917,1667,1195,28,20,0,1312,368,352,349,338,10,36,15
SAK_RS08745,409,488,365,8,10,4,135,80,94,67,61,10,25,4
SAK_RS08750,5280,6302,7095,37,97,0,1020,1514,1594,1402,1415,54,253,39
SAK_RS08755,140,90,70,0,24,0,686,510,900,125,113,9,4,10
SAK_RS08760,468,611,637,2,38,0,2347,2286,3572,701,657,9,8,21
SAK_RS00880,34297,35070,33097,437,709,73,22661,10495,9969,13483,13383,666,1644,675
SAK_RS08765,235,540,407,11,6,0,1231,158,168,221,298,12,25,5
SAK_RS08770,1455,1903,1646,44,26,1,5821,754,689,917,997,59,149,46
SAK_RS08775,292,337,273,0,7,0,497,62,38,70,65,11,25,2
SAK_RS08780,2694,2890,2693,29,17,1,5553,1256,1270,1090,1010,40,110,40
SAK_RS08785,3713,4977,1867,22,33,0,4799,1846,1498,653,727,28,120,49
SAK_RS08790,4012,5380,2006,22,33,2,3775,1985,1518,671,679,26,85,36
SAK_RS08795,7342,7806,4004,44,42,2,5707,2519,2140,1285,1367,65,193,83
SAK_RS08800,11406,11442,6636,66,64,2,13517,4533,4079,2368,2484,104,222,104
SAK_RS08805,13468,10439,7937,90,43,0,11851,4510,3925,2290,2637,93,168,68
SAK_RS08810,8587,6918,5759,23,33,1,5814,2866,2652,1408,1154,37,92,26
