GeneID,CovS-LP1,CovS+LP1,CovS-SP1,CovS+SP1,CovS-LP2,CovS+LP2,CovS-SP2,CovS+SP2
FE90_1338,370,261,173,108,517,290,203,68
FE90_1339,696,927,425,777,912,849,643,731
FE90_1340,870,1285,519,765,1188,1171,717,737
FE90_1341,324,214,217,110,502,179,311,52
FE90_1342,142,81,55,25,188,74,85,14
FE90_1343,1881,2850,502,909,2940,2619,560,582
FE90_1344,306,420,85,103,457,340,93,66
FE90_1345,910,1244,887,1247,1598,1126,1292,984
FE90_1346,1160,1203,1249,1416,1406,1067,1589,1209
FE90_1347,1000,1119,1162,1195,1465,1135,1579,1033
FE90_1348,5128,5302,6000,4615,6406,4881,7838,4949
FE90_1349,8665,4849,3115,2595,11108,4197,5107,2101
FE90_1350,7005,3847,2064,1695,8668,3331,3187,1554
FE90_1351,196,357,203,229,299,320,228,170
FE90_1352,642,746,362,225,980,737,406,145
FE90_1353,23,16,46,38,52,27,93,19
FE90_1354,36,6,66,56,73,15,76,11
FE90_1355,57,17,65,41,84,26,87,25
FE90_1356,34,6,22,15,45,15,46,16
FE90_1357,13,18,40,24,55,18,49,25
FE90_1358,132,184,243,131,273,183,318,106
FE90_1359,3373,4742,915,2710,5019,4183,1473,1478
FE90_1360,122,699,113,749,156,606,196,484
FE90_1361,8,2,15,3,27,0,10,0
FE90_1362,490,58,291,25,954,28,360,17
FE90_1363,84,6,96,13,157,3,126,3
FE90_1364,7483,1209,2804,186,13100,1515,4008,153
FE90_1365,1144,154,352,39,2039,188,594,19
FE90_1366,4031,615,1242,149,7662,618,1816,92
FE90_1367,929,1606,633,584,1243,1361,843,554
FE90_1368,3292,3904,2027,2505,4271,3625,2969,1614
FE90_1369,2377,3858,2431,2989,3565,3698,3079,2129
FE90_1370,536,774,401,544,817,773,569,460
FE90_1371,644,1058,740,1192,1086,959,955,999
FE90_1372,206,120,157,184,305,154,201,99
FE90_1373,408,357,310,370,786,336,350,186
FE90_1374,363,268,268,363,595,290,350,158
FE90_1375,81,69,45,87,123,65,52,45
FE90_1376,93,55,55,86,159,52,49,35
FE90_1377,213,109,168,148,278,157,161,103
FE90_1378,111,54,60,78,158,84,95,39
FE90_1379,96,58,72,68,118,91,79,47
FE90_1380,470,468,199,316,851,510,283,176
