,JE84-1-05,JE84-2-05,JE84-3-05,JE84-1-15,JE84-2-15,JE84-3-15,WT-1-05,WT-2-05,WT-3-05,WT-1-15,WT-2-15,WT-3-15,,
M5005_Spy0907,356,608,263,1858,1815,1960,185,393,933,618,527,661,,
M5005_Spy0908,177,346,180,1031,979,1075,120,211,524,353,315,331,,
M5005_Spy0909,408,781,359,2142,1978,2500,254,507,1292,838,704,857,,
M5005_Spy0910,4428,7352,3735,1271,1381,1267,3382,5713,13689,4888,3908,4586,,
M5005_Spy0911,1495,1876,1475,343,493,393,1156,1606,2879,2037,1510,2096,,
M5005_Spy0912,89,44,76,65,62,68,90,47,84,96,110,250,,
M5005_Spy0913,1193,1673,1041,1775,1736,1937,1112,1587,3000,1474,1426,3694,,
M5005_Spy0914,1143,2039,957,158,191,154,689,1518,3448,263,230,233,,
M5005_Spy0915,15055,32414,11708,657,688,622,10550,27951,69949,3738,3207,3195,,
M5005_Spy0916,4263,3995,4418,167,176,163,3728,3495,5471,1540,1276,1270,,
M5005_Spy0917,3730,6737,2798,135,155,111,2789,6402,11728,1787,1453,1588,,
M5005_Spy0918,1513,2188,1470,83,123,84,1319,2195,3657,787,659,516,,
M5005_Spy0919,22417,45502,17594,1071,1110,1022,10122,27091,50696,4138,3632,2802,,
M5005_Spy0920,1543,4264,969,26,44,28,684,1921,5241,192,139,121,,
M5005_Spy0921,5516,8484,5035,230,288,181,3439,5362,14202,1591,1296,1014,,
M5005_Spy0922,407,483,436,79,98,74,369,365,943,464,368,341,,
M5005_Spy0923,818,1106,746,296,324,281,664,1162,1876,1024,870,850,,
M5005_Spy0924,1697,2193,1770,326,316,289,1542,2075,4142,1486,1070,1128,,
M5005_Spy0925,2946,2549,2763,2597,2876,3003,2781,2855,5856,3834,5129,3935,,
M5005_Spy0926,7826,11102,7370,4063,3948,3785,6184,8898,25063,6874,6485,6456,,
M5005_Spy0927,1147,2052,1124,1251,1181,1225,958,1678,8119,1457,1374,1236,,
M5005_Spy0928,2044,4666,1684,2753,3146,2625,1250,2548,7656,3365,2660,3020,,
M5005_Spy0929,2712,6038,2181,3896,3870,2868,1506,2990,7559,4265,3592,3314,,
M5005_Spy0930,3771,6707,2888,5478,5483,3938,1858,3959,9260,6060,5382,4692,,
M5005_Spy0931,446,767,413,702,881,643,266,448,1035,750,753,582,,
M5005_Spy0932,3501,5430,3161,4753,5077,3616,1747,3651,6865,6621,5432,4638,,
M5005_Spy0933,1858,2420,1905,3204,3044,2157,1128,1634,2918,4611,4155,2982,,
M5005_Spy0934,971,1607,933,1869,1884,1517,485,953,1879,2566,2265,1668,,
M5005_Spy0935,3330,5004,3025,1108,1306,1206,2237,4213,6915,2193,1736,2070,,
M5005_Spy0936,6811,14449,5624,2414,2741,2262,4646,10897,26497,4041,3242,3841,,
M5005_Spy0937,3347,5760,3295,1306,1781,1461,2220,3737,7348,2517,1692,2554,,
M5005_Spy0938,15251,28734,12084,13902,14812,12077,10617,21775,50209,19383,15843,13397,,
M5005_Spy0939,3995,6734,4196,1024,1194,1130,3175,5312,11177,1360,1034,1205,,
M5005_Spy0940,4985,9075,5487,1417,1611,1382,4266,7471,14229,1817,1354,1586,,
M5005_Spy0941,8404,12301,7604,1682,1930,1831,6750,11590,20127,2658,2281,2249,,
M5005_Spy0942,24886,34884,22804,7009,6288,5587,25195,36113,62378,8570,8271,8048,,
M5005_Spy0943,3560,5503,3685,939,962,803,3215,4593,9307,1546,1477,1486,,
M5005_Spy0944,902,905,912,444,515,479,1624,1928,3010,1139,1142,790,,
M5005_Spy0945,742,714,914,83,124,87,252,348,463,475,360,300,,
M5005_Spy0946,10373,12392,10012,368,412,338,8918,9327,23533,2779,2219,1635,,
M5005_Spy0947,2626,4146,2469,909,966,856,1790,3573,7428,2335,2060,1706,,
M5005_Spy0948,2126,3013,1972,830,788,778,1465,2211,4128,2026,1854,1548,,
M5005_Spy0949,33144,50458,30196,10007,10961,11091,24857,38846,79305,18853,16127,14188,,
M5005_Spy0950,7459,7917,7661,2028,2142,1856,6283,7416,11498,3974,3597,2729,,
M5005_Spy0951,25808,32535,22765,4978,4891,3286,18326,28404,56635,7883,6931,5319,,
M5005_Spy0952,5622,8750,5127,1533,1727,1410,4103,7634,13046,2448,1989,1873,,
M5005_Spy0953,6401,11616,5759,1654,2037,1650,3945,9332,16798,2783,2202,2029,,
M5005_Spy0954,4517,9552,4087,1069,1121,1027,3326,6567,16884,1913,1581,1481,,
M5005_Spy0955,4400,10999,3417,638,814,660,2474,7860,14602,1467,1218,1092,,
M5005_Spy0956,6393,10030,5939,1128,1073,1051,4796,7881,18599,2519,2259,1965,,
M5005_Spy0957,2679,3732,2591,861,936,906,2088,3650,5776,1623,1328,1329,,
M5005_Spy0958,877,1122,941,395,420,416,877,1118,1607,761,547,627,,
M5005_Spy0959,1267,1614,1136,387,523,535,1058,1764,3162,1053,812,923,,
M5005_Spy0960,3767,6384,3512,2232,2405,2262,2730,4393,13272,4706,3899,4271,,
M5005_Spy0961,1871,3085,1825,1222,1116,1180,1304,1850,5177,2125,2215,2262,,
M5005_Spy0962,2702,4611,2636,752,646,564,2361,3651,8462,2181,1880,1357,,
M5005_Spy0963,1192,1555,1146,114,114,105,936,1489,2852,723,660,600,,
M5005_Spy0964,475,1172,372,36,36,45,302,922,1748,295,243,207,,
M5005_Spy0965,1478,2226,1381,350,349,373,1301,2145,4355,714,655,619,,
M5005_Spy0967,227,380,235,54,41,62,288,428,834,103,109,114,,
M5005_Spy0968,485,518,452,54,48,48,559,543,1072,173,137,184,,
M5005_Spy0969,27,50,23,4,5,5,32,38,131,12,11,13,,
M5005_Spy0970,4397,6924,3646,3668,3473,4257,2822,4036,10511,4913,3756,9406,,
M5005_Spy0971,3022,6541,2627,31253,32593,45855,1902,4461,10995,14420,12470,36226,,
M5005_Spy0972,5549,16969,4273,53666,47805,61237,3365,8915,34162,22991,20056,59532,,
M5005_Spy0973,12520,22267,12349,168672,171343,158102,8456,15423,36733,52898,67104,122783,,
M5005_Spy0974,1958,2440,2022,30235,28416,34413,1556,2148,3536,11377,12108,24691,,
M5005_Spy0975,6165,8662,6572,110784,106892,121986,4952,6833,13015,43061,42875,115874,,
M5005_Spy0976,1321,2471,1312,19614,20124,21884,967,1489,3820,7851,7999,20082,,
M5005_Spy0977,13631,24703,11319,4020,4049,3389,7426,16448,35968,7841,7025,12803,,
M5005_Spy0979,648,2020,559,69,74,70,403,1397,4519,319,263,636,,
M5005_Spy0978,1109,2248,1064,263,273,240,617,1340,3190,541,444,681,,
M5005_Spy0980,1949,2414,2084,1554,1807,1573,1388,1726,3284,2314,2098,3474,,
M5005_Spy0981,809,1182,692,2519,3421,2797,547,1044,1872,4161,3058,2762,,
M5005_Spy0982,11348,13660,11031,295,288,274,9232,13859,25541,1244,1029,1572,,
M5005_Spy0983,9140,16384,7447,220,197,133,7232,13730,31716,881,754,969,,
M5005_Spy0984,8307,16815,6761,186,200,145,5520,13410,28595,837,690,989,,
M5005_Spy0985,3146,6901,2419,34,54,45,1742,5561,13006,234,168,269,,
M5005_Spy0986,37045,73592,32648,3311,3351,4127,18022,38020,83626,6181,5405,14462,,
M5005_Spy0987,2118,3593,2444,755,873,958,2041,3250,6958,1748,1299,3058,,
M5005_Spy0988,20583,42966,17702,6474,7796,7604,15210,35977,84208,17669,14959,22573,,
M5005_Spy0989,41779,66764,41252,13958,13606,14652,36136,57540,99307,37220,34849,49626,,
M5005_Spy0990,6445,11420,6789,7071,7110,7211,6431,9852,21639,11321,10353,16144,,
M5005_Spy0991,2262,2094,2786,6112,6680,6225,4491,3092,5276,9542,8571,9977,,
M5005_Spy0992,4934,5644,5125,11361,11971,10563,7561,9238,18390,16183,15027,17687,,
M5005_Spy0993,2790,3320,3024,6101,8785,7589,3567,4682,9306,9227,7728,10276,,
M5005_Spy0994,3192,7287,2151,967,1250,1123,1514,5225,14109,2966,2253,4142,,
M5005_Spy0995,39,143,35,11,20,17,30,114,359,59,31,42,,
M5005_Spy0996,52,52,78,41,53,59,70,75,164,125,81,141,,
M5005_Spy0997,44,56,52,15,16,18,23,47,132,24,38,32,,
M5005_Spy0998,53,81,46,5,4,9,27,59,155,22,11,18,,
M5005_Spy0999,50,47,49,13,10,13,27,47,114,30,27,30,,
M5005_Spy1000,22,32,18,6,9,9,16,16,57,17,14,18,,
M5005_Spy1001,56,99,42,32,26,33,48,70,204,47,52,68,,
M5005_Spy1002,11,15,21,12,14,9,12,22,42,14,18,21,,
M5005_Spy1003,17,19,10,19,13,17,17,22,56,24,27,24,,
M5005_Spy1004,4,5,3,7,4,5,3,6,6,6,8,10,,
M5005_Spy1005,5,7,9,11,12,7,12,10,32,22,15,21,,
M5005_Spy1006,23,26,11,20,27,18,23,27,52,38,37,33,,
M5005_Spy1007,33,58,28,61,70,66,58,89,319,132,126,107,,
M5005_Spy1008,17,23,20,34,43,36,31,40,145,77,74,80,,
M5005_Spy1009,28,36,28,32,32,28,29,48,201,61,76,77,,
M5005_Spy1010,0,12,10,5,7,8,3,14,47,16,17,18,,
M5005_Spy1011,2,8,7,8,5,9,10,8,40,23,27,26,,
M5005_Spy1012,3,13,9,10,11,15,13,12,45,20,33,27,,
M5005_Spy1013,3,4,4,6,3,4,7,9,11,8,12,6,,
M5005_Spy1014,2,18,5,4,16,8,9,27,93,15,23,17,,
M5005_Spy1015,5,6,6,7,7,3,12,14,46,14,22,15,,
M5005_Spy1016,9,8,4,11,6,8,10,15,42,16,13,24,,
M5005_Spy1017,7,11,4,9,6,5,17,18,78,13,15,24,,
M5005_Spy1018,18,24,10,23,19,23,29,59,221,46,50,48,,
M5005_Spy1019,13,23,10,15,18,13,18,33,105,29,34,33,,
M5005_Spy1020,6,14,1,6,8,5,7,11,42,9,15,9,,
M5005_Spy1021,24,22,11,15,16,25,26,32,116,28,38,33,,
M5005_Spy1022,34,56,21,38,42,26,36,56,168,59,76,72,,
M5005_Spy1023,22,24,14,17,21,20,25,66,111,35,52,45,,
M5005_Spy1024,8,9,2,8,5,3,9,12,45,4,16,13,,
M5005_Spy1025,28,66,19,36,33,38,21,49,166,44,52,56,,
M5005_Spy1026,17,23,22,44,62,46,13,29,59,75,55,98,,
M5005_Spy1027,32,67,46,63,58,73,31,33,118,55,57,93,,
M5005_Spy1028,86,116,85,120,100,120,63,96,310,97,113,149,,
M5005_Spy1029,35,71,45,100,64,91,39,63,187,84,78,110,,
M5005_Spy1030,27,27,13,27,39,32,9,21,72,31,31,48,,
M5005_Spy1031,39,49,29,50,56,55,21,43,147,53,65,80,,
M5005_Spy1032,26,52,26,50,39,58,20,37,121,51,55,74,,
M5005_Spy1033,46,124,55,111,94,124,37,82,315,113,130,164,,
M5005_Spy1034,46,74,46,102,83,102,46,71,207,105,111,126,,
M5005_Spy1035,15,38,24,47,35,61,20,25,125,44,53,68,,
M5005_Spy1036,70,78,83,62,59,59,59,52,170,59,59,71,,
M5005_Spy1037,73,118,73,163,96,174,55,97,331,139,151,193,,
M5005_Spy1038,21,29,14,43,41,58,19,26,154,42,56,81,,
M5005_Spy1039,17,42,24,46,39,44,22,23,126,53,51,69,,
M5005_Spy1040,27,44,19,47,49,44,22,33,140,54,51,70,,
M5005_Spy1041,13,36,15,32,36,36,13,29,107,33,29,55,,
M5005_Spy1042,90,158,97,226,188,217,76,168,465,190,216,272,,
M5005_Spy1043,116,203,153,321,303,271,128,219,734,334,333,450,,
M5005_Spy1044,78,66,66,110,103,101,63,81,234,128,113,139,,
M5005_Spy1045,68,334,37,72,72,71,44,206,780,76,69,97,,
M5005_Spy1046,423,474,542,296,428,458,430,744,906,731,531,698,,
M5005_Spy1047,39,69,40,35,34,34,28,61,159,53,48,45,,
M5005_Spy1048,2598,3861,2205,1572,1601,1291,2203,3731,7956,1952,1553,1439,,
M5005_Spy1049,604,1326,453,353,325,318,466,1090,3001,502,333,390,,
M5005_Spy1050,2364,3975,2249,3947,3979,3477,2071,3596,6652,2935,2647,3796,,
M5005_Spy1051,2835,4483,2638,3175,3219,3212,2612,3948,10786,3035,2925,4080,,
M5005_Spy1052,971,1189,931,325,336,304,1263,1347,2897,717,607,1297,,
M5005_Spy1053,42,83,38,11,12,11,40,60,120,25,14,41,,
M5005_Spy1054,1015,1346,965,141,151,151,764,958,1943,454,338,221,,
M5005_Spy1055,1004,1738,1171,1822,2073,2025,959,1362,2604,1102,921,710,,
M5005_Spy1056,780,1219,812,1599,1674,1695,700,1000,1883,869,648,586,,
M5005_Spy1057,754,976,626,539,788,676,393,805,1367,848,759,491,,
M5005_Spy1058,2134,3117,2623,8044,8649,9523,3328,3618,5550,2252,1780,1693,,
M5005_Spy1059,696,998,607,1752,2011,2180,695,1169,2079,783,582,690,,
M5005_Spy1060,489,623,542,1017,1395,1462,472,711,1345,590,378,505,,
M5005_Spy1061,1025,1625,1057,494,476,569,597,1153,2497,605,504,524,,
M5005_Spy1062,242,561,196,469,501,673,251,686,1581,511,500,638,,
M5005_Spy1063,275,568,268,704,825,1280,299,760,2020,831,737,986,,
M5005_Spy1064,450,864,480,1638,1687,3293,612,937,3044,1759,1655,1911,,
M5005_Spy1065,1870,2898,1840,9034,9022,14764,2677,3718,7869,7574,6767,8062,,
M5005_Spy1066,1244,2168,1093,7240,7112,12898,1526,2874,5957,5249,4784,5378,,
M5005_Spy1067,783,1124,721,7139,7175,10816,931,1476,3139,4124,3831,4146,,
M5005_Spy1068,20,43,17,8,8,9,11,23,71,27,11,23,,
M5005_Spy1069,7492,12898,7576,2943,3573,3687,4946,9629,20404,5210,3924,5965,,
M5005_Spy1070,15728,21145,14601,6647,6714,6451,11403,17071,37762,9166,7585,9688,,
M5005_Spy1071,3269,6156,2879,1100,1319,1577,2216,4174,7770,1944,1288,2640,,
M5005_Spy1072,8914,15852,9011,4491,5123,5434,7066,11611,25255,6450,4833,8038,,
M5005_Spy1073,12876,20938,11829,7258,7870,8388,10001,18542,35261,9704,8346,11370,,
M5005_Spy1074,1099,1286,1354,821,940,1020,1148,1215,1377,1091,873,1357,,
M5005_Spy1075,11070,19453,10027,10003,10668,10698,8824,14727,29898,9595,8723,13428,,
M5005_Spy1076,46328,66449,44623,1765,1971,1671,43291,58167,123755,3142,2461,2685,,
M5005_Spy1077,9904,19820,9695,589,877,691,7771,16675,41432,769,526,687,,
M5005_Spy1078,45,150,36,8,5,4,33,108,346,5,6,4,,
M5005_Spy1079,121,214,87,132,130,122,92,162,442,87,52,107,,
M5005_Spy1080,82,96,75,172,169,173,96,87,189,67,75,110,,
M5005_Spy1081,33,68,28,64,62,74,34,51,116,43,25,37,,
M5005_Spy1082,29,56,25,47,50,59,21,43,80,32,21,28,,
M5005_Spy1083,111,202,110,327,335,360,104,183,374,158,109,166,,
M5005_Spy1084,92,139,58,199,179,208,76,140,301,54,69,81,,
M5005_Spy1085,64,117,58,191,163,219,56,96,228,62,63,74,,
M5005_Spy1086,1376,1686,1325,149,166,142,1240,1366,3805,388,332,275,,
M5005_Spy1087,83,304,61,17,22,17,51,167,772,36,25,44,,
M5005_Spy1088,3794,7046,3801,839,987,856,3028,5741,16560,2054,2037,2443,,
M5005_Spy1089,138,278,153,27,31,33,121,230,405,100,87,133,,
M5005_Spy1090,27,60,31,20,27,27,36,66,150,31,32,36,,
M5005_Spy1091,65,79,53,30,49,38,40,73,143,66,45,46,,
M5005_Spy1092,907,1257,929,125,158,163,636,1072,1864,456,364,512,,
M5005_Spy1093,264,308,301,2335,2242,2331,195,211,385,582,777,734,,
M5005_Spy1094,426,767,422,1157,1216,1073,270,440,770,306,282,305,,
M5005_Spy1095,9230,10937,8917,2169,1953,1520,7375,10229,20153,5983,5999,4439,,
M5005_Spy1096,326,1110,193,52,52,64,142,738,1780,162,142,202,,
M5005_Spy1097,965,1737,887,372,388,377,675,1355,2627,986,849,1043,,
M5005_Spy1098,2930,4794,2673,878,1006,930,2203,4194,7710,2811,2407,2771,,
M5005_Spy1099,6020,9325,5488,1360,1490,1530,3773,7562,14494,4459,4186,5180,,
M5005_Spy1100,331,350,457,377,388,348,328,299,536,651,564,630,,
M5005_Spy1101,1697,2998,1598,1421,1407,1378,1253,2195,4421,2721,2325,3276,,
M5005_Spy1102,3305,4779,3400,1288,1332,1243,2403,4533,6399,4361,3602,4536,,
M5005_Spy1103,10468,14522,9704,3824,4143,3906,8648,12990,21920,14733,12974,14224,,
M5005_Spy1104,6036,9520,6199,2477,2793,2143,5487,8252,14992,9438,7560,8840,,
M5005_Spy1105,3191,3408,2928,1110,1216,1006,2752,3481,6129,4375,3338,3977,,
M5005_Spy1106,5013,10097,3630,990,1249,1029,4915,13797,26543,3138,2604,3973,,
M5005_Spy1107,10866,17255,9129,1687,1724,1489,4929,10356,21107,4302,3944,4831,,
M5005_Spy1108,3386,7873,3032,532,590,626,1984,5150,10013,2446,2147,3424,,
M5005_Spy1109,336,541,349,107,117,87,336,476,991,256,219,175,,
M5005_Spy1110,2330,3819,2314,2540,2769,2550,1653,2875,6692,3391,2817,2950,,
M5005_Spy1111,3907,8032,2381,1083,1191,1107,1526,5082,13943,2571,1936,2945,,
M5005_Spy1112,9131,13326,8555,5768,5924,6127,5636,8314,16440,9584,8278,12516,,
M5005_Spy1113,2188,3807,1883,1483,1669,1708,1261,2601,4703,2265,2087,2915,,
M5005_Spy1114,1104,1596,1050,96,91,91,736,1348,2617,670,508,508,,
M5005_Spy1115,186,202,190,9,12,15,128,158,332,79,60,72,,
M5005_Spy1116,2076,3747,1674,59,72,54,1253,3310,6903,491,388,377,,
M5005_Spy1117,4925,8143,4634,5695,6223,5812,3604,6326,12962,5671,4374,7414,,
M5005_Spy1118,8935,9211,8729,2854,3254,2855,3811,5512,8446,6114,5322,8839,,
M5005_Spy1119,33837,65793,27173,5587,5232,4923,34168,70055,135490,47686,42102,51515,,
M5005_Spy1120,77492,111316,63044,15815,17451,15145,61415,110366,218986,44095,40174,37065,,
M5005_Spy1121,19494,40485,13310,7834,8179,8853,15063,47070,93407,15253,12797,15760,,
M5005_Spy1122,1212,1421,1598,72,101,70,1609,1663,1967,1237,1208,1437,,
M5005_Spy1123,25428,35703,25289,3165,3295,2615,28059,38932,74573,27187,23737,29249,,
M5005_Spy1124,15661,18283,14651,1330,1432,873,15834,17532,42853,13656,10074,13664,,
M5005_Spy1125,1476,2377,1184,507,620,618,992,2590,4700,1107,813,1246,,
M5005_Spy1129,943,910,824,502,501,484,604,846,1729,709,601,932,,
M5005_Spy1130,373,589,394,289,332,320,247,447,806,392,307,616,,
M5005_Spy1131,576,1419,487,393,370,367,339,814,1351,449,388,826,,
M5005_Spy1132,8441,15606,7442,4800,5251,5007,5291,13371,26437,6470,5236,5900,,
M5005_Spy1133,24586,39847,20719,8550,9216,7871,11355,24098,44839,8823,7750,8190,,
M5005_Spy1134,5846,7861,5261,626,781,642,2803,5424,9752,1478,1391,966,,
M5005_Spy1135,819,1135,874,53,51,55,984,1485,2743,364,301,225,,
M5005_Spy1136,5379,9467,4585,625,602,591,3464,6160,13598,1785,1596,1213,,
M5005_Spy1137,860,1094,931,184,151,164,567,563,1008,376,325,349,,
M5005_Spy1138,1919,3399,1718,209,185,220,876,1886,3951,670,563,504,,
M5005_Spy1139,381,637,366,70,54,66,120,307,517,151,132,164,,
M5005_Spy1140,3254,5879,2855,362,384,280,2720,5984,11419,2384,1814,1383,,
M5005_Spy1141,3677,8223,2933,468,493,402,2648,7254,16611,2038,1551,1322,,
M5005_Spy1142,361,718,234,162,184,188,79,292,646,311,327,276,,
M5005_Spy1143,156,326,121,78,91,99,44,111,204,183,169,126,,
M5005_Spy1144,261,651,231,118,150,162,68,221,562,291,249,246,,
M5005_Spy1145,3864,6864,2836,13739,16005,18687,4008,7645,18822,12648,12337,12982,,
M5005_Spy1146,3231,4543,3080,6587,7399,6835,3407,4225,9419,8657,7594,7111,,
M5005_Spy1147,154,343,153,54,60,58,100,169,336,157,124,135,,
M5005_Spy1148,50,103,40,15,15,13,25,71,137,37,24,36,,
M5005_Spy1149,2122,5487,1527,248,210,247,1110,3831,7925,753,678,548,,
M5005_Spy1150,2411,2489,2839,318,347,309,1986,2043,3226,1341,1153,1052,,
M5005_Spy1151,813,1180,727,84,89,79,455,884,1834,389,248,327,,
M5005_Spy1152,3570,6297,3346,503,467,410,1530,2419,4926,2287,1746,1389,,
M5005_Spy1154,28520,43574,23667,2455,2404,2024,15662,30532,68110,10519,9441,9217,,
M5005_Spy1155,18092,28404,17591,2899,2911,2763,15754,23984,48421,8973,7835,9400,,
M5005_Spy1156,5668,8509,5536,1300,1296,1117,4281,5956,11621,4004,3280,3444,,
M5005_Spy1157,14365,23842,12228,3556,3469,3064,9227,17218,30897,12678,10929,10140,,
M5005_Spy1158,5725,12497,4465,753,829,661,3747,10734,24248,2978,2448,1937,,
M5005_Spy1159,1667,2224,1588,488,544,466,1093,1789,2885,1814,1579,1213,,
M5005_Spy1160,646,959,641,220,240,197,370,615,1271,990,788,773,,
M5005_Spy1161,1241,1721,1298,819,665,736,1106,1245,3023,872,738,706,,
M5005_Spy1162,2162,4016,1881,606,836,657,1304,3827,7567,967,602,1005,,
M5005_Spy1163,3402,4890,2537,1077,1353,1062,2239,4761,9223,1303,1035,981,,
M5005_Spy1164,14904,24371,14841,3209,3786,3360,14345,29030,57884,8058,5939,8488,,
M5005_Spy1165,2549,4814,2900,664,854,718,2795,4714,9240,1343,997,791,,
M5005_Spy1166,259,918,183,89,130,122,169,621,1403,368,252,609,,
M5005_Spy1167,6602,15318,5815,2994,3283,3472,4307,12355,30515,5617,4679,6611,,
M5005_Spy1168,52,138,35,48,52,40,35,108,261,103,75,105,,
M5005_Spy1169,3280,4054,3204,2975,3285,2842,3525,6126,9025,1042,952,1036,,
M5005_Spy1170,1261,1381,1242,470,591,515,1337,2013,3908,326,247,264,,
M5005_Spy1171,59,214,44,25,22,18,35,204,663,32,37,41,,
M5005_Spy1172,5,6,7,5,4,6,3,6,16,10,9,12,,
M5005_Spy1173,7,9,7,9,4,5,4,6,24,11,7,11,,
M5005_Spy1174,11,13,17,17,12,10,10,12,35,23,29,22,,
M5005_Spy1175,4,11,6,10,9,9,14,11,14,21,12,13,,
M5005_Spy1176,13,26,14,30,15,21,15,23,25,31,29,30,,
M5005_Spy1177,13,11,6,17,5,14,4,13,16,23,12,23,,
M5005_Spy1178,20,30,17,22,29,22,15,24,75,34,20,23,,
M5005_Spy1179,10,6,3,12,11,11,1,11,14,8,8,8,,
M5005_Spy1180,2,3,2,6,3,3,0,4,2,2,6,2,,
M5005_Spy1181,15,26,11,19,20,19,7,19,49,38,40,32,,
M5005_Spy1182,3,7,3,6,6,3,6,4,3,12,7,6,,
M5005_Spy1183,0,6,2,2,3,1,2,1,0,4,3,2,,
M5005_Spy1184,12,26,11,12,12,8,6,17,62,16,14,15,,
M5005_Spy1185,9,9,5,17,12,6,5,9,27,27,25,19,,
M5005_Spy1186,4,4,4,9,7,4,1,5,6,11,7,16,,
M5005_Spy1187,16,20,19,39,45,39,15,20,47,41,45,54,,
M5005_Spy1188,18,32,11,38,31,33,10,16,83,32,28,30,,
M5005_Spy1189,19,31,36,47,50,35,11,32,92,43,48,48,,
M5005_Spy1190,10,16,2,7,12,10,3,7,21,8,8,13,,
M5005_Spy1191,9,18,3,25,36,28,4,17,48,27,21,41,,
M5005_Spy1192,195,431,148,319,333,345,122,267,900,404,370,805,,
M5005_Spy1193,1211,1961,1235,2514,2736,3145,1049,1556,4330,3325,3031,5390,,
M5005_Spy1194,42,74,34,30,12,25,31,52,104,30,39,40,,
M5005_Spy1195,50,56,43,13,14,5,24,64,112,22,22,26,,
M5005_Spy1196,25,44,33,6,8,4,19,24,61,12,21,16,,
M5005_Spy1197,140,295,103,31,36,42,83,280,669,115,108,145,,
M5005_Spy1198,73,99,97,67,67,67,59,88,198,89,97,109,,
M5005_Spy1199,37,39,31,50,54,68,32,42,64,56,66,75,,
M5005_Spy1200,66,104,60,95,79,85,56,92,167,113,107,112,,
M5005_Spy1201,80,115,77,122,93,93,41,65,253,81,79,127,,
M5005_Spy1202,31,43,19,33,23,38,24,36,68,30,28,53,,
M5005_Spy1203,151,204,151,216,203,241,117,158,533,203,174,298,,
M5005_Spy1204,204,446,186,319,279,297,131,240,783,270,259,385,,
M5005_Spy1205,47,99,54,89,78,82,37,72,177,65,62,123,,
M5005_Spy1206,41,75,45,55,34,50,21,45,200,45,51,92,,
M5005_Spy1207,18,34,19,31,23,28,16,20,54,25,30,43,,
M5005_Spy1208,23,30,23,44,28,54,27,29,92,30,40,51,,
M5005_Spy1209,36,60,47,80,71,79,24,54,249,68,59,93,,
M5005_Spy1210,32,41,46,65,47,67,27,25,94,51,41,93,,
M5005_Spy1211,30,59,37,64,36,58,21,26,81,41,44,82,,
M5005_Spy1212,37,60,44,68,60,68,28,29,74,55,52,94,,
M5005_Spy1213,30,42,29,55,48,49,26,34,89,42,37,72,,
M5005_Spy1214,788,626,638,68,74,82,871,1379,2587,541,478,1201,,
M5005_Spy1215,1135,1734,1117,1034,1085,941,1224,2223,4478,1578,1268,1587,,
M5005_Spy1216,136,446,94,82,105,91,74,418,1155,134,102,188,,
M5005_Spy1217,204,258,152,253,229,205,132,228,492,264,219,334,,
M5005_Spy1218,32,62,32,40,45,39,26,44,64,60,40,94,,
M5005_Spy1219,1320,1692,1268,232,333,302,1110,1748,2975,716,526,625,,
M5005_Spy1220,1144,1533,900,154,219,177,890,1776,3375,490,413,365,,
M5005_Spy1221,1427,1296,1004,175,239,253,959,1537,2920,415,441,384,,
M5005_Spy1222,1214,1545,1233,203,232,236,1207,1288,2386,520,479,815,,
M5005_Spy1223,4259,8635,3097,927,1510,1465,2345,9263,23564,3825,2933,4753,,
M5005_Spy1224,3474,2585,4704,1948,3266,2765,3470,2863,4146,6579,4164,6360,,
M5005_Spy1225,7208,11138,6936,7525,7802,6901,5055,9875,18023,7918,6424,7432,,
M5005_Spy1226,2736,3881,2916,3851,4734,3973,2346,3408,5103,4319,3402,3729,,
M5005_Spy1227,8323,12880,8568,4885,5073,4767,6084,10814,26664,6399,5521,6857,,
M5005_Spy1228,5463,9134,5260,5375,5601,5515,2861,5028,9394,5661,5246,6612,,
M5005_Spy1229,2776,5840,2698,3155,2926,3083,1365,2654,6404,2990,2825,3850,,
M5005_Spy1230,4299,6883,4100,4700,4405,4109,2312,3502,6833,4841,4567,5871,,
M5005_Spy1231,3089,6225,2788,3664,3655,3620,1511,3429,7675,3771,3381,4675,,
M5005_Spy1232,1316,2212,1368,1697,1569,1699,824,1309,2824,1728,1604,2106,,
M5005_Spy1233,6048,10438,5301,6261,5731,5321,3715,6690,14995,8354,7899,8981,,
M5005_Spy1234,2094,3838,1811,394,575,489,1185,2943,4878,924,735,782,,
M5005_Spy1235,5209,10551,4432,10541,10197,9826,3293,6961,14309,22648,18208,23219,,
M5005_Spy1236,2171,2843,1976,1147,1082,961,1572,2313,4498,3548,2736,2874,,
M5005_Spy1237,1266,2737,964,56,51,38,570,1191,3770,343,299,322,,
M5005_Spy1238,1061,1911,858,28,31,30,415,931,1798,271,220,254,,
M5005_Spy1239,243,622,129,7,19,11,58,348,1068,83,56,82,,
M5005_Spy1240,21485,30628,18519,40434,36830,34847,15864,24169,48396,155704,143305,302501,,
M5005_Spy1241,1132,1730,1108,1021,1162,1057,947,1717,3005,865,822,1096,,
M5005_Spy1242,6312,10066,5265,14752,20461,15461,4806,11612,23664,10513,7960,10706,,
M5005_Spy1243,12414,21764,11373,7076,8022,8035,8082,17228,36050,13431,10598,19996,,
M5005_Spy1244,23906,34608,24382,10101,10134,8275,21215,26790,62504,15013,12322,16387,,
M5005_Spy1245,45698,61430,46553,20366,20339,16249,40401,49174,85900,28231,23068,27520,,
