,JE84-1-05,JE84-2-05,JE84-3-05,JE84-1-15,JE84-2-15,JE84-3-15,WT-1-05,WT-2-05,WT-3-05,WT-1-15,WT-2-15,WT-3-15,,
M5005_Spy0105,1706,3258,1659,361,458,396,955,2303,3733,957,722,727,,
M5005_Spy0106,24996,33617,20245,26781,29591,24393,21001,28769,64532,37032,28348,29394,,
M5005_Spy0107,45547,63062,41856,18660,19537,16106,28011,49536,95986,39945,34034,25588,,
M5005_Spy0108,11723,15682,11825,5451,5014,4134,7167,10215,23854,7651,7886,4769,,
M5005_Spy0109,27995,40303,28812,15039,14301,11191,19442,25013,59867,21382,20986,13877,,
M5005_Spy0110,17935,27719,19232,8922,9050,6871,13169,15421,39149,13889,13232,8074,,
M5005_Spy0111,7753,11588,7995,3733,4731,3470,5441,8672,20405,6278,5538,3593,,
M5005_Spy0112,709,1193,625,279,290,298,487,951,1820,480,351,376,,
M5005_Spy0113,110,168,113,47,39,33,110,152,270,106,87,56,,
M5005_Spy0114,111,192,100,31,22,17,91,146,331,56,50,49,,
M5005_Spy0115,189,150,170,61,60,75,164,259,291,99,87,54,,
M5005_Spy0116,322,825,286,984,986,990,211,508,1866,334,288,296,,
M5005_Spy0117,167,248,158,562,557,514,104,235,407,185,146,153,,
M5005_Spy0118,34,54,42,120,145,138,28,37,81,52,43,35,,
M5005_Spy0119,128,214,115,60,66,69,96,212,353,92,73,78,,
M5005_Spy0120,90,105,69,43,22,41,59,106,236,59,54,48,,
M5005_Spy0121,133,239,113,37,49,32,98,157,426,68,58,66,,
M5005_Spy0122,4846,9404,4088,1040,1085,1085,3812,7457,20038,3045,2501,2663,,
M5005_Spy0123,3638,6235,3857,145,163,134,2281,4965,6896,126,111,98,,
M5005_Spy0124,4185,12863,3193,158,152,144,2012,7418,18711,186,134,166,,
M5005_Spy0125,79,86,90,54,64,58,32,42,60,14,14,12,,
M5005_Spy0126,604,1105,584,279,302,267,191,443,723,143,107,133,,
M5005_Spy0127,150,237,154,55,64,78,49,92,208,46,51,41,,
M5005_Spy0128,93,183,92,42,56,47,28,73,106,30,23,35,,
M5005_Spy0129,308,397,324,121,117,136,104,182,354,90,85,94,,
M5005_Spy0130,122,268,88,25,34,42,32,86,172,29,25,25,,
M5005_Spy0131,584,1164,518,214,182,191,189,460,933,178,154,185,,
M5005_Spy0132,471,868,508,147,175,176,212,352,833,193,138,185,,
