,copY_Cu1,copY_Cu2,copY_Cu3,copY_Cu4
CHF17_RS09975,2309,3500,2661,3768
CHF17_RS09980,540,900,664,1182
CHF17_RS09985,2408,1605,2239,1720
CHF17_RS09990,39,56,83,30
CHF17_RS09995,4206,1988,2636,2686
CHF17_RS10000,90,357,503,131
CHF17_RS10005,42,179,257,54
CHF17_RS10010,94,505,739,152
CHF17_RS10015,4839,7204,5240,5502
CHF17_RS10020,5524,7869,7731,6483
CHF17_RS10025,677,1752,2758,887
CHF17_RS10030,62,204,308,98
CHF17_RS10035,32,127,208,47
CHF17_RS10040,143,492,813,201
CHF17_RS10045,2049,1371,1704,989
CHF17_RS10050,2510,1850,2170,1294
CHF17_RS10055,55,132,267,69
CHF17_RS10060,99,269,480,93
CHF17_RS10065,83,218,318,66
CHF17_RS10070,15771,9493,12642,9099
CHF17_RS10075,29255,17027,23977,17697
CHF17_RS10080,20,58,94,18
CHF17_RS10085,22,89,133,36
CHF17_RS10090,90,300,398,60
CHF17_RS10095,175,928,1559,201
CHF17_RS10100,41,239,363,48
CHF17_RS10105,25,204,318,50
CHF17_RS10110,483,2628,4154,726
CHF17_RS10115,276,1409,1782,248
CHF17_RS10120,31,103,157,26
CHF17_RS10125,52,130,193,37
CHF17_RS10130,40,66,109,32
CHF17_RS10135,49,150,184,44
CHF17_RS10140,3875,2107,3443,2701
CHF17_RS10145,2706,1830,2816,2208
CHF17_RS10150,8311,6002,8560,5649
CHF17_RS10155,2165,2127,2929,1223
CHF17_RS10160,2395,2322,3414,1558
CHF17_RS10165,1158,1089,1646,692
CHF17_RS10170,45097,23416,29642,30069
CHF17_RS10175,384,974,1218,398
CHF17_RS10180,533,1527,2223,606
CHF17_RS10185,110,334,557,127
CHF17_RS10190,5027,3970,4759,2991
CHF17_RS10195,4269,2082,2986,2796
CHF17_RS10200,4028,2046,2765,2407
CHF17_RS10205,215,152,158,134
CHF17_RS10210,228,162,240,141
CHF17_RS10215,372,231,295,156
CHF17_RS10220,406,513,563,298
CHF17_RS10225,1377,1731,2157,1131
CHF17_RS10230,4084,5978,7074,4500
CHF17_RS10235,358,564,672,374
CHF17_RS10240,786,1273,1583,1054
CHF17_RS10245,450,518,694,479
CHF17_RS10250,1069,984,1375,1068
CHF17_RS10255,2510,1683,2423,1957
CHF17_RS10260,802,671,920,658
CHF17_RS10265,1071,740,1082,839
CHF17_RS10270,492,370,467,363
CHF17_RS10275,2556,1637,2464,2352
CHF17_RS10280,3219,2021,2985,3110
CHF17_RS10285,4396,2910,4162,4635
CHF17_RS10290,443,257,466,463
CHF17_RS10295,4558,2622,3759,4114
CHF17_RS10300,859,1141,1258,724
CHF17_RS10305,749,798,869,446
CHF17_RS10310,253,285,290,153
CHF17_RS10315,3112,2361,2313,1671
CHF17_RS10320,3842,1949,2574,2689
CHF17_RS10325,4233,2194,3050,2451
CHF17_RS10330,9937,4807,6803,5486
CHF17_RS10335,7,6,7,3
CHF17_RS10340,1453,896,1016,995
CHF17_RS10345,7192,8527,8885,4795
CHF17_RS10350,1709,1573,1608,947
CHF17_RS10355,646,1048,1287,699
CHF17_RS10360,506,784,924,592
CHF17_RS10365,626,638,765,478
CHF17_RS10370,1952,2067,2310,1272
CHF17_RS10375,1387,3331,3358,1376
CHF17_RS10380,1712,1096,1072,1176
CHF17_RS10385,3878,2866,3289,2626
CHF17_RS10390,2308,1773,2078,1406
CHF17_RS10395,31170,63167,79246,34427
CHF17_RS10400,537,1215,1472,999
CHF17_RS10405,152701,1343,1697,94592
CHF17_RS10410,15552,2387,2541,12826
CHF17_RS10415,16196,12033,15367,11472
CHF17_RS10420,25872,18903,26007,18088
CHF17_RS10425,12034,9236,10960,6839
CHF17_RS10430,3386,9414,9093,3475
CHF17_RS10435,3340,2455,2103,1171
CHF17_RS10440,6023,5867,4450,3216
CHF17_RS10445,18259,24455,23788,12763
CHF17_RS10450,3835,3099,3880,2372
CHF17_RS10455,17772,16831,18677,8727
CHF17_RS10460,3781,7453,9255,5393
CHF17_RS10465,9196,8577,10441,6414
CHF17_RS10470,20450,17083,21354,13701
CHF17_RS10475,12526,9242,10145,8035
CHF17_RS10480,1250,1076,1166,751
CHF17_RS10485,640,618,605,388
CHF17_RS10490,19745,24120,24649,15130
CHF17_RS10495,2696,2920,2792,2170
CHF17_RS10500,8651,12066,12689,8832
CHF17_RS10505,14492,21083,23803,16277
CHF17_RS10510,1466,967,971,840
CHF17_RS10515,156,131,143,105
CHF17_RS10520,2936,2352,2660,1803
CHF17_RS10525,688,501,673,599
CHF17_RS10530,4200,3163,4378,5132
CHF17_RS10535,6637,5285,7418,8615
CHF17_RS10540,1148,1017,1209,1364
CHF17_RS10545,21681,13711,16320,20873
CHF17_RS10550,41401,30430,40746,29437
CHF17_RS10555,108,156,130,122
CHF17_RS10560,16122,13789,14623,10962
CHF17_RS10565,30750,26874,28602,20459
CHF17_RS10570,12030,11724,12407,8602
CHF17_RS10575,15958,24052,24801,16408
CHF17_RS10580,4966,8450,11224,8202
CHF17_RS10585,1286,1816,2253,1644
CHF17_RS10590,2448,2989,3429,1839
CHF17_RS10595,3110,4039,4685,2411
CHF17_RS10600,5158,8174,9295,4631
CHF17_RS10605,8091,9285,11070,5957
CHF17_RS10610,53,102,90,94
CHF17_RS10615,6692,10601,10660,11766
CHF17_RS10620,12269,26476,26595,11200
CHF17_RS10625,3577,4862,3903,2715
CHF17_RS10630,49304,37142,43993,26760
CHF17_RS10635,3872,3472,3728,2235
CHF17_RS10640,3926,8246,9691,3450
CHF17_RS10645,25154,28928,34659,17957
CHF17_RS10650,65458,66434,72522,45786
CHF17_RS10655,26946,16718,19875,17552
CHF17_RS10660,6898,13869,12808,3160
CHF17_RS10665,30787,47846,51269,13852
CHF17_RS10670,24502,32170,40062,11715
CHF17_RS10675,3264,3427,4630,2044
CHF17_RS10680,1749,1560,2093,1460
CHF17_RS10685,6404,6124,8707,5059
CHF17_RS10690,15,22,26,14
CHF17_RS10695,339,269,330,208
CHF17_RS10700,1105,769,1105,617
CHF17_RS10705,606,391,582,379
CHF17_RS10710,83,104,113,95
CHF17_RS10715,55,58,78,49
CHF17_RS10720,15759,11618,12396,10859
CHF17_RS10725,75,33,38,30
CHF17_RS10730,2649,1515,1900,1588
CHF17_RS10735,7491,4637,6249,4737
CHF17_RS10740,189,200,207,132
CHF17_RS10745,33,45,61,33
CHF17_RS10750,26,57,60,17
CHF17_RS10755,82,127,177,55
CHF17_RS10760,148,168,190,56
CHF17_RS10765,4731,3156,3264,4472
CHF17_RS10770,16911,13822,15843,15738
CHF17_RS10775,24209,38146,37909,18446
CHF17_RS10780,7433,9688,8654,6691
CHF17_RS10785,177,219,351,116
CHF17_RS10790,956,1562,1848,590
CHF17_RS10795,1018,692,871,528
CHF17_RS10800,292,202,255,159
CHF17_RS10805,557,429,532,425
CHF17_RS10810,41,45,46,37
CHF17_RS10815,31,32,37,26
CHF17_RS10820,18,22,14,13
CHF17_RS10825,66,84,95,42
CHF17_RS10830,117,121,164,86
CHF17_RS10835,28,31,32,22
CHF17_RS10840,394,475,580,390
CHF17_RS10845,347,707,804,379
CHF17_RS10850,67,223,225,98
CHF17_RS10855,69,245,271,115
CHF17_RS10860,47,127,130,48
CHF17_RS10865,73,206,281,84
CHF17_RS10870,29,118,141,26
CHF17_RS10875,47,113,116,56
CHF17_RS10880,27,39,54,34
CHF17_RS10885,17,27,38,26
CHF17_RS10890,19,19,28,29
CHF17_RS10895,7,8,12,5
CHF17_RS10900,1839,1537,1701,1186
CHF17_RS10905,3785,4021,4460,3351
CHF17_RS10910,2996,4100,5053,2722
CHF17_RS10915,91112,120534,152118,39540
CHF17_RS10920,1710,2677,3268,1561
CHF17_RS10925,8819,18935,25646,15273
CHF17_RS10930,3373,5296,5368,3449
CHF17_RS10935,32088,25601,32407,25087
CHF17_RS10940,7790,13337,19679,9628
CHF17_RS10945,29161,37535,49401,22425
CHF17_RS10950,27191,38579,45411,16852
CHF17_RS10955,2380,2000,2349,1437
CHF17_RS10960,4180,3731,4207,2950
CHF17_RS10965,16396,54888,40874,9545
CHF17_RS10970,7640,19689,15491,2072
CHF17_RS10975,5104,6030,7523,3583
CHF17_RS10980,4152,5978,6857,2853
CHF17_RS10985,11620,12997,14466,8233
CHF17_RS10990,10656,9839,11968,7461
CHF17_RS10995,13659,11143,13716,9208
CHF17_RS11000,10513,6368,7893,6684
CHF17_RS11005,1037,824,772,657
CHF17_RS11010,13679,9044,10528,8368
CHF17_RS11015,9924,14624,17198,5689
CHF17_RS11020,2456,2640,4010,1681
CHF17_RS11025,118697,66120,83344,78649
CHF17_RS11030,5009,3982,4545,3560
CHF17_RS11035,5646,4217,4777,4245
CHF17_RS11040,403,415,415,309
CHF17_RS11045,732,1470,1262,586
CHF17_RS11050,111,276,250,95
CHF17_RS11055,594,1242,1078,498
CHF17_RS11060,448,1091,856,450
CHF17_RS11065,592,964,770,418
CHF17_RS11070,30683,15266,17040,18973
CHF17_RS11075,1360,1140,1469,950
CHF17_RS11080,3741,5342,7232,3042
CHF17_RS11085,52844,49515,57229,33092
CHF17_RS11090,14188,15552,20764,8897
CHF17_RS11095,101,117,152,71
CHF17_RS11100,38,28,39,18
CHF17_RS11105,282,217,315,254
CHF17_RS11110,3117,2651,2763,2160
CHF17_RS11115,26693,20027,20039,12933
CHF17_RS11120,7253,4968,5549,3910
