,copY_Cu1,copY_Cu2,copY_Cu3,copY_Cu4
CHF17_RS02575,21658,31130,32967,16448
CHF17_RS02580,4398,8933,7978,3198
CHF17_RS02585,13081,23673,28396,14203
CHF17_RS02590,19259,26522,29681,17503
CHF17_RS02595,4333,6140,6841,3426
CHF17_RS02600,12264,13941,14048,9683
CHF17_RS02605,123,203,250,115
CHF17_RS02610,5584,3685,4489,3352
CHF17_RS02615,11614,7731,10257,7426
CHF17_RS02620,7292,4317,5977,5023
CHF17_RS02625,14868,8099,10170,7300
CHF17_RS02630,1269,862,924,797
CHF17_RS02635,4512,2970,3301,2841
CHF17_RS02640,5296,4561,4613,4445
CHF17_RS02645,1837,1842,1725,1183
CHF17_RS02650,131,134,92,50
CHF17_RS02655,107043,103034,109496,63969
CHF17_RS02660,1327,1319,1631,1160
CHF17_RS02665,1176,1545,1582,1078
CHF17_RS02670,3121,15914,20199,2790
CHF17_RS02675,10526,15986,19473,12135
CHF17_RS02680,5734,11130,13392,8623
CHF17_RS02685,2341,2039,2612,1790
CHF17_RS02690,22833,16992,20370,14594
CHF17_RS02695,30711,26282,29608,19024
CHF17_RS02700,2243,4959,3465,1125
CHF17_RS02705,4,10,8,2
CHF17_RS02710,1532,884,552,311
CHF17_RS02715,8,9,5,1
CHF17_RS02720,16,75,47,12
CHF17_RS02725,45,177,135,35
CHF17_RS02730,89,264,244,68
CHF17_RS02735,168,409,415,119
CHF17_RS02740,127,245,293,89
CHF17_RS02745,103,169,193,63
CHF17_RS02750,61,75,96,34
CHF17_RS02755,8932,8033,9722,5791
CHF17_RS02760,4519,2583,3543,2990
CHF17_RS02765,4839,4245,5119,3387
CHF17_RS02770,1287,819,1306,1075
CHF17_RS02775,3517,1898,2418,2777
CHF17_RS02780,1396,5598,7153,2983
CHF17_RS02785,7289,4136,5092,4371
CHF17_RS02790,884,1398,1261,955
CHF17_RS02795,237,448,392,226
CHF17_RS02800,1316,3247,3155,1834
CHF17_RS02805,2699,6743,7350,3802
CHF17_RS02810,763,1249,1341,762
CHF17_RS02815,890,1324,1454,818
CHF17_RS02820,262,487,672,300
CHF17_RS02825,190,358,516,212
CHF17_RS02830,189,440,567,256
CHF17_RS02835,212,567,643,238
CHF17_RS02840,290,423,554,327
CHF17_RS02845,964,1120,1349,973
CHF17_RS02850,567,684,1136,569
CHF17_RS02855,7280,5468,7530,5627
CHF17_RS02860,3230,2900,4076,1728
CHF17_RS02865,6927,4989,7275,4081
CHF17_RS02870,252105,236009,442888,377169
CHF17_RS02875,12,45,93,19
CHF17_RS02880,666,599,811,492
CHF17_RS02885,1596,1157,1728,1119
CHF17_RS02890,3529,2519,3742,2260
CHF17_RS02895,38,124,186,21
CHF17_RS02900,665,655,894,423
CHF17_RS02905,519,642,888,366
CHF17_RS02910,20929,27032,31115,16037
CHF17_RS02915,310,232,274,147
CHF17_RS02920,4041,2745,3072,2861
CHF17_RS02925,3615,4053,4672,3827
CHF17_RS02930,3547,6661,8231,5926
CHF17_RS02935,11951,25627,31884,19517
CHF17_RS02940,4313,3447,3769,2944
CHF17_RS02945,25,40,79,26
CHF17_RS02950,433,483,596,398
CHF17_RS02955,1867,2152,2579,1929
CHF17_RS02960,2510,2039,2313,2151
CHF17_RS02965,1540,1024,1349,991
CHF17_RS02970,13385,8747,9312,8788
CHF17_RS02975,1867,1302,1560,1349
CHF17_RS02980,3613,3571,3764,2692
CHF17_RS02985,2636,2109,2634,1791
CHF17_RS02990,3006,2756,3201,1477
CHF17_RS02995,7527,7331,8833,4748
CHF17_RS03000,701,948,977,574
CHF17_RS03005,4077,3272,4106,2594
CHF17_RS03010,12520,10464,14192,8620
CHF17_RS03015,4761,4086,5080,2978
CHF17_RS03020,2038,3967,4998,1646
CHF17_RS03025,2313,4281,5674,1697
CHF17_RS03030,1993,1827,2188,1705
CHF17_RS03035,484,431,536,391
CHF17_RS03040,246,347,429,192
CHF17_RS03045,24,33,43,13
CHF17_RS03050,65,165,224,89
CHF17_RS03055,204,300,398,168
CHF17_RS03060,1965,1222,1421,1470
CHF17_RS03065,750,481,499,487
CHF17_RS03070,322,420,550,264
CHF17_RS03075,8048,9827,12689,7492
CHF17_RS03080,4847,6411,8409,4823
CHF17_RS03085,120326,128187,144216,79477
CHF17_RS03090,20488,22967,28588,13331
CHF17_RS03095,7181,9230,11130,5843
CHF17_RS03100,5859,8851,10492,5391
CHF17_RS03105,9090,12072,15774,7496
CHF17_RS03110,24960,36354,43049,24458
CHF17_RS03115,19391,50251,60601,31696
CHF17_RS03120,13574,38748,50226,25382
CHF17_RS03125,11193,28281,34157,16625
CHF17_RS03130,5939,12052,13554,6386
CHF17_RS03135,27462,49290,59171,28540
CHF17_RS03140,31659,47495,54371,28156
CHF17_RS03145,60468,88399,93010,47758
CHF17_RS03150,8801,6795,7668,6520
CHF17_RS03155,3141,2276,2209,2425
CHF17_RS03160,18929,16119,17696,13682
CHF17_RS03165,1735,2245,1750,1393
CHF17_RS03170,1926,1054,1237,1229
CHF17_RS03175,2791,1329,1595,1668
CHF17_RS03180,11873,11019,11226,11078
CHF17_RS03185,7296,4837,5492,5028
CHF17_RS03190,7275,5620,6361,5415
CHF17_RS03195,6915,9544,9976,5605
CHF17_RS03200,840,1394,1522,589
CHF17_RS03205,1935,4354,4715,2298
CHF17_RS03210,1885,4544,5195,2693
CHF17_RS03215,1568,3780,4592,2417
CHF17_RS03220,4548,13987,16729,8387
CHF17_RS03225,11636,15951,18010,9715
CHF17_RS03230,7311,12994,15663,6182
CHF17_RS03235,3999,7821,9712,3366
CHF17_RS03240,20889,23474,20906,14677
CHF17_RS03245,2486,379,432,1583
CHF17_RS03250,143081,27663,33596,118771
CHF17_RS03255,14549,20202,22591,11718
CHF17_RS03260,10610,17386,20074,10500
CHF17_RS03265,15332,17698,19482,12090
CHF17_RS03270,11090,10903,11765,8286
CHF17_RS03275,3901,5030,5493,3044
CHF17_RS03280,1385,1057,1097,677
CHF17_RS03285,44331,84659,94523,40437
CHF17_RS03290,2738,2994,3845,2390
CHF17_RS03295,555,754,934,710
CHF17_RS03300,1899,1650,2009,1986
CHF17_RS03305,7719,15370,18335,10862
CHF17_RS03310,7019,12116,14032,7843
