,Mn1,Mn2,Mn3,nor1 (GSM4653916),nor2 (GSM4653917),nor3 (GSM4653918)
SSUSC84_RS06120,12165,11140,12562,10879,10040,8364
SSUSC84_RS10550,63,70,40,39,41,29
SSUSC84_RS00670,0,0,0,0,0,0
SSUSC84_RS10400,6,2,4,6,3,4
SSUSC84_RS08845,992,1355,1282,1040,1230,911
SSUSC84_RS04735,1233,1095,1231,1433,1222,1067
SSUSC84_RS05680,11,19,17,18,11,12
SSUSC84_RS02005,7813,8455,9011,8057,8649,6624
SSUSC84_RS06225,4786,4497,5188,4410,3974,3285
SSUSC84_RS09910,85,63,70,82,51,39
SSUSC84_RS01090,784,859,987,672,462,383
SSUSC84_RS04325,87,87,104,92,89,76
SSUSC84_RS02240,135,103,176,107,51,74
SSUSC84_RS08425,1566,1740,1713,1234,1266,1097
SSUSC84_RS02590,821,784,773,919,734,598
SSUSC84_RS04655,15,7,14,19,4,13
SSUSC84_RS07165,0,0,0,0,0,0
SSUSC84_RS04610,465,557,540,485,442,471
SSUSC84_RS02845,22445,23695,29439,16514,14157,14316
SSUSC84_RS01065,252,312,286,363,444,245
SSUSC84_RS08280,662,724,719,659,782,628
SSUSC84_RS07095,5584,5621,6541,5316,4342,3914
SSUSC84_RS06165,2268,2248,2336,2312,2137,1765
SSUSC84_RS00960,346,368,440,240,213,253
SSUSC84_RS01010,541,627,642,470,498,407
SSUSC84_RS02485,281,251,297,350,310,262
SSUSC84_RS10385,33622,35573,44191,26912,25848,25842
SSUSC84_RS01045,58,67,75,50,35,35
SSUSC84_RS04830,223,220,279,175,177,125
SSUSC84_RS10660,517,509,725,388,335,377
SSUSC84_RS07625,435,400,451,363,301,271
SSUSC84_RS04285,425,377,446,377,327,294
SSUSC84_RS04460,1,2,0,0,1,0
SSUSC84_RS08910,2368,2297,2776,1891,1840,1596
SSUSC84_RS03120,346,358,379,292,296,309
SSUSC84_RS09165,12806,11806,13387,10053,8257,7145
SSUSC84_RS08195,3822,3588,4139,3774,2966,2742
SSUSC84_RS09350,4357,3985,4554,3585,3447,2857
SSUSC84_RS01445,4003,4022,4577,3310,2958,2667
SSUSC84_RS01060,1150,1148,1182,1146,1228,935
SSUSC84_RS10070,208,295,257,130,203,157
SSUSC84_RS06450,140,131,155,150,106,106
SSUSC84_RS05940,41,42,55,29,32,20
SSUSC84_RS04105,757,779,894,778,789,698
SSUSC84_RS00030,2193,2290,2292,2763,2748,2159
SSUSC84_RS00765,23373,24543,29610,20808,20195,17336
SSUSC84_RS07455,274,294,295,244,193,219
SSUSC84_RS06600,1474,1325,1345,1147,1197,874
SSUSC84_RS08380,466,532,505,346,347,282
SSUSC84_RS10350,144766,148002,181055,124400,157568,116282
SSUSC84_RS03375,13,7,8,3,11,12
SSUSC84_RS07470,30,23,29,16,14,15
SSUSC84_RS05890,5732,5668,6043,5533,5678,4654
SSUSC84_RS06320,29,39,33,24,14,24
SSUSC84_RS03150,993,842,928,938,926,862
SSUSC84_RS00390,6021,5801,5856,5445,4947,3598
SSUSC84_RS08630,24767,24881,31810,19256,20145,17930
SSUSC84_RS08960,391,400,393,341,342,276
SSUSC84_RS08705,1153,1080,1136,998,744,698
SSUSC84_RS09870,365,373,362,290,268,229
SSUSC84_RS10495,0,0,0,0,0,0
SSUSC84_RS01305,559,540,602,574,710,481
SSUSC84_RS00165,0,0,0,0,0,0
SSUSC84_RS07170,0,0,0,0,0,0
SSUSC84_RS06140,195,221,220,295,218,182
SSUSC84_RS00150,0,0,0,0,0,0
SSUSC84_RS06895,321,357,308,308,269,223
SSUSC84_RS03660,374,283,384,294,215,236
SSUSC84_RS02280,1547,1543,1755,1414,1168,1242
SSUSC84_RS03240,410,578,460,344,502,293
SSUSC84_RS01475,1176,1035,1208,1084,690,633
SSUSC84_RS03880,67,106,64,78,82,72
SSUSC84_RS02600,20,17,19,11,18,15
SSUSC84_RS01955,2334,2199,2245,2548,2319,1728
SSUSC84_RS01105,437,440,434,432,412,308
SSUSC84_RS05545,2812,3045,3163,2445,2685,2460
SSUSC84_RS02470,5,4,3,5,2,4
SSUSC84_RS06370,308,353,351,344,339,286
SSUSC84_RS03365,2943,2673,2971,2260,1413,1298
SSUSC84_RS06315,122,112,168,93,86,107
SSUSC84_RS06040,3023,3081,3221,2428,1785,1662
SSUSC84_RS06145,306,240,284,175,68,61
SSUSC84_RS07495,2639,2441,2615,2281,1911,1601
SSUSC84_RS05525,1183,1085,1167,867,638,559
SSUSC84_RS03805,195,160,190,182,153,150
SSUSC84_RS03440,371,476,477,269,283,258
SSUSC84_RS00700,36,38,41,71,50,40
SSUSC84_RS08115,106,147,133,109,88,75
SSUSC84_RS07465,730,690,821,583,472,483
SSUSC84_RS09245,859,925,1051,858,793,757
SSUSC84_RS07815,4530,4882,5046,3876,3463,3075
SSUSC84_RS02155,0,0,0,0,0,0
SSUSC84_RS07710,2659,2286,2197,2841,2783,1739
SSUSC84_RS10140,3235,2982,3142,2963,2598,2086
SSUSC84_RS09490,116,108,107,105,106,63
SSUSC84_RS09535,24,40,35,22,17,17
SSUSC84_RS10065,324,328,297,309,327,227
SSUSC84_RS01715,0,0,0,0,0,0
SSUSC84_RS06330,269,281,280,259,263,217
SSUSC84_RS01645,33,30,53,25,29,32
SSUSC84_RS03650,769,701,764,566,501,482
SSUSC84_RS03370,1888,1742,2047,1608,1094,1038
SSUSC84_RS10235,3306,3786,3695,3890,4153,2870
SSUSC84_RS05255,55,43,71,31,47,25
SSUSC84_RS08500,2019,1820,1640,1645,1195,874
SSUSC84_RS07150,4,1,0,1,1,1
SSUSC84_RS03085,1603,1623,1638,1334,1113,1010
SSUSC84_RS03410,892,847,929,716,566,483
SSUSC84_RS10570,4,2,1,1,1,1
SSUSC84_RS00855,1781,1536,1693,1743,1506,1273
SSUSC84_RS03560,62,93,80,55,33,43
SSUSC84_RS09595,143,171,118,90,101,78
SSUSC84_RS00815,1597,1376,1393,1814,1438,1073
SSUSC84_RS07445,705,686,730,596,542,507
SSUSC84_RS04095,1176,942,948,1101,936,774
SSUSC84_RS01620,37,45,42,31,33,24
SSUSC84_RS04770,7269,5306,5460,6566,5557,4007
SSUSC84_RS06760,1202,998,1125,1020,800,678
SSUSC84_RS02360,1371,1178,1366,1187,882,924
SSUSC84_RS05725,47,32,65,39,11,29
SSUSC84_RS01765,2796,2874,2855,2309,2020,1720
SSUSC84_RS01535,437,557,596,368,274,219
SSUSC84_RS01675,2432,2548,2535,3026,2922,2225
SSUSC84_RS03075,18,24,10,9,20,7
SSUSC84_RS09055,500,576,698,387,299,386
SSUSC84_RS07305,955,989,1162,943,1024,948
SSUSC84_RS08325,552,569,580,501,359,362
SSUSC84_RS04030,121,144,150,111,122,114
SSUSC84_RS05690,12,12,14,11,4,4
SSUSC84_RS01215,283,284,298,153,184,159
SSUSC84_RS06365,307,240,234,282,188,164
SSUSC84_RS09955,25,21,41,32,28,25
SSUSC84_RS09275,690,637,569,531,504,402
SSUSC84_RS08215,80,86,91,42,57,33
SSUSC84_RS07250,349,344,342,425,318,264
SSUSC84_RS02250,339,362,437,328,274,261
SSUSC84_RS03930,1341,1315,1685,964,873,919
SSUSC84_RS09340,3779,3996,3883,3257,3805,2534
SSUSC84_RS04335,205,190,194,191,172,139
SSUSC84_RS05605,6080,5738,6214,5726,5848,4424
SSUSC84_RS01615,28,37,34,34,20,17
SSUSC84_RS08860,15,6,7,6,7,5
SSUSC84_RS01165,167,152,193,182,138,115
SSUSC84_RS00130,0,0,0,0,0,0
SSUSC84_RS06105,4536,4142,4988,3610,2840,2716
SSUSC84_RS01635,30,46,45,33,32,27
SSUSC84_RS02260,187,204,192,198,208,147
SSUSC84_RS03225,567,747,674,727,902,556
SSUSC84_RS09515,152,162,124,152,141,97
SSUSC84_RS07405,89,76,101,107,66,54
SSUSC84_RS03080,292,335,258,259,398,193
SSUSC84_RS02195,1930,1798,1948,1792,1937,1472
SSUSC84_RS04860,1716,1832,1981,1408,1420,1292
SSUSC84_RS02270,192,208,214,156,113,89
SSUSC84_RS08455,25026,25514,25086,19999,17060,13777
SSUSC84_RS01020,3191,2858,3186,2665,2761,2065
SSUSC84_RS02890,4,2,1,2,0,3
SSUSC84_RS10025,288,275,300,230,184,163
SSUSC84_RS02285,1260,1305,1246,989,1038,915
SSUSC84_RS02575,2899,2869,3031,2920,2824,2360
SSUSC84_RS06530,3260,3480,3146,2580,2634,1797
SSUSC84_RS06430,53,62,66,61,60,45
SSUSC84_RS05995,295,247,241,228,222,158
SSUSC84_RS01665,6,3,2,8,2,5
SSUSC84_RS10445,32,32,28,41,30,19
SSUSC84_RS01395,3,3,4,6,2,3
SSUSC84_RS04485,1486,1389,1495,1208,894,877
SSUSC84_RS01490,1672,1513,1895,1205,582,561
SSUSC84_RS02900,4,3,6,4,2,3
SSUSC84_RS02110,256,235,258,232,123,81
SSUSC84_RS00005,2287,2496,2636,3090,2967,2301
SSUSC84_RS07690,1543,1621,1489,1487,1515,1055
SSUSC84_RS01085,1380,1232,1450,1573,1281,1049
SSUSC84_RS00665,6,10,6,7,3,5
SSUSC84_RS00185,56,80,85,94,87,75
SSUSC84_RS07705,481,518,627,548,602,511
SSUSC84_RS07810,543,587,634,640,571,555
SSUSC84_RS09825,424,463,458,382,234,162
SSUSC84_RS04490,522,594,574,427,413,317
SSUSC84_RS07395,22,24,22,20,16,13
SSUSC84_RS04780,600,551,674,598,431,398
SSUSC84_RS08100,3589,3820,4300,3664,4116,3178
SSUSC84_RS09435,183,164,162,119,95,105
SSUSC84_RS10505,694,678,684,278,205,211
SSUSC84_RS08605,694,719,841,864,823,655
SSUSC84_RS08990,11,6,7,4,5,3
SSUSC84_RS02715,2654,3218,3198,3293,3289,2647
SSUSC84_RS04785,456,402,458,453,380,340
SSUSC84_RS03470,3,1,5,9,1,2
SSUSC84_RS01360,135,151,145,109,103,88
SSUSC84_RS03405,551,471,468,399,345,262
SSUSC84_RS06490,2829,3151,2999,2774,2943,2118
SSUSC84_RS06230,210,181,217,205,268,150
SSUSC84_RS06550,540,517,645,505,424,332
SSUSC84_RS00205,1429,1389,1445,1435,1169,955
SSUSC84_RS07890,154,152,152,96,110,110
SSUSC84_RS05800,426,398,474,416,328,294
SSUSC84_RS00155,0,0,0,0,0,0
SSUSC84_RS01095,34679,32608,42654,25028,25996,24767
SSUSC84_RS05165,6108,6117,6392,4319,3281,3013
SSUSC84_RS00320,835,706,868,602,462,429
SSUSC84_RS06960,1041,1167,1205,862,690,632
SSUSC84_RS04585,79,73,92,63,38,44
SSUSC84_RS00935,1551,1384,1558,1287,1341,1131
SSUSC84_RS07760,681,660,621,723,694,573
SSUSC84_RS00380,1918,1595,1896,1540,1156,961
SSUSC84_RS05405,32001,35171,37523,30965,32491,27537
SSUSC84_RS09240,575,619,722,610,555,547
SSUSC84_RS07390,94,97,106,85,74,82
SSUSC84_RS03595,338,423,408,280,283,245
SSUSC84_RS02550,5824,5867,5948,7027,7225,5303
SSUSC84_RS04880,51,56,54,33,29,25
SSUSC84_RS08385,2779,2665,2854,2760,2775,2149
SSUSC84_RS07535,364,365,386,249,218,173
SSUSC84_RS10630,12838,12410,15356,10745,7391,8057
SSUSC84_RS06300,810,736,826,775,631,537
SSUSC84_RS08980,2,1,3,1,5,0
SSUSC84_RS10175,312,323,311,252,266,226
SSUSC84_RS00920,292,280,262,289,285,239
SSUSC84_RS01195,2706,2410,2619,2372,2430,1890
SSUSC84_RS09410,1471,1519,1582,1459,1620,1101
SSUSC84_RS07655,995,1084,1131,652,456,398
SSUSC84_RS06540,1649,1849,2487,1113,892,929
SSUSC84_RS08290,63,55,46,55,34,34
SSUSC84_RS07795,16,21,16,10,8,15
SSUSC84_RS08010,861,780,925,677,476,469
SSUSC84_RS10105,39,37,52,23,22,9
SSUSC84_RS07015,1235,1143,1211,1252,1099,820
SSUSC84_RS08835,14393,15986,17755,11191,11703,10285
SSUSC84_RS00970,59,59,69,49,31,32
SSUSC84_RS09815,2078,2846,2220,2270,2985,2235
SSUSC84_RS02030,3601,3762,4086,3191,3217,2507
SSUSC84_RS01545,5218,5200,6444,3730,3250,3109
SSUSC84_RS09720,281,307,422,248,183,211
SSUSC84_RS06205,482,566,572,410,377,258
SSUSC84_RS04155,41,45,57,58,70,46
SSUSC84_RS00795,0,0,0,0,0,0
SSUSC84_RS05990,865,947,1033,914,934,720
SSUSC84_RS06915,709,654,727,787,659,567
SSUSC84_RS03070,3394,2836,2926,3053,2719,2082
SSUSC84_RS03320,494,475,352,425,416,319
SSUSC84_RS06420,3568,2889,3118,3124,2851,2319
SSUSC84_RS10410,43,47,48,51,32,29
SSUSC84_RS07765,767,682,763,869,805,670
SSUSC84_RS05550,8669,8999,10253,7634,8258,7476
SSUSC84_RS07750,0,0,0,0,0,0
SSUSC84_RS05300,0,1,0,0,1,1
SSUSC84_RS09390,292,294,280,297,202,184
SSUSC84_RS10390,9,9,10,9,5,7
SSUSC84_RS03510,1252,1100,1135,1010,1003,677
SSUSC84_RS00140,0,0,0,0,0,0
SSUSC84_RS03745,13,10,9,13,9,5
SSUSC84_RS00310,24,22,37,21,13,32
SSUSC84_RS00515,2795,2938,3061,2146,2348,2033
SSUSC84_RS08220,5,1,6,3,5,5
SSUSC84_RS04270,19,13,24,11,18,13
SSUSC84_RS09780,1028,792,1139,8404,5880,6555
SSUSC84_RS01985,1302,1339,1465,1223,886,922
SSUSC84_RS00740,90,75,62,41,22,26
SSUSC84_RS09460,661,895,695,683,670,539
SSUSC84_RS05460,531,561,587,471,424,375
SSUSC84_RS02290,2254,2277,2659,1900,1554,1620
SSUSC84_RS04810,1214,1162,1319,1013,944,841
SSUSC84_RS01160,56,80,87,69,77,54
SSUSC84_RS05075,84,88,92,135,112,67
SSUSC84_RS10395,9,10,8,12,3,7
SSUSC84_RS09105,98,99,112,78,62,59
SSUSC84_RS05345,14087,12173,15177,12041,9792,9760
SSUSC84_RS00840,244,211,194,243,187,145
SSUSC84_RS01550,6194,6604,7635,5608,5252,4807
SSUSC84_RS09035,395,456,546,360,304,273
SSUSC84_RS08765,2789,2862,2855,3120,2903,2190
SSUSC84_RS04215,114,102,110,131,149,127
SSUSC84_RS00995,9258,8985,10784,7966,7200,6420
SSUSC84_RS01245,1950,1948,1946,1551,1622,1359
SSUSC84_RS09425,111,94,75,77,83,52
SSUSC84_RS04920,43,46,62,57,62,37
SSUSC84_RS01175,0,1,5,4,4,7
SSUSC84_RS05085,3149,2930,2984,3635,3277,2687
SSUSC84_RS00470,1729,1967,1969,1380,1583,1348
SSUSC84_RS03615,522,483,480,488,526,384
SSUSC84_RS08550,298,238,256,227,217,182
SSUSC84_RS10345,536,541,648,358,319,315
SSUSC84_RS09085,31,34,35,32,15,11
SSUSC84_RS09235,9325,9024,10975,8060,7333,7072
SSUSC84_RS04505,1,0,6,0,2,3
SSUSC84_RS05520,6,13,10,5,10,5
SSUSC84_RS02390,355,333,309,242,238,160
SSUSC84_RS04955,172,214,305,151,176,202
SSUSC84_RS04275,1,0,2,0,0,2
SSUSC84_RS08305,1228,1291,1432,1106,1081,948
SSUSC84_RS06415,7081,6123,6819,6119,5592,4607
SSUSC84_RS08880,519,514,541,492,519,370
SSUSC84_RS00255,501,406,436,361,157,116
SSUSC84_RS04060,575,536,569,535,445,400
SSUSC84_RS02405,712,589,684,556,414,427
SSUSC84_RS02325,92,107,138,99,80,85
SSUSC84_RS04070,375,349,409,315,305,272
SSUSC84_RS06670,993,1029,1092,1096,838,793
SSUSC84_RS08330,894,923,975,884,899,650
SSUSC84_RS07370,15,17,12,16,15,15
SSUSC84_RS01855,1383,1450,1564,1215,1107,1000
SSUSC84_RS01055,20,15,20,14,5,4
SSUSC84_RS00540,3495,4015,4238,2822,3117,2490
SSUSC84_RS03430,61,77,82,58,62,50
SSUSC84_RS01820,332,309,372,256,333,244
SSUSC84_RS00925,1326,1310,1579,1569,1578,1366
SSUSC84_RS03500,2603,3374,2620,2347,3089,1781
SSUSC84_RS08445,138407,142575,146314,117176,110625,91240
SSUSC84_RS06250,1395,1322,1726,985,721,773
SSUSC84_RS04925,415,449,450,323,312,312
SSUSC84_RS06690,111,98,96,91,78,48
SSUSC84_RS09895,198,193,202,178,119,99
SSUSC84_RS10265,4,3,3,3,1,0
SSUSC84_RS03865,2981,2961,3349,2547,2570,2479
SSUSC84_RS00945,194,151,161,164,109,98
SSUSC84_RS02215,1228,1369,1444,1121,1093,888
SSUSC84_RS07685,1371,1293,1237,1245,1227,835
SSUSC84_RS04280,1027,944,969,931,789,692
SSUSC84_RS07360,197,208,225,161,171,141
SSUSC84_RS07420,797,1080,1001,787,1070,767
SSUSC84_RS00860,351,334,355,326,330,296
SSUSC84_RS07230,643,742,860,616,717,620
SSUSC84_RS01795,1209,1246,1292,1195,968,834
SSUSC84_RS02885,734,721,756,529,543,514
SSUSC84_RS09665,3,3,2,4,6,3
SSUSC84_RS09875,148,156,165,136,158,127
SSUSC84_RS06500,2758,2952,2897,2121,1889,1543
SSUSC84_RS04625,31,55,54,44,39,39
SSUSC84_RS01040,9,8,9,5,2,9
SSUSC84_RS05210,40,43,44,28,26,20
SSUSC84_RS00485,3222,3498,3676,2660,2792,2305
SSUSC84_RS07080,0,0,1,0,1,0
SSUSC84_RS08210,58,55,55,39,45,32
SSUSC84_RS01940,175,155,154,146,159,104
SSUSC84_RS08590,36,28,50,16,12,6
SSUSC84_RS05470,252,240,327,195,177,175
SSUSC84_RS02510,1497,1901,1501,1309,1496,1012
SSUSC84_RS09260,902,905,1233,894,909,938
SSUSC84_RS07565,1994,1740,1822,1748,1465,1191
SSUSC84_RS00230,732,590,624,578,337,307
SSUSC84_RS00395,3595,4222,4020,4017,3907,2961
SSUSC84_RS04760,1069,1229,1345,1087,1286,1051
SSUSC84_RS08320,435,439,519,431,294,233
SSUSC84_RS01155,38,32,53,54,31,37
SSUSC84_RS05280,860,754,780,872,656,530
SSUSC84_RS07955,8830,9767,9657,7502,9144,6384
SSUSC84_RS05945,1651,1843,2177,1447,1390,1036
SSUSC84_RS04885,27,29,35,14,15,9
SSUSC84_RS04730,3509,4029,4435,3786,4371,3240
SSUSC84_RS07110,9,3,6,5,4,1
SSUSC84_RS08140,4413,4170,5027,3688,3609,3193
SSUSC84_RS05170,9434,8916,10011,5941,4291,4093
SSUSC84_RS01180,32,27,23,19,15,13
SSUSC84_RS04835,128,105,151,98,83,57
SSUSC84_RS03295,81,100,100,85,59,40
SSUSC84_RS01800,704,656,812,510,590,488
SSUSC84_RS03835,2283,2702,2664,2672,3450,2245
SSUSC84_RS08600,1386,1443,1519,1781,1638,1244
SSUSC84_RS08020,1462,1425,1601,1074,1033,908
SSUSC84_RS01450,3673,3676,4066,2993,2419,2250
SSUSC84_RS10405,0,1,0,0,1,0
SSUSC84_RS02745,190,216,230,259,226,172
SSUSC84_RS05925,92,93,97,86,126,54
SSUSC84_RS08030,758,694,734,460,414,416
SSUSC84_RS03230,291,478,399,369,537,319
SSUSC84_RS08120,308,298,302,231,193,175
SSUSC84_RS03160,4024,3708,4461,3621,3556,3051
SSUSC84_RS00060,1021,984,1067,1068,1045,953
SSUSC84_RS04125,32,30,44,41,20,26
SSUSC84_RS08930,86,118,95,76,112,58
SSUSC84_RS07085,127,174,126,108,62,59
SSUSC84_RS09745,8,3,11,2,1,1
SSUSC84_RS08230,43,46,38,24,24,32
SSUSC84_RS09545,1637,1481,1230,1067,656,441
SSUSC84_RS01845,1845,1739,1945,1432,1335,1164
SSUSC84_RS05500,29,34,45,12,10,17
SSUSC84_RS00145,0,0,0,0,0,0
SSUSC84_RS01610,209,201,176,183,239,127
SSUSC84_RS07480,32,29,30,18,11,10
SSUSC84_RS04950,150,205,291,140,166,180
SSUSC84_RS09295,321,278,261,327,293,195
SSUSC84_RS04700,0,1,1,0,0,0
SSUSC84_RS00990,529,530,530,460,374,314
SSUSC84_RS06425,38,34,46,50,54,35
SSUSC84_RS06520,1136,1052,1210,798,695,583
SSUSC84_RS01680,846,621,952,778,594,800
SSUSC84_RS01225,645,589,673,656,574,475
SSUSC84_RS09115,1456,1382,1321,1415,1393,1040
SSUSC84_RS01460,404,370,430,252,264,216
SSUSC84_RS00885,2389,2180,2328,2809,2397,2076
SSUSC84_RS04330,333,352,359,364,271,278
SSUSC84_RS06920,836,870,842,979,797,691
SSUSC84_RS06440,69,68,73,75,95,50
SSUSC84_RS08135,3759,3772,4263,3203,3194,2987
SSUSC84_RS06900,2524,2350,2279,2002,2085,1569
SSUSC84_RS08945,2801,3395,3916,2197,2686,2146
SSUSC84_RS05580,221,224,230,173,159,146
SSUSC84_RS08470,16084,15056,13226,15391,11753,8065
SSUSC84_RS06200,917,937,1052,758,600,479
SSUSC84_RS08530,3916,4529,4086,3525,3502,2834
SSUSC84_RS08900,5212,4925,6007,5180,3885,3208
SSUSC84_RS06280,148,159,182,158,182,163
SSUSC84_RS08915,909,811,1006,753,647,637
SSUSC84_RS06025,2430,2609,2704,2170,1658,1472
SSUSC84_RS06770,1146,1032,1174,1012,729,685
SSUSC84_RS02535,2137,1935,2004,2048,1820,1490
SSUSC84_RS08615,2137,2248,2272,2176,2326,1746
SSUSC84_RS08870,3,4,7,3,4,8
SSUSC84_RS08650,55,44,61,38,40,30
SSUSC84_RS05795,368,292,330,313,263,234
SSUSC84_RS08610,0,0,0,0,0,0
SSUSC84_RS08510,540,589,611,499,514,418
SSUSC84_RS02530,744,719,746,802,627,502
SSUSC84_RS01295,943,906,963,973,976,770
SSUSC84_RS05935,47,76,71,60,71,36
SSUSC84_RS06055,1560,1478,1622,1275,878,849
SSUSC84_RS09075,4869,4839,4302,4213,4548,3171
SSUSC84_RS07605,268,243,262,364,350,282
SSUSC84_RS01240,5748,5484,6003,4421,4512,3685
SSUSC84_RS09555,173,160,172,182,130,128
SSUSC84_RS09630,4,2,7,8,8,4
SSUSC84_RS06305,3808,3435,4041,3870,2787,2562
SSUSC84_RS05250,162,161,200,137,103,86
SSUSC84_RS07660,826,746,830,663,794,528
SSUSC84_RS06750,2995,2896,2949,3208,3169,2270
SSUSC84_RS03400,7,20,8,9,6,9
SSUSC84_RS00025,399,383,417,329,345,296
SSUSC84_RS02225,305,408,501,192,204,224
SSUSC84_RS09265,7394,7003,7654,5764,4291,3893
SSUSC84_RS05840,8,5,15,6,3,6
SSUSC84_RS06510,649,717,751,613,627,473
SSUSC84_RS01230,1167,1024,898,982,967,695
SSUSC84_RS10325,28,21,22,17,6,6
SSUSC84_RS07100,831,747,851,805,746,655
SSUSC84_RS00260,118,101,85,80,50,28
SSUSC84_RS00565,1827,2048,1983,1747,2001,1426
SSUSC84_RS05350,165,142,140,103,110,77
SSUSC84_RS05025,2,0,1,1,1,1
SSUSC84_RS01935,16,11,19,15,9,7
SSUSC84_RS09880,1,5,0,2,1,1
SSUSC84_RS02115,3,9,5,10,3,2
SSUSC84_RS09325,1336,1365,1350,1353,1173,871
SSUSC84_RS09300,3,3,1,6,4,1
SSUSC84_RS09125,24,25,31,13,33,23
SSUSC84_RS07770,633,581,712,718,760,583
SSUSC84_RS01690,32849,35694,40077,33613,34490,28498
SSUSC84_RS07975,15243,15570,20215,12937,13660,13591
SSUSC84_RS00745,377,384,378,379,425,272
SSUSC84_RS09740,228,236,286,133,99,138
SSUSC84_RS07950,173,221,226,139,81,48
SSUSC84_RS00985,30,23,26,23,24,12
SSUSC84_RS00690,0,0,0,0,4,2
SSUSC84_RS06060,1823,1898,1988,1593,1247,1176
SSUSC84_RS09400,841,804,950,766,692,655
SSUSC84_RS08050,1442,1616,1520,1578,1668,1140
SSUSC84_RS04360,1,0,0,2,0,0
SSUSC84_RS09970,22,27,26,20,9,10
SSUSC84_RS06130,3951,3644,3913,3429,3123,2728
SSUSC84_RS03060,35,32,31,38,29,27
SSUSC84_RS05695,194,194,170,176,137,129
SSUSC84_RS01565,138,150,146,115,159,142
SSUSC84_RS04425,1,1,0,1,0,0
SSUSC84_RS05810,334,374,384,268,180,181
SSUSC84_RS03425,12,17,10,15,6,13
SSUSC84_RS03020,6865,6869,7621,5651,5314,4489
SSUSC84_RS02245,111,107,155,108,80,78
SSUSC84_RS00600,0,0,0,0,0,0
SSUSC84_RS01595,347,366,402,335,272,265
SSUSC84_RS07910,411,351,334,347,210,197
SSUSC84_RS04455,0,0,0,0,0,0
SSUSC84_RS03215,199,185,204,171,121,94
SSUSC84_RS01755,5187,5462,6115,5078,4944,4278
SSUSC84_RS04975,24,23,32,18,13,16
SSUSC84_RS06485,897,775,903,893,716,606
SSUSC84_RS08145,1642,1561,1610,1369,1372,1229
SSUSC84_RS06190,2777,2993,4264,2541,2339,2767
SSUSC84_RS00930,21575,20897,23084,18510,18951,15423
SSUSC84_RS05770,97,85,103,58,41,36
SSUSC84_RS10250,5440,5439,5517,6197,6650,4768
SSUSC84_RS02385,3278,3262,3516,2631,2666,2229
SSUSC84_RS05670,50245,49853,60769,45705,49464,41687
SSUSC84_RS08875,2866,3158,2958,2894,3130,2168
SSUSC84_RS09930,0,0,0,0,0,0
SSUSC84_RS00345,0,2,4,0,3,0
SSUSC84_RS06950,2565,2478,3085,2370,1952,1789
SSUSC84_RS07240,2682,2458,2515,1747,1120,1044
SSUSC84_RS03325,506,491,445,363,402,269
SSUSC84_RS03055,2814,2440,3491,2287,2020,2141
SSUSC84_RS01340,274,256,258,238,262,184
SSUSC84_RS10380,9986,10832,12742,7624,7529,7176
SSUSC84_RS09015,67,67,88,52,30,33
SSUSC84_RS06360,2620,2630,3184,2448,2323,2141
SSUSC84_RS06735,3098,3179,3663,3004,3106,2722
SSUSC84_RS02345,3832,4669,4870,3225,3458,2798
SSUSC84_RS02505,373,390,386,412,411,279
SSUSC84_RS09200,7382,7215,7820,6877,6883,5548
SSUSC84_RS05455,5855,5908,6280,5287,5281,4237
SSUSC84_RS08340,3479,3718,3483,4609,4237,3133
SSUSC84_RS07115,1,1,2,0,0,0
SSUSC84_RS03870,615,639,757,506,398,371
SSUSC84_RS05260,10,6,6,3,3,1
SSUSC84_RS07220,30,32,50,43,53,29
SSUSC84_RS08235,99,92,78,51,51,41
SSUSC84_RS06390,924,862,784,783,739,578
SSUSC84_RS02105,53778,62430,63114,59246,56842,42794
SSUSC84_RS03165,348,407,387,494,505,374
SSUSC84_RS03100,1545,1305,1451,1667,1351,1213
SSUSC84_RS04165,117,94,99,170,98,102
SSUSC84_RS02090,616,591,640,575,524,404
SSUSC84_RS08085,325,351,323,374,421,286
