,sczA_Cu1,sczA_Cu2,sczA_Cu3,sczA_Cu4
CHF17_RS10025,892,1391,1356,1550
CHF17_RS10030,89,158,146,121
CHF17_RS10035,45,94,82,83
CHF17_RS10040,194,375,314,340
CHF17_RS10045,2835,2002,1281,1829
CHF17_RS10050,4002,2684,1661,2224
CHF17_RS10055,89,155,97,97
CHF17_RS10060,138,246,160,143
CHF17_RS10065,116,123,94,94
CHF17_RS10070,25614,12770,8444,10404
CHF17_RS10075,47795,24451,16199,21053
CHF17_RS10080,21,54,31,36
CHF17_RS10085,39,58,34,46
CHF17_RS10090,97,148,115,104
CHF17_RS10095,191,280,251,286
CHF17_RS10100,52,88,59,54
CHF17_RS10105,27,59,50,59
CHF17_RS10110,710,1014,860,958
CHF17_RS10115,378,727,548,424
CHF17_RS10120,39,71,50,37
CHF17_RS10125,80,111,74,64
CHF17_RS10130,68,87,60,47
CHF17_RS10135,85,103,89,65
CHF17_RS10140,5033,3305,2737,4455
CHF17_RS10145,3780,2906,2407,3542
CHF17_RS10150,11396,9267,6451,8393
CHF17_RS10155,3562,3213,1750,1936
CHF17_RS10160,4051,3638,2274,2512
CHF17_RS10165,2001,1732,1042,1204
CHF17_RS10170,63288,35648,27500,37648
CHF17_RS10175,414,868,723,684
CHF17_RS10180,780,1589,1416,1169
CHF17_RS10185,133,379,254,232
CHF17_RS10190,7359,5595,4681,4083
CHF17_RS10195,5518,3222,2363,3326
CHF17_RS10200,5743,2987,2282,2918
CHF17_RS10205,435,202,158,202
CHF17_RS10210,456,287,210,222
CHF17_RS10215,553,328,315,213
CHF17_RS10220,649,557,431,539
CHF17_RS10225,1842,2282,1836,2257
CHF17_RS10230,5155,7302,6474,8236
CHF17_RS10235,630,643,475,620
CHF17_RS10240,1164,1433,1303,2108
CHF17_RS10245,718,758,613,849
CHF17_RS10250,1748,1617,1307,1810
CHF17_RS10255,4125,3068,2410,3503
CHF17_RS10260,1004,850,725,948
CHF17_RS10265,1500,1044,903,1254
CHF17_RS10270,817,542,405,480
CHF17_RS10275,3362,2713,2317,3464
CHF17_RS10280,3374,2907,2774,3935
CHF17_RS10285,4576,4211,4164,5720
CHF17_RS10290,446,465,423,716
CHF17_RS10295,4664,4203,3976,5476
CHF17_RS10300,1176,1091,992,1029
CHF17_RS10305,2642,3809,1793,1397
CHF17_RS10310,943,474,273,309
CHF17_RS10315,8403,4275,3043,3647
CHF17_RS10320,6743,3981,3103,4241
CHF17_RS10325,12536,6089,5329,7374
CHF17_RS10330,28404,13466,11616,15905
CHF17_RS10335,9,15,8,8
CHF17_RS10340,2343,1632,1290,1517
CHF17_RS10345,10818,13678,10131,7056
CHF17_RS10350,3362,3318,2243,1786
CHF17_RS10355,906,794,710,918
CHF17_RS10360,560,527,559,820
CHF17_RS10365,883,864,696,584
CHF17_RS10370,2829,2678,2156,1577
CHF17_RS10375,2335,4353,3164,3658
CHF17_RS10380,4342,2746,1890,2467
CHF17_RS10385,9074,6629,4626,5589
CHF17_RS10390,5511,3905,2614,3395
CHF17_RS10395,31856,40742,39940,47604
CHF17_RS10400,519,653,652,1041
CHF17_RS10405,181509,1245,13386,72375
CHF17_RS10410,17432,3082,3313,9495
CHF17_RS10415,17958,13213,10219,11812
CHF17_RS10420,29250,22736,17781,20263
CHF17_RS10425,16846,13950,11269,11616
CHF17_RS10430,3777,9045,4649,3639
CHF17_RS10435,6029,2499,1714,1335
CHF17_RS10440,12990,6215,4368,3851
CHF17_RS10445,37491,35742,27176,26212
CHF17_RS10450,5633,3446,2684,3278
CHF17_RS10455,30056,26338,17154,14637
CHF17_RS10460,3811,4668,4399,6200
CHF17_RS10465,10191,7722,6901,8589
CHF17_RS10470,20424,15518,14065,17866
CHF17_RS10475,10534,7131,6128,7069
CHF17_RS10480,2255,1452,998,1242
CHF17_RS10485,1076,695,467,526
CHF17_RS10490,24189,25844,21062,29591
CHF17_RS10495,3878,3482,2496,3959
CHF17_RS10500,3851,6251,5355,2790
CHF17_RS10505,5791,11362,9960,5165
CHF17_RS10510,1803,1088,863,958
CHF17_RS10515,271,200,136,165
CHF17_RS10520,4803,3409,2578,2667
CHF17_RS10525,918,452,372,628
CHF17_RS10530,4012,2719,2789,5747
CHF17_RS10535,6373,4578,4654,9997
CHF17_RS10540,1253,801,712,1492
CHF17_RS10545,17507,8641,8445,15797
CHF17_RS10550,50933,35408,28851,34551
CHF17_RS10555,224,134,184,155
CHF17_RS10560,27643,24794,17147,19642
CHF17_RS10565,49636,48860,33298,38043
CHF17_RS10570,21999,21148,14642,15890
CHF17_RS10575,76783,86836,50850,57028
CHF17_RS10580,6132,5634,5470,10806
CHF17_RS10585,2342,1693,1598,2842
CHF17_RS10590,3384,3034,2374,2685
CHF17_RS10595,4055,3828,3264,3474
CHF17_RS10600,6743,7462,6883,7474
CHF17_RS10605,10685,10140,9002,9967
CHF17_RS10610,148,128,64,92
CHF17_RS10615,17277,14066,7757,14484
CHF17_RS10620,15735,26377,18527,14009
CHF17_RS10625,7061,5975,3589,3540
CHF17_RS10630,56141,39059,31240,33105
CHF17_RS10635,7231,4577,3460,3482
CHF17_RS10640,5991,7504,5335,4704
CHF17_RS10645,27504,28300,21925,22981
CHF17_RS10650,64720,61661,53597,54911
CHF17_RS10655,35546,22367,20467,23383
CHF17_RS10660,10575,12779,7889,4256
CHF17_RS10665,36542,46865,35078,19161
CHF17_RS10670,25630,32032,32867,18294
CHF17_RS10675,4097,4482,4886,3477
CHF17_RS10680,2167,2476,2112,2450
CHF17_RS10685,8666,9862,7713,8912
CHF17_RS10690,29,18,25,27
CHF17_RS10695,663,297,293,309
CHF17_RS10700,2172,1047,1090,1099
CHF17_RS10705,1011,560,559,591
CHF17_RS10710,170,109,136,141
CHF17_RS10715,111,60,73,75
CHF17_RS10720,40957,29897,23860,29312
CHF17_RS10725,121,127,81,96
CHF17_RS10730,3626,2096,1826,2217
CHF17_RS10735,10344,6495,5033,6402
CHF17_RS10740,304,206,188,175
CHF17_RS10745,52,50,40,54
CHF17_RS10750,53,45,38,36
CHF17_RS10755,176,167,124,125
CHF17_RS10760,212,250,141,148
CHF17_RS10765,9187,5882,4406,6955
CHF17_RS10770,28945,22026,16232,24631
CHF17_RS10775,57056,62835,45284,48545
CHF17_RS10780,21216,21251,13530,18379
CHF17_RS10785,292,303,216,236
CHF17_RS10790,1306,1720,1250,1107
CHF17_RS10795,1140,1752,502,534
CHF17_RS10800,328,547,162,207
CHF17_RS10805,1351,1006,643,818
CHF17_RS10810,52,42,39,42
CHF17_RS10815,49,34,30,43
CHF17_RS10820,27,24,18,19
CHF17_RS10825,94,117,90,81
CHF17_RS10830,152,150,123,110
CHF17_RS10835,39,38,25,30
CHF17_RS10840,661,493,453,568
CHF17_RS10845,474,438,439,594
CHF17_RS10850,79,106,136,152
CHF17_RS10855,107,153,158,164
CHF17_RS10860,54,96,65,93
CHF17_RS10865,98,160,118,141
CHF17_RS10870,47,86,52,48
CHF17_RS10875,51,74,52,53
CHF17_RS10880,31,23,17,31
CHF17_RS10885,29,16,15,29
CHF17_RS10890,15,20,12,18
CHF17_RS10895,5,6,8,8
CHF17_RS10900,2895,2424,1538,1804
CHF17_RS10905,5192,5553,4333,4877
CHF17_RS10910,3730,4982,3902,4106
CHF17_RS10915,87431,102282,93366,59616
CHF17_RS10920,2224,1467,1275,1791
CHF17_RS10925,10067,10769,10493,19658
CHF17_RS10930,4183,3519,2862,4287
CHF17_RS10935,38164,28807,23297,30597
CHF17_RS10940,8076,9232,9187,11953
CHF17_RS10945,26903,35353,27288,27590
CHF17_RS10950,29052,32469,24641,22728
CHF17_RS10955,3460,2035,1806,1922
CHF17_RS10960,5188,3467,3345,3868
CHF17_RS10965,28139,65943,30267,13741
CHF17_RS10970,21219,41060,19114,7845
CHF17_RS10975,6174,5472,4503,5339
CHF17_RS10980,5166,4848,3972,3943
CHF17_RS10985,16646,15310,11698,12747
CHF17_RS10990,15568,13540,10583,11922
CHF17_RS10995,21694,15393,10423,13633
CHF17_RS11000,16896,9890,6846,9593
CHF17_RS11005,2287,1168,705,975
CHF17_RS11010,24245,14487,10610,13387
CHF17_RS11015,11862,14141,11755,7947
CHF17_RS11020,3080,3039,2075,1672
CHF17_RS11025,118711,60260,56492,85709
CHF17_RS11030,8667,5923,4261,5702
CHF17_RS11035,9628,7062,4896,6671
CHF17_RS11040,1119,884,535,760
CHF17_RS11045,4092,11186,6908,4895
CHF17_RS11050,678,2019,1199,830
CHF17_RS11055,3360,8625,6196,4319
CHF17_RS11060,2576,5476,4094,3577
CHF17_RS11065,3419,5285,3676,2946
CHF17_RS11070,36088,17844,13509,18141
CHF17_RS11075,2260,1591,1372,1494
CHF17_RS11080,5392,7316,5665,5790
CHF17_RS11085,82448,62818,47921,50791
CHF17_RS11090,22830,21373,15296,15975
CHF17_RS11095,177,148,143,136
CHF17_RS11100,65,49,24,33
CHF17_RS11105,473,399,216,338
CHF17_RS11110,4619,4350,1956,2880
CHF17_RS11115,58873,51027,29640,26178
CHF17_RS11120,11829,8664,6086,5473
