,sczA_Cu1,sczA_Cu2,sczA_Cu3,sczA_Cu4
CHF17_RS02970,19194,11445,9748,11851
CHF17_RS02975,2943,2014,1684,2030
CHF17_RS02980,5716,4980,4028,4546
CHF17_RS02985,3269,3139,2940,3231
CHF17_RS02990,4137,3719,2482,2294
CHF17_RS02995,10477,9515,7331,7764
CHF17_RS03000,1600,1331,1099,1172
CHF17_RS03005,5062,3568,3111,3491
CHF17_RS03010,13434,10606,10117,11431
CHF17_RS03015,5199,3778,3614,4065
CHF17_RS03020,2016,3188,2471,2270
CHF17_RS03025,2180,3471,2880,2281
CHF17_RS03030,2952,2102,1681,2234
CHF17_RS03035,545,412,408,466
CHF17_RS03040,196,229,200,209
CHF17_RS03045,23,40,22,38
CHF17_RS03050,91,155,127,119
CHF17_RS03055,260,349,308,287
CHF17_RS03060,2952,2155,1339,1975
CHF17_RS03065,1004,712,563,645
CHF17_RS03070,523,365,239,310
CHF17_RS03075,8143,7019,6662,8528
CHF17_RS03080,5046,4616,4102,5280
CHF17_RS03085,140348,147735,120470,114777
CHF17_RS03090,23504,25976,21717,19312
CHF17_RS03095,8652,8746,8614,9079
CHF17_RS03100,6068,7943,7181,8138
CHF17_RS03105,10071,11680,9901,10207
CHF17_RS03110,29065,27706,27207,35831
CHF17_RS03115,20812,31145,30602,46373
CHF17_RS03120,13769,25745,24648,36927
CHF17_RS03125,11841,19343,18345,24157
CHF17_RS03130,6551,8808,7504,8129
CHF17_RS03135,40687,50598,38963,47366
CHF17_RS03140,51925,57116,43893,52963
CHF17_RS03145,68687,93456,81769,72532
CHF17_RS03150,14367,10519,8055,9887
CHF17_RS03155,4651,3453,2508,2804
CHF17_RS03160,29988,26864,19818,28752
CHF17_RS03165,4038,2193,1374,1928
CHF17_RS03170,2428,1320,1178,1359
CHF17_RS03175,3065,1789,1547,1988
CHF17_RS03180,18176,18336,15633,15820
CHF17_RS03185,9381,6995,6260,7740
CHF17_RS03190,8859,7729,7204,8542
CHF17_RS03195,11460,11152,9265,10586
CHF17_RS03200,1229,1556,1025,1234
CHF17_RS03205,2818,3827,2845,4330
CHF17_RS03210,2549,3681,2917,4444
CHF17_RS03215,2101,3177,2505,4006
CHF17_RS03220,5791,9954,8668,13414
CHF17_RS03225,16532,15584,12109,13492
CHF17_RS03230,9218,13370,9678,9002
CHF17_RS03235,5300,8815,5572,4586
CHF17_RS03240,53216,38633,21904,30291
CHF17_RS03245,3855,646,646,1722
CHF17_RS03250,151763,33113,31317,64681
CHF17_RS03255,22865,25692,20713,21954
CHF17_RS03260,14652,20264,17467,19971
CHF17_RS03265,23293,22445,20197,22826
CHF17_RS03270,19114,16081,12968,14685
CHF17_RS03275,6624,6999,4588,5099
CHF17_RS03280,2217,1434,794,963
CHF17_RS03285,56974,91489,71702,82041
CHF17_RS03290,4336,4447,3724,4428
CHF17_RS03295,828,714,665,945
CHF17_RS03300,1815,1379,1339,1939
CHF17_RS03305,9893,14353,12680,17011
CHF17_RS03310,8699,11949,10066,11705
CHF17_RS03315,27147,29166,22680,24308
CHF17_RS03320,3306,3269,3038,2924
CHF17_RS03325,12395,8967,6986,8390
CHF17_RS03330,11402,7607,5679,6822
CHF17_RS03335,16247,12056,8025,13928
CHF17_RS03340,11948,10471,8516,8889
CHF17_RS03345,15974,15171,14990,16141
CHF17_RS03350,29433,28542,25884,25604
CHF17_RS03355,10711,9507,9353,6094
CHF17_RS03360,19157,18045,17570,10811
CHF17_RS03365,4747,2852,2075,2830
CHF17_RS03370,6184,4655,4196,6774
