GeneID,WT_mapped_reads.11975585.,stk_mapped_reads.16477864.
SSU05_1540,1331,5354
SSU05_2055,291,217
SSU05_1740,345,8297
SSU05_1779,28106,9950
SSU05_0207,10,28
SSU05_0904,46,91
SSU05_2017,107,39
SSU05_0286,707,904
SSU05_1797,27477,59263
SSU05_0453,126,179
SSU05_1224,54,38
SSU05_1408,1302,595
SSU05_1412,3331,6918
SSU05_0015,26844,26434
SSU05_0056,3517,9678
SSU05_1062,11,57
SSU05_1743,667,754
SSU05_0672,241,1050
SSU05_0959,1073,1886
SSU05_1390,4667,6459
SSU05_1073,26,70
SSU05_1126,866,1782
SSU05_1773,7545,29176
SSU05_1266,7165,18050
SSU05_2101,670,244
SSU05_0701,950,2407
SSU05_0973,81,70
SSU05_0510,4768,19868
SSU05_0743,850,2695
SSU05_0766,441,596
SSU05_1571,352,525
SSU05_1841,8102,24962
SSU05_2044,5644,3391
SSU05_1002,4788,14425
SSU05_0994,1221,13530
SSU05_0816,196,492
SSU05_1279,6878,17609
SSU05_0741,103,539
SSU05_2129,8976,20890
SSU05_0368,2369,2761
SSU05_1431,1555,4002
SSU05_1301,10924,12259
SSU05_0653,53,73
SSU05_1672,9218,11599
SSU05_0330,96,99
SSU05_1293,1052,1672
SSU05_1395,1803,3194
SSU05_0061,2801,4419
SSU05_0211,126,272
SSU05_1151,1037,1205
SSU05_1839,22932,53314
SSU05_1569,114,354
SSU05_0934,741,2151
SSU05_1450,4475,9709
SSU05_0783,20,23
SSU05_1486,464,362
SSU05_1145,506,1814
SSU05_0610,10,27
SSU05_1687,341,351
SSU05_0880,315,1327
SSU05_1896,12254,26365
SSU05_2014,5702,5256
SSU05_0471,810,2231
SSU05_0967,75,125
SSU05_0987,4,7
SSU05_1864,17048,11307
SSU05_1591,70,185
SSU05_1951,22659,26323
SSU05_1158,339,277
SSU05_1319,2034,4091
SSU05_0397,15,1
SSU05_2034,1793,2381
SSU05_1376,2156,3945
SSU05_1403,9865,20289
SSU05_0887,321,403
SSU05_1794,76,253
SSU05_1500,115,234
SSU05_1528,975,1739
SSU05_0129,13,5
SSU05_1381,1101,2042
SSU05_1133,490,528
SSU05_0754,4734,6807
SSU05_2077,88,82
SSU05_1806,5344,10573
SSU05_1975,18413,17394
SSU05_0250,3737,7155
SSU05_1326,2384,2480
SSU05_0805,4070,5071
SSU05_1928,197,620
SSU05_1300,8379,7963
SSU05_1633,536,738
SSU05_0646,1787,2440
SSU05_0914,180,402
SSU05_0082,24208,26080
SSU05_0899,742,3128
SSU05_2149,838,2119
SSU05_0619,1258,2163
SSU05_1243,13507,29831
SSU05_0511,6019,15429
SSU05_2092,134,195
SSU05_1968,36745,14327
SSU05_1860,1689,2275
SSU05_0847,711,1536
SSU05_0675,921,593
SSU05_1116,66,204
SSU05_1167,32,7
SSU05_1914,99,106
SSU05_0364,23,42
SSU05_1058,4584,12801
SSU05_0111,2486,2156
SSU05_0940,12,21
SSU05_2184,2505,1807
SSU05_0888,544,1225
SSU05_1649,2244,2454
SSU05_1324,2538,4160
SSU05_1253,1032,547
SSU05_0590,23,62
SSU05_0516,15119,17043
SSU05_0871,24,212
SSU05_0661,2102,3193
SSU05_2087,8180,8270
SSU05_0951,14,30
SSU05_2038,8923,6688
SSU05_0704,453,1496
SSU05_0267,441,880
