GeneID,WT_mapped_reads.11975585.,stk_mapped_reads.16477864.
SSU05_0199,3356,5916
SSU05_1815,21664,4029
SSU05_0746,3275,5696
SSU05_1726,16312,20439
SSU05_0909,39,138
SSU05_0533,4281,8886
SSU05_1389,1421,1774
SSU05_2112,715,1085
SSU05_0048,103,88
SSU05_1352,5807,9880
SSU05_0265,425,909
SSU05_1180,3316,6979
SSU05_0077,40954,35877
SSU05_2080,3,-
SSU05_0204,771,809
