,copY_Ctrl1,copY_Ctrl2,copY_Ctrl3,copY_Ctrl4
CHF17_RS10030,151,88,174,68
CHF17_RS10035,97,65,114,50
CHF17_RS10040,332,201,466,134
CHF17_RS10045,1288,1509,1581,707
CHF17_RS10050,1890,1958,2197,931
CHF17_RS10055,107,71,152,33
CHF17_RS10060,211,150,223,96
CHF17_RS10065,146,109,173,84
CHF17_RS10070,8600,10051,10001,5034
CHF17_RS10075,14173,17209,16489,10148
CHF17_RS10080,21,18,43,9
CHF17_RS10085,42,42,57,24
CHF17_RS10090,128,127,147,73
CHF17_RS10095,313,356,468,139
CHF17_RS10100,78,116,142,49
CHF17_RS10105,65,73,99,37
CHF17_RS10110,897,1013,1136,558
CHF17_RS10115,865,630,959,230
CHF17_RS10120,62,41,89,16
CHF17_RS10125,105,73,142,20
CHF17_RS10130,56,43,85,25
CHF17_RS10135,81,71,113,30
CHF17_RS10140,2529,2300,2586,2118
CHF17_RS10145,2076,2043,2193,1478
CHF17_RS10150,6727,6850,7218,4019
CHF17_RS10155,2508,2155,2892,886
CHF17_RS10160,2677,2308,2747,928
CHF17_RS10165,1429,1265,1427,493
CHF17_RS10170,29662,31359,25803,20866
CHF17_RS10175,1051,678,1093,349
CHF17_RS10180,1522,909,1615,443
CHF17_RS10185,281,153,384,75
CHF17_RS10190,2845,2266,2521,1466
CHF17_RS10195,2252,2311,2448,1752
CHF17_RS10200,2641,2497,2902,1709
CHF17_RS10205,250,209,259,121
CHF17_RS10210,153,163,196,97
CHF17_RS10215,272,301,302,165
CHF17_RS10220,520,675,845,201
CHF17_RS10225,1849,2113,2457,803
CHF17_RS10230,6071,7392,7043,3055
CHF17_RS10235,622,772,985,222
CHF17_RS10240,1275,1550,1654,661
CHF17_RS10245,550,666,806,314
CHF17_RS10250,830,1165,1313,627
CHF17_RS10255,1606,2201,2248,1288
CHF17_RS10260,714,886,809,517
CHF17_RS10265,904,1260,1143,743
CHF17_RS10270,527,693,674,275
CHF17_RS10275,1826,2277,1963,1607
CHF17_RS10280,2359,3187,2579,2259
CHF17_RS10285,3360,4742,3501,3293
CHF17_RS10290,316,398,350,310
CHF17_RS10295,2855,4063,3172,2805
CHF17_RS10300,1221,1281,1320,679
CHF17_RS10305,376,318,481,214
CHF17_RS10310,249,300,268,92
CHF17_RS10315,2504,3137,2172,1411
CHF17_RS10320,2339,2705,2098,2152
CHF17_RS10325,2222,2759,2151,1543
CHF17_RS10330,5329,5904,4967,3226
CHF17_RS10335,4,4,8,3
CHF17_RS10340,1126,1396,1198,861
CHF17_RS10345,9407,11263,8784,4666
CHF17_RS10350,1185,976,1007,536
CHF17_RS10355,1152,1344,1247,525
CHF17_RS10360,890,1106,1014,484
CHF17_RS10365,746,744,722,452
CHF17_RS10370,2899,2495,2616,1302
CHF17_RS10375,2590,3137,3739,1779
CHF17_RS10380,965,1444,1006,857
CHF17_RS10385,2447,3271,2403,1853
CHF17_RS10390,1532,1840,1496,896
CHF17_RS10395,75777,70503,71341,34847
CHF17_RS10400,1140,1435,1335,892
CHF17_RS10405,1648,84178,1373,80584
CHF17_RS10410,2781,7873,2586,8867
CHF17_RS10415,14289,13008,14047,8066
CHF17_RS10420,21752,20752,21003,12420
CHF17_RS10425,13230,11274,13034,7020
CHF17_RS10430,12738,8754,14944,4935
CHF17_RS10435,2235,2727,3372,812
CHF17_RS10440,5068,5530,7007,2052
CHF17_RS10445,20458,20394,18453,10046
CHF17_RS10450,4120,3816,3943,1990
CHF17_RS10455,18401,15245,16919,6088
CHF17_RS10460,7621,7297,8018,5102
CHF17_RS10465,10273,13196,9741,6207
CHF17_RS10470,19553,27516,17621,14883
CHF17_RS10475,10827,18146,9553,9168
CHF17_RS10480,1154,1324,1052,618
CHF17_RS10485,600,679,585,310
CHF17_RS10490,26784,37114,23981,15295
CHF17_RS10495,3218,5494,3398,2637
CHF17_RS10500,10469,11011,11113,5323
CHF17_RS10505,17715,19053,19337,8931
CHF17_RS10510,1021,1134,936,705
CHF17_RS10515,120,152,107,74
CHF17_RS10520,2361,2112,2286,1356
CHF17_RS10525,611,1076,765,402
CHF17_RS10530,3561,6617,3867,3171
CHF17_RS10535,6255,12363,6375,5911
CHF17_RS10540,1255,2301,1424,1035
CHF17_RS10545,13564,34948,14255,14508
CHF17_RS10550,37681,33984,35529,22776
CHF17_RS10555,220,134,152,160
CHF17_RS10560,17677,20141,18609,9806
CHF17_RS10565,31214,32785,27201,17426
CHF17_RS10570,15013,15455,13093,7945
CHF17_RS10575,22552,21555,25248,12756
CHF17_RS10580,11232,11423,11552,8235
CHF17_RS10585,1660,2228,2238,1261
CHF17_RS10590,3215,3333,3703,1563
CHF17_RS10595,4398,4382,4344,1984
CHF17_RS10600,8217,8908,8570,3780
CHF17_RS10605,9946,10181,10805,4867
CHF17_RS10610,91,107,143,72
CHF17_RS10615,8715,11296,16965,9298
CHF17_RS10620,20278,16014,20732,8568
CHF17_RS10625,3295,3261,3311,1686
CHF17_RS10630,48685,51013,40607,23764
CHF17_RS10635,3802,3869,4015,1911
CHF17_RS10640,8779,7355,9116,2864
CHF17_RS10645,32276,32418,32156,15764
CHF17_RS10650,76251,79892,68131,41016
CHF17_RS10655,20270,22641,17498,13291
CHF17_RS10660,22528,13469,23922,3504
CHF17_RS10665,74487,47227,70041,14743
CHF17_RS10670,43600,26517,36136,11966
CHF17_RS10675,4338,2868,3581,1830
CHF17_RS10680,1866,1909,1740,1099
CHF17_RS10685,6778,6527,7588,3687
CHF17_RS10690,13,32,20,12
CHF17_RS10695,279,304,263,195
CHF17_RS10700,779,897,731,515
CHF17_RS10705,354,409,391,273
CHF17_RS10710,112,95,113,81
CHF17_RS10715,56,56,43,34
CHF17_RS10720,12850,16108,12232,8340
CHF17_RS10725,30,39,28,21
CHF17_RS10730,1956,2722,1695,1232
CHF17_RS10735,5474,6884,4975,3217
CHF17_RS10740,216,215,185,100
CHF17_RS10745,50,35,53,26
CHF17_RS10750,40,44,53,21
CHF17_RS10755,118,100,158,35
CHF17_RS10760,152,113,139,51
CHF17_RS10765,3227,5034,3042,3699
CHF17_RS10770,12951,18115,11975,12248
CHF17_RS10775,34978,34993,33940,17736
CHF17_RS10780,9170,12374,9156,6683
CHF17_RS10785,196,169,202,94
CHF17_RS10790,1615,1262,1383,541
CHF17_RS10795,793,1629,830,397
CHF17_RS10800,252,327,221,124
CHF17_RS10805,520,513,536,353
CHF17_RS10810,51,40,43,22
CHF17_RS10815,37,38,35,24
CHF17_RS10820,15,18,16,12
CHF17_RS10825,95,74,88,50
CHF17_RS10830,149,125,162,75
CHF17_RS10835,35,25,35,14
CHF17_RS10840,575,499,519,253
CHF17_RS10845,710,712,656,393
CHF17_RS10850,188,163,202,89
CHF17_RS10855,221,196,239,96
CHF17_RS10860,107,95,143,38
CHF17_RS10865,173,148,230,59
CHF17_RS10870,117,71,118,30
CHF17_RS10875,91,71,113,33
CHF17_RS10880,40,57,42,39
CHF17_RS10885,28,30,27,32
CHF17_RS10890,23,21,24,20
CHF17_RS10895,10,10,20,12
CHF17_RS10900,2043,2941,2033,1148
CHF17_RS10905,4515,6049,4115,2690
CHF17_RS10910,4317,4811,4487,1998
CHF17_RS10915,157780,83460,137345,40995
CHF17_RS10920,3697,3600,4686,1337
CHF17_RS10925,20867,20776,25324,11380
CHF17_RS10930,6183,7020,8170,2711
CHF17_RS10935,29306,36261,31485,17631
CHF17_RS10940,19100,15519,20872,7241
CHF17_RS10945,51370,46029,44202,16617
CHF17_RS10950,56469,50959,59251,15116
CHF17_RS10955,3032,3420,3066,1358
CHF17_RS10960,5782,6244,5060,3099
CHF17_RS10965,15805,8927,12988,4486
CHF17_RS10970,3166,1842,3083,636
CHF17_RS10975,6969,5807,7045,3219
CHF17_RS10980,7408,6134,7950,2587
CHF17_RS10985,17099,15909,16060,6815
CHF17_RS10990,11287,11160,10707,6269
CHF17_RS10995,12316,13689,11641,6777
CHF17_RS11000,7269,8068,7452,4550
CHF17_RS11005,1003,1009,1170,624
CHF17_RS11010,9453,10626,9850,6215
CHF17_RS11015,16243,8297,15053,4758
CHF17_RS11020,3382,1529,3901,943
CHF17_RS11025,97266,129032,79667,70308
CHF17_RS11030,4442,4685,4266,2939
CHF17_RS11035,4304,4442,4094,3343
CHF17_RS11040,358,468,378,311
CHF17_RS11045,673,1008,819,359
CHF17_RS11050,130,171,197,68
CHF17_RS11055,569,710,638,300
CHF17_RS11060,382,580,529,287
CHF17_RS11065,431,532,530,255
CHF17_RS11070,20682,25721,18548,16218
CHF17_RS11075,1463,1248,1245,775
CHF17_RS11080,7866,5618,7255,2979
CHF17_RS11085,59467,56987,53239,27149
CHF17_RS11090,16669,13585,16122,6408
CHF17_RS11095,140,96,131,61
CHF17_RS11100,49,60,41,15
CHF17_RS11105,256,437,218,127
CHF17_RS11110,3362,5331,3186,2012
CHF17_RS11115,16986,18991,19377,10412
CHF17_RS11120,5088,5391,4947,2790
