,copY_Ctrl1,copY_Ctrl2,copY_Ctrl3,copY_Ctrl4
CHF17_RS02210,1436,1459,1608,938
CHF17_RS02215,5141,5627,4993,3327
CHF17_RS02220,2707,2927,2761,1262
CHF17_RS02225,24306,24584,21664,11753
CHF17_RS02230,11591,11702,9393,6060
CHF17_RS02235,2619,2240,2528,1321
CHF17_RS02240,2780,2476,2982,1181
CHF17_RS02245,4976,4235,5940,1978
CHF17_RS02250,39,27,58,14
CHF17_RS02255,61,30,72,10
CHF17_RS02260,449,391,480,202
CHF17_RS02265,902,792,1135,449
CHF17_RS02270,652,491,637,192
CHF17_RS02275,1294,882,1198,403
CHF17_RS02280,117692,124424,96757,74903
CHF17_RS02285,2998,2299,2546,1374
CHF17_RS02290,169,100,157,56
CHF17_RS02295,20,13,21,4
CHF17_RS02300,15,7,22,2
CHF17_RS02305,6005,7872,6007,2921
CHF17_RS02310,5268,2066,5958,8047
CHF17_RS02315,6,2,4,79
CHF17_RS02320,1494,342,739,9376
CHF17_RS02325,6,2,3,157
CHF17_RS02330,2,4,4,3
CHF17_RS02335,7320,7590,6349,3503
CHF17_RS02340,3427,3535,3533,1825
CHF17_RS02345,134236,146626,147513,75338
CHF17_RS02350,57934,57884,83048,28955
CHF17_RS02355,211642,245742,240257,143131
CHF17_RS02360,38383,40740,49874,23730
CHF17_RS02365,58240,74866,99238,64941
CHF17_RS02370,65514,87895,111940,81875
CHF17_RS02375,42056,62656,78940,57819
CHF17_RS02380,79046,115941,156946,97632
CHF17_RS02385,42802,62722,78567,54659
CHF17_RS02390,19322,25454,38472,23314
CHF17_RS02395,93700,117199,156279,100001
CHF17_RS02400,108357,119551,156866,86362
CHF17_RS02405,87971,96086,119323,66137
CHF17_RS02410,6113,5365,7473,3062
CHF17_RS02415,27433,34291,23392,19277
CHF17_RS02420,4734,4691,4790,1953
CHF17_RS02425,7807,9112,9002,5046
CHF17_RS02430,104067,126235,114133,75997
CHF17_RS02435,81113,98570,86794,61259
CHF17_RS02440,87078,113087,95025,70930
CHF17_RS02445,3074,3276,3477,2346
CHF17_RS02450,8225,8719,7549,5778
CHF17_RS02455,3017,3091,2868,2415
CHF17_RS02460,2462,2947,2678,2059
CHF17_RS02465,6565,6029,5017,5301
CHF17_RS02470,2622,2303,2394,1433
CHF17_RS02475,8267,7885,7434,4002
CHF17_RS02480,26002,24298,23465,11080
CHF17_RS02485,3117,3438,3245,1507
CHF17_RS02490,2998,3696,3035,1566
CHF17_RS02495,13645,10290,15582,8521
CHF17_RS02500,2345,1587,2419,1757
CHF17_RS02505,1983,2612,2185,1115
CHF17_RS02510,3489,3841,4087,1467
CHF17_RS02515,16711,15644,16041,7581
CHF17_RS02520,16177,15233,15594,7894
CHF17_RS02525,1131,950,1354,432
CHF17_RS02530,4297,4097,5530,1888
CHF17_RS02535,18280,15634,21088,9290
CHF17_RS02540,3725,2999,5355,1762
CHF17_RS02545,3482,2907,4812,1955
CHF17_RS02550,47603,38352,58010,21902
CHF17_RS02555,9777,8272,12025,3326
CHF17_RS02560,3964,3523,4277,2763
CHF17_RS02565,3694,3133,4764,1058
CHF17_RS02570,635626,674342,608994,310841
CHF17_RS02575,36426,30818,40087,15005
CHF17_RS02580,11436,9513,15978,2998
CHF17_RS02585,23231,21219,27179,11176
CHF17_RS02590,26879,29984,25600,13746
CHF17_RS02595,6365,6604,6636,2752
CHF17_RS02600,14086,14677,14255,8483
CHF17_RS02605,253,149,212,96
CHF17_RS02610,4788,5143,3932,2917
CHF17_RS02615,8945,9608,8608,5563
CHF17_RS02620,4519,4754,4562,3600
CHF17_RS02625,11950,11259,10781,6558
CHF17_RS02630,1281,1160,1275,728
CHF17_RS02635,4402,3906,3941,2606
CHF17_RS02640,4662,7015,4082,3855
CHF17_RS02645,2008,2754,2472,923
CHF17_RS02650,181,199,282,31
CHF17_RS02655,119952,114079,102124,67638
CHF17_RS02660,1145,1804,1459,754
CHF17_RS02665,1639,2014,1741,893
CHF17_RS02670,20041,6496,19481,2338
CHF17_RS02675,15690,15367,16924,9071
CHF17_RS02680,11219,10814,13050,7480
CHF17_RS02685,2551,2639,2393,1317
CHF17_RS02690,20928,21874,18862,11362
CHF17_RS02695,31766,33340,30637,15436
CHF17_RS02700,5268,2066,5956,8047
CHF17_RS02705,6,2,4,79
CHF17_RS02710,1487,342,737,9237
CHF17_RS02715,7,2,3,157
CHF17_RS02720,95,38,85,15
CHF17_RS02725,211,92,195,40
CHF17_RS02730,321,167,290,70
CHF17_RS02735,499,289,422,117
CHF17_RS02740,312,213,255,84
CHF17_RS02745,225,142,165,60
CHF17_RS02750,103,81,85,31
CHF17_RS02755,9149,9664,7878,4450
CHF17_RS02760,3083,3533,2999,1883
CHF17_RS02765,6066,6609,5669,2890
CHF17_RS02770,1042,1185,1057,758
CHF17_RS02775,2530,3344,2311,2131
CHF17_RS02780,4471,3546,8855,3489
CHF17_RS02785,5275,5507,5570,3655
CHF17_RS02790,713,708,780,591
CHF17_RS02795,254,260,282,172
CHF17_RS02800,1579,1648,1873,1054
CHF17_RS02805,3818,3650,4484,2073
CHF17_RS02810,740,726,771,452
CHF17_RS02815,1305,1352,1381,732
CHF17_RS02820,363,406,456,165
CHF17_RS02825,272,231,330,96
CHF17_RS02830,353,326,377,159
CHF17_RS02835,397,372,456,164
CHF17_RS02840,424,513,434,207
CHF17_RS02845,1335,1653,1221,841
CHF17_RS02850,781,867,850,423
CHF17_RS02855,7062,7696,6202,4242
CHF17_RS02860,3204,3103,3203,1271
CHF17_RS02865,5782,5507,5423,2967
CHF17_RS02870,447138,319204,373282,237085
CHF17_RS02875,59,24,72,22
CHF17_RS02880,792,831,756,542
CHF17_RS02885,1485,1512,1372,928
CHF17_RS02890,3154,2857,3632,1288
CHF17_RS02895,104,50,137,13
CHF17_RS02900,654,633,747,274
CHF17_RS02905,918,724,992,368
CHF17_RS02910,35036,30295,32563,16018
CHF17_RS02915,393,452,485,195
CHF17_RS02920,3318,3311,3297,2482
CHF17_RS02925,4388,4684,4193,3872
CHF17_RS02930,6228,7753,8670,5647
CHF17_RS02935,25413,26330,30123,18323
CHF17_RS02940,2704,3033,2752,2173
CHF17_RS02945,38,29,64,12
CHF17_RS02950,506,561,527,311
CHF17_RS02955,2624,3013,2544,1685
CHF17_RS02960,2488,2740,2076,1692
CHF17_RS02965,1118,1293,1118,728
CHF17_RS02970,12514,16542,10419,8887
CHF17_RS02975,1789,2156,1576,1294
CHF17_RS02980,4258,4912,3781,2578
CHF17_RS02985,2350,2529,2072,1394
CHF17_RS02990,3223,3378,3889,1088
CHF17_RS02995,8989,8721,9245,3571
CHF17_RS03000,944,1015,1005,469
CHF17_RS03005,4217,3729,4353,2004
CHF17_RS03010,14452,13151,12692,6782
CHF17_RS03015,5848,5257,5633,2823
CHF17_RS03020,4432,3296,4575,1451
CHF17_RS03025,5441,3555,5236,1500
CHF17_RS03030,2172,1904,2182,1535
CHF17_RS03035,590,505,516,369
CHF17_RS03040,478,349,441,173
CHF17_RS03045,39,28,63,14
CHF17_RS03050,156,146,231,81
CHF17_RS03055,379,283,365,140
CHF17_RS03060,1630,2885,1361,1171
CHF17_RS03065,561,807,457,488
CHF17_RS03070,487,400,709,160
CHF17_RS03075,13567,12783,12831,7496
CHF17_RS03080,8019,7513,7999,4591
CHF17_RS03085,155439,127110,132118,76330
CHF17_RS03090,26209,19822,24468,11020
CHF17_RS03095,9935,9341,9969,4499
CHF17_RS03100,9089,9037,9888,4160
CHF17_RS03105,11522,11190,13420,4864
CHF17_RS03110,40058,38750,46451,20727
CHF17_RS03115,46475,52463,61931,25327
CHF17_RS03120,33769,37491,44644,17004
CHF17_RS03125,24342,28232,37011,12106
CHF17_RS03130,10289,11784,14710,4782
CHF17_RS03135,40358,47582,52750,22104
CHF17_RS03140,43436,49128,51603,25275
CHF17_RS03145,84238,91676,79856,47874
CHF17_RS03150,6756,9162,6264,5236
CHF17_RS03155,2253,2839,1751,1882
CHF17_RS03160,17688,27691,15562,11710
CHF17_RS03165,2305,2941,3240,1547
CHF17_RS03170,1130,1304,1137,1125
CHF17_RS03175,1652,2069,1524,1657
CHF17_RS03180,9368,9356,8993,5725
CHF17_RS03185,5726,7129,5026,4170
CHF17_RS03190,6820,8460,5873,4695
CHF17_RS03195,9924,11981,10126,5155
CHF17_RS03200,1384,1477,1592,516
CHF17_RS03205,4337,4801,5597,2103
CHF17_RS03210,3799,4311,5708,2158
CHF17_RS03215,2534,3226,3995,1806
CHF17_RS03220,9989,10715,15266,6190
CHF17_RS03225,15843,16117,16292,8416
CHF17_RS03230,11774,10453,11588,4724
CHF17_RS03235,6744,5658,7065,2260
CHF17_RS03240,24741,26153,26718,14521
CHF17_RS03245,494,651,554,1043
CHF17_RS03250,34797,98170,27586,98533
CHF17_RS03255,16730,16918,16568,9402
CHF17_RS03260,14726,16098,15504,8580
CHF17_RS03265,15255,19894,15995,10189
CHF17_RS03270,9371,12661,9280,6614
CHF17_RS03275,4124,5232,4200,2198
CHF17_RS03280,1356,1478,1664,572
CHF17_RS03285,97276,92648,82801,33633
CHF17_RS03290,3256,2837,3374,1753
CHF17_RS03295,658,596,798,450
CHF17_RS03300,1866,2338,1894,1593
CHF17_RS03305,15785,15058,16091,8305
CHF17_RS03310,11840,11720,12257,6210
CHF17_RS03315,26400,25910,26630,13842
CHF17_RS03320,2977,2834,3004,1798
CHF17_RS03325,5121,5928,4799,3984
CHF17_RS03330,4547,5229,4295,3366
CHF17_RS03335,3908,6644,3467,5152
CHF17_RS03340,9064,10285,9387,5155
CHF17_RS03345,21047,20214,21153,10150
CHF17_RS03350,40220,35235,38621,16221
CHF17_RS03355,14293,10424,12701,4079
CHF17_RS03360,26977,18932,22746,7190
CHF17_RS03365,1600,1790,1649,1231
CHF17_RS03370,3953,5438,4591,3639
