,Co1,Co2,Co3,Fe1,Fe2,Fe3,nor1,nor2,nor3
SSUSC84_RS06195,696,987,856,659,674,670,703,645,514
SSUSC84_RS04745,392,506,412,291,274,320,462,437,408
SSUSC84_RS03905,328,423,389,632,514,510,447,547,490
SSUSC84_RS04480,857,1127,1010,661,707,663,1317,1039,992
SSUSC84_RS05660,0,0,0,0,0,0,0,0,0
SSUSC84_RS06645,0,0,4,4,5,3,2,0,0
SSUSC84_RS07485,6,12,5,7,14,4,14,8,3
SSUSC84_RS06335,128,259,128,70,66,54,295,362,251
SSUSC84_RS00505,1085,1737,2660,6191,7184,6440,774,802,714
SSUSC84_RS05225,2078,2957,2634,2121,2183,2188,2515,2937,2458
SSUSC84_RS06705,0,0,0,0,0,0,0,0,0
SSUSC84_RS09420,22,51,20,40,38,29,36,43,22
SSUSC84_RS06830,1039,1629,1386,1217,1280,1168,1860,1543,1235
SSUSC84_RS07990,111,126,123,214,188,169,80,68,74
SSUSC84_RS01500,384,639,479,489,484,460,471,517,391
SSUSC84_RS07805,465,591,505,449,421,417,622,673,541
SSUSC84_RS01720,0,0,0,0,0,0,0,0,0
SSUSC84_RS09620,308,409,302,307,297,209,304,357,275
SSUSC84_RS05705,83,92,114,104,128,114,78,71,68
SSUSC84_RS00760,17974,25426,23057,33697,36350,33092,16784,16384,14294
SSUSC84_RS01030,491,759,489,793,789,595,689,691,516
SSUSC84_RS07185,107,126,109,143,159,118,163,117,114
SSUSC84_RS03760,1715,2381,1821,1331,1501,1337,2248,1924,1666
SSUSC84_RS07290,298,396,318,222,258,214,542,467,388
SSUSC84_RS09255,753,1131,1280,1111,1221,1321,828,960,888
SSUSC84_RS06085,1091,1301,1173,1536,1521,1321,1022,897,769
SSUSC84_RS03875,0,3,1,0,2,3,3,2,1
SSUSC84_RS01035,31,41,64,43,69,32,45,49,41
SSUSC84_RS09375,9,6,5,3,7,3,2,7,3
SSUSC84_RS01385,1276,1939,1506,879,1023,934,2216,2258,1718
SSUSC84_RS02835,15258,25892,23322,13908,16804,16004,22250,22471,21275
SSUSC84_RS06180,1813,2586,2133,1071,1184,1116,2480,1958,1746
SSUSC84_RS02040,3262,4233,3334,5633,5318,4769,3124,2698,2117
SSUSC84_RS04310,398,448,500,564,599,495,495,537,377
SSUSC84_RS00070,811,1062,847,1501,1451,1237,931,876,685
SSUSC84_RS10055,120,213,154,150,151,151,258,255,207
SSUSC84_RS10515,0,0,0,0,0,0,0,0,0
SSUSC84_RS02060,1370,1976,1717,934,1103,1039,2063,1638,1427
SSUSC84_RS10535,5,2,7,4,9,1,3,5,6
SSUSC84_RS05910,743,1075,904,717,819,780,1008,1029,765
SSUSC84_RS04935,156,202,169,87,111,112,358,420,287
SSUSC84_RS08720,2276,3410,3008,2206,2409,2027,2553,1639,1395
SSUSC84_RS04290,142,272,166,172,216,163,264,200,145
SSUSC84_RS06545,437,567,558,849,975,752,230,221,124
SSUSC84_RS04550,64,81,91,106,98,103,90,71,65
SSUSC84_RS08125,4132,5778,4725,3188,3458,3228,6841,6810,5891
SSUSC84_RS04850,869,1124,1581,2063,3157,2713,929,1087,881
SSUSC84_RS10475,186,295,329,484,447,475,334,272,273
SSUSC84_RS07125,0,0,1,2,0,2,0,0,0
SSUSC84_RS08985,1,2,4,3,3,3,0,5,2
SSUSC84_RS00215,1344,2025,1885,1213,1489,1374,1401,674,578
SSUSC84_RS02665,4598,6583,5421,2974,3279,3111,9233,7805,6847
SSUSC84_RS03735,4395,5005,4945,11290,10573,9299,3370,3069,2392
SSUSC84_RS10455,6,12,12,5,5,2,3,7,2
SSUSC84_RS07355,24,30,44,18,24,31,42,46,40
SSUSC84_RS05110,266,466,469,264,314,327,477,390,397
SSUSC84_RS02880,16,13,17,7,11,8,23,28,26
SSUSC84_RS06050,1187,1634,1713,1716,1718,1710,1161,947,937
SSUSC84_RS06975,25,33,39,22,36,33,34,19,14
SSUSC84_RS00910,27801,36902,24055,18854,18138,15705,42364,45807,31951
SSUSC84_RS09865,44,72,60,131,146,152,35,43,36
SSUSC84_RS02825,644,1104,1202,655,777,732,1010,886,894
SSUSC84_RS06245,141,280,217,149,188,144,281,225,205
SSUSC84_RS04140,178,328,277,297,282,254,253,243,222
SSUSC84_RS02445,919,1558,1392,1010,1127,1002,1223,949,783
SSUSC84_RS01705,0,0,0,0,0,0,0,0,0
SSUSC84_RS04055,781,1061,957,891,998,850,722,657,604
SSUSC84_RS04225,426,607,525,390,431,383,710,629,497
SSUSC84_RS02320,861,1176,1110,1433,1404,1491,577,671,533
SSUSC84_RS07915,495,635,538,488,518,411,569,401,297
SSUSC84_RS09790,10106,13946,13061,24346,29486,26688,13403,10908,10792
SSUSC84_RS09160,1141,1544,1445,1167,1155,1030,1766,1398,1266
SSUSC84_RS03645,1065,1365,1488,1846,1795,1788,849,734,662
SSUSC84_RS04145,7,9,5,28,13,15,10,2,6
SSUSC84_RS10280,34,57,63,60,73,58,71,64,63
SSUSC84_RS03685,15,17,21,20,6,8,16,14,22
SSUSC84_RS09310,591,674,720,1533,1379,1196,360,314,280
SSUSC84_RS10655,0,0,0,2,0,0,0,0,0
SSUSC84_RS04500,0,0,0,1,0,0,0,0,0
SSUSC84_RS10130,495,725,739,529,631,560,621,528,422
SSUSC84_RS01275,416,851,691,264,348,334,1053,1034,987
SSUSC84_RS08495,8615,12225,13113,13096,18968,14179,8466,4738,3782
SSUSC84_RS03305,759,1307,1312,743,1010,893,1061,1049,1096
SSUSC84_RS03575,22,15,9,34,21,37,13,15,3
SSUSC84_RS10560,39,46,41,31,49,32,33,38,36
SSUSC84_RS06850,951,1539,1356,826,1099,1070,1974,1776,1492
SSUSC84_RS01135,30,39,38,33,55,33,20,25,13
SSUSC84_RS06160,1793,2295,2071,1778,1639,1585,2247,1988,1712
SSUSC84_RS00355,0,0,0,0,1,0,0,0,0
SSUSC84_RS08670,103,173,227,307,363,265,95,86,80
SSUSC84_RS07175,1,0,2,3,0,1,0,2,1
SSUSC84_RS09570,1100,1653,1348,713,812,698,1338,781,745
SSUSC84_RS04470,0,0,0,0,0,0,0,0,1
SSUSC84_RS03910,413,570,460,434,474,371,498,394,338
SSUSC84_RS09645,23,19,33,62,93,56,27,14,27
SSUSC84_RS02670,7597,10089,8414,8815,8691,7117,7178,6091,5343
SSUSC84_RS04580,29,76,53,63,47,52,55,31,26
SSUSC84_RS04160,30,44,44,59,42,36,38,41,29
SSUSC84_RS02330,448,696,702,438,538,477,374,338,319
SSUSC84_RS06175,763,1172,943,483,473,495,976,859,824
SSUSC84_RS10060,388,507,487,457,546,388,663,561,494
SSUSC84_RS10435,0,2,0,0,0,0,2,1,0
SSUSC84_RS00735,0,1,1,0,1,0,2,1,0
SSUSC84_RS02175,0,0,0,0,0,0,0,0,0
SSUSC84_RS06375,1506,2107,1869,1526,1607,1393,1760,1600,1255
SSUSC84_RS05270,789,1118,950,684,647,595,1062,850,769
SSUSC84_RS10330,2,1,5,6,3,5,6,2,1
SSUSC84_RS07285,3091,4580,3243,5164,5455,4480,1926,2619,1411
SSUSC84_RS06875,6482,9022,6855,4845,5320,4961,8757,6897,5317
SSUSC84_RS09465,2114,2990,2618,2132,2318,2232,2928,2717,2061
SSUSC84_RS09455,612,947,825,541,590,514,1028,751,636
SSUSC84_RS01115,105,178,162,62,89,102,251,306,207
SSUSC84_RS04865,884,1384,1194,1567,1868,1773,1373,1240,1107
SSUSC84_RS02735,1010,1453,1354,1014,1222,1149,1272,1144,958
SSUSC84_RS09800,177,194,172,163,169,153,187,217,172
SSUSC84_RS10220,346,467,428,490,472,329,367,315,234
SSUSC84_RS00775,80,134,82,110,133,91,94,95,80
SSUSC84_RS05410,7341,10416,9162,6169,6988,6111,8885,8721,7858
SSUSC84_RS03515,0,2,8,1,8,12,5,2,3
SSUSC84_RS07860,2152,2782,1725,1760,1934,1352,3188,2681,1832
SSUSC84_RS06775,1186,1538,1476,947,1119,1077,1323,980,944
SSUSC84_RS09520,2873,3859,3390,3357,3637,3328,2984,2681,2064
SSUSC84_RS01250,5133,6156,4081,1380,1405,1278,11905,11773,7682
SSUSC84_RS01605,785,1088,938,736,698,651,546,587,461
SSUSC84_RS10295,0,0,0,0,0,0,0,0,0
SSUSC84_RS04930,277,416,332,214,233,239,491,438,377
SSUSC84_RS00865,75,140,143,165,172,151,120,109,84
SSUSC84_RS01375,910,1143,1112,2070,2089,1623,768,587,537
SSUSC84_RS09355,2377,3504,2395,1157,1247,1173,4370,3683,3336
SSUSC84_RS04775,655,858,841,1055,1144,1076,607,484,406
SSUSC84_RS02410,6019,8884,7723,5656,6431,6234,7413,7331,6264
SSUSC84_RS01880,397,592,706,545,675,674,497,423,451
SSUSC84_RS06965,555,941,836,517,683,567,752,536,436
SSUSC84_RS08735,13005,19195,15582,16793,19651,15745,16206,14871,12026
SSUSC84_RS02010,1625,2346,1699,1137,1166,919,2090,2544,1548
SSUSC84_RS03710,38,51,51,30,48,44,90,90,41
SSUSC84_RS02990,16,32,33,19,25,40,27,21,31
SSUSC84_RS07840,522,845,721,937,891,767,728,655,491
SSUSC84_RS10305,4,2,0,0,2,1,0,0,3
SSUSC84_RS03000,1165,1900,1702,849,1017,945,1746,1187,1074
SSUSC84_RS00410,3762,5802,4977,3570,4598,4037,8451,9142,6321
SSUSC84_RS00820,3719,4950,3537,3525,3294,2861,6037,5791,4293
SSUSC84_RS09775,3733,4665,4746,11448,13520,13032,4788,3152,3828
SSUSC84_RS05895,142,220,139,190,213,151,112,126,56
SSUSC84_RS10255,1404,2027,1970,1747,2013,1986,2197,2074,2020
SSUSC84_RS04695,0,1,1,0,0,0,0,0,0
SSUSC84_RS04595,124,163,223,183,209,188,150,129,139
SSUSC84_RS08520,353,486,499,366,512,467,384,375,360
SSUSC84_RS00300,7,6,4,6,10,8,8,7,6
SSUSC84_RS08005,871,1257,1122,836,975,921,1306,1113,926
SSUSC84_RS07725,1082,1314,961,1830,1502,1209,995,841,587
SSUSC84_RS03780,224,313,320,718,420,462,301,194,148
SSUSC84_RS02960,857,1133,927,972,981,803,1309,918,777
SSUSC84_RS08015,690,1012,927,584,664,604,990,822,778
SSUSC84_RS09885,5,6,9,14,19,6,6,8,2
SSUSC84_RS02140,0,0,0,0,0,0,0,0,0
SSUSC84_RS02480,203,258,136,291,202,122,292,268,172
SSUSC84_RS05445,339,511,307,107,99,85,775,918,514
SSUSC84_RS01670,81,113,123,233,301,217,61,41,49
SSUSC84_RS01530,2277,3874,4414,2908,3819,4309,2795,3128,2905
SSUSC84_RS06930,2282,2962,2573,1604,1778,1619,2881,2626,2145
SSUSC84_RS07635,1660,2447,2330,2194,2649,2404,1631,1821,1444
SSUSC84_RS08640,3797,5536,4042,739,710,595,8051,7910,6112
SSUSC84_RS07825,338,535,315,676,568,403,491,555,402
SSUSC84_RS05630,516,862,790,475,638,536,883,420,367
SSUSC84_RS01840,592,887,768,526,611,569,891,766,709
SSUSC84_RS05600,488,748,726,526,591,579,680,635,612
SSUSC84_RS10580,10,11,12,17,12,9,11,9,13
SSUSC84_RS08105,1114,1694,1428,1072,1181,949,1202,1168,943
SSUSC84_RS05375,211,275,231,174,175,170,355,328,276
SSUSC84_RS07745,172,217,164,234,266,208,117,152,106
SSUSC84_RS07090,8023,11012,9533,9935,10201,9344,9861,10588,8337
SSUSC84_RS06825,410,668,599,582,614,578,607,503,416
SSUSC84_RS10635,0,0,0,0,0,0,0,0,0
SSUSC84_RS10555,124703,166240,164430,123727,139937,121204,164977,213936,154334
SSUSC84_RS08855,1465,2457,2068,2548,3236,2751,1201,1326,1017
SSUSC84_RS07050,38,97,79,79,86,77,70,57,63
SSUSC84_RS07300,5998,7611,5659,4332,4211,3728,7511,8111,5831
SSUSC84_RS01270,250,542,459,200,255,255,652,520,518
SSUSC84_RS06845,176,268,262,223,177,187,373,333,322
SSUSC84_RS05565,937,1154,1324,1825,1836,1852,435,492,471
SSUSC84_RS04010,723,981,826,750,673,695,934,959,689
SSUSC84_RS03250,34,57,55,65,122,94,87,94,85
SSUSC84_RS00050,145,202,229,210,210,225,132,125,112
SSUSC84_RS03810,967,1364,1404,4247,4423,3011,700,655,470
SSUSC84_RS08130,485,705,590,381,361,366,732,706,743
SSUSC84_RS03065,880,1228,887,767,803,721,1705,1504,1286
SSUSC84_RS03690,153,194,169,196,140,127,164,106,149
SSUSC84_RS04115,63,79,86,109,110,97,113,65,77
SSUSC84_RS06650,332,530,414,237,260,324,507,475,358
SSUSC84_RS01560,58,105,69,66,81,66,19,36,44
SSUSC84_RS08775,158,284,218,173,202,168,372,386,264
SSUSC84_RS01075,4720,7777,6409,8341,9286,7806,6744,6717,4913
SSUSC84_RS08275,1018,1203,1237,1416,1566,1395,637,610,420
SSUSC84_RS00085,0,0,0,0,0,0,0,0,0
SSUSC84_RS02460,2,2,3,2,0,0,1,1,2
SSUSC84_RS01415,174,230,251,585,537,452,149,101,80
SSUSC84_RS06115,1879,2756,2414,1956,2273,2013,2475,2182,1879
SSUSC84_RS05870,2497,3516,3200,2037,2304,2201,4462,3693,3313
SSUSC84_RS01150,9,23,17,25,17,25,17,21,21
SSUSC84_RS04870,71,131,87,118,142,96,78,131,79
SSUSC84_RS07190,495,551,480,433,564,428,726,633,530
SSUSC84_RS00805,1,0,2,0,0,1,1,0,0
SSUSC84_RS02350,776,1336,1187,881,1024,881,811,886,746
SSUSC84_RS01510,140,217,194,162,210,220,184,149,97
SSUSC84_RS02650,733,1086,811,330,382,356,1965,2020,1641
SSUSC84_RS00110,0,0,0,0,0,0,0,0,0
SSUSC84_RS01790,5129,6925,6520,5289,6136,5724,5507,5579,4794
SSUSC84_RS02855,18887,30536,31367,18756,22097,20753,26484,23378,23862
SSUSC84_RS05450,10,18,19,34,33,25,20,15,14
SSUSC84_RS08180,2902,4191,3228,2039,2127,2061,4556,4357,3404
SSUSC84_RS03170,10,11,8,5,6,3,3,6,5
SSUSC84_RS03235,997,1576,1130,736,987,847,836,1045,757
SSUSC84_RS01905,48,89,63,60,69,64,71,58,61
SSUSC84_RS06340,77,157,108,44,50,35,204,206,147
SSUSC84_RS05160,1215,1925,1449,1000,1065,833,2569,1803,1773
SSUSC84_RS03920,166,236,178,364,446,374,99,94,59
SSUSC84_RS02795,10705,17401,16496,11573,13566,12692,13396,11172,10081
SSUSC84_RS01470,146,185,169,149,153,182,191,172,154
SSUSC84_RS06765,1286,1684,1658,1151,1226,1109,1436,1152,1050
SSUSC84_RS00545,11097,17709,21921,52715,62873,60251,11275,11649,9974
SSUSC84_RS09860,99,182,182,341,388,326,140,113,112
SSUSC84_RS08805,2357,3049,2423,2346,2346,2133,3651,3368,2630
SSUSC84_RS08065,1355,1877,1588,1562,1749,1473,1223,1153,832
SSUSC84_RS00290,2,2,4,0,3,2,1,3,3
SSUSC84_RS09540,1832,2402,2093,1990,2221,1946,2044,1366,1047
SSUSC84_RS05885,16,11,19,37,38,28,18,11,13
SSUSC84_RS07970,836,1347,1151,333,393,331,2062,2234,2070
SSUSC84_RS05090,222,329,241,179,198,166,465,412,335
SSUSC84_RS09675,0,1,2,3,2,2,2,2,0
SSUSC84_RS06000,3328,3872,4669,15099,14753,11769,1797,1762,1452
SSUSC84_RS01200,1081,1538,1211,857,971,827,2046,1854,1473
SSUSC84_RS06270,1579,1944,1938,3017,3070,2583,1110,856,723
SSUSC84_RS04420,507,603,719,988,1043,1030,429,361,325
SSUSC84_RS04705,0,1,0,2,2,0,1,0,0
SSUSC84_RS03860,823,1234,1051,844,1042,924,981,937,921
SSUSC84_RS02580,55,61,50,119,93,66,36,31,40
SSUSC84_RS02615,8662,11962,8393,7263,7183,6892,11998,13724,11045
SSUSC84_RS02765,12139,18324,14650,11800,13557,11401,15674,15223,12884
SSUSC84_RS01835,3096,4420,3523,2354,2551,2467,4736,4629,3997
SSUSC84_RS05650,502,755,607,746,747,712,696,693,576
SSUSC84_RS05740,24,41,32,17,30,16,67,31,64
SSUSC84_RS02295,671,978,871,655,755,695,955,831,626
SSUSC84_RS06985,145,254,211,241,297,238,151,175,129
SSUSC84_RS08345,137,178,136,209,239,193,119,112,114
SSUSC84_RS01485,959,1515,1275,653,703,611,1569,1126,1043
SSUSC84_RS09175,346,448,567,651,801,600,717,640,665
SSUSC84_RS05155,16453,23232,17976,8852,8686,7669,30710,29687,27849
SSUSC84_RS01330,161,261,195,122,114,98,351,290,253
SSUSC84_RS04175,4455,4757,3987,3064,3113,2391,3831,3351,2670
SSUSC84_RS09130,88,195,172,417,561,483,87,92,83
SSUSC84_RS03540,10,21,16,11,20,7,14,4,4
SSUSC84_RS02920,162,179,206,328,308,286,161,133,127
SSUSC84_RS02660,251,378,327,167,231,173,668,747,537
SSUSC84_RS09290,6287,8579,8509,29475,28797,26024,3709,4010,3167
SSUSC84_RS06590,2984,3995,3208,2279,2603,2535,5516,5518,4103
SSUSC84_RS05495,8,31,40,11,29,42,29,34,24
SSUSC84_RS01590,164,250,238,196,218,228,120,99,92
SSUSC84_RS05275,1214,1537,1207,893,851,753,1541,1319,1092
SSUSC84_RS00980,160,235,199,205,240,213,123,98,73
SSUSC84_RS06585,668,972,865,735,871,845,841,749,716
SSUSC84_RS01825,3,1,5,3,9,8,4,3,1
SSUSC84_RS09360,704,1079,801,300,365,340,1340,1181,1069
SSUSC84_RS02315,6083,8193,7545,8501,9348,7961,3905,4445,3130
SSUSC84_RS10150,77,98,103,93,99,106,93,61,58
SSUSC84_RS01495,896,1120,1168,954,1044,933,1093,1123,1056
SSUSC84_RS00525,2973,4201,5731,13505,15855,15973,2518,2721,2130
SSUSC84_RS01130,391,519,371,365,333,276,914,631,582
SSUSC84_RS05265,998,1410,1135,1162,1125,1039,1462,1589,1330
SSUSC84_RS06745,1077,1497,898,314,303,206,875,1197,733
SSUSC84_RS04015,77,123,81,140,125,132,113,77,68
SSUSC84_RS01950,16,18,22,19,23,17,16,26,13
SSUSC84_RS00225,29,36,19,7,10,6,44,30,20
SSUSC84_RS04590,97,151,155,162,153,167,116,93,73
SSUSC84_RS02850,6151,11083,10503,6213,7443,6840,8539,6577,7060
SSUSC84_RS04970,34,51,42,23,38,22,57,44,38
SSUSC84_RS02680,5161,7961,8410,8123,10479,9654,6254,6045,5075
SSUSC84_RS03580,1482,2083,1885,1502,1721,1547,1717,1663,1313
SSUSC84_RS10000,87,118,70,96,119,82,138,101,91
SSUSC84_RS10485,29,28,38,61,69,59,26,21,22
SSUSC84_RS07260,234,375,284,214,290,259,425,335,292
SSUSC84_RS06570,0,1,0,1,5,4,3,1,0
SSUSC84_RS07980,498,652,455,531,578,462,573,569,418
SSUSC84_RS09365,1121,1647,1209,507,576,541,2553,2467,2153
SSUSC84_RS04475,0,0,0,0,0,0,1,0,0
SSUSC84_RS01255,4902,7291,5257,1403,1754,1657,10853,8401,6916
SSUSC84_RS02915,0,0,0,0,0,0,0,1,0
SSUSC84_RS07850,8628,11913,11137,10290,11914,11230,9257,9321,7383
SSUSC84_RS04620,33,29,61,37,57,25,35,35,35
SSUSC84_RS05835,0,0,0,0,0,0,1,0,0
SSUSC84_RS02790,10011,15173,15870,10635,12527,11276,13027,10743,10046
SSUSC84_RS04395,0,0,0,0,4,2,1,0,0
SSUSC84_RS03950,1737,2572,1950,1579,1748,1605,2316,1990,1615
SSUSC84_RS08560,1475,2054,1631,1138,1283,1164,2355,2299,1849
SSUSC84_RS01740,433,639,562,417,453,403,699,595,455
SSUSC84_RS04895,21,35,25,13,13,4,36,29,37
SSUSC84_RS08790,8552,13118,9525,2187,2381,2387,8317,9129,7150
SSUSC84_RS10045,1106,1635,1410,1409,1655,1451,1113,1128,1082
SSUSC84_RS04365,7,19,10,15,17,20,12,10,14
SSUSC84_RS00440,3731,4935,6217,16304,15256,14551,1455,1677,1368
SSUSC84_RS06095,1201,1507,1584,2006,1956,1740,1064,836,843
SSUSC84_RS08660,544,876,973,1677,2048,1843,561,619,550
SSUSC84_RS09995,1481,2428,2218,2165,2505,2635,1664,1944,1465
SSUSC84_RS07545,2246,3275,2512,1222,1266,1221,4747,4771,3802
SSUSC84_RS04940,41,54,27,101,61,58,76,54,74
SSUSC84_RS06575,529,851,795,674,781,625,703,349,393
SSUSC84_RS06620,4581,6816,7468,6644,7233,6678,5647,4725,5201
SSUSC84_RS04100,20,25,18,20,13,10,49,41,38
SSUSC84_RS05560,8311,11499,13872,16319,18831,18805,4873,5028,4688
SSUSC84_RS06925,3693,4701,3668,2505,2582,2402,5357,4842,3947
SSUSC84_RS10160,244,336,308,313,360,296,375,319,234
SSUSC84_RS10590,21,31,38,80,65,70,7,10,10
SSUSC84_RS00295,3,5,1,0,3,1,0,3,0
SSUSC84_RS02365,1230,1649,1635,1693,1780,1586,1429,1090,1004
SSUSC84_RS03570,630,994,828,649,706,643,1284,1109,930
SSUSC84_RS01370,208,264,321,316,434,373,141,116,134
SSUSC84_RS08365,3080,4483,3711,6171,5508,4530,4731,4453,4613
SSUSC84_RS07000,343,500,507,695,770,681,434,311,296
SSUSC84_RS10285,536,817,834,692,918,885,646,648,612
SSUSC84_RS06020,741,953,944,1157,1292,1003,1046,964,904
SSUSC84_RS09770,3013,3808,3681,9643,12285,10831,3644,2294,2796
SSUSC84_RS01850,1214,1798,1613,958,1047,1058,1925,1772,1585
SSUSC84_RS10650,0,6,5,2,0,1,4,3,2
SSUSC84_RS00415,16,25,34,58,39,55,31,15,11
SSUSC84_RS00550,1089,1491,2160,5596,5688,4971,445,542,394
SSUSC84_RS09990,6,8,8,5,7,14,31,28,16
SSUSC84_RS08665,6822,9583,10015,16206,19030,18687,6659,6141,5385
SSUSC84_RS05050,548,758,809,768,866,777,466,425,440
SSUSC84_RS08375,3752,5847,4568,6063,5762,5204,6032,5710,5853
SSUSC84_RS01995,589,598,581,674,576,305,534,452,467
SSUSC84_RS10615,0,0,0,0,0,0,0,0,0
SSUSC84_RS06435,95,132,105,2084,2385,1611,56,75,47
SSUSC84_RS02625,980,1313,1068,1037,1103,962,1797,1668,1386
SSUSC84_RS04990,3,16,4,4,5,6,9,3,6
SSUSC84_RS08750,4378,6815,6042,6060,6914,6900,4650,4929,4137
SSUSC84_RS02525,1054,1515,1384,1727,2082,2017,1230,904,746
SSUSC84_RS00900,4322,6354,4989,4491,4399,3956,5933,6063,4054
SSUSC84_RS06120,6654,9776,7763,5677,6273,5479,10879,10040,8364
SSUSC84_RS10550,26,30,32,28,19,42,39,41,29
SSUSC84_RS00670,0,0,3,0,0,0,0,0,0
SSUSC84_RS10400,5,7,13,13,13,16,6,3,4
SSUSC84_RS08845,1334,2184,1956,2550,3176,3153,1040,1230,911
SSUSC84_RS04735,2283,2656,2739,3765,3248,2681,1433,1222,1067
SSUSC84_RS05680,13,23,14,161,189,105,18,11,12
SSUSC84_RS02005,6797,9947,7720,4963,5289,4821,8057,8649,6624
SSUSC84_RS06225,2364,3189,2422,1746,1749,1686,4410,3974,3285
SSUSC84_RS09910,69,71,63,97,120,92,82,51,39
SSUSC84_RS01090,651,880,771,540,507,508,672,462,383
SSUSC84_RS04325,71,86,84,89,59,87,92,89,76
SSUSC84_RS02240,25,28,20,8,11,16,107,51,74
SSUSC84_RS08425,882,1446,1302,1179,1853,1508,1234,1266,1097
SSUSC84_RS02590,878,1216,985,1055,1298,1016,919,734,598
SSUSC84_RS04655,12,14,10,14,10,5,19,4,13
SSUSC84_RS07165,0,0,0,0,0,0,0,0,0
SSUSC84_RS04610,237,316,370,260,269,253,485,442,471
SSUSC84_RS02845,12102,20201,20037,11556,13772,13193,16514,14157,14316
SSUSC84_RS01065,412,473,368,690,584,355,363,444,245
SSUSC84_RS08280,957,1423,1293,1104,1250,1190,659,782,628
SSUSC84_RS07095,4197,6061,5374,4626,4727,4319,5316,4342,3914
SSUSC84_RS06165,1643,2188,1838,1515,1455,1275,2312,2137,1765
SSUSC84_RS00960,73,108,136,141,213,213,240,213,253
SSUSC84_RS01010,221,356,289,247,295,257,470,498,407
SSUSC84_RS02485,559,655,627,1084,947,831,350,310,262
SSUSC84_RS10385,18242,28416,27683,17034,19883,18529,26912,25848,25842
SSUSC84_RS01045,34,35,23,31,36,41,50,35,35
SSUSC84_RS04830,87,177,134,164,143,139,175,177,125
SSUSC84_RS10660,205,362,331,268,416,392,388,335,377
SSUSC84_RS07625,620,773,709,873,892,804,363,301,271
SSUSC84_RS04285,242,344,259,211,265,239,377,327,294
SSUSC84_RS04460,0,0,0,0,0,0,0,1,0
SSUSC84_RS08910,1011,1437,1154,694,739,719,1891,1840,1596
SSUSC84_RS03120,174,276,233,126,141,132,292,296,309
SSUSC84_RS09165,6325,9004,7543,5229,5771,5376,10053,8257,7145
SSUSC84_RS08195,4020,5231,4899,3330,3534,3346,3774,2966,2742
SSUSC84_RS09350,2081,3204,2359,958,1197,1094,3585,3447,2857
SSUSC84_RS01445,2493,3728,3220,3158,3570,3315,3310,2958,2667
SSUSC84_RS01060,834,1135,1000,1187,1230,1085,1146,1228,935
SSUSC84_RS10070,76,150,124,81,141,96,130,203,157
SSUSC84_RS06450,121,133,136,122,116,87,150,106,106
SSUSC84_RS05940,17,32,34,23,32,26,29,32,20
SSUSC84_RS04105,445,762,696,560,685,623,778,789,698
SSUSC84_RS00030,2036,2749,2141,2279,2248,1966,2763,2748,2159
SSUSC84_RS00765,21487,31329,31207,45104,49925,48635,20808,20195,17336
SSUSC84_RS07455,138,143,130,101,103,96,244,193,219
SSUSC84_RS06600,711,935,795,587,652,689,1147,1197,874
SSUSC84_RS08380,290,483,400,513,469,420,346,347,282
SSUSC84_RS10350,95293,134217,126544,81519,96583,88258,124400,157568,116282
SSUSC84_RS03375,5,8,9,11,13,9,3,11,12
SSUSC84_RS07470,7,11,12,6,8,5,16,14,15
SSUSC84_RS05890,5986,8475,7428,8272,8671,7910,5533,5678,4654
SSUSC84_RS06320,21,18,17,21,24,26,24,14,24
SSUSC84_RS03150,660,894,925,2588,2624,2259,938,926,862
SSUSC84_RS00390,3843,5323,3742,2499,2481,2173,5445,4947,3598
SSUSC84_RS08630,10759,16490,12977,1876,1996,1998,19256,20145,17930
SSUSC84_RS08960,205,307,234,162,213,176,341,342,276
SSUSC84_RS08705,562,850,833,562,665,619,998,744,698
SSUSC84_RS09870,269,491,533,1157,1277,1167,290,268,229
SSUSC84_RS10495,0,0,0,0,0,0,0,0,0
SSUSC84_RS01305,732,1053,899,1779,2312,2216,574,710,481
SSUSC84_RS00165,0,0,0,0,0,0,0,0,0
SSUSC84_RS07170,0,0,0,0,0,0,0,0,0
SSUSC84_RS06140,164,310,210,131,180,136,295,218,182
SSUSC84_RS00150,0,0,0,0,0,0,0,0,0
SSUSC84_RS06895,186,250,204,191,188,190,308,269,223
SSUSC84_RS03660,381,403,501,713,673,654,294,215,236
SSUSC84_RS02280,937,1311,1187,1369,1292,1341,1414,1168,1242
SSUSC84_RS03240,266,527,434,225,315,299,344,502,293
SSUSC84_RS01475,598,810,682,412,448,387,1084,690,633
SSUSC84_RS03880,110,172,156,229,265,251,78,82,72
SSUSC84_RS02600,4,14,11,18,18,8,11,18,15
SSUSC84_RS01955,1984,2644,2169,2052,2299,1822,2548,2319,1728
SSUSC84_RS01105,278,457,323,275,253,248,432,412,308
SSUSC84_RS05545,2800,3877,4403,5760,6694,6571,2445,2685,2460
SSUSC84_RS02470,1,2,5,10,6,3,5,2,4
SSUSC84_RS06370,332,456,364,497,491,400,344,339,286
SSUSC84_RS03365,1382,2051,1895,1237,1465,1298,2260,1413,1298
SSUSC84_RS06315,55,102,74,69,70,75,93,86,107
SSUSC84_RS06040,2471,3435,3713,4566,4261,4045,2428,1785,1662
SSUSC84_RS06145,195,298,296,231,295,205,175,68,61
SSUSC84_RS07495,1274,1715,1338,909,1017,895,2281,1911,1601
