,Co1,Co2,Co3,Fe1,Fe2,Fe3,nor1,nor2,nor3
SSUSC84_RS00490,2380,3844,5605,12756,15145,13487,1575,1662,1427
SSUSC84_RS00530,1962,2796,3217,9252,9597,10431,1657,2022,1678
SSUSC84_RS03740,2658,3233,2679,6394,5802,5843,2319,2009,1645
SSUSC84_RS01315,259,370,307,270,352,311,432,276,274
SSUSC84_RS01770,4649,5690,5059,13402,10817,8178,4093,4525,3486
SSUSC84_RS01410,480,737,724,720,829,753,610,578,434
SSUSC84_RS09805,389,627,499,383,428,376,571,620,447
SSUSC84_RS05005,1,8,1,2,1,2,2,6,4
SSUSC84_RS05785,12,27,20,17,23,22,32,9,12
SSUSC84_RS04410,2,5,5,11,12,6,5,6,3
SSUSC84_RS01515,2065,2873,2327,1268,1356,1248,4433,3685,3007
SSUSC84_RS01945,58,99,90,72,67,47,84,111,91
SSUSC84_RS02565,543,796,614,679,726,519,516,422,290
SSUSC84_RS02805,4351,6953,7212,4975,5449,5285,4823,3102,3343
SSUSC84_RS06815,16,23,25,14,15,8,19,20,11
SSUSC84_RS03815,564,576,636,2040,1683,1675,422,458,378
SSUSC84_RS04605,109,123,160,138,153,156,145,108,127
SSUSC84_RS02685,2873,4270,3269,1831,1931,2058,4970,5159,4244
SSUSC84_RS03335,864,1130,855,782,886,745,1362,1130,872
SSUSC84_RS06755,350,370,339,659,632,554,293,249,191
SSUSC84_RS02895,135,211,212,120,147,139,235,187,170
SSUSC84_RS00905,72873,88015,77712,65966,67693,63572,94815,94193,78176
SSUSC84_RS00965,14,32,20,18,18,17,25,19,23
SSUSC84_RS00660,1,0,1,6,4,3,1,0,3
SSUSC84_RS09095,585,823,669,719,782,718,699,554,518
SSUSC84_RS03220,656,946,827,668,708,646,689,420,360
SSUSC84_RS03505,18677,27880,15335,1833,1723,1489,34254,34447,26519
SSUSC84_RS01895,703,1116,985,856,1092,941,1171,956,951
SSUSC84_RS08725,383,567,491,395,441,350,475,189,194
SSUSC84_RS02585,73,81,73,163,108,92,63,42,32
SSUSC84_RS08255,2323,3565,3003,2789,3031,2705,2781,3305,2421
SSUSC84_RS09020,420,599,635,593,733,577,385,352,302
