X,UA159_1count,UA159_2_count,UA159_3_count,X1995_1_count,X1995_2_count,X1995_3_count
SMU_2056,86805,91266,88883,88707,115835,99738
SMU_2057c,21208,27613,34952,52314,55182,50666
SMU_2058,307,411,417,368,342,337
SMU_2059c,1028,1212,1374,1579,1867,1530
SMU_205c,8,9,10,30,24,16
SMU_2060,2933,3673,4186,4221,3815,3232
SMU_2061,3159,3670,3628,3659,3472,3386
SMU_2063,4238,4716,5050,5734,5895,5406
SMU_2064c,9142,11328,11777,12454,13493,11834
SMU_2065,6152,8198,8335,8489,8592,8220
SMU_2066c,14652,18116,18746,17975,17078,15895
SMU_2067,5175,6363,6218,6012,5857,5511
SMU_2069,421,544,474,576,617,508
SMU_206c,0,0,0,1,2,2
SMU_2070,313,270,290,290,283,196
SMU_2071,1074,1541,1609,1368,1306,1191
SMU_2072c,708,844,853,743,737,611
SMU_2073c,80,105,114,109,94,87
SMU_2074,36739,42898,44044,42803,45248,39093
SMU_2075c,6386,9212,8708,9418,9424,8745
SMU_2076c,9,28,19,14,17,14
SMU_2077c,763,1023,1183,1140,1049,1278
SMU_2078c,3810,4966,5161,5155,4555,5176
SMU_2079c,1823,2332,2462,2070,1881,2059
SMU_207c,37,61,54,141,106,109
SMU_2080,7,8,7,7,0,11
SMU_2081,36,43,40,22,39,34
SMU_2083c,3797,5564,5228,5118,4739,4275
SMU_2084c,6567,8634,8964,8383,7695,6687
SMU_2085,23523,26628,27258,23320,21713,19556
SMU_2086,10873,12038,12977,11073,10293,9238
SMU_2087,1459,2154,2104,1820,1625,1736
SMU_2088,1737,2623,2501,2217,2098,1948
SMU_2089,6059,7115,7560,6139,5681,5389
SMU_208c,77,161,107,349,290,292
SMU_2090c,1522,1610,1817,1786,2072,1645
SMU_2091c,11765,14069,15417,15145,15252,14770
SMU_2092c,2017,2261,2161,2006,1899,1788
SMU_2093,572,922,926,732,789,774
SMU_2094c,461,950,757,687,739,829
SMU_2096c,80,119,118,107,112,91
SMU_2097,2259,2708,2401,2269,1999,1757
SMU_2098,12390,12682,12930,12666,12972,11392
SMU_2099c,1825,2562,2508,2487,2352,2253
SMU_209c,18,29,26,83,79,71
SMU_21,287,327,307,299,353,247
SMU_2100c,3689,5445,5276,5185,4838,4472
SMU_2101,16750,19499,19421,18364,18653,16014
SMU_2102,12222,14460,14864,15461,15061,15177
SMU_2104,14465,17049,18691,18392,18287,16104
SMU_2104a,11264,10527,10725,10464,9510,9082
SMU_2105,333,569,482,476,451,488
SMU_2106c,326,314,281,334,289,243
SMU_2107c,202,255,232,215,194,222
SMU_2108c,1035,1271,1194,1104,964,968
SMU_2109,1925,2199,2309,2292,1962,1686
SMU_210c,11,31,35,86,94,99
SMU_2111c,62,121,114,101,106,106
SMU_2112,26920,27323,29592,27725,31125,28348
SMU_2113c,264,335,348,298,325,260
SMU_2114c,325,426,383,376,313,305
SMU_2115,164,218,216,175,175,169
SMU_2116,10177,11459,12994,9689,9522,9438
SMU_2117,7662,8259,9879,7503,7674,6674
SMU_2118,7025,9070,9698,8154,7923,7524
SMU_2119,7590,8905,10467,9246,10540,8649
SMU_211c,5,2,13,21,18,21
SMU_2120c,1690,1972,2020,2010,2415,2360
SMU_2121c,36,66,63,86,89,94
SMU_2123,334.68,412.49,327.63,330.3,294.25,337.84
SMU_2124,2.32,6.51,7.37,3.7,9.75,9.16
SMU_2125,1396,1546,1454,1480,1205,1183
SMU_2126c,2285,2815,2651,2903,2767,2556
SMU_2127,88001,104482,106088,115662,139702,123823
SMU_2128,62988,73529,79628,82817,101113,83573
SMU_2129c,132,169,179,177,234,255
SMU_212c,0,0,0,1,0,0
SMU_2130,798,883,849,918,930,807
SMU_2131,1077,1208,1311,1357,1165,1107
SMU_2133c,676,735,678,545,538,471
SMU_2134,109,129,116,136,153,118
SMU_2135c,18641,23833,21072,23512,29999,26546
SMU_2136c,564,485,372,384,387,403
SMU_2137c,442,469,464,411,349,338
SMU_2138,12940,15192,15776,14268,13908,11724
SMU_2139c,1280,1929,1517,1521,1298,1293
SMU_213c,0,2,1,3,2,8
