,WT-W Total Reads,WT-X Total Reads,WT-Y Total Reads,dLiaF-W Total Reads,dLiaF-X Total Reads,dLiaF-Y Total Reads,dLiaR-W Total Reads,dLiaR-Y Total Reads,dLiaR-Z Total Reads
SpyM3_0448,223,382,408,223,325,346,220,321,319
SpyM3_0449,318,429,416,312,421,382,259,433,361
SpyM3_0450,651,822,784,620,779,830,544,849,742
SpyM3_0451,346,427,331,285,399,421,252,437,358
SpyM3_0452,804,1077,1037,924,1261,1208,567,950,720
SpyM3_0453,4459,5581,5788,4251,5474,5668,3980,7107,5569
SpyM3_0455,11623,14154,12777,10260,13443,13475,10237,18138,14466
SpyM3_0456,15424,19573,19491,14470,17274,20263,15883,25513,22027
SpyM3_0457,2411,3214,3420,2522,2961,3494,2022,3468,2596
SpyM3_0458,11134,20146,17142,20206,25751,29923,9301,14808,11465
SpyM3_0459,5758,7327,7186,5976,6413,7514,5108,9656,7333
SpyM3_0460,16533,22371,20666,15001,17382,20068,17366,33065,27721
SpyM3_0461,22333,30289,28201,20634,22107,26599,25338,44457,34621
SpyM3_0462,9906,13042,12845,11895,14580,16057,8557,14219,12105
SpyM3_0463,10899,14081,13783,12519,14370,17472,10115,16037,14367
SpyM3_0464,5900,7469,7167,6921,8517,10002,5089,9102,7253
10870_p01,145,208,213,191,235,264,125,223,248
10870_p02,3831,5863,5740,3287,4278,4991,4272,5858,5377
10870_p03,3132,4656,4488,2743,3464,4095,3296,5473,4792
10870_p04,10,14,13,8,14,10,3,6,6
10870_p05,579,783,806,596,836,912,447,665,626
10870_p06,14,11,20,8,5,8,3,5,8
10870_p07,15,11,11,17,22,19,7,11,8
10870_p08,101,147,103,87,142,129,60,174,44
10870_p09,13,21,22,20,50,37,11,27,10
10870_p10,1497,2272,1726,1556,2884,2918,932,1553,1170
10870_p11,4,5,7,3,0,7,0,0,1
10870_p12,5,7,5,4,6,6,4,3,4
10870_p13,1,0,3,1,1,0,0,1,3
10870_p14,11,14,10,7,5,16,9,15,7
10870_p15,7,9,11,5,8,12,4,13,1
10870_p16,16,29,26,11,14,11,8,8,9
10870_p17,60,92,70,38,48,46,26,43,41
10870_p18,146,194,183,98,110,119,73,144,106
10870_p19,43,37,45,23,29,22,20,34,21
10870_p20,45,64,74,43,53,53,34,68,50
10870_p21,140,226,232,129,174,152,126,199,157
10870_p22,27,33,34,26,24,27,22,40,39
10870_p23,22,26,23,15,13,21,11,34,23
10870_p24,43,58,63,18,31,43,28,50,32
10870_p25,3,7,4,7,4,7,3,0,5
10870_p26,14,16,20,8,11,16,7,16,11
10870_p27,21,43,29,16,17,19,21,24,18
10870_p28,6,14,9,1,4,12,3,21,6
10870_p29,50,70,76,48,36,45,31,54,33
10870_p30,25,21,27,22,20,29,20,27,28
10870_p31,60,80,68,54,77,69,49,93,54
10870_p32,89,122,128,74,90,87,81,137,88
10870_p33,141,195,201,102,164,165,122,223,181
10870_p34,240,315,346,241,308,371,203,382,324
10870_p35,109,142,149,132,137,168,120,194,198
10870_p36,2120,2933,3126,2938,3500,4123,3226,4729,4531
10870_p37,888,1154,1138,1227,1389,1683,1200,1716,1705
10870_p38,15,42,49,16,23,15,17,35,23
10870_p39,28,57,32,16,24,25,29,54,36
10870_p40,60,69,71,42,38,42,32,56,46
10870_p41,5,6,5,5,1,1,3,5,5
10870_p42,4,6,7,1,1,1,1,5,1
10870_p43,41,64,64,20,46,28,27,59,39
10870_p44,71,116,108,40,41,47,40,89,60
10870_p45,53,77,73,21,18,24,19,42,24
10870_p46,0,1,0,0,1,0,0,0,0
10870_p47,27,26,49,14,16,14,16,23,14
10870_p48,8,20,11,3,6,7,5,8,7
10870_p49,25,30,20,5,15,11,9,22,12
10870_p50,11,12,21,6,5,11,5,7,7
10870_p51,16,19,27,11,13,6,7,12,9
10870_p52,8,10,12,3,5,3,3,4,2
10870_p53,0,0,0,0,0,0,0,0,0
10870_p54,69,94,90,36,50,51,46,76,45
10870_p55,15,24,25,3,12,16,10,14,19
10870_p56,46,66,73,37,51,55,32,79,48
10870_p57,45,55,73,33,43,50,41,89,59
10870_p58,56,93,72,52,58,52,57,96,75
10870_p59,14,17,20,10,16,16,16,25,27
10870_p60,99,149,122,62,80,92,53,105,97
SpyM3_0729,35,23,30,18,11,12,18,29,37
SpyM3_0730,23,25,33,13,11,13,18,20,20
SpyM3_0731,173,226,219,129,132,144,165,288,245
10870_p61,9689,12445,12100,2424,3796,3808,18192,29649,26475
spyM18_0779,11176,14489,13604,2874,4787,4552,20177,32781,25625
SpyM3_0465,15096,18979,18578,9629,12811,13189,17718,31272,23980
SpyM3_0466,9213,12925,13310,7378,9225,9913,4979,8738,7734
SpyM3_0467,493,727,594,308,384,397,653,1272,844
SpyM3_0468,1052,1442,1196,636,891,887,1279,2629,1778
SpyM3_0470,4044,5481,4983,4275,5327,5630,3905,7286,5717
SpyM3_0471,10666,15961,15138,10116,10867,12397,11496,20134,17917
SpyM3_0472,659,953,871,594,722,832,663,1389,937
SpyM3_0473,2757,3288,3215,2279,2609,2749,2771,4972,4190
SpyM3_0475,3555,4562,4558,3150,3512,4052,3334,6879,5182
SpyM3_0476,24477,31369,31465,24088,27282,29140,23909,38180,36007
SpyM3_0477,53896,75271,66759,50350,59130,69317,55853,99060,69936
SpyM3_0478,2377,3122,2969,2866,3223,3754,2165,3689,2830
SpyM3_0479,226152,276513,255226,245600,318754,347303,190814,336267,261741
SpyM3_0480,986,1918,1459,600,955,897,1236,3209,1509
SpyM3_0481,2394,3342,2749,1386,1487,1526,3960,6468,4653
SpyM3_0482,3579,4528,3938,2097,2195,2162,5252,8476,7061
SpyM3_0483,6217,8052,6925,3497,3645,3813,9525,16024,12272
SpyM3_0484,1550,1883,1611,1076,1007,947,2174,3933,2774
SpyM3_0485,2339,2788,2309,1465,1611,1489,3205,5862,4203
SpyM3_0486,3081,3875,3282,1760,1948,1992,4379,8546,5957
SpyM3_0487,3262,3735,3385,2051,1972,2117,4631,8665,6431
SpyM3_0488,4348,5605,4645,2886,3018,3319,6274,11353,8117
SpyM3_0489,12781,19601,19391,5193,6915,7605,18430,26581,28035
SpyM3_0490,5065,6602,6516,4295,5222,4991,5045,9211,7432
SpyM3_0491,10021,14246,13186,13220,16679,18338,7478,13382,10420
SpyM3_0492,9121,11751,11397,11572,12757,15655,6637,10684,8827
SpyM3_0493,11206,14115,12799,10133,11692,15052,11494,20918,16027
SpyM3_0494,95722,130221,123825,86703,114539,125648,101494,176779,137055
SpyM3_0495,25037,32432,26258,23606,31159,30452,23249,45524,29251
SpyM3_0496,16705,18749,16977,14923,20508,18758,14999,25777,16853
SpyM3_0497,93423,113807,100135,85002,114423,113093,85129,159049,108782
SpyM3_0498,42256,49008,46013,37952,48698,51081,42268,76825,51007
SpyM3_0499,87405,105352,97352,81403,103347,104729,83445,163064,107423
SpyM3_0500,34989,44013,38453,31945,38836,42262,35320,64788,44183
SpyM3_0501,1988,2505,2511,2136,2645,2604,1679,2761,2247
SpyM3_0502,21566,26529,25695,23740,28380,28200,17328,30623,26188
SpyM3_0503,2526,3665,3451,2653,3125,3415,2340,3916,3049
SpyM3_0504,2812,3701,3378,2680,3502,3822,2462,4149,3151
SpyM3_0505,626,686,696,646,716,793,493,922,768
SpyM3_0506,5201,6653,6836,5368,6292,6296,5051,8793,7923
SpyM3_0507,12801,16823,16649,12998,16137,16743,12557,22177,18399
SpyM3_0508,635,977,787,664,722,828,626,1048,792
SpyM3_0509,521,698,648,455,674,718,538,829,687
SpyM3_0510,1248,1514,1397,1028,1283,1284,1074,1987,1478
SpyM3_0511,1459,2118,1995,1165,1469,1817,1474,2626,2274
SpyM3_0512,1458,2004,1718,1912,2447,2236,856,1703,1326
SpyM3_0513,15556,21460,21679,24731,30455,33986,11237,18883,15051
SpyM3_0514,26416,35465,34440,42137,49804,54998,18298,30348,23793
SpyM3_0515,11248,15244,15531,14765,18010,20918,10042,15828,14041
SpyM3_0517,2026,2584,2575,1612,1980,1712,1396,3695,2075
SpyM3_0518,14455,20722,20819,18426,23732,26440,15112,25130,20556
SpyM3_0519,14890,20305,19458,18531,23128,25074,14302,24033,19804
SpyM3_0520,4646,7086,6299,5179,7490,7710,4500,7436,5672
SpyM3_0521,6364,9364,8618,8456,10664,11594,5965,9388,7274
SpyM3_0522,11055,15451,14096,13401,15818,18839,10178,16479,14222
SpyM3_0523,6632,8730,8917,9073,10922,12011,5981,9767,8557
SpyM3_0524,6358,8104,7952,8398,9451,10245,5859,8924,8107
SpyM3_0525,13844,18759,19082,19392,22389,24100,13353,20271,17882
SpyM3_0526,8366,10935,10975,11706,13214,13615,7761,12478,9893
SpyM3_0527,18377,26222,25201,25753,28260,31059,17471,29572,24300
SpyM3_0528,15496,20972,19506,21678,23986,22173,13238,22405,18305
SpyM3_0529,6416,8968,7808,8853,10646,10167,5400,10055,7435
SpyM3_0530,748,871,798,1047,1193,1236,568,1092,844
SpyM3_0531,15342,20425,19198,21654,21953,25133,14487,24257,19641
SpyM3_0532,10226,13461,13402,14895,17612,17934,9496,14402,12415
SpyM3_0533,21524,30405,29344,22319,28876,31277,20831,35652,31317
SpyM3_0534,6077,7517,7290,5686,7033,6370,4974,8302,6736
SpyM3_0535,676,873,634,527,671,556,590,768,672
SpyM3_0536,9453,13123,10950,8727,10940,9939,8483,13130,11120
SpyM3_0537,9951,13638,12082,10433,13168,12949,9278,14848,12402
SpyM3_0538,30470,34116,35382,29398,35278,34778,31084,47873,37347
SpyM3_0541,24743,31475,32757,34617,43059,48559,18476,29784,25329
SpyM3_0542,14325,18980,19510,13273,14456,16761,16799,28848,25150
SpyM3_0543,9284,11770,12459,8543,9295,10173,10684,16952,15363
SpyM3_0544,10466,12377,12037,9075,9883,10697,11119,19127,16624
SpyM3_0545,4955,7110,6207,4774,5408,6333,5284,10034,7760
SpyM3_0546,5187,6535,5817,5004,5788,6016,3122,6235,4800
SpyM3_0547,5745,7907,8218,8999,12054,14036,4024,6639,5576
SpyM3_0548,3202,4551,4598,5168,7277,7579,2064,3281,2603
SpyM3_0549,8868,12220,11476,8688,10261,11005,8911,15983,14365
SpyM3_0550,7725,10426,9772,7400,9073,10057,7792,14573,11371
SpyM3_0551,4256,6218,5567,4174,5314,5933,4290,7076,5804
SpyM3_0553,44913,56769,53504,36612,41729,50318,51341,86392,70000
SpyM3_0555,3296,4122,4132,3013,3342,3929,3311,5939,5048
SpyM3_0556,2012,2386,2845,2038,2074,2521,2174,3190,3102
SpyM3_0558,3335,4788,3614,2367,3416,3604,4537,8393,4239
SpyM3_0559,7703,10565,7868,5756,8284,8186,10006,19476,9974
SpyM3_0560,7607,10148,7705,5521,8054,8204,10420,19612,9342
SpyM3_0561,11963,16813,12190,8205,12416,12952,15765,32985,15144
SpyM3_0562,31860,43531,31497,22344,31321,32843,40610,83957,37846
SpyM3_0563,39071,49843,44643,22308,27941,30134,41559,68732,49744
SpyM3_0564,16873,21016,17916,10610,13486,13755,16647,31620,20985
SpyM3_0565,42300,54354,49716,27582,35227,35283,46005,75103,59867
SpyM3_0566,29940,36206,31302,19066,22811,24483,29756,55611,37703
SpyM3_0568,4736,4902,4837,4045,5710,5321,4118,6942,4774
SpyM3_0569,17225,23171,19674,13931,15361,18138,10909,16576,13242
SpyM3_0570,3204,4843,3543,2739,2994,3536,1921,3291,2491
SpyM3_0571,223,287,274,210,272,333,176,252,209
SpyM3_0572,568,814,867,659,781,896,511,814,847
SpyM3_0573,5643,7704,7532,5475,6287,6949,5840,9528,9081
SpyM3_0575,5666,7684,7666,5708,6204,6699,6600,11044,10142
SpyM3_0576,16425,20917,19737,19864,25214,22217,18843,30021,29682
SpyM3_0577,21706,32230,28534,25793,32762,33116,27853,43628,39116
SpyM3_0578,11400,21070,17195,15865,18126,18472,15079,19827,17034
SpyM3_0579,17583,27686,25105,23305,24256,23668,19436,28059,27218
SpyM3_0580,38238,53188,47165,49899,52891,51503,37170,70015,57687
SpyM3_0581,1036,1577,1388,2372,2840,3291,517,855,683
SpyM3_0582,7831,10626,11075,7293,9349,8833,5695,10777,8816
SpyM3_0583,8544,13869,12794,29185,33097,38158,893,1363,1181
SpyM3_0584,32,43,41,27,38,32,16,35,25
SpyM3_0585,5390,7225,6352,5184,5485,6204,4177,7462,5417
SpyM3_0586,12668,16586,15585,13075,14345,15129,10184,18456,13460
SpyM3_0587,7394,9600,8958,7905,8603,9610,5703,9791,7916
SpyM3_0588,10442,13677,11990,11187,12568,14787,7732,13737,10627
SpyM3_0589,15,9,5,3,2,5,13,16,24
SpyM3_0590,494,673,613,371,396,451,601,1132,959
SpyM3_0591,3212,4256,4611,1457,1753,2097,6970,9400,11344
SpyM3_0592,2780,3615,3434,2933,3290,3841,2689,4891,3802
SpyM3_0593,3798,4761,4683,4099,4843,5199,3503,5834,4889
SpyM3_0594,5411,6668,6352,6194,7117,7652,5316,9101,7469
SpyM3_0595,3049,3862,3914,3084,3528,3967,3047,5545,4730
SpyM3_0596,3650,4458,4563,3732,4410,4625,3525,6329,5145
SpyM3_0597,5311,6983,6529,5123,6285,7046,4888,9201,7432
SpyM3_0598,8190,10199,9564,7729,8790,9838,7409,12839,10402
SpyM3_0599,9131,11786,11935,12719,16109,17279,8272,13323,11642
SpyM3_0600,7725,9642,9754,10864,13519,13774,6611,11487,9288
SpyM3_0601,5940,8708,8218,8685,10880,12675,4978,9132,7085
SpyM3_0602,6571,7564,7497,9769,10720,11576,4678,7459,6760
SpyM3_0603,326,422,373,438,531,619,325,380,299
SpyM3_0604,20157,26459,24551,29642,34160,38943,15082,24531,19269
SpyM3_0606,12009,17023,16831,12877,15924,18302,12053,18689,15817
SpyM3_0607,14645,19357,20570,14570,17417,18525,14242,22695,20169
SpyM3_0608,6101,8662,7845,7081,8170,7688,5582,10365,8021
SpyM3_0609,10167,13239,13626,11664,13847,14431,9503,17553,14394
SpyM3_0610,3712,5426,5136,4518,5191,5256,3174,7018,5352
SpyM3_0611,8870,11814,12351,10393,12103,12638,8164,15422,12667
SpyM3_0612,10209,12095,14592,11853,12458,13756,10355,15928,16521
SpyM3_0613,1249,1403,1362,1475,1798,1639,911,1762,1381
SpyM3_0614,2695,3310,3333,4139,5302,5674,1726,2777,2332
SpyM3_0615,3523,4379,3841,2638,2818,3422,4247,7187,5868
SpyM3_0616,1753,2501,1754,1070,1743,1934,3170,5491,2848
SpyM3_0617,1436,2343,1544,875,1531,1554,2520,4608,2168
SpyM3_0618,7944,11116,9864,9032,14015,14804,7979,14822,7919
SpyM3_0619,17365,22613,24835,17215,19980,25834,12559,19883,13383
SpyM3_0620,10244,13721,14282,11191,13169,15500,7535,13193,10264
SpyM3_0621,3115,3525,3940,2925,4069,4056,2656,4322,3878
SpyM3_0622,7429,9358,9055,7076,8892,9808,6491,11227,9269
SpyM3_0623,2684,3771,3668,2830,3031,3358,2654,5371,4050
SpyM3_0624,23435,31416,29975,26388,34210,37225,18681,34493,29102
SpyM3_0625,20410,27243,25610,23714,30276,33965,17158,32495,25423
SpyM3_0626,25658,34921,33824,20408,27212,30168,21352,37735,32677
SpyM3_0627,1950,3313,2275,1898,2167,2752,1564,2745,1596
SpyM3_0629,2108,2337,2898,975,595,737,1470,3301,1845
SpyM3_0630,19276,21726,25214,8383,5275,5534,10458,22932,17020
SpyM3_0631,874,664,902,507,339,361,352,741,658
SpyM3_0632,2719,2448,2848,3090,3469,3170,1573,3644,3159
SpyM3_0633,4119,5716,6456,7257,7719,8112,1893,5256,3411
SpyM3_0634,1898,2560,2294,1926,2306,2650,1907,3489,2602
SpyM3_0635,8518,11569,11226,9622,11505,12404,7558,12777,10423
SpyM3_0636,3223,4711,4080,3613,4525,5439,3063,5274,3982
SpyM3_0637,7358,10894,9994,8557,10415,11998,6364,11393,8855
SpyM3_0638,3880,4921,4679,4486,6018,6009,3094,5427,4430
SpyM3_0639,9316,12410,11353,10706,13405,14835,7445,13264,10534
SpyM3_0640,10059,12470,13432,9979,11485,11622,9305,15313,12851
SpyM3_0641,9161,11823,11963,9063,10365,11361,8739,14834,11650
SpyM3_0642,3651,4549,4428,3655,4200,4591,3346,6303,4779
SpyM3_0643,1660,1948,1965,1944,2312,2325,1320,2563,2015
SpyM3_0644,6053,8789,8414,7177,8437,9067,5602,9504,8596
SpyM3_0645,4104,5339,5060,4720,5411,5959,3857,6046,5325
SpyM3_0646,35585,50927,48747,49901,60838,67967,29287,45486,37686
SpyM3_0647,9857,12592,11326,13890,17689,17751,7053,13018,10297
SpyM3_0648,25227,33802,32070,36308,43539,44271,19387,32633,26373
SpyM3_0649,1989,2502,2520,2519,2808,3140,1775,3028,2459
SpyM3_0650,3932,4955,4769,5202,6170,6604,3232,6033,5029
SpyM3_0651,7090,9084,8447,8847,10408,10810,6012,9717,9003
SpyM3_0652,5388,6878,7078,4231,5421,5885,5083,8933,7485
SpyM3_0653,3136,4111,3684,1124,1358,1657,3147,4924,4123
SpyM3_0654,129,133,139,44,54,46,102,200,100
SpyM3_0655,3975,5157,4466,1421,1647,2097,3801,6617,5130
SpyM3_0656,4717,6672,5823,1747,2360,2842,4971,7999,6153
SpyM3_0657,32337,41265,40880,40298,46258,49822,25496,44112,40009
SpyM3_0658,4457,5725,5362,5554,6849,7315,3545,6202,5584
SpyM3_0659,1722,2372,2098,2284,3047,3119,1260,2350,1813
SpyM3_0660,5293,6865,6191,4771,5984,7001,4775,8687,6943
SpyM3_0661,28246,36026,39999,25352,25215,30174,18044,34001,23816
SpyM3_0662,24947,27928,33942,24118,24934,25132,13334,28104,21803
SpyM3_0663,33670,31291,38630,32217,31280,29557,15525,33691,26518
SpyM3_0664,39478,30840,39968,43832,35890,35227,17084,43594,32319
SpyM3_0665,6659,9314,9368,7141,9115,10414,7954,12211,9805
SpyM3_0666,7364,10373,9780,6975,8768,9660,7471,13026,9976
SpyM3_0667,2982,3658,3575,3391,4232,4211,2420,4632,3700
SpyM3_0668,6635,8956,8984,7172,8937,9067,5786,10022,7929
SpyM3_0669,3288,4325,4460,3498,3619,4239,3403,5610,4879
SpyM3_0670,4823,7115,7026,5006,6400,6763,5032,8037,6930
SpyM3_0671,22263,27722,26314,23436,27492,28350,19860,33809,27184
SpyM3_0672,516,600,596,394,589,591,410,692,534
SpyM3_0673,5819,6862,7121,5764,6754,7093,5166,8441,6649
SpyM3_0674,3272,3779,4127,3362,3646,3958,2917,4871,4278
SpyM3_0675,3212,4091,3683,3268,4083,4051,2605,5367,4225
SpyM3_0676,4584,5978,5762,4864,5753,6266,4073,7207,6048
SpyM3_0677,460,648,621,556,633,670,418,689,569
SpyM3_0678,173,266,251,178,251,247,159,252,187
SpyM3_0679,95,137,126,143,112,143,95,120,120
SpyM3_0680,112,140,136,123,118,123,63,145,100
SpyM3_0739,1779,2208,2344,1525,1522,1618,1043,2043,1656
SpyM3_0740,8964,10049,10751,7286,7580,7891,7079,12070,10145
SpyM3_0741,6271,8696,7555,4321,4032,3843,6648,10500,7769
SpyM3_0742,5638,7475,6618,4058,4025,3708,5321,11120,7784
SpyM3_0743,4482,4813,4136,2972,2907,2646,4090,8203,5497
SpyM3_0744,8003,10202,8164,5900,6214,5005,7460,15521,9388
SpyM3_0745,2560,3451,3202,2792,2947,3191,2518,4860,3634
SpyM3_0746,1525,1924,1987,1600,1807,1921,1456,2826,2013
SpyM3_0747,2029,2413,2316,2151,2569,2610,1887,3523,2589
SpyM3_0748,3502,4755,4705,4846,5196,5382,3375,5633,4503
SpyM3_0749,9568,12631,12740,17542,20556,19674,5338,9590,7481
SpyM3_0750,3631,4355,4694,5404,6652,6358,2497,4340,3613
SpyM3_0751,13694,17744,16322,20168,25378,22695,9161,16428,14030
SpyM3_0755,3896,5080,4601,4135,4908,5210,3326,5486,4503
SpyM3_0756,6672,9515,9813,7195,9314,10646,7414,11268,9901
SpyM3_0757,1,0,1,0,0,1,0,0,0
SpyM3_0758,50744,61877,58490,71956,82567,87263,36168,70810,54266
SpyM3_0759,19866,28478,26219,23599,27824,31319,15301,30246,22580
SpyM3_0760,23696,32658,30762,28806,32901,35234,18000,34241,27524
SpyM3_0761,8488,11521,10676,10502,11354,12511,6401,12282,10605
SpyM3_0762,24195,35443,35573,31649,38971,40999,18895,33995,32145
SpyM3_0763,11025,14250,13757,9427,11231,12160,11461,19610,15998
SpyM3_0764,15027,21025,19693,13904,16511,17192,16753,28608,23529
SpyM3_0765,4846,6094,6016,4982,5999,5664,5249,8615,7343
SpyM3_0766,4653,5509,5460,4447,4971,5112,4641,8902,6799
SpyM3_0767,15988,22559,22302,15757,18584,19395,18138,29569,25408
SpyM3_0768,367,468,445,297,433,372,490,742,657
SpyM3_0769,883,1080,1139,695,888,870,1199,1798,1555
SpyM3_0770,273,326,325,250,295,329,318,492,459
SpyM3_0771,306,410,411,253,320,344,307,550,455
SpyM3_0772,421,615,543,378,425,474,553,842,727
SpyM3_0773,1247,2048,1726,1408,1433,1621,1461,2353,1911
SpyM3_0774,5102,6379,6668,4895,4899,5780,5033,9302,8117
SpyM3_0775,1533,1894,1975,1336,1364,1419,1303,2590,1878
SpyM3_0776,7279,10235,10287,7349,7359,8813,7461,13424,12596
SpyM3_0777,367,404,494,552,526,706,350,535,587
SpyM3_0778,5539,6859,7221,7297,8449,9463,4858,8334,8065
SpyM3_0779,6125,6603,7365,8737,10288,9514,5061,7291,6599
SpyM3_0780,1723,2196,2316,2701,3416,3207,1444,2758,1853
SpyM3_0781,11349,14711,14342,15811,18470,20463,9992,17174,14681
SpyM3_0782,6216,7501,7160,8804,10323,10846,5036,8962,7463
SpyM3_0783,1686,2122,2251,1930,2209,2522,1643,2355,2072
SpyM3_0784,9275,12824,12084,12021,13359,15589,8609,15815,11668
SpyM3_0785,12086,15794,15928,14517,17768,19274,11935,18163,15891
SpyM3_0787,12470,18373,17120,16897,18418,20479,13849,22051,16569
SpyM3_0788,289,364,425,616,610,628,228,375,375
SpyM3_0789,932,1298,1379,1728,2013,1975,746,1205,1129
SpyM3_0790,3893,4584,5632,3483,3527,3657,3407,5041,4182
SpyM3_0791,2747,3235,3484,2481,2854,3023,1901,3838,2630
SpyM3_0792,9541,10031,10809,8130,9078,9581,5603,12422,9014
SpyM3_0793,1031,1211,1210,1068,1435,1581,675,1011,910
SpyM3_0794,816,1034,1053,886,1140,1359,1039,1695,1705
SpyM3_0795,1783,2431,2640,2085,2846,3318,2422,3822,4194
SpyM3_0796,2213,2458,2316,1518,1779,1819,2173,3855,3170
SpyM3_0797,426,540,467,266,349,352,441,684,666
SpyM3_0798,4864,6011,6518,4883,5510,5942,4395,7612,6864
SpyM3_0799,8309,10847,11086,8498,9589,10114,7725,13123,10260
SpyM3_0800,9134,12031,12057,8877,10743,11593,9010,14501,12552
SpyM3_0801,3007,3764,3687,3089,3974,4074,3065,5855,4449
SpyM3_0802,3703,4793,4576,3624,4372,4740,4063,6734,5873
SpyM3_0803,5947,7285,6999,6104,7081,7285,5941,11199,9437
SpyM3_0804,8210,11277,12229,8263,9592,11091,10080,15576,13375
SpyM3_0805,3448,5049,4681,3597,4020,4607,3835,7410,5773
SpyM3_0806,6645,8847,8607,7008,7779,8370,7420,13849,11268
SpyM3_0807,4525,6157,6070,4548,5276,5801,5029,9134,7407
SpyM3_0808,28010,24640,27018,36248,29660,28396,17448,38070,30703
SpyM3_0809,47859,62980,56563,41951,55186,60114,42362,79193,59790
SpyM3_0810,27448,32603,32398,30366,34828,36676,24507,41680,36547
SpyM3_0811,10359,14170,12574,11218,12690,14557,9258,17857,12916
SpyM3_0812,1507,2291,2132,1691,2165,2375,1538,2765,2287
SpyM3_0813,28736,34548,43102,21074,24976,25559,21729,37190,29117
SpyM3_0814,7631,10522,9605,12037,16401,17689,4834,8133,6771
SpyM3_0815,1990,2465,2703,2707,3756,3884,1428,2357,2162
SpyM3_0816,1048,1320,1162,1378,1915,2297,723,1401,1004
SpyM3_0818,6186,9215,8689,5532,7232,8450,5743,10455,7984
SpyM3_0819,87,125,99,68,86,94,81,130,138
SpyM3_0820,17579,25410,21627,14050,17716,17696,17502,33894,24639
SpyM3_0821,7031,10113,7408,3578,4807,3997,6560,13877,10525
SpyM3_0822,1085,1413,1404,843,1045,1136,1392,2577,2342
SpyM3_0823,199,299,308,171,216,231,343,482,571
SpyM3_0824,230,311,289,156,203,272,324,565,511
SpyM3_0825,1191,1821,1725,1012,1231,1356,1752,2761,2544
SpyM3_0826,1562,2014,1876,1061,1475,1509,1752,3287,2441
SpyM3_0827,1738,2403,2194,1241,1465,1698,2212,3799,2753
SpyM3_0828,99,147,132,100,106,107,138,201,275
SpyM3_0829,51,78,99,52,84,84,76,93,127
SpyM3_0830,132,237,236,147,175,194,196,323,338
SpyM3_0831,309,410,430,299,389,387,358,565,558
SpyM3_0832,171,253,218,194,237,221,233,359,344
SpyM3_0833,357,506,482,368,475,525,436,809,634
SpyM3_0834,546,778,801,591,725,750,661,1168,1095
SpyM3_0835,256,372,327,267,325,385,323,592,508
SpyM3_0836,839,1237,1153,902,1090,1061,1043,1876,1719
SpyM3_0837,4966,6524,6169,8764,11145,12690,2364,4344,3113
SpyM3_0838,4790,6683,8816,9846,12988,13598,2718,3630,3855
SpyM3_0839,1153,1708,1796,1444,1903,2051,1237,1818,1797
SpyM3_0840,1188,1716,1910,1167,1364,1627,1379,2049,2107
SpyM3_0841,21055,29205,27307,19982,23629,28045,20920,38150,32540
SpyM3_0842,3932,5262,5578,3537,3971,4645,4069,6508,5427
SpyM3_0843,6032,8236,8399,7016,8506,9764,5687,10081,8963
SpyM3_0844,2061,2681,2447,1786,2204,2513,2184,3956,3021
SpyM3_0845,19360,23388,23189,19192,21208,23012,20097,36067,30655
SpyM3_0846,611,1223,1055,687,945,1192,873,1417,1238
SpyM3_0847,6692,10509,9593,6727,8735,9681,8386,12660,10779
SpyM3_0848,681,994,996,426,601,605,1201,1707,1741
SpyM3_0849,1580,2303,2492,1003,1161,1344,2865,3871,4532
SpyM3_0850,1335,1907,1868,1055,1404,1730,2098,2960,2357
SpyM3_0851,4103,6545,6144,3440,5018,5483,2894,4462,3743
SpyM3_0852,19199,19745,22960,15615,13437,14710,15058,31187,27153
SpyM3_0853,7987,7665,8568,5967,4802,3837,5022,10676,9361
SpyM3_0854,6467,5321,6650,6194,4553,4315,2958,9980,7191
SpyM3_0855,4451,3622,5069,4298,3064,3092,2178,6290,5706
SpyM3_0856,6388,5817,7700,6318,4767,4798,3319,9246,7611
SpyM3_0857,1415,1557,1749,1519,1380,1177,751,2234,1542
SpyM3_0858,6540,7643,9310,6631,5144,5596,4402,9806,8553
SpyM3_0859,5349,7309,8237,5393,4652,4881,4380,8301,7290
SpyM3_0860,3141,4826,4873,3162,2663,2886,3141,4844,4204
SpyM3_0861,3049,3772,3812,3124,4157,4383,2751,4659,3905
SpyM3_0862,2767,3578,4378,3186,3943,4295,2987,4147,4194
SpyM3_0863,2377,3048,3678,2716,3158,3518,2544,3915,3833
SpyM3_0864,22228,31113,30481,28682,33837,39285,24113,39134,35645
SpyM3_0865,10019,13682,12724,10524,11735,11965,9225,16835,14827
SpyM3_0866,14641,19265,18661,15758,18471,17722,14285,23276,22873
SpyM3_0867,17819,25051,24603,18888,21293,23670,18948,30913,28968
SpyM3_0868,45446,69958,64866,48924,55307,61769,48376,75534,72533
SpyM3_0869,9542,13986,15047,8526,9317,10675,10953,15526,14980
SpyM3_0870,2076,3926,3694,1848,1881,2128,3061,3790,3556
SpyM3_0871,1205,1879,2089,2809,3096,3517,1086,1372,1453
SpyM3_0873,5628,6880,6566,4383,4662,5276,8231,13062,9900
SpyM3_0874,4427,5671,5102,3443,3620,4170,6055,10128,7309
SpyM3_0875,41152,51934,48186,41876,49602,56092,42800,72233,55633
SpyM3_0876,4374,5598,5631,3635,4405,4449,5785,10865,7803
