,WT-W Total Reads,WT-X Total Reads,WT-Y Total Reads,dLiaF-W Total Reads,dLiaF-X Total Reads,dLiaF-Y Total Reads,dLiaR-W Total Reads,dLiaR-Y Total Reads,dLiaR-Z Total Reads
SpyM3_1327,5,5,10,11,5,5,8,20,13
SpyM3_1328,6,8,11,4,2,5,3,6,1
SpyM3_1329,4,1,0,3,3,1,1,2,6
SpyM3_1330,222,303,232,197,250,317,150,200,161
SpyM3_1331,133,202,151,113,155,165,99,174,119
SpyM3_1332,36,63,47,33,50,43,30,45,25
SpyM3_1333,70,132,95,62,81,68,61,85,57
SpyM3_1334,37,58,48,29,40,33,41,36,30
SpyM3_1335,96,106,74,66,120,97,87,97,99
SpyM3_1336,61,100,66,55,72,85,57,75,46
SpyM3_1337,103,139,102,67,91,83,62,92,94
SpyM3_1338,46,68,71,36,46,61,46,81,45
SpyM3_1339,248,416,361,230,289,315,213,334,226
SpyM3_1340,145,218,245,139,203,164,109,163,148
SpyM3_1341,146,186,159,129,139,164,88,158,109
SpyM3_1342,69,128,93,60,82,104,53,86,62
SpyM3_1343,313,476,316,249,331,416,222,375,220
SpyM3_1344,230,392,301,182,254,269,172,271,210
SpyM3_1345,114,151,138,67,131,153,74,144,71
SpyM3_1346,118,169,155,99,131,130,98,138,106
SpyM3_1347,0,0,2,0,0,0,0,1,1
SpyM3_1348,46,86,80,53,57,76,51,77,75
SpyM3_1349,33,55,30,23,32,37,21,33,27
SpyM3_1350,1643,2405,2205,1605,1820,2215,1633,3068,2310
SpyM3_1351,749,885,825,677,715,826,830,1237,1101
SpyM3_1352,155,250,236,150,151,197,222,407,297
SpyM3_1353,1446,1791,1843,1369,1369,1768,2068,3488,2711
SpyM3_1354,2682,3152,3702,3043,3260,4084,3625,5258,5013
SpyM3_1355,2691,3210,3736,2648,2770,3307,3268,4552,4332
SpyM3_1356,10617,13640,13826,12612,14197,15656,8831,14911,11805
SpyM3_1357,70,74,92,90,83,117,78,105,82
SpyM3_1359,130,167,153,61,115,133,202,393,298
SpyM3_1360,21,28,36,20,17,23,30,58,44
SpyM3_1361,207,252,244,144,176,220,349,503,443
SpyM3_1362,4327,6394,6596,3248,3381,4005,4009,6994,5099
SpyM3_1363,47816,69043,67739,34615,43485,42238,52661,93055,88457
SpyM3_1364,7275,10002,9983,9067,10759,12806,9152,14939,12406
SpyM3_1365,21755,26212,26290,27202,32378,34443,24475,39376,34256
SpyM3_1366,3547,4783,4580,5815,7921,8103,11,15,16
SpyM3_1367,3609,4709,4451,5738,6988,7978,2272,3803,3150
SpyM3_1368,1483,1940,2054,1,9,17,951,1711,1378
SpyM3_1369,44998,58343,59834,50405,59540,67511,39188,64419,57235
SpyM3_1370,14830,21323,21657,17508,22549,23267,12843,23322,18713
SpyM3_1371,6965,9438,9410,5950,7153,7794,6863,11859,9811
SpyM3_1372,6908,10089,9875,5580,6923,7689,7533,12659,11111
SpyM3_1373,5195,7020,6829,4415,5283,5862,5650,9533,8134
SpyM3_1374,10674,16538,16459,8880,10324,13483,13168,22597,21431
SpyM3_1375,12931,16623,16160,10976,12599,13598,13813,23928,19837
SpyM3_1376,55495,76930,77764,53192,57463,68094,54962,87595,81173
SpyM3_1377,553,762,806,598,715,765,508,736,662
SpyM3_1378,1349,1764,1739,1732,2160,2319,937,1636,1393
SpyM3_1379,628,783,770,774,1053,1047,443,786,632
SpyM3_1380,762,920,974,968,1123,1210,556,969,786
SpyM3_1381,145,226,171,190,285,254,90,183,157
SpyM3_1382,477,544,574,627,786,816,322,552,467
SpyM3_1383,1312,1706,1813,1451,1723,1884,1080,1635,1539
SpyM3_1384,1569,2142,2076,2018,2497,2582,1421,2915,2116
SpyM3_1385,22284,30310,29445,27053,31305,36349,20026,36715,29288
SpyM3_1386,12833,16165,17028,11932,14338,14279,12246,21658,18755
SpyM3_1387,4393,4799,5697,4654,4517,4702,4311,6253,6018
SpyM3_1388,1075,1379,1497,1021,1072,1213,1271,1808,1722
SpyM3_1389,5026,6490,6755,6602,7124,8102,4902,8544,7637
SpyM3_1390,31138,39925,38780,39281,47082,52761,28084,47905,40694
SpyM3_1391,46622,56738,50292,71768,86015,89579,24804,46596,32054
SpyM3_1392,9834,13220,12017,9209,11807,12705,8677,15233,12064
SpyM3_1393,11704,15007,14049,10787,13668,13696,9478,17884,14686
SpyM3_1394,16962,20895,24107,17694,20406,21694,15416,26493,23608
SpyM3_1395,10476,13275,13554,10204,12223,13299,8661,15817,13144
SpyM3_1396,643,1016,985,582,779,966,690,1045,971
