,WT,T287A,D53E
HSISS4_00552,7071,2895,62805
HSISS4_00553,32684,28036,43523
HSISS4_00554,20323,14357,10999
HSISS4_00555,12882,12340,5953
HSISS4_00556,17019,17266,8016
HSISS4_00557,22759,23289,10780
HSISS4_00558,26231,30769,13479
HSISS4_00559,25066,27302,14876
HSISS4_00560,8261,7111,5700
HSISS4_00561,3411,2520,1431
HSISS4_00562,14237,14589,10565
HSISS4_00563,5471,5966,3223
HSISS4_00564,10931,10559,6443
HSISS4_00565,21411,21760,15142
HSISS4_00566,1932,1537,631
HSISS4_00567,7881,7827,2586
HSISS4_00568,5635,6525,1689
HSISS4_00569,10024,9776,8315
HSISS4_00570,190,66,20
HSISS4_00571,4631,2739,5442
HSISS4_00572,8055,5016,11422
HSISS4_00573,251,76,87
HSISS4_00574,324,105,102
HSISS4_00575,515,118,158
HSISS4_00576,242,73,53
HSISS4_00577,1007,643,1409
HSISS4_00578,752,713,1027
HSISS4_00579,1090,804,1232
HSISS4_00580,6829,5496,6288
HSISS4_00581,650,507,553
HSISS4_00582,3117,1987,2975
HSISS4_00583,3133,1418,3087
HSISS4_00584,2503,1680,3337
HSISS4_00585,13018,15551,26449
HSISS4_00586,895,305,1139
HSISS4_00587,1061,747,1722
HSISS4_00588,3050,1610,2842
HSISS4_00589,5429,5081,5315
HSISS4_00590,6548,7501,17391
HSISS4_00591,4231,2943,11275
HSISS4_00592,4000,2818,1924
HSISS4_00593,3078,2469,1554
HSISS4_00594,5307,4234,3521
HSISS4_00595,3772,2629,2501
HSISS4_00596,2168,530,3830
HSISS4_00597,1852,850,2080
HSISS4_00598,13038,17082,17453
HSISS4_00599,11678,10858,20877
HSISS4_00600,2668,1786,2022
HSISS4_00601,2326,1774,1999
HSISS4_00602,2553,2010,2316
HSISS4_00603,3388,3256,4661
HSISS4_00604,1846,2103,5267
HSISS4_00605,4279,3117,12021
HSISS4_00606,545,158,781
HSISS4_00607,1460,2333,12311
HSISS4_00608,803,651,1113
HSISS4_00609,832,671,1007
HSISS4_00610,884,751,895
HSISS4_00611,853,641,673
HSISS4_00612,2098,1040,1755
HSISS4_00613,1956,1420,1539
HSISS4_00614,6331,5415,6314
HSISS4_00615,1651,736,725
HSISS4_00616,7009,9047,11013
HSISS4_00617,9000,8986,12880
HSISS4_00618,3164,1103,9346
HSISS4_00619,13048,12640,6848
HSISS4_00620,4205,4555,3178
HSISS4_00621,4050,3176,21325
HSISS4_00622,10383,10144,9680
HSISS4_00623,6680,6015,6064
HSISS4_00624,7164,5322,10507
HSISS4_00625,13367,8493,23652
HSISS4_00626,15859,8984,19312
HSISS4_00627,20619,18548,11666
HSISS4_00628,32370,30779,21232
HSISS4_00629,2286,2654,1816
HSISS4_00630,1721,766,904
HSISS4_00631,1148,774,1075
HSISS4_00632,2678,3305,15826
HSISS4_00633,2993,2493,5912
HSISS4_00634,14629,12969,23009
HSISS4_00635,902,639,1909
HSISS4_00636,2798,1961,3181
HSISS4_00637,7155,2023,6747
HSISS4_00638,1314,502,992
HSISS4_00639,60189,71403,43231
HSISS4_00640,61049,49894,36354
HSISS4_00641,25396,27949,17819
HSISS4_00642,16325,12519,26825
HSISS4_00643,3521,3362,3784
HSISS4_00644,7571,7129,7817
HSISS4_00645,4346,4032,3906
HSISS4_00646,20669,27131,35758
HSISS4_00647,747,617,536
HSISS4_00648,1859,1150,1498
HSISS4_00649,2034,1183,1576
HSISS4_00650,4129,3227,4259
HSISS4_00651,3583,3108,3642
HSISS4_00652,734,724,675
HSISS4_00653,15058,13320,5839
HSISS4_00654,2863,1082,880
HSISS4_00655,1936,800,960
HSISS4_00656,3253,1073,1714
HSISS4_00657,4288,1301,3217
HSISS4_00658,1727,1527,1063
HSISS4_00659,1802,1564,1106
HSISS4_00660,15161,15970,12340
HSISS4_00661,3440,2380,2032
HSISS4_00662,9923,6521,5948
HSISS4_00663,1335,753,733
HSISS4_00664,15192,16937,30993
HSISS4_00665,24505,34175,46970
HSISS4_00666,9269,7174,23595
HSISS4_00667,6433,4208,22044
HSISS4_00668,5442,2160,20133
HSISS4_00669,6061,3137,19717
