,Raw Counts WT  Replicate 1,Raw Counts WT  Replicate 2,Raw Counts 125g calp Replicate 1,Raw Counts 125g calp Replicate 2
SpyM3_t44,1,5,0,2
SpyM3_0220,33,39,11,29
SpyM3_0221,333,323,50,236
SpyM3_0222,1198,1173,149,815
SpyM3_0223,5397,5983,1130,5680
SpyM3_0224,12548,14208,3177,15235
SpyM3_0225,2587,3025,506,2987
SpyM3_0226,5714,6221,1531,6487
SpyM3_0227,3713,3335,779,4529
SpyM3_0228,1055,1179,245,984
SpyM3_0229,1328,1233,228,1243
SpyM3_0230,1892,2258,376,1701
SpyM3_0231,13539,17138,2557,12452
SpyM3_0232,12374,17098,2182,8416
SpyM3_0235,1309,1545,169,565
SpyM3_0236,1297,1978,239,1457
SpyM3_0237,1791,2429,283,1916
SpyM3_0238,2163,2145,417,2594
SpyM3_0239,3931,4093,725,3844
SpyM3_0240,2571,2040,383,2357
SpyM3_0241,22979,18482,3266,23400
SpyM3_0242,14943,18615,3173,14253
SpyM3_0243,9692,6100,1958,14283
SpyM3_0244,12208,17886,2315,8335
SpyM3_0245,3151,5055,668,3222
SpyM3_0246,2143,2179,240,1614
SpyM3_0247,5063,5678,873,4381
SpyM3_0248,3518,3946,627,2846
SpyM3_0249,7117,8195,1365,6760
SpyM3_0250,4246,5510,879,5131
SpyM3_0251,13170,13473,2255,12691
SpyM3_0252,13456,13809,2685,13093
SpyM3_0253,1773,1846,362,1977
SpyM3_0254,14220,17954,2674,17438
SpyM3_0255,2634,2826,464,3018
SpyM3_0256,9025,8681,1204,8589
SpyM3_0257,1874,1913,262,1249
SpyM3_0258,1399,1835,209,1139
SpyM3_0259,4516,6519,961,4046
SpyM3_0260,2049,3858,797,1805
SpyM3_0261,3770,5126,969,2965
SpyM3_0262,2334,3254,574,2107
SpyM3_0263,3947,4033,928,4087
SpyM3_0264,1808,2076,350,1691
SpyM3_0265,2254,2097,367,2581
SpyM3_0266,2015,1752,261,1941
SpyM3_0267,4977,5290,939,4039
SpyM3_0268,2033,1979,413,2108
SpyM3_0269,3345,3477,696,3149
SpyM3_0270,1312,1294,169,1284
SpyM3_0271,1937,2018,298,2411
SpyM3_0272,128,164,17,80
SpyM3_0273,1014,1457,130,1145
SpyM3_0274,5987,5927,857,4063
SpyM3_0275,2253,2114,345,1485
SpyM3_0276,8215,10013,1509,8188
SpyM3_0277,10023,9952,1490,7628
SpyM3_0278,19966,17839,2447,17241
SpyM3_0279,1890,1788,507,1661
SpyM3_0280,618,826,62,293
SpyM3_0281,414,508,35,217
SpyM3_0282,888,1022,86,431
SpyM3_0283,537,822,39,263
SpyM3_0284,8664,10034,1353,6507
SpyM3_0285,4767,4715,867,5079
SpyM3_0286,5455,4453,826,5485
SpyM3_0287,19561,17476,3129,17544
SpyM3_0288,751,876,117,784
SpyM3_0289,2948,3145,613,2562
SpyM3_0290,3566,3257,463,3430
SpyM3_0291,3483,3342,533,2835
SpyM3_0292,5823,6967,1031,5596
SpyM3_0293,1484,1493,215,1594
SpyM3_0294,2414,2163,334,1655
SpyM3_0295,666,534,93,632
SpyM3_0296,957,1220,319,1120
SpyM3_0297,563,527,70,246
SpyM3_0299,481,882,94,338
SpyM3_0300,11242,13031,2075,8003
SpyM3_0301,379,493,306,1477
SpyM3_0302,306,335,204,1146
SpyM3_0303,1089,1232,734,2921
SpyM3_0306,4825,3858,550,5012
SpyM3_0307,4176,1726,717,4623
SpyM3_0308,6228,5284,979,6358
SpyM3_0309,3179,4455,705,2676
SpyM3_0310,5503,5406,792,5313
SpyM3_0311,11460,12203,1641,5332
SpyM3_0312,17158,16414,3148,15715
SpyM3_0313,9572,10678,1693,7674
SpyM3_0314,7402,6191,1430,5599
SpyM3_0315,14892,14313,2777,10455
SpyM3_0316,6692,6475,1623,4635
SpyM3_0317,11349,9474,2265,11402
SpyM3_0318,114377,125014,14285,88656
SpyM3_0319,4325,5933,728,4331
SpyM3_0320,7937,9930,1326,7082
SpyM3_0321,5726,6070,1180,6171
SpyM3_0322,6375,6301,892,4569
SpyM3_0323,796,828,124,492
SpyM3_0324,42108,34550,4942,49221
SpyM3_0325,9896,11550,2169,8797
SpyM3_0326,8319,9028,1370,7288
SpyM3_0327,13377,17439,2422,10822
SpyM3_0328,2001,2143,396,2146
SpyM3_0329,1400,1940,312,1593
SpyM3_0330,435,516,76,617
SpyM3_0331,11888,6745,2311,14871
SpyM3_0333,4186,4462,804,5271
SpyM3_0334,1102,1314,286,1280
SpyM3_0335,6801,7953,1475,7221
SpyM3_0336,2509,2831,571,2610
SpyM3_0337,8476,10944,1978,8185
SpyM3_0338,3355,3631,655,3101
SpyM3_0339,288,348,45,252
SpyM3_0340,240,108,15,261
SpyM3_0341,109,92,11,75
SpyM3_0342,118,100,14,98
SpyM3_0343,240,334,39,238
SpyM3_0344,90,121,21,117
SpyM3_0345,6,4,2,26
SpyM3_0346,513,796,124,512
SpyM3_0347,1089,1249,281,1113
SpyM3_0348,766,931,167,720
SpyM3_0349,5907,7374,1300,4765
SpyM3_0350,5674,6052,885,6134
SpyM3_0351,2668,2366,380,2448
SpyM3_0352,5950,4488,1244,4282
SpyM3_0353,4423,2661,945,3159
SpyM3_0354,1615,860,205,1203
SpyM3_0355,4775,6052,844,5286
SpyM3_0356,2357,2711,598,1991
SpyM3_0357,1257,1324,217,1046
SpyM3_0358,1420,1665,233,1534
SpyM3_0359,1878,2863,357,1657
SpyM3_0360,7334,9818,1279,5401
SpyM3_0361,8325,12657,1401,6439
SpyM3_0362,22918,24192,3054,15927
SpyM3_0363,7829,7841,1453,7897
SpyM3_0364,6841,6357,1084,6583
SpyM3_0366,497,453,203,818
SpyM3_0367,294,306,187,609
SpyM3_0368,341,381,175,666
SpyM3_0369,152,182,34,149
SpyM3_0370,243,250,29,219
SpyM3_0371,3157,3587,516,2618
SpyM3_0372,7451,7135,955,5030
SpyM3_0373,16673,18153,2243,12640
SpyM3_0374,8449,9646,1267,6259
SpyM3_0375,1964,2040,355,2438
SpyM3_0376,14988,16340,3125,16586
SpyM3_0377,408,478,36,263
SpyM3_0378,90,74,7,56
SpyM3_0379,252,228,21,183
SpyM3_0380,236,206,46,157
SpyM3_0381,495,491,69,323
SpyM3_0382,743,791,105,489
SpyM3_0383,966,1140,180,710
SpyM3_0384,732,611,95,532
SpyM3_0385,677,638,83,471
SpyM3_0386,778,647,118,534
SpyM3_0387,1,0,0,2
SpyM3_0388,3,2,0,7
SpyM3_0389,17,28,3,32
SpyM3_0390,5,0,0,2
SpyM3_0392,2,5,2,7
SpyM3_0391,4,0,0,1
SpyM3_0393,666,916,186,652
SpyM3_0394,852,1379,193,799
SpyM3_0395,1,0,0,0
SpyM3_0396,2,9,0,2
SpyM3_0397,34,55,5,53
SpyM3_0398,231,138,22,180
SpyM3_0399,5659,5907,1016,5039
SpyM3_0400,7470,10238,1686,6790
SpyM3_0401,9501,12236,2239,7514
SpyM3_0402,783,1474,75,565
SpyM3_0403,2571,1403,483,1935
SpyM3_0404,8865,4889,2227,6838
SpyM3_0405,5811,4179,1123,4142
SpyM3_0406,640,700,141,1024
SpyM3_0407,787,934,185,1052
SpyM3_0408,11,12,2,14
SpyM3_0409,5114,6453,855,4741
SpyM3_0410,1716,2206,304,1211
SpyM3_0411,2475,3827,534,2314
SpyM3_0412,6439,7649,1196,5309
SpyM3_0413,13770,10786,1672,11124
SpyM3_0414,6574,5830,668,4764
SpyM3_0415,8245,9324,1282,6741
SpyM3_0416,321,323,45,338
SpyM3_0417,1526,1764,280,1837
SpyM3_0418,4092,4711,884,4424
SpyM3_0419,1186,1297,176,935
SpyM3_0420,7947,7269,1354,6863
SpyM3_0421,3846,3986,601,3409
SpyM3_0422,389,808,79,255
SpyM3_0423,701,1334,125,496
SpyM3_0424,117,241,47,111
SpyM3_0425,1991,1484,431,2276
SpyM3_0426,340,360,102,490
SpyM3_0427,442,472,132,457
SpyM3_0428,3204,3839,932,3160
SpyM3_0429,4572,4474,1058,4592
SpyM3_0430,5094,5610,952,4233
SpyM3_0431,3940,3700,608,4106
SpyM3_0432,289792,296911,64050,259244
SpyM3_0433,12763,18692,3185,14714
SpyM3_0434,3262,3947,875,3722
SpyM3_0435,4905,6339,1209,5367
SpyM3_0436,2815,4178,701,3036
SpyM3_0437,114,192,40,101
SpyM3_0438,4025,4176,803,4402
SpyM3_0439,912,1012,207,1087
predicted RNA,3166,2132,215,2494
SpyM3_0440,18358,17120,3219,15479
SpyM3_0441,2221,1906,280,2147
SpyM3_0442,57,55,12,47
SpyM3_0443,105,98,16,76
SpyM3_0444,71,114,8,75
SpyM3_0445,63,43,12,42
SpyM3_0446,182,222,41,170
SpyM3_0447,82,62,20,67
SpyM3_0448,187,155,31,202
SpyM3_0449,171,177,25,199
SpyM3_0450,283,316,35,258
SpyM3_0451,137,219,38,108
SpyM3_0452,752,674,70,562
SpyM3_0454,8198,12102,1572,6846
SpyM3_0455,3199,3793,475,3089
SpyM3_0456,6628,10304,1209,6305
SpyM3_0457,3152,2879,353,2511
SpyM3_0458,19692,42394,3606,16139
SpyM3_0459,5402,5402,916,4340
SpyM3_0460,13493,12601,2041,11786
