,sczA_Ctrl1,sczA_Ctrl2,sczA_Ctrl3,sczA_Ctrl4
CHF17_RS10010,132,148,115,119
CHF17_RS10015,5373,3530,2620,5770
CHF17_RS10020,4973,5095,4271,7080
CHF17_RS10025,1306,1319,1227,704
CHF17_RS10030,129,151,133,58
CHF17_RS10035,66,84,59,56
CHF17_RS10040,285,328,261,130
CHF17_RS10045,1905,1687,1621,957
CHF17_RS10050,2507,2093,2066,1120
CHF17_RS10055,92,108,103,40
CHF17_RS10060,135,156,151,87
CHF17_RS10065,87,121,83,52
CHF17_RS10070,13313,8788,11560,6191
CHF17_RS10075,25431,16720,24868,9110
CHF17_RS10080,22,21,36,12
CHF17_RS10085,31,30,31,27
CHF17_RS10090,109,98,70,92
CHF17_RS10095,239,213,200,240
CHF17_RS10100,64,54,63,102
CHF17_RS10105,56,47,58,48
CHF17_RS10110,724,788,776,642
CHF17_RS10115,398,568,374,302
CHF17_RS10120,37,47,47,37
CHF17_RS10125,67,66,60,44
CHF17_RS10130,48,55,46,27
CHF17_RS10135,70,70,63,35
CHF17_RS10140,2935,2713,3244,1153
CHF17_RS10145,2519,2185,2229,966
CHF17_RS10150,8046,6555,6032,3339
CHF17_RS10155,3308,2100,2011,1318
CHF17_RS10160,3923,2790,2544,1128
CHF17_RS10165,1941,1256,1281,614
CHF17_RS10170,33875,28930,30064,22007
CHF17_RS10175,623,699,434,461
CHF17_RS10180,1056,1257,876,651
CHF17_RS10185,223,263,197,110
CHF17_RS10190,2222,3343,2015,1233
CHF17_RS10195,3065,2407,3359,1278
CHF17_RS10200,2957,2160,2762,2077
CHF17_RS10205,235,148,162,186
CHF17_RS10210,250,187,267,105
CHF17_RS10215,283,243,280,235
CHF17_RS10220,758,439,317,829
CHF17_RS10225,2681,2023,2205,1727
CHF17_RS10230,9239,6648,7073,6235
CHF17_RS10235,1083,561,708,918
CHF17_RS10240,2230,1377,1623,1591
CHF17_RS10245,1010,657,811,686
CHF17_RS10250,2110,1397,1628,752
CHF17_RS10255,3942,2505,3215,2112
CHF17_RS10260,1093,697,775,549
CHF17_RS10265,1364,786,879,980
CHF17_RS10270,661,348,388,537
CHF17_RS10275,2766,2025,2304,1203
CHF17_RS10280,3150,2418,2894,2120
CHF17_RS10285,5288,3441,4184,3156
CHF17_RS10290,558,342,437,212
CHF17_RS10295,5471,3353,4337,2677
CHF17_RS10300,872,832,695,999
CHF17_RS10305,507,507,429,197
CHF17_RS10310,428,247,229,497
CHF17_RS10315,3803,2751,2937,4067
CHF17_RS10320,4068,3218,3915,2252
CHF17_RS10325,4052,2878,3770,3201
CHF17_RS10330,8718,6150,7907,6041
CHF17_RS10335,2,9,8,4
CHF17_RS10340,1871,1123,1314,1318
CHF17_RS10345,12854,11463,7809,6134
CHF17_RS10350,828,1004,811,627
CHF17_RS10355,914,932,976,742
CHF17_RS10360,765,726,743,723
CHF17_RS10365,746,744,556,450
CHF17_RS10370,2271,2149,1764,1861
CHF17_RS10375,5532,6838,5767,2229
CHF17_RS10380,2868,1971,2419,1280
CHF17_RS10385,6524,4678,5236,3060
CHF17_RS10390,3915,2852,3038,1424
CHF17_RS10395,42686,44501,41656,36778
CHF17_RS10400,850,784,869,800
CHF17_RS10405,57496,840,59157,82652
CHF17_RS10410,6614,2398,6133,8950
CHF17_RS10415,12872,10831,10328,7453
CHF17_RS10420,21089,18630,17708,9761
CHF17_RS10425,10517,10485,8948,11092
CHF17_RS10430,10213,15169,6964,7991
CHF17_RS10435,3785,1885,2074,6946
CHF17_RS10440,7793,4013,3314,9102
CHF17_RS10445,29476,25672,22994,18341
CHF17_RS10450,3764,2812,2838,2156
CHF17_RS10455,15863,13794,12432,9200
CHF17_RS10460,5849,5804,5653,4843
CHF17_RS10465,9304,7334,8278,9407
CHF17_RS10470,18705,15246,16962,16892
CHF17_RS10475,8961,7552,8609,10696
CHF17_RS10480,1321,1129,1036,927
CHF17_RS10485,681,538,460,462
CHF17_RS10490,30803,20772,26019,24014
CHF17_RS10495,4041,2425,3034,3653
CHF17_RS10500,3788,4235,2785,3296
CHF17_RS10505,7328,8067,5568,5628
CHF17_RS10510,945,791,733,729
CHF17_RS10515,166,113,132,99
CHF17_RS10520,2233,2209,2152,1177
CHF17_RS10525,692,344,578,1490
CHF17_RS10530,4989,2992,5063,3358
CHF17_RS10535,8322,4929,8097,6864
CHF17_RS10540,1288,716,1086,1331
CHF17_RS10545,11823,9184,15012,14342
CHF17_RS10550,31106,27756,26691,20109
CHF17_RS10555,109,78,61,155
CHF17_RS10560,24105,17817,14854,19949
CHF17_RS10565,47108,37738,34019,24385
CHF17_RS10570,20748,15389,12524,10796
CHF17_RS10575,74060,63612,53336,25267
CHF17_RS10580,9016,5700,7784,9801
CHF17_RS10585,2063,1908,2227,2070
CHF17_RS10590,2824,2530,2193,2486
CHF17_RS10595,3773,3440,3120,2497
CHF17_RS10600,7954,6697,5702,4948
CHF17_RS10605,11202,9006,9141,6948
CHF17_RS10610,129,66,50,61
CHF17_RS10615,15177,8687,5188,8450
CHF17_RS10620,12527,13737,9446,14490
CHF17_RS10625,3103,2587,2106,3072
CHF17_RS10630,41974,33116,34679,27985
CHF17_RS10635,4629,3525,3221,3035
CHF17_RS10640,5641,6095,4179,4073
CHF17_RS10645,23451,22862,18337,16209
CHF17_RS10650,55656,51261,48997,48549
CHF17_RS10655,22480,18219,19979,15243
CHF17_RS10660,9921,8888,3958,5350
CHF17_RS10665,33985,37763,18190,19432
CHF17_RS10670,21582,30408,15737,13915
CHF17_RS10675,3344,4032,3370,2032
CHF17_RS10680,2480,1718,1904,1200
CHF17_RS10685,9214,6869,7501,4706
CHF17_RS10690,25,20,20,19
CHF17_RS10695,358,232,234,302
CHF17_RS10700,1273,914,1127,852
CHF17_RS10705,644,473,566,373
CHF17_RS10710,163,98,121,102
CHF17_RS10715,102,58,77,64
CHF17_RS10720,32771,21831,24014,18093
CHF17_RS10725,170,73,71,47
CHF17_RS10730,2988,1532,1722,1463
CHF17_RS10735,7922,4956,5513,2992
CHF17_RS10740,201,191,166,127
CHF17_RS10745,35,49,54,24
CHF17_RS10750,31,45,31,21
CHF17_RS10755,118,127,97,47
CHF17_RS10760,158,163,149,64
CHF17_RS10765,6294,3844,4834,5836
CHF17_RS10770,23315,16550,20147,16376
CHF17_RS10775,52858,46875,37339,30183
CHF17_RS10780,22131,13899,11289,13113
CHF17_RS10785,206,214,149,93
CHF17_RS10790,1131,1376,1075,786
CHF17_RS10795,1365,577,647,293
CHF17_RS10800,319,171,177,117
CHF17_RS10805,936,608,624,317
CHF17_RS10810,38,33,30,31
CHF17_RS10815,30,33,26,32
CHF17_RS10820,20,14,23,14
CHF17_RS10825,75,63,49,57
CHF17_RS10830,106,93,102,102
CHF17_RS10835,27,29,24,20
CHF17_RS10840,427,445,377,293
CHF17_RS10845,483,461,494,425
CHF17_RS10850,114,129,101,96
CHF17_RS10855,142,145,124,83
CHF17_RS10860,77,74,80,39
CHF17_RS10865,124,125,119,74
CHF17_RS10870,50,58,34,19
CHF17_RS10875,54,51,39,38
CHF17_RS10880,21,34,25,23
CHF17_RS10885,16,19,23,29
CHF17_RS10890,13,12,15,19
CHF17_RS10895,14,6,10,7
CHF17_RS10900,3472,1671,1814,1998
CHF17_RS10905,6903,4936,5217,3907
CHF17_RS10910,5381,4145,4094,2639
CHF17_RS10915,57540,89978,53572,34880
CHF17_RS10920,2287,1434,1502,2464
CHF17_RS10925,16756,12222,14335,13229
CHF17_RS10930,5266,2923,3124,6785
CHF17_RS10935,35829,23971,26931,18618
CHF17_RS10940,13123,10516,10373,9883
CHF17_RS10945,36202,36538,28892,22462
CHF17_RS10950,35497,29124,24065,41028
CHF17_RS10955,3000,1907,2014,1755
CHF17_RS10960,4941,3574,3716,3182
CHF17_RS10965,3726,7012,3815,3216
CHF17_RS10970,1335,1839,973,649
CHF17_RS10975,5007,4651,3956,3456
CHF17_RS10980,5147,4077,3484,4423
CHF17_RS10985,15601,11456,10421,11242
CHF17_RS10990,12869,10142,10419,6653
CHF17_RS10995,15374,12015,11858,8078
CHF17_RS11000,10658,7535,7926,5242
CHF17_RS11005,1415,662,741,823
CHF17_RS11010,14649,10653,12165,8736
CHF17_RS11015,6981,9556,5606,5018
CHF17_RS11020,1792,1784,1446,1415
CHF17_RS11025,91634,55573,73708,79189
CHF17_RS11030,5023,4117,3702,3186
CHF17_RS11035,5306,4280,4601,3308
CHF17_RS11040,773,594,521,433
CHF17_RS11045,3487,4118,3354,1491
CHF17_RS11050,644,705,503,393
CHF17_RS11055,2533,3335,2425,1385
CHF17_RS11060,1741,2678,2151,881
CHF17_RS11065,1652,2205,1684,959
CHF17_RS11070,19083,12950,14429,17914
CHF17_RS11075,1324,1152,1111,812
CHF17_RS11080,6284,5656,3932,3291
CHF17_RS11085,56068,47912,43569,34539
CHF17_RS11090,16712,15909,11900,6180
CHF17_RS11095,128,107,76,58
CHF17_RS11100,88,18,15,22
CHF17_RS11105,535,203,130,150
CHF17_RS11110,4665,1968,1738,2293
CHF17_RS11115,19910,14797,14711,15213
CHF17_RS11120,5298,4263,4459,3379
