,sczA_Ctrl1,sczA_Ctrl2,sczA_Ctrl3,sczA_Ctrl4
CHF17_RS02260,356,404,280,263
CHF17_RS02265,754,991,829,618
CHF17_RS02270,485,647,460,341
CHF17_RS02275,841,1196,737,622
CHF17_RS02280,113144,99405,100881,165765
CHF17_RS02285,2389,2056,1927,1797
CHF17_RS02290,138,142,125,81
CHF17_RS02295,22,14,16,9
CHF17_RS02300,19,16,18,12
CHF17_RS02305,10086,4992,4174,4495
CHF17_RS02310,1847,1302,1013,237013
CHF17_RS02315,2,1,2,5785
CHF17_RS02320,375,198,301,254476
CHF17_RS02325,2,0,2,7139
CHF17_RS02330,4,0,1,44
CHF17_RS02335,4126,4202,3468,3053
CHF17_RS02340,3305,2300,2185,1591
CHF17_RS02345,116884,112518,113976,84095
CHF17_RS02350,56991,42391,45902,47115
CHF17_RS02355,226219,203505,215403,193392
CHF17_RS02360,41528,35397,36598,30649
CHF17_RS02365,43708,35893,54900,75027
CHF17_RS02370,45917,44426,68383,70026
CHF17_RS02375,31934,34814,47902,46127
CHF17_RS02380,60619,62210,84698,102777
CHF17_RS02385,29544,31196,37637,56856
CHF17_RS02390,11492,11423,14357,34787
CHF17_RS02395,53735,56530,64082,102969
CHF17_RS02400,61621,67332,66885,76306
CHF17_RS02405,42423,39576,35313,78775
CHF17_RS02410,5998,4601,4275,4596
CHF17_RS02415,29771,23262,26240,24184
CHF17_RS02420,6026,3476,2784,2441
CHF17_RS02425,8471,6999,6727,4396
CHF17_RS02430,65877,76170,75265,62685
CHF17_RS02435,47285,58446,66668,46594
CHF17_RS02440,49801,66792,73847,53134
CHF17_RS02445,1176,1253,1068,1676
CHF17_RS02450,8750,7503,7117,5009
CHF17_RS02455,4070,3206,2608,2365
CHF17_RS02460,9573,6723,8024,3039
CHF17_RS02465,6773,9367,5736,7668
CHF17_RS02470,2565,1787,1657,1677
CHF17_RS02475,8710,6792,6582,5516
CHF17_RS02480,26597,21182,18243,12667
CHF17_RS02485,5195,3561,4213,2243
CHF17_RS02490,5333,2948,3395,2850
CHF17_RS02495,10175,9846,7466,4161
CHF17_RS02500,1409,1851,1550,1288
CHF17_RS02505,3063,2125,1801,1565
CHF17_RS02510,5362,3988,4071,2434
CHF17_RS02515,15720,13925,12163,9036
CHF17_RS02520,14105,11483,11447,10710
CHF17_RS02525,836,652,643,1401
CHF17_RS02530,3175,3484,2676,2963
CHF17_RS02535,11706,15286,14081,11548
CHF17_RS02540,2464,2908,2996,2399
CHF17_RS02545,2358,2864,3136,2356
CHF17_RS02550,23438,29032,27165,25114
CHF17_RS02555,5453,7266,4879,4101
CHF17_RS02560,3356,3092,3021,3268
