,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count
SMU_182,184,465,728.5,238,213.5,739.5,415,428.5,577,1007.5,723,932,358,348.5,499.5,387,507.5,310
SMU_183,29,73,281,91,123.5,850.5,445,381.5,707.5,141.5,165,172.5,100.5,112,315.5,317,268.5,235
SMU_184,131.5,287,259,498.5,347,662,735,453,571.5,375,341,387.5,465.5,354,411.5,892,1021,981.5
SMU_185,29,39.5,80,70.5,72.5,137,139,139.5,120.5,96,96,104.5,99.5,84,84.5,229,213,227.5
SMU_186,630.5,591.5,795.5,605,612.5,1117,887,1186.5,1071.5,893,786,1004.5,692.5,617.5,917,1132,1331,1211
SMU_187c,667.5,732,1077.5,1089.5,810.5,1284.5,1442.5,1348,1426,731,896,725,753.5,663,1033,1122.5,1047.5,988
SMU_188c,1007.5,1618,1496.5,2577.5,1356.5,1655.5,1858.5,1855,2103,1032,893,889,1568.5,1299,1565,1207.5,1371.5,1312
SMU_189,77,39,113,48,73,308,104,266,279,38,43,43,36,69,144,49,63,51
SMU_191c,179.5,260.5,329,300.5,260.5,671.5,186.5,506,511,340,260.5,242,245.5,245,468,430,464,362
SMU_193c,46.5,47.5,72,49,57,185,55.5,110,112.5,84.5,60.5,63.5,39.5,34.5,92,76.5,82.5,71.5
SMU_194c,53,81,96,97,90,141,74.5,112.5,83.5,124.5,78.5,62.5,108,54,98.5,113.5,138.5,110.5
SMU_195c,42,67,55.5,49,61.5,103.5,43.5,77.5,60.5,76.5,60.5,49.5,69.5,32.5,45,92,86,71
SMU_196c,204,331,760.5,352,468.5,2180,593.5,837.5,1506,392.5,294.5,277.5,374,379,1132,743.5,725,591
SMU_197c,259.5,524,1084,657,738,3142,910.5,1211,2042.5,596,511,446.5,630,605.5,1504,1103,1150.5,938
SMU_198c,372.5,662.5,1126,753,988,3666,797,1546.5,2233.5,686,645,576.5,751,684.5,1831.5,956.5,1046,804
SMU_199c,140.5,161,173,258.5,284.5,607,225.5,446,359.5,163,157.5,162.5,221.5,132,282.5,217,234,192.5
SMU_200c,34.5,60.5,119,49.5,96.5,410.5,118.5,253,232.5,77,48.5,61,73,60.5,178.5,111,142.5,82
SMU_201c,124.5,144,306,179,291.5,1011,186.5,546.5,547.5,377.5,247.5,262,262.5,191.5,410,301.5,294.5,239
SMU_202c,185.5,199,283,252.5,331,1047.5,233.5,574.5,620,271.5,242,171.5,259.5,202,419,213.5,343.5,242.5
SMU_204c,69,83,124.5,128.5,125,433.5,94,219,328,140,106,61,120,76.5,185.5,107.5,123,83
SMU_205c,154,243,278.5,193.5,259,574.5,203,376,470,272,167,272,246,170.5,389.5,269.5,337,268
SMU_206c,64.5,71,258,43.5,81,695.5,109,212,508.5,93.5,76.5,98.5,74.5,68.5,405,122,108,75.5
SMU_207c,118.5,170,341,178.5,348,1249.5,396,695,838.5,235.5,142.5,207.5,184.5,220.5,659,270,261,218.5
SMU_208c,223,356,825,393.5,616,2310,638.5,1250.5,1873.5,459.5,374.5,321,402.5,332.5,1196,558,558,489.5
SMU_209c,136,314.5,294.5,265.5,247,1012,241,367.5,683,169,108.5,142,191,122,481,229.5,217.5,183.5
SMU_210c,136,204.5,246.5,238,312,772,232.5,463,443.5,257.5,179,232,263.5,142.5,388,278.5,269.5,201
SMU_211c,41.5,61.5,180.5,46,87.5,671.5,134,257.5,386.5,100.5,113.5,106.5,65,54,219,87.5,87.5,80.5
SMU_212c,21,25,103,11.5,47.5,531,61,147.5,254.5,58,57.5,34.5,26.5,30.5,128,30.5,59,37.5
SMU_213c,31,30.5,92.5,21,45,355,67,116.5,169.5,56,42,30,39.5,24.5,106,37.5,64,38.5
SMU_214c,15.5,26,200.5,20.5,35.5,757.5,133,139.5,407,48.5,38,43,24,31.5,208.5,39.5,38.5,25
SMU_215c,16,22,122.5,10,54.5,531,62,127,205.5,65,41,30,40,21.5,145.5,38,41,26.5
SMU_216c,44,67,174,38,71,799,80,204,395,81,60,70,58,58,244,70,73,68
SMU_217c,156,213,245,286,350,502,243,430,468,259,232,261,340,247,378,293,322,310
SMU_218,618.5,797,873,1268.5,719,1065.5,1297,1158.5,1279,494,419.5,412.5,969.5,911.5,1074.5,542,685.5,522
SMU_219,114.5,257,410,372.5,223,601.5,820,655.5,687,352,366.5,377.5,429.5,408.5,481.5,451,447.5,445
SMU_220c,943,976,1268,1696,1456,2211,1197,2255,1640,1365,1194,1142,1562,1353,1438,1236,1242,1163
SMU_221c,537,528,937,1101,879,2338,1261,1811,1790,672,560,541,1022,845,1085,653,669,553
SMU_222c,451.5,498,651.5,648.5,556,912.5,604.5,951.5,929,377,448,432.5,524.5,366,522.5,292,327.5,277.5
SMU_223c,49.5,54.5,78.5,72,63.5,129.5,80,92,99,66.5,80,62.5,83.5,48,89,80,84.5,75
SMU_224c,312,362,503.5,717.5,411,859,500,667.5,698.5,411.5,339,282.5,472,376,464,487.5,493.5,534.5
SMU_225c,111,296.5,208.5,499,168.5,239,135.5,168,192.5,135,100,98.5,190,196,205.5,192.5,197.5,170
SMU_226c,1466,2285,1884,2133,1170,2239,2319,2329,2276,1641,1217,1008,1637,1227,1406,3905,6028,4675
SMU_227c,767,1021,1331,1490,1096,1435,1027,1253,1269,746,849,778,1298,1099,1359,683,683,597
SMU_228,563,749.5,1194,1441,1062.5,1227,854,992,1237,715.5,710.5,756,818.5,749,936.5,909,927.5,895.5
SMU_229,3497,5405.5,5089,6757,3819.5,4802,4217,5015,5020,3900.5,3588.5,3693,5284.5,4229,4919.5,5124,5672.5,5066.5
SMU_231,4467,5698,5335.5,9143.5,7405.5,6938.5,9880.5,9872,10528.5,3371.5,3730.5,3607.5,6574.5,5291.5,6701.5,1972,2149.5,2097
SMU_232,456,507,840,1129,997,1929,2286,2410,2336.5,472,560.5,575,796.5,611,815,361,365,364
SMU_233,1902,2289,3240.5,4962.5,3801.5,7176.5,6712.5,8350,8522,2100.5,2097,2211.5,3572,3570.5,3928.5,1361,1361.5,1324
SMU_234,3244.5,3382,4047.5,3908.5,3283,5767.5,3905,5400,5754.5,3315.5,3066.5,3171,3555.5,3060.5,3441,2214,2592,2357.5
SMU_235,5731.5,11832,10807.5,10044.5,9209,6705.5,4317,6995,7079.5,9400.5,9894.5,10637,10003.5,9857.5,9774,4453,4995,5016.5
SMU_236c,188.5,272,490.5,431,304.5,788,445,514.5,789,361.5,309,335.5,424.5,374,631,356.5,465.5,415.5
SMU_237c,138,224.5,723.5,511.5,359.5,1591,792.5,859.5,1347,304.5,240,264.5,546,507,1193,511,555.5,642.5
