gene,IU1824.1,IU1824.2,IU1824.4,IU9036.1,IU9036.3,IU9036.4
Inter.NC_008533.1.1704697.1,1,6,5,5,6,3
Inter.NC_008533.0.553789.8,3,1,0,0,0,0
Inter.NC_008533.1.1000029.12,4,3,1,3,0,3
Inter.NC_008533.0.1994815.51,0,0,1,1,2,1
ABJ54993.1,22,27,23,32,28,26
Inter.NC_008533.0.1122434.41,1,0,1,2,1,0
Inter.NC_008533.1.104786.22,0,1,0,0,0,0
Inter.NC_008533.1.1325079.0,1,3,2,2,0,1
Inter.NC_008533.0.126429.4,1,2,2,4,0,1
ABJ53954.1,519,571,503,607,602,482
Inter.NC_008533.1.617124.132,0,0,0,0,0,0
Inter.NC_008533.0.164957.14,0,2,0,1,0,0
ABJ55200.1,284,330,401,361,492,447
Inter.NC_008533.1.137708.164,0,0,0,0,0,0
ABJ54828.1,277,298,217,245,181,178
Inter.NC_008533.0.1750693.34,1,1,0,1,0,1
Inter.NC_008533.1.564781.24,0,0,0,0,1,0
Inter.NC_008533.0.1074071.85,0,1,0,1,0,0
Inter.NC_008533.0.1376376.86,1,0,0,1,0,0
Inter.NC_008533.0.1376376.105,0,0,0,0,0,0
ABJ54343.1,957,1022,928,820,718,580
Inter.NC_008533.0.1349452.28,2,1,2,1,4,1
Inter.NC_008533.1.1249544.2,10,13,14,13,8,9
Inter.NC_008533.1.700465.37,0,1,0,0,0,0
Inter.NC_008533.1.179084.118,1,0,0,1,0,0
Inter.NC_008533.0.1994815.105,0,0,0,0,0,0
Inter.NC_008533.0.1678487.125,0,1,0,0,1,0
Inter.NC_008533.1.564781.223,0,0,0,0,1,1
Inter.NC_008533.1.505160.12,0,1,0,0,0,0
Inter.NC_008533.1.1720577.1,18,13,10,12,17,11
Inter.NC_008533.0.1343356.26,0,1,0,0,0,0
Inter.NC_008533.1.1605802.17,1,1,1,0,0,2
Inter.NC_008533.1.160129.24,0,0,0,0,0,0
Inter.NC_008533.0.768471.7,22,25,18,20,20,15
Inter.NC_008533.0.941240.0,0,1,3,0,1,4
Inter.NC_008533.1.1403974.2,1,1,0,0,0,0
Inter.NC_008533.0.440916.2,13,26,27,13,20,15
Inter.NC_008533.1.0.34,0,0,0,1,1,1
Inter.NC_008533.1.343145.163,0,0,0,0,0,1
Inter.NC_008533.0.1850193.166,2,0,1,2,2,1
ABJ54674.1,0,1,1,0,0,0
Inter.NC_008533.0.891435.0,9,8,2,9,5,2
Inter.NC_008533.1.1472689.13,2,4,2,4,0,1
Inter.NC_008533.1.179084.226,0,1,0,2,0,0
Inter.NC_008533.0.1012976.1,0,0,0,0,2,0
