,covR_Cu1,covR_Cu2,covR_Cu3,covR_Cu4
CHF17_RS10105,79,69,72,73
CHF17_RS10110,1256,1221,1313,1078
CHF17_RS10115,718,601,736,559
CHF17_RS10120,50,47,54,45
CHF17_RS10125,112,98,96,62
CHF17_RS10130,73,58,70,55
CHF17_RS10135,112,96,91,62
CHF17_RS10140,2405,1704,1715,2624
CHF17_RS10145,1927,1565,1457,1972
CHF17_RS10150,5943,4188,4635,5107
CHF17_RS10155,2174,1146,1660,1454
CHF17_RS10160,2054,1294,1627,1468
CHF17_RS10165,1240,811,910,903
CHF17_RS10170,31738,21406,19096,18864
CHF17_RS10175,1173,824,1015,965
CHF17_RS10180,1697,1283,1566,1482
CHF17_RS10185,316,198,338,280
CHF17_RS10190,8428,4879,5778,5902
CHF17_RS10195,1893,1298,1417,1595
CHF17_RS10200,2252,1368,1717,1609
CHF17_RS10205,254,178,194,150
CHF17_RS10210,260,162,195,157
CHF17_RS10215,446,370,289,217
CHF17_RS10220,291,298,356,264
CHF17_RS10225,989,1099,1179,889
CHF17_RS10230,3330,3749,4117,2991
CHF17_RS10235,357,351,503,321
CHF17_RS10240,645,881,935,681
CHF17_RS10245,341,370,457,356
CHF17_RS10250,599,556,842,695
CHF17_RS10255,1131,1132,1293,1296
CHF17_RS10260,382,393,423,352
CHF17_RS10265,529,526,520,487
CHF17_RS10270,368,383,351,270
CHF17_RS10275,1154,1221,1181,1168
CHF17_RS10280,1188,1422,1340,1361
CHF17_RS10285,1631,2273,2094,1741
CHF17_RS10290,117,176,223,201
CHF17_RS10295,1664,1791,1962,1705
CHF17_RS10300,837,687,710,632
CHF17_RS10305,990,823,663,761
CHF17_RS10310,363,187,182,104
CHF17_RS10315,3075,2022,1699,1148
CHF17_RS10320,9075,6290,6167,6365
CHF17_RS10325,891,552,705,620
CHF17_RS10330,1729,1211,1226,1253
CHF17_RS10335,18,14,14,12
CHF17_RS10340,2650,1658,1936,1538
CHF17_RS10345,8017,5381,5680,4659
CHF17_RS10350,2989,2588,2071,1844
CHF17_RS10355,467,420,407,345
CHF17_RS10360,375,386,363,350
CHF17_RS10365,320,202,227,214
CHF17_RS10370,1252,851,800,729
CHF17_RS10375,447,376,464,487
CHF17_RS10380,1276,876,903,820
CHF17_RS10385,2850,1975,2112,1749
CHF17_RS10390,1608,1178,1189,1084
CHF17_RS10395,39549,35086,26177,28148
CHF17_RS10400,579,789,614,674
CHF17_RS10405,1715,1202,1160,1150
CHF17_RS10410,2153,2020,1748,1682
CHF17_RS10415,10302,7384,8040,6683
CHF17_RS10420,15401,11371,11770,9844
CHF17_RS10425,10893,9666,7845,7973
CHF17_RS10430,194915,125870,145899,105342
CHF17_RS10435,2072,1380,1443,1205
CHF17_RS10440,5022,3270,4022,2861
CHF17_RS10445,29285,26357,23937,17911
CHF17_RS10450,5381,3373,3496,2858
CHF17_RS10455,13729,10243,9123,7089
CHF17_RS10460,3496,3362,3138,2914
CHF17_RS10465,4838,4263,3419,2673
CHF17_RS10470,8311,7193,6477,5326
CHF17_RS10475,2932,2758,2312,1967
CHF17_RS10480,1295,786,813,681
CHF17_RS10485,550,361,406,341
CHF17_RS10490,62843,60030,50803,45730
CHF17_RS10495,8085,8462,7032,6280
CHF17_RS10500,13278,10736,10102,6345
CHF17_RS10505,21720,20709,19573,12069
CHF17_RS10510,961,794,695,634
CHF17_RS10515,238,143,156,127
CHF17_RS10520,3977,2386,2578,2116
CHF17_RS10525,463,460,397,341
CHF17_RS10530,2174,2356,1974,1955
CHF17_RS10535,3861,4498,3462,3572
CHF17_RS10540,787,861,730,681
CHF17_RS10545,9833,13035,8539,8149
CHF17_RS10550,25357,16872,17995,18222
CHF17_RS10555,110,114,209,121
CHF17_RS10560,19595,12138,12313,13366
CHF17_RS10565,33496,23119,23853,22716
CHF17_RS10570,16849,11592,11646,11178
CHF17_RS10575,40568,28711,28332,34305
CHF17_RS10580,7563,7067,5466,6368
CHF17_RS10585,1534,2022,1656,1784
CHF17_RS10590,2567,2094,2298,2134
CHF17_RS10595,3221,3011,2991,2698
CHF17_RS10600,5531,5602,5792,5364
CHF17_RS10605,8857,7820,8279,7210
CHF17_RS10610,82,66,73,129
CHF17_RS10615,7096,6541,5881,13403
CHF17_RS10620,14597,15424,13298,10767
CHF17_RS10625,3549,3313,2737,2701
CHF17_RS10630,33293,22011,20590,15864
CHF17_RS10635,3555,2443,2599,1938
CHF17_RS10640,4217,3632,3899,3113
CHF17_RS10645,14199,12962,12313,10865
CHF17_RS10650,37051,34947,32105,24555
CHF17_RS10655,15821,11836,11360,9937
CHF17_RS10660,16665,7744,8757,7573
CHF17_RS10665,47967,25837,26432,25728
CHF17_RS10670,22599,15026,17133,16245
CHF17_RS10675,2400,2191,2669,2198
CHF17_RS10680,1569,1463,1397,1403
CHF17_RS10685,5871,4690,5566,4928
CHF17_RS10690,23,21,18,22
CHF17_RS10695,297,174,163,118
CHF17_RS10700,924,599,593,535
CHF17_RS10705,467,293,322,256
CHF17_RS10710,92,92,94,76
CHF17_RS10715,64,37,51,41
CHF17_RS10720,26840,18289,19378,15523
CHF17_RS10725,182,92,113,156
CHF17_RS10730,1926,1368,1223,1062
CHF17_RS10735,4678,3217,3276,2688
CHF17_RS10740,145,106,138,101
CHF17_RS10745,37,31,23,23
CHF17_RS10750,32,23,35,24
CHF17_RS10755,136,108,107,83
CHF17_RS10760,158,120,123,94
CHF17_RS10765,4198,3099,3058,2801
CHF17_RS10770,13242,9977,10124,9014
CHF17_RS10775,39944,32902,33224,30556
CHF17_RS10780,12877,11479,10349,11674
CHF17_RS10785,170,138,142,136
CHF17_RS10790,1190,878,950,793
CHF17_RS10795,673,389,424,347
CHF17_RS10800,226,103,154,114
CHF17_RS10805,746,469,531,604
CHF17_RS10810,36,28,38,16
CHF17_RS10815,36,23,21,21
CHF17_RS10820,15,8,12,8
CHF17_RS10825,84,71,58,56
CHF17_RS10830,120,85,84,73
CHF17_RS10835,32,19,17,21
CHF17_RS10840,471,402,372,365
CHF17_RS10845,548,484,390,436
CHF17_RS10850,134,119,122,123
CHF17_RS10855,165,146,155,143
CHF17_RS10860,84,81,69,79
CHF17_RS10865,149,118,129,138
CHF17_RS10870,114,73,66,81
CHF17_RS10875,84,62,57,70
CHF17_RS10880,27,26,24,23
CHF17_RS10885,24,16,13,34
CHF17_RS10890,18,11,10,15
CHF17_RS10895,5,7,5,8
CHF17_RS10900,1563,1195,1271,1044
CHF17_RS10905,2775,2791,2654,2075
CHF17_RS10910,2296,2082,2417,2025
CHF17_RS10915,107996,62845,60607,56955
CHF17_RS10920,1705,1679,1582,1434
CHF17_RS10925,9132,11210,10719,11216
CHF17_RS10930,3268,3052,3644,2772
CHF17_RS10935,20284,17724,17054,16303
CHF17_RS10940,6493,6155,5567,4612
CHF17_RS10945,9698,7881,6246,5496
CHF17_RS10950,11203,7443,7272,5058
CHF17_RS10955,3655,2442,2301,1818
CHF17_RS10960,5880,4239,3823,3450
CHF17_RS10965,49138,29993,29691,29893
CHF17_RS10970,31539,23202,18983,14556
CHF17_RS10975,4176,3364,3378,3259
CHF17_RS10980,4065,3367,3775,2779
CHF17_RS10985,11640,11365,9174,8135
CHF17_RS10990,9351,5782,6917,6519
CHF17_RS10995,8646,6083,6513,5717
CHF17_RS11000,5755,3654,4394,3862
CHF17_RS11005,1332,726,886,815
CHF17_RS11010,11883,6642,8199,7360
CHF17_RS11015,5279,3693,3509,3652
CHF17_RS11020,1127,792,825,730
CHF17_RS11025,69096,46092,42874,38529
CHF17_RS11030,3665,2621,2469,2532
CHF17_RS11035,4002,2889,3028,2981
CHF17_RS11040,1139,614,708,777
CHF17_RS11045,3825,3723,2835,2296
CHF17_RS11050,699,705,600,498
CHF17_RS11055,3290,3519,2592,2107
CHF17_RS11060,1957,2152,1861,1578
CHF17_RS11065,2391,1810,1733,1265
CHF17_RS11070,13786,9294,9214,8337
CHF17_RS11075,1352,1065,927,878
CHF17_RS11080,5920,5221,5063,5007
CHF17_RS11085,53436,38917,37235,30820
CHF17_RS11090,15165,10605,12461,11531
CHF17_RS11095,102,116,138,117
CHF17_RS11100,57,42,34,49
CHF17_RS11105,252,121,165,221
CHF17_RS11110,3429,2480,2233,2437
CHF17_RS11115,22863,14074,15747,14055
CHF17_RS11120,5845,4368,4316,3259
