,"M1GAS2221_1 Mid-exponential, 35°C","M1GAS2221_21 Mid-exponential, 35°C","M1GAS2221_31 Mid-exponential, 35°C","M1GAS2221DfabT_11 Mid-exponential, 35°C","M1GAS2221DfabT_21 Mid-exponential, 35°C","M1GAS2221DfabT_31 Mid-exponential, 35°C","M1GAS2221_11 Mid-exponential, 40°C","M1GAS2221_2 Mid-exponential, 40°C","M1GAS2221_3 Mid-exponential, 40°C","M1GAS2221DfabT_1 Mid-exponential, 40°C","M1GAS2221DfabT_2 Mid-exponential, 40°C","M1GAS2221DfabT_3 Mid-exponential, 40°C","M1GAS2221_1 Early stationary, 35°C","M1GAS2221_2 Early stationary, 35°C","M1GAS2221_3 Early stationary, 35°C","M1GAS2221DfabT_1 Early stationary, 35°C","M1GAS2221DfabT_2 Early stationary, 35°C","M1GAS2221DfabT_3 Early stationary, 35°C","M1GAS2221_1 Early stationary, 40°C","M1GAS2221_2 Early stationary, 40°C","M1GAS2221_3 Early stationary, 40°C","M1GAS2221DfabT_1 Early stationary, 40°C","M1GAS2221DfabT_2 Early stationary, 40°C","M1GAS2221DfabT_3 Early stationary, 40°C"
M5005_Spy1278,1043,1072,1090,1437,1306,1739,1592,2327,1626,1557,1417,1793,2016,1951,1348,1765,2194,1946,1939,2370,4049,4031,4386,4479
M5005_Spy1279,1008,995,923,1181,1283,1544,1518,2405,1651,1470,1323,1706,1429,1549,1079,1208,1530,1329,1588,1850,3288,3342,4211,3818
M5005_Spy1280,680,540,515,506,524,585,951,1215,1110,585,485,667,1191,1038,742,901,1132,964,1177,1444,2199,4006,4864,4107
M5005_Spy1281,134,154,142,127,140,181,256,318,265,162,169,165,434,397,322,302,392,324,433,486,758,1122,1422,1285
M5005_Spy1282,215,178,139,150,162,209,266,352,311,186,173,190,385,335,216,315,364,311,339,415,557,1116,1263,982
M5005_Spy1283,2528,2320,2096,1436,1526,2016,3111,4319,3718,1785,1569,2006,2847,2641,1717,2326,2814,2436,2508,2568,3987,6702,7779,5179
M5005_Spy1284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5005_Spy1285,22,19,22,25,23,39,27,50,44,28,32,43,99,90,62,64,86,58,54,79,120,51,77,77
M5005_Spy1286,145,136,170,253,159,197,195,252,196,215,194,273,541,458,293,375,490,431,332,454,757,716,701,688
M5005_Spy1287,60,39,50,37,58,54,58,109,46,64,38,62,323,213,158,102,120,72,143,189,321,116,261,263
M5005_Spy1288,12082,11852,11987,15403,14333,15664,11906,20383,12430,13192,12477,15550,7149,6577,4546,4691,6084,5031,4903,5425,11309,4571,5879,4902
M5005_Spy1289,1720,1642,1507,2120,2035,2335,1593,3059,2027,1905,1783,2133,1783,1698,1110,1499,1774,1618,1233,1553,2892,1365,1713,1741
M5005_Spy1290,5080,6004,5452,5527,5578,7091,6234,7670,5492,5267,4919,6373,2470,2372,1870,5389,8020,5007,2682,2687,5071,5949,5303,4392
M5005_Spy1291,133,156,139,139,217,269,168,433,226,254,238,293,349,334,206,196,271,140,191,241,446,227,387,382
M5005_Spy1292,548,498,740,997,964,1031,844,1672,958,1009,912,1251,385,436,297,251,399,292,383,434,908,325,396,387
M5005_Spy1293,1421,1295,1523,2005,1901,2198,2018,3158,2230,2305,2025,2642,1217,1089,817,940,1315,1285,1482,1686,3101,1798,2104,1927
M5005_Spy1294,1584,1457,1746,2290,1899,2417,2075,3297,2031,2195,1661,2461,1244,1245,884,868,1259,954,1543,1678,2884,1728,2488,2033
M5005_Spy1295,689,648,597,910,899,991,768,1343,750,959,786,995,549,534,376,353,467,357,627,681,1140,592,793,608
M5005_Spy1296,2344,2457,2651,4142,4234,5018,3020,5661,3561,4242,4159,5210,1781,1845,1300,1322,2119,1289,1577,1839,3618,1037,1553,1343
M5005_Spy1297,590,600,845,1189,1065,1332,528,855,575,719,690,926,1306,1484,1135,850,1310,698,839,1235,2002,557,701,927
M5005_Spy1298,7492,6419,6667,7133,6629,10196,9516,10014,9412,6564,6198,8603,5767,6319,4820,6921,10050,8181,5753,6220,10813,6808,8088,7513
M5005_Spy1299,12496,10296,9628,10895,9061,14363,14164,14325,14186,10022,9347,12100,9045,9425,7047,9638,12752,10315,7780,7901,14969,6553,9535,7430
M5005_Spy1300,1674,1808,1792,1869,2173,2288,1728,3157,1694,1568,1357,1807,430,498,334,368,544,317,417,383,830,296,438,321
M5005_Spy1301,2864,3608,3178,1920,653,2278,2209,1398,1775,757,681,751,326,302,258,664,686,705,349,288,619,478,352,331
M5005_Spy1302,6,7,12,20,23,31,28,61,26,28,25,43,14,7,9,15,14,11,50,52,114,36,67,43
M5005_Spy1303,1272,1267,1297,1525,1606,1674,1319,3652,1784,1611,1680,1957,636,671,458,487,604,383,541,703,1421,379,693,430
M5005_Spy1304,711,779,892,1281,1536,1305,947,2417,1160,1082,1330,1719,552,477,458,354,571,352,425,595,1386,333,466,469
M5005_Spy1305,551,474,541,376,280,407,705,1125,803,515,505,623,394,318,216,307,288,220,407,374,810,583,659,498
M5005_Spy1306,4350,4508,4944,6240,5310,5933,4882,9721,5166,5350,5073,6496,1708,1549,1191,939,1517,831,1540,1853,4166,765,1687,904
M5005_Spy1307,2100,2328,2109,2641,2884,3222,2345,4020,2513,2458,2283,2871,1545,1444,1040,1392,1725,1319,1164,1366,2554,1405,1953,1664
M5005_Spy1308,275,214,217,244,227,288,240,465,287,277,246,299,177,171,113,166,161,193,113,138,399,154,243,213
M5005_Spy1309,5514,4819,5564,7151,5950,7200,5696,7821,5429,5272,4707,6033,3514,3187,2230,3636,4526,3686,2815,2931,5859,3104,4115,3121
M5005_Spy1310,3291,2898,3149,4225,3734,4613,3648,4962,3467,3305,2973,3690,1996,1862,1240,1978,2737,2111,1834,1807,3759,1555,2083,1724
M5005_Spy1311,5223,4881,4949,6446,6189,7708,5459,8187,5538,5232,5039,6067,3544,3331,2497,3476,4725,3458,3158,3411,6987,2223,3391,2623
M5005_Spy1312,1787,1757,1769,2505,2365,2704,2014,3070,2083,2188,1784,2427,1057,933,574,765,1327,641,933,965,2055,261,641,481
M5005_Spy1313,12559,12775,14127,17462,17731,20883,14518,23925,17516,16588,15223,19613,9358,9020,6467,8617,12764,9808,8639,9697,19518,9370,10960,9973
M5005_Spy1314,11273,13105,8215,10819,12067,17768,6099,18137,3947,13629,13480,13712,2756,2680,2081,3672,4756,4149,2193,3159,5175,1868,2676,3302
