,"M1GAS2221_1 Mid-exponential, 35°C","M1GAS2221_21 Mid-exponential, 35°C","M1GAS2221_31 Mid-exponential, 35°C","M1GAS2221DfabT_11 Mid-exponential, 35°C","M1GAS2221DfabT_21 Mid-exponential, 35°C","M1GAS2221DfabT_31 Mid-exponential, 35°C","M1GAS2221_11 Mid-exponential, 40°C","M1GAS2221_2 Mid-exponential, 40°C","M1GAS2221_3 Mid-exponential, 40°C","M1GAS2221DfabT_1 Mid-exponential, 40°C","M1GAS2221DfabT_2 Mid-exponential, 40°C","M1GAS2221DfabT_3 Mid-exponential, 40°C","M1GAS2221_1 Early stationary, 35°C","M1GAS2221_2 Early stationary, 35°C","M1GAS2221_3 Early stationary, 35°C","M1GAS2221DfabT_1 Early stationary, 35°C","M1GAS2221DfabT_2 Early stationary, 35°C","M1GAS2221DfabT_3 Early stationary, 35°C","M1GAS2221_1 Early stationary, 40°C","M1GAS2221_2 Early stationary, 40°C","M1GAS2221_3 Early stationary, 40°C","M1GAS2221DfabT_1 Early stationary, 40°C","M1GAS2221DfabT_2 Early stationary, 40°C","M1GAS2221DfabT_3 Early stationary, 40°C"
M5005_Spy1479,4014,3980,4326,4504,4052,5147,4424,5650,4001,3373,3179,4195,2555,2615,1873,1597,2462,1942,2254,2387,4722,1281,1633,1645
M5005_Spy1480,7051,7256,7210,7394,7404,8618,7658,12760,7943,7007,6068,7543,3694,3247,2356,4894,6611,4217,3081,3222,6294,5179,6252,4940
M5005_Spy1481,7314,7406,8289,14562,14917,16179,9027,16715,10524,15841,15569,18618,2764,2645,1845,3557,4925,3624,2776,3661,6834,3529,4363,4691
M5005_Spy1482,1041,936,1062,1273,1133,1478,1076,1773,1143,1158,1078,1313,688,584,443,559,731,527,564,554,1190,586,724,589
M5005_Spy1483,965,676,895,906,947,1550,581,696,808,803,921,1040,3439,3318,2231,3055,3806,3160,1622,2241,3493,3519,4713,4651
M5005_Spy1484,4610,4952,5349,7996,7381,8384,5485,10845,6767,7571,7007,8780,2227,2021,1570,1563,2577,1593,2649,2894,6357,1970,3075,2430
M5005_Spy1485,2373,2032,2273,3911,3623,3919,3299,5012,3595,3603,3781,4529,2374,2236,1628,2872,3598,4150,2110,2512,4458,1808,2400,2697
M5005_Spy1486,372,357,600,816,683,701,490,832,474,405,511,565,3026,3529,2893,1164,1781,778,1216,2389,3326,732,997,1321
M5005_Spy1487,2045,1380,2021,1986,1867,2232,1905,3087,2316,1823,1814,2208,6880,7108,5257,5316,6359,3643,4144,5940,9318,4143,4633,4670
M5005_Spy1488,70,71,64,59,60,63,67,99,89,45,52,58,98,109,77,105,105,82,85,98,152,134,192,172
M5005_Spy1489,1872,1708,1762,3618,3259,3282,2041,3280,2044,2646,2381,2629,934,768,543,1661,1842,1299,842,930,2052,1768,2804,1951
M5005_Spy1490,734,593,760,883,725,990,908,1485,1043,686,796,913,1277,1216,813,994,1118,835,824,1051,1844,469,674,649
M5005_Spy1491,24872,28417,21262,38887,35304,49409,29203,27220,30582,32459,30051,39315,15721,17171,12710,13349,21616,14658,12131,13830,26993,7011,8969,8942
M5005_Spy1492,2832,3019,2511,5002,4545,5111,2878,3147,3241,3577,2900,3634,2116,1990,1349,2066,2781,2194,1311,1427,2542,1736,1614,1479
M5005_Spy1493,2889,3240,2716,4858,4545,5307,3143,3233,3370,3626,2896,4090,2190,2194,1633,2787,4017,3386,1893,2010,3567,4753,3664,4179
M5005_Spy1494,452,376,518,869,741,796,600,975,692,829,706,942,523,548,364,893,1188,878,393,522,997,404,365,366
M5005_Spy1495,2243,3351,2632,2562,2612,2799,2821,6892,2947,4439,2755,4466,2485,2379,1952,1536,2475,1164,2710,3078,6828,1005,1016,1103
M5005_Spy1496,7790,7868,7702,10729,10466,13169,8993,15340,9384,10338,9499,12145,5887,5962,4532,5937,8107,7212,5281,6038,11838,8141,9210,9798
M5005_Spy1497,3557,3557,3517,3307,3181,4295,3505,5549,3658,3703,3110,3853,1758,1794,1314,1880,2475,2170,1472,1724,3058,2127,2860,2372
M5005_Spy1498,11620,11491,11750,16892,15632,19441,13607,22888,14005,16474,14288,18348,7216,6739,4736,6263,8711,7411,7927,8266,16141,8219,10031,9075
M5005_Spy1499,6494,6205,6007,8762,8562,10384,7975,11870,8382,8562,7780,10022,5599,4903,3571,7109,9337,7637,5164,5654,10575,8256,9570,9586
M5005_Spy1500,4600,4157,4695,6849,6171,7270,5327,7034,5992,5724,4865,6777,4380,3920,2917,4234,5512,4174,2787,3496,6533,3333,3923,3811
M5005_Spy1501,7274,7277,7942,10783,10636,12142,6339,11474,7056,8351,7708,9924,4609,4445,3198,4173,6366,4785,3860,4183,8521,5199,7174,5550
M5005_Spy1502,9119,8659,8178,12107,11295,14204,11453,17425,12673,13060,11319,14737,7629,6682,4778,9138,11583,11491,6901,7466,13910,12354,13568,13972
M5005_Spy1503,6254,6054,6139,11112,11176,12297,8673,12994,8988,10234,9662,11810,4505,3964,2838,7236,9481,8342,4177,4812,8750,6866,6754,6865
M5005_Spy1504,10294,9785,10679,9630,8371,13164,9703,11865,10546,9333,8769,11546,5035,4997,3838,6029,7941,5966,4071,4234,8592,4733,6021,4883
M5005_Spy1505,6861,6377,5946,10147,9998,11768,8355,13562,10059,9934,9575,12424,7367,6543,4681,8799,10467,11563,5965,7143,13845,7010,6796,7338
M5005_Spy1506,600,408,429,771,567,519,710,683,631,503,499,587,359,334,216,242,311,273,439,331,740,266,414,314
M5005_Spy1507,2902,2826,2849,4618,4010,5320,2958,4324,3725,3990,4162,4380,4139,3992,2808,3168,4693,3579,3099,3659,6574,2788,3403,3760
M5005_Spy1508,6874,6064,6734,9125,8728,10088,9188,14669,10441,10803,9111,11860,5556,5132,3509,4534,5771,5810,6521,6842,12909,7471,8965,7823
M5005_Spy1509,927,1017,897,1309,1592,1913,1204,1945,1222,1296,1327,1484,930,890,660,1114,1352,989,662,933,1550,494,592,785
M5005_Spy1510,800,784,949,1540,1705,1663,1023,2165,1263,1368,1166,1620,772,745,527,552,830,502,663,729,1524,602,855,748
M5005_Spy1511,2761,2627,2997,3769,3727,4686,3271,4860,3771,3751,3329,4420,2721,2444,1848,2806,4016,3521,1996,2328,4568,3533,4606,4137
M5005_Spy1512,1750,1792,1795,2462,2540,3210,2170,3196,2430,2497,2221,2854,2093,1980,1570,1860,2797,2240,1685,2129,3603,2049,2640,2729
M5005_Spy1513,2462,2436,2723,3162,3028,4053,2827,4176,3249,3282,2768,3773,2347,2263,1669,2470,3441,3164,1707,1916,3774,3279,4078,4006
M5005_Spy1514,4086,3961,4513,8530,8302,9567,4565,6786,4749,6426,5908,7612,2483,2456,1800,3900,4749,4031,1677,1801,3777,1237,1352,1494
M5005_Spy1515,140,144,136,154,145,198,144,212,158,153,147,168,180,175,129,130,184,137,119,128,312,199,246,240
M5005_Spy1516,3504,3276,4219,5952,5543,6161,3955,8078,4538,5616,4930,6514,1832,1722,1197,1482,1927,1680,1451,1696,3486,1042,1177,1097
M5005_Spy1517,8142,6967,7631,11014,11841,12335,9454,16340,10798,10836,11221,13639,4945,4384,2889,5698,6105,5846,3652,4406,8471,3028,3614,3898
M5005_Spy1518,3181,2449,3080,2375,2452,3096,3237,4068,3920,2802,2594,3332,5086,5045,3746,4342,5563,4102,4684,5400,9455,6275,8787,8184
M5005_Spy1519,562,684,671,315,402,601,566,1228,669,808,670,1016,1078,1005,722,639,752,522,1003,1037,2026,1704,3199,2173
M5005_Spy1520,288,246,289,191,257,305,272,495,299,304,277,293,1225,1163,838,571,535,442,915,1048,1907,1101,1149,1414
M5005_Spy1521,1422,1338,1277,1778,2104,1735,1997,11273,2443,1405,1220,1297,853,667,464,821,903,586,545,821,1677,521,602,495
M5005_Spy1522,3960,4017,4220,4968,4563,5319,4284,6783,4502,4325,4057,5072,2119,1978,1322,2414,3178,2384,2078,2157,4604,2081,2606,2089
M5005_Spy1523,5202,5153,6292,9594,9710,10656,5867,11861,6801,8676,8164,9941,5215,4778,3536,4199,6232,5143,3754,4211,7989,4578,5663,5342
M5005_Spy1524,3947,3443,4367,5982,5729,6834,5372,7680,5559,5389,5134,6540,3642,3417,2517,4479,5495,5156,3318,3781,6848,6789,7999,8166
M5005_Spy1525,3583,3020,3794,4973,4713,5463,4383,6694,5062,4552,4826,5848,3257,2828,2033,3897,4146,4528,2931,3207,6108,6218,7014,6962
M5005_Spy1526,49447,55498,47138,28812,13727,40971,33446,25279,29500,13787,12658,15247,8157,7773,5484,13490,16170,10483,5820,6835,11154,4635,3859,4410
M5005_Spy1527,6483,6979,9084,11463,13023,11552,6781,11374,7335,5627,7973,8675,10741,10676,8575,5631,8566,6203,5825,7661,14566,3443,4096,5609
M5005_Spy1528,20350,20899,19964,21108,19617,26625,43598,58139,46903,34119,33481,42245,29370,31489,21805,22233,27152,20203,47250,57467,95800,44680,47103,53070
M5005_Spy1529,967,1310,1055,1841,1858,2094,3239,4500,3589,3760,2988,4281,2190,1957,1313,2177,2617,2092,3350,4329,7527,10045,11824,10866
M5005_Spy1530,12291,14238,14868,26589,29372,30982,23227,43369,23842,29515,28698,37034,8511,7122,5338,9911,13327,10075,10800,12732,24394,11328,10993,14272
M5005_Spy1531,467,506,450,746,829,788,1418,1731,1635,1409,1231,1737,574,469,305,441,598,387,843,816,1867,1489,2065,1530
M5005_Spy1532,5096,6735,6800,13040,14153,13965,10135,21345,10670,13171,14446,17218,2640,2381,1741,1973,2923,2187,3791,4287,9133,2850,3195,3195
M5005_Spy1533,2829,3422,2984,3628,3167,4186,3887,7948,4562,3890,4046,4696,5316,4848,3119,2596,3356,3370,5833,6702,11795,8462,6582,9446
M5005_Spy1534,950,928,1118,2019,1686,2066,1530,2762,1524,2129,1938,2505,371,342,261,207,365,208,576,704,1425,158,301,307
M5005_Spy1535,241,293,242,438,431,488,862,1001,840,808,633,946,380,275,223,251,359,264,537,543,1086,1506,1842,1365
M5005_Spy1536,1519,1748,1847,1993,1761,2547,1647,3254,1845,1945,1696,2445,917,958,649,624,1155,873,849,1066,2004,1163,1414,1212
M5005_Spy1537,152,128,175,363,328,397,225,443,250,322,266,341,1066,872,697,459,511,391,640,640,1368,546,1970,2118
M5005_Spy1538,146,151,174,349,404,446,247,490,284,329,328,391,982,1010,701,451,587,428,677,679,1462,519,1759,1902
M5005_Spy1539,45,55,77,186,217,212,71,204,102,137,148,157,566,591,401,222,324,193,345,368,703,294,1109,1243
M5005_Spy1540,63,62,60,140,147,173,81,192,88,123,118,115,352,349,280,160,183,149,227,244,478,154,532,630
M5005_Spy1541,23,15,25,44,62,62,27,60,25,51,53,56,189,201,172,77,116,75,113,148,241,97,371,447
M5005_Spy1542,19,22,34,65,58,89,34,78,49,56,51,61,183,185,133,70,95,61,120,133,263,96,374,406
M5005_Spy1543,98,80,106,335,382,444,127,337,161,267,267,262,1059,1055,736,413,602,364,669,704,1267,521,2282,2471
M5005_Spy1544,30,13,28,62,71,82,34,68,49,58,59,42,204,219,168,88,126,79,130,167,278,125,384,439
M5005_Spy1545,3309,2939,3729,4677,4610,6591,3079,4755,3455,3133,2982,3666,7791,7987,6016,8924,12326,8146,11567,14848,21899,10295,12356,13360
M5005_Spy1546,9403,9324,10369,8950,9481,11208,8079,13234,8570,7483,7458,8989,7882,8126,5585,3913,5810,4231,4873,4831,9516,3142,3671,3491
M5005_Spy1547,10029,10020,9644,13100,10879,12897,10206,17689,10448,11127,10048,12879,7635,6659,4430,4768,6358,4494,5029,5456,10996,5069,6050,5683
M5005_Spy1548,2554,2825,3032,3121,3390,3573,2373,4958,2534,2471,2584,3255,1076,1053,720,556,851,545,893,991,2218,509,833,688
M5005_Spy1549,759,389,1546,618,523,592,509,525,824,365,380,440,3229,3332,2524,1757,2461,1011,1567,1797,2939,1305,1686,1838
M5005_Spy1550,457,492,495,717,690,657,552,759,571,403,423,471,267,232,175,275,330,264,212,229,433,271,375,327
M5005_Spy1551,368,360,380,230,204,236,181,258,257,165,145,172,1333,1280,794,457,712,372,401,457,746,427,559,485
M5005_Spy1552,3528,3457,3387,3906,4551,4929,4163,7747,4827,4609,4844,5774,2024,2113,1507,2028,2420,1990,1928,2126,4130,1642,2162,2152
M5005_Spy1553,20801,24570,23154,35192,33271,44756,20369,39663,22122,23442,25227,31343,18126,16414,12044,24857,33845,21784,11765,13727,25190,13114,14302,13688
M5005_Spy1554,3059,3485,3391,4797,5429,6633,3398,6320,3808,3725,3730,4842,3210,3238,2411,3925,4937,4045,2595,3005,5319,3895,3680,3985
M5005_Spy1555,5003,4976,4941,6951,6431,8499,5056,8351,5511,5176,4753,6191,4372,4039,3034,4732,5442,5328,3294,3847,7192,6440,6007,5859
M5005_Spy1556,6801,6302,6544,8581,8473,10685,6336,11224,7273,6786,6580,8197,5396,5041,3741,6291,6930,6412,3924,4496,8447,7042,6936,6801
M5005_Spy1557,8112,7651,8374,10796,10332,13156,8044,14277,8991,8194,8036,10809,6620,6440,4598,7777,8527,7752,4859,6329,10908,8215,8672,8530
M5005_Spy1558,3412,3903,3512,4004,4363,4072,1804,3555,2344,2995,2971,3419,7671,6810,3892,2873,3038,2083,1229,1382,2451,1778,3214,2211
M5005_Spy1559,5413,6260,6109,6923,8544,7466,3444,6514,4429,5334,5345,6580,14465,12868,7615,7657,9008,5912,3295,4131,6413,6715,8916,7848
M5005_Spy1560,17047,16465,17643,24844,23977,26610,18616,34083,19405,20930,19321,24855,11930,11570,8337,13241,17427,14421,10256,10706,20549,16931,21269,18659
M5005_Spy1561,3195,2985,3241,4353,4287,4998,3612,7718,4482,4780,3932,5307,3102,2913,1893,1740,2616,1790,1986,2396,4745,1688,2379,1923
M5005_Spy1562,3156,3458,3353,5001,5266,5301,5898,15138,7397,6901,5120,6875,5664,5331,3980,4442,6184,5277,11542,10720,24730,5594,5898,5283
M5005_Spy1563,12102,12089,11947,17825,17936,22751,15065,21374,15500,16822,15352,19836,10864,9695,7160,14741,17990,16457,8895,10754,18610,15061,16109,17220
M5005_Spy1564,12633,11647,12309,18696,16956,20256,14262,19917,15553,15991,14607,18400,9416,8589,6277,10654,13025,11962,8680,9769,18188,10432,12039,10861
M5005_Spy1565,14850,15795,16252,21685,23635,27689,16382,31688,19753,21803,21326,27103,20814,20281,14641,20156,27249,21938,16020,18866,33777,23701,25891,27795
M5005_Spy1566,7478,6875,7339,11488,11109,12541,8703,14303,9397,10553,10638,13275,6086,5874,4241,4769,6785,5210,4718,5665,10763,4442,6197,5686
M5005_Spy1567,8746,8071,8578,17776,18052,19488,14454,30113,17829,22169,20561,27326,19126,17778,12426,14180,20986,18626,21621,24071,47612,16462,18146,20031
M5005_Spy1568,2104,2236,2127,3166,3448,3734,2679,3688,2730,2683,2419,3223,2049,1884,1402,2932,3919,2375,1527,1902,3509,2220,2472,2622
M5005_Spy1569,10004,9782,10607,14717,13575,17338,10317,14636,11063,12222,11663,15174,7739,7595,5441,8767,11778,9952,7036,7978,13892,10529,13846,12111
M5005_Spy1570,238,249,258,368,376,437,334,684,395,452,301,454,359,366,287,379,567,462,2218,1827,4349,1216,1543,1121
M5005_Spy1571,2039,1699,1823,2159,2375,2054,2306,2880,2377,1878,1954,2077,2169,2009,1504,2029,2867,2150,1839,1746,3376,2247,2907,2640
M5005_Spy1572,3029,3243,3302,4707,4811,5379,3835,7312,3916,5049,4857,5630,2696,2494,1660,2107,2463,1939,2365,2722,5388,4876,6904,5374
M5005_Spy1573,19728,18476,19249,52934,43393,52380,27099,31081,27724,33594,33064,42686,23533,21926,15530,31228,33577,30144,18150,21054,41388,16282,17555,19212
M5005_Spy1574,2054,2101,2286,3825,3739,4052,2947,4063,2987,3788,3464,4248,2365,2144,1632,2326,3079,2324,1747,2002,3825,2047,2385,2394
M5005_Spy1575,2961,3281,3268,5685,6792,7440,4189,7425,4237,5392,5359,6436,4146,3733,2859,4675,6563,4956,2811,3491,5884,3047,3130,4076
M5005_Spy1576,20356,21682,21123,33325,34117,39829,23106,39150,23449,27261,25804,32739,15201,14834,11337,15222,21589,18475,11012,13488,24914,15702,17187,18259
M5005_Spy1577,8936,8970,8975,21676,21457,22231,12203,20803,12914,16677,17140,20852,5354,4819,3738,8330,10468,8073,4932,5129,11208,3217,3239,4000
M5005_Spy1578,5528,4816,6781,10686,11020,11471,7257,13163,9875,9726,8862,11430,24467,23272,15248,17241,22896,15909,12782,24846,30568,13170,14089,17316
M5005_Spy1579,11253,11263,10350,19056,18727,20216,12553,21244,13160,15714,15151,17870,26562,25584,17454,18165,23297,17858,12452,15599,26229,11057,14379,15087
M5005_Spy1580,3400,3177,3577,7049,9449,8063,5003,12134,4976,7567,6909,8756,2474,2200,1620,4424,6054,4840,2957,3269,5196,5959,7482,6681
M5005_Spy1581,3930,3558,4130,5693,5650,6921,4019,6044,4460,5585,4928,6521,6042,5635,3820,3783,5205,4554,3584,4349,7605,5066,5591,6118
M5005_Spy1582,50297,49238,43247,60889,55179,65593,50772,67880,47818,46037,42661,52394,23624,22032,14173,23265,30451,22177,16510,18488,31934,19058,22808,25246
M5005_Spy1583,15714,15367,19241,42465,41368,51258,14258,29717,14441,37118,38695,42870,44350,52927,34592,44042,41563,30512,21637,33568,52164,40890,54536,61445
M5005_Spy1584,2301,1916,2459,4913,3422,5491,2489,4181,2375,3851,4293,4713,6624,6581,4185,3303,3617,2786,2988,4628,7207,2753,3494,3674
M5005_Spy1585,2364,1695,1923,2301,2468,3832,1331,1540,1775,2056,2004,2542,8558,7778,5427,7671,9651,8082,3624,4979,7900,8701,11668,11567
M5005_Spy1586,7427,6843,8299,11913,8958,11110,8290,14216,8780,9158,8403,10580,9226,8039,5587,8682,10950,9455,7226,9423,16404,10634,10051,11419
M5005_Spy1587,5467,5897,5738,7298,7972,7643,7001,15085,8225,7513,7581,8852,4553,4097,2831,4012,4715,3755,4978,5689,11942,5812,6005,6219
M5005_Spy1588,17225,16339,15735,21405,19280,20803,18573,21275,16117,13741,12990,15567,5356,5383,3406,5648,7483,5500,4872,5542,9664,3821,5719,4711
M5005_Spy1589,14592,16160,17641,23490,24587,26177,16640,27690,16275,16827,16432,21705,6269,6165,4746,8225,14205,8351,5764,7299,12859,5272,4930,6625
M5005_Spy1590,11309,11272,12097,15508,14659,19354,9853,15991,10463,11909,12141,13684,11041,9986,7461,15676,20727,15238,6077,8373,13747,9669,9923,10069
M5005_Spy1591,16168,21228,14354,40460,42692,48553,20826,31052,16315,9227,36382,41797,4426,4818,3862,12819,19407,14058,3632,3994,7748,1929,17443,14355
M5005_Spy1592,2426,2485,2780,3469,3390,4048,2609,4380,2822,2801,2654,3255,1237,1175,842,1346,1833,1392,1145,1313,2557,762,848,943
M5005_Spy1593,5711,6605,6442,8396,8898,10591,6937,12714,7408,7957,7121,9321,4028,3739,2870,5258,7049,6311,3466,4155,7863,4175,3949,4701
M5005_Spy1594,2434,2364,2632,5546,5500,6065,3007,5635,3387,4961,4404,5513,1955,1760,1338,2111,2859,2517,1672,1782,3559,1924,2210,2288
M5005_Spy1595,3855,4259,3582,5139,5740,6947,4150,6384,3900,4373,4053,4626,1911,1877,1439,2482,3377,3287,1754,1789,3370,2973,2858,2910
M5005_Spy1596,1270,1220,1335,2781,2506,2803,1694,2786,1772,2234,2254,2624,1110,1027,689,1233,1407,1227,954,1103,2138,886,1109,1031
M5005_Spy1597,74733,87046,76318,85371,94843,108405,87134,132765,88059,77268,75646,88680,43544,46550,31680,25606,45604,26129,48592,59312,92582,23284,31060,32483
M5005_Spy1598,7034,6348,7278,12768,10344,11235,9122,15018,9401,11144,10875,13789,4210,3768,2544,2754,3773,3105,3959,4612,9884,2191,2790,2783
M5005_Spy1599,1781,1546,2052,4492,4164,4308,2084,3721,2686,3420,3485,4414,3295,3387,2258,2759,3343,2879,1997,2630,4943,1833,2238,2572
M5005_Spy1600,8387,8150,9343,14634,14658,17134,8530,13835,9995,14354,12743,16680,24101,22960,15318,12304,16688,14536,9671,13306,21347,15569,17070,20215
M5005_Spy1601,12078,11913,12562,20635,21499,24301,17144,28764,19730,22171,20335,26193,13409,12641,9180,15532,19707,17735,12227,14553,27893,17774,19506,22058
M5005_Spy1602,5713,5706,6068,5747,4977,6764,5976,8377,5540,5853,4838,6348,3195,2964,2130,3874,4912,4434,2602,2830,4925,5653,6632,5415
M5005_Spy1603,1287,1470,1307,1255,1448,2094,1465,2321,1474,1485,1292,1675,855,870,648,1064,1448,1332,754,768,1409,1537,1825,1910
M5005_Spy1604,2213,2398,2026,2094,2337,3323,2555,3786,2443,2581,2132,2798,1382,1487,1075,1528,2010,1883,1225,1287,2341,2190,2522,2342
M5005_Spy1605,15744,15463,15764,20280,19124,24194,18208,28133,17362,19255,18287,23357,12538,13107,8940,6720,10266,7275,9964,12802,22340,6380,8036,9480
M5005_Spy1606,7038,5983,6968,4292,3697,5210,9651,10549,9584,7007,5827,10084,8779,7999,5936,12164,11028,7467,7721,8982,17820,8876,10004,9488
M5005_Spy1607,7303,7122,7800,10469,10302,11565,8761,15143,9913,9785,9762,12034,7389,7036,5072,5461,6993,5433,5535,7058,13908,6473,7820,7373
M5005_Spy1608,4417,4727,4635,6067,5907,6495,4421,7070,4112,4366,4107,5101,1593,1497,1092,1598,1978,1753,1522,1464,3170,984,1302,1131
M5005_Spy1610,7650,6899,7028,12610,12157,12875,9923,15878,10833,12109,10326,13379,6874,6107,4407,7341,9567,7238,8260,8625,16411,6113,7466,6461
M5005_Spy1611,11675,11687,12684,15568,14331,16703,14108,24684,14185,16132,15095,17731,7421,6760,4651,6794,8764,6721,7307,7708,14782,6607,8282,6645
M5005_Spy1612,43619,41910,45175,66111,64704,71897,47034,83134,51460,59145,53007,66361,27947,24876,17592,31912,39846,35103,21943,25476,45949,32484,29738,30299
M5005_Spy1613,3007,2809,3222,3216,3495,3446,2968,6503,3206,2760,2446,2787,1712,1525,934,1240,1574,1112,1292,1413,2627,981,1096,1095
M5005_Spy1614,1865,1671,1598,1918,1849,2323,1807,2787,2000,1688,1623,2004,1699,1545,1077,1680,2136,1847,1286,1587,2643,1958,2198,2482
M5005_Spy1615,7271,6716,7191,8269,8308,11145,10081,11879,10927,10176,10131,12066,7623,7225,6030,17125,22710,15698,6869,8857,14242,25834,25964,28269
M5005_Spy1616,1853,1686,1991,2330,2442,2382,2209,3046,2441,2086,2049,2387,2604,2468,1857,2591,3814,2931,2431,2694,4844,4111,4877,4613
M5005_Spy1617,9209,8641,9506,12614,12934,13585,10580,17251,11258,11356,10251,13202,11020,10256,7223,11724,15499,12176,7357,8305,14667,10495,10413,11483
M5005_Spy1618,1426,1322,1536,1659,1701,2200,1495,1929,1763,1516,1427,1767,3664,3538,2757,2818,3702,2594,1860,2372,4152,2809,3029,3461
M5005_Spy1619,7292,8230,9441,12260,10732,13089,7819,12849,7367,9839,9041,10602,3883,4062,2981,3232,4893,3303,3226,4134,7737,3089,4167,3723
M5005_Spy1620,4270,4478,4410,5150,5870,6938,4304,6356,4262,4688,4096,5125,2747,2823,2129,4676,6084,4954,2171,2452,4326,5326,5686,5719
M5005_Spy1621,9248,9200,6810,9302,11885,14528,8420,13838,8842,9744,9801,10428,3935,4113,2852,5848,6482,7722,2966,3529,6212,4808,5652,5704
M5005_Spy1622,5403,5854,5948,7409,7545,9185,5594,8355,5462,5915,5276,6666,3168,3141,2399,4955,6565,5763,2448,2902,5166,6352,7004,6890
M5005_Spy1623,2977,3228,3280,3983,4160,5146,3049,4325,2944,3287,2845,3603,1787,1769,1414,3740,5119,3523,1529,1584,2804,3407,3578,3716
M5005_Spy1624,46279,57320,52150,78655,72457,83823,48683,105599,47155,63937,65761,76300,20447,20061,14660,16239,22423,18332,18790,24413,44724,23195,30167,29385
M5005_Spy1625,3852,3966,4491,5013,5476,6252,3820,6274,3852,4202,4138,4865,1890,1987,1522,2919,3642,2636,1484,1734,3168,1867,2299,2189
M5005_Spy1626,708,691,799,1081,883,1053,876,1845,998,1200,969,1100,438,360,272,246,395,263,451,483,1026,276,360,369
M5005_Spy1627,5091,3387,5369,4120,2958,5196,2226,2068,2911,1203,1928,2225,75412,71476,53723,43244,46840,34433,14764,25259,34499,18142,25024,28790
M5005_Spy1628,4759,2908,4022,2890,2647,4858,1830,1883,2726,1104,1841,1916,64913,64883,48558,33901,40103,27836,13206,21712,26633,13304,17676,27059
M5005_Spy1629,6805,4266,7653,4879,4087,6710,2721,2736,4104,1475,2490,2844,81233,83944,68240,44162,56366,36165,17804,29916,40367,25998,30093,43621
M5005_Spy1630,18622,20852,22208,31409,23946,30507,21239,36242,18007,21820,22619,28009,15346,14744,11020,6832,11052,6358,10279,12921,23017,7439,12267,9988
M5005_Spy1631,3307,3221,3491,5184,4974,5354,3623,6321,3948,4166,4298,5308,4667,4396,3159,3935,5624,3495,3195,3835,6944,2423,3001,3319
M5005_Spy1632,1328,809,1432,883,979,1145,980,1912,1398,1200,1192,1370,13239,14484,9719,10048,8706,7249,11104,17754,23197,14023,16928,16245
M5005_Spy1633,4741,4334,5140,4953,4984,6519,4395,6606,4781,4840,4533,5508,13688,14663,9765,7419,9629,7884,6626,7627,12854,7626,9228,9247
M5005_Spy1634,6418,6918,7878,6189,5915,7804,7673,12641,7581,7999,6999,10695,7027,6821,4871,4489,7005,4465,5915,6668,11799,6454,7365,7284
M5005_Spy1635,2874,3053,2981,3593,3330,3586,3027,4797,2857,2630,2429,2896,2237,1913,1216,1415,1898,1567,1183,1271,2199,1334,1177,1221
M5005_Spy1636,1192,1189,1446,1098,1088,1064,839,1266,970,878,675,735,2193,1683,932,726,777,543,731,740,1442,507,555,580
M5005_Spy1637,262,305,322,305,326,260,212,297,248,220,192,195,503,466,249,175,242,183,177,194,314,169,184,182
M5005_Spy1638,745,926,859,857,1009,872,671,975,761,730,625,731,1379,1217,669,394,511,400,386,466,831,625,633,720
M5005_Spy1639,744,679,763,660,725,679,556,790,571,509,421,552,1032,992,538,381,502,316,506,465,803,351,406,464
M5005_Spy1640,480,555,574,561,636,588,478,617,435,483,358,465,812,746,437,282,349,276,294,301,561,450,498,470
M5005_Spy1641,175,225,196,259,242,289,173,253,219,197,158,212,411,356,184,138,164,147,129,144,258,210,227,296
M5005_Spy1642,5181,4218,4607,6978,5952,7067,5465,8331,5129,5907,5076,6203,2849,2349,1583,2857,3828,2850,2277,2452,4485,2229,2718,2567
M5005_Spy1643,23674,27448,25488,34737,38248,42688,27628,39236,25602,24696,25466,31512,14413,14864,10666,16920,25287,16259,12311,14543,23335,17484,16125,21438
M5005_Spy1644,15510,16665,14499,8927,5574,11380,14922,8569,9456,5951,6028,10034,4283,3952,2873,30181,28456,13481,2853,2251,3934,8748,9831,7127
M5005_Spy1645,2798,2718,3016,3971,3817,4263,3964,4888,4142,3712,3263,4485,2444,2120,1520,3134,3734,2824,2243,2772,4668,2512,2633,2306
M5005_Spy1646,2001,2164,2458,3559,4185,3473,1971,3362,1782,1724,1729,2339,605,653,444,1332,1279,636,527,605,1125,495,826,512
M5005_Spy1647,3086,2681,2926,1418,738,1483,3373,1683,2039,934,1198,1725,584,575,431,6769,6726,1616,736,545,951,1155,1432,844
M5005_Spy1648,5240,3980,4399,2098,1059,2299,4770,2469,3210,1558,1944,2887,662,706,459,7647,7062,1702,820,650,1235,875,1242,678
M5005_Spy1649,8025,8696,8843,9330,8592,9894,8158,15391,7722,9508,7458,9684,4718,4522,2989,3985,4902,4330,3513,3702,7331,4746,6139,5322
M5005_Spy1650,5572,5654,5901,7865,8245,9179,5841,10982,6256,6670,6796,7996,3350,3141,2234,2824,3975,2780,2655,3041,5775,1185,1713,1376
M5005_Spy1651,13090,13581,12589,7351,4886,10136,12530,7052,7873,4881,5299,8584,3424,3310,2256,21861,22427,9608,2546,1810,3014,5333,6289,4776
