Locus_tag,Cont_1,Cont_2,HPUra_1,HPUra_2,Kan_1
SPD_1126,718292,507200,591912,258563,385060
SPD_1127,555660,414150,348400,159178,317864
SPD_1128,373769,319442,259821,87878,196442
SPD_1129,163994,124888,124235,47447,83409
SPD_1130,184106,146645,92942,50168,95370
SPD_1131,10184891,7566443,277552,163716,6068511
SPD_1132,6007860,4274892,238912,141514,4596972
SPD_1133,3990924,2790207,191413,125813,3299377
SPD_1134,1244362,974395,71074,39203,1227391
SPD_1135,171093,136761,79185,41453,117307
SPD_1136,150881,121997,70619,31198,127421
SPD_1137,166602,129603,110034,43876,220902
SPD_1138,590329,614925,264811,116660,300344
SPD_1139,467958,358011,239487,99657,302023
SPD_1140,237586,168070,112605,46425,155066
SPD_1141,5507341,7599827,232849,139438,3231414
SPD_1142,566199,543938,386846,186419,434601
SPD_1143,271715,243561,196406,89262,233848
SPD_1144,154092,149730,187325,67110,155565
SPD_1145,478113,323425,341484,113067,257327
SPD_1146,270254,181644,176481,50750,118114
SPD_1147,7893,7923,4034,1209,4875
SPD_1148,6565964,4998943,3060549,1042395,3940778
SPD_1149,33067,49751,36128,21847,52053
SPD_1150,15827,28042,19878,16852,38086
SPD_1151,3790,8232,5142,5452,19645
SPD_1152,398606,441796,214504,93549,348892
SPD_1153,164209,140851,71624,22537,95075
SPD_1154,6802025,6052340,4237108,1569381,4399377
SPD_1155,8466,10267,4496,2057,4211
SPD_1156,19291,22627,13005,7401,14782
SPD_1157,4157,7172,4091,2292,4908
SPD_1158,2503785,1931823,823228,428101,1150196
SPD_1159,16894,30300,19022,22608,15006
SPD_1160,161659,252203,180317,136328,165686
SPD_1161,15463,19551,10109,5998,11473
SPD_1162,1858,1652,1858,871,508
SPD_1163,6242,8317,7664,3418,4665
SPD_1164,7014,9080,10715,5601,5001
SPD_1165,12794,20859,6857,4147,6609
SPD_1166,127349,101658,75067,37387,64623
SPD_1167,86880,98154,65581,31519,67673
SPD_1168,23108,32640,19287,7723,20286
SPD_1169,17830,28329,13356,3447,10376
SPD_1170,32613,71234,21380,10346,27770
SPD_1171,56104,76988,41741,31260,44694
SPD_1172,37025,38387,27533,15224,22204
SPD_1174,343,0,422,669,38
SPD_1175,21001,42155,9208,7634,48013
SPD_1176,8754,15546,7929,5892,34167
SPD_1177,6723,16594,2336,2617,20841
SPD_1178,10251,29321,7091,5838,40109
SPD_1179,23197,44980,20273,13205,64171
SPD_1180,3805,13776,4625,2169,917
SPD_1181,1394,1905,1499,954,739
SPD_1182,6348,4716,4949,2750,1985
SPD_1183,2435,4692,2213,2228,1546
SPD_1184,2188,4630,1901,2427,1148
SPD_1185,1991,2819,1892,930,291
SPD_1186,753,858,190,132,112
SPD_1187,3439802,3705003,1438898,840443,1728072
SPD_1188,3947640,3371734,1950291,787892,2505544
SPD_1189,327,1290,159,0,87
SPD_1190,224872,186416,168651,79662,247931
SPD_1191,152661,172075,166278,113858,61697
SPD_1192,202576,215282,177271,117226,74136
SPD_1193,563868,543573,282787,155155,218339
SPD_1194,518590,459422,243684,154012,216330
SPD_1195,749857,645034,345906,211981,324123
SPD_1196,418442,364714,238075,107624,304123
SPD_1197,461294,502711,275375,158349,458733
SPD_1198,257988,252798,139642,81699,246731
SPD_1199,104417,65880,68744,47187,152718
SPD_1200,94680,69066,62611,38730,140706
SPD_1201,232837,178656,122351,65824,224289
SPD_1202,679791,517172,494119,282400,606507
SPD_1203,166178,133218,104314,65222,159589
SPD_1204,91468,88239,70822,45337,84435
SPD_1205,219958,244232,189761,122606,237684
SPD_1206,134102,167436,95278,44960,178943
SPD_1207,341391,427682,233497,133549,349527
SPD_1208,219389,287960,149439,104031,230808
SPD_1209,190717,227176,134004,94695,238743
SPD_1210,241144,279693,163040,99975,235877
SPD_1211,168499,197076,113982,73432,154095
SPD_1212,1040264,1475328,833618,513612,929218
SPD_1213,15993,18071,27272,11134,8636
SPD_1214,12055,10007,8301,3120,8740
SPD_1215,21216,18510,30640,15644,5597
SPD_1216,1598893,1025717,659841,363023,707847
SPD_1217,368632,268011,159829,94174,201761
SPD_1218,430760,350786,237063,130098,183719
SPD_1219,240641,230008,127104,63781,109318
SPD_1220,161508,138301,77126,42413,65284
SPD_1221,224435,233699,143494,84831,134557
SPD_1222,204527,253992,144539,66506,133668
SPD_1223,198753,265490,103092,61517,82195
SPD_1224,527185,559184,373110,223025,243069
SPD_1225,4427,8970,3700,1052,789
SPD_1226,117841,186104,83714,43458,126184
SPD_1227,966816,974694,551219,311986,684994
SPD_1228,456236,495895,228981,136070,267336
SPD_1229,371644,391670,180999,109433,230900
SPD_1230,403172,538085,242961,134825,256566
SPD_1231,380828,591448,208483,130684,259334
SPD_1232,507527,568456,289136,206151,418181
SPD_1233,68722,116795,35772,24294,52672
SPD_1234,136898,214547,112082,71747,128827
SPD_1235,56389,81050,57494,21703,58826
SPD_1236,2202709,2697863,1655650,582038,1667169
SPD_1237,80483,116666,50412,31847,66446
SPD_1238,150242,136661,118613,78474,125872
SPD_1239,155157,155459,127507,83273,160352
SPD_1240,493205,525390,369974,228942,415133
SPD_1241,156420,164233,97747,55893,124649
SPD_1242,118519,142374,69151,40814,108626
SPD_1243,352946,428465,234740,119817,307936
SPD_1244,262790,301616,213107,112516,305870
SPD_1245,85270,75328,56479,32230,100485
SPD_1246,1371358,1558784,654802,316648,1690966
SPD_1247,282379,201543,164291,68718,134913
SPD_1248,128681,124633,108172,56264,88825
SPD_1249,81520,88977,56245,26257,52849
SPD_1250,166323,147023,119044,66673,115199
SPD_1251,190713,190680,139631,101089,168356
SPD_1252,8521,17265,11525,8062,14604
SPD_1253,6254,7643,8547,6580,10450
SPD_1254,4394,4001,1180,952,2688
SPD_1255,5293,6317,3055,2710,7664
SPD_1256,64643,47062,54979,30073,31234
SPD_1257,741,1000,168,41,0
SPD_1258,355030,328226,295398,137473,224209
SPD_1260,25889,126680,25101,17759,58790
SPD_1261,667,641,500,41,398
SPD_1262,19075,48365,15101,9020,23188
SPD_1263,7483,18572,5153,1048,5528
SPD_1264,7312,24113,8512,3057,4400
SPD_1265,3170,8481,3724,1194,2303
SPD_1266,2705,6766,3717,2650,1886
SPD_1267,3951,17996,6061,8310,7332
SPD_1268,1736,4933,1501,923,1178
SPD_1269,641,2775,562,224,220
SPD_1270,752,2438,919,498,884
SPD_1271,306,457,586,124,0
SPD_1272,3428,3538,2143,554,1690
SPD_1273,2184,2462,1167,585,1288
SPD_1274,5700702,4180403,2159558,1027256,3173924
SPD_1275,664,3242,1415,454,0
SPD_1276,52653,94467,41723,21776,39439
SPD_1277,157608,161210,131170,64311,106861
SPD_1278,551940,862223,328008,150292,437433
SPD_1279,56353,57745,37919,25054,50950
SPD_1280,97359,98123,82452,43052,75853
SPD_1281,63818,39579,45485,29108,43142
SPD_1282,73066,40448,53692,35567,59987
SPD_1283,12028,11827,10147,6320,13770
SPD_1284,369,654,541,114,0
SPD_1285,517732,485951,318580,115245,351548
SPD_1286,211403,152271,148201,58540,152355
SPD_1287,263322,254608,160105,89590,124763
SPD_1288,119123,127936,63078,30763,47970
SPD_1289,272506,313472,117286,72886,108170
SPD_1290,359576,410575,151737,103992,157769
SPD_1291,196428,178192,100617,69453,112970
SPD_1292,110847,108888,56840,38386,79293
SPD_1293,134536,83324,75876,50987,127723
SPD_1294,990097,747895,623416,153865,429043
SPD_1295,944567,1293138,544310,168831,350996
SPD_1296,132226,110762,89708,50116,76041
SPD_1297,393332,320176,331296,165250,230992
SPD_1298,2800977,2310102,1233514,436905,1291735
SPD_1299,2077,861,1305,261,1042
SPD_1300,9923,10345,4265,4000,4677
SPD_1301,6056,7480,4932,1347,5848
SPD_1302,8044,10238,7406,2715,6384
SPD_1303,93937,91818,56646,32670,78248
SPD_1304,741313,686422,390523,197483,535010
SPD_1305,108927,95435,59407,37394,107916
SPD_1306,59652,44676,42185,26493,73738
SPD_1307,27294,18685,21133,9590,41608
SPD_1308,286402,189904,339877,232716,223418
SPD_1309,1668643,1205799,2725917,1531715,1170372
SPD_1310,248875,171352,419205,203487,203411
SPD_1311,514575,304593,327710,108052,310223
SPD_1312,482974,343020,273093,82397,241402
