,covR_Zn1,covR_Zn2,covR_Zn3,covR_Zn4
CHF17_RS10005,129,169,169,110
CHF17_RS10010,337,417,437,286
CHF17_RS10015,3517,4675,3833,3179
CHF17_RS10020,3730,5997,5333,3941
CHF17_RS10025,1684,1656,1858,1437
CHF17_RS10030,199,199,224,178
CHF17_RS10035,132,136,139,132
CHF17_RS10040,478,478,501,469
CHF17_RS10045,987,1132,1172,846
CHF17_RS10050,1508,1697,1757,1233
CHF17_RS10055,190,142,158,142
CHF17_RS10060,344,360,384,271
CHF17_RS10065,176,186,211,175
CHF17_RS10070,4297,4497,4439,3091
CHF17_RS10075,8577,8880,8491,6719
CHF17_RS10080,46,46,53,44
CHF17_RS10085,57,56,61,34
CHF17_RS10090,139,148,157,106
CHF17_RS10095,218,216,209,167
CHF17_RS10100,72,66,65,35
CHF17_RS10105,41,42,35,19
CHF17_RS10110,871,899,908,710
CHF17_RS10115,769,783,889,668
CHF17_RS10120,68,76,63,44
CHF17_RS10125,101,111,119,80
CHF17_RS10130,87,60,68,46
CHF17_RS10135,117,91,130,84
CHF17_RS10140,1959,2740,2152,2769
CHF17_RS10145,1830,2349,1970,2201
CHF17_RS10150,5635,7665,6866,5627
CHF17_RS10155,1997,2881,2577,1633
CHF17_RS10160,2055,3046,2804,1676
CHF17_RS10165,1333,1887,1640,1149
CHF17_RS10170,28473,28362,29107,27008
CHF17_RS10175,1647,1636,1821,1559
CHF17_RS10180,2943,2588,2897,2533
CHF17_RS10185,700,580,704,571
CHF17_RS10190,39707,25631,36268,31515
CHF17_RS10195,2205,2054,2259,2161
CHF17_RS10200,2293,2050,2380,1871
CHF17_RS10205,234,222,240,164
CHF17_RS10210,324,298,355,236
CHF17_RS10215,512,427,609,345
CHF17_RS10220,518,490,493,223
CHF17_RS10225,1560,1612,1516,1128
CHF17_RS10230,5364,5601,5430,3600
CHF17_RS10235,693,622,650,335
CHF17_RS10240,1184,1089,1149,746
CHF17_RS10245,554,560,538,355
CHF17_RS10250,947,1047,932,768
CHF17_RS10255,1590,1811,1667,1350
CHF17_RS10260,566,678,632,439
CHF17_RS10265,696,877,795,674
CHF17_RS10270,483,533,534,309
CHF17_RS10275,1713,1831,1705,1547
CHF17_RS10280,1999,2171,2026,1863
CHF17_RS10285,3049,3245,3002,2420
CHF17_RS10290,334,359,271,259
CHF17_RS10295,2679,2956,2831,2197
CHF17_RS10300,865,816,874,799
CHF17_RS10305,552,526,568,495
CHF17_RS10310,256,177,187,129
CHF17_RS10315,2021,1846,1592,1405
CHF17_RS10320,4506,4362,4175,4222
CHF17_RS10325,674,748,748,722
CHF17_RS10330,1559,1539,1521,1339
CHF17_RS10335,18,12,21,10
CHF17_RS10340,2250,2273,2269,1693
CHF17_RS10345,7969,12831,10796,7061
CHF17_RS10350,1285,1304,1470,1264
CHF17_RS10355,602,489,579,514
CHF17_RS10360,506,394,496,405
CHF17_RS10365,315,342,347,306
CHF17_RS10370,1128,1154,1179,913
CHF17_RS10375,544,785,652,619
CHF17_RS10380,1258,1209,1139,942
CHF17_RS10385,2935,3058,2988,2296
CHF17_RS10390,1724,1846,1805,1426
CHF17_RS10395,40435,40587,39214,41913
CHF17_RS10400,833,844,887,1003
CHF17_RS10405,1047,1520,1403,1145
CHF17_RS10410,2353,2281,2295,1940
CHF17_RS10415,8919,9354,9296,7564
CHF17_RS10420,13037,13903,13839,11487
CHF17_RS10425,8599,8267,8195,7621
CHF17_RS10430,175826,134118,170059,116415
CHF17_RS10435,1997,1977,1691,759
CHF17_RS10440,4159,4379,4207,1949
CHF17_RS10445,21437,22115,22012,16861
CHF17_RS10450,3713,3562,3533,2667
CHF17_RS10455,12917,11545,12849,8624
CHF17_RS10460,3687,4210,3799,3679
CHF17_RS10465,5297,5117,4942,3622
CHF17_RS10470,9125,9761,8820,7587
CHF17_RS10475,3721,4098,3668,2726
CHF17_RS10480,1043,1072,1029,768
CHF17_RS10485,483,538,527,357
CHF17_RS10490,29675,29452,26169,20480
CHF17_RS10495,3775,3622,3194,2661
CHF17_RS10500,14893,10099,13135,9081
CHF17_RS10505,25548,17396,21907,15445
CHF17_RS10510,761,733,856,634
CHF17_RS10515,195,172,220,147
CHF17_RS10520,2448,1867,2272,1801
CHF17_RS10525,704,608,728,481
CHF17_RS10530,3455,3054,3565,2750
CHF17_RS10535,5715,5042,5870,5028
CHF17_RS10540,1078,896,1013,829
CHF17_RS10545,14106,11369,15385,12414
CHF17_RS10550,25620,26504,28534,24332
CHF17_RS10555,100,231,196,146
CHF17_RS10560,13878,18534,15682,12630
CHF17_RS10565,25108,35518,30016,24218
CHF17_RS10570,12749,17987,14160,12160
CHF17_RS10575,28710,46399,32388,28642
CHF17_RS10580,6252,6626,5724,6496
CHF17_RS10585,1580,1929,1822,2129
CHF17_RS10590,2841,2798,2886,2316
CHF17_RS10595,3727,3673,3650,3130
CHF17_RS10600,7387,7461,7247,6182
CHF17_RS10605,9272,10284,9611,7673
CHF17_RS10610,91,186,142,131
CHF17_RS10615,7302,15028,11569,12572
CHF17_RS10620,16803,15669,16992,13314
CHF17_RS10625,2715,2135,2479,1885
CHF17_RS10630,25503,28182,26430,19462
CHF17_RS10635,3039,3196,3020,1950
CHF17_RS10640,5813,6028,5955,4690
CHF17_RS10645,16084,15861,16045,13717
CHF17_RS10650,38724,35163,37516,30316
CHF17_RS10655,12137,11160,11957,9985
CHF17_RS10660,10264,8617,8968,6401
CHF17_RS10665,28355,26009,27038,21968
CHF17_RS10670,13914,15613,16072,14598
CHF17_RS10675,1759,2643,2480,1882
CHF17_RS10680,1292,1708,1380,1141
CHF17_RS10685,4713,5928,5318,4003
CHF17_RS10690,24,31,33,29
CHF17_RS10695,285,314,321,224
CHF17_RS10700,862,1059,1198,846
CHF17_RS10705,451,573,600,509
CHF17_RS10710,118,129,145,94
CHF17_RS10715,51,84,85,60
CHF17_RS10720,16477,18819,17955,12805
CHF17_RS10725,373,535,522,396
CHF17_RS10730,1657,2166,1929,1308
CHF17_RS10735,4246,5686,5240,3592
CHF17_RS10740,140,212,199,138
CHF17_RS10745,43,37,44,31
CHF17_RS10750,53,53,48,48
CHF17_RS10755,133,126,136,117
CHF17_RS10760,180,179,150,129
CHF17_RS10765,3118,2776,2965,2659
CHF17_RS10770,11023,11313,11168,10033
CHF17_RS10775,34440,48353,39505,31261
CHF17_RS10780,7627,15461,11098,7669
CHF17_RS10785,170,180,190,157
CHF17_RS10790,1234,1056,1156,790
CHF17_RS10795,559,1311,1035,400
CHF17_RS10800,160,437,386,129
CHF17_RS10805,512,646,607,459
CHF17_RS10810,34,37,35,20
CHF17_RS10815,38,33,30,25
CHF17_RS10820,15,12,17,14
CHF17_RS10825,72,74,71,51
CHF17_RS10830,106,92,97,84
CHF17_RS10835,24,18,24,25
CHF17_RS10840,350,366,413,375
CHF17_RS10845,611,600,601,739
CHF17_RS10850,186,195,180,242
CHF17_RS10855,229,260,268,267
CHF17_RS10860,121,112,118,134
CHF17_RS10865,217,265,250,225
CHF17_RS10870,51,92,65,67
CHF17_RS10875,38,78,51,40
CHF17_RS10880,28,19,23,27
CHF17_RS10885,9,15,22,22
CHF17_RS10890,9,14,17,12
CHF17_RS10895,7,6,3,8
CHF17_RS10900,1385,1734,1466,973
CHF17_RS10905,3226,3642,3316,2511
CHF17_RS10910,3335,3465,3200,2647
CHF17_RS10915,71656,57237,66943,69725
CHF17_RS10920,2333,2060,2022,1655
CHF17_RS10925,14491,14273,14035,12424
CHF17_RS10930,4293,4208,4210,2356
CHF17_RS10935,19350,28485,22206,17056
CHF17_RS10940,7842,8742,7494,6440
CHF17_RS10945,17695,18851,13732,10883
CHF17_RS10950,19845,19605,15225,8972
CHF17_RS10955,2838,2911,3004,1901
CHF17_RS10960,4734,5050,5191,4106
CHF17_RS10965,13333,10173,12576,11395
CHF17_RS10970,4250,3432,3754,2898
CHF17_RS10975,4686,4873,4832,4656
CHF17_RS10980,5682,4987,5629,3892
CHF17_RS10985,10226,11686,10598,8495
CHF17_RS10990,7406,9616,8234,7192
CHF17_RS10995,8137,8801,8309,6649
CHF17_RS11000,4929,5094,5112,4203
CHF17_RS11005,1078,912,984,660
CHF17_RS11010,8324,9271,9512,6911
CHF17_RS11015,4149,4088,4267,3838
CHF17_RS11020,905,835,920,722
CHF17_RS11025,69429,69305,68022,52835
CHF17_RS11030,2277,2884,2473,2252
CHF17_RS11035,2713,3698,2997,2781
CHF17_RS11040,685,902,693,720
CHF17_RS11045,34080,25776,31340,28609
CHF17_RS11050,7571,5616,6899,5957
CHF17_RS11055,32810,22731,29499,28012
CHF17_RS11060,20403,15686,20308,20519
CHF17_RS11065,21074,15017,19750,16547
CHF17_RS11070,11641,12618,12556,9582
CHF17_RS11075,1073,1114,1081,929
CHF17_RS11080,5604,6910,5883,5155
CHF17_RS11085,40245,40429,39785,31756
CHF17_RS11090,11485,14652,13017,10971
CHF17_RS11095,90,159,119,101
CHF17_RS11100,55,79,54,27
CHF17_RS11105,94,227,157,113
CHF17_RS11110,1955,3980,2947,1529
CHF17_RS11115,15363,16451,17030,12241
CHF17_RS11120,4030,4439,4552,3191
