,WT1 reads,WT2 reads,metR1 reads,metR2 reads
SPD_0610,202,206,97,89
SPD_0611,147,150,71,83
SPD_0612,23,20,29,37
SPD_0613,32,37,39,65
SPD_0614,43,55,48,68
SPD_0615,131,118,413,558
SPD_0616,127,103,260,377
SPD_0617,77,62,192,232
SPD_0618,62,57,148,268
SPD_0619,23,20,5,16
SPD_0620,2059,1690,1191,1893
SPD_0621,8812,4060,5213,7554
SPD_0622,510,476,458,669
SPD_0623,280,251,190,253
SPD_0624,150,70,77,99
SPD_0625,31,43,117,111
SPD_0626,77,88,189,230
SPD_0627,24,28,55,72
SPD_0628,22,16,35,38
SPD_0629,12,17,24,38
SPD_0630,38,36,46,58
SPD_0631,31,28,42,55
SPD_0632,2490,2510,1888,2815
SPD_0633,9,2,1,1
SPD_0634,4,2,2,3
SPD_0635,127,87,32,54
SPD_0636,54660,51353,40124,58910
SPD_0637,297,110,71,150
SPD_0638,12,27,13,25
SPD_0639,4,2,1,1
SPD_0640,0,0,1,0
SPD_0641,94,103,84,137
SPD_0642,69,98,116,132
SPD_0643,178,141,174,230
SPD_0644,141,38,37,79
SPD_0645,275,216,171,288
SPD_0646,1415,527,223,314
SPD_0647,25,32,23,24
SPD_0648,68,42,47,66
SPD_0649,951,849,1022,1329
SPD_0650,1256,830,1464,2353
SPD_0651,37,31,35,69
SPD_0652,1056,719,345,564
SPD_0653,416,369,115,254
SPD_0654,476,371,119,187
SPD_0655,453,359,160,245
SPD_0656,800,433,276,439
SPD_0657,330,147,136,120
SPD_0658,971,928,555,1027
SPD_0659,717,473,371,734
SPD_0660,1935,1035,848,1601
SPD_0661,850,670,957,1254
SPD_0662,31,11,13,16
SPD_0663,964,698,471,792
SPD_0664,1195,961,3492,5838
SPD_0665,1218,848,836,1339
SPD_0666,1619,1126,1120,1934
SPD_0667,2554,1724,1862,1932
SPD_0668,210,158,99,164
SPD_0669,630,462,340,552
SPD_0670,56,63,18,27
SPD_0671,532,568,175,278
SPD_0672,551,380,260,471
