,WT_Cu1,WT_Cu2,WT_Cu3,WT_Cu4
CHF17_RS02395,47894,62851,61091,107083
CHF17_RS02400,41452,54793,54210,79113
CHF17_RS02405,39102,50860,50535,65721
CHF17_RS02410,4462,4125,4602,3997
CHF17_RS02415,34919,30453,31412,24698
CHF17_RS02420,2952,2853,2818,2583
CHF17_RS02425,6335,5278,5409,5341
CHF17_RS02430,96238,67913,69351,75400
CHF17_RS02435,77700,53205,55250,58114
CHF17_RS02440,78671,59504,56673,62168
CHF17_RS02445,3626,2749,2339,2293
CHF17_RS02450,8844,7279,7967,6655
CHF17_RS02455,2232,2407,2368,2682
CHF17_RS02460,1876,2566,3292,3823
CHF17_RS02465,6505,8623,9865,7569
CHF17_RS02470,2457,2458,2600,2228
CHF17_RS02475,5826,5752,6392,5285
CHF17_RS02480,15020,15276,17097,14755
CHF17_RS02485,2475,2163,2458,2099
CHF17_RS02490,3765,3166,3767,2505
CHF17_RS02495,5274,4152,5391,5502
CHF17_RS02500,885,816,894,1218
CHF17_RS02505,1514,1665,1805,1622
CHF17_RS02510,2192,2271,2631,2073
CHF17_RS02515,14133,12745,13746,10174
CHF17_RS02520,11457,10703,11348,9787
CHF17_RS02525,710,619,715,508
CHF17_RS02530,2312,2501,2862,3068
CHF17_RS02535,8083,8961,9655,14151
CHF17_RS02540,1307,1277,1496,2958
CHF17_RS02545,1275,1140,1467,3187
CHF17_RS02550,17261,17055,19101,35402
CHF17_RS02555,3279,3622,3723,4920
CHF17_RS02560,3297,2677,3334,2915
CHF17_RS02565,748,645,823,408
CHF17_RS02570,8375,9887,10383,6806
CHF17_RS02575,478,564,600,408
CHF17_RS02580,1950,2028,2878,1609
CHF17_RS02585,3489,4266,5175,4580
CHF17_RS02590,20261,21468,23088,18922
CHF17_RS02595,4721,5372,5731,4404
CHF17_RS02600,13611,14910,16088,12809
CHF17_RS02605,188,234,211,151
CHF17_RS02610,3794,3387,3590,3116
CHF17_RS02615,5958,5294,5280,5350
CHF17_RS02620,3701,3333,3426,3834
CHF17_RS02625,18834,14808,15004,9779
CHF17_RS02630,1173,937,930,851
CHF17_RS02635,2765,2642,2546,2829
CHF17_RS02640,5444,6120,6570,6120
CHF17_RS02645,3080,3018,3884,2396
CHF17_RS02650,243,178,302,86
CHF17_RS02655,92754,92920,95425,75911
CHF17_RS02660,1269,1128,1330,1157
CHF17_RS02665,1851,1976,2345,1973
CHF17_RS02670,3241,3938,5900,4367
CHF17_RS02675,11137,10750,12489,13243
CHF17_RS02680,11232,10192,11985,12852
CHF17_RS02685,2074,1786,1928,1586
CHF17_RS02690,15692,14013,14936,11785
CHF17_RS02695,24648,21709,24014,18327
CHF17_RS02700,3465,2934,5553,1828
CHF17_RS02705,4,5,13,7
CHF17_RS02710,751,653,1630,1043
CHF17_RS02715,4,6,17,10
CHF17_RS02720,150,127,179,59
CHF17_RS02725,276,234,317,137
CHF17_RS02730,334,278,380,188
CHF17_RS02735,396,335,423,245
CHF17_RS02740,168,127,177,136
CHF17_RS02745,150,99,149,109
CHF17_RS02750,90,49,90,70
CHF17_RS02755,7819,6630,7723,5567
CHF17_RS02760,3198,2186,2197,1768
CHF17_RS02765,5566,4561,4861,3502
CHF17_RS02770,1073,765,692,664
CHF17_RS02775,3342,2646,2296,2090
CHF17_RS02780,1450,1929,2866,4732
CHF17_RS02785,6689,5207,5093,4193
CHF17_RS02790,1352,1659,1762,1413
CHF17_RS02795,449,564,640,446
CHF17_RS02800,2666,3160,3586,3090
CHF17_RS02805,5665,5766,6336,5471
CHF17_RS02810,1094,1127,1168,859
CHF17_RS02815,1595,1526,1526,1250
CHF17_RS02820,270,296,276,291
CHF17_RS02825,178,156,192,137
CHF17_RS02830,251,255,285,233
CHF17_RS02835,341,401,392,319
CHF17_RS02840,400,385,352,317
CHF17_RS02845,1742,1434,1362,1237
