,WT_Cu1,WT_Cu2,WT_Cu3,WT_Cu4
CHF17_RS10060,83,91,101,78
CHF17_RS10065,71,67,77,75
CHF17_RS10070,6204,5399,7811,5300
CHF17_RS10075,10313,9600,12896,10953
CHF17_RS10080,7,13,12,16
CHF17_RS10085,15,25,37,28
CHF17_RS10090,64,88,116,77
CHF17_RS10095,112,207,191,192
CHF17_RS10100,59,98,84,60
CHF17_RS10105,36,43,37,35
CHF17_RS10110,449,766,719,604
CHF17_RS10115,232,312,380,293
CHF17_RS10120,19,20,21,23
CHF17_RS10125,27,41,44,26
CHF17_RS10130,16,25,32,23
CHF17_RS10135,32,30,41,28
CHF17_RS10140,1447,1286,1280,1721
CHF17_RS10145,1282,1170,1271,1562
CHF17_RS10150,3512,3206,3500,4108
CHF17_RS10155,1174,992,1336,1057
CHF17_RS10160,915,861,1067,1090
CHF17_RS10165,484,470,560,622
CHF17_RS10170,34665,28122,25545,25067
CHF17_RS10175,447,470,491,417
CHF17_RS10180,581,661,763,701
CHF17_RS10185,99,118,148,126
CHF17_RS10190,4959,3384,3061,2852
CHF17_RS10195,1397,1166,1262,1410
CHF17_RS10200,2286,1915,2041,2210
CHF17_RS10205,294,261,251,221
CHF17_RS10210,163,107,110,135
CHF17_RS10215,325,278,245,194
CHF17_RS10220,712,684,768,481
CHF17_RS10225,1360,1403,1668,1190
CHF17_RS10230,5851,5777,6567,4493
CHF17_RS10235,882,838,948,580
CHF17_RS10240,1387,1264,1513,1013
CHF17_RS10245,607,623,662,560
CHF17_RS10250,743,711,760,715
CHF17_RS10255,1308,1259,1429,1561
CHF17_RS10260,633,534,543,568
CHF17_RS10265,796,747,779,698
CHF17_RS10270,644,516,636,414
CHF17_RS10275,1773,1628,1648,1556
CHF17_RS10280,2706,2459,2542,2182
CHF17_RS10285,4740,4149,4014,3216
CHF17_RS10290,399,325,319,312
CHF17_RS10295,4575,3713,3712,2710
CHF17_RS10300,1350,1250,1302,1038
CHF17_RS10305,555,545,594,517
CHF17_RS10310,643,516,663,300
CHF17_RS10315,4058,3968,4456,2679
CHF17_RS10320,2613,2271,2375,2263
CHF17_RS10325,5409,6097,5348,3498
CHF17_RS10330,11621,12854,11117,7394
CHF17_RS10335,5,5,4,4
CHF17_RS10340,1761,1422,1636,1233
CHF17_RS10345,5468,5717,7244,5858
CHF17_RS10350,1045,1076,981,888
CHF17_RS10355,1052,837,831,783
CHF17_RS10360,960,750,761,678
CHF17_RS10365,314,332,376,426
CHF17_RS10370,1700,1812,1996,1684
CHF17_RS10375,1180,1212,1715,2402
CHF17_RS10380,1290,1441,1581,1512
CHF17_RS10385,2635,3113,3435,3011
CHF17_RS10390,1333,1520,1788,1526
CHF17_RS10395,50586,44772,50382,46162
CHF17_RS10400,1100,822,887,997
CHF17_RS10405,146080,109870,84746,70458
CHF17_RS10410,14738,9952,7347,7009
CHF17_RS10415,11188,8523,9046,8658
CHF17_RS10420,15263,12279,13751,12335
CHF17_RS10425,10449,10648,12040,10833
CHF17_RS10430,3317,3749,5935,4696
CHF17_RS10435,2342,1622,2351,923
CHF17_RS10440,8065,6263,8178,3483
CHF17_RS10445,18339,22337,24896,17956
CHF17_RS10450,3351,2895,3494,2750
CHF17_RS10455,12535,12293,13393,9930
CHF17_RS10460,8055,5417,5867,5372
CHF17_RS10465,13196,10229,11091,6750
CHF17_RS10470,24723,21544,21026,15958
CHF17_RS10475,17855,14022,13428,8472
CHF17_RS10480,1136,1067,1084,861
CHF17_RS10485,515,505,534,394
CHF17_RS10490,20291,25248,34155,29380
CHF17_RS10495,2916,3599,5163,4080
CHF17_RS10500,6995,4120,4474,1456
CHF17_RS10505,10360,6586,7265,2592
CHF17_RS10510,895,768,804,713
CHF17_RS10515,108,119,99,102
CHF17_RS10520,1943,1756,1984,1782
CHF17_RS10525,1475,1076,1203,1151
CHF17_RS10530,5043,3867,4074,4675
CHF17_RS10535,9039,7013,7662,8686
CHF17_RS10540,2252,1797,2018,1824
CHF17_RS10545,23911,19013,18779,18184
CHF17_RS10550,22989,20989,21082,21104
CHF17_RS10555,249,317,192,253
CHF17_RS10560,15303,15338,18276,14708
CHF17_RS10565,22384,23989,26187,23450
CHF17_RS10570,12243,12526,14209,11472
CHF17_RS10575,11086,18269,23179,28776
CHF17_RS10580,12751,9530,10642,12890
CHF17_RS10585,1965,1867,2007,2256
CHF17_RS10590,2286,2508,2751,2355
CHF17_RS10595,3131,3297,3609,2828
CHF17_RS10600,5862,6385,6895,5592
CHF17_RS10605,7930,7832,8757,6784
CHF17_RS10610,112,163,181,163
CHF17_RS10615,9189,12135,13499,16325
CHF17_RS10620,15956,17148,18917,13906
CHF17_RS10625,3332,3836,4713,3193
CHF17_RS10630,41755,36146,39859,27939
CHF17_RS10635,3655,3741,4099,2768
CHF17_RS10640,4153,4427,4872,3913
CHF17_RS10645,17591,18250,18865,17470
CHF17_RS10650,69194,65257,69838,50428
CHF17_RS10655,19767,18467,19244,15600
CHF17_RS10660,9612,8421,9889,4441
CHF17_RS10665,25085,24847,26005,16757
CHF17_RS10670,11591,14029,12002,12551
CHF17_RS10675,1710,1984,1807,2033
CHF17_RS10680,1581,1455,1694,1369
CHF17_RS10685,5490,5229,5895,4782
CHF17_RS10690,24,23,20,26
CHF17_RS10695,473,374,420,238
CHF17_RS10700,1176,1077,1038,766
CHF17_RS10705,523,506,501,356
CHF17_RS10710,179,130,141,80
CHF17_RS10715,95,71,64,49
CHF17_RS10720,15946,18322,21533,16053
CHF17_RS10725,38,60,56,50
CHF17_RS10730,2267,1996,2011,1624
CHF17_RS10735,4277,3870,4012,3424
CHF17_RS10740,204,188,200,163
CHF17_RS10745,41,43,42,37
CHF17_RS10750,23,25,27,26
CHF17_RS10755,65,55,61,60
CHF17_RS10760,88,76,102,98
CHF17_RS10765,7230,6639,6961,5275
CHF17_RS10770,17360,16946,17128,16112
CHF17_RS10775,20197,29298,34976,31970
CHF17_RS10780,6516,9440,11012,11578
CHF17_RS10785,82,129,139,131
CHF17_RS10790,799,990,1108,738
CHF17_RS10795,576,421,399,323
CHF17_RS10800,188,140,138,119
CHF17_RS10805,442,434,465,474
CHF17_RS10810,52,45,37,30
CHF17_RS10815,47,36,42,22
CHF17_RS10820,17,7,11,16
CHF17_RS10825,59,74,86,62
CHF17_RS10830,96,107,101,74
CHF17_RS10835,28,26,22,20
CHF17_RS10840,406,368,350,367
CHF17_RS10845,522,445,545,528
CHF17_RS10850,122,103,125,132
CHF17_RS10855,118,97,117,118
CHF17_RS10860,68,60,65,68
CHF17_RS10865,75,62,87,92
CHF17_RS10870,29,35,32,37
CHF17_RS10875,46,43,37,35
CHF17_RS10880,27,23,20,26
CHF17_RS10885,30,26,27,30
CHF17_RS10890,18,13,9,19
CHF17_RS10895,7,6,5,4
CHF17_RS10900,2401,2199,2445,1930
CHF17_RS10905,3551,3482,3961,3203
CHF17_RS10910,2737,2627,3106,2500
CHF17_RS10915,56504,54742,58381,46773
CHF17_RS10920,2827,2246,2788,2314
CHF17_RS10925,14627,11977,14370,16276
CHF17_RS10930,6620,5263,6483,4954
CHF17_RS10935,24552,21735,22766,19903
CHF17_RS10940,10481,9448,10554,10469
CHF17_RS10945,14752,18246,18453,19822
CHF17_RS10950,25524,29910,31152,27752
CHF17_RS10955,3090,2444,2683,2113
CHF17_RS10960,5863,4647,4911,4096
CHF17_RS10965,7532,10713,15380,9884
CHF17_RS10970,2443,3772,4646,2800
CHF17_RS10975,3954,4045,4443,4118
CHF17_RS10980,4981,4516,5302,3838
CHF17_RS10985,12362,11686,13905,10062
CHF17_RS10990,7948,8139,8533,7485
CHF17_RS10995,8239,8198,8669,8457
CHF17_RS11000,5620,5241,5512,5842
CHF17_RS11005,1251,1210,1353,1184
CHF17_RS11010,9519,9244,9742,8914
CHF17_RS11015,7714,6248,5802,5635
CHF17_RS11020,3149,1607,1385,1340
CHF17_RS11025,161493,114742,108077,86551
CHF17_RS11030,4367,4433,4822,3998
CHF17_RS11035,3728,3971,4151,4187
CHF17_RS11040,367,411,499,448
CHF17_RS11045,2707,4518,4279,2961
CHF17_RS11050,583,950,888,638
CHF17_RS11055,2439,3923,3628,2847
CHF17_RS11060,1712,2407,2259,1882
CHF17_RS11065,2162,2973,2681,1714
CHF17_RS11070,24625,19845,19812,17078
CHF17_RS11075,1122,1079,1037,1030
CHF17_RS11080,3250,3747,4461,4306
CHF17_RS11085,43600,43297,47702,37668
CHF17_RS11090,6784,7563,7993,8544
CHF17_RS11095,64,67,65,84
CHF17_RS11100,62,34,41,35
CHF17_RS11105,148,152,127,166
CHF17_RS11110,2491,2361,2626,2430
CHF17_RS11115,25588,24636,25499,18929
CHF17_RS11120,5149,4477,4719,3610
