GeneID,X51122,X51123,X51124,X51125,X51126,X51127,X51128,X51129,X51130,X51131,X51132,X51133
EW021_RS04475,132,112,120,121,80,80,42,234,33,39,28,53
EW021_RS04480,548,462,448,768,327,383,181,1082,176,149,122,284
EW021_RS04485,1288,1458,1269,2165,1057,866,517,3979,861,607,435,1115
EW021_RS04490,3438,2132,3121,2860,3255,3422,221,1647,305,174,109,528
EW021_RS04495,1102,587,730,945,936,1079,40,389,96,32,23,95
EW021_RS04500,4731,3372,1854,3291,3555,2870,172,1573,370,119,84,480
EW021_RS04505,5014,4380,2607,4668,4004,3336,624,2781,658,401,339,1175
EW021_RS04510,3127,3616,2535,3265,2731,2260,923,2440,810,645,539,927
EW021_RS04515,2048,2572,1952,2341,2001,1614,2123,2663,1351,1322,1248,1372
EW021_RS04520,1462,1690,1581,1485,1439,1078,1796,1568,999,1015,950,974
EW021_RS04525,3862,4206,4250,3378,3389,2781,5263,3898,2813,2945,2753,2375
EW021_RS04530,3048,3628,4562,2747,2667,2003,1902,2679,1284,937,1061,974
EW021_RS04535,1487,2203,2560,1911,1407,1054,968,3362,897,565,495,777
EW021_RS04540,3128,3923,4913,2947,2513,2088,1928,3954,1419,1023,1074,1178
EW021_RS04545,1742,2481,3077,2401,1760,1294,1499,5292,1557,1106,1269,1224
EW021_RS04550,73817,42747,27424,37743,46145,57829,13539,9425,12938,6105,8724,47758
EW021_RS04555,6783,4158,11862,5211,6035,5607,13761,9132,10696,12225,11333,17917
EW021_RS04560,19543,23299,9575,23868,17675,14870,3120,8923,2770,2481,2141,10799
EW021_RS04565,4403,5951,3496,4451,4133,3678,1991,4372,1364,1443,1355,3549
EW021_RS04570,566,920,698,879,620,504,970,1990,740,775,725,899
EW021_RS04575,11529,12772,4013,13871,13786,10981,23803,7253,44676,24871,61770,46351
EW021_RS04580,23234,24067,7786,26351,26267,23003,76384,13630,91769,51244,120381,99452
EW021_RS04585,13710,15553,5803,18745,22495,20771,10739,7829,3973,6441,6136,10037
EW021_RS04590,5249,6266,1859,8916,13758,13428,6765,4890,2383,4252,3704,5891
EW021_RS04595,3111,3376,1223,5465,11418,10326,869,1470,467,514,813,1268
EW021_RS04600,1881,1360,2378,1916,2216,1603,211,1858,384,183,169,441
EW021_RS04605,2605,1734,3584,1882,2222,1815,122,1404,270,110,71,326
EW021_RS04610,168,343,507,605,259,132,39,1779,303,89,31,245
EW021_RS04615,7606,4022,8374,5429,7134,7456,1847,6318,1980,1588,1148,2152
EW021_RS04620,32,167,120,287,103,26,15,1297,144,52,13,120
EW021_RS04625,15,14,36,36,21,13,8,186,15,6,0,17
EW021_RS04630,42,138,148,239,90,41,15,1227,138,51,23,117
EW021_RS04635,75,225,202,403,150,90,19,1596,204,70,34,164
EW021_RS04640,248,413,456,538,201,146,1056,2647,856,799,646,1190
EW021_RS04645,510,730,820,850,312,294,5727,6499,3201,5706,4891,4974
EW021_RS04650,2786,2304,2450,2414,2572,2481,3324,4446,1806,4336,3694,3474
EW021_RS04655,593,625,804,906,546,438,158,2608,390,179,101,345
EW021_RS04660,114,158,211,270,108,88,32,678,68,52,18,90
EW021_RS04665,220,284,324,351,217,131,145,1002,183,123,81,161
EW021_RS04670,817,1123,1595,1557,736,511,839,3802,943,563,363,788
EW021_RS04675,1209,1308,1816,1304,970,805,1239,2112,839,585,535,851
EW021_RS04680,877,844,980,939,761,683,767,1441,439,280,355,521
EW021_RS04685,52,449,319,799,246,46,792,3693,716,426,168,470
EW021_RS04690,30,66,64,134,57,26,55,549,80,36,14,65
EW021_RS04695,44,145,108,253,74,38,142,941,159,88,28,125
EW021_RS04700,158,511,345,830,306,141,625,3004,567,409,157,518
EW021_RS04705,48,114,108,159,74,47,544,703,240,222,102,169
EW021_RS04710,179,395,390,577,278,151,1757,2376,751,644,336,490
EW021_RS04715,471,701,725,887,488,310,3495,3156,1316,1123,579,763
EW021_RS04720,188,181,252,255,144,112,1191,870,426,405,226,257
EW021_RS04725,532,698,877,839,504,360,3818,3199,1303,1192,684,798
EW021_RS04730,9129,9986,9919,9155,8406,6072,19601,11934,8592,18028,17250,13420
EW021_RS04735,2826,3137,2620,4129,3205,2066,2383,2819,1096,1350,1834,1668
EW021_RS04740,4795,6457,3751,8538,4957,1887,1743,5074,1104,1147,1282,985
EW021_RS04745,3340,3362,2859,4299,4025,2799,1442,4204,1106,1220,834,1171
EW021_RS04750,6112,6682,8836,5867,3974,3740,4865,9111,3252,4117,2737,4467
EW021_RS04755,1140,1244,1072,1532,838,850,353,993,285,367,283,400
EW021_RS04760,6617,5364,4290,5219,5243,4050,970,2055,684,754,700,1355
EW021_RS04765,1516,1575,1632,2115,1531,1384,63,4517,614,190,56,457
EW021_RS04770,27507,17352,24135,19610,17515,15907,6611,8656,5296,4377,3740,8013
EW021_RS04775,370,672,795,1010,382,247,52,3425,516,169,59,451
EW021_RS04780,968,1578,1685,2149,975,729,275,6748,1196,387,133,903
EW021_RS04785,1863,1545,909,1365,524,1095,129,1055,186,54,36,125
EW021_RS04790,6760,7109,3798,5503,2471,5259,224,2503,413,148,78,355
EW021_RS04795,2370,2454,2333,2881,1849,1967,1715,5820,1269,1212,795,1462
EW021_RS04800,430,535,464,526,344,302,351,1374,353,281,210,412
EW021_RS04805,25142,18705,8591,17316,32042,27472,3847,4714,3215,1167,1463,10988
EW021_RS04810,8042,7689,4711,7528,6079,7192,3614,6919,2800,1805,2254,9494
EW021_RS04815,4238,4426,2692,4088,2984,3682,4040,5630,2541,2036,2340,8582
EW021_RS04820,1048,1370,1225,1488,864,1140,2867,6103,2034,1481,1547,7081
EW021_RS04825,1092,1232,845,1026,764,1157,2783,3337,1598,1313,1365,6971
EW021_RS04830,1194,1365,855,1232,977,1302,2667,3612,1658,1406,1334,7366
EW021_RS04835,609,566,329,493,331,515,1825,1922,1037,940,948,4304
EW021_RS04840,1643,1874,1012,1775,1171,1650,3894,5421,2421,2024,2096,11561
EW021_RS04845,2237,2155,1210,2553,1686,2245,3437,4933,2408,2003,1856,11947
EW021_RS04850,2639,2046,1008,2293,1725,2424,1582,2717,1270,812,651,7461
EW021_RS04855,969,750,1030,1333,1268,1130,273,1302,273,103,126,342
EW021_RS04860,677,621,766,999,823,679,739,1370,526,306,373,528
EW021_RS04865,844,1060,1234,1464,1129,783,1418,2480,1081,748,813,1127
EW021_RS04870,6421,4588,7205,4132,4337,4606,5788,5697,3795,3194,2192,3103
EW021_RS04875,10032,5385,12984,4829,3725,4043,7502,4723,4467,3249,2476,3265
EW021_RS04880,8213,5032,12543,5003,3364,3463,5096,4362,3307,2184,1734,2598
EW021_RS04885,5001,4408,7109,6370,2838,3133,4254,5343,2720,1780,1307,3259
EW021_RS04890,14111,12637,10663,12733,6766,8929,13228,10659,7231,5316,4691,15198
EW021_RS04895,6132,5960,4288,7010,3548,4383,1920,2016,1352,685,1198,2334
EW021_RS04900,1974,1400,763,2075,1010,962,133,1276,274,66,82,541
EW021_RS04905,190,369,291,562,236,194,51,1974,253,73,51,506
EW021_RS04910,7658,4508,5873,4309,4742,5591,418,763,228,127,100,972
EW021_RS04915,3243,4133,4108,4778,2445,1610,5079,8950,2470,3165,3004,2366
EW021_RS04920,1611,1777,1724,2529,1525,906,681,4618,759,322,295,658
EW021_RS04925,15075,13820,21942,11566,11281,12545,10861,11906,8016,7256,7263,8137
EW021_RS04930,421,520,794,453,407,427,66,413,88,61,60,133
EW021_RS04935,2183,2121,3309,1763,1249,1745,793,2215,665,546,473,743
EW021_RS04940,2710,2735,4131,2193,1847,2475,2102,2877,1326,1623,1462,1616
EW021_RS04945,2695,2754,4095,2499,1972,2573,2518,3488,1494,1885,1647,1807
EW021_RS04950,2623,2829,4112,2881,2161,2574,2724,4806,1881,2167,1856,2189
